6.1.1	Prajapati was this (universe).
21.10.38	If it should be offered for the Manes, it should be in the north.
21.10.39	The Homa should be performed in a straight line for the establishment of the sacrificer.
21.10.40	Now these are the Maruts.
21.10.41	Seven Kapalas each.
21.10.42	Because the Maruts are seven and the groups are sevenfold.
21.10.43	One should offer after running with each group.
21.10.44	The Maruts are indeed a group, and he satisfies them as a group.
21.10.45	The group of hymns in the forest, he offers in the middle.
21.10.46	The Maruts are indeed the nobility, and the others are the people.
21.10.47	He makes the people the middlemost of the nobility.
21.10.48	If one wishes, "May I destroy the nobility with the people," he should confuse the group of hymns in forest with the others.
21.10.49	The people destroy the nobility.
21.10.50	If one desires, "May I destroy the people with the nobility," one should perform the Yagya and Anuvakya in the Tristubh meter.
21.10.51	The Tristubh meter is indeed strength and energy.
21.10.52	One takes away the strength and energy of the people and bestows it on the nobility.
21.10.53	If one desires, "I may drive out the nobility," one may drive away the chariot-drawn sacrificial post from the fire with the Anuvakya chant in the forest.
21.10.54-59	This indeed is the royal power of the king. It is the royal power itself of the Maruts. He drives him away with royal power from the royal power. The divine hosts of Indra follow the Maruts. This indeed is the path of the gods. He makes the path of the sacrificer follow the path of the Gods.
21.10.60	He who builds (the fire-altar) is indeed offering to it.
21.10.61	He illuminates it with the names of Maruts.
21.11.1	He offers a stream of ghee.
21.11.2	"He offers with the verse, "May I be a stream of ghee."
21.11.3	This is indeed offered.
21.11.4	This stream of ghee indeed stands by the sacrificer in the other world.
21.11.5	He offers continuously for the continuity of food and for non-interruption.
21.11.6	He should offer it to the one whom he hates.
21.11.7	He cuts off his food.
21.11.8	He offers with ghee.
21.11.9	Ghee is radiance.
21.11.10	The stream of ghee is radiance.
21.11.11	He places radiance in radiance.
21.11.12	This is offered for the establishment of the unequipped, for the binding of the unbound, for the conquest of the unconquered.
21.11.13	The breath and the out-breath.
21.11.14	He places the Prāṇāpāna (winds) in the sacrificer.
21.11.15	Food and sight.
21.11.16	This is the form of food.
21.11.17	He wins food by means of its form.
21.11.18	He offers twelve oblations.
21.11.19	Twelve months are a year.
21.11.20	He wins the food of the year.
21.11.21	Fire and water.
21.11.22	This is indeed the source of food.
21.11.23	He obtains food with its source.
21.11.24	He offers half of the Indra-offerings.
21.11.25	For the attainment of the deities.
21.11.26	When he offers half of the Indras,
21.11.27	Therefore Indra is the most favored among the deities.
21.11.28	He makes Indra the last.
21.11.29	He establishes the sacrificer in the power.
21.11.30	The rays and the light
21.11.31-38	The mouth of the sacrifice is the rays and the rays. He indeed obtains the mouth of the sacrifice. The ladles and the cups. These are indeed the forms of the sacrifice. He indeed obtains the sacrifice by means of the forms. The Avabhrtha and the Svagakara, for stability. Agni and the Gharma, for brahminical splendour. This is indeed the brahminical splendour of Agni.
21.11.39	He thus obtains the same.
21.11.40	"Three-fold and three-fold" (is the formula).
21.11.41	There are so many stages of animals.
21.11.42	He thus obtains animals of the same stage.
21.11.43	"One and three" (is the mantra).
21.11.44	"One and Three" is the human desire.
21.11.45	He thus attains the human desire. "Four and eight" (is the
21.11.46	formula).
21.11.47-54	The four and eight are the same as the divine desire. One obtains the divine desire. The two and three are the same as one and two. The two and three are one and two. The two and four are the same as two and four. The two, three, and four are the two, three, four, and five. The two, three, five, and six are the two, four, six, and eight. The two are the same as four. The two, four, and eight are the two, six, and ten. The two-and-a-half and three-and-a half are the same as three and four. One generates with the two-and-three-and-a quarter. One and three. One offers up to thirty-three. The thirty-three deities.
21.11.55	He wins the gods.
21.11.56	Four and eight.
21.11.57	Forty-eight.
21.11.58	The Jagati has forty-eight syllables.
21.11.59	Cattle are Jagatis.
21.11.60	He wins cattle.
21.11.61	He prospers in this world with the human metre,
21.11.62	in the other world with the divine metre.
21.11.63	He conquers both worlds.
21.11.64	Vājas and Prasavas.
21.11.65	These are the thirteen Vyāhrtis.
21.11.66	The year has thirteen months.
21.11.67	He grows to the end of the year.
21.11.68	May life be accomplished by sacrifice.
21.11.69	This is the accomplishment of the sacrifice.
21.11.70	Rks and Sāmans.
21.11.71	The stream of Soma is indeed food.
21.11.72	Having bound the stream of food with the stream of food, he becomes the giver of food.
21.11.73	Stoma and Yajus.
21.11.74	Stoma is indeed the divine kingdom, and Yajus is the divine kingdom.
21.11.75	He bestows the divine kingdom at the very end.
21.12.1	The gods fought a race for the Vaja-prasava.
21.12.2	Agni won it.
21.12.3	When one offers the Vaja-prasuva, it is for the winning of food.
21.12.4	He offers on every kind of food.
21.12.5	He obtains all kinds of food.
21.12.6	If he does not offer on a particular kind of food, he is deprived of it.
21.12.7	If he is not going to offer on a particular food, he should sprinkle it on the fire.
21.12.8	He obtains it by that.
21.12.9	He offers with a spoon made of Udumbara wood.
21.12.10	Udumbara is energy.
21.12.11	He obtains food by energy.
21.12.12-19	This is the consecration of Agni. Therefore, when it rains, one should not run. If one runs, one runs away from food. These are the National Supporters. This is the Agni that is being built up, the Kshatra (warrior caste) among the Agnis. These support his kingdom. That is why they are called National Supporters.
21.12.20	He gives him the kingdom with the same (bricks).
21.12.21	They are six.
21.12.22	There are six seasons.
21.12.23	He gives him the kingdom by means of the seasons.
21.12.24	And he stands firm in the seasons.
21.12.25	The oblations are in pairs for propagation.
21.12.26	They are twelve.
21.12.27	There are twelve months in a year.
21.12.28	He gives the kingdom to him by means of the year.
21.12.29	Then indeed he stands firm in the year itself.
21.12.30	He offers on the thirteenth day at the Rathamukha.
21.12.31	The chariot is indeed the thunderbolt.
21.12.32	By means of the thunderbolt he conquers the directions.
21.12.33	Having conquered those directions, he proceeds by chariot.
21.12.34	He offers the Vātahoma.
21.12.35	He indeed wins the wind.
21.12.36	He indeed is being worshipped by the fire-kindled one in this world.
21.12.37	He offers three times.
21.12.38	These are the three worlds.
21.12.39	He wins the wind from these worlds.
21.12.40	These worlds blow the wind for him.
21.12.41	He offers with a joined pair of hands.
21.12.42	The wind is the offering of the hands.
21.12.43	One should not offer the wind with offerings.
21.12.44	He obtains it only by one (offering).
21.12.45	"He says, 'You are the ocean, the shining one.'
21.12.46	These are indeed the forms of the wind.
21.12.47	One binds the wind with forms.
21.12.48	The breath is indeed the Gāyatrī.
21.12.49	The Gāyatrī is the Havirdhāna.
21.12.50	The Vyāna is the Tristubh.
21.12.51	The Tristubh is the Agnidhra.
21.12.52	The Apāna is the Jagatī.
21.12.53	The Jagatī is the Sadas.
21.12.54	"He is placed in the middle of heaven, the speckled stone."
21.12.55	Indeed, he is the Asura, the speckled stone.
21.12.56	He thus places the breath and out-breath in the Soma.
21.12.57	For the support of the breath and outbreath.
21.12.58	He places twenty-one in the Hotri-cup.
21.12.59	The twenty-one is the support of the Stoma-s; for support.
21.12.60	Eleven in the Brāhmaṇācchaṃsa.
21.12.61	The Tristubh has eleven syllables.
21.12.62	The Tristup is power.
21.12.63	He thus wins power.
21.12.64	Eight in the others.
21.12.65	The Gayatri has eight syllables.
21.12.66	One indeed stands firm in the Gayatri.
21.12.67	Six for the Marjalis.
21.12.68	There are six seasons.
21.12.69	The seasons have taken away this (oblation) to the south.
21.12.70	The fathers are the seasons.
21.12.71	Therefore, six are placed here.
22.1.1	The divine chariot is yoked for the heavenly world.
22.1.2	The human chariot is for desire.
22.1.3	"I yoke Agni with strength and ghee."
22.1.4	He yokes the chariot of the gods.
22.1.5	The yoked one carries him to heaven.
22.1.6	If he were to yoke with all (verses), Agni would be yoked to him.
22.1.7	The oblations would be without a support.
22.1.8	He yokes with three (verses).
22.1.9	Agni is threefold.
22.1.10	He yoked Agni as much as he is.
22.1.11-15	When that is done, the sacrifice is completed. With two (verses) he does not offer the oblations, for the establishment of the oblations. With two verses he touches the Stotra of the Yajñāyajñiya. This much is the sacrifice, as much as the Agniṣṭoma. The earth is yours, the sky is yours, the heaven is yours, the space is yours, the quarters are yours, the directions are yours, the world is yours, the world of heaven is yours, this world is yours, this is yours, this belongs to you, this is yours. This is done for you.
22.1.16	As far as the sacrifice extends, as far as the Agniṣṭoma extends, so far he ascends to heaven.
22.1.17	Indeed, these two fires, the Agniṣṭomah and the Vaiśvānara, are indeed burning.
22.1.18	He touches with two verses containing the word "peace" for peace.
22.1.19	With two verses.
22.1.20	The sacrificer has two feet for stability.
22.1.21	"May the seasons increase thee, O Agni, in accordance with the Rta."
22.1.22	He makes the seasons grow with the Sama hymns.
22.1.23	With the seasons, the year.
22.1.24	"He shines with the divine light."
22.1.25	Therefore Agni shines in all directions.
22.1.26	"The Asvins have taken away death from him."
22.1.27	One should do this for one who is afflicted with disease.
22.1.28	He removes death from him.
22.1.29	"We have risen above darkness."
22.1.30	sin is darkness.
22.1.31	He thus removes sin.
22.1.32	"He sees the light, the supreme."
22.1.33	The supreme light is the sun.
22.1.34	He attains union with the sun.
22.1.35	One should perform those which are not auspicious for peace.
22.1.36	Twenty-four.
22.1.37	The half-months of the year are twenty-four.
22.1.38-45	The year does not stand, nor does its glory stand, for him for whom these are performed. Now these are the Apryas. Prajapati, having created the creatures, was as if dissatisfied. He saw these Apryas. With them he satisfied himself. The sacrifice is Prajapati. When one becomes Apryas, One satisfies the sacrifice.
22.1.46	The (bricks) are deficient and excessive.
22.1.47	The (bricks) in pairs are for the sake of propagation.
22.1.48	This is the name of the metre of Prajapati, namely, Lomasha.
22.1.49	Animals are born with hair; for the sake of the propagation of animals.
22.1.50	All these are forms.
22.1.51	All forms are made in the fire-altar.
22.1.52	Therefore they are in the fire-altars.
22.2.1	Just as the re-installation of the fire, so is the re-installation.
22.2.2	One who does not prosper by the installation of the fire, he installs it again.
22.2.3	If one does not prosper by building the fire, one should build it again.
22.2.4	One prospers.
22.2.5	The first layer is the self.
22.2.6	The second layer is the offspring.
22.2.7	The third layer is the cattle.
22.2.8	One who is building the third fire should place these bricks on the middle layer for continuity.
22.2.9	This Agni is called Napāt.
22.2.10	One who knows this and places these (bricks) eats food.
22.2.11	He places eight (bricks).
22.2.12	The Gayatri has eight syllables.
22.2.13	He indeed stands firm in the Gayatri.
22.2.14	The oblation that is offered in the Agni-cīci-fire flows away.
22.2.15	The sacrifice follows that which flows away.
22.2.16	(The sacrifice) follows the sacrificer.
22.2.17	These are placed for the establishment of the oblations.
22.2.18	The sacrifice then follows those which have been established.
22.2.19	(The sacrificer) follows the sacrifice.
22.2.20	He places eight of them.
22.2.21-28	The Gayatri has eight syllables. Agni is Gayatri. He builds him as big as Agni. Having placed eight (bricks) he covers them with clay. The Gayatri has eight (syllables). Brahma is Gayatri. He builds him with Brahma. Having placed eleven Lokamprana bricks with the Gayatri metre, he covers them with earth.
22.2.29	The Tristubh has eleven syllables.
22.2.30	The Tristubh is energy.
22.2.31	He builds him with energy.
22.2.32	Having placed the twelve Lokamprana bricks with the Tristubh metre, he covers them with the earth.
22.2.33	The Jagati has twelve syllables.
22.2.34	The animals are Jagati.
22.2.35	He builds them with animals.
22.2.36	With the Jagati metre, there are three layers and three earth.
22.2.37	That makes six.
22.2.38	There are six seasons.
22.2.39	He establishes himself in the seasons.
22.2.40	They say, "This is indeed the northern altar. If his fire were to be built here first, he should perform the sacrifice after approaching it."
22.2.41	Just as one adds more to a burning fire, so he places that superior brilliance in him.
22.2.42	They say, "Who is worthy to awaken the sleeping one?"
22.2.43	By offering oblations, he nourishes him.
22.2.44	When one builds a fire altar, one is creating a house.
22.2.45	Whatever one obtains from elsewhere, one brings it to the house.
22.2.46	If one were to sacrifice with the desire, if with an animal, if with Soma, then one should sacrifice after having approached the fire that was previously laid down for him.
22.2.47	Just as one brings home wealth from elsewhere, so does one do this.
22.3.1	Having performed the Ukhā sacrifice for a year, in the second year, he should offer an oblation of eight potfuls to Agni, eleven potfuls to Indra, twelve potfuls to Viśve Devās, rice-gruel to Brhaspati, three potfuls to Viṣṇu. In the third year, having performed the Pariyajña sacrifice, one should perform the Abhijit sacrifice.
22.3.2	The oblation of eight pots is because the Gāyatrī metre has eight syllables.
22.3.3	The morning pressing is Agni's, in the Gayatri metre.
22.3.4	He thus established the morning pressing and the Gayatri metre in it.
22.3.5	Because it has eleven potsherds, the Tristubh metre has eleven syllables.
22.3.6	The midday pressing is Indra's, in Tristubh metre.
22.3.7	He established the midday pressing and the Tristubh in it.
22.3.8	The potsherds are twelve, the Jagati metre has twelve syllables.
22.3.9	The Visvadevya is the third pressing.
22.3.10	He thus supports the Jagati metre.
22.3.11	What is dedicated to Brhaspati, Brhaspati is Brahman.
22.3.12	He thus supported Brahman.
22.3.13	What is for Vishnu, Vishnu is sacrifice.
22.3.14	He thus upholds the sacrifice.
22.3.15	What is offered in the Abhijit (pressing), it is for victory.
22.3.16	What is the Ukhya (vessel) that is kept for a year,
22.3.17	He thereby touches this world.
22.3.18	What he sews as the second,
22.3.19	He thereby touches the atmosphere.
22.3.20	What he offers, he thereby touches that world.
22.3.21	Parāṅnāra, Kākṣīvāna, Auśija, Trasadasyu, Paurakutsas, desiring offspring, sewed it.
22.3.22	Then they obtained a thousand sons.
22.3.23	He goes to the very place where they went, he who knowing thus builds it.
22.4.1	Prajapati first built this Agni with the seasons. He dwelt in the spring in the eastern half, in the summer in the southern half, in the rains in the northern half, in the autumn in the tail, in the winter in the middle.
22.4.2	Brahma indeed fashioned his forepart.
22.4.3	The right wing with Kshatra, the left with the people, the tail with cattle, and the middle with the vital airs.
22.4.4	This is all that there is.
22.4.5	He touches what there is.
22.4.6	They listen to him who is about to make the fire; he eats food and shines.
22.4.7-12	What is the first layer? What is the excrement? The Brahmins say. This very one is the first layer, plants are the excrement. The second layer is the intermediate space, animals are the excrement The third layer is the sky, the stars are the excrement, The fourth layer is the sacrifice, the Dakshina is the excrement, the fifth layer is the self, the progeny is the excrement.
22.4.13	If one were to build a three-layered altar, one would obstruct the sacrifice, the sacrificial fee, oneself, and offspring.
22.4.14	Therefore, it should be built with five layers.
22.4.15	If there are three layers, Agni is threefold.
22.4.16	If there is one, the sacrificer is bipedal.
22.4.17	These are the three worlds.
22.4.18	One prospers in these worlds.
22.6.1	The year with its seasons is the same.
22.6.2	The year is the year.
22.6.3	The months are the Ayus, the Ushas are the Arunas, the Sun is the Etash, these are the Ashvins.
22.6.4	The year is Agni Vaisvānara.
22.6.5	Animals are Ida.
22.6.6	Animals are ghee.
22.6.7	Animals are born after the year.
22.6.8	He generates animals for him from the year itself.
22.6.9	He offers on a darbha stalk.
22.6.10	Or, whatever is her immortal (part), whatever is her strength, that he pours forth.
22.6.11	He offers in that which is her immortal (portion) and her strength.
22.6.12	One who offers thus does not die before his time.
22.6.13	"The variegated army of the gods has risen."
22.6.14	He offers on the head of a man.
22.6.15	Day is Mitra.
22.6.16	Night is Varuna.
22.6.17	This is all that exists.
22.6.18	Whatever exists, he touches.
22.6.19	He offers with a Sūrya verse.
22.6.20	Therefore, among animals, the man alone faces the sun, others face away from it.
22.6.21	Because he offers twice with the same verse, therefore a man has two feet.
22.6.22	He who does not yoke himself to the Agni Yoga when it has come, and does not yoke himself when others are yoked,
22.6.23	For thou, O Agni, art the summoner of the gods, and thou art the summoner for them.
22.6.24	He thus yokes Agni when he has come to the yoke.
22.6.25	He yokes him in those who are yoking him, who know thus.
22.6.26	He yoked him with two (verses).
22.6.27	The two are not rigid.
22.6.28	He who does not unyoke Agni when he has arrived at the unyoking, and does not unyoil him in those who unyoke him,
22.6.29	Earth is like a mother to her son, the man.
22.6.30	He thus releases Agni when he has come.
22.6.31	He releases those who are being released, he who knows thus.
22.6.32	Now these are the Sanyani (verses).
22.6.33	These are the divine deities leading to heaven.
22.6.34	By them alone one goes to the heavenly world.
22.6.35	This indeed is the Gāyatrī with luminous wings.
22.6.36	By it alone one goes to heaven.
22.6.37-43	Just as a boat crosses from water to water, so does one cross over to the other world through these (stones). That is why they are called 'crossers'. Now these are the names of the seasons. One indeed obtains the seasons. 'Sumeka' (means) the year. One indeed attains the year.
22.6.44	Now these are the bricks of the sun.
22.6.45	The sun takes away the brilliance of him who is about to build a fire-altar, and does not shine.
22.6.46	When these are laid down, it is as if one were to add more to something shining. Thus he places the brilliance in him in an increasing manner.
22.6.47	The sun does not take away his brilliance.
22.6.48	As he is among the gods, so is he among men.
22.6.49	Now these bricks of ghee.
22.6.50	Fire is brilliance.
22.6.51	Ghee is brilliance.
22.6.52	He places brilliance in brilliance.
22.6.53	Now these are the bricks for rain.
22.6.54	He obtains rain with these.
22.6.55	With these, Agni, when built, rains as he wishes.
22.6.56-61	That is the nature of the clouds. Now these are the Self. This indeed did Shankha Kousya say to his son Agni who was about to perform the fire sacrifice: "Do not perform the fire sacrifice." "Why?" "Because all the Self is not Agni." "But how can it be that all the Self is Agni?"
22.6.62	When these are placed, he builds the fire with a self.
22.6.63	They become re-cut.
22.6.64	He joins the breath with the breath.
22.6.65	Now this is the sixth layer.
22.6.66	If one who is building a fire does not succeed, he should place this sixth layer.
22.6.67	There are six seasons in a year.
22.6.68	He stands firm in the seasons themselves in the year.
22.6.69	These are indeed the deities leading to heaven.
22.6.70	By means of them one goes to the heavenly world.
22.6.71	These are the deities to be invoked.
22.6.72	One should say to him whom one hates, "I place him in your jaws."
22.6.73	He is indeed turned away from these deities.
22.6.74	He is indeed destroyed.
22.7.1	The gods went to heaven by means of Agni.
22.7.2	They were pursued by the Raksases, who followed them from behind.
22.7.3	The gods saw these Vitarani bricks.
22.7.4	With them they killed the Raksases.
22.7.5	When he lays down two in front and two behind,
22.7.6	he places the eyes on both sides for the sake of killing the Raksases.
22.7.7	They are of the same size as the sacrificial grass, for the release of the vital airs, for the attainment of the heavenly world.
22.7.8	There are four.
22.7.9	From that, the eyes have four forms, two white and two black.
22.7.10	For the attainment of the heaven, Agni is piled up.
22.7.11	If one were to make it eleven-fold, one would be seized by the thunderbolt in front and would not attain heaven.
22.7.12	If the animals of one who has performed the Ekādaśina sacrifice are not protected,
22.7.13	one should offer eleven animals on one stake.
22.7.14	It is indeed heavenly.
22.7.15	It protects the animals.
22.7.16	One should not make it equal to the wings.
22.7.17	If one were to make it equal to wings, one would approach a lesser sacrificial rite.
22.7.18	One's own progeny would be inferior.
22.7.19	This is what Jātaśākaṇya said to Śaṅkha Kauṣya.
22.7.20	"The Ekādaśini (eleventh day) is measured by the length of the wings, and it is called Ameṣṭa."
22.7.21	Having heard about the lesser sacrificial rite, he approached.
22.7.22	"He thought, 'This will be the offspring of my sinful self.'"
22.7.23	Then they consider him to be defeated.
22.7.24	One should measure it by the length of a Veda.
22.7.25	He approaches the sacrifice of the elder.
22.7.26	His offspring does not become inferior.
22.7.27	They say, "For whom is Agni to be piled up?"
22.7.28	Agni is piled up so that the gods may know him.
22.7.29	He who, knowing this, piles up Agni, the gods know him.
22.7.30	They say "For whom is Agnis to be piled up?"
22.7.31	"My house is here" - thus the fire is piled up.
22.7.32	He who, knowing this, piles up the fire, becomes a householder.
22.7.33	They say, "For whom is the fire piled up?"
22.7.34	"Food is obtained" - thus the Agni is piled up. 
22.7.35	He who, knowingly, piles up the Agni, eats food.
22.7.36	One should observe the vow after piling up the fire.
22.7.37	Having first built the fire, one should not approach his wife.
22.7.38	Having built the second, one should not go to other women.
22.7.39	Having built a third, one should not (go to) any (woman).
22.7.40	One who builds a fire places semen.
22.7.41	If one approaches (his wife), one would be deprived of semen.
22.7.42	They say that those bricks which are the semen-seeds are the semen-bearers of the fire-builder.
22.7.43	Therefore, one should approach it.
22.7.44	One who is going to perform the first sacrifice should offer a thousand bricks.
22.7.45	This world is of the size of a thousand.
22.7.46	One who performs the second sacrifice should offer two thousand bricks.
22.7.47	It is of the size equal to the atmosphere.
22.7.48	One who offers the third sacrifice should offer three thousand bricks.
22.7.49	These are the three worlds.
22.7.50	It is equal to these worlds.
22.7.51-58	Prajapati, indeed, created Agni in the form of a fire-altar. By that he created the creatures. They entered him. He said, "He alone shall prosper among my creatures who will build this (fire-altar). Agni is Prajapati. When one builds Agni, one builds Prajapati. One prospers. That is the reason why it is called 'cit'.
22.7.59	He gave it to the Vasus.
22.7.60	With that, the Vasus created three hundred and thirty.
22.7.61	Those Vasus gave it to the Rudras.
22.7.62	With that the Rudras created three hundred and sixty.
22.7.63	Those Rudras gave it to the Adityas.
22.7.64	The Adityas created three hundred and thirty.
22.7.65	The Ukha is the thousandth.
22.7.66	He who knows the Ukha as the thousandth goes to the thousandfold prosperity of cattle.
22.8.1	The Agni should be built in accordance with the prescribed form.
22.8.2	He who builds the Agni in accordance with the form prescribed, does not have any other form.
22.8.3	He should touch the first layer of bricks laid down with the Gayatri verse, the second with the Tristubh verse, the third with the Jagati verse, the fourth with the Anustubh verse and the fifth with the Pankti verse.
22.8.4	One builds the fire in the form in which it is built, and it does not take on another form.
22.8.5	The first layer is the breath, the second layer is the Vyana breath, and the third layer is the Apana breath.
22.8.6	He kindles it with the Prāṇāpāna breaths.
22.8.7	This is the division of Ida.
22.8.8	Ida is cattle.
22.8.9	He builds him with cattle.
22.8.10	One should build Agni after having told Prajapati.
22.8.11	He who builds Agni without having told Prajapata suffers misfortune.
22.8.12	The horses should stand around, a black one to the north and a white one to the south.
22.8.13	One should offer them at each brick.
22.8.14	This is indeed the form of Prajapati.
22.8.15	The horse is of Prajapati's nature.
22.8.16	He indeed offers to Prajapati and Agni.
22.8.17	He does not meet with misfortune.
22.8.18	He gives a golden vessel filled with honey to the Brahman.
22.8.19	He becomes one who enjoys honey.
22.8.20	One hundred.
22.8.21	Man has a life span of one hundred years and one hundred powers.
22.8.22	He indeed obtains life and power.
22.8.23-30	The bright array of the gods has risen. He looks at the bright one. He becomes bright. At midday he makes the horse smell. This is indeed the sun. This is Indra, the Prajapati. The horse is Prajapati. He becomes visible.
22.8.31	He who knows the attainment of Agni attains him, for whom Agni is piled up.
22.8.32	One should approach the piled up Agni while departing.
22.8.33	"With initiation, with austerity, with sacrifice, with Avabhṛtha, with Vasha, you attain."
22.8.34	It becomes five.
22.8.35	There are five seasons.
22.8.36	The seasons are the year.
22.8.37-42	The year is Agni Vaiśvānara. One attains the desire for which Agni is kindled. The Brahmanists say that it is one brick. Speech is one brick. The Brahman is one brick. These are the worlds.
22.8.43	They say, the three bricks called "Sarkara" are known to us. We know the three worlds to be the Agni to be kindled.
22.8.44	Agni should be kindled with truth.
22.8.45	One should touch the first brick with the word "bhūr", the second with the word "bhuvah" and the third with the word "svar".
22.8.46	This is indeed the truth of speech.
22.8.47	He builds the fire with truth.
22.8.48	The Brahmavādins say that the fire is built with truth, without truth.
22.8.49	He who builds it thus builds it with truth.
22.8.50	They say, "For which deity is the fire built?" The Brahmavādins reply,
22.8.51	For Prajapati alone.
22.8.52	What is the offering for him?
22.8.53	The self itself.
22.9.1	Water was here, only water.
22.9.2	That Prajapati, having become wind, moved on the lotus leaf.
22.9.3	He did not find support.
22.9.4	He saw this nest of water.
22.9.5	Prajapati built this fire in the middle of the water.
22.9.6	This became.
22.9.7	Then he stood firm.
22.9.8	This is indeed Agni.
22.9.9	Therefore, whatever they dig here, they dig for the desired (earth), they dig for the gravel.
22.9.10	What he placed in front, that became the head.
22.9.11	That is the eastern direction.
22.9.12	What he put on the right side, that became the right wing.
22.9.13	That is called the southern direction.
22.9.14	What was placed behind, that became the tail.
22.9.15	That is known as the western direction.
22.9.16-23	The northern direction was the northern wing. The western direction was the western wing. The southern direction was the southern wing. The northern direction was the upper wing. The upper direction was the upper part. This is Agni, the five-brick. He who knows this is born, goes, and attains stability. The Brahman is Agni. Therefore, one should give to a Brahman in all directions.
22.9.24	He follows his own direction.
22.9.25	For all this world shines by night for the Vayas.
22.9.26	Therefore these Vayas do not approach by night.
22.9.27	This is the nest of the waters.
22.9.28	Therefore the waters are very near to it.
22.9.29	For this is the nest of waters.
22.10.1-5	If he thinks that his enemy has gone before him, then he should place eight Lokamprinas before the Bahispavamana. Eleven before the Madhyandina Pavamana. Twelve before the Arbhava Pavamana. This indeed is the Pavamana. Vayu is the brilliance of Agni.
22.10.6	He who has gone before him is his enemy, he drives him away by means of his energy.
22.10.7	If he thinks that his enemy will be behind him, he should place them behind these Pavamana verses.
22.10.8	This indeed is the Pavamana, he who blows.
22.10.9	Vayu is the energy of Agni.
22.10.10	He who is his enemy behind him, he drives him off by means of his power.
22.10.11	He pushes away the better brother.
22.10.12	He pushes away the worse brother.
22.10.13	This is the one who is sacrificed to.
22.10.14	Prajapati was afraid of the fire in the cauldron.
22.10.15	His head fell off.
22.10.16	The gods became exhausted by it.
22.10.17	They put his head back.
22.10.18	When Agni, Prajapati, ascended the cauldron, he ascended the year.
22.10.19-23	The one who carries the fire for a year. He restores the head of Prajapati. Therefore, the fire should be carried for a year. If it is carried for less than a year, it is not proper. The gods who ascended upwards with light, the Adityas and Vasus, and the Rudras,
22.10.24	By means of that (fire) by which the Angirases attained greatness, may the sacrificer come (here) with welfare. Having anointed the kindling-wood with ghee, he places it.
22.10.25	This is indeed a kindling-wood.
22.10.26	And this is indeed a means of welfare for the sacrificer.
22.10.27	The fires that have entered the ashes, following the earth,
22.10.28	Of these, you are the best. Do thou, O Agni, for our life, bestow wealth. He should approach his own Agni, saying, "Thou art Agni, the best."
22.10.29	He attains the whole span of life.
22.10.30	"O Agni, I approach thee day by day."
22.10.31	With this three-verse hymn, he should approach others.
22.10.32	It is indeed a blessing.
22.11.1	When the Dhishnya bricks are laid down, then with three Barhaspatya bricks he lays down three towards the south.
22.11.2	Then with three Yamya bricks three towards the east.
22.11.3	Then with the three Rudra bricks three towards the south of the animal sacrifice.
22.11.4	Then with thee Varuni bricks three in the Avabhrtha.
22.11.5	The Rakshas demons tried to steal the sacrifice of the gods from the south.
22.11.6	They were slain by Brahma.
22.11.7	Brahma is Brihaspati.
22.11.8	The offerings to Brihaspati are placed in the south for the sake of destroying the Rakshas.
22.11.9	Now the Yami goddesses.
22.11.10	By these goddesses, the Asura Devala obtained the lower and higher worlds.
22.11.11	Those who are placed here, may these worlds, the lower and the higher, shine for him.
22.11.12	Now the Rudra ones.
22.11.13	This is indeed Rudra. The animal sacrifice is itself.
22.11.14	He is indeed the lord of this. Having risen from here, he would destroy.
22.11.15	By placing the Rudra ones, he appeases Rudra by that.
22.11.16	Now the Varuna ones.
22.11.17	The waters are indeed Varuna.
22.11.18	This is indeed the Lord, who is released from the Avabhṛtha, and is seized by Varuna.
22.11.19	When he lays down the Varuni bricks, it is for release from Varuna.
22.12.1	If this deity were to injure the creatures while being carried on the Ukhā, then with the three Agniya and Bhisagvatī bricks he should lay down three kindling-sticks.
22.12.2	This indeed is what this deity injures.
22.12.3	Whatever she puts in with the Bhishaghvatis, she makes it a remedy.
22.12.4	That is indeed peace.
22.12.5	If one desires rain when the fire is being carried around, one should put in three kindling-sticks with the three Sūrya-rays-possessing verses.
22.12.6	When Parjanya does not rain, he indeed throws his creatures into distress.
22.12.7	When he places the rays, he causes rain to fall.
22.12.8	It rains immediately.
22.12.9	If one desires that it should not rain when the oblation is being carried on the fire, one should place three kindling woods with the three rays of the sun.
22.12.10	It causes brightness.
22.12.11	It does not rain equally.
22.12.12	If the ladle is broken while being heated, one should place it on these four (bricks) with the formulas, "O Agni, turning back, O Agni, Angiras, again with energy and wealth."
22.12.13	They indeed find (the ladle).
22.13.1	They make the eastern beam.
22.13.2	The eastern direction indeed belongs to the gods.
22.13.3	He indeed turns towards the world of gods.
22.13.4	This is the eastern direction.
22.13.5	He goes up to this very sun.
22.13.6	They consecrate him when the Parashrita (rite) is performed.
22.13.7	Having surrounded the world of gods, they consecrate him in it.
22.13.8	He who goes to the other world from this world,
22.13.9	The other world is as if hidden from here.
22.13.10	One should perform the consecration in the Sraktis.
22.13.11-19	Therefore he does not go from this world. He offers a cake on eleven potsherds to Agni-Vishnu. Agni is all the deities. Vishnu is the sacrifice. Having obtained the deities and the sacrifice, he approaches initiation. Agni indeed is the purifier. Vishnu indeed is the sacrifice. Having obtained the purifier and the sacrifice, one approaches the sacrifice. Since it is on eight potsherds, it is dedicated to Agni.
