1.1.1	Agni is the lowest of the gods, Vishnu is the highest, and between them are all the other gods.
5.5.2	The verse "Your bull, the lord of the herd, is fierce" is the fierce, profound hymn, the fierce hymn, the form born of the womb, the form of born of the womb. The verse "Your bull" is the form of the fierce hymn, of the fierce hymn.
5.5.3	That is the Tristubh (metre). By that (verse) which has the firm position, he supports the Soma-pressing (ceremony). By this (verse) one does not fall away from the abode.
5.5.4	"O ye who are in the assembly, I am the one who is not afraid." This is the verse of the fourth day. It is as if it is the day of exertion. By this (verse), it is the form of the fourth day.
5.5.5	Those are the Gāyatrī verses. The Gāyatrī metres carry the midday of this three-day rite. That metre carries on which the Nidhana is placed. Therefore he places the Nidhana in the Gāyatrīs.
5.5.6	The Visvadevam Satpati is the verse of the Visvadevah. The verses of the Visvadeva are the verses of the Visve Devas. The verses of Visve Devas are the verses of all the gods. The verses of all the Devas are the verse of the lord of all the Degas. The verses of Savitar are the verses of Savitar. The verses of Saritar are the verses that follow the first verse. The verses of Sarasvati are the verses of Sarasvati. The verses of Sara-svatl are the verses that are in the Sarasvati stoma. The verses of Indra are the verses of Indra. The verses of Indrah are the verses that come after the first verse.
5.5.7	The verse of Savitar is the verse of Savitar. Savitar is the god who comes with the good gem. This is the verse of Saritar. It comes on the fourth day, which is the form of the fourth day.
5.5.8	The first verse is addressed to heaven and earth, the second to the earth, the third to the heaven, and the fourth to both heaven and earth. Thus the fourth day is the form of the fourth day.
5.5.9	The first verse is addressed by the Rishis to the messenger, as if to speech, the second to speech, and the fourth is addressed to both. Thus the fourth verse is the form of speech.
5.5.10	The verse, "May the Goddess come with the bright (rays), with the mind" is addressed to all the gods. The word "pre" and "sukra" are in the fourth verse. This is the form of the fourth day.
5.5.11	There are verses with two feet and four feet. This is the nature of the fourth day.
5.5.12	"May we be in the good opinion of Vaishvanara." This is the first verse of the Agni-Marut hymn. "Born here" is the fourth verse, the form of the fourth day.
5.5.13	"Who has revealed them, the men with nests?" This is the Marut hymn. "For none knows their lineage." This is the fourth verse of the Marut hymn, the form of fourth day.
5.5.14-16	They are the metres. There are two-footed ones and four-footed ones. Thus it is the form of the fourth pressing. "We pour Soma to Jātavedas." Thus it is the fourth pressing. "Agni, men, with rays, from the kindling wood." Thus it is Jātavedasyam. "They generate the fourth pressing." Thus it is Jatavac. Thus it is form of the fourth day.
5.5.17	Those are the metres, those are the Virajas, those are the Tristubhs. Thus is the form of the fourth day.
5.6.1	The cow is the deity of the fifth day. The Trinava stoma, the Sakvara Saman, the Pankti metre, as per the deity, as per the stoma, as per the Saman, as per the metre, one succeeds by knowing this.
5.6.2	What is neither this nor that, what is established, that is the form of the fifth day.
5.6.3	What was the second day, that is again the fifth.
5.6.4	What is above, what is below, what is within, what is manly, what is increasing, what is in the middle, what is the deity, what is the heaven, what is the atmosphere, what is the earth, what is the sky, what is the space, what is the air, what is the fire, what is the water, what is the moon, what is the sun, what is the wind, what is the lightning, what is the thunder, what is the rain, what is the cloud, what is the rainbow, what is the darkness, what is the light, what is the day, what is the night, what is the morning, what is the evening, what is the dawn, what is the twilight, what is the past, what is the future, what is the present, what is the truth, what is the untruth, what is the good, what is the bad, what is the right, what is the wrong, what is the true, what is the false, what is the real, what is the unreal, what is the existent, what is the nonexistent, what is the known, what is the unknown, what is the seen, what is the unseen, what is the heard, what is the unheard, what is the thought, what is the unthought, what is the spoken, what is the unspoken, what is the done, what is the undone, what is the attained, what is the unattained, what is the
5.6.5	What is like milk, what is like a cow, what is like the cow, what is variegated, what is like intoxication, what is like an animal, what is like what is below, what is like animals, what is like cattle, what is like sheep, what is like goats, what is like cows, what is like horses, what is like asses, what is like camels, what is like birds, what is like beasts, what is like insects, what is like flies, what is like bees, what is like ants, what is like all animals, what is Jagata, for animals are Jagata, what is Bharata, for animals belong to Bharata, what is Panka, for animals are Panka, what is Vama, for animals are Vama, what is Havishmat, for animals are Havishmat, what is Vapusmat, for animals have Vapusmat, what is Shakra, what is Panaka, what is Kurva, what is the form of the second day, these are the forms of the fifth day.
5.6.6	This is the offering of the fifth day. The fifth day is connected with the Gayatri metre, and the animal sacrifice is in the form of the Gayatri. The fifth day has the form of the fifth day.
5.6.7	Come to our sacrifice that touches the sky. O Vayu, for our great deed, with your chariot of great speed, many of you, with the sun as your eye, these are your praises in heaven. Drink the juice of the pressed (Soma). For the sake of the god, for the sake of the gods, for the sake, of the god, the great, I sing. This is the Barhaspatya Prauga on the fifth day, the form of the fifth day.
5.6.8	The verse "Yat pañchajanayā viśe" is the first verse of the Marutvatīya hymn. "Pañchajanayai" means the fifth verse of the fifth day, which is the form of the fifth day.
5.6.9	Indra, the drinker of Soma, is one. Indra, come here. O Brahmaṇaspati, Agni is the leader. O Soma, with the rites, they swell the waters. The great one sings for Indra. On the second day, the same as the first, on the fifth day, the form of the fifth day.
5.6.10	The hymn "O Soma, thou art the drinker of the Soma juice, the Soma-presser, the Soma-sacrificer" is five-fold, consisting of five verses, and is the form of the fifth day.
5.6.11	The hymn "Thus indeed is Soma in his intoxication" is five- fold, consisting of five stanzas, and is the shape of the fifth day.
5.6.12	"O Indra, drink the Soma for thy joy." This is the Sukta. It is in the Tristubh metre. By this he supports the Savana in the established position. He does not fall away from his abode.
5.6.13	"O Indra, the son of Maruts, the son of Meha." This is the Parayasa. "No, not so." On the fifth day, it is the form of the fifth day.
5.6.14	Those are the Gāyatrī verses. The Gāyatrī meters carry the midday of this three-day rite. That is the meter that carries the rite in which the Nidhi is performed. Therefore, he places the Nidhi in the Gāyatrīs.
5.7.1	Here they praise with the Mahānāmnī verses and the Śākvara Sāman on the fifth day, the fifth day of the rite.
5.7.2	Indra, by means of these (verses), fashioned himself into the great (form). Therefore they are called Mahānāmnī. These worlds are Mahānāmnīs; these are great.
5.7.3	Prajapati, having created these worlds, was unable to do anything else. Whatever Prajapati, after creating these worlds, was not able to do, that became the Sakvaris. That is the reason for the name Sakvaris.
5.7.4	The gods, having gone upward, created the boundaries. Because they created the boundaries, they became boundaries. That is why they are called boundaries.
5.7.5	The sweet one, the one who is thus, the one who has the good, has come to us with the tawny ones. Indra has been increased by all. The Anurūpa, the one with testicles, the one with tawny hair, the one who drinks, the one who increases, on the fifth day, the form of the fifth day.
5.7.6	"The one who is thus" is the one who is called "the one who is thus."
5.7.7	"O hero, they praise thee" (is the verse) which turns back in the form of Rathantara. For this day is connected with Rathantara.
5.7.8	"O thou who art praised, O thou who art praised" (is the hymn) which is connected with the Sama-prastara. It is the form of the animal on the fifth day, the form of the fifth day.
5.7.9	"O ye, the swift, the divine-coursed" (is the text) which is connected to Tarksya.
5.8.1	"This is the hymn, 'I have come to the battle of Brahma and Vritra.' It is a five-verse hymn with five lines, the form of the fifth day.
5.8.2	"The hymn, 'Indra has grown for the sake of intoxication,' is intoxicating, with five verses and five lines, the fifth day's form.
5.8.3	The verse, "O Indra, thou art the giver of wealth to all men," is in the Tristubh metre. By this verse, which is in the position of the Stomas, he supports the Soma-pressing. He does not fall away from his abode.
5.8.4	"We invoke that Indra, the strong," is a Parāsa verse. "He is the bull, the male," is in the form of an animal. It is the form of the fifth day, the fifth day.
5.8.5	Those are the Gāyatrī verses. The Gāyatrī meters carry the midday of this three-day rite. That is the meter that carries the rite, therefore he places the Nidhi in the Gāyatrīs.
5.8.6	"We choose the Savitar of this day. Today, O god Savitar, for us." The first two verses of the Vaishvadev rite are the followers of the Rathantara rite on the fifth day, the form of the fifth day.
5.8.7	The god Savitar, the giver, has risen up. This is the Savitri verse. He gives much good to the worshipper. This is the form of the fifth day, the form of the fourth day.
5.8.8	The great heaven and earth are here the best. This is the Dyava-Pritbavi verse. The bull roars. This is the animal form on the fifth day, which is the form of fifth day.
5.8.9	"O Rāhu, O Vibhu, O Vāja, O Indra, be favourable to us." The Ārbhava (verse) is the form of cattle. The fifth day is the form of the fifth day.
5.8.10	"I praise the people of good conduct with new (verses)." The Vaishvadeva (verse) is a form of cattle. It is the form of a cattle. The fifth is the form of fifth.
5.8.11	The Agni-Marut hymn, "The Agni-Marut, the immortal, the knower of heaven," is the form of the fifth day, the fifth day.
5.8.12	"That form is indeed for the one who knows," is the form for the Marut-Vapus hymn on the fifth day, which is the form of that day.
5.8.13	"We offer Soma to Jātavedas," is the form in the Jātavedasa hymn.
5.8.14	Agni is the Hotar, the householder, the king. This is the form of Jātavedas, the animal-form, on the fifth day, the form of the fifth day.
5.9.1	The sixth day is indeed the field of the gods. Those who come to the sixth day come to the field of the Gods.
5.9.2	The gods do not dwell in each other's houses. They say that the dancer dwells in the house of the season. As the priests perform the seasonal sacrifices according to their respective rites, they do not pass on the tradition. As the people arrange the seasons according to their respective seasons,
5.9.3	They say that one should send forth with the Rtu-praisa, and offer the Vasat with the Rtupraisa. The Rtupraisa is obtained by speech. Speech is obtained on the sixth day.
5.9.4	If they were to offer with the Rtu-praisa-offerings, or if they were to pronounce the Vasat-call with the Rtupraisa-offer ings, they would reach speech which is worn out, exhausted, broken down, and worn out.
5.9.5	If they were not to send forth (the oblations) with these (verses), if they were not to consecrate them with these (verses) they would be excluded from the unfailing sacrifice, from the sacrifice, from life, from Prajapati, from the animals. They would be deprived.
5.9.6	Therefore, one should send forth the Rg verses, and one should make the Vasat call over the Rg verses. The Rg verses are not the speech that is exhausted, worn out, and carrying burdens, they do not go beyond the sacrifice, they do not deviate from the sacrifice, from life, from Prajapati, from the animals, they go to the low.
5.10.1	The Paruṣa-verses are recited at the two earlier pressings. The Paruṣas are the name of this metre. By this Indra ascended the seven heavenly worlds.
5.10.2	He who knows thus ascends the seven heavenly worlds.
5.10.3	They say that the fifth day has five feet and the sixth day has six feet. But why are the sixth day's feet seven?
5.10.4	By means of six steps only they reach the sixth day, as if cutting off the seventh day. They begin the seventh day with the seventh step. They again take up speech for continuity.
5.10.5	Those who know thus go with uninterrupted three days.
5.11.1	The gods and the Asuras fought for these worlds. The gods drove the Asuras from these worlds with the sixth day. They took the treasures that were in the Asuras' hands and went to the ocean. They took the treasure that was in the Asuras’ hands with this very metre. That which is this step and step again, that was the goad for taking possession.
5.11.2	He who knows this, he who gives wealth to the non-hating one, drives him away from all these worlds.
5.12.1	The sky is the deity, the thirty-third stoma carries the sixth day, the Raivata Sama, the Atichanda metre, he succeeds according to the deity, according to the stoma, according to the Sama, according to the metre, he who knows this.
5.12.2	Now, that which has the same effect is the form of the sixth day, for what was the third day is this again, which is the sixth. What has horses, what has an end, what is repeated, what is again danced, what has sex, what has been turned around, what has three, what has the form of the end, what is said to be the deity in the highest place, what is the world that has risen.
5.12.3	The Paruṣchepa, the Saptapad, the Nārāśaṃsa, the Nābhanediṣṭha, the Raivata, the Atichandas, the Kṛt, the form of the third pressing, these are the forms of the sixth pressing.
5.12.4	This is the oblation for the sixth day. The sixth day has the form of the sixth day.
5.12.5	Spread out the sacrificial grass for us, come to us, O Vītaha. May the chariot, with its many horses, come to us for the sacrifice. Come, O youthful ones, with the mountains, to the praises. O Aśvins, may we be praised by the singers. O Indra, O bull, O Indra, listen to us. O Agni, listen to us, you who are invoked. The gods who are eleven in heaven, the one who gave the gift, the one who fell into debt. This is the Prāga, the Pāruṣeṣa, the Atichandas, the Saptapada, the form of the sixth day.
5.12.6	The first one is called Mahānāmnā. The first foot of the Marutvatīya Sāman is the end. The sixth day is the end. In the sixth day, the form of the sixth day is.
5.12.7	Three are Indra's Soma-offerings. Indra, come hither! Now indeed the Brahman-lord, Agni, the leader, thou, O Soma, with the rites, swell the waters. The giver of good gifts, the chariot. On the third day the thread is stretched out. On the sixth day is the form of the sixth day.
5.12.8	The hymn "O Indra, the chariot which thou hast driven with thy mind" is the Paruchespa hymn, consisting of seven verses and six feet, the form of the sixth day.
5.12.9	The hymn "He who is a bull, equal to bulls" is the Samaudarka hymn, the form of sixth day.
5.12.10	"O Indra, do thou here protect the Soma with the Maruts." This is the hymn. "Do thou drink together with them, the eater of Vritra." The eater of Vritras is the end. The sixth day is the end. It is the form of the sixth day.
5.12.11	It is Triṣṭubh. By it he supports the pressing with the firm position. He does not fall away from his abode.
5.12.12	This is the final verse of the first day. The final verse of the second day is "This is the one by which." The final verse of this day is "The heaven won by the Maruts." The final verse is the end, the sixth day is the end, it is the form of the sixth day.
5.12.13	Those are the Gāyatrī verses. The Gāyatrī meters carry the midday of this three-day period. That meter carries what is placed in it, therefore he places the Nidhi in the Gāyatrīs.
5.12.14-16	The Rêvatîs are our most excellent friends. The Rêvatis are our most excellent friend. The Rêvata is the praise. The Barhaspatya is the Sâman. The Barhas-patya is the Sama. The Barhaspa-tya is the Sâma. The Barhasp-tya is the Sama. On the sixth day, the sixth day. On the sixth, the sixth. On the sixth. The sixth. The sixth day. The sixth day.
5.12.17	"Indra is the deity of the gods" - this is the Sama-pragatha (hymn) sung on the sixth day, in the form of the sixth day.
5.12.18	"O ye, the swift, the divine-chariot, the horse" - this is Tarksya, the unfallen.
5.13.1	"O Indra, come to us, from afar" - this is a hymn, a Parucchepa (hymn), with irregular metres, consisting of seven lines, sung on the sixth (day), in the form of sixth day.
5.13.2	The verse, "Indeed, his great greatness" is the same as the verse, "Indeed his great greatness." It is the form of the sixth day.
5.13.3	The verse, "I was one, O lord of wealth, among the wealthy" is the same verse, "I stand on the chariot, O brave one, the terrible one." The end is indeed the end. The sixth day is the end. It is the form for the sixth day.
5.13.4	That is the Tristubh (metre). With that (verse) he supports the pressing which is in the established place. He does not fall away from his abode.
5.13.5	"Obeisance to you with the tawny ones, the pressed (Soma)" - this is the common verse of praise. It is the form of the sixth day.
5.13.6	Those are the Gāyatrī verses. The Gāyatrī meters carry the midday of this three-day rite. That is the meter that carries the rite, therefore he places the rite in the Gāyatrīs.
5.13.7	"The verse "To that god Savitr, the giver of wealth," is the first verse of the Vaishvadev rite. The sixth day is the form of the sixth day.
5.13.8	The Savitar is the most desirable. The Dosha has come. The follower is the end. The sixth day is the end. On the sixth day, the form of the sixth day.
5.13.9	The Udgâtri recites the Savitrî verse, "The God Savitr has risen for the pressing," the last verse of the Savitrîs. "The Agni has stood," the end is the sixth day, the form of the sixth day is the sixth day.
5.13.10	"Which is the earlier, which the later?" The Dyaus-Prithivî verse is the same as the Savitrî. The form of the sixth is the sixth day.
5.13.11	What is the best, what is the most excellent? The Vājas do not come to our sacrifice. The Rbhukṣas (come) to the sacrifice. The Ārbhava Nārāśaṃsa (verse) is sung on the sixth day. The form of the sixth day.
5.13.12	Here is the Raudra (verse) with good words, those who are connected with sacrifice and Dakṣiṇā. The Viśvadev (verse) is recited.
5.14.1	The Nabhanediṣṭha (verse) is chanted.
5.14.2	The Brahmanas, the sons of Manu, having performed the Naishthita sacrifice, went to the spring season. Their brothers divided the wealth among themselves. He said, "Having come, what share is there for me?" They said, "This very one who instructs us in the right way." Therefore, even now they say, "The sons instruct the father in the right way.
5.14.3	He went to his father and said, "They have indeed cheated me." His father said, "Do not be angry, son. These Angiras are performing a sacrifice for the heavenly world. They come every sixth day and get confused. They recite those verses on the sixth day. Whatever thousand they give as a gift at the end of the sacrifice, that will be yours when you go to heaven." He said, "Yes.
5.14.4	"They approached him and said, "Do you know the man of good intelligence?" He said, "What do you want? Tell me." " "We want to know the sixth day." " He said, "The sixth day is known to me." " Then he said, "The thousand-fold rite of the Sattra is given to me by those who are going to heaven." " They said, "So be it." " He recited these verses on the sixth day. Then they knew the sacrifice and the heavenly world.
5.14.5	Now, the reason why he recites these verses on the sixth day is for the recognition of the sacrifice and for the fame of the heavenly world.
5.14.6	The gods, going to heaven, said this to him: "This thousand is yours, O Brahman." He was making it equal. A man with a black corpse on his head stood up in front of him and said: "This is mine, or this is mine, O Brahman." "This is mine," he said. "This is yours," he said. He said: "This belongs to us, but it is a question for your father." He went to his father. His father said: "Did not your son say: 'This is mine'?" "It is mine," he replied. "But that man with a black body stood up in front and said: 'This is yours, or this is yours, O son of Aditi.'" His father said: "That is yours, O my son. But he will give it to you." He came back and said: "This is yours, O revered one." "My father said so," he said. He replied: "I give it to you, since you spoke the truth."
5.14.7	Therefore, one who knows this should speak the truth.
5.14.8	This is the thousand-streamed mantra, namely, the Naabhanedistha.
5.14.9	He who knows this goes to heaven on the sixth day.
5.15.1	These are called the companions. The Valakhilyas call the Naabhanediṣṭha the Vrisakapi and the Evyamaruta. One should recite them together.
5.15.2	Whatever of theirs would be obstructed, that would be obstructed for the sacrificer.
5.15.3	If the Nabha-Neidhistam (obstruction) would obstruct his semen, if the Valakhilyas (obstruction) his life, if the Vrishakapi (obstruction) himself, if the Evayamarut (obstruction) the foundation, he would be obstructed by the divine and human (obstructions).
5.15.4	He sprinkled the semen with the Nābhānediṣṭha rite. He made it with the Vālakhilyas. He removed the womb with the Sukīrtim and Kāksīvan rites, as in the Urau. "Thou art the protector." Therefore, the elder embryo does not destroy the younger one, since it is established by Brahman. He makes it with the Etayai Maruts. By that everything here is made. Whatever this is.
5.15.5	The first day is called Krishna and the second Arjuna. This is the first day of Agni-Marut. The days are repeated again and again. The sixth day is the form of the sixth day.
5.15.6	"The name of your Maruts is Madhu." Having repeatedly mentioned Maruts, the end is the sixth day. The sixth day has the form of the fifth day.
5.15.7	We offer Soma to Jātavedas, the unerring.
5.15.8	He is born suddenly, in the old way. The sixth day has the form of the sixth day.
5.15.9-10	He who is holding, he who is holding, thus he praises. He feared the end might fall off. Just as one would bind the end again, or bind it again, or would strike a dart at the end for holding, so is it when he praises, 'He who is holding, he who is holding.' For continuity. Those who know thus go with continuous, uninterrupted, three-day rites. Those who know thus go, go.
5.16.1	Or, what is both coming and going, that is the form of the seventh day.
5.16.2	What was the first day, that is again this seventh day.
5.16.3	That which is connected with the chariot, that which is connected with speed, that which is related to drinking, that which is mentioned in the first foot as the deity, that which is the world of the rising sun,
5.16.4	that which is related to birth, that which is undefined,
5.16.5	Whatever is to be done, whatever is the form of the first day, these are the forms of the seventh day.
5.16.6	"The wave rises from the ocean, sweet," this is the butter for the seventh day. The seventh day is undefined. This is the form of seventh day."
5.16.7	The speech is the ocean; speech does not perish, nor does the ocean perish. In that there is clarified butter at the seventh pressing, they make the sacrifice continue from the sacrifice. They again take up speech for continuity.
5.16.8	Those who know this go with the three days of continuity, without interruption, those who know this go.
5.16.9	The Stomas and the metres are obtained at the sixth pressing. Just as the offerings are poured back into the ladle, so here also the Stomas and the Metres are poured back for non-exhaustion. This is the ghee of the seventh day.
5.16.10	This is the Tristubh, the morning pressing. This is the three-day (rite).
5.16.11	O Vayu, come to us, the drinker of pure (Soma), with your gifts, with your gifts, to the worshipper of the gods. With your hundred-fold gifts, with your hundred-fold, with your thousand-fold gifts, you have come to the sacrifice. Those who are your sons, the drinkers of Indra, who are your hundred gifts, who are your thousand gifts, when you, O Mitra-Varuna, are purifying, the Nasatyas, with the cow, with the chariot, come to us with your divine power, O strong one. The worshippers of the gods, praising you at the sacrifices, have come to you with their wealth, with their wealth. He goes to the Prauga and to the Praiti on the seventh day, the form of the seventh day. That is the Tristubh. The morning pressing is the Tristubb. This is the three-day (rite).
5.16.12	Come to thy car, as thou art wont, O Indra, to this Soma pressed. Come hither, O Vasu, come! Let the Brahmanaspati go forth, Agni be the leader. Thou, O Soma, with thy thoughts, swellest the waters. Let them go forth to Indra, the great. The first day is the same as the seventh. The seventh day is the form of the seventh day.
5.16.13	With what auspicious one, with the same nest, the same age? The hymn is recited. The unborn does not perish, the born does not perish. This is the form of the seventh day, the seventh day.
5.16.14	This is the hymn of Kya-shubhi. This is the continuity of the name, the hymn of Kyas-hubhi. By this Indra and Agastya knew the Maruts. When one recites the hymn of Kvas-hubhi, it is for the sake of recognition.
5.16.15	That is the life-giving (verse). He should recite it for him for whom he loves.
5.16.16	That is the Tristubh (verse). By means of that verse which is in the position of stability, he supports the Soma-pressing. He does not fall away from his abode.
5.16.17	"This is the verse: 'The sheep, the great, the knower of heaven.' The verse: 'The horse, the chariot, the offering.' The chariot is the form of the seventh day.
5.16.18	This is the Jāgara (verse), for the Jāgati (verses) carry the midday of this three-day period. That very metre carries it in which the Nidhi is placed, therefore he places the Nidhi in the Jāgatis.
5.16.19	The verses of the Mituna (group) are sung, the verses of the Trishtup (group) and the verses of the Jagati (group). The animals are in pairs, the animals are the Chandomas (verses), for the securing of animals.
5.16.20	"You are the one we invoke, you are the one who comes, O friend." The verse is sung on the seventh day.
5.16.21	What is the sixth day.
5.16.22	Whatever is the Rathantara, that is the Vaimata; whatever is the Brihat, that is the Vairāja; whatever is the Rathantara that is the Shaka; whatever is the Bṛhat, that is Raivata.
5.16.23	Whatever is the Brihat-pṛṣṭha, that is the Brihat itself. They establish the Brihat in return. There is no cutting of the Stoma.
5.16.24	If it were the Rathantara, there would be cutting.
5.16.25-28	Therefore, the Brihat should be performed. "The verse, "O Agni, do thou come to us, O Agni, do thou be near us," is the origin of the Rathantara. He turns back in accordance with the origin of the Rathāntara, for this is the Rathān-tara day." "The verse "Do thou drink the juice of the Soma," is a Sāman-verse. The drinker (of Soma) is the seventh day, the form of the seventh day.
5.16.29	"O Indra, the swift, the divine-driven, the hawk, the unerring one."
5.17.1	"I shall proclaim the deeds of Indra," is the hymn. The seventh day is the form of the seventh day.
5.17.2	That is the Tristubh metre. By that metre which is firmly established, he supports the Soma pressing. He does not fall away from his abode.
5.17.3	The verse beginning with "O Agni, the most invoked, the most praised, the most worshipped, the most honoured, the most praised" is the hymn. What is "yada va pra" is "abhi". On the seventh day, it is the form of the seventh day.
5.17.4	It is indeed the Jāgara (verse). The Jāgatis carry the midday of this three-day period. That indeed is the metre that carries the Nidhi (verse). Therefore, he places the Nidhi in the Jāgatis.
5.17.5	The verses of the Mituna (group) are sung, and the verses of the Trishtubh and Jagati (groups). Animals are in pairs, and the verses are animals. For the securing of animals.
5.17.6	"We choose the boon of Savitar, today. O god Savitar, for us." This is the introductory verse of the Vaishvadev (group). On the seventh day, the seventh day is the Rathaantara (Sutra).
5.17.7	"O god Savitar, thee, the invocation." What is meant by "O god Savita" is "thee." This is the form of the seventh day.
5.17.8	"Gone to the sacrifice for the sake of peace," this is the form of heaven and earth. "Gone" is the form of seventh day.
5.17.9	This is the form of birth of the god. This is the form for the seventh day.
5.17.10	"Come with the forest-grass" (is recited) in two feet. The man is two-footed, the animals are four-footed. The metres are animals. For the inclusion of animals. In that it is recited in two feet, it establishes the sacrificer in two foundations, in the four-footed animals.
5.17.11	"With these songs, O Agni, do thou come." This is the Vaishvadev (hymn). It is the form of the seventh day.
5.17.12	These are the Gāyatrī verses. The third pressing is Gāyatrī. This is the three-day (rite).
5.17.13	"Vaisvānara has generated the Maruts." This is the first hymn of the Agni-Marut (hymn). The form of the seventh and seventh days.
5.17.14	The Maruts are invoked with the verse, "We invoke your gift in the Tristubh metre." This is the form of the seventh day.
5.17.15	"We pour Soma for Jātavedas." This is the verse for Jātaveda.
5.17.16	"We invoke your messenger, the knower of all." This is the unformulated verse for Jātavīda on the seventh day, the form of the sixth day.
5.17.17	Those are the Gāyatrī verses. The third pressing is Gāyatrī. This is the three-day (rite).
5.18.1	What is not, what is not, what stands, that is the form of the eighth day.
5.18.2	What is the second day, that is again the eighth.
5.18.3	What is above, what is opposite, what is within, what is with the testicles, what is with wealth, what is in the middle place, what is the deity, what is the heaven that has risen up.
5.18.4	What is the two-fire, what is the great, what is the two-called, what is the renewed, what is the doing.
5.18.5	What is in the form of the second day, these are the forms of the eighth day.
5.18.6	The offering of clarified butter at the eighth pressing is "We invoke Agni, the god, with the Agnis, the agreeable ones." The eighth pressing has two Agnis. It is the form of the eighth pressing.
5.18.7	It is in the Tristubh metre. The morning pressing is in the Tristup metre. This is the three-day pressing.
5.18.8	O Indra, the wise one, come to the assembly, knowing, Agni, the upward-going one, has found the good mind. May Sarasvati be pleased with our praise. The assembly responds, the one who responds, the one responded to, the one who goes upward, on the eighth day, the form of the eighth day.
5.18.9	This is the Tristubh, the morning pressing. This is the three-day (rite).
5.18.10	"Indra, the lord of the world, the drinker of Soma, has come here. O Brahmaṇaspati, rise up! Agni is your leader. O Soma, with your rites, they swell the waters. Sing praises to Indra." On the second day, they are stretched out equally. On the eighth day, it is the form of the eighth day.
5.18.11	The hymn "O Indra, the great one, in whom all" is the form of the eighth day, the eighth day.
5.18.12	The hymn "O Indra! You are the great one, from whom these" is the form for the eighth day, for the eighth day.
5.18.13	Drink Soma, O fierce one, who presses it. The hymn is Urva, the great cow. Indra, the great one, on the eighth day, the form of the eighth day.
5.18.14	Indra, the great one like a man, the leader of men, on the eighth, the form of eighth day.
5.18.15	That is the Tristubh (metre). With that he supports the Savana in the established place. He does not fall away from his abode.
5.18.16	"This is his heaven and earth with consciousness." The verse is "When he was making greatness, Indra's power." The eighth day is great. The form of the eighth day is great.
5.18.17	The Jagatī is the middle of the day of this three-day sacrifice, and it is the metre that carries the Nidhi. Therefore he places the Nidhi in the Jagatīs.
5.18.18	The verses are in pairs, the Tristubh and the Jagatī. Animals are in pairs, and the Chandomas are animals, for the securing of animals.
5.18.19	The verses containing the word 'mahad' are recited. The sky is great. For the attainment of the sky.
5.18.20	Five verses are recited. The Pankti has five feet. The sacrifice is five-fold. The animals are five-fold. Animals are the Chandomas. For the attainment and protection of animals.
5.18.21-23	We invoke thee, O hero, we invoke thee, O drinker of the first (libations). The Rathantara is the Sāman on the eighth day. "He who has come to thee, O giver of wealth, " "We invoke thee, O giver, " He turns back in accordance with the source of the Brihatī, for this is the Brihatī day.
5.18.24	Listen to both. This is the Sama-pragaatha. What is today and what was yesterday, this is the form of the eighth day, the eighth day of the Barhaspatya sacrifice.
5.18.25	"O ye who are swift, the horse-winner, the god-winner," this is the Tarkshya Acchuta.
5.19.1	The verse beginning with "O Agni, the most ancient" is the hymn. The verse beginning with “For the great hero, for Indra, for Turāy" is the great hymn on the eighth day. It is the form of the eighth day. The verse beginning "O Indra, your fame is great" is the hymn on the eighth. It is the great hymn. It is the eighth day's form. The verse beginning “O Indra, you who are great, who have strength" is the hymn of the eighth. It has the form of the great hymn. The verse "O Indra, for you, the earth" is the hymn for the eighth. It belongs to the great hymn.
5.19.2	That is the Tristubh (metre). By that (verse) which has the firm position, he supports the Soma-pressing. By this (verse) he does not fall away from his abode.
5.19.3	"The greatness of this one shines forth from heaven." This is a verse. "Indra for greatness." The eighth day has greatness. The form of the eighth day.
5.19.4-5	The Jagati is the middle of the day of this three-day sacrifice, and it is carried by the Jagati verses. It is carried by that metre in which the Nidhana is placed, therefore he places the Nidhana in the Jagati verses.
5.19.6	The hymns containing the word "mahad" are recited; the great space is the heaven; for the attainment of heaven. Five hymns are recited; the Paṅkti metre has five feet; the sacrifice is fivefold; animals are fivefold; the animal-sacrifices are fivefold; for the attainment (of heaven) of animals.
5.19.7	Those two, and five others, and five others make ten. That is the Viraj of ten. Food is Viraj. Food is cattle. Cattle are the Soma-days. For the securing of cattle.
5.19.8	The Visvadevam Satpati is the verse of the Visvadevah. The two verses of the Visvadeva are the followers of the first verse. The eighth day is the eighth day. The eighth day has the form of the eighth day.
5.19.9	The Hiranyapani Utayah is the Savitar verse. The eighth is the eighth day, which is upward. The eighth day of the eighth day has the eighth form.
5.19.10	The earth and heaven are the same. This is the Dyaus-Pritvi hymn. The eighth day is the great one. This is the form of the eighth day.
5.19.11	The young ones are the fathers again. This is the Arbhava hymn. The eighth is the one that is again.
5.19.12	Which of these worlds do they support? The two-footed ones praise the four-footed ones. Man is two-footed, animals are four-footed, the metres are animals. For the attainment of animals. In that he praises the two-footed ones, he establishes the sacrificer in two foundations, in the four-footed animals.
5.19.13	The gods' great call is the Vaishvadev. The great call is the form of the eighth day, the eighth day.
5.19.14	These are the Gayatra verses. This is the three-day Gayatra-third-pressing.
5.19.15	The one with truth, Vaishvanara, is the first verse of the Agni-Marut. Agni Vaishvanara is great. The great call (is the form) of the eighth day.
