1.1.1.1	For you, O Agni, for the well-being.
2.13.23.5	To whom the firm heaven and earth are firm, to whom the sky is established, to whom the heaven is established, who has measured the great firmament, to which god we shall offer oblation?
2.13.23.6	He who supports these shining heaven and earth, in whom the gods are spread out, to what god shall we offer oblation? The great waters, when they all flowed, carrying the embryo, generating Agni, from that the gods turned away. To what god shall we make oblation?
2.13.23.7	May Prajapati generate our progeny, may the creator bestow it, being well-disposed. May the lord of growth bestow prosperity on me, in accordance with the seasons and the year.
3.1.1.1	He first anoints the Juhu.
3.1.1.2	The Juhu is indeed the mouth of the sacrifice.
3.1.1.3	He thus takes the sacrifice from the mouth.
3.1.1.4	The gods invoked Viraj through the Juhu.
3.1.1.5	The ladle becomes the ladle by means of that.
3.1.1.6	Food is Viraj.
3.1.1.7	Food is the ladle.
3.1.1.8	The fire is the sun.
3.1.1.9	When one offers with the ladle, it is for the purpose of securing food and the sun.
3.1.1.10	One takes up the ladle eight times.
3.1.1.11	The Gayatri has eight syllables.
3.1.1.12	The Gayatra is the mouth of the sacrifice.
3.1.1.13	One has obtained the mouth of the sacrificie.
3.1.1.14	The Savitrī verses are offered for the sake of progeny.
3.1.1.15	And also for the sake of the different powers of the Yajus verses.
3.1.1.16	Wherever Agni went, he saw Savitr.
3.1.1.17	The Savitrī verses (are offered) for the sake of Agni's following.
3.1.1.18	Having placed Agni in the light, he brought it up from the earth.
3.1.1.19	Savitar brought forth the light first from the earth.
3.1.1.20	Therefore he says thus.
3.1.1.21	He offers with the appropriate and with the mental.
3.1.1.22	For the sacrifice is performed with the appropriate and the mental.
3.1.1.23	There are six verses.
3.1.1.24	There are indeed six seasons.
3.1.1.25	He stands firm in the seasons.
3.1.1.26	He who approaches another deity before the Agniya, goes away from the mouth of the sacrifice.
3.1.1.27	If the Savitri verses were not to be there, one would go away from the Savitri-inspired activity.
3.1.1.28	These are eight Yajus verses.
3.1.1.29	The Gayatri has eight syllables.
3.1.1.30	The Gayatra is the mouth of the Yajna.
3.1.1.31	Thus he does not go away from the mouth.
3.1.1.32	By that he does not go to the Savitrī-s.
3.1.1.33	He offers with the metres.
3.1.1.34	He thus offers a sacrifice to Agni with the metres. He who offers with the metres,
3.1.1.35	many of his offerings are offered.
3.1.1.36	The Rg is the near one of the sacrifice.
3.1.1.37	The Yajus is of the sacrificer.
3.1.1.38-41	If one desires, "May I offer the sacrifice with the glory of the sacrifice," one should perform the last verses. One offers the sacrifice with the fame of the sacrifice. If one desires, "I may offer the sacrificer with the fame of sacrifice," one should offer the last verses. One offers the sacrificer with fame of the sacrifice.
3.1.1.42	The sacrificer prospers by the offering of oblations.
3.1.1.43	If one desires, "May he prosper," one should offer all the oblations in succession.
3.1.1.44	He prospers.
3.1.1.45	If one wishes, "May he be worse," one should offer the oblations separately.
3.1.1.46	He becomes worse.
3.1.1.47	"One should offer the Stoma with a verse," it is said.
3.1.1.48	By prosperity.
3.1.1.49	The Rathantara is (sung) in the Gayatri metre.
3.1.1.50	This (earth) is the Gayatri.
3.1.1.51	This is the Rathantara.
3.1.1.52	That is the Brihat.
3.1.1.53	This is performed in both these worlds, as far as possible.
3.1.1.54	There are eight such mantras.
3.1.1.55	The Gayatri has eight syllables.
3.1.1.56	Thus he pleases the Gayatri by means of syllables.
3.1.1.57	And when the oblation is the ninth,
3.1.1.58	Therefore, he does not go to the three-fold mouths of the sacrifice.
3.1.1.59	Now, when he offers one oblation with eight Yajus verses, therefore many offer oblations to one hundred.
3.1.1.60	Many will offer oblations to him.
3.1.1.61	The Yajus verses are the highest.
3.1.1.62	Brahman is the Yajus.
3.1.1.63	At the very end of the sacrifice, the sacrificer stands firm in Brahman.
3.1.2.1	He takes up the wooden sword with the Savitrī verses for prosperity.
3.1.2.2	He takes it up with four (verses).
3.1.2.3	There are four metres.
3.1.2.4	He takes (the sword) with the metres.
3.1.2.5	Moreover, the metres are Brahman.
3.1.2.6	He thus takes (the sword ) with Brahman.
3.1.2.7	This (earth) is the Gāyatrī.
3.1.2.8	The sky is the Tristubh.
3.1.2.9	The heaven is the Jagatī.
3.1.2.10	The directions are in Anushtup.
3.1.2.11	He collects Agni from these worlds and from the directions with the metres.
3.1.2.12	Where Agni, the Hotar, fled from fear, he settled in all beings.
3.1.2.13	Where he settled in the trees, he settled in the Vena.
3.1.2.14	Where he burned them, that became the black (part).
3.1.2.15	Where he walked along, that became the hole.
3.1.2.16	Where he stayed, that became the mountain.
3.1.2.17	When the sacrificial grass is of bamboo, he gathers it with its own source.
3.1.2.18	Of trees, the bamboo is the most fruitful, and it is the most vigorous.
3.1.2.19	Of trees the bamboo is the best fruiter.
3.1.2.20-29	He is the most vigorous of them. Food is the fruit. Food is Agni. Agni is the sun. With the sun he gathers food, Agni, the sun. It should be made a fathom long. This much is the vigour in a man. It is made the size of vigour. And this much is the greatness in a man. For the attainment of greatness.
3.1.2.30	It should be made the size of an arm-span.
3.1.2.31	It is measured by the Yajna Parusha.
3.1.2.32	It should be made the length of a span.
3.1.2.33	It is determined by the sacrifice of Vishnu.
3.1.2.34	It should have two edges for the securing of both kinds of food.
3.1.2.35	It should only have one edge.
3.1.2.36	Because the plough has only one edge.
3.1.2.37	He makes it the size of the sun.
3.1.2.38	The sun is food.
3.1.2.39	for the securing of food.
3.1.2.40	It should be made of the Udumbara tree.
3.1.2.41	The Udumbara tree is energy.
3.1.2.42	For the securing of energy.
3.1.2.43	It should have an unlimited number of leaves.
3.1.2.44	For the unlimited securing of food. 
3.1.2.45	It should be of any tree that bears fruit. For the securing of food
3.1.3.1	The gods first won victory with the horse.
3.1.3.2	When they go with the horse, it is for victory.
3.1.3.3	Agni went wherever he wanted to go, and Prajapati saw him there.
3.1.3.4	The horse is Prajapati's.
3.1.3.5	When they go with a horse, it is to follow Agni.
3.1.3.6	Prajapati, about to build up Agni, created a horse from these worlds and built up Agni from the directions.
3.1.3.7	As it is said, "Your birth is in heaven, your navel in the atmosphere, your womb on earth." Thus, having created the horse for these worlds according to the deities, he collects Agni from the directions.
3.1.3.8	He says, "Join the donkey, you two," for the purpose of yoking.
3.1.3.9	He collects with a donkey.
3.1.3.10	This is the most unnourishing of animals.
3.1.3.11	Agni, when this animal was created first, burnt its semen in the womb.
3.1.3.12	Therefore, it carries semen only after all other animals have done so, and then the youngest.
3.1.3.13	They lead the horse first and the donkey last, for the exclusion of evil.
3.1.3.14	Therefore the better one goes first, and the worse one follows.
3.1.3.15	If one wishes, "May the worse one be worse," they should lead the donkey first and the horse afterwards.
3.1.3.16	By this, Vipujan Sauraki made the worse one worse.
3.1.3.17	By this one makes the worse one worse.
3.1.3.18	The Vājavatī (hymn) is the highest in each sacrifice.
3.1.3.19	Food is Vāja.
3.1.3.20	The hymn is the strength.
3.1.3.21	For food and strength Agni is indeed built.
3.1.3.22	When they go with the Vājavatīs and the Utimati (hymns), it is for the securing of food and strength.
3.1.3.23	He who builds Agni becomes all.
3.1.3.24	All become prosperous.
3.1.3.25	The horse is indeed the thunderbolt of Prajapati.
3.1.3.26	When he says, "Come, O Prativakra, advancing, without enemies," he advances with the thunderbolt against the enemies who are without enemies.
3.1.3.27	Animals are indeed Rudra.
3.1.3.28	Agni is Rudra.
3.1.3.29	If one were to build the fire without having excluded the animals from Rudra, Rudra would be the owner of his animals.
3.1.3.30	When he says, "Obeisance to the lord of Rudra's followers," he excludes the animals from Ruddra and builds the fire.
3.1.3.31	The owner of animals does not harm his animals.
3.1.3.32	"He says, 'May the sky be firm,' for the sake of the stability of these worlds.
3.1.3.33	The Rakshas are indeed about to destroy the two who are about to kindle the fire.
3.1.3.34	When he says, 'May there be prosperity and safety, making the fearsome things harmless,' he makes prosperity for them.
3.1.3.35	The abode of Agni is the ashes.
3.1.3.36	The Angiras first collected this (fire).
3.1.3.37	He says, "I am gathering Agni, the lord of the house, like Angiras." He gathers him with the deities.
3.1.3.38	If one were to meet a person, one should recite this mantra:
3.1.3.39	"I am gathering Agni the lord of the House, like Angiras" One takes the strength from him.
3.1.3.40	They say, "One should recite to Prajapati and Agni should be contemplated."
3.1.3.41-46	From where the sun rises, he should recite, removing the mound of earth, saying, "We shall bear Agni, the lord of the house, like Angiras." This indeed is Prajapati. His ear is this mound of earth. Therefore, reciting from there, he builds the fire. They hear him saying, "We are building the fire," and he says, "The fire is not moving."
3.1.3.47	Therefore, the one who is worse than the one who is better, Karna, says.
3.1.3.48	Karna says to Karna:
3.1.4.1	"Agni has followed the foremost of the dawns," he says, following the foremost.
3.1.4.2	"Having come, O Agni, shake off all obstacles on the path."
3.1.4.3	He indeed shook off the obstacles.
3.1.4.4	Prajapati desired him with the earlier verse.
3.1.4.5	He found him with the later verse.
3.1.4.6	He desired him with the former verse.
3.1.4.7	He knew him with the latter verse.
3.1.4.8	"The sky is your back, the earth is your seat."
3.1.4.9	For the sky is indeed his back.
3.1.4.10	"The earth is his seat, the atmosphere is his self, the ocean is his womb."
3.1.4.11	For the atmosphere is indeed his self.
3.1.4.12	The ocean is his womb.
3.1.4.13	"You stand with your eyes open, you stand over the enemy." He stands over the enemy.
3.1.4.14	If he hates someone, he should say, "Stand over so-and-so."
3.1.4.15	He stands over him.
3.1.4.16	He says, "Go out!" He goes out by means of the going out.
3.1.4.17	Where the sacrifice is performed in accordance with its form, there the sacrificer prospers.
3.1.4.18-22	The Agni who became black entered the horse. He went to the place where the deer-skin is. When one offers at the horse's foot, one offers in Agni, in the place of Agni. The Adhvaryu would be blind if one were to offer in a place not meant for it.
3.1.4.23	This is what they call it.
3.1.4.24	He offers with the two verses addressed to Marishci and Anara.
3.1.4.25	For offerings are obtained by the mind.
3.1.4.26	He offers by the three verses, for the securing of power.
3.1.4.27	He offers the two verses containing the word 'food', for the securing of food.
3.1.4.28	He draws (the altar) with the Gayatri verse.
3.1.4.29-37	He thus encloses him with this (verse). With a Tristubh (verse). From the atmosphere. He draws the line with an Anushtubh (verse). The Anushtubh is the overlord of all metres. Therefore he draws the line with the Anushtubh. He takes up the spade with two Savitrī verses for prosperity. He digs with two (verses). The sacrificer has two feet; for stability.
3.1.4.38	Where the fire is kindled or piled up, there the fire-god comes.
3.1.4.39	When he says, "May it be peaceful to the creatures, harmless," he makes it peaceful to the creatures.
3.1.5.1	He says, "You are the back of the waters."
3.1.5.2	For this is the back of the water.
3.1.5.3	He makes it the back with the back.
3.1.5.4	"The womb of Agni,"
3.1.5.5-10	The lotus leaf is indeed the womb of Agni. The womb-destroyer is the navel. The womb and the navel are indeed joined together. "Spread yourself with the measure of heaven." He spreads him with the measure of these two. "Be the shelter and the armour." He spreads the black antelope skin and the lotus leaf.
3.1.5.11	These very ones cover him with the heaven and earth.
3.1.5.12	"May you be united in the same abode."
3.1.5.13	Men are not worthy to approach him.
3.1.5.14	He embraces him with these (heaven and earth).
3.1.5.15	He collects (the bones) in a black antelope skin.
3.1.5.16	This is the most nourishing of animals.
3.1.5.17	And he also entrusts the wild animals to purity.
3.1.5.18	He collects from the hair.
3.1.5.19	Therefore, the black antelope skin is indeed divine.
3.1.5.20	He collects the sacrifice with the sacrifice.
3.1.5.21	He collects with a lotus leaf.
3.1.5.22	The lotus leaf is indeed the womb of Agni.
3.1.5.23	He collects it with its own womb.
3.1.5.24	He collects for a Brahman with Gāyatrī verses.
3.1.5.25	For the Brahman is Gāyatrī.
3.1.5.26	With Tristubh for a Kṣatriya.
3.1.5.27	The Rajanya (warrior) is of the Tristubh (metre).
3.1.5.28	The Vaishya (merchant) is of the Jagati (metre).
3.1.5.29	For the Vaishya is of the Jagat (metre).
3.1.5.30	He whose desire is that he may prosper, for him one should collect (the verses) with the Gāyatrī and Tristubh (verses).
3.1.5.31	He prospers.
3.1.5.32	Thou art the purifier, the supporter of all, Atharva first churned thee, Agni.
3.1.5.33	Prajapati is Atharva.
3.1.5.34	He churned this (fire) first.
3.1.5.35	He generated it.
3.1.5.36	He himself churns it.
3.1.5.37	He generates it.
3.1.5.38	He collects it with three (verses).
3.1.5.39	These are the three worlds.
3.1.5.40	He collects him from these worlds.
3.1.5.41	The fourth is the Yajus.
3.1.5.42	He collects from the directions.
3.1.5.43	The wind blows in front of the rain.
3.1.5.44	The plants follow the year.
3.1.5.45	The animals follow the plants.
3.1.5.46	The men follow the animals.
3.1.5.47	These are the foundations.
3.1.5.48	The sacrificer obtains them.
3.1.5.49	He says, "Let the divine waters flow forth, full of honey," for the foundation of the plants.
3.1.5.50	From their abode they have grown up, the plants, very fragrant.
3.1.5.51	Therefore, from this place of origin, the plants grow up, very fragrant.
3.1.5.52	May the wind, the son of Aditi, grant you this.
3.1.5.53	Therefore, whatever is sown and reaped from this place, it is gathered together.
3.1.5.54	If one were to offer with ghee, one would offer this world.
3.1.5.55	And if one were to sprinkle water, one would pacify.
3.1.5.56	"He who moves among the gods with the breath of life, to whom be the Vasat-call, O god!"
3.1.5.57	There are six seasons.
3.1.5.58	He establishes the rain in the seasons.
3.1.5.59	Therefore all seasons have rain.
3.1.5.60	"Well-born, in the light," he makes him heavenly.
3.1.5.61	"O Agni, assume the garment of all forms, with the light,"
3.1.5.62	The metres are the garment of Agni.
3.1.5.63	He wears the metres.
3.1.5.64	He gives him away with the metres.
3.1.5.65	His garment in this world is for the future. He is without Agni in the other world, he who knows thus.
3.1.5.66	This is indeed the garment of Varuna.
3.1.5.67	"He makes her stand up with the verse, 'Stand up for your own sacrifice.' He releases the Varuna-noose upwards.
3.1.5.68	He releases her with two verses.
3.1.5.69	The sacrificer has two feet; for stability.
3.1.5.70	'You are the embryo born, of the two worlds.'
3.1.5.71	This is the embryo of these two.
3.1.5.72	Through these he is born.
3.1.5.73	He generates him through these.
3.1.5.74	Agni, the beautiful one, is borne among the plants.
3.1.5.75	Therefore Agni is in all plants.
3.1.5.76	He has gone beyond his mothers, the cows.
3.1.5.77	The plants are his mothers.
3.1.5.78	He drives him away from them.
3.1.5.79	Prajapati desired him with the eastern half of the verse.
3.1.5.80	He stood in the following half.
3.1.6.6	What Shiva said, "Be auspicious to the creatures," he made him auspicious to the creatures.
3.1.6.7	"Do not step on the life of the one who is in front," he places life in him for the sake of completeness.
3.1.6.8	"Carrying the bull Agni, the bull,"
3.1.6.9	for this is indeed a bull carrying a bull.
3.1.6.10	"The embryo of the waters, the ocean-like,"
3.1.6.11	for this indeed is the embryo of the waters that is ocean-like.
3.1.6.12-19	"Come, O Agni, with the Vitas!" With Agni as their mouth, the gods conquered these worlds. With Agni as his mouth, the sacrificer conquers these worlds. Truth and truth. He stands in truth and truth. This one is truth. That one is truth. He stands in both.
3.1.6.20	The day is truth.
3.1.6.21	The night is truth.
3.1.6.22	He stands firm in the day and night.
3.1.6.23	"The plants hold this Agni."
3.1.6.24	He makes him firm with the plants.
3.1.6.25	"The flowering, the well-sprouting." He makes the plants bear fruit.
3.1.6.26	Therefore the plants bear fruit at the top.
3.1.6.27	Now this is the Varuna-bond that is being tied.
3.1.6.28	"He ties the Varuna-knot with the Anurūpa verse, "Do thou shine with thy bright and wide radiance."
3.1.6.29	He ties it with two (verses).
3.1.6.30	The sacrificer has two feet; for stability.
3.1.6.31	" "He sprinkles water with the verse, "The waters are standing, the bountiful ones."
3.1.6.32	" "The waters are the pacifiers of the one who is not pacified."
3.1.6.33	Therefore he sprinkles it for peace.
3.1.6.34	He sprinkles it with three (verses).
3.1.6.35	For Agni is threefold.
3.1.6.36	Now indeed this (earth) is Varuna's garment.
3.1.6.37	"He sprinkles the garment of Varuna with Mitra," he says; he sprinkles the garment of Mitra with Mitra.
3.1.6.38	"He sprinkled the earth with Rudra," he says;
3.1.7.4	This is the mouth of the sacrifice.
3.1.7.5	"May the Vasus make thee with the Gayatri metre."
3.1.7.6	It is made with the metres and the deities.
3.1.7.7	He makes it with the metres and deities.
3.1.7.8	"Thou art firm, thou art the earth."
3.1.7.9	This is the wish of the metres.
3.1.7.10	He makes it with the Yajus formula, "May Aditi's rope be at the mouth, may Aditi's pit be grasped."
3.1.7.11	For men make it without the Yajus, for exclusion.
3.1.7.12	She gave it to her sons, saying, "May they be obedient."
3.1.7.13	The men are indeed the sons of Aditi.
3.1.7.14	She gave them to them only.
3.1.7.15	It should be made with three knots.
3.1.7.16	These are the three worlds.
3.1.7.17	This is the mold of these worlds.
3.1.7.18	It should be made with eight nipples.
3.1.7.19	It has the form of the Gāyatrī verse.
3.1.7.20	It should have four nipples.
3.1.7.21	For the milking of Aditi.
3.1.7.22	It should two nipples.
3.1.7.23	The mold is the atmosphere.
3.1.7.24	These two worlds are the nipples.
3.1.7.25	He who knows this, indeed, milks these two worlds.
3.1.7.26	It is to be made the size of a vyāma.
3.1.7.27	This is the extent of a man's strength.
3.1.7.28	It is made according to the extent of strength.
3.1.7.29	And this is the extent of the greatness of a man, for the attainment of greatness.
3.1.7.30	It should be made the size of an arm-span.
3.1.7.31	It is measured by the size of the sacrificial man.
3.1.7.32	It should measure the size of a span.
3.1.7.33	It is determined by the sacrifice of Vishnu.
3.1.7.34	And also for not exceeding the size of Prajapati.
3.1.7.35	He fumigates with seven (sticks).
3.1.7.36	There are seven vital airs in the head.
3.1.7.37	This is the head of the sacrifice with the Yajus.
3.1.7.38	He places the vital airs in the heads.
3.1.7.39	He fumigates with seven (kinds of) incense.
3.1.7.40	There are seven metres.
3.1.7.41	He fumigated with the metres.
3.1.7.42	And the metres are indeed Brahman.
3.1.7.43	He fumigats with Brahman.
3.1.7.44	This is a vessel for Vishnu.
3.1.7.45	He makes it prosper with his own deity, when he offers it with other deities.
3.1.7.46	When he says, "May Vishnu offer thee," he makes it prosper with its own deity.
3.1.7.47	He offers it with a horse-hair.
3.1.7.48	For the horse is a bull, and Agni is a bull; for prosperity.
3.1.7.49	And the horse is of Prajapati.
3.1.7.50	Prajapati is the fire.
3.1.7.51	From that he fumigates with horse dung for the sake of having a womb.
3.1.8.1	Prajapati thought, "Whoever digs this first will suffer harm."
3.1.8.2	He saw this mantra:
3.1.8.3	"May Aditi, the goddess, the one with all the goddesses, dig you in the abode of the earth, like Angiras, in the pit."
3.1.8.4	This is the goddess Aditi, the goddess of all gods.
3.1.8.5	By her he dug out that (earth) for non-injury.
3.1.8.6	For one does not injure oneself.
3.1.8.7	The goddesses, the wives of the gods, the goddesses of all gods, the wives of Angiras, may they place you on the earth's surface.
3.1.8.8	The plants are the wives of the goddesses, the goddesses of the gods.
3.1.8.9	He establishes her in the plants.
3.1.8.10	"The goddess Dhishana, having all the goddesses, may bind her in the abode of the earth, like Angiras, in the pot."
3.1.8.11	The goddess Dhishani is speech, having all the deities.
3.1.8.12	He binds her with speech.
3.1.8.13	"The goddesses Gnas, having all the gods, may melt her in the abode on the earth, like the Angiras, in a pot."
3.1.8.14	The Chhandas are the goddesses, the goddesses of all the worlds.
3.1.8.15	He cooks her with the Chhandas.
3.1.8.16	"The goddess Varutrii, the goddess of all the worlds, may cook you in the cauldron, as Angiras did, in the abode of the earth."
3.1.8.17	The goddess Varutri is indeed the day and night, the goddess of the worlds.
3.1.8.18	She cooks her with the day and night.
3.1.8.19	The goddesses, the Jānas, the goddesses of all the worlds, the goddesses with severed leaves, cook her in the abode of the earth, like the Angiras.
3.1.8.20	The Jānas are indeed the stars, the goddesses with the severed leaves, the goddesses of the whole world.
3.1.8.21	He cooks her with the stars.
3.1.8.22	These indeed were the first deities to cook her for Prajapati.
3.1.8.23	Therefore these are the verses with the Pāṅkti metre.
3.1.8.24	He cooks it with the same (kindling-sticks).
3.1.8.25	He cooks it with two (kindling- sticks).
3.1.8.26	The sacrificer has two feet for stability.
3.1.8.27	Now he is indeed bound by Varuna's noose.
3.1.8.28	"Mitra's supporter of the people."
3.1.8.29	He approaches Varuna's snare with Mitra.
3.1.8.30	May the god Savitr, with his good hand, with his good thumb, bless thee. He blesses her with the impulse of Savitr, for the sake of non-injury to himself.
3.1.8.31	"He says, "Rise up, be great," for support.
3.1.8.32	" "May I encompass the directions without injury on the earth,"
3.1.8.33	" "Therefore Agni shines in all directions."
3.1.8.34	I give this pot to my friend for the sake of non-breaking.
3.1.8.35	He gives it to his friend saying, "May this not be broken." For the sake of nonbreaking.
3.1.8.36	If it were to be broken by one who is not a friend, it would have to be made again.
3.1.8.37	May the Vasus hold you with the Gayatri metre.
3.1.8.38	It is made with metres and deities.
3.1.8.39-44	And he listens to it with the metres and with the deities. He listens to it with his own place, with goat's milk. Goat's milk is indeed Agni's milk. The pot is indeed Agni' s. He listens with his own milk to his own pot. Goat' s milk is indeed the supreme milk.
3.1.8.45	This is the supreme vessel, namely the Ukhā.
3.1.8.46	He fills the supreme vessel with the supreme milk.
3.1.9.1	He offers these six oblations of the Veda-recitations.
3.1.9.2	There are six seasons.
3.1.9.3	He thus draws the strength of the earth through the seasons.
3.1.9.4	He offers them separately.
3.1.9.5	The vital airs are of different strengths. For the support of the vital airs.
3.1.9.6	If one wishes, "Let him be deaf," one should offer all of them together.
3.1.9.7	It severs his life-force.
3.1.9.8	He becomes deaf.
3.1.9.9	Therefore the deaf speak with their mouths but do not hear.
3.1.9.10	For his sense of speech is not functioning.
3.1.9.11	These are the other metres, the life-forces.
3.1.9.12	Speech is the Anushtubh.
3.1.9.13	When he offers the seventh (oblation) with the Anushtubh verse, then he unites speech with the vital airs.
3.1.9.14	Therefore this speech is the seventh of the vital airs. "
3.1.9.15	He says, 'Do not be broken, do not be injured.'
3.1.9.16	This was the Asura's magic.
3.1.9.17	The gods destroyed it with this Yajus. The Asura's sorcery was made by its own nature.
3.1.9.18	By this the sacrificer wins over his enemy.
3.1.9.19	He wins over by means of two (verses).
3.1.9.20	The sacrificer has two feet; for stability.
3.1.9.21	One should win over for one who desires prosperity.
3.1.9.22	One lives on what is to be.
3.1.9.23	One attains what is to be only.
3.1.9.24	One becomes better and better every day.
3.1.9.25	One should place the (sacrificial) grass for one who has lost his prosperity.
3.1.9.26	He who has lost his glory is born again.
3.1.9.27	He begets him with the one who is born.
3.1.9.28	One should take it from a trough if one desires,
3.1.9.29	"He should be a food-eater."
3.1.9.30	This is indeed the food-eater among the fires.
3.1.9.31	The trough is the maker of food.
3.1.9.32	It bestows food on him.
3.1.9.33	If one wishes to take from a river, one should take from the river. If one wishes to make his country prosperous and fruitful, one should take it from the river.
3.1.9.34	His country becomes prosperous and fruitful.
3.1.9.35	If one wishes to make the evil-doing enemy of another person be born again, one should take and place it from wherever one likes.
3.1.9.36	This is indeed the abode of the sacrificer.
3.1.9.37	He generates his own evil, his own enemy, in his own abode.
3.1.9.38	He places the Crumakas, anointed with ghee, with the verse, "O Agni, may the ghee be your nourishment."
3.1.9.39	The Crumakas are Agni's beloved body.
3.1.9.40	Ghee is brilliance.
3.1.9.41	He makes him prosper with his own beloved body and brilliance.
3.1.9.42	"The one beyond the Samvatsara (year)," so says the Audumbari.
3.1.9.43	Where the gods divided the strength, from there the Udumbara tree stood up.
3.1.9.44	By the Audumbari one obtains strength.
3.1.9.45	"The one beyond the Paravasu (year)," so is said of the Vaikankati.
3.1.9.46	When Agni was created, his radiance departed.
3.1.9.47	It entered the Vaikankata.
3.1.9.48	Whatever is the radiance of the Vaikankati, one obtains that.
3.1.9.49	"The one made of Shami wood, with the words, "Whatever, O Agni, are your own".
3.1.9.50	For Agni did not relish anything that was not cut with an axe."
3.1.9.51	To him, with this (verse), the sacrificer relished everything.
3.1.9.52	"The words, "whatever, O Agni, etc."
3.1.9.53	With this, Agni relishes everything."
3.1.9.54	Everything is agreeable to him.
3.1.9.55	"He who, night after night, brings the Apravaran (oblation)," he prays for a blessing."
3.1.9.56	"He who has conquered the enemy," he says, for he has conquered the enemy."
3.1.9.57	When Agni was created, the Rakshas attacked him.
3.1.9.58	They were driven away by these (verses).
3.1.9.59	The ones who are the army of the gods. Thus he removes the demons with these (verses).
3.1.9.60	One should place these very kindling woods where one fears demons, for the removal of demons.
3.1.9.61	And those who are thieves become the victims of the demons.
3.1.9.62	One should place a kindling wood of oil-tree for the purpose of subjugation.
3.1.9.63	This is indeed the thunderbolt of trees.
3.1.9.64	He is struck down immediately.
3.1.9.65	He should then mentally contemplate the one whom he hates.
3.1.9.66	The mind is more important than speech.
3.1.9.67	He offers a portion of himself to Agni.
3.1.9.68	"He says, "May he who hates us and the one who hates our people"."
3.1.9.69	Therefore, one who has kindled the fire should not utter indecent words, nor should one who knows about Agni.
3.1.9.70	My Brahman is sharp, my energy is sharp, my strength is sharp. He thus unites the Brahman with the Kshatra, and the Kshatra with the Brahman.
3.1.9.71	And he makes the Brahman and the Kshattra united.
3.1.9.72	This is what he says:
3.1.9.73	"The Brahman and the Kshtra do not suffer from separation."
3.1.9.74	The Brahman says: "The Kshatriya conquers."
3.1.9.75	The Kshatra and the Brahmana, they both stimulate the Brahman. They perform their deeds in unison.
3.1.10.1	They are offered to Agni.
3.1.10.2	If one desires something, that desire is fulfilled.
3.1.10.3	They satisfy.
3.1.10.4	They make them fit for sacrifice and worthy of worship.
3.1.10.5	They release them after having been offered to Agni, so that they may not be exhausted.
3.1.10.6-11	They establish it with one (verse) for the uninterrupted continuity of the sacrifice. They become Puskaras for the possession of the senses. The Yajya and Anuvakya verses are in Tristubh metre for the securing of the senses. Now this is the one for Agni Vaisvānara with twelve potsherds. Agni Vaisvānari is indeed the year. This is Agni's dear form, namely Vaisvānaran.
3.1.10.12	He makes it complete with the same body as his beloved.
3.1.10.13	And also for the sake of not being deficient.
3.1.10.14	For Vaisvânara is not deficient.
3.1.10.15	One who desires brilliance should offer a white (animal) to Vâyu, with the Nîyut formula.
3.1.10.16	Vâyu is the brilliance of Agni.
3.1.10.17	Therefore Agni follows Vâyu.
3.1.10.18	Because of Vâyu's brilliance, Agni is brilliant.
3.1.10.19	If the Vayu-offering were to be made in one form, the sacrificer would become mad.
3.1.10.20	If it is made in two forms, for the sake of the second.
3.1.10.21	And for the sake of stability and non-madness.
3.1.10.22	This is the form of all animals.
3.1.10.23	If the Vayu-oblation were to be made into one form, the Sacrificer would become mad;
3.1.10.24	If this Prajapati-offering with twelve potsherds is made in two ways, for the sake
3.1.10.25	Then for firmness and non-madness.
3.1.10.26	Now this is the Agniavisnava (offering) on eleven potsherds.
3.1.10.27	Agni is all the deities.
3.1.10.28	Vishnu is the sacrifice.
3.1.10.29	He has obtained both the deities and the sacrifice.
3.1.10.30	Now this offering of cooked rice in ghee to Aditya.
3.1.10.31	The Adityas went to heaven from here, the highest.
3.1.10.32	He goes to heaven, having announced to them.
3.1.10.33	The Adityas are prosperous in this world, the Adityas in the other world.
3.1.10.34	The gods prospered in this world with the cake, in the other world with the oblation.
3.1.10.35	One prospers in this world with a cake, in the next world with an oblation.
3.1.10.36	Now this one to Agni Vaiśvānara with twelve potsherds.
3.1.10.37	Agni Vaiśvānāra is the abode of the gods.
3.1.10.38	He carries the fire in the temple of the gods.
3.1.10.39	Now, indeed, Kama is Vaiśvānara.
3.1.10.40	Whatever desire one has, that desire bends to him.
