#Text:Śatapathabrāhmaṇa
#Edition:Weber
#Notes:Sentence splits: 3, 4.1-4 (O. Hellwig), 7 (S. Sellmer), 8 (K. Amano), 9 (O. Hellwig); text and sentence splits from DCS: 10. Following the conventions used for other texts, we assign a separate line id to each sentence.
#Todo:Insert 4.5ff. From the DCS. ŚBM: 5, 14: sentence splits needed. 6.1.1-6.7.1: sentence splits needed. 6.7.2ff. can be taken from the DCS.


3.1.1.1.1	devayajanaṃ joṣayante
7.2.4.18.2	trivṛd agniḥ
7.2.4.18.3	yāvān agnir yāvaty asya mātrā tāvataivāsminn etad annaṃ dadhāti
7.2.4.19.1	yad v eva sarvauṣadhaṃ vapati
7.2.4.19.2	etad vā enaṃ devāḥ saṃskariṣyantaḥ purastāt sarveṇa bheṣajenābhiṣajyan
7.2.4.19.3	tathaivainam ayam etat saṃskariṣyan purastāt sarveṇa bheṣajena bhiṣajyati
7.2.4.20.1	sarvauṣadham bhavati
7.2.4.20.2	sarvam etad bheṣajaṃ yat sarvauṣadham
7.2.4.20.3	sarveṇaivainam etad bheṣajena bhiṣajyati
7.2.4.21.1	tisṛbhis tisṛbhir ṛgbhir vapati
7.2.4.21.2	trivṛd agniḥ
7.2.4.21.3	yāvān agnir yāvaty asya mātrā tāvataivainam etad bhiṣajyati
7.2.4.22.1	dvādaśabhir ṛgbhiḥ kṛṣṭe vapati
7.2.4.22.2	dvādaśa māsāḥ saṃvatsaraḥ
7.2.4.22.3	saṃvatsaro 'gniḥ
7.2.4.22.4	yāvān agnir yāvaty asya mātrā tāvataivainam etad bhiṣajyati
7.2.4.23.1	sa vai kṛṣṭe vapati
7.2.4.23.2	prāṇāṃs tad bhiṣajyati
7.2.4.23.3	sa yat kṛṣṭa eva vapen nākṛṣṭe prāṇān eva bhiṣajyen netaram ātmānam
7.2.4.23.4	atha yad akṛṣṭa eva vapen na kṛṣṭa ātmānam eva bhiṣajyen na prāṇān
7.2.4.23.5	kṛṣṭe cākṛṣṭe ca vapati prāṇāṃś ca tad ātmānaṃ ca bhiṣajyati
7.2.4.24.1	tisṛbhiḥ kṛṣṭe cākṛṣṭe ca vapati
7.2.4.24.2	trivṛd agniḥ
7.2.4.24.3	yāvān agnir yāvaty asya mātrā tāvataivainam etad bhiṣajyati
7.2.4.25.1	pañcadaśodacamasān ninayati
7.2.4.25.2	pañcadaśabhir ṛgbhir vapati
7.2.4.25.3	tat triṃśat
7.2.4.25.4	triṃśadakṣarā virāṭ
7.2.4.25.5	virāḍ u kṛtsnam annam
7.2.4.25.6	sarvam evāsminn etat kṛtsnam annaṃ dadhāti
7.2.4.26.1	yā oṣadhīḥ pūrvā jātā devebhyas triyugam pureti
7.2.4.26.2	ṛtavo vai devāḥ
7.2.4.26.3	tebhya etās triḥ purā jāyante vasantā prāvṛṣi śaradi
7.2.4.26.4	manai nu babhrūṇām aham iti
7.2.4.26.5	somo vai babhruḥ
7.2.4.26.6	saumyā oṣadhayaḥ
7.2.4.26.7	auṣadhaḥ puruṣaḥ
7.2.4.26.8	śataṃ dhāmānīti
7.2.4.26.9	yad idaṃ śatāyuḥ śatārghaḥ śatavīya etāni hāsya tāni śataṃ dhāmāni
7.2.4.26.10	sapta ceti
7.2.4.26.11	ya eveme sapta śīrṣan prāṇās tān etad āha
7.2.4.27.1	śataṃ vo amba dhāmāni sahasram uta vo ruha iti
7.2.4.27.2	yad idaṃ śatadhā ca sahasradhā ca virūḍhāḥ
7.2.4.27.3	adhā śatakratvo yūyam imam me agadaṃ kṛteti
7.2.4.27.4	yam imam bhiṣajyāmīty etat
7.2.4.28.1	tā etā ekavyākhyānāḥ
7.2.4.28.2	etam evābhi yathaitam eva bhiṣajyed etam pārayet
7.2.4.28.3	tā anuṣṭubho bhavanti
7.2.4.28.4	vāg vā anuṣṭup
7.2.4.28.5	vāg u sarvam bheṣajam
7.2.4.28.6	sarveṇaivainam etad bheṣajena bhiṣajyati
7.2.4.29.1	athāto niruktāniruktānām eva
7.2.4.29.2	yajuṣā dvāv anaḍvāhau yunakti tūṣṇīm itarān
7.2.4.29.3	yajuṣā catasraḥ kṛṣati tūṣṇīm itarāḥ
7.2.4.29.4	tūṣṇīṃ darbhastambam upadadhāti
7.2.4.29.5	yajuṣābhijuhoti
7.2.4.29.6	tūṣṇīm udacamasān ninayati
7.2.4.29.7	yajuṣā vapati
7.2.4.30.1	prajāpatir eṣo 'gniḥ
7.2.4.30.2	ubhayam v etat prajāpatir niruktaś cāniruktaś ca parimitaś cāparimitaś ca
7.2.4.30.3	tad yad yajuṣā karoti yad evāsya niruktam parimitaṃ rūpaṃ tad asya tena saṃskaroti
7.2.4.30.4	atha yat tūṣṇīṃ yad evāsyāniruktam aparimitaṃ rūpaṃ tad asya tena saṃskaroti
7.2.4.30.5	sa ha vā etaṃ sarvaṃ kṛtsnam prajāpatiṃ saṃskaroti ya evaṃ vidvān etad evaṃ karoti
7.2.4.30.6	bāhyāni rūpāṇi niruktāni bhavanty antarāṇy aniruktāni
7.2.4.30.7	paśur eṣa yad agniḥ
7.2.4.30.8	tasmāt paśor bāhyāni rūpāṇi niruktāni bhavanty antarāṇy aniruktāni
7.3.1.1.1	cito gārhapatyo bhavaty acita āhavanīyaḥ
7.3.1.1.2	atha rājānaṃ krīṇāti
7.3.1.1.3	ayaṃ vai loko gārhapatyo dyaur āhavanīyaḥ
7.3.1.1.4	atha yo 'yaṃ vāyuḥ pavata eṣa soma etaṃ tad imau lokāv antareṇa dadhāti
7.3.1.1.5	tasmād eṣa imau lokāv antareṇa pavate
7.3.1.2.1	yad v eva cite gārhapatye 'cita āhavanīye 'tha rājānaṃ krīṇāti
7.3.1.2.2	ātmā vā agniḥ
7.3.1.2.3	prāṇaḥ somaḥ
7.3.1.2.4	ātmaṃs tat prāṇam madhyato dadhāti
7.3.1.2.5	tasmād ayam ātman prāṇo madhyataḥ
7.3.1.3.1	yad v eva cite gārhapatye 'cita āhavanīye 'tha rājānaṃ krīṇāti
7.3.1.3.2	ātmā vā agniḥ
7.3.1.3.3	rasaḥ somaḥ
7.3.1.3.4	ātmānaṃ tad rasenānuṣajati
7.3.1.3.5	tasmād ayam āntam evātmā rasenānuṣaktaḥ
7.3.1.4.1	rājānaṃ krītvā paryuhyāthāsmā ātithyaṃ havir nirvapati
7.3.1.4.2	tasya haviṣkṛtā vācaṃ visṛjate
7.3.1.4.3	atha vā etad vyatiṣajaty adhvarakarma cāgnikarma ca karmaṇaḥ samānatāyai samānam idaṃ karmāsad iti
7.3.1.5.1	yad v eva vyatiṣajati
7.3.1.5.2	ātmā vā agniḥ
7.3.1.5.3	prāṇo 'dhvaraḥ
7.3.1.5.4	ātmaṃs tat prāṇam madhyato dadhāti
7.3.1.5.5	tasmād ayam ātman prāṇo madhyataḥ
7.3.1.6.1	yad v eva vyatiṣajati
7.3.1.6.2	ātmā vā agniḥ
7.3.1.6.3	raso 'dhvaraḥ
7.3.1.6.4	ātmānaṃ tad rasenānuṣajati
7.3.1.6.5	tasmād ayam āntam evātmā rasenānuṣaktaḥ
7.3.1.6.6	athāhavanīyasyārdham aiti
7.3.1.7.1	taddhaika ubhayatraiva palāśaśākhayā vyudūhanty ubhayatra vai cinotīti
7.3.1.7.2	na tathā kuryāt
7.3.1.7.3	avasyati vāva gārhapatyenaū
7.3.1.7.4	rdhva evāhavanīyena rohati
7.3.1.7.5	tasmāt tathā na kuryāt
7.3.1.8.1	atha gārhapatya evoṣān nivapati nāhavanīye
7.3.1.8.2	ayaṃ vai loko gārhapatyaḥ
7.3.1.8.3	paśava ūṣāḥ
7.3.1.8.4	asmiṃs tal loke paśūn dadhāti
7.3.1.8.5	tasmād ime 'smiṃl loke paśavaḥ
7.3.1.9.1	athāhavanīya eva puṣkaraparṇam upadadhāti na gārhapatye
7.3.1.9.2	āpo vai puṣkaraparṇam
7.3.1.9.3	dyaur āhavanīyaḥ
7.3.1.9.4	divi tad apo dadhāti
7.3.1.9.5	ubhayatra sikatā nivapati
7.3.1.9.6	reto vai sikatāḥ
7.3.1.9.7	ubhayatra vai vikriyate tasmād retaso 'dhi vikriyātā iti
7.3.1.10.1	tā nānā mantrābhyāṃ nivapati
7.3.1.10.2	manuṣyaloko vai gārhapatyaḥ
7.3.1.10.3	devaloka āhavanīyaḥ
7.3.1.10.4	nāno vā etad yad daivaṃ ca mānuṣaṃ ca
7.3.1.10.5	drāghīyasā mantreṇāhavanīye nivapati hrasīyasā gārhapatye
7.3.1.10.6	drāghīyo hi devāyuṣam
7.3.1.10.7	hrasīyo manuṣyāyuṣam
7.3.1.10.8	sa pūrvāḥ pariśridbhyo gārhapatye sikatā nivapati
7.3.1.10.9	reto vai sikatā asmād retaso 'dhīmā vikriyāntā iti
7.3.1.11.1	tad āhur yad yoniḥ pariśrito retaḥ sikatā atha pūrvāḥ pariśridbhyo gārhapatye sikatā nivapati kathamasyaitad reto 'parāsiktam parigṛhītam bhavatīti
7.3.1.11.2	ulbaṃ vā ūṣāḥ
7.3.1.11.3	tad yad ūṣān pūrvān nivapaty eteno hāsyaitad ulbena reto 'parāsiktam parigṛhītam bhavati
7.3.1.11.4	athāhavanīye pariśrito 'bhimantrayate
7.3.1.11.5	tasyokto bandhuḥ
7.3.1.11.6	atha sikatā nivapati
7.3.1.11.7	reto vai sikatāḥ
7.3.1.11.8	etayo asyaitad yonyā reto 'parāsiktam parigṛhītam bhavati
7.3.1.12.1	athāhavanīya evāpyānavatībhyām abhimṛśati na gārhapatye
7.3.1.12.2	ayaṃ vai loko gārhapatyaḥ
7.3.1.12.3	svargo loka āhavanīyaḥ
7.3.1.12.4	addho vā ayam asmiṃl loke jāto yajamānaḥ svarga eva loke prajijanayiṣitavyaḥ
7.3.1.12.5	tad yad āhavanīya evāpyānavatībhyām abhimṛśati na gārhapatye svarga evainaṃ tal loke prajanayati
7.3.1.13.1	atha logeṣṭakā upadadhāti
7.3.1.13.2	ime vai lokā eṣo 'gniḥ
7.3.1.13.3	diśo logeṣṭakāḥ
7.3.1.13.4	eṣu tal lokeṣu diśo dadhāti
7.3.1.13.5	tasmād imā eṣu lokeṣu diśaḥ
7.3.1.14.1	bāhyenāgnim āharati
7.3.1.14.2	āptā vā asya tā diśo yā eṣu lokeṣu
7.3.1.14.3	atha yā imāṃl lokān pareṇa diśas tā asminn etad dadhāti
7.3.1.15.1	bahirvedeḥ
7.3.1.15.2	iyaṃ vai vediḥ
7.3.1.15.3	āptā vā asya tā diśo yā asyām
7.3.1.15.4	atha yā imām pareṇa diśas tā asminn etad dadhāti
7.3.1.16.1	yad v eva logeṣṭakā upadadhāti
7.3.1.16.2	prajāpater visrastasya sarvā diśo raso 'nu vyakṣarat
7.3.1.16.3	te yatra devāḥ samaskurvaṃs tad asminn etābhir logeṣṭakābhis taṃ rasam adadhuḥ
7.3.1.16.4	tathaivāsminn ayam etad dadhāti
7.3.1.17.1	bāhyenāgnim āharati
7.3.1.17.2	āpto vā asya sa raso ya eṣu lokeṣu
7.3.1.17.3	atha ya imāṃl lokān parāṅ raso 'tyakṣarat tam asminn etad dadhāti
7.3.1.18.1	bahirvedeḥ
7.3.1.18.2	iyaṃ vai vediḥ
7.3.1.18.3	āpto vā asya sa raso yo 'syām
7.3.1.18.4	atha ya imām parāṅ raso 'tyakṣarat tam asminn etad dadhāti
7.3.1.19.1	sphyenāharati
7.3.1.19.2	vajro vai sphyaḥ
7.3.1.19.3	vīryaṃ vai vajraḥ
7.3.1.19.4	vittir iyam
7.3.1.19.5	vīryeṇa vai vittiṃ vindate
7.3.1.20.1	sa purastād āharati mā mā hiṃsīj janitā yaḥ pṛthivyā iti
7.3.1.20.2	prajāpatir vai pṛthivyai janitā
7.3.1.20.3	mā mā hiṃsīt prajāpatir ity etat
7.3.1.20.4	yo vā divaṃ satyadharmā vyānaḍ iti
7.3.1.20.5	yo vā divaṃ satyadharmāsṛjatety etat
7.3.1.20.6	yaś cāpaś candrāḥ prathamo jajāneti
7.3.1.20.7	manuṣyā vā āpaś candrāḥ
7.3.1.20.8	yo manuṣyān prathamo 'sṛjatety etat
7.3.1.20.9	kasmai devāya haviṣā vidhemeti
7.3.1.20.10	prajāpatir vai kaḥ
7.3.1.20.11	tasmai haviṣā vidhemety etat
7.3.1.20.12	tām āhṛtyāntareṇa pariśrita ātmann upadadhāti
7.3.1.20.13	sa yaḥ prācyāṃ diśi raso 'tyakṣarat tam asminn etad dadhāti
7.3.1.20.14	atho prācīm evāsminn etad diśaṃ dadhāti
7.3.1.21.1	atha dakṣiṇato 'bhyāvartasva pṛthivi yajñena payasā saheti
7.3.1.21.2	yathaiva yajus tathā bandhuḥ
7.3.1.21.3	vapāṃ te agnir iṣito arohad iti
7.3.1.21.4	yad vai kiṃ cāsyāṃ sāsyai vapā
7.3.1.21.5	tām agnir iṣita upādīpto rohati
7.3.1.21.6	tām āhṛtyāntareṇa pakṣasaṃdhim ātmann upadadhāti
7.3.1.21.7	sa yo dakṣiṇāyāṃ diśi raso 'tyakṣarat tam asminn etad dadhāti
7.3.1.21.8	atho dakṣiṇām evāsminn etad diśaṃ dadhāti
7.3.1.22.1	atha paścād agne yat te śukraṃ yac candraṃ yat pūtaṃ yac ca yajñiyam iti
7.3.1.22.2	iyaṃ vā agniḥ
7.3.1.22.3	asyai tad āha tad devebhyo bharāmasīti
7.3.1.22.4	tad asmai daivāya karmaṇe harāma ity etat
7.3.1.22.5	tām āhṛtyāntareṇa pucchasaṃdhim ātmann upadadhāti
7.3.1.22.6	sa yaḥ pratīcyāṃ diśi raso 'tyakṣarat tam asminn etad dadhāti
7.3.1.22.7	atho pratīcīm evāsminn etad diśaṃ dadhāti
7.3.1.22.8	sa na samprati paścād āharen ned yajñapathād rasam āharāṇīti
7.3.1.22.9	ita ivāharati
7.3.1.23.1	athottarata iṣam ūrjam aham ita ādamiti
7.3.1.23.2	iṣam ūrjam aham ita ādada ity etat
7.3.1.23.3	ṛtasya yonim iti
7.3.1.23.4	satyaṃ vā ṛtam
7.3.1.23.5	satyasya yonim ity etat
7.3.1.23.6	mahiṣasya dhārām iti
7.3.1.23.7	agnir vai mahiṣaḥ
7.3.1.23.8	sa hīdaṃ jāto mahānt sarvam aiṣṇāt
7.3.1.23.9	ā mā goṣu viśatv ā tanūṣv iti
7.3.1.23.10	ātmā vai tanūḥ
7.3.1.23.11	ā mā goṣu cātmani ca viśatv ity etat
7.3.1.23.12	jahāmi sedim anirāmamīvām iti sikatāḥ pradhvaṃsayati
7.3.1.23.13	tad yaiva sedir yānirā yāmīvā tām etasyāṃ diśi dadhāti
7.3.1.23.14	tasmād etasyāṃ diśi prajā aśanāyukāḥ
7.3.1.23.15	tām āhṛtyāntareṇa pakṣasaṃdhim ātmann upadadhāti
7.3.1.23.16	sa ya udīcyāṃ diśi raso 'tyakṣarat tam asminn etad dadhāti
7.3.1.23.17	atho udīcīm evāsminn etad diśaṃ dadhāti
7.3.1.24.1	tā etā diśaḥ
7.3.1.24.2	tāḥ sarvata upadadhāti
7.3.1.24.3	sarvatas tad diśo dadhāti
7.3.1.24.4	tasmāt sarvato diśaḥ
7.3.1.24.5	sarvataḥ samīcīḥ
7.3.1.24.6	sarvatas tat samīcīr diśo dadhāti
7.3.1.24.7	tasmāt sarvataḥ samīcyo diśaḥ
7.3.1.24.8	tā nānopadadhāti
7.3.1.24.9	nānā sādayati
7.3.1.24.10	nānā sūdadohasādhivadati
7.3.1.24.11	nānā hi diśaḥ
7.3.1.24.12	tiṣṭhann upadadhāti
7.3.1.24.13	tiṣṭhantīva hi diśaḥ
7.3.1.24.14	atho tiṣṭhan vai vīryavattaraḥ
7.3.1.25.1	tā etā yajuṣmatya iṣṭakāḥ
7.3.1.25.2	tā ātmann evopadadhāti na pakṣapuccheṣu
7.3.1.25.3	ātman hy eva yajuṣmatya iṣṭakā upadhīyante na pakṣapuccheṣu
7.3.1.26.1	tad āhuḥ kathamasyaitāḥ pakvāḥ śṛtā upahitā bhavantīti
7.3.1.26.2	raso vā etāḥ
7.3.1.26.3	svayaṃśṛta u vai rasaḥ
7.3.1.26.4	atho yad vai kiṃ caitam agniṃ vaiśvānaram upanigacchati tata eva tat pakvaṃ śṛtam upahitam bhavati
7.3.1.27.1	athottaravediṃ nivapati
7.3.1.27.2	iyaṃ vai vediḥ
7.3.1.27.3	dyaur uttaravediḥ
7.3.1.27.4	diśo logeṣṭakāḥ
7.3.1.27.5	tad yad antareṇa vediṃ cottaravediṃ ca logeṣṭakā upadadhātīmau tal lokāv antareṇa diśo dadhāti
7.3.1.27.6	tasmād imau lokāv antareṇa diśaḥ
7.3.1.27.7	tāṃ yugamātrīṃ vā sarvataḥ karoti catvāriṃśatpadāṃ vā yatarathā kāmayeta
7.3.1.27.8	atha sikatā nivapati
7.3.1.27.9	tasyokto bandhuḥ
7.3.1.28.1	tā uttaravedau nivapati
7.3.1.28.2	yonir vā uttaravediḥ
7.3.1.28.3	yonau tad retaḥ siñcati
7.3.1.28.4	yad vai yonau retaḥ sicyate tat prajaniṣṇu bhavati
7.3.1.28.5	tābhiḥ sarvam ātmānam pracchādayati
7.3.1.28.6	sarvasmiṃs tad ātman reto dadhāti
7.3.1.28.7	tasmāt sarvasmād evātmano retaḥ saṃbhavati
7.3.1.29.1	agne tava śravo vaya iti
7.3.1.29.2	dhūmo vā asya śravo vayaḥ
7.3.1.29.3	sa hy enam amuṣmiṃl loke śrāvayati
7.3.1.29.4	mahi bhrājante arcayo vibhāvasav iti
7.3.1.29.5	mahato bhrājante 'rcayaḥ prabhūvasav ity etat
7.3.1.29.6	bṛhadbhāno śavasā vājam ukthyam iti
7.3.1.29.7	balaṃ vai śavaḥ
7.3.1.29.8	bṛhadbhāno valenānnam ukthyam ity etat
7.3.1.29.9	dadhāsi dāśuṣe kava iti
7.3.1.29.10	yajamāno vai dāśvān
7.3.1.29.11	dadhāsi yajamānāya kava ity etat
7.3.1.30.1	pāvakavarcāḥ śukravarcā iti
7.3.1.30.2	pavakavarcā hy eṣa śukravarcāḥ
7.3.1.30.3	anūnavarcā udiyarṣi bhānuneti
7.3.1.30.4	anūnavarcā uddīpyase bhānunety etat
7.3.1.30.5	putro mātarā vicarann upāvasīti
7.3.1.30.6	putro hy eṣa mātarā vicarann upāvati
7.3.1.30.7	pṛṇakṣi rodasī ubhe iti
7.3.1.30.8	ime vai dyāvāpṛthivī rodasī
7.3.1.30.9	te eṣa ubhe pṛṇakti dhūmenāmūṃ vṛṣṭyemām
7.3.1.31.1	ūrjo napāj jātavedaḥ suśastibhir iti
7.3.1.31.2	ūrjo napāj jātavedaḥ suṣṭutibhir ity etat
7.3.1.31.3	mandasva dhītibhir hita iti
7.3.1.31.4	dīpyasva dhītibhir hita ity etat
7.3.1.31.5	tve iṣaḥ saṃdadhur bhūrivarvasa iti
7.3.1.31.6	tve iṣaḥ saṃdadhur bahuvarpasa ity etat
7.3.1.31.7	citrotayo vāmajātā iti
7.3.1.31.8	yathaiva yajus tathā bandhuḥ
7.3.1.32.1	irajyann agne prathayasva jantubhir iti
7.3.1.32.2	manuṣyā vai jantavaḥ
7.3.1.32.3	dīpyamāno 'gne prathasva manuṣyair ity etat
7.3.1.32.4	asme rāyo amartyeti
7.3.1.32.5	asme rayiṃ dadhad amarty etat
7.3.1.32.6	sadarśa tasya vapuśo virājasīti
7.3.1.32.7	darśatasya hy eṣa vapuṣo virājati
7.3.1.32.8	pṛṇakṣi sānasiṃ kratum iti
7.3.1.32.9	pṛṇakṣi sanātanaṃ kratum ity etat
7.3.1.33.1	iṣkartāram adhvarasya pracetasam iti
7.3.1.33.2	adhvaro vai yajñaḥ
7.3.1.33.3	prakalpayitāraṃ yajñasya pracetasam ity etat
7.3.1.33.4	kṣayantaṃ rādhaso maha iti
7.3.1.33.5	kṣayantaṃ rādhasi mahatīty etat
7.3.1.33.6	rātiṃ vāmasya subhagām mahīm iṣam iti
7.3.1.33.7	rātiṃ vāmasya subhagāṃ mahatīm iṣam ity etat
7.3.1.33.8	dadhāsi sānasiṃ rayim iti
7.3.1.33.9	dadhāsi sanātanaṃ rayim ity etat
7.3.1.34.1	ṛtāvānam iti
7.3.1.34.2	satyāvānam ity etat
7.3.1.34.3	mahiṣam iti
7.3.1.34.4	agnir vai mahiṣaḥ
7.3.1.34.5	viśvadarśatam iti
7.3.1.34.6	viśvadarśato hy eṣaḥ
7.3.1.34.7	agniṃ sumnāya dadhire puro janā iti
7.3.1.34.8	yajño vai sumnam
7.3.1.34.9	yajñāya vā etam puro dadhate
7.3.1.34.10	śrutkarṇaṃ saprathastamaṃ tvā girā daivyam mānuṣā yugeti
7.3.1.34.11	āśṛṇvantaṃ saprathastamaṃ tvā girā devam manuṣyā havāmaha ity etat
7.3.1.35.1	sa eṣo 'gnir eva vaiśvānara etat ṣaḍṛcam
7.3.1.35.2	ārambhāyaivemāḥ sikatā nyupyante
7.3.1.35.3	agnim evāsminn etad vaiśvānaraṃ reto bhūtaṃ śiñcati
7.3.1.35.4	ṣaḍṛcena
7.3.1.35.5	ṣaḍ ṛtavaḥ saṃvatsaraḥ
7.3.1.35.6	saṃvatsaro vaiśvānaraḥ
7.3.1.36.1	tad āhur yad retaḥ sikatā ucyante kim āsāṃ reto rūpam iti
7.3.1.36.2	śuklā iti brūyāt
7.3.1.36.3	śuklaṃ hi retaḥ
7.3.1.36.4	atho pṛśnaya iti
7.3.1.36.5	pṛśnīva hi retaḥ
7.3.1.37.1	tad āhur yad ārdraṃ retaḥ śuṣkāḥ sikatā nivapati katham asyaitā ārdrā retorūpam bhavantīti
7.3.1.37.2	raso vai chandāṃsi
7.3.1.37.3	ārdra u vai rasaḥ
7.3.1.37.4	tad yad enāś chandobhir nivapaty evam u hāsyaitā ārdrā retorūpam bhavanti
7.3.1.38.1	tad āhuḥ katham asyaitā ahorātrābhyām upahitā bhavantīti
7.3.1.38.2	dve vā ahorātre śuklaṃ ca kṛṣṇaṃ ca
7.3.1.38.3	dve sikate śuklā ca kṛṣṇā ca
7.3.1.38.4	evam u hāsyaitā ahorātrābhyām upahitā bhavanti
7.3.1.39.1	tad āhuḥ katham asyaitā ahorātraiḥ saṃpannā anyūnā anatiriktā upahitā bhavantīti
7.3.1.39.2	anantāni vā ahorātrāṇi
7.3.1.39.3	anantāḥ sikatāḥ
7.3.1.39.4	evam u hāsyaitā ahorātraiḥ saṃpannā anyūnā anatiriktā upahitā bhavanti
7.3.1.39.5	atha kasmāt samudriyaṃ chanda iti
7.3.1.39.6	ananto vai samudraḥ
7.3.1.39.7	anantāḥ sikatāḥ
7.3.1.39.8	tat samudriyaṃ chandaḥ
7.3.1.40.1	tad āhuḥ katham asyaitāḥ pṛthaṅ nānā yajurbhir upahitā bhavantīti
7.3.1.40.2	mano vai yajuḥ
7.3.1.40.3	tad idam mano yajuḥ sarvāḥ sikatā anuvibhavati
7.3.1.40.4	evam u hāsyaitāḥ pṛthaṅ nānā yajurbhir upahitā bhavanti
7.3.1.41.1	tad āhuḥ katham asyaitāḥ sarvaiś chandobhir upahitā bhavantīti
7.3.1.41.2	yad evainā etena ṣaḍṛcena nivapati
7.3.1.41.3	yāvanti hi saptānāṃ chandasām akṣarāṇi tāvanty etasya ṣaḍṛcasyākṣarāṇi
7.3.1.41.4	evam u hāsyaitāḥ sarvaiś chandobhir upahitā bhavanti
7.3.1.42.1	yad v eva sikatā nivapati
7.3.1.42.2	prajāpatir eṣo 'gniḥ
7.3.1.42.3	sarvam u brahma prajāpatiḥ
7.3.1.42.4	taddhaitad brahmaṇa utsanne yat sikatāḥ
7.3.1.42.5	atha yad anutsannam idaṃ tad yo 'yam agniś cīyate
7.3.1.42.6	tad yat sikatā nivapati yad eva tad brahmaṇa utsannaṃ tad asminn etat pratidadhāti
7.3.1.42.7	tā asaṃkhyātā aparimitā nivapati
7.3.1.42.8	ko hi tad veda yāvat tad brahmaṇa utsannam
7.3.1.42.9	sa ha vā etaṃ sarvaṃ kṛtsnam prajāpatiṃ saṃskaroti ya evaṃ vidvānt sikatā nivapati
7.3.1.43.1	tad āhuḥ kaitāsām asaṃkhyātānāṃ saṃkhyeti
7.3.1.43.2	dve iti brūyāt
7.3.1.43.3	dve hi sikate śuklā ca kṛṣṇā ca
7.3.1.43.4	atho sapta viṃśatiśatānīti brūyāt
7.3.1.43.5	etāvanti hi saṃvatsarasyāhorātrāṇi
7.3.1.43.6	atho dve dvāpañcāśe śate iti
7.3.1.43.7	etāvanti hy etasya ṣaḍṛcasyākṣarāṇi
7.3.1.43.8	atho pañcaviṃśatir iti
7.3.1.43.9	pañcaviṃśaṃ hi retaḥ
7.3.1.44.1	tā etā yajuṣmatya iṣṭakāḥ
7.3.1.44.2	tā ātmann evopadadhāti na pakṣapuccheṣu
7.3.1.44.3	ātman hy eva yajuṣmatya iṣṭakā upadhīyante na pakṣapuccheṣu
7.3.1.44.4	na sādayati ned retaḥ prajātiṃ sthāpayānīti
7.3.1.45.1	athainā āpyānavatībhyām abhimṛśati
7.3.1.45.2	idam evaitad retaḥ siktam āpyāyayati
7.3.1.45.3	tasmād yonau retaḥ siktam āpyāyate
7.3.1.45.4	saumībhyām
7.3.1.45.5	prāṇo vai somaḥ
7.3.1.45.6	prāṇaṃ tad retasi dadhāti
7.3.1.45.7	tasmād retaḥ siktam prāṇam abhisambhavati
7.3.1.45.8	pūyeddha yad ṛte prāṇāt saṃbhavet
7.3.1.45.9	eṣo haivātra sūdadohāḥ
7.3.1.45.10	prāṇo vai somaḥ sūdadohāḥ
7.3.1.46.1	āpyāyasva sametu te viśvataḥ soma vṛṣṇyam iti
7.3.1.46.2	reto vai vṛṣṇyam
7.3.1.46.3	āpyāyasva sametu te sarvataḥ soma reta ity etat
7.3.1.46.4	bhavā vājasya saṃgatha iti
7.3.1.46.5	anne vai vājaḥ
7.3.1.46.6	bhavānnasya saṃgatha ity etat
7.3.1.46.7	saṃ te payāṃsi sam u yanti vājā iti
7.3.1.46.8	raso vai payaḥ
7.3.1.46.9	anne vājāḥ
7.3.1.46.10	saṃ te rasāḥ sam u yantv annānīty etat
7.3.1.46.11	saṃ vṛṣṇyabhimātiṣāha iti
7.3.1.46.12	saṃ retāṃsi pāpmasaha ity etat
7.3.1.46.13	āpyāyamāno amṛtāya someti
7.3.1.46.14	prajātyāṃ tad amṛtaṃ dadhāti
7.3.1.46.15	tasmāt prajātir amṛtā
7.3.1.46.16	divi śravāṃsy uttamāni dhiṣveti
7.3.1.46.17	candramā vā asya divi śrava uttamam
7.3.1.46.18	sa hy enam amuṣmiṃl loke śrāvayati
7.3.1.46.19	dvābhyām āpyāyayati gāyatryā ca triṣṭubhā ca
7.3.1.46.20	tasyokto bandhuḥ
7.3.1.47.1	athātāḥ sampad eva
7.3.1.47.2	catasro logeṣṭakā upadadhāti
7.3.1.47.3	ṣaḍṛcena nivapati
7.3.1.47.4	dvābhyām āpyāyayati
7.3.1.47.5	tad dvādaśa
7.3.1.47.6	dvādaśa māsāḥ saṃvatsaraḥ
7.3.1.47.7	saṃvatsaro 'gniḥ
7.3.1.47.8	yāvān agnir yāvaty asya mātrā tāvat tad bhavati
7.3.2.1.1	āpyānavatībhyām abhimṛśya pratyetyātithyena pracarati
7.3.2.1.2	ātithyena pracarya pravargyopasadbhyām pracarati
7.3.2.1.3	pravargyopasadbhyām pracaryāthaitāṃ carmaṇi citiṃ samavaśamayanti
7.3.2.1.4	tad yac carmaṇi carma vai rūpaṃ rūpāṇām upāptyai
7.3.2.1.5	lomataḥ
7.3.2.1.6	loma vai rūpaṃ rūpāṇām upāptyai
7.3.2.1.7	rohite
7.3.2.1.8	rohite ha sarvāṇi rūpāṇi sarveṣāṃ rūpāṇām upāptyai
7.3.2.1.9	ānaḍuhe
