#Text:Kāṭhakasaṃhitā
#Notes:Prose parts; digital split version provided by K. Amano



6.1.1	prajāpatir vā idam āsīt
24.6.48	mitro na ehi sumitradhā iti
24.6.49	varuṇo vā eṣa bhūtvā yajamānam abhyaiti
24.6.50	mitram evainaṃ kurute
24.6.51	aporṇute
24.6.52	yathā śreyāṃsam āyāntaṃ pāpīyān pratyaporṇuta evam eva tat
24.6.53	indrasyorum āviśa dakṣiṇam iti
24.6.54	indro vā etam agra ūrā ādhatta
24.6.55	aindro yajamānaḥ
24.6.56	sva evainaṃ yonau dadhāti
24.6.57	svān nabhrāḍ iti
24.6.58	somakrayaṇān anudiśati
24.6.59	ete vā etad gandharvā agopāyann amuṣmiṃl loke
24.6.60	taṃ gāyatry āharat
24.6.61	neṣṭāpotroḥ prati gopītham
24.6.62	tasmād ete hotre vyṛddhe vyṛddhasomapīthe
24.6.63	tasmān na neṣṭrā na potrā bhavitavyam
24.6.64	tasmād etau saṃsacantā iva yajataḥ
24.6.65	tam ete 'nvāyan
24.6.66	ete vā etasya gandharvāḥ puṣṭiṃ haranti
24.6.67	tasmāt somavikrayī na puṣyati
24.6.68	yadi kṛcchrāyetopaiva hareta
24.6.69	etebhyo hy eṣa gandharvebhyo 'dhi krīyate
24.6.70	ud āyuṣeti yathāyajuḥ
24.6.71	urv antarikṣaṃ vīhīti
24.6.72	antarikṣadevatyo hy eṣa etarhi
24.6.73	api panthām aganmahīti
24.6.74	rakṣāṃsi vā etam etarhi sacante
24.6.75	pracyutam itaḥ
24.6.76	aprāptam adaḥ
24.6.77	rakṣāṃsy eva vṛñjāna eti
24.6.78	anasāccha yanti
24.6.79	mahimānam evāsyāccha yanti
24.6.80	anasā vahanti
24.6.81	tasmād anovāhyam oṣadhayaḥ pacyante
24.6.82	yac chīrṣṇā hareyuś śīrṣahāryam oṣadhayaḥ pacyeran
24.6.83	adityās tvag asi
24.6.84	adityās sadane sīdeti
24.6.85	ādityo vai somaḥ pṛthivy aditiḥ
24.6.86	pṛthivyā anas saṃbhṛtam
24.6.87	sva evainaṃ yonau dadhāti
24.6.88	vāruṇo vai somaḥ
24.6.89	taṃ devatayā vyardhayati yan mitraṃ karoti
24.6.90	yad vāruṇyā sādayati svayaivainaṃ devatayā samardhayati
24.6.91	vaneṣu vy antarikṣaṃ tatāneti
24.6.92	vāsasā paryānahyati
24.6.93	sarvadevatyaṃ vai vāsaḥ
24.6.94	sarvābhir evainaṃ devatābhis samardhayati
24.6.95	sūryasya cakṣur āruham iti
24.6.96	kṛṣṇājinaṃ purastāt pratyānahyanti
24.6.97	rakṣāṃsi vā etam etarhi jighāṃsanti svargaṃ lokam abhyārohantam
24.6.98	asā ādityo 'pariparaḥ panthāḥ
24.6.99	tam evainam abhyārohayati svargasya lokasya samaṣṭyai
24.7.1	pracyavasva bhuvanaspata iti
24.7.2	bhūtānāṃ hy eṣa patiḥ
24.7.3	viśvāny abhi dhāmānīti
24.7.4	devatā vai viśvā dhāmāni
24.7.5	devatā evainam abhi pracyāvayati
24.7.6	śyeno bhūtvā parāpateti
24.7.7	śyeno vai vayasāṃ kṣepiṣṭhaḥ
24.7.8	śyenam evainaṃ kṛtvā rakṣāṃṣy atisṛjati
24.7.9	yajamānasya no gṛhe saṃskṛtam iti
24.7.10	yajamānāyatanam evainaṃ karoti
24.7.11	atho yajamānasyaiva gṛhe devatābhis saṃskṛtaṃ kurute
24.7.12	namo mitrasya varuṇasya cakṣasa iti
24.7.13	varuṇo vā eṣa bhūtvā yajamānam abhyeti
24.7.14	mitram evainaṃ kurute
24.7.15	āsandīm udgṛhṇanti
24.7.16	yathā manuṣyarājāyāvasthitāyāsandīm udgṛhṇanty evam eva tat
24.7.17	agninā pratitiṣṭhate
24.7.18	agnis sarvā devatāḥ
24.7.19	devatābhir evainaṃ pratitiṣṭhate
24.7.20	agnīṣomau vā etarhi yajamānam abhi saṃdhattaḥ
24.7.21	yat paśunā pratitiṣṭhate tam evābhyām apidadhāti
24.7.22	agnīṣomābhyāṃ vā eṣa ātmānaṃ medhāyālabhate yo dīkṣate
24.7.23	yat paśum ālabhata ātmānaṃ tena niṣkrīṇāti
24.7.24	yas tūparaś śmaśruṇo dvidevatyasya rūpaṃ lomaśaḥ pīvā puruṣarūpas tam ālabheta
24.7.25	tasya yo 'śnāti puruṣam atti
24.7.26	tasmāt tasya nāśitavyam
24.7.27	kṣudhyati vai dīkṣitaḥ
24.7.28	kṣudha eṣa niṣkrayaṇa ālabhyate
24.7.29	tasya yo 'śnāti kṣodhuko bhavati
24.7.30	tasmāt tasya nāśitavyam
24.7.31	agnīṣomābhyāṃ vai vīryeṇendro vṛtram ahan
24.7.32	sa eṣa vārtraghnaḥ paśur vijityā ālabhyate
24.7.33	tasmād asyāśitavyam
24.7.34	devatā vā enaṃ pūrvedyur ālabhyamānaṃ nābhiprācyavanta
24.7.35	parasmād yajñakrator nirariṣyāma iti
24.7.36	tam agnīṣomā evābhiprācyavetām
24.7.37	parācīr itarā yajñam abhyatyasṛjanta
24.7.38	tasmād eṣo 'gnīṣomīya ālabhyate
24.7.39	tasmād agnīṣomābhyāṃ graho na gṛhyate
24.7.40	tau devān upāvartamānau tayor yat priyaṃ dhāmāsīt tad apanyadadhātām
24.7.41	tad devā anveṣṭum adhriyanta
24.7.42	te prabāhug icchanta āyan
24.7.43	te navaṃ vā idaṃ sṛptam ity abhyavāyan
24.7.44	yan navam ity abruvaṃs tan navanītasya navanītatvam
24.7.45	yat sṛptam iti tat sarpiṣas sarpiṣṭvam
24.7.46	yad ajo 'vindat tad ājyasyājyatvam
24.7.47	sa ghṛṅṅ akarot
24.7.48	tad ghṛtasya ghṛtatvam
24.7.49	tasmād ajo ghṛṅkarikrac carati
24.7.50	tat paśūn anvākurvan
24.7.51	tat paśavas samabharan
24.7.52	tenaitena paśubhyo 'dhijāyante
24.7.53	tā abruvatāṃ vāryaṃ vṛṇāvahai
24.7.54	ayam eva nau bhāgadheyam astu yo nau priyaṃ dhāmāvidad iti
24.7.55	tasmād eṣo 'gnīṣomīya ālabhyate
24.7.56	tasmād asyāśitavyam
24.7.57	vāryavṛto hi
24.8.1	vimukto 'nyo 'naḍvān bhavaty avimukto 'nyaḥ
24.8.2	athātithyaṃ nirupyate yajñasya saṃtatyā avicchedāya
24.8.3	yad ubhau vimuktau syātāṃ pitṛdevatyaṃ havis syāt
24.8.4	vicchinno yajño 'saṃtato 'navaruddhaḥ
24.8.5	yad ubhā avimuktau vārtraghnaṃ havis syāt saṃtato yajño 'vicchinno 'varuddhaḥ
24.8.6	yad vimukto 'nyo bhavaty avimukto 'nyaḥ
24.8.7	vārtraghnaṃ havir bhavaty apitṛdevatyam
24.8.8	saṃtato yajño 'vicchinno 'varuddhaḥ
24.8.9	patnīm anvārambhayitvā nirvapati
24.8.10	patnī vai pārīṇahyasyeśe
24.8.11	anumatam eva prasūtaṃ devebhyo havir nirvapati
24.8.12	patnyā evaiṣa yajñasyānvārambhaḥ
24.8.13	atho mithunam eva yajñamukhe dadhāti prajananāya
24.8.14	yāvanto vai puṇyam anvāyanti sarvebhyas tebhya ātithyaṃ kriyate
24.8.15	chandāṃsi somaṃ rājānaṃ krītam anvāyanti
24.8.16	agnes tanūr asi viṣṇave tveti gāyatryaitan nirvapati
24.8.17	somasya tanūr asi viṣṇave tveti triṣṭubhaitan nirvapati
24.8.18	atither ātithyam asi viṣṇave tveti jagatyaitan nirvapati
24.8.19	agnaye tvā rāyaspoṣade viṣṇave tvety anuṣṭubhaitan nirvapati
24.8.20	śyenāya tvā somabhṛte viṣṇave tveti gāyatryaitan nirvapati
24.8.21	gāyatrī vā etam āharad amuṣmāl lokāt
24.8.22	tasmāt sā punaryāmṇī
24.8.23	tasmāt punaḥ prayujyate
24.8.24	yac chandobhir nirvapati cchandāṃsy eva bhāgadheyavanti karoti
24.8.25	pañca kṛtvo nirvapati
24.8.26	pāṅkto yajñaḥ
24.8.27	yajñam evāvarunddhe
24.8.28	viṣṇave tvā viṣṇave tveti
24.8.29	viṣṇur vā etarhi yajño yarhy aniruktaḥ
24.8.30	tasmād vaiṣṇavaḥ puroḍāśo bhavati
24.8.31	trikapālaḥ kāryaḥ
24.8.32	sa hi vaiṣṇavaḥ
24.8.33	yan navakapālas tenaiva trikapālaḥ
24.8.34	trayo hi te trikapālā navakapālo bhavati
24.8.35	nava prāṇāḥ
24.8.36	prāṇair eva yajñamukhe praiti
24.8.37	atho teja eva trivṛtaṃ yajñamukhe 'dhiviyātayati
24.8.38	yat trikapālas tena vaiṣṇavaḥ
24.8.39	yat ṣaṭ tena cchandasāṃ tenobhayasmān naiti
24.8.40	paśur ālabhyas somāya rājña ity āhuḥ
24.8.41	manuṣyarājāyen nvai paśur ālabhyata iti
24.8.42	agniṃ manthanti
24.8.43	āgneyā vai paśavaḥ
24.8.44	tad evāsmai paśum ālabhate
24.8.45	agnis sarvā devatāḥ
24.8.46	sarvā eva devatās somāya ca cchandobhyaś cāgatebhyo janayati
24.8.47	āśvavālaḥ prastāro bhavati
24.8.48	aikṣavā udyāvau
24.8.49	aśva iva vai prajāpatir āsīt
24.8.50	tasyaite vālā āsan yad aśvavālāḥ
24.8.51	etau bāhū yā udyāvau
24.8.52	taṃ devā anvārabhya svargaṃ lokam āyan
24.8.53	yad āśvavālaḥ prastāro bhavati
24.8.54	aikṣavā udyāvau
24.8.55	prajāpatim evānvārabhate svargasya lokasya samaṣṭyai
24.8.56	prajāpater vā etāni pakṣmāṇi ye 'śvavālāḥ
24.8.57	yad āśvavālaḥ prastāro bhavati prajāpater evādhi yajñamukhaṃ pratanute
24.8.58	rakṣāṃsi vai devānāṃ yajñam ajighāṃsan
24.8.59	tāni kārṣmaryeṇāpāghnata
24.8.60	yat kārṣmaryamayāḥ paridhayo bhavanti rakṣasām apahatyai
24.8.61	yadyad vai devā etenākurvata tenārdhnuvan
24.8.62	tad asya karmaṇyatvam
24.8.63	karmaṇyo vai nāmaiṣa
24.8.64	yajñamukha evaitenardhnoti
24.8.65	saptadaśa sāmidhenyo bhavanti
24.8.66	saptadaśo vai saṃvatsaraḥ pañcartavo dvādaśa māsāḥ
24.8.67	eṣa vāva sa saṃvatsaraḥ
24.8.68	saṃvatsarād evādhi yajñamukhaṃ pratanute
24.8.69	śiro vā etad yajñasya yad ātithyam
24.8.70	grīvā upasadaḥ
24.8.71	yat saṃsthāpayen mukhato yajñaṃ saṃsthāpayec chiro grīvābhyo yajñasyāvacchindyāt
24.8.72	iḍāntaṃ bhavati
24.8.73	śira eva grīvāsu yajñasya pratidadhāti
24.8.74	navakapālo bhavati
24.8.75	tasmān navadhā puruṣasya śiro viṣyūtam
24.8.76	upasado vā etasyānuyājās tānūnaptam āśīḥ
24.8.77	tasmād ananuyājaṃ bhavati
24.9.1	devā vā anyo'nyasya śrauṣṭhyāya nātiṣṭhanta
24.9.2	te caturdhā vyudakrāmann agnir vasubhiḥ somo rudrair indro marudbhir varuṇa ādityaiḥ
24.9.3	te devāḥ pāpīyāṃso 'bhavan vasīyāṃso 'surāḥ
24.9.4	te 'viduḥ pāpīyāṃso vai tye bhavanti vasīyāṃso 'surā iti
24.9.5	te priyās tanvas samavādyanta
24.9.6	te 'bruvann eṣāṃ nas tan na pārayād yo no 'nyo'nyasmai druhyād iti
24.9.7	tasmāt satānūnaptriṇe na drogdhavai
24.9.8	yad druhyati priyāyai tanvai druhyati
24.9.9	yat tanvas samavādyanta tat tānūnaptrasya tānūnaptratvam
24.9.10	tato devā abhavan
24.9.11	parāsurā abhavan
24.9.12	ya evaṃ vidvāṃs tānūnaptram upaiti bhavaty ātmanā parāsya bhrātṛvyo bhavati
24.9.13	asau vā āditya indraḥ
24.9.14	tasya te śraiṣṭhyāyātiṣṭhanta
24.9.15	tiṣṭhante 'sya samānāś śraiṣṭhyāya ya evaṃ veda
24.9.16	etasmin vai te tās tanvas saṃnyadadhata
24.9.17	tasmād eṣa tejiṣṭhaṃ tapati
24.9.18	tasmāt sūryadevatyās somā bhūyiṣṭhā hūyante
24.9.19	ājyena vai vajreṇa devā vṛtram aghnan srugbhyāṃ bāhubhyām
24.9.20	somo vṛtraḥ
24.9.21	ghnanti vā etat somaṃ yad asyājyenāntikaṃ juhvati
24.9.22	aṃśuraṃśus te deva somāpyāyatām iti
24.9.23	yad evāsya ghnanti yan nitamayanti tad āpyāyayanti
24.9.24	yanti vā ete 'smāl lokād ye somam āpyāyayanti
24.9.25	eṣṭā rāyaḥ preṣe bhagāyeti
24.9.26	asminn eva loke pratitiṣṭhanti
24.9.27	pitaraṃ ca vā eṣa mātaraṃ ca hinasti yo garbhaṃ hanti
24.9.28	anayor garbhas somo rājā
24.9.29	namo dive namaḥ pṛthivyā iti
24.9.30	ābhyām eva nihnute
24.9.31	kiṃ dīkṣayā spṛṇotīty āhuḥ
24.9.32	kim avāntaradīkṣayeti
24.9.33	ātmānam eva dīkṣayā spṛṇoti prajām avāntaradīkṣayā
24.9.34	saṃtarāṃ mekhalām āyacchate
24.9.35	kanīyo vratam upaiti
24.9.36	tasmād ātmanaḥ prajāṃhīyasī
24.9.37	yat paras satyāṃ visṛjate tasmāt parovarīyaḥ prajayā putreṇa pautreṇa prathate
24.9.38	agnir vai dīkṣitaḥ
24.9.39	śamayanty agnim āpaḥ
24.9.40	madantīnāṃ mārjayate
24.9.41	madantīnāṃ vratayaty aśāntyai
24.9.42	śāntir hy āpaḥ
24.9.43	atho teja evātman bhūyas samādhatte
24.9.44	na vā etena hutaṃ vratayitavyaṃ nāhutaṃ yo dīkṣitaḥ
24.9.45	agnir vai rudraḥ
24.9.46	agninaiṣa tanvaṃ viparidhatte
24.9.47	yā te agne rudriyā tanūr iti vratayati
24.9.48	svāyām eva devatāyāṃ hutaṃ vratayati
24.9.49	tenāsya na hutaṃ bhavati nāhutam
24.10.1	devāś ca vā asurāś ca saṃyattā āsan
24.10.2	teṣām asurāṇām imāḥ pura āsann ayasmayīyaṃ rajatāntarikṣaṃ hariṇī dyauḥ
24.10.3	te devās saṃghātaṃsaṃghātaṃ parājayanta
24.10.4	te 'vidur anāyatanā hi vai smas tasmāt parājayāmaha iti
24.10.5	ta etāḥ puraḥ pratyakurvata havirdhānaṃ diva āgnīdhram antarikṣāt sadaḥ pṛthivyāḥ
24.10.6	te 'bruvann upasadam upāyāma
24.10.7	upasadā vai mahāpuraṃ jayantīti
24.10.8	ta upasadam upāyan
24.10.9	tān upasadbhir evaibhyo lokebhyo niraghnan
24.10.10	tasmād āhur upasadā vai mahāpuraṃ jayantīti
24.10.11	ta ebhyo lokebhyo nirhatā ṛtūn prāviśan
24.10.12	te ṣaḍ upāyan
24.10.13	tān upasadbhir evartubhyo niraghnan dvābhyām amuṣmāl lokād dvābhyām antarikṣād dvābhyāṃ pṛthivyāḥ
24.10.14	ta ṛtubhyo nirhatās saṃvatsaraṃ prāviśan
24.10.15	te dvādaśopāyan
24.10.16	tān upasadbhir eva saṃvatsarān niraghnaṃś catasṛbhir amuṣmāl lokāc catasṛbhir antarikṣāc catasṛbhiḥ pṛthivyāḥ
24.10.17	te saṃvatsarān nirhatā ahorātre prāviśan
24.10.18	te yat sāyam upāyaṃs tenainān rātryā anudanta
24.10.19	yat prātas tenāhnaḥ
24.10.20	tasmād gaus sāyaṃ prātastanam āpyāyate prātas sāyantanam
24.10.21	tān upasadbhir evaibhyo lokebhyo nudamānā āyan
24.10.22	tato devā abhavan
24.10.23	parāsurā abhavan
24.10.24	sarvebhya evaibhyo lokebhyo bhrātṛvyaṃ nudamāna eti ya evaṃ vidvān upasada upaiti
24.10.25	bhavaty ātmanā
24.10.26	parāsya bhrātṛvyo bhavati
24.10.27	na dvādaśāgniṣṭomasya kuryāt
24.10.28	aśāntā nirmṛjyuḥ
24.10.29	na tisro 'hīnasya
24.10.30	upariṣṭād yajñakratur garīyān abhiṣīdet
24.10.31	grīvā niśśṛṇīyāt
24.10.32	ārtim ārchet
24.10.33	dvādaśāhīnasya kuryācchāntyā anirmārgāya
24.10.34	tisro 'gniṣṭomasya pratyuttabdhyai sayatvāya
24.10.35	te devā asuryān imāṃl lokān nānvavaitum adhṛṣṇuvan
24.10.36	tān agninā mukhenānvavāyan
24.10.37	yad agnimanty upasadāṃ pratīkāni bhavanti
24.10.38	yathā kṣetrapatiḥ kṣetre 'nvavanayaty evam evaitat
24.10.39	agninā mukhenemāṃl lokān abhijayanto yanti
24.10.40	yo ha vai devān sādhyān veda sidhyaty asmai
24.10.41	ime vāva lokā devās sādhyāḥ
24.10.42	siddhaṃ hy asyai
24.10.43	siddham asmai
24.10.44	siddham amuṣmai
24.10.45	ya evaṃ veda sidhyaty asmai
25.1.1	iṣuṃ vā etā devās samaskurvan yad upasado 'gniṃ śṛṅgaṃ somaṃ śalyaṃ viṣṇuṃ tejanam
25.1.2	te 'bruvan yo na ojiṣṭhas sa imāṃ visṛjatv iti
25.1.3	te rudram abruvan tvaṃ vai na ojiṣṭho 'si
25.1.4	tvam imāṃ visṛjeti
25.1.5	so 'bravīd vāryaṃ vṛṇai
25.1.6	aham eva paśūnām īśā iti
25.1.7	te 'manyanta yad ayaṃ paśūnām īśiṣyate sarvān nirṇeṣyatīti
25.1.8	te 'bruvan saptāhānīśāsai na parācīnam iti
25.1.9	tasmāt saptāhāni rudraḥ paśūnām īśe
25.1.10	rakṣāṃsi parācīnaṃ ghnanti
25.1.11	tāṃ vyasṛjat
25.1.12	tayā puras samarujat
25.1.13	yat samarujat tad rudrasya rudratvam
25.1.14	visṛṣṭim eva bhrātṛvyāya visṛjati ya evaṃ vidvān upasada upaiti
25.1.15	na punar apakrāmet
25.1.16	yataro vai saṃyattayoḥ punar apakrāmati parā sa jayate
25.1.17	sam eṣa etarhi yatate ya upasada upaiti
25.1.18	sakṛd eva parāṅ atikramyāśrāvayati yajñasyābhijityai rakṣasām apahatyai
25.1.19	na prayājā bhavanti nānuyājāḥ
25.1.20	puro vā ete yajñasya yat prayājānuyājāḥ
25.1.21	yat prayājānuyājān kuryāt puro yajñasya kuryāt
25.1.22	durativyathaṃ syāt
25.1.23	atīkṣṇām iṣuṃ kuryāt
25.1.24	caturvrato bhavati
25.1.25	catvāri hīṣvāḥ parṇāni
25.1.26	trivrato bhavati
25.1.27	triṣandhir hīṣuś śṛṅgaṃ śalyas tejanam
25.1.28	dvivrato bhavati
25.1.29	dviṣandhir hīṣuś śalyaś ca tejanaṃ ca
25.1.30	ekavrato bhavati
25.1.31	ekā hy eveṣuḥ
25.1.32	iṣum evaitāṃ saṃskṛtya tāṃ śvo bhrātṛvyāya visṛjati
25.1.33	atho vratam evāpnoti
25.1.34	grīvā vā etā yajñasya yad upasadaḥ
25.1.35	na prayājā bhavanti nānuyājāḥ
25.1.36	tasmād grīvāḥ prati puruṣasyāṇiṣṭham
25.1.37	tās savīryāḥ prayujyante
25.1.38	tasmād grīvā aṇiṣṭhās satīr vīryāvattamāḥ
25.1.39	tisra upasado bhavanti
25.1.40	traya ime lokāḥ
25.1.41	tasmāt puruṣasya trayas skandhāḥ
25.1.42	atiṣaktabhir yajati
25.1.43	tasmād grīvā atiṣaktāḥ
25.1.44	atho ayātayāmnyāyātayāmnyaiva yajati
25.1.45	sacchandaso yājyānuvākyāḥ kuryāt
25.1.46	yad vicchandasas syur apacito hotāraṃ hanyuḥ
25.1.47	bhidvatīḥ purāṃ bhittyai
25.2.1	devāś ca vā asurāś ca yajñe saṃyattā āsan
25.2.2	sa yajño 'bibhed yatare 'bhijeṣyanti te mā vimathiṣyanta iti
25.2.3	sa nyalayata
25.2.4	taṃ devā abhijityānvaicchan
25.2.5	te prabāhug icchanta āyan
25.2.6	tam indra uparyupary atyakrāmat
25.2.7	so 'bravīt ko māyam uparyupary atyakramīd iti
25.2.8	aham eṣa kṛcchre hanteti
25.2.9	atha kas tvam iti
25.2.10	aham eṣa kṛcchrād āharteti
25.2.11	emūṣo nāmāyaṃ varāha ity abravīt
25.2.12	ekaviṃśatyāḥ purām aśmamayīnāṃ pāre yat kiṃ cāsurāṇāṃ vāmaṃ vasu tena tiṣṭhati taṃ jahi ya eṣa kṛcchre hantāvocathā iti
25.2.13	tam indro dālbhūṣyābhivisṛjya parābhinat
25.2.14	so 'bravīd eṣa hatas tam āhara ya eṣa kṛcchrād āhartāvocathā iti
25.2.15	taṃ viṣṇur apāsaṅga āharat
25.2.16	yajño vai viṣṇuḥ
25.2.17	yajñenaivaiṣāṃ tad yajñam avṛñjata paśubhiḥ paśūn indriyeṇendriyam
25.2.18	tato devā abhavan
25.2.19	parāsurā abhavan
25.2.20	yajño vai viṣṇuḥ
25.2.21	yajñenaivaitad yajñaṃ bhrātṛvyasya vṛṅkte paśubhiḥ paśūn indriyeṇendriyam
25.2.22	bhavaty ātmanā
25.2.23	parāsya bhrātṛvyo bhavati
25.2.24	devayajanam icchanti
25.2.25	yajñam evecchanti
25.2.26	yad vindanti yajñam eva vindanti
25.2.27	yad udīcīnaṃ prācīnaṃ pravaṇaṃ syāt tasmin yajeta yajñakāmaḥ
25.2.28	evam eva hi sa yajño 'śayad yajñasyānuvittyai
25.2.29	yat samaṃ pratiṣṭhitaṃ tasmin yajeta gataśrīḥ
25.2.30	pratiṣṭhā vā etasmā eṣṭavyā yo gataśrīḥ
25.2.31	etad bhūmyāḥ pratiṣṭhitaṃ yat samam
25.2.32	pratiṣṭhām evāsmai vindati
25.2.33	gacchati pratiṣṭhām
25.2.34	tryunnate yajeta bhrātṛvyavān
25.2.35	tryunnatena vai viṣṇur imāṃl lokān udajayat
25.2.36	sa ebhyo lokebhyo 'surān prāṇudata
25.2.37	imān eva lokān ujjayati
25.2.38	ebhyo lokebhyo bhrātṛvyaṃ praṇudate
25.2.39	yasyaikadhā madhya unnataṃ syāt tasmin yajeta svargakāmaḥ
25.2.40	ato vai devās svargaṃ lokam āyan svargasya lokasya samaṣṭyai
25.2.41	yatrauṣadhayo bahvīr anyā anyā iva syus tasmin yajeta paśukāmaḥ
25.2.42	oṣadhayo vai paśavaḥ
25.2.43	bhūmānam eva paśūnām upaiti
25.2.44	yatrauṣadhayaḥ kṛcchraśaḥ paryāyaśaḥ parīyus tasmin yajeta paśukāmaḥ
25.2.45	ato vai devāḥ paśūn udasṛjanta
25.2.46	paśūn evotsṛjate
25.2.47	yad ṛkṣam alomakaṃ tasmin yājayed yaṃ dviṣyāt
25.2.48	vyṛddhaṃ vā etad oṣadhibhir yad ṛkṣam alomakam
25.2.49	oṣadhayaḥ paśavaḥ
25.2.50	paśubhir evainaṃ vyardhayati
25.2.51	yat samayā devayajanaṃ panthā vidhāvet tasmin yājayed yaṃ kāmayeta
25.2.52	vy enaṃ prajayā paśubhiś chindyām iti
25.2.53	etad vai vicchinnaṃ nāma devayajanam
25.2.54	vy enaṃ prajayā paśubhiś chinatti
25.2.55	yad antarāpaś ca devayajanaṃ ca panthā vidhāvet tasmin yājayed yaṃ kāmayeta
25.2.56	nainam aparo yajña upanamed iti
25.2.57	etad vai parivartma nāma devayajanam
25.2.58	pary eṇam aparo yajño vṛṇakti
25.2.59	yatrāpas sarvatas samavad raveyus tasmin yajetānnakāmaḥ
25.2.60	digbhyo vā etasmā annaṃ haranti yasmai haranty āpo 'nnam
25.2.61	sarvābhya eva digbhyo 'nnādyam avarunddhe
25.2.62	tad etat samāpaṃ nāma devayajanam
25.2.63	nīpatamam ivartasamānānāṃ bhavati
25.3.1	yatrāpaḥ prācīr āhavanīyāt pratīcīr gārhapatyād vyavadraveyus tasmin yājayed yam udake vā pātre vā vivāhe vā mīmāṃseran
25.3.2	pāpmanā vā eṣo 'nuṣakto yam udake vā pātre vā vivāhe vā mīmāṃsante
25.3.3	pāpmanaivainaṃ vyāvartayati
25.3.4	yatrāpo dakṣiṇā pariplūya paścātprācī rameraṃs tasmin yajeta bubhūṣan
25.3.5	āpo vai sarvā devatāḥ
25.3.6	etad devatābhir juṣṭaṃ devayajanam
25.3.7	yad evaṃ devatābhir eva juṣṭe devayajane yajate
25.3.8	bhavaty eva
25.3.9	yatrāpo dakṣiṇata udīcī rameraṃs tasmin yajeta sajātakāmaḥ
25.3.10	āpo vai sarvā devatāḥ
25.3.11	devatās sajātāḥ
25.3.12	sajātānām evainaṃ prārdhe karoti
25.3.13	kṛtrime yajeta bubhūṣan
25.3.14	ātmā vai devayajanam
25.3.15	karoty evainam
25.3.16	yatrāgniṃ cāpaś ca paśyan prātaranuvākam anubrūyāt tasmin yajeta yaḥ kāmayeta
25.3.17	yajño māpara upanamed iti
25.3.18	agnir vai sarvā devatāḥ
25.3.19	āpo yajñaḥ
25.3.20	upainam aparo yajño namati
25.3.21	devatāś ca hi yajñaṃ ca paśyan yajate
25.3.22	yatrāgnim apas sūryaṃ paśyan prātaranuvākam anubrūyāt tasmin yajeta brahmavarcasakāmaḥ
25.3.23	etad vai triśukriyaṃ nāma devayajanam
25.3.24	brahmavarcasī bhavati
25.3.25	yat purastād āptaṃ syād devayajanaṃ tasmin yajeta bhrātṛvyavān
25.3.26	bhrātṛvyāya vā eṣa loka ucchiṣyate
25.3.27	yaḥ purastād devayajanasyocchiṣyata etāvantam evāsmai lokam ucchiṃṣati
25.3.28	alokam enaṃ karoti
25.3.29	yo ha vai vidvān devayajanaṃ yajata ṛdhnoti
25.3.30	agnir vāva devayajanam
25.3.31	agnau hi sarvā devatā ijyante
25.3.32	yatraiva kva cāgnim ādhāya yajeta
25.3.33	tenaivardhnoti
25.3.34	brāhmaṇā vāva devayajanam
25.3.35	yatra brāhmaṇā bahavas saṃrādhayeyus tasmin yajeta
25.3.36	tenaivardhnoti
25.4.1	﻿vediṃ vimimīte
25.4.2	triṃśatā paścāt prakramair mimīte ṣaṭtriṃśatā prācīṃ caturviṃśatyā purastāt
25.4.3	virājaivaināṃ paścāt parimimīte bṛhatyā prācīṃ gāyatryā purastāt
25.4.4	chandobhir evaināṃ sarvataḥ parimimīte
25.4.5	virājy eva pratitiṣṭhati yad virājam abhisaṃpādayati
25.4.6	sphyena stambayajur harati
25.4.7	indro vai vṛtrāya vajraṃ prāharat
25.4.8	sa tredhābhavat sphyas tṛtīyaṃ yūpas tṛtīyaṃ rathas tṛtīyam
25.4.9	vajro vai sphyaḥ
25.4.10	etāvatī pṛthivī yāvatī vediḥ
25.4.11	vajreṇaiva pṛthivyā bhrātṛvyaṃ nirbhajati
25.4.12	trir harati
25.4.13	traya ime lokāḥ
25.4.14	ebhya evainaṃ lokebhyo nirbhajati
25.4.15	tūṣṇīṃ caturthaṃ harati
25.4.16	aparimitād evainaṃ nirbhajati
25.4.17	indro vai vṛtraṃ hatvā tam anayābhinyadadhāt
25.4.18	yaṃ tūṣṇīṃ caturthaṃ haraty anayaiva bhrātṛvyam abhinidadhāti
25.4.19	mūlaṃ chinatti
25.4.20	bhrātṛvyasyaiva mūlaṃ chinatti
25.4.21	uddhanti
25.4.22	tasmāc chiśira oṣadhayaḥ parābhavanti
25.4.23	barhis stṛṇāti
25.4.24	tasmād vasantā punar ābhavanti
25.4.25	apārarum adevayajanaṃ pṛthivyā devayajanāj jahīti
25.4.26	bhrātṛvyo vā araruḥ
25.4.27	bhrātṛvyam eva pṛthivyā apahanti
25.4.28	drapsas te dyāṃ mā skān iti
25.4.29	yo vā asyā rasas sa drapsaḥ
25.4.30	tam imāḥ prajā upajīvanti
25.4.31	tam evāsyāṃ yacchati tasyāskandāya
25.4.32	ararur dyāṃ mā paptad iti
25.4.33	bhrātṛvyo vā araruḥ
25.4.34	bhrātṛvyam eva svargāl lokāt pratinudate
25.4.35	viṣād vai nāmāsura āsīt
25.4.36	sa pṛthivīṃ viṣeṇālimpat
25.4.37	tasyā na kaś canāśnāt
25.4.38	ya āśnāt so 'rupyat
25.4.39	yad uddhanti
