#Text:Maitrāyaṇīsaṃhitā
#Notes:Prose parts; digital split version provided by K. Amano



1.1.1.1	iṣe tvā subhūtāya
2.7.5.10	sinīvālī sukapardā sukarīrā svopaśā / sā tubhyam adite mahy okhāṃ dadātu hastayoḥ
2.7.5.11	ukhāṃ kṛṇotu śaktyā bāhubhyām aditir dhiyā / mātā putraṃ yathopasthe sāgniṃ bibhartu garbhā ā
2.7.6.1	makhasya śiro 'si
2.7.6.2	vasavas tvā kṛṇvantu gāyatreṇa chandasāṅgirasvad ukhe
2.7.6.3	dhruvāsi
2.7.6.4	pṛthivy asi
2.7.6.5	dhārayā mayi prajāṃ rāyaspoṣaṃ gaupatyaṃ suvīryaṃ sajātān asmai yajamānāya
2.7.6.6	rudrās tvā kṛṇvantu traiṣṭubhena chandasāṅgirasvad ukhe
2.7.6.7	dhruvāsi
2.7.6.8	antarikṣam asi
2.7.6.9	dhārayā mayi prajāṃ rāyaspoṣaṃ gaupatyaṃ suvīryaṃ sajātān asmai yajamānāya
2.7.6.10	ādityās tvā kṛṇvantu jāgatena chandasāṅgirasvad ukhe
2.7.6.11	dhruvāsi
2.7.6.12	dyaur asi
2.7.6.13	dhārayā mayi prajāṃ rāyaspoṣaṃ gaupatyaṃ suvīryaṃ sajātān asmai yajamānāya
2.7.6.14	viśve tvā devā vaiśvānarāḥ kṛṇvantv ānuṣṭubhena chandasāṅgirasvad ukhe
2.7.6.15	dhruvāsi
2.7.6.16	diśo 'si
2.7.6.17	dhārayā mayi prajāṃ rāyaspoṣaṃ gaupatyaṃ suvīryaṃ sajātān asmai yajamānāya
2.7.6.18	adityā rāsnāsi
2.7.6.19	aditiṣ ṭe bilaṃ gṛbhṇātu
2.7.6.20	kṛtvāya sā mahīm ukhāṃ mṛnmayīṃ yonim agnaye
2.7.6.21	tāṃ putrebhyaḥ prāyacchad aditiḥ śrapayān iti
2.7.6.22	vasavas tvā dhūpayantv aṅgirasvat
2.7.6.23	rudrās tvā dhūpayantv aṅgirasvat
2.7.6.24	ādityās tvā dhūpayantv aṅgirasvat
2.7.6.25	indras tvā dhūpayatv aṅgirasvat
2.7.6.26	varuṇas tvā dhūpayatv aṅgirasvat
2.7.6.27	viṣṇus tvā dhūpayatv aṅgirasvat
2.7.6.28	bṛhaspatiṣ ṭvā dhūpayatv aṅgirasvat
2.7.6.29	aditiṣ ṭvā devī viśvadevyavatī pṛthivyāḥ sadhasthe aṅgirasvat khanatv avaṭa
2.7.6.30	devānāṃ tvā patnīr devīr viśvadevyavatīḥ pṛthivyāḥ sadhasthe aṅgirasvad dadhatūkhe
2.7.6.31	dhiṣaṇā tvā devī viśvadevyavatī pṛthivyāḥ sadhasthe aṅgirasvad abhīnddhām ukhe
2.7.6.32	gnās tvā devīr viśvadevyavatīḥ pṛthivyāḥ sadhasthe aṅgirasvañ śrapayantūkhe
2.7.6.33	varūtrī tvā devī viśvadevyavatī pṛthivyāḥ sadhasthe aṅgirasvat pacatām ukhe
2.7.6.34	janayas tvācchinnapatrā devīr viśvadevyavatīḥ pṛthivyāḥ sadhasthe aṅgirasvat pacantūkhe
2.7.6.35	mitrasya carṣaṇīdhṛtaḥ śravo devasya sānasi
2.7.6.36	dyumnaṃ citraśravastamam
2.7.6.37	devas tvā savitodvapatu supāṇiḥ svaṅguriḥ
2.7.6.38	subāhur uta śaktyā
2.7.6.39	uttiṣṭha bṛhatī bhavordhvā tiṣṭha dhruvā tvam
2.7.6.40	avyathamānā pṛthivy āśā diśā āpṛṇa
2.7.6.41	mitraitāṃ ta ukhāṃ paridadāmy abhittyai
2.7.6.42	eṣā mā bhedi
2.7.6.43	vasavas tvāchṛndantu gāyatreṇa chandasāṅgirasvad ukhe
2.7.6.44	rudrās tvāchṛndantu traiṣṭubhena chandasāṅgirasvad ukhe
2.7.6.45	ādityās tvāchṛndantu jāgatena chandasāṅgirasvad ukhe
2.7.6.46	viśve tvā devā vaiśvānarā āchṛndantv ānuṣṭubhena chandasāṅgirasvad ukhe
2.7.7.1	ākūtam agniṃ prayujaṃ svāhā / mano medhām agniṃ prayujaṃ svāhā / cittaṃ vijñātam agniṃ prayujaṃ svāhā / vāco vidhṛtam agniṃ prayujaṃ svāhā / prajāpataye manave svāhā / agnaye vaiśvānarāya svāhā / viśvo devasya netur marto vurīta sakhyam / viśvo rāya iṣudhyati dyumnaṃ vṛṇīta puṣyase
2.7.7.2	svāhā / mā su bhitthā mā su riṣo dṛṃhasva vīrayasva su / amba dhṛṣṇu vīrayasvāgniś cedaṃ kariṣyathaḥ
2.7.7.3	dṛṃhasva devi pṛthivi svastaye āsurī māyā svadhayā kṛtāsi / juṣṭaṃ devebhya idam astu havyam ariṣṭā tvam udihi yajñe asmin
2.7.7.4	drvannaḥ sarpirāsutiḥ pratno hotā vareṇyaḥ / sahasas putro adbhutaḥ
2.7.7.5	parasyā adhi saṃvato 'varaṃ abhyātara / yatrāham asmi taṃ ava
2.7.7.6	paramasyāḥ parāvato rohidaśva ihāgahi / purīṣyaḥ purupriyo agne tvaṃ tarā mṛdhaḥ
2.7.7.7	yad agne yāni kāni cā te dārūṇi dadhmasi / sarvaṃ tad astu te ghṛtaṃ taj juṣasva yaviṣṭhya
2.7.7.8	yad atty upajihvikā yad vamro atisarpati / sarvaṃ tad astu te ghṛtaṃ taj juṣasva yaviṣṭhya
2.7.7.9	rātrīṃ rātrīm aprayāvaṃ bharanto 'śvāyeva tiṣṭhate ghāsam asmai / rāyaspoṣeṇa sam iṣā madanto 'gne mā te prativeśā riṣāma
2.7.7.10	nābhā pṛthivyāḥ samidhāno agniṃ rāyaspoṣāya bṛhate havāmahe / iraṃmadaṃ bṛhadukthaṃ yajatraṃ jetāram agniṃ pṛtanāsu sāsahim
2.7.7.11	yāḥ senā abhītvarīr āvyādhinīr ugaṇā uta / ye stenā ye ca taskarās tāṃs te agne apidadhāmy āsye
2.7.7.12	ye janeṣu malimlavaḥ stenāsas taskarā vane / ye kakṣeṣv aghāyavas tāṃs te dadhāmi jambhayoḥ
2.7.7.13	daṃṣṭrābhyāṃ malimlūn agne jambhābhyāṃ taskaraṃ uta / hanubhyāṃ stenān bhagavas tāṃs tvaṃ khāda sukhāditam
2.7.7.14	yo asmabhyam arātīyād yaś ca no dveṣate janaḥ / nindād yo asmān dipsāc ca sarvāṃs tān mṛsmṛsākuru
2.7.7.15	ud eṣāṃ bāhūn atiram ud varco atho balam / kṣiṇomi brahmaṇāmitrān unnayāmi svān aham
2.7.7.16	saṃśitaṃ me brahma saṃśitaṃ vīryaṃ balam / saṃśitaṃ kṣatraṃ me jiṣṇu yasyāham asmi purohitaḥ
2.7.7.17	brahma kṣatraṃ sayujā na vyathete brahmāha kṣatraṃ jinvati kṣatriyasya / kṣatraṃ brahma jinvati brāhmaṇasya yat samīcī kṛṇuto vīryāṇi
2.7.8.1	dṛśāno rukma uruyā vibhāti durmarṣam āyuḥ śriye rucānaḥ / agnir ajaro 'bhavat sahobhir yad enaṃ dyaur ajanayat suretāḥ
2.7.8.2	naktoṣāsā samanasā virūpe dhāpayete śiśum ekaṃ samīcī / dyāvākṣāmā rukmo antar vibhāti devā agniṃ dhārayan draviṇodāḥ
2.7.8.3	viśvā rūpāṇi pratimuñcate kaviḥ prāsāvīd bhadraṃ dvipade catuṣpade / vi nākam akśat savitā vareṇyo 'nu prayāṇam uṣaso virājati
2.7.8.4	suparṇo 'si garutmān / trivṛt te śiraḥ / gāyatraṃ cakṣuḥ / bṛhadrathantare pakṣau / stoma ātmā / chandāṃsy aṅgāni / yajūṃṣi nāma / sāma te tanūr vāmadevyam / yajñāyajñiyaṃ puccham / dhiṣṇyāḥ śaphāḥ / suparṇo 'si garutmān / divaṃ gaccha / svaḥ pata / viṣṇoḥ kramo 'si sapatnahā / gāyatraṃ chandā āroha / pṛthivīm anuvikramasva / viṣṇoḥ kramo 'sy abhimātihā / traiṣṭubhaṃ chandā āroha / antarikṣam anuvikramasva / viṣṇoḥ kramo 'sy arātīyato hantā / jāgataṃ chandā āroha / divam anuvikramasva / viṣṇoḥ kramo 'si śatrūyato hantā / ānuṣṭubhaṃ chandā āroha / diśo 'nuvikramasva / akrandad agniḥ stanayann iva dyauḥ kṣāmā rerihad vīrudhaḥ samañjan / sadyo jajñāno vi hīm iddho akśad ā rodasī bhānunā bhāty antaḥ
2.7.8.5	agne 'bhyāvartin / agne aṅgiraḥ / punar ūrjā / saha rayyā / ā tvāhārṣam antar abhūr dhruvas tiṣṭhāvicācalat / viśas tvā sarvā vāñchantv asme rāṣṭrāṇi dhāraya
2.7.8.6	ud uttamaṃ varuṇa pāśam asmat / agre bṛhann uṣasām ūrdhvo asthān nirjaganvān tamaso jyotiṣāgāt / agnir bhānunā ruśatā svaṅgā ā jāto viśvā sadmāny aprāḥ
2.7.8.7	haṃsaḥ śuciṣat / sīda tvaṃ mātur asyā upasthe viśvāny agne vayunāni vidvān / mainām arciṣā mā tapasābhiśocīr antar asyāṃ śukrajyotir vibhāhi
2.7.8.8	antar agne rucā tvam ukhāyāṃ sadane sve / tasyai tvaṃ harasā tapan jātavedaḥ śivo bhava
2.7.8.9	śivo bhūtvā mahyam agne athā sīda śivas tvam / śivāḥ kṛtvā diśaḥ sarvāḥ svaṃ yonim ihāsadaḥ
2.7.9.1	divas pari prathamaṃ jajñe agnir asmad dvitīyaṃ pari jātavedāḥ / tṛtīyam apsu nṛmaṇā ajasram indhāna enaṃ janate svādhīḥ
2.7.9.2	vidmā te agne tredhā trayāṇi vidmā te sadma vibhṛtaṃ purutrā / vidmā te nāma paramaṃ guhā yad vidmā tam utsaṃ yata ābabhūtha
2.7.9.3	samudre tvā nṛmaṇā apsv antar nṛcakṣā īdhe divo agnā ūdhan / tṛtīye tvā rajasi tasthivāṃsam ṛtasya yonau mahiṣā agṛbhṇan
2.7.9.4	śrīṇām udāro dharuṇo rayīṇāṃ manīṣāṇāṃ prārpaṇaḥ somagopāḥ / vasuḥ sūnuḥ sahaso apsu rājā vibhāty agra uṣasām idhānaḥ
2.7.9.5	uśik pāvako aratiḥ sumedhā martyeṣv agnir amṛto nidhāyi / iyarti dhūmam aruṣo bharibhrad uñ śukreṇa śociṣā dyām inakṣan
2.7.9.6	akrandad agniḥ / viśvasya jajñe bhuvanasya rājā rodasī apṛṇāj jāyamānaḥ / vīḍuṃ cid adrim abhinat parāyan janā yad agnim ayajanta pañca
2.7.9.7	naktoṣāsā / yas te adya kṛṇavad bhadraśoce 'pūpaṃ deva ghṛtavantam agne / pra taṃ naya prataraṃ vasyo acchābhi dyumnaṃ devahitaṃ yaviṣṭhya
2.7.9.8	ā taṃ bhaja sauśravaseṣv agna uktha ukthā ābhaja śasyamāne / priyaḥ sūrye priyo agnā bhavāty uj jātena bhinadad uj janitvaiḥ
2.7.9.9	tvām agne yajamānā anu dyūn dūtaṃ kṛṇvānā ayajanta havyaiḥ / tvayā saha draviṇam icchamānā vrajaṃ gomantam uśijo vivavruḥ
2.7.9.10	astāvy agnir nṛṇāṃ suśevo vaiśvānara ṛṣibhiḥ somagopāḥ / adveṣye dyāvāpṛthivī huve devā dhatta rayim asme suvīram
2.7.10.1	ud u tvā viśve devā agne bharantu cittibhiḥ / sa no bhava śivas tvaṃ supratīko vibhāvasuḥ
2.7.10.2	pred agne jyotiṣmān yāhi śivebhir arcibhiṣ ṭvam / bṛhadbhir bhānubhir bhāsan mā hiṃsīs tanvā prajāḥ
2.7.10.3	akrandad agniḥ / samidhāgniṃ duvasyata ghṛtair bodhayatātithim / āsmin havyā juhotana
2.7.10.4	pra prāyam agnir bharatasya śṛṇve vi yat sūryo na rocate bṛhad bhāḥ / abhi yaḥ pūruṃ pṛtanāsu tasthau dīdāya daivyo atithiḥ śivo naḥ
2.7.10.5	āpo devīḥ pratigṛbhṇīta bhasmaitat syone kṛṇudhvaṃ surabhā u loke / tasmai namantāṃ janayaḥ sanīḍā māteva putraṃ bibhṛtā sv enat
2.7.10.6	apsv agne sadhiṣ ṭava sauṣadhīr anurudhyase / garbhaḥ saṃjāyase punaḥ
2.7.10.7	garbho 'sy oṣadhīnāṃ garbho vanaspatīnām / garbho viśvasya bhūtasyāgne garbho apām asi
2.7.10.8	prasadya bhasmanā yonim apaś ca pṛthivīm agne / saṃgatya mātṛbhiṣ ṭvaṃ jyotiṣmān punar āsadaḥ
2.7.10.9	punar āsadya sadanam apaś ca pṛthivīm agne / śeṣe mātur yathopasthe antar asyāṃ śivatamaḥ
2.7.10.10	punar ūrjā / saha rayyā / bodhā me asya vacaso yaviṣṭha maṃhiṣṭhasya prabhṛtasya svadhāvaḥ / nindati tvo anu tvo vavanda vandāruṃ te tanvaṃ vande agne
2.7.10.11	sa bodhi sūrir maghavā vasudāvā vasupatiḥ / yuyodhy asmad dveṣāṃsi yāni kāni ca cakṛma
2.7.11.1	apeta vīta vi ca sarpatāto ye 'tra stha purāṇā ye ca nūtanāḥ / adād idaṃ yamo 'vasānaṃ pṛthivyā akrann imaṃ pitaro lokam asmai
2.7.11.2	agner bhasmāsi / agneḥ purīṣam asi / saṃjñānam asi kāmadharaṇam / mayi te kāmadharaṇaṃ bhūyāt / ayaṃ so agnir yasmint somam indraḥ sutaṃ dadhe jaṭhare vāvaśānaḥ / sahasriyaṃ vājam atyaṃ na saptiṃ sasavānt saṃstūyase jātavedaḥ
2.7.11.3	agne divo arṇam acchā jigāsy acchā devān ūciṣe dhiṣṇyā ye / yāḥ parastād rocanāḥ sūryasya yāś cāvastād upatiṣṭhantā āpaḥ
2.7.11.4	agne yat te divi varcaḥ pṛthivyāṃ yat parvateṣv oṣadhīṣv apsu / yenāntarikṣam urv ātatantha tveṣaḥ sa bhānur arṇavo nṛcakṣaḥ
2.7.11.5	purīṣyāso agnayaḥ pravaṇena sajoṣasaḥ / juṣantāṃ havyam āhutam anamīvā iṣo mahīḥ
2.7.11.6	iḍām agne purudaṃsaṃ saniṃ goḥ śaśvattamaṃ havamānāya sādha / syān naḥ sūnus tanayo vijāvāgne sā te sumatir bhūtv asme
2.7.11.7	ayaṃ te / cid asi / tayā devatayāṅgirasvad dhruvā sīda / paricid asi / tayā devatayāṅgirasvad dhruvā sīda / citaḥ stha / paricitaḥ stha / ūrdhvaśritaḥ śrayadhvam / samitaṃ saṃkalpethāṃ saṃpriyau rociṣṇū sumanasyamānau / iṣam ūrjam abhi saṃvasānau
2.7.11.8	saṃ vāṃ manāṃsi saṃ vratā sam u cittāny ākaram / agne purīṣyādhipā bhava tvaṃ nā iṣam ūrjaṃ yajamānāya dhehi
2.7.11.9	tvam agne purīṣyo rayimān puṣṭimān asi / śivāḥ kṛtvā diśaḥ sarvāḥ svaṃ yonim ihāsadaḥ
2.7.11.10	bhavataṃ naḥ / māteva putraṃ pṛthivī purīṣyam agniṃ sve yonā abhār ukhā / tāṃ viśvair devair ṛtubhiḥ saṃvidānaḥ prajāpatir viśvakarmā vimuñcatu
2.7.12.1	asunvantam ayajamānam iccha stenasyetyām anvihi taskarasya / anyam asmad iccha sā ta ityā namo devi nirṛte tubhyam astu
2.7.12.2	namaḥ su te nirṛte tigmatejo 'yasmayaṃ vicṛtā bandham etam / yamena tvaṃ yamyā saṃvidānottame nāke adhi rohayainam
2.7.12.3	yad adya te / yaṃ te devī nirṛtir ābabandha pāśaṃ grīvāsv avicartyam / taṃ te viṣyāmy āyuṣo nu madhye 'thā jīvaḥ pitum addhi pramuktaḥ
2.7.12.4	yad asya pāre rajaso mahaś citraṃ jyotir ajāyata / tan naḥ parṣad ati dviṣo 'gne vaiśvānara / svāhā / bhūtyai namaḥ / niveśanaḥ saṃgamano vasūnāṃ viśvā rūpāṇy abhicaṣṭe śacībhiḥ / deva iva savitā satyadharmendro na tasthau samare pathīnām
2.7.12.5	yena devā jyotiṣordhvā udāyan yenādityā vasavo yena rudrāḥ / yenāṅgiraso mahimānam ānaśus tena yantu yajamānāḥ svasti
2.7.12.6	pūṣā yunaktu savitā yunaktu bṛhaspatir vo yunaktu / agnes tejasā sūryasya varcasā
2.7.12.7	sīrā yuñjanti kavayo yugā vi tanvate pṛthak / dhīrā deveṣu sumnayā
2.7.12.8	yunakta sīrā vi yugā tanota kṛte yonau vapateha bījam / girā ca śruṣṭiḥ sabharā asan no nedīyā it sṛṇyaḥ pakvam āyat
2.7.12.9	lāṅgalaṃ pavīravaṃ suśevaṃ somapitsaru / ud id vapatu gām aviṃ prasthāvad rathavāhanam / prapharvyaṃ ca pīvarīm
2.7.12.10	śunaṃ suphālā vitudantu bhūmiṃ śunaṃ kīnāśo abhyetu vāhaiḥ / śunāsīrā haviṣā tośamānā supippalā oṣadhīḥ kartanāsme
2.7.12.11	śunaṃ naro lāṅgalenānaḍudbhir bhagaḥ phālaiḥ sīrapatir marudbhiḥ / parjanyo bījam īrayāno dhinotu śunāsīrā kṛṇutaṃ dhānyaṃ naḥ
2.7.12.12	śunāsīrā prakṛṣataṃ kṛṇutaṃ dhānyaṃ bahu / bhūmir iyam ṛtviyavatī tāṃ phālā upajighnatu
2.7.12.13	ghṛtena sītā madhunā samajyatāṃ viśvair devair anumatā marudbhiḥ / ūrjo bhāgaṃ madhumat pinvamānāsmānt sīte payasābhyāvavṛtsva
2.7.12.14	ud yojanam antaryāmam īṣāṃ khṛgalyaṃ śavam / aṣṭrāṃ tāḍaṃ pratīnāhā ubhe maṇḍūkyau yuje
2.7.12.15	udasthād gojid aśvajiddhiraṇyajit sūnṛtayā parīvṛtaḥ / ekacakreṇa savitā rathenorjo bhāgaṃ pṛthivyā yāty āpṛṇan
2.7.12.16	imām indra hastacyutiṃ sacyutiṃ jaghanacyutim / sasūtim indra sagdhitim ūrjaṃ sapītim utkṛṣe
2.7.12.17	uṣṭārayoḥ pīlvayor atho ābandhanīyayoḥ / sarveṣāṃ vidma vo nāma vāhāḥ kīlālapeśasaḥ
2.7.12.18	vimucyadhvam aghnyā devayānā atāriṣṭa tamasas pāram asya / jyotir āpāma
2.7.13.1	yā oṣadhayaḥ prathamajā devebhyas triyugaṃ purā / manve nu babhrūṇām ahaṃ śataṃ dhāmāni sapta ca
2.7.13.2	śataṃ vo amba dhāmāni sahasram uta vo ruhaḥ / athā śatakrato yūyam imaṃ me agadaṃ kṛta
2.7.13.3	puṣpavatīḥ prasūvarīḥ phalinīr aphalā uta / aśvā iva sajitvarīr vīrudhaḥ pārayiṣṇavaḥ
2.7.13.4	oṣadhīr iti mātaras tad vo devīr upabruve / rapāṃsi vighnatīr ita rapaś cātayamānāḥ
2.7.13.5	aśvatthe vo niveśanaṃ parṇe vo vasatiḥ kṛtā / gobhājā it kilāsatha yat sanavātha pūruṣam
2.7.13.6	yad oṣadhayaḥ saṃgacchante rājānaḥ samitā iva / vipraḥ sa ucyate kavī rakṣohāmīvacātanaḥ
2.7.13.7	niṣkṛtir nāma vo mātāthā tvam asi saṃkṛtiḥ / sarāḥ patatriṇīḥ sthana yad āmayati niṣkṛta
2.7.13.8	aśvāvatīṃ somavatīm ūrjayantīm udojasam / āyukṣi sarvā oṣadhīr asmā ariṣṭatātaye
2.7.13.9	yad imā vājayann aham oṣadhīr hasta ādadhe / ātmā yakṣmasya naśyati purā jīvagṛbho yathā
2.7.13.10	uñ śuṣmā oṣadhīnāṃ gāvo goṣṭhād iverate / dhanaṃ saniṣyantīnām ātmānaṃ tava pūruṣa
2.7.13.11	ati viśvāḥ pariṣṭhāḥ stena iva vrajam akramuḥ
2.7.13.12	oṣadhayaḥ prācucyavur yat kiṃca tanvo rapaḥ
2.7.13.13	yās ta āviviśur ātmānaṃ yā ātasthuḥ paruḥ paruḥ / tās te yakṣmaṃ vibādhantām ugro madhyamaśīr iva
2.7.13.14	sākaṃ yakṣma prapata cāṣeṇa kikidīvyā / sākaṃ vātasya dhrājyā sākaṃ naśya nihākayā
2.7.13.15	anyā vo anyām avatv anyānyasyā upāvata / tāḥ sarvāḥ saṃvidānā oṣadhayaḥ prāvata vācaṃ me
2.7.13.16	yāḥ phalinīr yā aphalā akośā yāś ca kośinīḥ / bṛhaspatiprasūtās tā no muñcantv aṃhasaḥ
2.7.13.17	avapatantīr avadan diva oṣadhayas pari / yaṃ jīvam aśnavāmahe na sa riṣyāti pūruṣaḥ
2.7.13.18	divaṃ brūmo nakṣatrāṇi bhūmiṃ yakṣāṇi parvatān / samudrān nadyo veśantāṃs te no muñcantv aṃhasaḥ
2.7.13.19	brūmo rājānaṃ varuṇaṃ dhātāram uta pūṣaṇam / tvaṣṭāram agrīyaṃ brūmas te no muñcantv aṃhasaḥ
2.7.14.1	mā no hiṃsīj janitā yaḥ pṛthivyā yo divaṃ satyadharmā vyānaṭ / yaś cāpaś candrāḥ prathamo jajāna kasmai devāya haviṣā vidhema
2.7.14.2	abhyāvartasva pṛthivi yajñena payasā saha / vapāṃ te agnir iṣito arohat
2.7.14.3	agne yañ śukraṃ yac candraṃ yat pūtaṃ yac ca yajñiyam / tad devebhyo bharāmasi
2.7.14.4	iṣam ūrjam aham ita ādi ghṛtasya dhārāṃ mahiṣasya yonim / ā no goṣu viśatv oṣadhīṣu jahāmi sedim anirām amīvām
2.7.14.5	kāmaṃ kāmadughe dhukṣva prajābhyā oṣadhībhyaḥ / indrāyāgnaye pūṣṇe mitrāya varuṇāya ca
2.7.14.6	agne tava śravo vayo mahi bhrājanty arcayo vibhāvaso / bṛhadbhāno śavasā vājam ukthyaṃ dadhāsi dāśuṣe kave
2.7.14.7	pāvakavarcāḥ śukravarcā anūnavarcā udiyarṣi bhānunā / putro mātarā vicarann upāvasy obhe pṛṇāsi rodasī
2.7.14.8	irajyann agne prathayasva jantubhir asme rāyo amartya / sa darśatasya vapuṣo virājasi pṛṇakṣi sānasiṃ rayim
2.7.14.9	ūrjo napāj jātavedaḥ suśastibhir mandasva dhītibhir hitaḥ / tva eṣaḥ saṃdadhur bhūrivarpasaś citrotayo vāmajātāḥ
2.7.14.10	ṛtāvānaṃ mahiṣaṃ viśvadarśatam agniṃ sumnāya dadhire puro janāḥ / śrutkarṇaṃ saprathastamaṃ tvā girā daivaṃ mānuṣā yujā
2.7.14.11	iṣkartāram adhvarasya pracetasaṃ kṣayantaṃ rādhaso mahaḥ / rātiṃ vāmasya subhagāṃ mahīm iṣaṃ dadhāsi sānasiṃ kratum
2.7.14.12	āpyāyasva sametu te viśvataḥ soma vṛṣṇyam / bhavā vājasya saṃgathe
2.7.14.13	saṃ te payāṃsi sam u yantu vājāḥ saṃ vṛṣṇyāny abhimātiṣāhaḥ / āpyāyamāno amṛtāya soma divi śravāṃsy uttamāni dhiṣva
2.7.15.1	brahma jajñānaṃ prathamaṃ purastād vi sīmataḥ suruco vena āvaḥ / sa budhnyā upamā asya viṣṭhāḥ sataś ca yonim asataś ca vivaḥ
2.7.15.2	hiraṇyagarbhaḥ samavartatāgre bhūtasya jātaḥ patir eka āsīt / sa dādhāra pṛthivīṃ dyām utemāṃ kasmai devāya haviṣā vidhema
2.7.15.3	adbhyaḥ saṃbhṛtaḥ pṛthivyā rasāc ca viśvakarmaṇaḥ samavartatādhi / tasya tvaṣṭā vidadhad rūpam eti tat puruṣasya devam ājānam agre
2.7.15.4	drapsaś caskanda / namo astu sarpebhyo ye ke ca pṛthivīm anu / ye antarikṣe ye divi tebhyaḥ sarpebhyo namaḥ
2.7.15.5	ya iṣavo yātudhānānāṃ ye vanaspatīnām / ye 'vaṭeṣu śerate tebhyaḥ sarpebhyo namaḥ
2.7.15.6	ye amī rocane divo ye vā sūryasya raśmiṣu / ye apsu ṣadāṃsi cakrire tebhyaḥ sarpebhyo namaḥ
2.7.15.7	kṛṇuṣva pājaḥ prasitiṃ na pṛthvīṃ yāhi rājevāmavaṁ ibhena / tṛṣvīm anu prasitiṃ drūṇāno 'stāsi vidhya rakṣasas tapiṣṭhaiḥ
2.7.15.8	tava bhramāsa āśuyā patanty anuspṛśa dhṛṣatā śośucānaḥ / tapobhir agne juhvā pataṅgān asaṃdito visṛja viṣvag ulkāḥ
2.7.15.9	prati spaśo visṛjā tūrṇitamo bhavā pāyur viśo asyā adabdhaḥ / yo no dūre aghaśaṃso yo anty agne mākiṣ ṭe vyathir ādadharṣīt
2.7.15.10	ud agne tiṣṭha praty ā tanuṣva ny amitraṃ oṣatāt tigmahete / yo no arātiṃ samidhāna cakre nīcā taṃ dhakṣy atasaṃ na śuṣkam
2.7.15.11	ūrdhvo bhava pratividhyādhy asmad āviṣkṛṇuṣva daivyāny agne / ava sthirā tanuhi yātujūnāṃ jāmim ajāmiṃ pramṛṇīhi śatrūn
2.7.15.12	ayam agniḥ sahasriṇo vājasya śatinas patiḥ / mūrdhā kavī rayīṇām
2.7.15.13	agneṣ ṭvā tejasā sādayāmi / tayā devatayāṅgirasvad dhruvā sīda
2.7.15.14	bhuvo yajñasya rajasaś ca netā yatrā niyudbhiḥ sacase śivābhiḥ / divi mūrdhānaṃ dadhiṣe svarṣāṃ jihvām agne cakṛṣe havyavāham
2.7.15.15	indrasya tvaujasā sādayāmi / tayā devatayāṅgirasvad dhruvā sīda / dhruvāsi dharuṇā / astṛtā viśvakarmaṇā sudhṛtā / mā tvā samudra udvadhīn mā suparṇaḥ / avyathamānā pṛthivīṃ dṛṃha / tejo 'si / tejo me yaccha / pṛthivīṃ yaccha / pṛthivīṃ dṛṃha / pṛthivīṃ mā hiṃsīḥ / pṛthivyā mā pāhi / jyotir asi / jyotir me yaccha / antarikṣaṃ yaccha / antarikṣaṃ dṛṃha / antarikṣaṃ mā hiṃsīḥ / antarikṣān mā pāhi / svar asi / svar me yaccha / divaṃ yaccha / divaṃ dṛṃha / divaṃ mā hiṃsīḥ / divo mā pāhi / yās te agna ārdrā yonayo yāḥ kulāyinīr ye te agnā indavo yā u nābhayaḥ / tābhiṣ ṭvam ubhayībhiḥ saṃvidānaḥ prajānaṃs tanveha niṣīda
2.7.15.16	kāṇḍātkāṇḍāt prarohantī paruṣaḥparuṣas pari / evā no dūrve pratanu sahasreṇa śatena ca
2.7.15.17	yā śatena pratanoṣi sahasreṇa virohasi / tasyai te devīṣṭake vidhema haviṣā vayam
2.7.16.1	yās te agne sūrye ruco divam ātanvanti raśmibhiḥ / tābhir no adya sarvābhī ruce janāya nas kṛdhi
2.7.16.2	yā vo devāḥ sūrye ruco goṣv aśveṣu yā rucaḥ / indrāgnī tābhiḥ sarvābhī rucaṃ no dhehi bṛhaspate
