1.1.1	Now we shall explain the Agnihotra.
10.2.1	He should also take the first piece that falls down.
10.2.2	He should throw it towards the east or north, saying, "May it go to heaven first."
10.2.3	Having placed gold in the enclosing sticks and spread them around, he offers with the verse, "O Vanaspati, grow with a hundred shoots."
10.2.4	He touches himself with the verse, "May I grow with a thousand shoots."
10.2.5	He who is this, he cuts off the branches from the root to the tip.
10.2.6	He cuts off the tip of the five-knotted pole, or of the four-knotted or three-knotted pole.
10.2.7	One should measure the pole together with the base.
10.2.8	He cuts the sacrificial post with eight corners, not too thick, not too thin, tapering gradually towards the top, with the best corner towards the fire, and of the height of eight times the span of the thumb and the forefinger.
10.2.9	He makes the cuttings of these posts into a lump and also into a piece for pounding.
10.2.10	Having taken it from the top of the sacrificial post, he makes a cup, eight-cornered, of the size of the palm, sloping in the middle, and extending above the cup by two or three fingers.
10.2.11	Having joined the excess to the cup, he exposes the excess.
10.3.1	Having made the altar in front of the Ahavaniya fire, he makes the altar for the animal sacrifice with six cubits towards the east, four towards the west, three towards the north, and three towards the south. The altar is not joined together. It is like the altar for the Darsa-Pūrnamāsa sacrifices.
10.3.2	Having marked out the place for the Uttaravedi, which is not enclosed, in front of the Vedi, he measures the Uttaravedi with the Samyu.
10.3.3	Having placed the Samyu with its point towards the north in each direction, and having said, "Thou art the Vittāyani," he draws lines towards the north and east with the Sphyi, within, with each formula.
10.3.4	He draws the line towards the north of the two or three lines drawn towards the north. He draws the line around the Cātvāla silently.
10.3.5	Taking up the spade with the formula, "For the god thee", he draws the line thrice turning towards the right. Having dug the pit three times the depth of a span, he says, "Agni is in the sky."
10.4.1	Having placed the ladle with the formula, "O Agni, O Angiras," and having taken up the dust with the formula, “You are in this earth,” and having carried it with the formula, “(May) your life be with your name," he pours it on the northern altar with the formula, "Your name which is not violated, which is fit for sacrifice."
10.4.2-6	Having placed the second one, having placed the second one with the formula, "O Agni, thou art the Angiras," having taken the third one with the formula "Thou art the second one," he sows it as before. So also the third one. The difference is that it is sown in the third one. The fourth one is sown silently. Having made the Uttaravedi with the formulas, "Thou art the lioness, thou art the she-buffalo," he spreads it with the formula, “Be thou extended.”
10.4.7	He sprinkles with the Sphyikā or the Samīkṣā.
10.4.8	Having sprinkled with water with the formula, "Purify for the gods", and having scattered sand with the formula, “Purify for the deities”, he carries the Prokṣaṇī water towards the northern end of the northern altar with the formula, "Whatever is cruel in you, whatever is settled down in you." Some say that one should sprinkle again with the same water.
10.4.9	"The waters carry away the evil." Having drawn a line with the wooden sword either from north to south or from south to north, he should pour the remaining water of sprinkling on the northern altar.
10.4.10	"The waters carry away evil." Having arranged the corners of the northern altar, he simultaneously touches the northern altar and the altar with the verse, "The young girl with four locks of hair."
10.4.11	In the middle of the northern altar, he should imagine a navel-like mark, four fingers in size, rising to the height of the middle finger, in the four directions.
10.5.1	"He sprinkles the northern altar in the respective directions, moving clockwise, with the verses, "Indraghosha may protect you from the east with the Vasus..." and so on."
10.5.2	He should then move the sprinkling water towards the northern altar, as before, towards the south.
10.5.3	If the animal is to be sacrificed on the second day, one should prepare the Uttaravedi covered with branches of the Udumbara tree.
10.5.4	Having set fire to the kindling woods to be taken to the Ahavaniya fire, having ordered, "Recite to the Agni being taken to the Ahavanīya fire," having taken up the burning kindling woods in a pot filled with sand, having raised the kindling woods, while the Agni is being held at the knee, he offers the Homa with the raised kindling woods with the verse, "What is yours, O Agni, in the fire, what is yours, O Pavaka, in the forest."
10.5.5	Having taken the gold, he places it on the northern altar and pours it with five spoonfuls of clarified butter, reciting the verse, "Thou art the lioness, the conqueror of foes, svāhā." On the right shoulder, "Thou art lioness, the bestower of good progeny, svāhā," on the left hip, "Thou art a lioness, the giver of wealth and nourishment, svāhā" on the right hip, "Thou are a lioness, giver of the sun, svāhā", on the left shoulder, "Thou are the lioness, bring the gods, svāhā, for the sacrificer who worships." In the middle.
10.5.6	"He takes up the ladle with the formula, "To the beings thee." and gold.
10.5.7	Taking the enclosing sticks of Pautrīdara wood, he lays down the northern altar with three formulas beginning with "Thou art the life of the universe."
10.6.1	Having placed the woolen cloth, fragrant with guggula, inside the horns, and having placed the woolen cloth on the upper navel, saying "The hairs of those who have gathered the fuel are ashes," he places the woolen cloth on it. When it is said, "The woolen cloth is at the end," he says, "O Agni, obstruct the sacrifice and stand firm." With these two verses, he places the burning Agni in the fuel.
10.6.2	"This is the nest of Agni." He puts down sand at the southern end.
10.6.3	"Having offered four Ati-mukti oblations with the verse, "May I obtain thee as Manu did," and the verse, "May Agni, the knower, lead the sacrifice," he offers the Pūrṇāhuti with the verse, "These seven are the oblations."
10.6.4	This is the Ahavaniya here, from where this (fire) is carried forward. That is the Garhapatya.
10.6.5	Having placed the Āhavaniya, Gārhapatya and Anvāhārya-pācana fires, he places the kindling woods and sacrificial grass.
10.6.6	There are seventeen kindling verses.
10.6.7	The Prastara is of Aśvaval wood, the Vidhṛti of Ekṣa wood, and the enclosing sticks of Karṣmarya wood.
10.6.8	Having arranged the fires, he places in the vessel-stand the vessels as in the case of the Vaiśvadeva rite.
10.7.1	The ladle, the ladle-stand, the Veda-vessel, the vessel for pouring the Soma, the two ropes, the two stakes, the two wooden pins, the two wooden spoons, the two wooden ladles, the pot, the heart-pin, the fig-wood, the Suvarṇa-wood, the Maitrāvaruṇa-stick, the piece of wood cut off at the nose or chin, the two pieces of wood for kindling fire, the gold pieces of wood, and the purpose for which they are used.
10.7.2	Having purified the oblations, the sacrificer is directed to restrain his speech. Having touched the vessels with restrained speech, he releases his speech over the sprinkled (vessels).
10.7.3	Having taken up the ladle, he directs, "Take up the ladle and the spoon with clarified butter and curds." Having directed, he sprinkles.
10.7.4	At the time of touching the vessels, after the ladle, he touches the spoon like the ladle.
10.7.5	Having performed the offering of clarified butter as in the case of the Vaiśvadeva rite, taking up the wooden sword with the formula, "For the deity thee," he inscribes the pit for the sacrificial post three times, measuring a span all around, within the altar and outside the altar.
10.7.6	The Adhvaryu, having placed the sacrificial post with its tip towards the east, in front of the pit, says (to the Agnidhra), "Do you dig out the pit for the sacrificial post, of the size of the post, by two fingers, three fingers or four fingers."
10.7.7	The Agnidhra digs it out as per the instructions.
10.8.1	The Adhvaryu having placed the sacrificialpost with its tip towards east in front of the hole, says (to Agnidhra), “Do you wash the post with the formula, ‘Whatever thorns thou hast, I remove them.”
10.8.2	Having brought the sprinkling water from the Yavamatī river, having placed the cup on the top of the sacrificial post, he sprinkles the root of the sacrificial post with the three mantras "For you, O Earth" and the upper parts.
10.8.3	Having sprinkled the sprinkling water in the sacrificial post hole with the verse "May the world be purified, the abode of the ancestors", having scattered the barley with the verse "You are barley", he spreads the sacrificial grass with the tip towards the east in the hole with the verse, "You are the abode of the Ancestors".
10.8.4	Having placed the first piece of wood, which has been thrown down, below the skin, and having placed the gold, he offers with the ladle, saying, "O heaven and earth, be ye filled with ghee. Svāhā!"
10.8.5	"May Savitr, the god, anoint thee with honey." The sacrificer, standing towards the east with his face towards the west, anoints the tip of the sacrificial post with the unmelted clarified butter in front of the Āhavanīya fire.
10.8.6	Having released the cup, he anoints the tip with the same formula.
10.8.7	Having anointed the Indra-cup with the formula, "Thou art Indra," and having released it with the formula, “For Supapala,” having ordered, “Do thou recite after the offering of clarified butter to the sacrificial post,” with the formula, “(May) the god Savitr anoint thee with honey,” he pours clarified butter into the eastern trough with the ladle, continuously, as long as it is not overflowing.
10.8.8	It does not overflow.
10.8.9	Some say, it does not flow.
10.8.10	At the place of the girdle, he touches the sacrificial post three times all around.
10.8.11	The sacrificer does not release the sacrificial post from the time of anointing it with ointment till the time of its disposal.
10.9.1	While raising the sacrificial post, he instructs, "Recite the Anuvāka for the sacrificial post being raised."
10.9.2	He places the sacrificial post in the hole, saying, "Those are your abodes."
10.9.3	With two verses, "The deeds of Vishnu," he makes the altar of Agni, facing the Havaniya fire.
10.9.4	With the verse, "You are the abode of Brahman," having covered the ground with soil, he presses it around with the Maitravaruna staff, saying, "Press the Brahman."
10.9.5	With the verse "Raise the earth," he sprinkles water around.
10.9.6	Taking the three-fold rope with the formula, "For the god thee", he cleanses the sacrificial post three times with the rope along with the hand, reciting the verse, "This Vishnu has wandered".
10.9.7	He should look at the tip of the sacrificial post with the verse, "That is the supreme abode of Vishnu".
10.9.8	Having sprinkled the girdle with water, having eaten it three times with the middle finger, having placed it in the middle of the navel, or having placed the sacrificial post, having instructed the one who is going to place the post, "Recite for the post being placed," having placed it three times in a clockwise direction, he places the larger one in the smaller one.
10.9.9	"Thou art the son of heaven" (he says), taking up the piece of gold; "Thou art of the atmosphere" (he says) on the highest quality. He covers the Agniṣṭha with the northern (brick). On the middle (brick) of two.
10.9.10	Having taken the animal, which is without horns, with ears turned back, with a broken ear, lame, with a broken limb, with seven hooves, with teeth, belonging to a herd, having a mother, father, brother, and friend, well-flayed, brought on a cloth, and having taken it through the middle of the sacrificial post and the mound, having placed the sacrificial post in front, facing the east, having taken the two sacrificial grass blades, having taken the Palasha branch, having recited the Yajus "For the gods", having touched the animal with the two verses "For Prajapati's offspring, this animal" and the Yajus, he offers it according to the deity.
10.10.1	Having placed the sacrificial grass in a safe place and having taken up the branch of the fig tree, knowing that they are to be taken up, he offers five times.
10.10.2	He churns the fire.
10.10.3	Some say that one should churn and then take it up.
10.10.4	Having taken the remaining piece of wood with the formula, "Thou art the womb of Agni," and having placed it on the Barhis to the right of the Ahavaniya, he places the Darbha grass in it as in the case of the Visvedevā deities. Having taken the kindling wood and the vessel of clarified butter, he anoints it with clarified butter with the formula, "Thou art life." Having joined the kindling wood with the Prajanana (kindling) formula, he directs with the formula, "Do thou recite to Agni being churned." He churns with the verse, "O Agni, do thou be born for us, O god, for long life, for wealth, for strength, for offspring, for progeny, for happiness, for happiness of the mind, for happiness of cattle, for happiness of men, for happiness of all beings." He churls with the verse, "O Agni, do you be born for us."
10.10.5-6	If the fire does not blaze while being churned, then he should offer gold at that place with the Vyāhṛtis.
10.10.7	Having struck the fire with the formula, "In the fire, the fire," and having offered the oblation with the formula, “For thee, O god," having taken up the rope doubled, having wiped the right arm of the animal in front of it with the formula, "I bind thee with the noose of the divine oblation of truth," having tied it to the right forefoot and the half-head, he ties the animal to the stake facing east or north with the formula, "Thou art the lord of men."
10.10.8-10	"With water I sprinkle thee from the plants." Having sprinkled, he says, "Thou art the edge of the waters." Having made the animal drink water, he sprinkles below with the formula, "Thou art that which is below." It is understood that he makes it pure everywhere.
10.10.11	Having taken up the spoon, having gone beyond the southern half of the head of the animal, having recited the verse, "May thy breath be united," having tied the ladle to the head of the sacrificial animal, having recited, "May the limbs be united with the sacrifice," having recited, "The lord of sacrifice is for the benediction," having recited, "Thou art the head of the sacrifice," having turned towards the Hotr, having caused to announce, having been announced in return, he chooses the Maitrāvaruṇa with the verse, "Mitra and Varuna are the rulers; the ruler is the Maitrāvaruṇā."
10.11.1	He takes the name of this man.
10.11.2	He should give him a stick.
10.11.3	He takes it, saying, "May I be without crookedness and without distress."
10.11.4	If the animal is alive, he offers eleven Prayāja offerings.
10.11.5	Having called out, and having been called back, the Adhvaryu sends forth the Maitrāvaruṇa for the first Prayāja, saying, "Send forth," to the Samit-sticks. He sends forth the subsequent ones, saying, "Do send."
10.11.6	"The Hotr should invoke," he says, urging the Hotr.
10.11.7	When the fourth Prayāja has been reached, he brings half of the oblation. At the eighth Prayāja, he brings the entire oblation.
10.11.8	When the tenth Prayāja has been offered, he pours down the remaining portion of the oblation.
10.11.9	Having thus offered the oblations, the sacrificer, having caused the four (priests) to recite the Anumantrana-formulas, offers the Duras with the Anumantranas of the Duras.
10.11.10	Having gone northwards, the Adhvaryu anoints the Juhu and the Svastika with ghee, saying, "Thou art the Ankta." He anoints the Svastika three times and the Svastikati one time.
10.12.3	The Adhvaryu, having taken up the fire-brand from the Āhavaniya, goes around the animal three times, keeping it to his right, and also the place for the animal, the Cātvāla, the sacrificial post, the Āhavani ya, and the clarified butter.
10.12.4	He offers three times with the Apāvya verses, "Those who follow the one being bound."
10.12.5	Having released the fire-brand at the Āhavaniye, he goes back three times in the same way.
10.13.2	When the Agni is being taken out, the Āgnīdhra takes up the fire-brand again and goes out between the Cātvāla and the Utkara. The animal is led out facing the north between the Cātwāla and the Utikara.
10.13.3	Some say that the Āgnīdhrā takes up the firebrand from the Prajahitis and goes out.
10.13.4	To the north of the Ātala is the place for the Shamitra.
10.13.5	Having placed the torch there, one crosses the Shamitra to the north.
10.13.6	When it is said, "May his foot be towards the north," one places the Shamitra with its tip towards the east or the west, either to the right or left of the sacrificial grass, saying, "May he be with his body."
10.13.7	When he is told, "Dig the pit for the Upavasatha," he digs the pit for the Upvasatha.
10.13.8	On that sacrificial grass they bind the animal with its head towards the west and feet towards the east.
10.13.9	Having ordered, "Bind the animal which is dying," they turn back as they came.
10.13.10-12	May the creatures here enjoy themselves in various forms. Looking at the clarified butter, they sit facing away. If the Adhvaryu recites, "Indra's share, in the place of good fortune," the sacrificer recites the mantra, "You are the knower of heaven." Having recited the four mantras, the Adhvaryus recites, "The breath is different."
10.13.13	When the animal is made to be known by the words, "He has done what was to be done," he offers the Homa of making known.
10.14.1	When approaching the animal with the words, "The pacifiers have approached," and "Aditi has released the animal," he releases the noose from the animal.
10.14.2	Taking it with one end of the noose, he says, "I am making the lower one go away to that direction."
10.14.3	"Salutations to the sun, the extender of light," thus the wife worships the sun.
10.14.4	"Go without delay," thus the Pratiprasthātṛ, with the full vessel, leads the wife.
10.14.5	Between the Cātvāla and the Udakara, he makes the wife go out towards the north.
10.14.6	"The divine waters," thus the Adhvaryu makes the wife touch the waters when she has gone out.
10.14.7	The wife, in accordance with the sequence of the verses, thus "May your speech be nourished" etc., nourishes the life-breaths of the animal. The Adhvaryu sprinkles (the animal).
10.14.8	"Those are your life-breaths" - he touches the heart.
10.14.9	Some say that he again touches those life-breaths.
10.14.10-11	The navel has been nourished. The penis has been nourished. The anus has been nourished. May the activities be pure. Having grasped the four feet, he washes them. He takes the remaining water behind the back and pours it down, either to the right or to the left.
10.14.12	Having turned the animal upside down, he cuts it at two or three fingers' distance from the navel on the right side. He puts down the grass for the covering of the animal with its tip towards the east, saying, "O herb, protect him."
10.14.13	"Do not injure him," he says, and cuts it across with the Svadhita (knife).
10.14.14	Taking the foremost end, he places it, having smeared the root with blood, saying, "This is the share of the Rakshas." He should push this direction, saying, "I am leading this lowest darkness of the Rakshasa." He should stand with his left foot.
10.15.1	Having washed the hands and feet, having sipped water, having taken out the Vapa, having sprinkled the Dyaus and Pṛthivī with ghee, he sprinkles the Vapa with two-pronged Vapa-stirrer.
10.15.2	Having sprinkled with the formula, "For strength to thee", he sprinkles the Vāpa with one-pronged Vāpa-stirrer, so that the Vāpa becomes spread out.
10.15.3	Having sprinkled her with the formula, "Purify for the gods," having wiped off the fat with the formula, “Purify for the deities," having recited the formula, "Be suitable for the deities," and having placed it below with the formula, "The severed one is the wealth of good heroes," he places the fat in the ladle.
10.15.4	The removal of the fat is concluded. One should cover it with the fist until the fat is offered.
10.15.5	Having sprinkled the omentum with water, having heated it on the fire with the formula, "Thou art heated," having saluted the sun with the formula, “Salutation to the sight of the sun," the Agnidhra goes first with the torch from the fire-chamber, followed by the Adhvaryu carrying the omentum in the omentum-holder with the formula, "He goes over the heaven."
10.15.6	The sacrificer, the ladle and the spoon should be taken back.
10.15.7	The Adhvaryu, the Agnidhra and the sacrificer take up the Havirdhana with three verses, "O Agni, I come to you, to the heaven, to the heaven."
10.15.8	Then having thrown the torch, having placed the Vapa in the embers at the end of the Ahavaniya, he says, "O Vayu, do thou remove the drops." Having cut the tip of the Vapa, he places it below the embers at the tip of the Ahavaniva.
10.15.9	The Pratiprasthātṛ, having brought the Vapa between the sacrificial post and the Ahavaniya fires, cooks the Vapa facing north with his face towards the south.
10.15.10	Then he offers the Vapa with the ladle, reciting, "Thee, O Agni, they have made the bearer of oblations."
10.15.11	When the Stokas have appeared, he instructs, "Recite after the Stokas."
10.15.12	The Hotṛ responds, "Accept the most excellent."
10.16.1	Having placed the Syeeni (cow) with well-flowing milk as the oblation, and having made the plants well-growing, he places the branches of the Plaksha tree on the southern part of the sacrificial grass on the northern part of the altar, saying, "I have given up my enemies." He takes out the two ladles for pouring the oblation.
10.16.2	When the Adhvaryu says, "O Soma-presser, take up the ladle full of ghee," he takes up the Juhu and Upamant, steps back, calls out, and when the response is given, he instructs, "Let the one who is to be sent go."
10.16.3	Having offered at the Vasat-call, he steps back, pours the remaining Prayāja-oblation once each over the Dhruva and the Pṛṣadājya, and pours over the Vapa, not over the Upamant.
10.16.4	Having offered the Pasu and the Ajya-shares, having spread the Juhu, having placed a piece of gold, he offers the entire Vapa.
10.16.5	Having placed the gold above and having poured over it, he instructs, "Recite the Anubrūhi for the fat of the goat's Vapa to Indra and Agni."
10.16.6	Having called out and having been called back, he instructs the Indrāgnis to send the goat's fat, which has been prepared, to the Pratiprasthātṛ.
10.16.7	The Maitrāvaruṇa instructs the Hotṛ.
10.16.8	Having offered the Vapahoma before the offering of the Vapahoma, he says, "Svāhā to the gods." Having offered the Vāṣaṭkāra, he says, “Jātavedas, go to the gods with the Vapahoma." Having offered the northern Vapahoma, having returned, he pours clarified butter over the Vapahoma.
10.16.9	He says, "Svāhākordhvanabhasam." He places the two Vapahoma ladles on the Āhavaniya fire.
10.16.10	Having sprinkled with the Srasrava-cup, he places the two ladles elsewhere.
10.16.11	Here the sacrificer gives a gift of three cows.
10.17.1	"With the three verses, "The waters are firm, the waters are mighty," and with the two verses, "O waters, do you carry this, release me from all sins," all the wives sprinkle themselves with water in the Catvāla.
10.17.2	Then the Adhvaryu, having ordered the Agnidh to offer the Pasupurodāsa, says (to him), "Do thou offer the animal to the Pratiprasthātṛ."
10.17.3	The Agnidh offers a cake on eleven potshards to the same deity as the animal, made of Vrihi-grains.
10.17.4	The Pratiprasthātr prepares the animal.
10.17.5	The heart, tongue, chest, throat, neck, left arm, both sides, right hip, anus, and the third part of the buttocks are the eleven deities.
10.17.6	The right arm, left hip, and the third portion of the anus are the Sauvīṣṭakṛtāni.
10.17.7	The spleen, liver, intestines, lungs, kidneys, fat, and the buttocks are removed.
10.17.8	"Do not let the anus be burnt, do not let the anus of the cow be burnt."
10.17.9	Whatever he thinks is pure.
10.17.10	Having bound the animal in a pot, he cooks it in the fire.
10.17.11	Having pierced the heart on a stake, he heats it.
10.17.12	He pierces the dung in the Upabharta vessel and removes the blood.
10.17.13	When the animal is cooked, one should proceed with the cake.
10.17.14-16	Having placed the Juhu and Upasthala on the fire, having poured the Avasatha-oblations, he directs the Hotṛ to recite the Anubrūhi formula for the cake to Indra and Agni. Having called out and having been responded to, he directs the Hotr to recite the Prāṣaṇī formula for the cake for Indra and Agni. The Maitrāvaruṇa directs the Hotṛ.
10.17.17	Having placed the Upāṃśu-cup on the Juhu, he directs (the Hotr) to recite the Yajus for Agni in the Svishtakṛt offering.
10.17.18	Having called out and having been responded, he directs (Hotr) to recite Yajus for Agnī.
10.17.19	Maitrāvaruṇa directs the Hotr to recite Yajuş.
10.18.1	Having offered at the Vasat-utterance, having separated, he offers the Praiṣṭṛ-cup and the Iḍā-cup, the portion of the sacrificer.
10.18.2	The Pasupuroḍāśa is concluded with the Iḍā.
10.18.3	The Maitrāvaruṇa and the sixth priests eat the Iḍa which has been invoked.
10.18.4	They sprinkle themselves on the stone.
10.18.5	Some say that they sprinkle themselves when the Kṛtsna-sāman is being chanted.
10.18.6	Having taken up the five-fold portion in the Juhu, having taken up the clarified butter, having taken the spoon and the clarified butter, and having approached the cooked oblation, he asks thrice, "Is it cooked?"
10.18.7	"He has been cooked" (is said) three times in reply.
10.18.8	Having gone around on the northern side, having taken out the heart from the stake, having placed it in the pot, having recited the verse, "May your mind be united with my mind," he anoints the heart with clarified butter.
10.18.9	Having recited the Anumantrī verses, "He who is that Self in the animals," having sprinkled the animal with clarified butter, having placed the pot on the ground with the verse "Firm the cows," having taken the animal across between the sacrificial post and the Ahavaniya fire, the Pasu-sādaka (animal-slayer) makes the animal face the Hotr priest, either five or six times.
10.18.10	He places the heart-spike, well-guarded.
10.18.11	He sprinkles the Juhu, the Upabhṛt, the Vasā, the Avabhṛt, and the four corners with clarified butter.
10.18.12	He places a piece of gold on the Juhu and on the Upabhrit.
10.18.13	While cutting the oblations with a ladle made of a Palāsha branch smeared with oil, he instructs the Hotṛ to recite the Anuvāka while the oblations are being cut for Manotā.
10.18.14	He offers on the heart, then on the tongue, then on the chest.
10.18.15	This is the order of the animal.
10.18.16	He offers on the remaining parts as he pleases.
10.18.17	Some say, he offers on the parts as they are taken out.
10.18.18	He offers twice on the middle of the anus.
10.18.19	Having offered twice, he offers to the deities with the ladle.
10.18.20	Having taken the Sauviṣṭakā portions one by one and having placed them in the Upabhṛt, he places the remaining ones in the Samavarttadhānī.
10.18.21	Having divided the Guḍa into two, he places the larger one in the Upabṛt.
10.19.1	Having divided into three the smaller one, having divided the middle one into two, having placed the Juhu, he places the other of the remaining two in the Upabrīt and the other in the Samavarttādhānī.
10.19.2	Having divided the fat into three parts, having set aside the third part, he pours the ladle with the third part and the cup with the third part.
10.19.3	Having made the fat of the heart, tongue, lungs, intestines, omentum, anus, and kidneys into three parts, and having made the fat of bones the sixth part, and having made a seventh part, he increases the Idā with the bones.
10.19.4	Having determined the spleen, the intestines, and the stomach, he sprinkles them with hot water.
10.19.5	Having placed the head, shoulders, bones, and thighs in a vessel, he touches them with the verse, "Indra is the breath."
10.19.6	Having spread out the Vasah-havaniya grass with the verse, “Thou art the water, thou art the plants," he takes the Vasah-grass.
10.19.7	"Thou art prosperity." Having taken up the flowing stream with the ladle, he cuts it twice with the sacrificial grass. The five-fold offering is made.
10.19.8	"The waters have united." Having placed the Vasahom on the side, he offers it.
10.19.9	Having placed the piece of gold sprinkled with ghee on the fire, having poured ghee over it, he instructs (the Maitrāvaruṇa) to recite the yajyā-verse, saying, "Recite the yajyā for the offering of the goat to Indra and Agni."
10.19.10	Having called out and being called back, he instructs (Maitrāvaruṇa) by saying, "Send forth the offering of the meat of the goat to Agni and Indra."
10.19.11	The Maitrāvaruṇa instructs the Hotṛ to send forth.
10.19.12	At the end of the half-verse of the Yajya, standing to the north of the Pratiprasthātṛ, he offers the Vasahomas with the formula, "O Agni, the purifier of ghee."
10.19.13	With the remnant of the Vasahomas, he makes offerings to the directions in the manner of the Vājina.
10.19.14	Standing here itself, having spread the Juhu, taking up once with the spoon from the Pṛṣadājya, having placed it on the Juhu, he offers twice.
10.19.15	Having ordered, "Do you recite to Vanaspati," he says.
10.19.16	Having called out and having been called out, he says, "Do you send Vanaspati."
10.20.1	The Maitrāvaruṇa sends the Hotṛ.
10.20.2	Having omitted the Vasat-utterance in the northern half and the eastern half, he offers the preceding oblations.
10.20.3	Having inverted the Upabhṛt ladles on the Juhu, he orders, "Do you (recite) to Agni Sviṣṭakṛt."
10.20.4	Having called out and having been called back, he instructs the Maitrāvaruṇa to send the Hotṛ to Agni Sviṣṭakṛt.
10.20.5	Having offered to Vanaspati at the Vasat-utterance, having returned to his place, he places the two ladles in their places.
10.20.6	He offers the Medasvinī cake in the middle.
10.20.7	Having spread clarified butter, having taken up the Iḍā in the Hotṛ's hand as prescribed, he pours clarified butter over it.
10.20.8	The Hotṛ takes the benediction, the Agnīdhra takes the meaty part, the Brahman takes the breast.
10.20.9	The Brahman eats it, saying, "We are in your vow, O Soma."
10.20.10	Having eaten and sipped water, they cleanse themselves within the altar.
10.20.11	Agni, bring the sacrificial grass and wood. O Upāyashṭa, sit down. O Brahman, we are about to depart. Having placed the kindling wood, O Agnīd, touch the enclosing sticks and the fire each time.
10.20.12	The Agnidhra, having brought the embers from the Samitra, having spread the sacrificial grass on the northern part of the Vedi-cord, having placed the wooden sword, having deposited the wooden sword, and having cut the wooden sword into eleven pieces across the direction of the grass, the Pratiprasthātṛ, having offered the Anuyāja offerings, and having turned back each offering, offers with the formula, "Go to the ocean, svāhā." He offers with the Vasa-offering formula and with his hand.
10.21.1	The clarified butter in the Upabhṛt ladle is brought to the Juhū ladle and is offered in the Upabṛt ladle. Having gone around once along the right side, he offers eleven Anuyājas with the clarified butter.
10.21.2	Having called out and having been called back, he instructs the first Anuyāja to be offered to the gods with the words "Send forth." He instructs the subsequent ones with the words "send forth, send forth."
10.21.3	The sacrificer recites the first four Anuyājas with the first Anuvāka, and the tenth Anuyāja with the fifth Anuvāka. The last Anuvāka is recited for the ninth and eleventh Anuyājas.
10.21.4	The Adhvaryu and Maitrāvaruṇa recite the fifth Anuyāja and so on. The Hotr is sent to recite the tenth Anuyāja.
10.21.5	Having offered to all the deities, he wipes off the smear to the north with the verse, "Do thou protect my mind in my heart." He touches the heart.
10.21.6	Looking at the smoke, he says, "Do thou guard my body, my skin."
10.21.7	The Adhvaryu, having returned, having poured the Svara three times into the Juhu, standing facing the east in front of the Ahavaniya, with the words "May your smoke go to heaven," he offers the Svara with the Juhu at the end of the Anuyajas.
10.21.8	The sacrificer stands by the offered Svara with the words "Like the horns of those with horns."
10.21.9	The Adhvaryu, having performed the spreading of the spoon etc., having caused to announce, and having been announced in return, directs the reciting of the Sūkta in the Sūktavāka.
10.21.10	He directs the Hotṛ to recite the verse "Agniṃ dadyād" etc.
10.21.11	Having placed the Juhu and the Upabhṛt on the fire-places, he sprinkles the Paridhi-sticks which have been thrown down, with the formula, "Thou art the share of the dripping."
10.21.12	The Pratyans go to the wives and offer sacrifices.
10.21.13	Having brought the thigh-bone to the right of the house, he offers sacrifices to the wives and Agni, the householder.
10.21.14	The Hotr offers on the upper part of the thigh-bone placed to the east, and the Agnidhra offers on the lower part of the thigh bone placed to the north. The offerings are made in order, six times each.
10.21.15	When the thigh is eaten, he gives the remaining to his wife.
10.21.16	To the good wife.
10.21.17	If a brahmin is at the elbow, to the friend.
10.22.1	Having gratified the Dhruva, he offers three Samitsya-formulas, saying, "May the sacrifice go to the sacrifice."
10.22.2	He moves with a heart-piercing pain.
10.22.3	Without touching the pain in his heart, he goes northwards between the two mounds of chaff, reciting, "You are the curse, I lament you." Meditating on the hateful one mentally, he scatters the ashes of Sukra and Ardra.
10.22.4	Having sprinkled water, they stand at the place of the altar, reciting, "The place of the altar." They cleanse themselves with water, reciting, "May Mitra be friendly."
10.22.5	Having come without waiting, he says, "May I be blessed, may I be blessed." Having placed the kindling woods in the Ahavaniya fire, he follows the water. They stand up.
10.22.6	Similarly, in the Garhapatya fire, the wife also.
10.22.7	This is the procedure for all animal sacrifices.
10.22.8	Obeisance to the friends, the Sannas. May I, desiring good prosperity, approach the Yupa. The sacrificer approaches the Yupa when it is set up. He approaches it.
11.1.1	Then the Sautrāmaṇī.
11.1.2	One who desires prosperity should perform this sacrifice. The king who has drunk Soma, the king who has drunk the Soma twice, the king who is attacked, the attacker, the one being attacked, and in all consecrations.
11.1.3	When one is going to perform the Sautrāmaṇī sacrifice, he buys barley grains and other grains from a eunuch for three nights in advance.
11.1.4	Having placed them in a linen cloth, he covers them.
11.1.5	Having performed the rites up to the spreading of the fire, and having taken up the rites beginning with the washing of the hands, he places the pot in the place of the skull.
11.1.6	He offers plenty of rice-grains to the Asvins, Sarasvati and Indra, the holder of the yoke.
11.1.7	Having taken half of them, he cooks them in the manner of gruel. He fries the other half on the Garhapatya fire.
11.1.8	Having dug a pit in front of the Garhapaty, he prepares surā in it in the manner of surā, so that it may flow.
11.1.9	"He sprinkles the grass with the formula, "Thou art sweet."
11.2.1	He touches the sprinkled grass with the formula "Soma is with the Asvins."
11.2.2	On the third day after the moon has risen, the animal-sacrifice is performed. It is Sautrāmaṇī.
11.2.3	Its procedure is like that of the animal-sacrifice with the Soma-juice.
11.2.4	It is known that one performs it on the third day after Soma has been consumed.
11.2.5	On the previous day he cuts down only one sacrificial post.
11.2.6	Some say, three.
