1.1.1	We shall explain the Darśa-Pūrṇamāsa sacrifices.
9.3.6	Then, having milked another cow, one should offer again, if it was an Agnihotra.
9.3.7	If it was a Sāmnāyy, one should drive away the calves from the other oblations and observe a fast.
9.3.8	If the Agnihotra is spilled, one should offer with the verse, "Mitra, knowing, arranges the people. Mitra supports the earth and heaven. Mitra sees the fields with his unblinking eyes. Offer the oblation to Mitra, the true one, with ghee."
9.3.9	Then, having milked another (cow), one should offer again.
9.3.10	If the subsequent oblation is offered before the previous one has been offered, then he should offer the previous one with the subsequent one. Having placed the kindling wood with the verse addressed to the tree, "O tree, where you know the secret names of the gods, there do you lead the offerings," he should offer again silently.
9.3.11	Then having milked another (cow), he should offer again.
9.3.12	If the first oblation is offered and the Āhavaniya fire goes out, one should offer the last piece of gold after placing it in the fire, with the verse, "Agni has gone to the wives, the wives to Agni. Svāhā!"
9.4.1	If the embers of the Paridhi should fall outside the Prayajas, he should place them in the hollow of the ladle, saying, "May not the sacrifice be in darkness, may not the sacrificer be in darkness." "Salutations to thee when thou art stretched out, salutations to thee when stretched out, salutlations to thee when thou sittest down. Do not injure the Adhvaryu, do not injure the sacrificer." If (they fall) in front, "Do not injure the Brahman, do not injure (the sacrificer)." If (they fall on) the right, "Do not injury the Hotri, do not injure
9.4.2	Then he strikes him with the verse, "The thousand-horned bull, the knower of beings, the Stoma-backed, the ghee-possessed, the well-directed, may he not abandon us, the one who has fallen asleep, and may we not abandon the protection of cattle and the protection of heroes."
9.4.3	Some say that one should offer after striking.
9.4.4	One should strike with the same thing with which one would fall.
9.4.5	If the fire of one who has established the sacred fires is being churned and does not catch fire, then one should churn it again, reciting the verse, "Men generate the praised, distant-seeing, householder, the sage, from the kindling woods with the rays of fire." Having recited this, one should take it from where one sees another and offer it after playing with it.
9.4.6	Then one should churn again without haste.
9.4.7	If he does not find another, he should offer at the right ear of a goat.
9.4.8	But he should not eat the goat.
9.4.9	If he does not find a goat, he should offer in the right hand of a brahmin.
9.4.10	But he must not separate from the brahmin.
9.4.11	If he cannot find a brahmin, he should offer on a bunch of darbha grass.
9.4.12	But he shouldn't sit on darbha grass.
9.5.1-3	If one does not find darbha grass, one should offer in water. Āśmarathya says, "One should not say, 'These are edible and these are not edible.' One should take this for a year even if it is not edible." Ālekhaṇa says, "One does not wash one's feet with water." Some say,
9.5.4	If the fires of one who has established the sacred fires are mixed with other fires, he should offer a cake on eight potsherds to Agni Viśvakarman.
9.5.5	The Iṣṭi comes to an end with success.
9.5.6	If the fires of one having established the sacred fires become mixed with other fires and if they are separated, he should offer to Agni Viśva-karman a cake on eight potsheds.
9.5.7	Then to Vrata-pati.
9.5.8	The Iști comes to an end successfully.
9.5.9	If the fire of one who has established the sacred fires burns down his house, he should offer a cake on eight potsherds to Agni Kṣamāvata.
9.5.10	Then to Vrata-pati.
9.5.11	The Iṣṭi comes to an end with success.
9.5.12	If they were to be mixed with something that has been burnt, he should offer to Viśikha and Śuci.
9.5.13	Then to the Vrata-pati
9.5.14	The Iṣți comes to an end successfully.
9.5.15	If they were to be mixed with lightning, one should offer a cake on eight potsherds to Agni, the lord of waters.
9.5.16	Then to the lord of vows.
9.5.17	The Iṣṭi comes to an end when it is accomplished.
9.5.18	If they were to be mingled with the fire of a corpse or the fire of a child-birth, one should offer to Agni, the sprout-holder, a cake on eight potsherds.
9.5.19	Then to the lord of the vow.
9.5.20	The Iṣṭi is concluded with success.
9.5.21	Now if all (the priests) assemble, one should perform the Kṣāmavati rite at the end.
9.5.22	If the Agnihotra-pot leaks, he recites over it, "May Agni, Indra, Tvashtri, Brihaspati, the earth, the water, the sky, the wind, the sun, the moon, the stars, the heaven, the sacrifice, the gods, the Rishis, the Vedas, the truth, the law, the truth, and the law, may they all be for me. May the embryo that is leaking be free from disease. May Agni, Indra, Tvashtr, Brihaspati have placed it on the earth. May it not reach Nirriti. May it go away."
9.5.23	If it has leaked, he should pour it back.
9.6.1	If it is not placed, he should recite with the Vaisnava mantra.
9.6.2	If the moon rises before the oblation is offered, one should divide the rice into three parts. The middle ones should be made into an eight-pot cake for Agni Datra. The oldest ones should be made as a rice-gruel for Indra Pradatra. The youngest ones should be made a rice-grual for Vishnu Sipivista.
9.6.3	Which deities should one offer to when the Anirupta-abhyudita (rite) is performed? To the natural deities, says Ashmarathi. To the modified deities, says Aalekhana.
9.6.4	This is one view. Another view is that it is not so.
9.6.5	If one who is a performer of the Darśa-Pūrṇamāsa sacrifices should transgress the New Moon or Full Moon, he should offer a cake on eight potsherds to Agni, the path-maker.
9.6.6	One should bring the sacrificial grass from the edge of the path.
9.6.7	A bull is the sacrificial fee.
9.6.8	The Isti is concluded with success.
9.6.9	Now some know this: "The sacrifice of him who has a sacrifice in progress is cut off." He who has a sacrifice going on should offer this Antareshti. The one who is for Agni at the Full Moon is the one for the New Moon. He should offer it to Agni Pathikrita. By that he again finds the path and does not cut off the sacrifice.
9.6.10	If a householder with the sacred fire goes away on a journey and eats meat or has intercourse with a woman on a parvan day, he should offer a cake on eight potsherds to Agni, the lord of vows.
9.6.11	Some people say that one should observe the vow.
9.6.12	If a householder with the Sacred Fire sheds tears, he should offer this oblation.
9.6.13	As for what should be done when the Agnihotra cow is attacked: Āśmarathya says, one should perform the expiation rite. Ālekhaṇa says, one should do only what is prescribed for distress.
9.7.1	If the Agnihotra cow lies down when attacked, one should make her get up with the verse, "The divine Aditi has risen, in the form of the world, for the protection of the sacrifice, making a share for Indra, Mitra, and Varuna."
9.7.2	Having milked it, he should give it to a brahmin who does not eat food.
9.7.3	If it is trembling, one should milk it.
9.7.4	If the milk is spilt while being milked, one should recite: "Whatever milk was spilt on the earth, whatever milk was spilt on plants, whatever milk was in the water, whatever milk was at home, whatever milk was with the calves, may that milk be with me."
9.7.5	Then he sprinkles it with water, saying, "I send you to the ocean" with this verse.
9.7.6	Having offered it in the prescribed manner, one should offer again after milking another (cow).
9.7.7	If milk spills, if it is placed on the fire, or if it drips, one should offer it with the verse, "If it spills, if it drips, offer it with this verse." This is the opinion of Ashmarathi. One should offer it as it is and then offer again after milking another cow. This is the opinion by Aalekhana.
9.7.8	If the milk is being drawn and it spills, or if it is drawn and then taken away, or if it has been taken away for the offering, one should offer the milk that has been drawn again. This is the view of Āśmarathya. One should offer the milk as it is and then offer the milk that is drawn again. This view is of Ālekhana.
9.7.9	If the Soma has been spilled while being poured out, one should sit down at the place where it has been spilled and again take it up. Having offered it as it is, one should offer again after churning out another (portion).
9.8.1	If it has been spilled once, twice or thrice while being poured out - this is not to be worried about, it is understood.
9.8.2	The debate on the Agnihotra of the Krittikas was spoken by Ashmarathi, the debate on the ladle was spoken by Aalekhana.
9.8.3	If the fourth part spills out, then taking the remaining from the vessel, and taking four spoonfuls, one should offer. One may recite the Varuni verse of ghee and offer with the Varuni verse.
9.8.4	If while being milked, it breaks, it should be milked after being repaired.
9.8.5	If the milk is milked by another, if it is kept by another, if the milk is let out by another, if while being poured out, it is poured out by another, or if it is poured out again after being poured out by another.
9.8.6	If the ancient (oblation) is being taken away, he should touch it with the formula, "Thou art offered in the world-supporting body of Prajapati. Svāhā!" Having recited the Varuni verse of clarified butter, he should offer with the Varuni verse.
9.8.7	If blood or something discolored is being milked, having placed it in the Anvāhāryapacana, he should offer it with the formula "To Agni, the Rudra-possessed, Svāhā!"
9.8.8	If it were to be scattered, one should say, "May it be scattered on the one I hate."
9.8.9	If it were to be spilled at the evening offering, one should not eat until the morning offering. If it were to spill at the morning offering, one should eat until the evening offering.
9.9.1	If the dog runs between the fire and the Agnihotra oblation, one should take ash from the Garhapatya fire and run towards the Ahavaniya fire, reciting, "Vishnu has conquered."
9.9.2	One should sprinkle the dog's footprint with ash.
9.9.3	One should know this as the single-slayer of pigs.
9.9.4	If the sun rises before the fire has been taken out, one should take out the fire and then perform the Agnihotra.
9.9.5	A learned brahmin should take out the Agnihotra fire and perform the Agnihotra.
9.9.6	Having established the fire, having placed the Agnihotra, having sat down without breathing, having offered, having given a boon, having stood with "Bhuḥ," says Āśmarathya. "Bhuḥ, Bhuvaḥ, Suvaḥ" says Ālekhaṇa.
9.9.7	He observes this night without eating.
9.9.8	On the next day, he offers a Varuna oblation of ten potsherds and a cake to Agni, according to some.
9.9.9	The Iṣṭi comes to an end with the Siddha.
9.9.10	If one were to offer the Agnihotra at night, one should offer with the formula, "Salutations to the fault of the season, svāhā."
9.9.11	Aśmarathya says that this is the regular Agnihotra. Alekhana says that one should offer the Agnihotra regularly after having offered the Agnihotra with this formula at the time of the sunset.
9.9.12	There the same Homa-rite is to be followed.
9.9.13	Herein, the difference is that one should say "Bhūr Bhuvah Suvah" before the Hotr's recitation.
9.9.14	If one were to delay the Agnihotra offering in the morning, one should offer the morning oblation with "Namah Svāhā".
9.9.15	Āśmarathya says that this is the eternal Agnihotra. Then, having performed the offering with this mantra, having brought the time to an end, having offered the eternal Agnihotra, having given a boon, having offered, one should stand up with the words "Bhūr Bhuvah Suvah".
9.9.16	Having made the Havaniya fire follow him, he should take another fire, reciting, "Agni has proclaimed the dawn as the foremost."
9.9.17	Then he should recite this mantra, "May you be safe here, do not abandon me, (and) this one, the son of Amuṣyā."
9.10.1	There he should offer a cake on eight potsherds to Agni, a cake on eleven potsherds to Indra, a cake on twelve potsherds to Viṣṇu, a cake on thirteen potsherds to Sarasvatī, a cake on fourteen potsherds to Pūṣan, a cake on fifteen potsherds to Yama, a cake on sixteen potsherds to Nirṛti, a cake on seventeen potsherds to Varuna, a cake on eighteen potsherds to Soma, a cake on nineteen potsherds to Savitr, a cake on twenty potsherds to Brhaspati, a cake on one potsherd to Mitra, and a cake on one
9.10.2	The Iṣṭi is concluded with success.
9.10.3	When it is established, the husband and wife, observing silence, abstain from food and attend to the fire.
9.10.4	One should offer the Agnihotra with the milk of two animals in the evening.
9.10.5	One should perform the Iṣṭi for Agni Vratapati with a cake on eight potsherds.
9.10.6	The Iṣṭi is concluded with success.
9.10.7	If the sun rises while the fire is not yet taken out, one should take four spoonfuls of clarified butter and proceed with the morning Agnihotra.
9.10.8	A learned Brahmin, a descendant of the sages, should take out the fire and proceed with the Agnihotra.
9.10.9	Having established the fire, having placed the Agnihotra in front, having sat facing east, one should offer with this clarified butter: "May Uṣas, the leader, enjoy the sacrifice along with the gods, the sweetest offering to the gods, svāhā."
9.10.10	Then one should offer the Agnihotra regularly.
9.10.11	There, the same rules apply for the offering.
9.10.12	The expiation is that which is performed at dawn.
9.10.13	There is no difference here. One does not follow the Ahavaniya.
9.10.14	One should offer a cake on eight potshards to Agni Jyotishmati.
9.10.15	The Isti is concluded with success.
9.11.1	Now, if the sun rises or sets while the fire is not yet taken up, one should offer two spoonfuls with the verse, "May the mind and light be united. The thirty-three threads."
9.11.2	If one offers when the sun has not yet set, one should offer again after sunset and then stand up with the verse, "May the two of us be of one mind."
9.11.3	If one were to offer at midnight, then having offered again at dawn, one should attend as before.
9.11.4	If the Agnihotra is not offered when the sun has risen, if it is intended to be offered before sunrise, then if it is at the end, having carried it forward, one should run towards the east.
9.11.5	Having approached it, one should sit near it.
9.11.6	When one becomes distressed, one should offer with the formula, "Bhūḥ svāhā."
9.11.7	If the Garhapatya fire were to be blown out in the absence of the wind blowing on the Ahavaniya, having followed the Ahavaniya fire, having placed the ashes of the Garhapaty fire near it, one should churn it with the verse, "Agni first came from here."
9.11.8	Then he should recite the following mantra over it: "For prosperity, for wealth, for strength, for radiance, for offspring."
9.11.9	Having placed the Āhavaniya fire, he kindles it. The two fires at the Utsada are kindled by the Samitdhātr. "One is the Samrāṭ, one is the Virāj."
9.11.10	Then he should offer an oblation to Agni Tapāsvān, Janadvā, Pāvakavān on eight potsherds.
9.11.11	The Iṣṭi is accomplished and comes to an end.
9.11.12	This alone is kept in the Garhapatya fire, followed by the Āhavani ya fire, as an expiation.
9.11.13	Here one does not follow the Garhapatya. One should offer a cake on eight potsherds to Agni Jyotishmata, not to Tapasvita.
9.11.14	The Iṣṭi is concluded with success.
9.12.1	If the fire of the Agnihotra is extinguished in the evening, one should take the Agnihotra fire and place it in front of the fire that has been extinguished, and then follow it with the Agnihotra fire.
9.12.2	A brahmin who knows much should take out the fire.
9.12.3	If one has borrowed money earlier, one should give it back.
9.12.4	This is also done in the morning.
9.12.5	If another fire should follow the Agnihotra fire that has been offered in the morning, one should follow it, then churn out another fire, and offer the Agnihotra. If one is not in a hurry, one should do this.
9.12.6	If one is in a hurry, then one should follow the previous fire, then churn out a new fire facing east and offer the Agnihotras.
9.12.7-8	If he has a fire-pit, he should make it in front of the fire-pit. If he does not have a fire-pit and wants to make one, he should make a fire-pit in front of the pit. If he has a fire and wants to make another, he should make the other fire in front of the first fire. If he wants to make a fire-pan, he should make one in front of the pan. If he is making a fire-pan and wants to make a new one, he should put the old one in front of it. If he makes a fire-pan in front of the old one, he should offer it there. Then he should offer an oblation to Agni Tapashvin, Janadvin, and Pāvakavata on eight potsherds. The Iști comes to an end with success.
9.12.9	If another fire were to follow the fire at which the Agnihotra has not been offered in the evening, then one should take the fire from the original fire and offer the Agnihotra, moving towards the east.
9.12.10	Then he recites the formula, "Agni was born first from these sources of birth, the knower of beings. He carries oblation to the gods with the Gāyatrī, Triṣṭubh, Jagatī and Anushtup metres. May he know us. May he delight in food, wealth, strength, lustre, in the lord. He delights him. May the lord of the earth be seated on the soft ground." He makes him sit on the soft ground.
9.13.1	The two Sārasvata oblations are indeed the Rk and the Sāman. By means of them he makes him prosper, by means of them he prospers.
9.13.2	One should offer a cake on eight potsherds to Agni Jyotishmati and a gruel of barley to Varuna.
9.13.3	The Isti comes to an end with success.
9.13.4	Now, if another fire should follow the one whose Agnihotra has not been offered, then one should churn out fire from those very ashes.
9.13.5	If there are no such ashes, then one should touch the ashes and churn out fire. It is known that one generates it from its own source.
9.13.6	Then he should offer an oblation to Agni Tapashvin, Janadvin, and Pavakavin on eight potsherds.
9.13.7	The Iṣṭi is concluded with success.
9.13.8	Now, if one of the two fires goes out, one should rekindle it from the same wood.
9.13.9	If there is a fire-brand or a spark, one should rub it with ashes and kindle it. It is known that one generates it from its own source.
9.13.10	Then one should offer an oblation to Agni Tapashvin, Janadvin, and Pavakvin on eight potsherds.
9.13.11	The Iṣṭi is concluded with success.
9.13.12	One should not perform the Anugati Iṣṭi.
9.13.13	These are the oblations to be offered: "Svāhā to Mitra, Svāhā to Varuna, Svāhā Surya, Svāhā Agni, Svāhā Vratapati Agni, Svāha to Agni Tapashvin, Janadvin, Pavakavati Agni, Svāhe to Agni Shuchi, Svāhā Jyotishmati Agni."
9.13.14	One should offer oblations with the Vyāhṛtis, each separately and all together.
9.14.1	If the Agnihotra of a person is lost, he should offer a cake on eight potshards to Agni Tantumati.
9.14.2	If one were to offer a sacrifice to another person's fire or if one were to offer to another person'sthe fire, one should offer a cake to Agni and Vishnu on eleven potshards.
9.14.3	If one would take out the fire from another person's house, one should offer to Agni Agnivati a cake on eight potshards.
9.14.4	If a man, a dog, or a cart passes between the fires while the Agnihotra oblation is being placed on the fire or is being offered, one should offer with this verse, "Thirty-three threads."
9.14.5	Some say that if a cart or a chariot passes between the fires.
9.14.6	He does not specify the time.
9.14.7	Then sprinkle water here and recite the mantra.
9.14.8	One should omit the word "viṣṇu" and recite the mantra.
9.14.9	Having followed the Ahavaniya, he should direct it towards another. The first step of Agni is followed by the rays of the sun. There, O Agni, you gather the most prosperous. Unite us with good will and prosperity. You, O Agni, are the most brilliant, the most desirable Hotṛ, the most excellent. With you, they spread out the sacrifice.
9.14.10	Then he should offer a cake on eight potsherds to Agni Pathikrita.
9.14.11	He should bring the sacrificial grass from the edge of the path.
9.14.12	A bull is the sacrificial fee.
9.14.13	The Isti comes to an end with success.
9.14.14	One should offer this (cake) when the Stotra is confused, this (cake) in the case of a weapon,
9.14.15	this (cake) when fires are extinguished by fire,
9.14.16	this (is offered) when a person dies.
9.14.17	It is understood that it is generated by the deceased.
9.14.18	They should offer the Agnihotra with the milk of this cow, which has given birth, until her body touches the fires.
9.15.1	He strews the fires with darbha grass, with the tips pointing towards the south and east.
9.15.2	Holding a firebrand below, he runs forward.
9.15.3	He offers Soma to the Pitrs in the eastern half, and Agni to the Kavya-carriers in the northern half.
9.15.4	They should sprinkle water for rinsing the vessels towards the south.
9.15.5	They should give the sacrificial ladle to the Brahmana.
9.15.6	They should drink water.
9.15.7	The stone for grinding the oblations should be of iron, and the mortar of wood.
9.15.8	If the ghee is not purified, he should cut off the life of the animal and give it.
9.15.9	If it is purified, he should give the wealth that is depicted in his house.
9.15.10	This is the opposite of some, namely, cutting off the depicted in the purified and cutting off the depicted.
9.15.11	If it spills out of the ladle, he should place a piece of wood pointing east at the place where it spilled, with the formula, "To the lord of beings svāhā." He should place a piece pointing south-east, with the formula "To the lord (of the world) svāhā." Pointing west, with the formula "To the lord of the beings svāhā." Pointing north, with the formula "To the being svāhā."
9.15.12	Then one should sprinkle it with this (verse), says Ashmarathi. One should sprinkle you with this (verse). The Adhvaryu and the Pratiprasthātṛ should recite this verse.
9.15.13	One should recite this verse over the spilled oblation: "To the lord of beings, svāhā! To the lord of worlds, svāhā!" Some say that one should recite this verse: "To the protector of beings, svāhāk."
9.15.14	He does not speak about any oblation.
9.15.15	The sacrifice went to the gods. May it be blessed for me. So say those who recite this mantra after the offering of clarified butter.
9.15.16	If the offerings are spilled, one should take them up with the three verses, "The waters that are poured forth, the waters that are held back," and offer them with the verse, "The waters are spread out."
9.16.1	If the pot is broken, he should join it together with the formula, "I join you with the Gayatri consisting of one hundred syllables."
9.16.2	Then he should pour water over it with the verse, "The heat is unbroken, the giver of life."
9.16.3	Then he offers this oblation with the verse, "The thirty-three threads."
9.16.4	Then, having prepared another skull, he should offer it in the skulls, saying, "May the gods come to the heat."
9.16.5	Thus indeed, if it were to break before the offering.
9.16.6	If it were to break after the offering, he should offer with this same mantra.
9.16.7	If the skull were to be destroyed, he should offer the Aśvinam with two skulls, and the Dyāvāpṛthivyam with one skull.
9.16.8	It is understood that the officiating priest is a Bhārgava and the Dakṣiṇā is given in a single year.
9.16.9	If it is known that the sacrifice has been performed in accordance with the rules, then there is no need for expiation. This is the view of Āśmarathya. If the articles have already been used, then there is expiation. This view is of Ālekhana.
9.16.10	If one were to offer oblations to the wives while performing the sacrifice, one should offer oblations to Vaisvānara with twelve potsherds.
9.16.11	The Iṣṭi is concluded successfully.
9.16.12	One should offer this oblation at the new moon or full moon.
9.16.13	If one were to eat new grain without offering this oblation.
9.16.14	If one's two sons were born, one should offer a cake on twelve potsherds to Vaiśvānara.
9.16.15	If the verses of praise and response are in Triṣṭubh or Jagatī metre.
9.16.16	If Rudra is to be propitiated for the sake of cattle, one should offer a cake in the Raudra Vastu form.
9.16.17	One should perform the sacrifice for the chief of the Niṣādas with that.
9.16.18	It is known that the Dakṣiṇā is either a black antelope skin, a horn, a donkey, a deer, or a deer-skin, or two vessels made of Śafaka and Śyāmaka grass, or two bowls made of conches.
9.17.1	One who has practiced celibacy and then approaches a woman should offer a fierce he-goat.
9.17.2	They move in the waters with its offerings.
9.17.3	They do not move with its oblation, nor is there an animal cake.
9.17.4	It ends with the Iḍā. They are endowed with prosperity.
9.17.5	It is either of Nairṛta or Prajāpati.
9.17.6	If the oblation perishes, that sacrifice is taken by Nirriti.
9.17.7	Whatever is left over, he should keep aside.
9.17.8	For a sacrifice is the atonement for a sacrifice.
9.17.9	He should give that sacrificial fee to the one he hates.
9.17.10	If it were to be exhausted according to the story, it would be atonement. This is the opinion of Ashmarathi. If it were not to be obtained from the gifts, it would be the opinion of Aalekhana.
9.17.11	It is understood that the water has taken away the impure oblation.
9.17.12	If the oblation becomes spoiled without being offered to the deity, one should offer it to the deity after taking it away with water.
9.17.13	The mantras beginning with the taking of the ladle should be repeated.
9.17.14	If the oblation of the deity to whom the oblation is offered is lost, one should offer it with ghee. Some say that one should offer it silently.
9.18.1	If all the oblations are lost or spoiled, one should offer them with ghee, counting them as oblations of ghee, and perform the Iṣṭi with that.
9.18.2	One should perform another Iṣṭi, not inferior to this.
9.18.3	It is understood that the sacrifice is performed as an expiation for the sacrifice.
9.18.4	How does one know that the oblation is defective? If it is not fit to be eaten by the noble ones who know dharma and desire dharma, one should not offer it to the gods with that.
9.18.5	It is understood that the oblation that is poorly cooked is dedicated to Yama, and it goes to Yama.
9.18.6	Having placed the oblation in the Anvāhāryapachana, having cooked rice in four pots, he should offer it to four Brahmins as if it were cooked rice.
9.18.7	Among them, a Bhārgava should be one who eats.
9.18.8	If he has promised a gift and then withdraws it, he should give land that is fertile and well-established.
9.18.9	If one were to perform a sacrifice without Dakṣiṇā, that sacrifice would be deficient, and the sacrificer would have a short life.
9.18.10	One should give a fertile field.
9.18.11	If one were to invoke a deity without a share, one should offer it with ghee as if it were brought.
9.18.12	If one remembers a deity that has been excluded, one should stand up and invoke it.
9.18.13	If the gods should transgress, one should offer a libation with this (verse).
9.19.1	If the gods or the sacrificer should transgress in the offering or the offering-verses, one should give whatever wealth is variegated in his house.
9.19.2	If the oblation should fall down, one should tell the Agnidhra (to offer) with "Offer!"
9.19.3	He offers it with the formula, "I offer to Agni's mouth. May the sacrificer not be injured, may the sacrificer's wife not be injured, and may the sacrificial waters not be injured." Or he may offer with the formula, “I offer to the mouth of such and such a deity.”
9.19.4	To the deity to whom the offering is made, one should give a full vessel.
9.19.5	If the oblation is taken by a deity, or if it is burnt by a deity, he should give the abundant wealth that is in his house.
9.19.6	If the oblations are exchanged, one should offer this expiation: "You are our Agni, O Agni, you are our Agni."
9.19.7	One should offer these very oblations in all cases of exchange.
9.19.8	If the sacrificial cake falls down, either on the ground or on the fire, then having removed it and placed it on the sacrificial grass, one should offer it with the verse, "Why do you fly? Why do you fly? O peaceful one, come here for peace. Having become the silent one fit for the sacrifice, you have come to your own abode. Do not harm, sent by the gods. With ghee, the brilliance of ghee, do not injure us in any way. For the sake of peace of union and safety, come to this sacrificial grass."
9.19.9	If the sacrificer becomes one who performs the expiation rite, it is known that he performs the expiation rites.
10.1.1	One who is going to perform the Jyotiṣṭoma sacrifice in spring appoints the officiating priests in the form of Brahmanas, young or old, not deficient in speech, not deficient in limbs, and speaking in a high voice, four in number.
10.1.2	Or all.
10.1.3	When he chooses four priests, he chooses the Adhvaryu, the Brahman, the Hotṛ and the Udgātṛ.
10.1.4	"The Adhvaryu is the divine Aditya, the divine deity. May he be my Adhvaryu." Having chosen the divine Adhvaryu in a low voice, he chooses the human one loudly, saying, "This is the human one."
10.1.5	The moon-god is the divine Brahman. He is my Brahman. Having chosen the divine Brahman in a low voice, he chooses the human one aloud.
10.1.6	Agni is the divine Hotri. He is my Hotri. Having chosen the divne Hotri in a low voice he chooses the human Hotri aloud.
10.1.7	The divine Udgātṛ is Parjanya, the god; he is the Udgātṛ; he is the divine Udgātā; having chosen the divine Udgāta in a low voice, he chooses the human in a loud voice.
10.1.8	The Kauseetkinas mention the fifth, the Sadasy, the Mahartr, as the Udgātā.
10.1.9	He becomes the observer of the rites performed and not performed.
10.1.10	He is chosen.
10.1.11	"The sky is the divine member of the assembly. May it be my member of the assembly." Having taken the divine member of assembly in a low voice, he says loudly, "This is the human one." He takes the human one.
10.1.12	"The waters are the divine goddesses who desire the office of Hotr. May they be my office-desirers." Having taken the office-desirous ones in a low voice he says loudly, “This is the human and that is the human.” He takes the human ones.
10.2.1	The rays are the divine Chamasa-officiating-priests. May they be my Chamasa-officiants. Having taken the divine Chamasa officiating-priests silently, he takes the human ones aloud, saying, "This one and that one is human."
10.2.2	Having put on the sacrificial thread, having sipped water, standing towards the east or north, or sitting, he recites: "You have told me life, you have told me radiance, you have told fame, you have told prosperity. May I be long-lived, radiant, glorious, prosperous, and may I be praised. May I be all." Having said this, he may tell or know.
10.2.3	"May the god Soma go to the god, may Soma go by the path of truth. I go forth, having abandoned evil." Thus he goes forth, having promised.
10.2.4	"You are the path named 'Pdwā', the path of Soma. May I go to Soma." Thus he stands on the path.
10.2.5	"The fathers are the earth." Thus he stands facing south towards the fathers.
10.2.6	Then he calls him to the house.
10.2.7	And covering him, he makes him a Kundalin.
10.2.8	And he gives him a single cow.
10.2.9	He initiates on the new moon or the full moon.
10.2.10	His initiation is unlimited, lasting for half a year.
10.2.11	One should not offer a Soma sacrifice without having offered the Darśa-Pūrṇamāsa sacrifices.
10.2.12	One should offer the other sacrifices without having offered the Agniṣṭoma.
10.2.13	Some people call the Atiratra the first sacrifice.
10.2.14	One should not perform the Brihat-sutra without performing the Rathantara-sutra.
10.2.15	The day of the new moon or the full moon is the day of the sacrifice.
10.3.1	They measure the eastern ridge, which is elevated in front.
10.3.2	It has doors in each direction, with the fifth door facing the northeastern corner.
10.3.3	Some say that they are placed on the Sraktis.
10.3.4	Having followed the seven Hotras in the mind, he offers the Grahas in the Ahavaniya.
10.3.5	He performs the Diksaniya Isti.
10.3.6	He offers a cake on eleven potshards to Agni-Visnu or a rice-pap in ghee to Agni-Visņu.
10.3.7	The Diksaniya is concluded with the Patnisamyaja offerings.
10.3.8	Whatever is done before the Agniṣṭoma, all that is done in a low voice.
10.3.9	Here there is no Anvāhārya.
10.3.10	The sacrificer shaves his hair and beard on the northern side of the eastern beam.
10.3.11	He gives the cow to the south, saying, "May the waters come up, may the living come up."
10.3.12	Having bound the three darbha-blades with a three-stranded thread, he places them with their tips upwards, saying, "O herb, protect him."
10.3.13	He places it with the formula, "O Svadhā, do not injure him."
10.3.14	He sows with the formula, “O Devashruti, sow these seeds.”
10.3.15	The sacrificer mutters this formula, “May the later ones be well.”
10.3.16	He shaves the beard first, then the cheeks, then the hair. So it is known.
10.3.17	He cleans his teeth with a twig of the Udumbara tree, not causing any bleeding.
10.3.18	Having cleaned his teeth, he makes his nails.
10.3.19	First on the left hand, starting from the little finger, then on the right hand.
10.3.20	First the elephant, then the foot.
10.3.21	He bathes in the sacred place called Lomashāvakāvalam.
10.3.22	The plants become continuous.
10.4.1	Some say that one bathes in a pond.
10.4.2	Having placed gold in the pond called Śaṅkhinī, he bathes with the verse, "May the waters purify us." Having bathed, he recites, "I have risen up from them, pure and purified."
10.4.3	Having sipped water, he puts on a fresh silken garment, saying, "Thou art the body of Soma, protect my body."
10.4.4	He puts on the girdle, saying, "You are the girdle of Soma."
10.4.5	He eats the food which is agreeable to him, saying, "thou art strength."
10.4.6	He eats curds mixed with ghee and honey, and drinks water.
10.4.7	He anoints the younger and younger (parts of the body) upwards.
10.4.8	Having mixed ghee with a bunch of Darbha grass, he anoints three times from the front, saying, "You are the giver of radiance, give radiance to me."
10.4.9	The face is anointed first, then the limbs in the natural order.
10.4.10	He becomes anointed.
10.4.11	He is anointed with a single-eyed ointment.
10.4.12	If he does not reach the Trikakud, then with whatever collyrium he has anointed his eyes.
10.4.13	With a tuft of grass, or with a bunch of darbha grass, or with darbha grass, he should move clockwise, starting from the right, and say, "You are the eye of Vritra's pupil. Protect my eye." Three times clockwise, twice counterclockwise.
10.5.1	Then he purifies him with twenty-one darbha-grass-broom, seven by seven, three times, with these formulas: "May Citpati purify you, may Vakpati purify you, the god Savitar may purify you."
10.5.2	He applies this formula "With the flawless purifier" everywhere.
10.5.3	Twice he rubs upwards from the navel, once downwards.
10.5.4	He recites this Anuvaka, "Pavamana, the purifier of gold," while being purified.
10.5.5	"What the gods do to the gods," and "O lord of purification, by whom you are purified, to whom you are purified," and "I am able to do that."
10.5.6	Having entered by the eastern door, having gone beyond the Ahavaniya fire, standing to the south, he recites the Ahavaniya with the remaining portion of the Anuvaka, "Indra-Agni, heaven-earth."
10.5.7	This is his course till the Soma-drinking.
10.5.8	Here some prescribe the Diksaniya Isti.
10.5.9	At the Dikshaniya sacrifice, he offers four oblations to the deities of initiation with the ladle, reciting the following mantras: "To Akriti, to Pratiti, to Agni, Svāhā."
