1.1.1	When one is about to offer a sacrifice with the New-Moon or Full-Moon oblation,
11.6.18	Then he puts the horses in the water, saying, "In the water is immortality, in the water is healing. In the water are the praises, be ye horses, ye strong ones."
11.6.19	Then he yokes the right horse, saying, "May the wind, or Manu, or the twenty-seven Gandharvas, who first yoked the horse, bestow speed on him."
11.6.20	Then he wipes the back of the yoke with the verse, "The wave, the crest, the swift, the strong, the most powerful, the one who is the best at winning the prize, with that he wins the prize."
11.6.21	In the same way, he yokes the northern yoke. In the same way, the northern yoke is attached to the back of the southern yoke. In the way they are wiped on the back.
11.6.22	All the other yokes are yoked in the same way as this one.
11.6.23	They make the elephants with the greater number of steps.
11.6.24	They put on the loads of clothes.
11.6.25	They weave the ten kinds of clothes without ropes.
11.6.26	The group of people brings the Dakṣiṇā.
11.6.27	Then he offers on the Garhapatya with two Sūrya verses.
11.6.28	He offers on the Agnidhriya with the verse "O Agni, may you lead us."
11.6.29	The Dakṣiṇās are released towards the southern path.
11.6.30	Whatever he gives, he gives gold and silver.
11.6.31	Then he gives clothes, cattle, horses, elephants, and men.
11.6.32	These chariots are given without being given.
11.6.33	They do not run in a race for anyone else.
11.6.34	He gives his own chariot to the Adhvaryu mentally, having mentally determined the Dakṣiṇās.
11.6.35	He performs with three Marutvatīya verses.
11.6.36	The Nārāśaṃsa verses are placed below the southern Havirdhāna, to be extended downwards for Indra.
11.7.1	Then he requests a cake on seventeen potsherds.
11.7.2	It is cooked in milk.
11.7.3	He performs with it, saying, "Recite for Brihaspati, I shall offer to Brihaspati."
11.7.4	Having placed the oblation of what is not desired, he places it in the known (place).
11.7.5	Now this is placed in a basket of Udumbara wood in front of him, mixed with all herbs, honey and ghee.
11.7.6	With a ladle of Udumbara, he offers seven oblations of food, beginning with "The offspring of strength has produced this foremost."
11.7.7	He makes the request for the consecration.
11.7.8	Having covered him, he places him in a known place.
11.7.9	Then, before the consecration, he offers six oblations to Agni, Soma, etc.
11.7.10	Then, at the place of the sacrificer, he spreads a black antelope skin with the neck towards the east and the fur upwards.
11.7.11	Having seated the sacrificer facing east, having worshipped him with golden and silver garments, he sprinkles him with all herbs facing west.
11.7.12	He sprinkles from the top, and lets it flow down from the mouth. "With the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, with the instrument of Sarasvati, the controller of speech, I sprinkle thee with the sovereignty of Agni, I sprinkle thee, with the sovereignty of Indra, I sprinkle thee."
11.7.13	When the earth is sprinkled, they cry out, "This is so-and-so's son, so-and- so's grandson, so-and so's great-grandson, performing the Vājapeya sacrifice."
11.7.14	Then he releases speech with "Bhūr Bhuvah Suvar."
11.7.15	The mouth is sprinkled with two (verses).
11.7.16	He steps in the Gāyatrī and Viṣṇu steps.
11.7.17-20	Then he offers six oblations for the Parthana-s after the consecration, saying, "To Indra svāhā, to Ghoṣa svāhā." He offers twelve oblations for the Bhūta-s, saying, "to earth svāhā,to space svāhā." Here he performs the Sviṣṭakṛt rite for this Brhaspati. Then taking it, he goes out towards the north between the Cātvāla and the mound.
11.7.21	These chariots, yoked, stand to the north.
11.7.22	He makes the horses yoked with the Yajus smell (the grass), saying, "The horses, winners of speed, winners of speed to be won, smelling the share of Brihaspati."
11.7.23	Having covered it, he places it in a known place.
11.7.24	Then he mounts the chariot with the formula, "Thou art the step of Visnu, thou art the stride of Visnu, Thou art the leap of Visnu."
11.7.25	Then he touches the wings of the chariot with the verse, "The two wings on both sides of the chariot."
11.7.26	He stands on the chariot with the verses, "I conquer the prize with the impulse of the divine Savitr, with Brihaspati, the winner of prizes.
11.7.27-29	At this time the sacrificial wheel is set up, and the Brahman ascends it. He recites the following formula: "By the impulse of the divine Savitr, I ascend the highest heaven with Brihaspati, the winner of the prize." Then, standing behind the sacrificer, he makes him recite the following verses: "Agni won speech with the one-syllabled (Om). The seven sages won speech with the seven-syllabled."
11.7.30	Then he gives him the horse-driving (stick), with the formula, "O horse-driving, O horse-driving, in the contests, O horse-winning, may the horses win in the contests."
11.7.31	With it he drives the horses as befits.
11.7.32	"The left one," (he says) to the right one.
11.7.33	"Thou art the leader," (he says to) the middle one.
11.7.34	"The winner," (he says ) to the left one.
11.7.35	Then he announces them to the horses as they are let loose: "O horses, run your race, be victorious in the impulse of the Maruts, you measure out the distance, you remove the obstacles, you go to the goal."
11.7.36	This is the post of Udumbara, set up in seventeen places for the insertion of the pegs.
11.7.37	They call it the wood. Having gone beyond the wood, do not go. Do not return without reaching it. Having made it into a corner, having taken it with the left hand, do not move around with the right hand. Do not move without being born.
11.8.1	Then he says, "O Yajamana, come forward. I shall take up the Mahadendra cup."
11.8.2	When the sacrificer has begun, he takes up the cup for Indra, with the verse, "O Indra, who art great, who art strong, who art mighty, who art the lord of wealth, who art the giver of wealth, who hast the thunderbolt, who art the slayer of Vrtra, to thee, O Indra, I offer this libation."
11.8.3	Having wiped it around, he places it, with the verse,"This is thy birth-place; for thee, O Mahendra."
11.8.4	He places together these five cups for Indra, which are taken up in excess.
11.8.5	Then having sprinkled himself, having taken the two sacrificial grass-blades, having restrained speech, having turned towards the east, he begins the Stotra.
11.8.6	He recites the Stotra for the Mahendra (hymn).
11.8.7	In the present Sāman, the Brahman says, "O Brahman, sing the Sāman of the horses. Let the horses run. Let the drums be beaten. Let the sprinklers sprinkle. Let the Agnīdh sprinkle the ashes. Let the Upabarhas sprinkle the water. Let the Pratiprasthātṛ pour out the Varuna oblation on one potsherd. Let the Soma be pressed."
11.8.8	They do as they are told.
11.8.9	Brahma sings the Sama of the horses.
11.8.10	He who binds them in any way,
11.8.11	The horses run.
11.8.12	They beat the drums.
11.8.13	The voices are heard.
11.8.14	The voices being uttered, he utters the speech to Indra, makes the horse utter Indra, Indra conquered the horse.
11.8.15	Then he addresses the moving chariots with the four verses in the Anucchada metre, "O Vājin, O Vājin, come to the race."
11.8.16	The sounds cease for the offering of the Sastra.
11.8.17	They say that this is the time of the Hotṛ.
11.8.18	The Adhvaryu turns away from the time of the Hotr.
11.8.19	The Hotṛ calls him.
11.8.20	The Adhvayu responds.
11.8.21	He praises.
11.8.22	He responds.
11.8.23	Having responded to the well-known eulogy, having approached the east, he takes up this Maheendra cup.
11.8.24	They take up the other cups.
11.8.25	They take the Nārāśamsa cups.
11.8.26	Then he announces: "Let it be heard, let it be heard. Let the Utkhaśa priests listen. Let them praise Soma."
11.8.27	He offers at the Vasat call.
11.8.28	They offer these five Indra-offerings together with the Atigrahya.
11.8.29	He offers twice at the Vasat and Anvasat calls.
11.8.30	In the same way they shake the Naraśaṃsa twice.
11.8.31	The Mahendra offering is offered twice.
11.8.32	The chariots come.
11.8.33	Seeing the chariots come, he asks for the Ajyasthali with the ladle.
11.8.34	If he tells him of the loss of his chariot, the Agnidhra offers this oblation. "With both (verses) he says, "May he run away from you, may he be driven away."
11.8.35	He offers the Rāthavimocaniya (oblation) with the verse, "May the impulse of strength come to me.
11.9.1	Then he asks for a cake of barley-meal, seventeen potfuls of honey, seventeen gold coins, a bronze vessel full of honey.
11.9.2	Having taken this, he goes out between the sacrificial post and the mound, facing north.
11.9.3	The chariots are yoked and stand to the north.
11.9.4	He makes the horses yoked to the chariot smell these Yajus-formulas, saying, "O horses, winners of speed, winners of speed in the form of speed, flowing with speed, desiring to win speed, you should be at the share of Brihaspati."
11.9.5	Having covered him, he places him in a known place.
11.9.6	Then he addresses the chariots being released with the verse, "This is the truth, the agreement that you have made with Indra."
11.9.7	He addresses the Dundubhi drums being beaten with the verse, “O trees, let us all praise Indra, the strong one, and be released."
11.9.8	He releases the chariot yoked with the Yajus-horses. The others are turned back as they were given.
11.9.9	They approach him, the sacrificer.
11.9.10	He gives them each a black bean.
11.9.11	Having collected them together, he offers them to the Brahman in a golden vessel filled with honey.
11.10.1	The Brahman accepts it and descends.
11.10.2	Then he says, "Having gone to the southern path, having approached the southern hip, you should rest. Having gone around the southern side of the fire-place, having approached the right shoulder, you should rest."
11.10.3	They are obstructed by the measured ones.
11.10.4	Then he says, "Come, O sacrificer!"
11.10.5	Having entered the Soma-shed by the eastern door, he makes the sacrificer place the Soma-grahas.
11.11.1	"Be united with me, unite me with the good."
11.11.2	"Be separated from me, separate me from evil."
11.11.3	Then, taking this Sura with the Sura-grahas, they offer them to the Soma-pressers.
11.11.4	Drinking it, they enjoy and rejoice.
11.11.5	Here, what is not to be given to Marutī, he places between the two (i.e. the sacrificer and the Hotṛ) on the leaves and branches.
11.11.6	They shake it and scatter it.
11.11.7	Then he asks for the vessel of clarified butter with the strainer, and the darbha grass for offering.
11.11.8	Taking this, he says, "Come, O sacrificer!"
11.11.9	The sacrificer follows, with the wife behind him.
11.11.10	He offers on the Āhavaniya fire when the sacrificer has approached, twelve spoonfuls, beginning with "Vāja and Prasava."
11.11.11	Then he makes the sacrificer put on the Tarpaṇa garment, saying, "You are the womb of the Kshatra."
11.11.12	"You are the womb and the birthplace of the Kshatras," he says to the wife, who is made of darbha grass.
11.11.13	Then he stretches the rope from the place of the sacrificer towards the sacrificial post, either east or west.
11.11.14	Then he addresses his wife, saying, "Come, O wife, let us ascend the heaven."
11.11.15	"Let us ascend the heaven," she replies.
11.11.16	"I shall ascend the heaven for both of us," says the sacrificer.
11.11.17	"You ascend the heaven for us both," says the wife.
11.11.18	He makes her ascend by ten means: "May the sacrifice be the means of attaining life."
11.11.19	Having gone inside, he grasps the arms, saying, "I have gone to the gods, I have become immortal, I have become the offspring of Prajapati."
11.11.20	Then he looks back at this world, saying, "May I be united with offspring, may offspring be united with me; may I be united with prosperity, may prosperity be united with me."
11.11.21	Then he descends upon her, saying, "She will be happy as much as she desires."
11.11.22	They strike him with the enclosing sticks.
11.12.1	The Adhvaryu says, "For food to thee!" in front; the Brahman says, "For nourishment to thee!" on the right; the Hotṛ says, "For strength to thee!" behind; the Udgātṛ says, "To win strength!" on the left.
11.12.2	If they do not wish, the Adhvaryu strikes in front, the Pratiprasthātṛ on the right, the Agnīdhra behind, the Unnetr on the left.
11.12.3	Their division is like that of the drums.
11.12.4	Here he places a stool for him to descend on.
11.12.5	On it he spreads a woolen cover, and on the woolen cover a golden piece weighing a hundred mānas.
11.12.6	Then he descends with gold on the right foot, saying, "Thou art immortality."
11.12.7	"Thou art nourishment, thou art generation," on the left foot, on the skin of the calf.
11.12.8	Then they bring him in with this evening prayer.
11.12.9	He goes to the village.
11.12.10	These cups follow him.
11.12.11	Here he invokes the blessing of this Brhaspati.
11.12.12	The Hotṛ and the Adhvaryu consume the Indra-offering, which is called Iḍā, with the Nārāśaṃsa cup.
11.12.13	Here, the sacrificer himself directly consumes the remnants of the Atigrahya cups in the principal vessel.
11.12.14	Alternatively, they may consume them in all the cups. This is another option.
11.12.15	These three consume the Hotr's goblet together, having invoked it.
11.12.16	As the goblet, so the goblets.
11.12.17	They touch themselves, saying, "Bless me."
11.12.18	They do not replenish the goblets with Soma.
11.12.19	All consume together and then cleanse themselves.
11.12.20	Then he proceeds with the three recitations of the Ukthya hymn, saying, "For Indra, for Indra."
11.12.21	The Madhyamdina Savana comes to an end.
11.13.1	Having offered to Savitr, they proceed to the third pressing.
11.13.2	Having performed the rite with the Aditya-graha, he takes up the Agrayaṇa-graha.
11.13.3	Then he takes up the Sodashin-graha with the verse, "O Soma, thou art the seed of Indra." Having recited the Anudruta verse, he takes it up with the verse, “Thou art taken up with a view to Indra; I take thee agreeable to the Sodashin Indra.”
11.13.4	Having wiped it, he places it, saying, "This is your place; for Indra thee, the sixteenfold."
11.13.5	Then he takes the Ukthya (cup).
11.13.6	The rite is the same as in the Pavamana.
11.13.7	Having performed with the Pavamana, he moves in his own abode with the animals.
11.13.8	They have different minds, different deities, different touch, different Vasahomas, the same Vanaspati, the same Svishtakrit, the same Ida, the same directions.
11.13.9	Some say that the directions are different.
11.13.10	The same rite is performed with the Dhruva and the cups.
11.13.11	Having performed the three Ukthya rites with the Dhruva and the Camasa vessels, he performs the rites of Indra-Varuna, Indra-Brhaspati and Indra-Visnu.
11.13.12	Then he performs the Sodashin rite.
11.13.13	Then going forward, he says, "Lift up the Hotr's vessel. The Unnetr should lift up the entire king without spilling it."
11.13.14	They first take up the Hotr's goblet, then the others in due order.
11.13.15	Having taken up all the kings, they place them on the northern altar.
11.13.16	They place them together with the Prajapati-cups.
11.13.17	Then having touched water, taking the two sacrificial grass-blades, and restraining speech, he runs towards the west and begins the praise.
11.13.18	He praises.
11.13.19	This is the twenty-first verse of the Brihat-sāman. They perform it in the Śipiviṣṭa-sāmans belonging to Viṣṇu.
11.13.20	They say that this is the last Hotr.
11.13.21	The Adhvaryu turns away from the time of the Hotr.
11.13.22	He calls him.
11.13.23	The Adhvayu responds.
11.13.24	He praises.
11.13.25	He responds.
11.13.26-31	Having recited the well-known Uktā, having approached towards the east, he takes up this Hotr's goblet. The others take up the other goblets. They take up the goblets. Then he announces: "Let it be heard, let it be heard. Let the Uktā be recited, let the Soma be offered." He offers at the Vasat-utterance. They offer these together as belonging to Prajapati.
11.13.32	He offers twice at the Vasat and Anuvṣat calls.
11.13.33	In the same way they offer twice to all the cups.
11.13.34	Then they run towards each other with the offerings, saying, "The offering is drunk by Prajapati."
11.13.35	Here, in the main vessel of these offerings to Prajapati, they pour the remnants and the sacrificer himself directly partakes of it.
11.13.36	But if they do not want to do so, then they may offer them all in the cups and consume them. This is another option.
11.13.37	Here, what is not to be consumed by the Maruts, that is offered to the priests.
11.13.38	They consume it after dividing it equally.
11.13.39	These three consume the Hotr's cup after offering it together.
11.13.40	As per the cups.
11.13.41	They touch themselves with the formula, "Do thou stimulate me."
11.13.42	They do not fill up the cups.
11.13.43	All eat together and then cleanse themselves.
11.13.44	Then he gives out the call, "O Agni, bring the sacrificial grass, O Upāṁsu, come near, O Brahman, we are going to depart, having placed the kindling wood, O Agnīdh, do thou touch the fires once each."
11.13.45	The Agni-dhr priest brings the embers from the Agni-dhra fire to the Upayaj priest.
11.13.46	He scatters them in front of the Hotr priest.
11.13.47	The Upayaj priest approaches with the three-thirds of the anus.
11.13.48	Here, having divided the three-thirds into eleven parts, the Upayaj performs the offering.
11.13.49	From here onwards, it is common.
11.13.50	The Vajapeya sacrifice concludes.
11.13.51	Having performed the Vājapeya, one should perform the Prātyavarohani Agniṣṭoma.
11.13.52	The Vājapeya comes to an end. The Vājapeya has come to an end.
12.1.1	One who is going to perform the Rājasūya becomes initiated.
12.1.2	He performs the New-Moon sacrifice with the New-Moon oblations before the full moon of Phālguna or Caitra.
12.1.3	He has three consecratory days, three Upasads, and the seventh day is the Prasūta.
12.1.4	The Pravargya rite comes to an end. The Agniṣṭoma sacrifice with four Stotras and a thousand cows as Dakṣiṇā comes to an end with the Upavasatha rite.
12.1.5	Then on the eighth day, he offers the Anumatya oblation.
12.1.6	He releases speech after the Havishkṛt oblation.
12.1.7	The rite is similar up to the pouring down of the oblations.
12.1.8	Having placed (the pot of) water, he places eight potsherds in the southern half of the Garhapatya, one in the north for the Pratiprasthātṛ for Nirṛti.
12.1.9	Giving the grinding stone for the oblation, he says, "The two directions, east and west, are being separated by the pestle."
12.1.10	The Adhvaryu, having placed together the pieces that are being separated towards the east, cooks them in the Anumati pot.
12.1.11	Then the Pratiprasthātṛ, having collected together the pieces of wood which have been cut off from the sacrificial post, and having bound them together, cooks them in the Nīraṃśa (fire).
12.1.12	They take this Nīraṃsa (wood) which has been spread out and sprinkled, a black garment, a black potsherd, the last (piece of wood) from the house, a single torch, and a water-pot.
12.1.13	Taking this, he offers a spoonful of oblation on the Garhapatya with the verse, "Do thou accept the oblation of Svāhā."
12.1.14	Then going out by the southern door, they go in that direction where his own created pit or hole is visible.
12.1.15	Having placed this single torch in front of himself, having spread it out, having taken hold of it with the thumbs, he offers to Nirṛti with the verse, "This is your share, O Nirṛti, you are the bestower of food. Release him from sin, svāhā."
12.1.16	Here he gives a black garment and a black pot.
12.1.17	Then, having sprinkled water, they go back, not looking at the vessel. Having washed their hands and feet, they return by the same way and offer a ladleful of oblation on the Garhapatya fire, saying, "Svāhā! Salutations to him who created this."
12.1.18	Then he performs the consecration with the consent of the sacrificer.
12.1.19	He gives a cow as a gift.
12.2.1	Then on the ninth day, he offers a cake on eight potsherds to Aditya.
12.2.2	He gives the boon.
12.2.3	Then on the tenth day, the Agni-Visņu offering with eleven potfuls.
12.2.4	He gives a bull.
12.2.5	Then on the eleventh day, the Agni Soma offering with eleven potful.
12.2.6	He gives gold.
12.2.7	Then on twelfth day, the Indra offering with eleven potfulls.
12.2.8	He gives an ox.
12.2.9	Then on the thirteenth day, a cake on eight potsherds to Agni, curds to Indra.
12.2.10	He gives a bull.
12.2.11	Then on the fourteenth day, the Upatīkā oblations, rice-pap to Sarasvati.
12.2.12	He gives an ox with a heifer.
12.2.13	Then on fifteenth day, rice-pap for Sarasvata.
12.2.14	He gives the ox with a he-calf.
12.2.15	If the Upavasatha happens to be on the fourteenth day, then he should offer these two Iṣṭis on this day with separate sacrificial grass.
12.2.16	On this day, the calves are driven away for the Visve Devas.
12.2.17	Having milked the milk for the Visvedevas, he observes fast. The Saṁnāyya is prepared silently.
12.2.18	Then, on the next day, having performed the Vaiśvadeva offerings and having performed the Pūrṇamāsa and the Vaimṛdhika offerings, he proceeds as prescribed.
12.2.19	Then, on the next morning, he offers a cake on eleven potshards to Indra Sūtrāmaṇ.
12.2.20	The chariot is described as having two handles, a bronze armour, and yoked with pregnant mares or with mules. The horse is tied to it. He gives it.
12.2.21	On the next day, he offers a cake on eleven potshards to Indra, the remover of distress.
12.2.22	The chariot is not mentioned. It is yoked with mares that are not pregnant, or with horses that are not castrated. The fine is a gold coin. He gives it.
12.3.1	They say that these are the regular fines.
12.3.2	The next day he pays the regular fines.
12.3.3	Thus, the sacrificer, in this manner, goes on for four months, performing the sacrifice of Viparāsa every day, with the two Sāntani sacrifices, with the Iṣṭi, with the animal-sacrifice, and with the Yavāgāra.
12.3.4	When the four months are over, having performed the Sāntani sacrifice, having performed the offerings to Varuna, having performed the Full-moon and New-moon sacrifices, he proceeds according to the prescribed procedure.
12.3.5	Then on the next day he performs with the two Sāntanīs.
12.3.6	Thus the sacrificer, performing the Viparyasam sacrifice with the two Sãntanīs, goes to the other four months, performing the Iṣṭi, the Pasubandha and the Śyāmākāgrayaṇa.
12.3.7	Then, when four months have passed, having performed the Sāntanīya sacrifice, having performed with the Sākamedha oblations, having performed the Full-moon and New-moon sacrifices, he returns according to the prescribed procedure.
12.3.8	Then on the next day, he commences with the Sāntaniyas alone.
12.3.9	Thus, day after day, the sacrificer, by means of the two continuous (sacrifices), goes to the other four months, as he pleases by the Iṣṭi, as he pleases, by the Pāśubandha, as he pleases (by) the Vrihyāgrayaṇa.
12.3.10	Then, when four months have passed, having performed the Sāntanīya sacrifice, having performed with the Shunāsīrīya oblations, having performed the Full-moon and New-moon sacrifices, he proceeds according to the prescribed procedure.
12.3.11	The next day he commences with the Sāntaniya sacrifices.
12.3.12	Thus, the sacrificer, performing the sacrifice in this manner, goes on for seven days. He may go on with the Iṣṭi or with the animal-sacrifice.
12.3.13	On the eighth day, he offers a cake on eight potsherds to Agni-Indra, a rice-pap to Rudra, curd to Indra, and a rice-pap of barley to Varuna.
12.3.14	Having obtained the Anvāhārya, he gives a milch cow.
12.4.1	Then at that very time, he performs the Pañceḍhmiya rite.
12.4.2	Having arranged five kinds of coals, he places five fires - a leaf-made fire in front, a banyan fire on the right, an ashvattha fire in the back, an udumbara fire in the north, and a plaksha fire in the middle.
12.4.3	Then he besprinkles them with clarified butter: "Those gods who are in front, Agni-eyed, destroyers of the Rakshas, may they protect us, may they favour us. To them be salutations, to them be salutations. Svāhā! Those gods who are on the right, those gods who are behind, those gods who (are) on the left, those gods who sit above."
12.4.4	Then he collects the coals with the Upavesha-mantra, "The Rakshas that has been burnt in the collected (coals), I burn the Rakshas here."
12.4.5	Then he offers them with oblations from the ladle, with the five mantras, "To Agni, the destroyer of Rakshas, svāhā."
12.4.6	Here he gives a chariot with a pole.
12.4.7	Then he asks for a leaf-made ladle, Apamārga grains, a garment to be worn while returning, a single-piece garment, and a water pot.
12.4.8	Taking these, he goes out, facing east, and goes in the direction where his own created desert or pit becomes clear.
12.4.9	Having placed this single torch and spread it around, he offers Apāmārga grains with a leaf-spoon, saying, "I offer the killing of Rakshas with your impulse, O god Savitar, with the arms of the Ashvins, with the hands of Pusan, svāhā."
12.4.10	He strikes the spoon with the words, "Rakshas is slain."
12.4.11	He stands up with the words, “We have bound Rakshas.”
12.4.12	Here he gives whatever he wears.
12.4.13	Then having sprinkled water, they go back with their vessels, not looking back. Having washed their hands and feet,
12.4.14	Having come back by the same way, he performs the concluding rite with the Indra-turyā verse.
12.4.15	Then on the ninth day, he offers the oblations to the goddesses, namely, a cake on twelve potsherds to Anumati, a cake to Raka, and a cake to Dhātrī.
12.4.16	Having placed the Anvāhārya portion, he gives a calf with a young one.
12.4.17	Then on the tenth day he offers the northern Devikā-oblations, a cake to Sinīvālī, a cake to Kuhū, and a cake on twelve potsherds to Dhātrī.
12.4.18	Having reached the next day, he gives a calf that is younger.
12.4.19	On the eleventh day, having performed the rites of the three-fold union, he offers the oblations to Agni-Visnu, Indra-Visnu and Visnu.
12.4.20	He gives a bull with a hump.
12.4.21	On the twelfth day, he offers the cake on eleven potsherds to Agni-Soma, the cake on eleven potsheds to Indra-Soma and cooked rice to Soma.
12.4.22	He gives a black (bull).
12.4.23	On the thirteenth day he offers a cake on twelve potshards to Soma-Pūṣan, a cake to Indra-Pūṣa, and a cake to Pūṣan.
12.4.24	He gives a black (animal).
12.4.25	On the fourteenth day he offers a twelve-potshered cake to Vaiśvānara.
12.4.26	He gives gold.
12.4.27	Then on the fifteenth day, he offers a cake on eight potsherds to Agni and Soma.
12.4.28	He gives a horse.
12.5.1	Then they conclude the sacrifice with the New-Moon offering. The recipients of the gifts are seated to the south or to the west or to the east.
12.5.2	When they have concluded, the Brahman becomes the recipient of the southern or the northern half.
12.5.3	Whatever food is served at the sacrifice, it is for the Brahman alone.
12.5.4	Having ascended the fires in the forest and having settled down in the house of the Brahman, having kindled the fires and having performed the rites, he offers a cake on twelve potsherds to Agni and a cake on eight potsherds to Indra in the house of Brahman.
12.5.5	He gives a bull with a sharp back.
12.5.6	Then having placed the fires in the Āraṇya, he proceeds to his own fire-places.
12.5.7	He recites the formula, "May this king, having become the king, slay Vṛtra."
12.5.8	Then, having determined his own fire-places, having churned out the fires, and having moved away, he offers a cake on eleven potshards to Indra Sūtramaṇi.
12.5.9	Then, having milked the milk of his white cow with a white calf, and having mixed it with curd, he keeps it aside.
12.5.10	Then, on the next day, having set up the fires on the Āraṇyaka fires, having gone to the house of a Kṣatriya, having churned out fire, having performed the rites, he offers a cake on eleven potshards to Indra in the house of a Ksatriya.
12.5.11	He gives a bull.
12.5.12	Then, having set up fires on the Āranyaka fires, he proceeds to his own fire-places.
12.5.13	He recites the same formula as he is being led away.
12.5.14	He who performs the sacrifice in whose house, he recites the formula, "May this king, having become a king, slay Vṛtra."
12.5.15	Having decided upon his own fire-places, having churned out the fires, having performed the rites, he offers a cake on eleven potshards to Indra, the slayer of Pāka.
12.5.16	He knows that this day is for the white cow with a white calf. Having milked her, he puts the milk in a vessel and keeps it aside.
12.5.17	On the third day, he offers a cake on eight potsherds to Aditya in the house of a woman.
12.5.18	He gives a cow.
12.5.19	On the fourth day, he offers to Bhaga a cake on eight potsheds to Vāvāta in the house of one who has a variegated calf.
12.5.20	He gives an excellent cow.
12.5.21	Then on the fifth day, he offers a cake on five potsherds to Nirriti in the house of a soldier, made of black grains, broken with nails.
12.5.22	He gives a black pot.
12.5.23	Then on the sixth day, he offers an eight-pot cake to Agni in the house of the commander-in-chief.
12.5.24	He gives gold.
12.5.25	Then on seventh day, he offers ten pot cakes to Varuna in the house of an army officer.
12.5.26-32	He gives the Mahāniṣṭha. Then on the eighth day, the Marut, with seven potfuls, in the house of the village chief. He gives the Pṛṣṇi. Then on ninth day, the Savitra, with twelve potfuls, in a warrior's house. He gives what is suppressed. Then on tenth day, the Āṣāḍha, with two potfuls, in an accountant's house. He gives what is with the Vātyas.
12.5.33	Then on the eleventh day, a cake on eleven potsherds to Pūṣan at the house of Bāgadughas.
12.5.34	He gives a dark-coloured (cow).
12.5.35	Then on the twelfth day, a cake of barley to Rudra at the house of Akṣāvāpas.
12.5.36	He gives an uneven-coloured (cow) with a gate.
12.5.37	It is well known that on this day he milks the cow Śvetayā for Śvetavatsa and keeps it aside.
12.5.38	On the thirteenth day, it is dedicated to Mitra and Brhaspati.
12.6.1	It is said:
12.6.2	To the white cow, to the white calf, to the milk, to the self-existent, to the self churned ghee, to the four-cornered vessel of the ashvattha tree, to the branch that is self-poured, one should separate the grains from the chaff.
12.6.3	Then it is said:
12.6.4	The altar is self-made, the sacrificial grass is self-spread, the wood is self-gathered.
12.6.5	The king himself is worshipped by his own deeds.
12.6.6	He himself makes the altar, himself arranges the kindling wood and grass, himself makes a four-cornered vessel of ashvattha wood, himself separates the grains from the chaff of the leaves, and himself separates the grains of rice from the chaff.
12.6.7	Now indeed it is said:
12.6.8	Those who have ears are in the milk, those who have no ears are in the clarified butter, those who have ears are the Maitravaruna.
12.6.9	Then having placed a new vessel on the embers mixed with ashes to the north, having brought the clarified butter covered with a strainer, having poured the clarified butter without ears, he covers the Barhaspatya with it.
12.6.10	He places that covered vessel inside the altar.
12.6.11-14	The Prāyajas are similar. Having offered five Prāyajas, having gone forward towards the north, having poured the Barhaspatya with the Srasrava, he pours the Maitra. He proceeds with the former Barhaspatya, then with the Maitra. He offers the former Barhaspayya in the Svishtakrit, then the Maitra. 
12.6.15	He offers the oblation of the Brhaspati-Soma. Then he offers the oblation to Mitra.
12.6.16	Having brought the Anvāhārya-rice, he gives the white cow with a white calf.
12.6.17	The oblation to Mitra-Brhaspati is concluded.
12.7.1	Then on this very new moon day, he initiates for the Upavasatha of the Abhisecanīya Soma.
12.7.2	His initiation is unlimited, and the Upasads are six.
12.7.3	He buys the king in such a way that he thinks, "May the Soma-pressing be accomplished on the new-moon day for me."
12.7.4	It is accomplished for him by that (Soma-pressing).
12.7.5	Then he performs the Pravargya rite.
12.7.6	Having performed the Pravargya, he performs the Pada rite.
12.7.7	Having perfoṟmed the Pada rite, he buys the king on the red skin and offers the Atithyesti.
12.7.8	He performs the Atithyas and the Upavasatha rites every day.
12.7.9	Then he places the Ahavanīya fire.
12.7.10	Having placed the Ahavanīyā fire, he joins the Rāthantara, Sadas and Havirdhāna fires.
12.7.11	Having joined the Rāthantaras, Sadas and the Havirdhāna, he places the fires of Agni and Soma.
12.7.12	Having placed Agni and Soma, he erects the sacrificial post within the enclosure.
12.7.13	Having released the sacrificial post with the Svāhā-utterance, he prepares the animal for Agni-Soma.
12.7.14	Having performed the offering of the oblation, he takes the Vasatīvari waters.
12.7.15	Then he offers the Pasupurodāsa oblation.
12.7.16	The eight Havis offerings for the gods follow it, beginning with "Agni, the lord of the house."
12.7.17	The procedure of their feet is as stated in the Vidhā.
12.7.18	The Purorāśas ending with the Ida are completed.
12.7.19	The animal sacrifice ends with the Patnīsaṃyājas.
12.7.20	Some say that it ends with the Hṛdayaśūla.
12.7.21	Here he places these drums in the directions.
12.7.22	Then, having removed the Vasatīvarī waters, they observe fasting with special care.
12.7.23	Now, they become aware only at midnight.
12.7.24-30	Having taken the morning butter, having brought it near the king, he performs the morning recitation. When the morning recitation is over, he goes to the water. He goes to the water with water. He approaches the Ukthya sacrifice. The pressing is well-known. The Grahas are taken well-known. The rite is common with the Grahas of the Asvins.
12.7.31	Having taken up the ladle for the Asvins and having taken up two Rasana ladles, he approaches the sacrificial post.
12.7.32	Having released the post reaching to heaven, he prepares the animal for Agni.
12.7.33	For him this is the Agni-upalabhya (animal).
12.7.34	Having performed the Vapa rites of these two animals, they proceed towards the morning pressing.
