1.1.1	Now, therefore, the authority.
10.4.14	Having offered, he gives the remaining two to the Pratiprasthātṛ.
10.4.15	Here is the movement of the Aditya-graha before the hearing of the third pressing.
10.5.1	Having taken the Āgrayana, he sprinkles it in the strainer. The Pratiprasthātṛ takes the Āgrayana and the Adhvaryu takes the Avakā. The Uddhatṛ takes the Āgrayaṇa in the Upabhṛt vessel or in the Upavasana vessel.
10.5.2	The Ukthya is performed with one verse in the northern direction.
10.5.3	Pūtabhṛt, you sprinkle the blessing. May the blessing bestow on me food, nourishment, and good progeny. May it bestow wealth, good radiance, and prosperity. May it unite the fields. O Indra, making others inferior, you make the enemies inferior.
10.5.4	The wife looks at him with faith, saying, "He is a man."
10.5.5	He performs the act of going out, etc. in accordance with the Madhyandina school.
10.5.6	"O animal, speak!" is said at the place of accumulation.
10.5.7	From the morning pressing onwards, until the announcement of the Sāman chanting, and having performed the Iḍā offering, one should eat the cake and other offerings from the Ceda vessel.
10.5.8	Only with the cups.
10.5.9	Having taken up the Hotr's goblet, having announced, he says, "For the third pressing, for the one who is powerful, for the one with power, for the one possessing strength, for the one possessed by Brihaspati, for the one belonging to all the gods, for the one having a strong blessing, for Indra, the Soma-juices that have been pressed, let them be sent forth."
10.5.10	"For the one having a powerful blessing" is at the place of Sukra.
10.5.11	The Iḍā-oblation is to be eaten by the Grahas, as in the case of the Havis-oblation, in their respective cups, in the form of a Puronuvāka, without water, like the Pinda-offering to the Pitṛs, from the time of giving (the oblations) onwards, till the smelling (of the oblations).
10.5.12	Because the sacrificer has a right to the fruits of the Iḍā-offering.
10.5.13	Having eaten the Iḍā, one should take the Savitrī-graha with either the Upāṃśu or the Antaryāma vessel, saying, "May it be auspicious today."
10.5.14	At the proper time, the Patnīvata (cup) is offered to Savitr.
10.6.1	The Hotr recites the Anuvāka to Savitr. "
10.6.2	"One should offer the Maha-Vaishvadev (libation) with uncooked (food). You are taken with a purpose. You are well-protected."
10.6.3	The Hotr praises.
10.6.4	When praised with one and ten (verses), the Adhvaryu places the cups of the two-deity offerings in the Khara after washing them.
10.6.5	"The gods, with the sacrifices, have come to us." These are the three invocations.
10.6.6	And in the Svadushkilyas.
10.6.7	Having performed the washing of the vessels, one proceeds with the Soma.
10.6.8	One anoints on both sides with ghee.
10.6.9	Or on one side.
10.6.10	One says "I offer ghee" with the sound of ghee softly.
10.6.11	"I offer Soma" - one proceeds with the Somas.
10.6.12	Since the word "Sūmya" is used again, it is clear that the Soma is to be offered.
10.6.13	Having sprinkled clarified butter, he offers the Sūmya to the Udgātṛ.
10.6.14	Taking four spoonfuls, he offers on the Dhishnya fires, lighting the Sala trees in turn, saying, "You are the light."
10.6.15	Again, at the Agnidhriya fire, offering from the rear.
10.6.16	The Pratiprasthātṛ takes up the Pātnīvata cup with the formula, "Thou art taken up with the Upāṁśu formula for the son of Brhaspati."
10.6.17	He consecrates it with the formula, “I consecrate thee beyond the remnant of the Pracaraṇa."
10.6.18	He says, "O Agnīd, do thou offer the Pātnîvata."
10.6.19	He offers it in the northern half of the Āhavanīya with the formula, "O Agni, do thou offer to Pātnīvat."
10.6.20-23	The Nestr sends the Agnis to the place of the Neshtri, the Neshtri to the place of her husband, the Udgātṛ to the place of his wife, the Sāman-chanter to the place of Udgātṛ, the Prastotṛ to the place where the Prastotṛ is to be, the Prastotā to the place of Prastotṛ, the Udgātr to the place of Sāman-chanting, the Udgätṛ to the place for Udgātṛ. The Neshtri sends the Soma to the place of Neshtri, and the Neshtri sends it to the place of Hotr. The Hotr sends the Soma to his own place. The Hotr says, "Do not let the Soma be spilled." "Do not let the Hotr be spilled" is said in the Ukthya and other sacrifices. The Agnidhra sends the Soma to be drunk by the Hotr, and the Hotr sends it to the Agnidhra. The Agnidhra sends it to the Neshtri. The Neshtra sends it to the Hotr. The Neshtṛ sends it to the Udgātā. The Udgātṛ sends it to his own place.
10.6.24	Here, the eating is done by the strength of the removal of the vessel.
10.6.25	The Agnīdhra, having washed the vessel, places it on the Khara.
10.7.1	He performs the Yajñāyajñiya Stotra, touching the Hotr's goblet.
10.7.2	If he spills, he should sprinkle water and look towards the Udgātṛ.
10.7.3	Having brought the wife into the assembly and seated her opposite him in the north, the Udgātā looks at her, saying, "Prajāpati is the bull."
10.7.4	He sprinkles her with the Pannaja-grass, having opened the right thigh.
10.7.5	The Udgâtri goes forth, being permitted.
10.7.6	Or three times, being seen.
10.7.7	"Indra, the giver, to Maghavan" - when the Hotr-cup is being filled, he pours down the Dhruva (graha) in it, saying, "The Dhruva in the Dhruva."
10.7.8	Or, "I pour down in the proper place, I take up."
10.7.9	If the Vaishvânara (graha) has been taken by the sacrificer,
10.7.10	After the washing of the vessels, the Anuyājas are offered with the Samit and other materials.
10.7.11	The Utkhya is divided into three parts, namely, Indra-Varuna, Indra-Brihaspati, and Indra-Vishnu.
10.7.12	If there is an excess of praise and eulogy, then the Sodashi is performed.
10.7.13	At the third pressing, there is no Prasuti.
10.7.14	The pouring out of the ladle is for Agni, the lord of plants, Indra, the possessor of wealth, the possessor of Rudra, the possessor of Aditya, the possessor of Rbhus, the possessor of Vibhus, the possessor of Vājas, the possessor of Brihaspati, the possessor of all gods, and Soma. May they remove him. Agni is the lord of plants; Indra is the possessor of wealth; Rudra is the possessor of Rudras; Aditya is the possessor of Adityas; Rbhus is the possessor of Rhus; Vibhus is the possessor of Vibhūs; Vājas is the possessor of Vajas; Brihaspati is the possessor of Brihās; all gods are the possessors of all gods; Soma is the possessor of Soma. May they drive him away.
10.7.15	The Soma-cup is mentioned in the context of the animal-sacrifice and the tree-sacrifice.
10.7.16	Or all the cups are mentioned because of their being connected with the Savaniya and Soma-cups.
10.8.1	Having released the two ladles, one takes up the Soma-cup in the Dronakalaśa with the formula, "Thou art taken with a support. Thou art Hari."
10.8.2	He pours the cooked rice with the formula, “The cooked rice of Hari.”
10.8.3	The Udgātṛ recites the Dhānasoma verses, placing them on the head, saying, "Recite the Dhānasomas," and having announced, he says, "Send forth the Dhānasomās who have set out."
10.8.4	One who wishes to take a share should do so.
10.8.5	Having placed the two northern Vedas, they offer the Prāṇabhakṣa, reciting, "What is thy horse-sacrifice," and having eaten the Prāṇbhakṣa, they place the two northern Vedas.
10.8.6	The Shakaladhana is performed with the recitation of the respective mantras.
10.8.7	The Chamasa vessels are filled with water and placed on the ground, with the recitation of "Samvarcase" and the sprinkling of green Kusha grass.
10.8.8	The mouth is touched.
10.8.9	The Agnidhra consumes curd with the recitation of Dadhikrava.
10.8.10	The Patnisamyajas are performed as in the case of the animal sacrifice.
10.8.11	He offers nine Samitsya-offerings, each time with a different formula.
10.8.12	They carry the two wooden supports of the sky and the Catvāla smeared with Soma.
10.8.13	He places the horns of a black antelope and the girdle in the Catvāla with the formula, "May it be the earth."
10.8.14	The Pratiprasthātṛ and the Sāman-chanters silently place the pegs and the yoke.
10.8.15	He makes them recite the verse, "Obeisance to the great one."
10.8.16	He sends the Sāman with the words, "Sing, tell."
10.8.17	and the banks of rivers.
10.8.18	All of them come to an end.
10.8.19	Having brought the water, they go to the Avabhṛtha bath, the flowing ones, the immovable ones.
10.8.20	In its absence, others.
10.8.21	Reciting "Salutations to Varuna," he enters the water.
10.8.22	Having taken four handfuls of grass, he offers it with the verse, "The army of Agni."
10.8.23-30	Except for the Prajaas, the oblations are offered on the grass. The oblations are offered in water. One performs the Avadyana rite with one potsherd. One should offer the Avadyana of Rijiisa. The remaining oblations are offered to Agni and Varuna. If the Rijiisa is offered first, then it is offered once. One should do this. The oblation to Agni and Soma is offered first, the oblations to Agni and Varupa are offered last, the oblations of the Prajaas are offered in between, the oblations for the gods are offered in between. The oblations to the gods are offered first, the offerings to the ancestors are offered last, and the offerings to the gods are also offered in between. The oblatory rites are performed first, the offerings are made first, the offerings of the gods are made first, and the offerings of the ancestors are made last.
10.9.5	He throws the Soma-besmeared (twig).
10.9.6	The giving of the two (twigs) is omitted.
10.9.7	We go to the highest, reciting the hymn, "We go to the waters, to Soma, to immortality. We have come to light, we have known the gods. What has the enemy done to us? What has the weapon done to the mortal?"
10.9.8-11	The sacrificer, having placed the skin of a black antelope on his lap, offers a spoonful of clarified butter with the verse, "May Agni bestow lordship, seniority, and pre-eminence. Svāhā!" Having placed the skin of the black antelope, the Udayanīya and Prāyaniya are performed. The fourth is the Pathya and Svāsthya.
10.9.12	The sprinkling of the vessel and the obtaining of clarified butter, the distribution of the sacrificial food, etc., are as in the Savanīya. The Vashavasanūbandhya is as in the Maitrāvaruṇī.
10.9.13	The covering of the sky, etc., is done.
10.9.14	If there is no Vasha, then Ukha.
10.9.15	If there are no both, then Payasyā.
10.9.16	Some perform the rites beginning with the offering of clarified butter and ending with the Iḍā, having obtained it.
10.9.17	The Udavasāniya is the Agniya with five potsherds, prepared by mounting and churning.
10.9.18	The fee is gold.
10.9.19	Or a bull.
10.9.20	The oblation is like that of an animal.
10.9.21	At the end of that, the evening oblation.
10.9.22	Soma-related rites are performed due to proximity and contradiction.
10.9.23	Or it is permanent, because of the statement "morning oblation".
10.9.24	Because of the prescribed rite.
10.9.25	This is the first Soma.
10.9.26	Having ignited, they enter.
10.9.27	Six more.
10.9.28	The Ati-Agniṣṭoma, the Ukthya, the Sodashi, the Vājapeya, the Atiratra, and the Aptoryāma.
10.9.29	Of these, the Ukthyas are concluded with the chanting of the Udgātṛs, the others with the Hotr.
10.9.30	At the Soma-sacrifice of a Vaiśya or a Rājanya, the Nighroṣṭhas are bound to the girdle, for eating, from the time of the purchase onwards, until the Soma is consumed. The collection of the Soma is the same for all, before the pressing.
10.9.31	At the time of lifting up the pot, having taken out curd and kneaded it, one should lift up the pot.
10.9.32	When the oblations are being offered, one offers with fresh kuśa grass, saying "I am yours."
11.1.1	From this comes brahminhood.
11.1.2	When engaged in action, one should be silent.
11.1.3	When the Hiranmayati oblation is offered, one follows the right path until the purchase.
11.1.4	Having bought it, he goes to the east and then to the west, or vice versa, following the Dakṣiṇāgni till the place of depositing.
11.1.5	Or he goes to the Dakṣiṇa Agni by the western path.
11.1.6	The Stambayajus-priest, having taken the Soma, stands to the south of the Āhavanīya along with the altar.
11.1.7	Thus in all cases, because of the carrying of the Soma to the south.
11.1.8	He follows that and that together with the rite.
11.1.9	When the Ahavaniya is being carried forward, he recites twelve times the verse addressed to Apiratha.
11.1.10	Everywhere one (verse).
11.1.11	Having come to the place where the grass is spread, as it should be.
11.1.12	For carrying the Agni-Soma, he stands to the north of the Dhishnya pot, to the east of the door of the hall, to the south.
11.1.13	Having offered the oblation, he takes the Soma and follows the Agni.
11.1.14	The sacrificer himself should take the Soma.
11.1.15	Having given it to another, having returned as he came, he sits down to the south.
11.1.16	Having offered the Soma, having passed the Āhavanīya fire,
11.1.17	in the latter part of the night, desiring to offer the Soma and Agni,
11.1.18	having offered the oblation of drops, he should begin with the receiver, not having been initiated.
11.1.19	Having been requested by the Prastôtṛ, he says, "O god Savitr, this is praised by you. This is the impulse of Savitr."
11.1.20	"O god Savitr! This is praised by Brihaspati."
11.1.21	Or, "By the ray of truth."
11.1.22	In which one enters, in that one moves.
11.1.23	If one goes around the sacrificial post from the east and then from the west,
11.1.24	one sits to the right of the Praśāstṛ.
11.1.25	The other (officiating priests) are on the other side of the Adhvaryu.
11.1.26	The Neṣṭa is not mentioned.
11.1.27	The Praśāstṛ-Adhvaryu is on the northern side of the Apamāna.
11.1.28	The others are on their own sides.
12.1.1	The rites of the Jyotiṣṭoma are seen in the one-day and twelve-day sacrifices.
12.1.2	In the first, the Vratya Stoma is mentioned in the beginning.
12.1.3	Some say that it is in the Agniṣṭoma.
12.1.4-10	The twelve-day sacrifice is the Sattra and the Ahina. The Sattra is indicated by the words "they perform the sacrifice" and the Ahina by the words "he performs the sacrifice". The Upavasatha and Atiratra are on both sides of the Ahina. The Sattra is above the Ahina. All the sacrificers participate in the Sattras. They are without Dakshina because of the connection with the owner. The householder is the performer of the sacrifice because of the connection. And because of the sight.
12.1.11	All are from the ritual.
12.1.12	Because of the statement in the Veda.
12.1.13	The householder's effort is not possible.
12.1.14	Because of being done for others.
12.1.15	When desiring fire, having ascended, the householder stirs in the middle, the others to the right and left.
12.1.16	Placing of embers in the householder's fire.
12.1.17	There, the animal belongs to Prajapati.
12.1.18	The Patnī-Samyājās are performed with clarified butter, except the Gṛhapati.
12.1.19	Initiation is done on that day.
12.1.20	If one is unable to do so, then the prescribed rites are performed on the raised and churned fires everywhere.
12.1.21	The initiation time is when the sun is in the northern solstice, and churning is done as before.
12.1.22	The Praśna is offered in the Garhapatya fire here.
12.1.23	Then in the Āhavanīya.
12.1.24	Initiation takes place there.
12.1.25	From the day of fasting onwards, until the Soma is brought in, he should remove them from the Sālā and the Dvāryā, either from the southern or northern side, as in the case of the Dhishnya fires.
12.1.26	[ The procedure is as described by the householder.]
12.2.1	When the Angāra is raised, they take one each from the Sālā-Dvāryā towards the Prati-citti.
12.2.2	The Savanīya Purorasa is offered to Agni. The leftover oblation is offered to the gods. This is because of the statement in the Veda.
12.2.3	The Patnisaṃyājas are performed as before.
12.2.4	They sit around the householder and churn.
12.2.5	The householder is the first in everything.
12.2.6	They offer the oblations to the Garhapatya fire of the householder, and to the other fires, as soon as they are born.
12.2.7	The rites from the Upavasatha onwards are common to all.
12.2.8	The fire which will be generated from the kindling wood of the householder, may it be with us. With this sacrifice, with this animal sacrifice, may we be successful. May we be successful in our good deeds. May we be different from those who do evil. Whatever evil one does, may it be his own. Having said this, the householder ascends his own first.
12.2.9	The others as they please.
12.2.10	At the time of initiation, from the beginning of the dialogue, up to the binding of the animal, it is done with the Sattri.
12.2.11	In the Ekāha, the Śālāgārhapatya Purorāśa and Patnīsaṃyājas are performed.
12.2.12	In the case of Ekapurorāśa, since there is no possibility of Vratya, one should offer a rice dish with five bowls dedicated to Indra, or a Purorāśam, if it is said to be Odanīyam or Apūpīyam.
12.2.13	Some say it is dedicated to Brhaspati.
12.2.14	The consecration is done on the twelfth day.
12.2.15	The Adhvaryu consecrates the householder, the Brahman and others, the Pratiprasthātṛ and others, the Neṣṭṛ and others, and the Unnetṛ and others. The student, the Snātaka or another Brāhmaṇa who is not pure, should purify him. This is because of the statement in the Veda.
12.2.16	The wives of the householder are consecrated one after the other.
12.2.17	They themselves are the conveyers.
12.2.18	At the time of the Dakṣiṇā, shaking the black antelope skins, reciting the mantra, they go to the southern path, saying, "Whatever has gone away from my life and is beyond this, I am conveying that Dakṣiṇī to you." "I am conveying this Dakṣiṇã for the sake of so-and-so, the son of so-andso, the son-in-law of so-and so."
12.3.1	The first six-day sacrifice is Prsthya, the fourth is Agnistoma, the fifth is Sodashin, and the rest are Ukthyas.
12.3.2	In that, the Atigrahya Grahanas are taken in the first three days, Agni Pashu, Utishtan, and Adrishram are taken every day.
12.3.3	Or in the latter three days.
12.3.4	Or in both.
12.3.5	The Maheendra is offered in succession.
12.3.6	O Agni, the most brilliant, O Indra, the most powerful, O Surya, the most radiant. This is the eating by the sacrificers.
12.3.7	At the time of the back (of the altar), the rolling of the chariot is done on the right side of the altar.
12.3.8	In the second, the consecration is done with the sound of drums.
12.3.9	In the third, with the offerings of food.
12.3.10	In the fourth, churning with the two fire-sticks and the offering on the thigh of the Udgātṛ.
12.3.11	In the fifth, with the Savakayodapātrī.
12.3.12	In the sixth, with the Saṃvāśin.
12.3.13	The mothers, having united with their calves, turn back from the east side of the enclosure.
12.3.14	"You, O Rtus, have yourselves gone to the sacrifice. Now, O you who are to be yoked, go to the chariot of the man who is to be led. Here, O you two, let there be your release. Let the oblations be offered. Where has the honey gone? Now drink Soma, O you who possess strength and wealth."
12.3.15	The Hotṛ and Pratiṣṭhṛ are the Pratiharas.
12.3.16	The other ones are natural, because of their other purpose.
12.3.17	At the end of the six days, one should not speak much, should not ask another, should not tell another.
12.3.18	One should eat ghee.
12.3.19	The three Utkhyas are the Chandomas.
12.3.20	The Agniṣṭoma is the tenth without speech.
12.3.21	The days ending with the Patnīsaṃyājas are excluded from the last.
12.4.1	Each one, restraining speech, protects Soma until dawn.
12.4.2	Or, one may avoid the company of enemies.
12.4.3	The others are released for study or for collecting firewood.
12.4.5	Here also, one should not eat.
12.4.6	Or, on the tenth day, one should offer oblations.
12.4.7	At sunset, all should kindle the sacred fire.
12.4.8	In the evening, after bathing, one should enter the house.
12.4.9	At the door of the house, when the oblations have been offered, one offers the oblation with the verse, "May there be delight here."
12.4.10	He throws the other one.
12.4.11	Having gone around by the north, having entered the Havirdhāna, having touched the southern door of the Havirdhānā, they sing the prosperity of the Sattra, "The prosperity of the Sattras."
12.4.12	On the northern or southern line of the Uttaravedi.
12.4.13	They go out towards the south, with the verse, "You two are the axle of the heaven."
12.4.14	Having entered the assembly, they sit down on their respective seats in the east.
12.4.15	He takes up the Prajapati Graha in the Vayu Graha in a vessel made of earth.
12.4.16	The taking up of the Graha, the Sadana Stotra, the Upakaran Homa, the bringing of the food, and the eating are done mentally.
12.4.17	The explanation of the four Hotras is done by the Hotri.
12.4.18	The householder does not know.
12.4.19	The one who is free from sin recites these (verses). May there be welfare to these sacrificers.
12.4.20	They say that it is the Brahma-Udgitha.
12.4.21	The narration of the qualities of Prajapati.
12.4.22	Or it is a statement about the absence of knowledge.
12.4.23	Or it may be called the Asvamedhika (hymn) because of the name.
12.4.24	Having taken the Udumbara (twig), they remain silent until sunset.
12.4.25	When the sun has set, they go out and sit on the northern altar. The Pratiprasthātṛ carries the Vasatīvari waters.
12.4.26	The dismissal of speech is done by one who desires a Sattra.
12.4.27	In the case of separate desires, one says "Bhūr Bhuvaḥ."
12.4.28	The invocation of Subrahmaṇya is done by the householder, saying "Come to me."
12.4.29	Having said "Subrahmaṇya, invoke me," he performs the kindling of the fire.
12.4.30	This is the rising from the Sattr without the touching of water.
12.5.1	The Grahas of the Antaratirta and Ukthya are to be brought in.
12.5.2	Having taken the Atigrahya Grahas at the morning pressing, one should stand with the sixteenfold ladle made of Khadira wood with four corners, reciting the verse, "O Indra, do thou yoke thyself."
12.5.3	After the Madhyandin Savana, the next one is the Vagramana.
12.5.4	Or after the Dhara Grahas, the Atigrahya.
12.5.5	The Pūtabhṛt priests are going to offer the Prsthya oblation.
12.5.6	Having deposited the water, the grasping of the oblations is done with the Udumbara wood having four corners.
12.5.7	The Anśu is silent throughout.
12.5.8	The Anusvan also is silent.
12.5.9	He offers the Adrya, the Anśu, the Nivapana, the Upasargasa, the Sakṛtpraharaṇa, the Grahaṇa and the Homa, and smells the gold.
12.5.10	Having raised the weapon,
12.5.11-13	If one wishes to seize the Grahas at the Sattra, the Sahasra, the Sarva-veda, the Vājapeya, the Rājasūya, the Viśvajit, and the Sarvapṛṣṭhas, then the Dakṣiṇā should be twelve pregnant heifers. One who desires to prosper should take the Adābhya Graha.
12.5.14	Having sprinkled the ladle of Nigrābha, having placed three handfuls of grass silently in it, he offers with the formula, "To Agni thee, to Gayatri metre."
12.5.15	The offering is made with the formula "Oṃ, thou art taken with a desire to offer."
12.5.16	Because there is no distinction in all cases, and because of the prohibition of the Grahas of the Sun.
12.5.17	Having said, "Anushtubh," he scatters (the Soma) with the rays. Having gone to the Ahavaniya fire, he says, "For you, O Vreshi." He offers to him, saying, "For you."
12.5.18	He places the rays in the Soma, saying, "You are the rays." He responds to each verse.
12.5.19	The Dakshina is like the rays.
12.6.3	If the Atiratra is performed after the washing of the vessels, then the Soma-sacrifice with the Asvins and the two-handled pot is performed everywhere.
12.6.4	There are three rounds with the cups. The round with four Stotras.
12.6.5	The first one is of the Hotri. The others are like the Ukthyas.
12.6.6	At the end of that, having brought the cups, the Stotra-upakramaṇa is at the junction.
12.6.7	The Hotri recites the Asvin.
12.6.8	He performs with the Sastra and the Aśvin, with all offerings.
12.6.9	The Camas is given in one place.
12.6.10	The invocations and instructions for the Soma offerings of the Aśvins are recited on the hidden day.
12.6.11	The Savaniya offering to Indra and Agni is performed daily.
12.6.12	Or the Stoma offering.
12.6.13	Or the offerings are performed in one place. Or the offerings are performed with one less.
12.6.14	The first one is twelve.
12.6.15	Or all are combined.
12.6.16	Or to Indra and Agni.
12.6.17	The remaining ones are in the northern direction.
12.6.18	The Sattra is optional.
12.6.19	The taking of the Āgrayana draught is done on the fourth and ninth days of the ten-day Sattra when the Chandaḥ is not deficient.
12.6.20	The taking is done on the sixth and seventh days of the Sukra.
12.6.21	The taking should be done before the taking of the preceding ones.
12.6.22	The taking (of the draught) is done after having made the offering at the time of sprinkling.
12.6.23	Or when the Chanda is not deficient.
12.6.24	The Atiratra sacrifice is performed on both sides.
12.6.25	The Adhvaryu, having sent the Agnihotra oblations, says, "Tomorrow I shall proclaim to Indra-Agni, to all the gods, to the Brahmanas, to the Soma drinkers, O Brahman, please speak."
12.6.26	Some say that the Prāyaniya (procession) is performed today, because of the time being appropriate.
12.6.27	Not because of the remainder of the previous (sacrifice).
12.6.28	Therefore, because of the existence of tomorrow.
12.6.29	because it is not enjoined;
12.6.30	and because of the indication of the words 'today Agni';
12.6.31	The day after the Pravargya is the day of the Soma sacrifice, because there is no time for it on the next day;
12.6.32	not because of the statement;
12.6.33	Time is indicated by the words;
13.1.1	The rites of the twelve-day Soma sacrifice are seen to be present in the Sattra, because of the similarity of their qualities;
13.1.2	Initiation takes place on the Ekastaka day for the Gavam Ayana;
13.1.3	On the full moon day of Phalguna;
13.1.4	On the Caitra full moon;
13.1.5	Or four days before the full moon.
13.1.6	After the Caitra-anantara.
13.1.7	Or all, because of the absence of any distinction.
13.1.8	Or the Maghi, because of the mention of buying.
13.1.9	Because of the belief of the people.
13.1.10	And because of the statement of purpose.
13.1.11	At the Pavamāna Stotras, they chant in unison with the Udgātṛ. "O hawk, thou art of the Gāyatrī metre; I follow thee. Do thou protect me with safety. O Suparna, thou art of Triṣṭubh metre. O Rbhū, thou art of Jagatī metre." Thus at the other two Savanas.
13.1.12	At the end of the Savanas, they mutter: "May there be splendour in me, may there be greatness in me, may fame be in me, may everything be in me."
13.1.13	Everywhere one alone.
13.1.14	From the word "yajati".
13.1.15	Not from the context.
13.2.1	The Abhijit is a six-day sacrifice, with the Agniṣṭoma at the beginning and end, and the Ukthya in between.
13.2.2	The twenty-fourth day is the Agniṣṭomam or Ukthya from the Atiratra.
13.2.3	Four Abhijit days, with the Pratiṣṭhāmāsa, and four more Abhijit days in the north.
13.2.4	Three Abhijit days in sixth month, with the Prātiṣṭhāmāsas.
13.2.5	Agniṣṭoma is the sacrifice of Ahibudha.
13.2.6	Three Svara-sāmans are Agniṣṭoma, Ukthya and Vājapeya.
13.2.7	Agniṣṭoma is Viṣuva.
13.2.8	Prātaranuvāka is at the time of the junction.
13.2.9	At sunrise.
13.2.10	As prescribed.
13.2.11	Saurya is the Upālambha.
13.2.12	The Grahagrahaṇa is "Udu tyam" etc., excluding the Bhāks.
13.2.13	The reverse of this is the Pūrvapaksa.
13.2.14	The Agnistoma in the Abhijit place is the Visvajit.
13.2.15	If it is the Sarvaprstha, then all are Atigrahya.
13.2.16	In the sixth month, three Abhiplvas, the Goayushi, the Dasara, the Mahavrata, and the Agnistoma.
13.2.17	The Prajapati is the Upaplambha.
13.2.18	He seizes the Graha with the formula, "O Indra, the lord of speech, the performer of all deeds."
13.2.19	"May my friends come to me, with their nests. May they eat near me. May my thoughts come to me. Seeing my body as dear, may the gods be pleased with me for the sake of splendour and Brahmic glory." This is the eating by the sacrificers.
13.2.20	The covering of the back is done with the arrow having a hundred threads.
13.3.6	The two Brahmacārins, the male and the female, quarrel with each other.
13.3.7	The two, the Śūdra and the Ārya, are stretched on the round skin.
13.3.8	The Ārya wins.
13.3.9	The Mārdaliya is surrounded by the right (side). A pair is produced.
13.3.10	He girds the Kṣatriya with armour on the right side of the altar.
13.3.11	He puts on the armour, saying, "These are the vital parts."
13.3.12	Others remain silent.
13.3.13	They go around the hall three times, from the south to the north, and then from the north to the south, and then they pierce the skin of the cow, which is spread out on the ground, or they pierce the skin that is hanging, without letting it fall down.
13.3.14	They go to the south with the skin, and after piercing it three times, they release it from the front.
13.3.15	They play drums at the corners of the hall.
13.3.16-19	The Āgnīdhra (priest) is on one side, the pit is on the other side, and the skin is tied with a rope. They strike with the skin tied with a rope.
13.3.20	"Haimā, haimā" is said.
13.3.21	The cows, the fragrant ones, drink this honey. The cows, the sweet-smelling ones, drink this nectar. The cows, mothers of ghee, drink this nectar; may they be more abundant here, this nectar. We shall cross the river, this nectar. May it be like a bridge to cross, this nectar. The rivers Ganga and Sarasvati do not drink the water of the Mandara river. They drink the river Sarasvati. They have been drawn towards the east, this nectar. Having swallowed all the poison, this nectar. "Honey" is drawn with the Kuśa grass, as this is nectar.
13.3.22	The Apasavya and Pradakshina are performed after the Stotras.
13.3.23	Three times or three times.
13.4.1	After sprinkling, they place the Marjalis with full (water).
13.4.2	When the Abhigra and others are being praised, everything is done.
13.4.3	The Atiratra is tomorrow.
13.4.4	The three Anubandhya (sacrifices) are the Maitravaruni, the Vaishvadev, and the Barhaspatya.
13.4.5	In the case of the Sattras of a year or less, in the case of those which are not Saravasva, and in the case of the ones with a thousand Dakshina.
13.4.6	At the end of the Homa offerings of Anubandhya, the shaving of all the hair on the head and beard is done on the southern side of the altar.
13.4.7	And also for the wives.
13.4.8	The Udasini should be performed in three ways everywhere.
13.4.9	The Jyotiṣṭoma sacrifice, the Agniṣṭoma sacrifice and the Prsthashāmanīya sacrifice are performed after the Avabhṛtha sacrifice. The Dakṣiṇā is a thousand.
13.4.11	Some say that it is one day.
13.4.12	It is a part of the Sattra because of the context.
13.4.13	And because of the absence of the mention of the result.
13.4.14	There is no result because of the principle.
13.4.15	And because time is the main factor.
13.4.15	Having performed the sacrifice with a thousand as Dakṣiṇā, having divided the three nights, he makes the Rohini star which has been eclipsed and is not visible, to be seen.
13.4.16	Or in three forms.
13.4.17	On the first day, he should make the first one visible, or at the end, later.
13.4.18	Between the Havirdhāna and Agnidhras, he makes her smell the Drona pot, saying "Smell".
13.4.19	"O Indra, O Rantu," the sacrificer mutters in her right ear.
13.4.20	"I have told," at the end.
13.4.21	Having made the tenth in all the nine directions, he should give to the Hotṛ.
13.4.22	Having made two Unnetṛs, he does not announce.
13.4.23	He should give Dakṣiṇā in ten different ways.
13.4.24	He should offer it at the end of the Anūbandhya and Avapāha offerings.
13.4.25	Or at the Upavasatha.
13.4.26	One who desires something else.
13.4.27	One should go out on the day of the lunar eclipse.
13.4.28	And also the taking of the Vasatīvarī water.
13.4.29	Some do it at midday.
14.1.1	The Vājapeya sacrifice is performed in the autumn for a non-Kṣatriya.
14.1.2	One performs the sacrifice with the Brihaspati Savana in both the bright fortnights.
14.1.3	Or with the Jyotiṣṭoma.
14.1.4	Twelve or
14.1.5	The Jyotiṣṭoma is performed first, the other sacrifices are performed in succession.
14.1.6	The other sacrifices are performed successively in the reverse order.
14.1.7	All the sacrifices are performed in the reverse order, beginning with the Rajasuya Soma.
14.1.8	All the Soma sacrifices are performed in reverse order, beginning from the Rajasuya.
14.1.9	The Parīyajñas are performed with different consecrations due to the difference in time.
14.1.10	There are seventeen consecrations.
14.1.11	One offers with the verse, "O god Savitar..." at the time of offering and performing.
14.1.12	At the beginning of the single initiation, there is only one rite.
14.1.13	At the beginning of the purchase, the offering, the Pravargya, the Utsada, the Agniprāṇayana, the Havirdhāna, the Agnīṣomā, the Sadāgnīdhra, the Dhishṇya, the Nivapana, the Vasatīvarī, the Grahaṇa, and the Pariharaṇa, there is a different rite before the Sutyā.
14.1.14	From the Soma being purchased, the Dakṣiṇā is mixed with lead and sprinkled. The purchase is from Keshava.
14.1.15	or of the substances.
14.1.16	When the sacrificial post is being erected, the carrying of the post.
14.1.17	Having brought it in from the south, having cooked it in the southern fire, he makes the Sura at the end of the night.
14.1.18	Having made it sour, he makes another one in the place of the Nārāśaṃsa.
14.1.19	He makes a joint on the south.
