1.1.1	Now, we shall explain the Darsha-Pūrnamāsa sacrifices.
11.12.5-6	"He sprinkles the sacrificial grass with the formula, "I sprinkle the Vaisnava ones, the destroyers of Rakshas, the destroyers of Valagas." Having sprinkled the sacrificial grass with formulas beginning with "I sprinkle"," he pours the remnants of the sprinkling water into a pit with the formula, "Thou art barley." Having spread the sacrificial grass with "I spread the sacrificial grass,", he offers with the formula, "I offer with clarified butter." He does this with all (the offerings).
11.13.4	Then he lays down the two Uparavas (bricks) with the formulas, "I lay down the Raksha-destroying, the Vala-destroying, belonging to Vishnu."
11.13.5	He lays down two on the southern side and two on the northern side.
11.13.6	The two bricks are joined together in front, leaving a space of two fingers at the back.
11.13.7	Then he sprinkles it with the eastern formulas. Having sprinkled it, he says, "I have sprinkled it." Having sprinkled it with the dust of the Uparava grass, he says, “I have sprinkled it.” Having spread it with the sacrificial grass, he recites the supreme formula.
11.13.8	In front of the Havirdhāna shed, he makes a square mound of dust from the Uparava plants. It is suitable for the Soma vessels.
11.13.9	He moves forward and arranges.
11.13.10	The Adhvaryu and the Drishikava should move between the Cātvāla and the mound.
11.13.11	Some say that the Drishikavas should move in all directions.
11.14.1	He spreads the sacrificial grass from the Cātvā̄la.
11.14.2	Having moved forward between the Agnidhra and the Agnidhra mound, having arranged the altar on the northern side of the altar,
11.14.3	Having placed the Sadasyas and the others in the eastern half of the hall, he makes them move towards the front.
11.14.4	In the Prishthya hall, the Hotri's hall is on the right, the Prashasthri's hall on the left.
11.14.5	The other halls are on the left, the Hotri hall on the right. The Brahmanachchasa, Potri, Neishi and Acchhavasaka halls are on the north.
11.14.6	Having sprinkled the outer part of the Sadas, having sprinkled the Marjālīya (grass) at the end of the southern altar, having sprinkled the ground towards the south, having made it even with the Agnidhriya (fire-chamber),
11.14.7	"He says, "You are the ornament.", eight times for each verse.
11.14.8	Some prescribe these same offerings and sprinkling.
11.14.9	O Lord of the Path, I bow to you. May you not harm me. Thus, I am approaching you.
11.14.10	"Thou art the king, the shining one," he says to the Ahavaniya; "Thou art the assembly, the purifying one," to the Bahispavamana; "Thou art shining, the bright one," to the Catvala; "Thou art not rubbed, the carrier of oblations," to the Shamitra; "Thou art gathered, the bearer of all," to the Utkara; "Thou art Rtadhama, the golden light," to the Audumbari.
11.15.1	You are the light of Brahman, the abode of good. You are the member of the Brahman, the member of the Malimluca. You are the ocean, the bearer of all. You are the assembly hall, the bearer of the world. You are the goat, the one-footed. You are the serpent, the bearer of knowledge. You are the offering, the bearer of offerings. You are the Agni, the bearer of Agni. You are the life, the great. May I obtain that, may it protect me. In its name I shall strike him who hates us and whom we hate. You are the universal life, the Vamadeva. May I obtain it, may it protect. In its name, I shall strike him, etc. You are the lord of life, the Rathamantera. May I obtain, etc. In its name... Thus with each verse, the Havirdhana and Agnidhra seats are mentioned.
11.15.2	"With the Raudra army" is to be added everywhere.
11.15.3	"He orders, 'Spread the sacrificial grass, give the vow.'
11.15.4	He should give this order while spreading the grass in the east.
11.15.5	While spreading here, one should not spread the grass beyond the northern end of the altar.
11.15.6	Here, one gives the vow to the sacrificer in one form.
11.15.7	Here the Vājasaneyins mention the half-vow, the half between the Upasads of the Pravargya and the final one.
11.16.1	He begins the procedure of the animal-sacrifice to Agni-Soma.
11.16.2	Its procedure is like that of the animal-offering to Agni-Soma in the Nirūḍha-sacrifice.
11.16.3	The Hotṛ and the Pāśvitṛ are not present among the Angas.
11.16.4	The Ātithya-barhis silently puts on the garment.
11.16.5	and the enclosing sticks are of wood.
11.16.6	At the time of preparing the oblation-vessel, he places the ladle for sprinkling on the seventh (place).
11.16.7	Its form is like that of the Juhu.
11.16.8	At the moment of taking up the clarified butter, having silently taken four spoonfuls from the sprinkling ladle, he takes up the clarified butter of wood.
11.16.9	The Pratiprasthātṛ takes the wife to the Udanā-place with the formula, "May the wife of Brahman go."
11.16.10	Then the wife sits down at the door of the hall with the formula, “I am Anukāminī.”
11.16.11	Brahman makes the king sit down.
11.16.12	He instructs, "Call those who have taken the vow."
11.16.13	The ministers of the sacrificer are called.
11.16.14	The sacrificer follows the Adhvaryu, the wife follows the sacrificer, the sons and brothers follow the wife.
11.16.15	Having covered the priests with a new garment, having placed the ladle and the sacrificial grass at the end of the garment, he offers the Vaiśarjana offerings.
11.16.16	"With the verses, "O Soma, thou art the nourisher of the bodies, thou art the giver of strength, thou art the lord of the world." He offers half of the oblations in the Garhapatya fire.
11.16.17	They give Soma.
11.17.1	They bring the wife to the Dronakalaśa, they make the Anāsas flow, they bring the sheep to the other Gārhapatya, they anoint the Ajya, the kindling wood, the sacrificial grass, and the sprinkling water. They follow the procedure.
11.17.2	Having kindled the fire at the mouth of the house with kindling woods, having offered the oblations with sand, he directs the Āgnīṣomāyā to recite the Anuvāka. Or he directs the Āgneyāyā to recite.
11.17.3	When the first (verse) is recited thrice, they proceed towards the east, saying, "May this Agni grant us protection." They are either Agni-first or Soma-first.
11.17.4	Having established the fire in the Agnidhra chamber, he offers half of the remaining clarified butter, saying, "O Agni, lead us."
11.17.5	The Agnidhra places the Vayu-offerings on the stones and the Dronakalaśa.
11.17.6	Having gone around the Āgnīdhriya fire to the north and having gone to the Ahavanīya fire, he offers the entire remnant of clarified butter with the verse, "O Vishnu, do thou advance."
11.17.7	Having offered, the ministers return by the right, going back the way they came.
11.17.8	With the verse, "Soma, the knower of the path, ..." he introduces the king into the Havirdhāna shed through the rear door and the former queen who has lost her glory through the front door.
11.17.9	The sacrificer enters through the front door.
11.17.10	At the southern Havirdhāna, the covering of black antelope skin is spread as before, and the king is seated.
11.18.1	Then the sacrificer offers him to the deities, saying, "This Soma belongs to you, O divine Savitar."
11.18.2	Having recited the formula, "O Soma, you have approached the gods; I, a human being, have approached men," he turns to the right and makes the gesture of salutation towards the east with the formula, "Salutations to the gods." With the formula, "Svāhā to the fathers," he makes the gesture of salutations towards the south. Having gone out with the formula, "I am free from Varuna's noose," he looks towards the east with "May I be seen in heaven." Looking towards the east, he looks at the entire dwelling place with "May I look towards heaven." He says, "The fire of all beings is light." Towards the Āhavanīya.
11.18.3	Here the sacrificer releases the intermediate consecration.
11.18.4	"He stands by the Ahavaniya fire with the words, "O Agni, lord of vows, you are the lord of vows." He places the kindling wood on it with the same formula. This is according to the Vājasaneyins.
11.18.5	He loosens the girdle and pulls the fist.
11.18.6	Here some prescribe the giving of the staff."
11.18.7	"Svāhā to the sacrifice with the mind, svāhā to heaven and earth, svāhā from the sky, svāhā the sacrifice from the wind." Thus he releases the handfuls.
11.18.8	"Svāhā to speech, svāhā in the wind." Thus releases speech.
11.18.9	The vow is concluded.
11.18.10	On the Sutyah day, he consumes the Soma remnants, saying, "Soma, the remnants of the oblations."
11.18.11	To the north of the Ahavaniya fire, he places the kindling wood and the sacrificial grass with their tips towards the east, the kindling wood on the right and the sacrificial grass on the left.
11.19.1	He performs the rites beginning with the sprinkling of the Prokṣaṇī water.
11.19.2	At the time of spreading, he spreads the sacrificial grass on top of the northern altar.
11.19.3	The spreading mantra is repeated.
11.19.4	The Hotr, having performed the rites of the oblations of ghee, etc., and having taken up the rites of the Pasupata sacrifice, proceeds to the Pravargya rite.
11.19.5	Having appointed the divine and human Hotras, he appoints the Sāman priests with the Rtupraisa and other rites.
11.19.6	"He appoints Indra as the Hotr, saying, "Indra, the Hotr, has come to heaven and earth."
11.19.7	Having spread grass on the Asfya, he spreads it on the Uttaravedi.
11.19.8	Agni from the Agnidhra, the Asvins from the Adhvaryu, the Adhvaryus from the Prastotar, Mitra-Varuna from the Prastotra, Indra from the Brahman, the Brahman from the Brahmasah, the Maruts from the Potar, the Potar from the Neshtar, the Neshtar from the Garhapatya, the Garhapaty from the Gni, the Gni from the Yajamana. The Garhapatya did not burn the two of them, for they were not united. The two of them, united, were united with a hundred winters and two gifts. The Yajamana.
11.19.9	This one, the sacrificer, is pouring out for men.
11.19.10	Some recite the Varana in the Savaniya (cup). There one should say, "The sacrificer is pouring out."
11.19.11	Everywhere the name is taken in a low voice. "For men" is recited loudly.
11.20.1	He offers the Pravrit and Pravritahomas with the formulas, "May I be acceptable to speech. May I accomplish the Stoma with the Rc."
11.20.2	The Prajāpatis, having gone to the heaven by means of the Prājās, are worshipped by means of the Anūyājas.
11.20.3	Having offered the Vapa and having sprinkled, he directs (the Adhvaryu) to call the Pitaputriya Subrahmanya.
11.20.4	From now onwards the Subrahmanya is Pitaputriya.
11.20.5	When the water-carriers are called, he stands facing them and receives the water from the pitchers as they carry it.
11.20.6	He should not cross over the water-carrriers.
11.20.7	He receives the water at the junction of shade and sunlight.
11.20.8	If he does not find shade, he should receive the water in the shade of himself, a tree, or a bank.
11.20.9	Taking them in the manner of the Pratipa, he takes them with the verse, "These waters are full of oblations."
11.20.10	If they were not taken and were to be spilled, one should offer five oblations to Surya with the verse, “Svāhā to the golden heat.” Having given a boon, one should take them while holding a torch above, placing gold.
11.20.11	One should take them from the pots of a brahmin who performs many sacrifices.
11.20.12	It is understood that one who sacrifices to Soma becomes a great sacrificer.
11.20.13	He places the Svastivāri-water on the eastern side of the fire-chamber with the verse, "I place you in the seat of Agni, the lord of the house, for the sake of happiness." At all the places where the Svastivari-water is placed, the sacrificer recites the verse, "For happiness, for those who are happy, may it bestow happiness on me." He performs the rites of placing the Soma-cup and others for the Pasupurodāsa offering to Agni-Soma.
11.20.14	The sacrificer does not eat of the Agniṣṭoma. He may eat.
11.20.15	He does not offer the Svara, nor does he remove the heart-spike. So also in the Savanīya.
11.20.16	The Agniṣṭoma ends with the Patnīsaṃyājas.
11.21.1	At night, the sacrificer and his wife sit down within the altar, and the Vasatīvarī waters are taken around.
11.21.2	One should not take around the Vasatīvari waters for one who is not initiated.
11.21.3	Having placed it on the left shoulder, having gone around along the right, having taken it out through the eastern door, having gone to the southern part of the altar, having gone around the Marjālīya mound, he places it on the southern part of northern altar-line, saying, "This is your share, O Indra and Agni."
11.21.4	Having placed it on the right shoulder, having gone back by the same route by which he had gone, having taken out the door, having gone to the north of the altar, having gone around the Agni-dhri fire-altar, having gone to its north, having placed it on the northern altar-line, he says, "Thou art the share of Mitra-Varuna."
11.21.5	Having placed it on the left shoulder, he goes back and places it on the southern side of the Agnidhra-throne with the formula, "Thou art the share of all gods."
11.21.6	He recites the formula, "The sacrifice is awake."
11.21.7	Here the Pratiprasthātṛ milks the evening milking for the Payasyā.
11.21.8	The Adhvaryu instructs, "Prepare the curd for the one who is the vow-keeper of the sacrificer, the curd for the wife, the curd for one who is the Soma-drinker, the curd for him who is the Soma drinker. Prepare the curd for Maitrāvaruṇa, which is heated and not coagulated, and the curd for Sūta, which is heated." "O Subrahmaṇya, call out to Subrahmaṇyā. The member should not come forward."
11.21.9	They do it like a command.
11.21.10	Here, the Adhvaryu ties the sacrificial grass and sacrificial grass-blades for the Savanīya (Soma-drains) at the Savanīyas.
11.21.11	Or the sacrificial grass-blades alone.
11.21.12	The priests keep awake the sacrificer in the Agnidhra shed or in the Havirdhana shed, and the wife in the front-pillar.
11.21.13	The priests spend the night in the Agnidhara shed.
11.21.14	The sacrificer protects the king. He protects.
12.1.1	At midnight, having known, he touches the Agnidhra with the verse, "O Agni, lead us to the great night."
12.1.2	"This is Vishnu's stride," he touches the Havirdhana. "O Agni, you purify the life-forces," he touches the ladles. "O Vayu, you are adorned with purity," he touches the Vayu offerings. "Those who kindle Agni," he touches the assembly hall.
12.1.3	Prajapati, blind with anger, slept. The Agnidhra offers the Yajnatanu with thirty-three (oblations). Having offered with the first mantra, he offers the subsequent ones with the subsequent mantras.
12.1.4	They are of the size of a span, pointing upwards, sprinkled above, inclined in the middle, and facing the wind.
12.1.5	Those trees which are not mentioned in the Veda and are of the same kind as the Vaikankata trees, or those trees which are fit for sacrifice and bear fruits.
12.1.6	"He places the vessels on the axle, saying, 'Who yokes you? May he who yokes you yoke you.' Those mantras which are not mentioned.
12.1.7	"The deity Agni," on the right shoulder, the Upāṁshu-vessel.
12.1.8	"The god Soma," on the left shoulder, the Antaryāma-vessel.
12.1.9	"Thou art great," (thus) he touches the cup of the Upāṁsusavana with the two cups, facing the south, between the Gravaṇa and the Upāṁsusa.
12.1.10	The two-deity cups are placed on the other side of the Pratyaka.
12.1.11	"Indra is the deity," (thus) the garland of the Indra-Vayu cup. "Brihaspati is the deity," the Ajagava of the Maitravaruna. "The Asvins are the deities," the garland of the Asvin cup.
12.1.12	Those two are placed on the right and left sides of the Pravaja, in the vessels of Sukra and Manthin, with the Sun as the deity. The right one is made of Bilva wood, and the left one of Vaikankata wood, with the Moon as the deity.
12.1.13	Those two are placed on both sides of the Pravahuk, in the vessels for the seasons, made of ashvattha wood, with the horse's tail and the horse's hoof as the covering, facing both ways, the right one for the Adhvaryu and the left one for the Pratiprasthātṛ.
12.1.14	The vessel for the Agaryana oblation is placed on the right thigh with the deity Visve Devas. The vessel for the Ukthya oblation and the Ukthya vessel are placed on the left thigh with the deity Indra.
12.1.15	Three Atigrahya vessels are placed between the two vessels, namely, the Agniya, the Indraya, and the Surya.
12.2.1	The vessel for the Dadhigraha oblation is placed in the northern shoulder, made of Udumbara wood with four corners.
12.2.2	The same is the case with the two Soma-cups.
12.2.3	If one were to take up the Soma-cup, he should do so in this manner.
12.2.4	In front of the Havirdhana shed, one should place the Adityasthali and the Adityapaatra. To the north of these,
12.2.5	In front of Uttaravihara, one should place a pillar with the inscription "Pritbvi devata". To the north of this, one should place an unbaked Dhruvasthali.
12.2.6	If the sacrificial ladle is sixteen-fold, the sacrificial post is made of Khadira wood and has four corners, then the ladle is sixteen-folds.
12.2.7	In the middle, the ladle floats like a ladle.
12.2.8	According to space, there are ten cups made of Nyagrodha wood, Rauhitika wood, Vatsaruma wood, or Atasaruka wood.
12.2.9	There are ten cups for the Adhvaryu.
12.2.10-11	I unite thee with the earth and light. Under the southern Havirdhana, behind the axle, the Dronakalaśa with the filter. The assignment of the trees is done with the Vāyu offerings.
12.2.12	I yoke the wind with the atmosphere, with thee. On the upper part of the northern Havirdhana shed he places the Nidhavana vessel. I yoke speech with the sun. On the Pradhara shed he places the Putabhrita vessel.
12.2.13	Under this Havirdhana shed, behind the axle, he places three, five, seven, nine or eleven vessels of one kind.
12.2.14	The skin of the animal on which the sacrifice is performed is to be spread out on the ground, with its hairy side upwards, and with its four corners cut off, and sprinkled with water.
12.2.15	Having sprinkled the skin of the Adhiṣavaṇa-cart with the formula, "I sprinkle the Rākṣasa-destroying, Vala-destroying, Viṣṇu-related (cart)," he sprinkles the stones with the formula, “I sprinkle the Rāksasa-destroying Vala-destroyer, Viṣṇus." Having spread the skin of the upper part of the Adhiśavaṇa-cart towards the north with the formula, "May the Rākṣasadestroying, Vala destroying, Viṣṇudestroying (cart) be spread for me," he places the four stones of the size of a span, with their upper ends upwards, in the shape of a hammer, and the fifth one in the middle.
12.2.16	They face him.
12.3.1	The faces are the most prominent.
12.3.2	The waters are the womb of truth, the guardians of the world, the guests of the mountains, the corners of the sky, the yoked ones, the bearers, the ones who carry to heaven, the ones who bring the sacrificer. Having recited the Sannāni mantras, he yokes the Savanīya vessels as in the Agniṣṭoma. He takes the clarified butter as in the Agnișṭoma.
12.3.3	Now some (performers) take the clarified butter for the Agniṣṭoma and Savaniya offerings on the eastern part of the fire-altar, on the northern part of the Savaniya offering and on the northern part for the Anubandhya offering.
12.3.4	Some take the clarified butter on the northern part, on the northern side of the Savaniya and Anubandhya offerings.
12.3.5	If the wood is to be piled up on that day, he should sprinkle it along with the embers.
12.3.6	The pouring of the spoons is common.
12.3.7	He recites the verse, "I yoke the three rays of the sun, they are the spoons," while pouring the spoons.
12.3.8	Some prescribe the placing of the Soma-cups here.
12.3.9	One should offer before the morning recitation with the verse, "Protect me from the curse of anyone."
12.3.10	The five Hotr priests and the Agnidh priest for one who desires heaven.
12.3.11	Some recite it as in the Nitya-homa.
12.3.12	He offers oblations of ghee, oblations of animals, and oblations of rice cakes in the middle of the fire, and oblations to Soma on both sides.
12.3.13	Here he places the king in the middle of a pit, saying, "To your heart, O Soma, king!" with these two verses.
12.3.14	The Prastôttr recites the Prastôttr-sâman at the morning pressing, after the recitation of the morning Sâman.
12.3.15	The Adhvaryu says, "O Brahman, recite the morning Sâmans to the morning deities; restrain speech; the Prastôttrs are reciting; the Savanîya oblations are being poured out; do thou call out to the Subrahmaṇya and the Subrahmaṇaṇyā."
12.3.16	Some recite, "Do thou call out to Subrahmaṇyā and Subrahmaṇyâ."
12.3.17	The Adhvaryu says to the Hotṛ, "I receive your speech with my mind."
12.3.18	Here the Pratiprasthātṛ performs the rites of washing the hands and so on for the Savanīya vessels.
12.3.19	He arranges the vessels according to their purpose.
12.4.1	Two vessels for roasting, eight vessels for Pūroḍāśa, eleven for the Madhyandina Savana, twelve for the third Savana.
12.4.2-5	All the offerings to Indra are made in eleven potsherds. Some prescribe the offering of the Savaniya cake at the morning milking. The vessels for the morning milking. The Pratiprasthātṛ pours out the Savanīya oblations on the eastern side of the fire. All of them are barley grains, except those for the Laḍḍus.
12.4.6	To Indra, the giver of wealth, cooked rice; to Indra, the giver, the giver of food, the cake; to Sarasvati, the giver of prosperity, the offering of parivap; to Indra, a cake; to Mitra and Varuna, milk-rice.
12.4.7	When the oblations have been placed, he should offer this, the beginning of the rites of the gods.
12.4.8	At the time of carrying away, having removed the grains for the oblations, he carries away the others.
12.4.9	At the time of placing the skull, he places rice for cooking and rice for roasting in the skull with the first skull mantra.
12.4.10	At the time of placing, he cooks rice for cooking and cooks rice for roasting with the placing mantra.
12.4.11	Having placed the sacrificial cake, he prepares the milk-rice like the Amikṣā.
12.4.12	At the time of the Udvāsana, having mixed the Dhānas with the Vibhāga mantra, he mixes half with ghee and half with flour. He covers the barley with flour.
12.4.13	They call the mixture of curd and barley as Karamba and the parched barley as Parivāpa.
12.4.14	He removes the husks from the barley with his nails.
12.4.15	He makes the nails and the pestle have the characteristics of a pestle.
12.5.1	Where he knows that the dawn was called Rusat, there he offers the Pracaraniya oblation with the verse, "May Agni listen to my invocation with the kindling wood."
12.5.2	Having taken up another four spoonfuls, he instructs (the Maitrāvaruṇa and the Brāhmaṇācchaṃsin) to run, saying, "Run, O Maitrāvaruṇa, O Brāhmaṇacchaṃsin, run together, O Adravik, run, O Adravikin, O Nestr, O Udanin, O Unnetr, with the Hotr's goblet and the Vasatīvari waters, run towards the Cātvāla."
12.5.3	"Come, O rising one!" (thus) the Adhvaryu makes the sacrificer lead the wife. "Come, O arising one!" (thus he makes her) carry the ladle and the pot.
12.5.4	They proceed to the sacred place.
12.5.5	The Adhvaryu takes up the water when the Hotṛ recites the Prātaranuvāka at a place where it can be heard.
12.5.6	If he does not hear, he becomes deaf and his speech is cut off.
12.5.7	If they are far away, he should take them after having brought them back.
12.5.8	He offers the grass, covering it with the words "The divine waters."
12.5.9	If there is grass before that, he should offer on that.
12.5.10	Having sprinkled the oblation with Darbha grass, he takes it up with the formula, "Thou art the ocean, thou art the inexhaustible. Thou art taken up for the Vasus, Rudras and Adityas."
12.5.11	He takes it up in the Maitravaruna cup with the formula, “I take up thy Soma juice, the vital essence, for the Vasus.”
12.5.12	The wife takes up the Panni-grass with the formula, standing towards the east, “For the Vasus, the Rudras and the Adityas.”
12.5.13	"Come, O Neṣṭrī, lead the wife forward!" (says the Adhvaryu). "Come, O Udeṣṭrī, bring the wife forward!"
12.5.14	The wife, with the Panniyajani-vessel, sits down behind the Neṣṭriya, facing towards the east, with the words, "Standing towards the east, for the Vasus, Rudras and Adityas."
12.5.15	The wives of the priests sit down in the same way as the Adhvaryus.
12.6.1	Having sprinkled the Vasatīvarī waters with the Hotr's goblet, he places them on the Catvāla. Having touched the Hotr' s goblet and the Maitrāvaruṇa's goblet, the Vasatīvari waters are taken away.
12.6.2	"Having understood that they are moving together," he takes the Hotr' goblet to the Maitrāvaruṇacup, and the Maitrāvaruna's goblet to the Hotr' cup. This is the opposite.
12.6.3	And having placed the two Prācaṇyā-spoons above the Ātala-spoon, he anoints them with the formula, "May Varuna, Indra, Pūṣan, Dhātar, Brihaspati, Tvaṣṭr, Viṣṇu, the protector of progeny, bestow wealth on the sacrificer." They should be arranged in the order of their names.
12.6.4	The Hotṛ asks the Adhvaryu, "Are you free from enmity?"
12.6.5	Having replied, "We are free from enmity," he offers the Kratukaraṇa (oblation) from the remaining of the Pracaraṇa, with the verse, "O Agni, you who are free from enmity among men."
12.6.6	If it is not available, then with four spoonfuls.
12.6.7	If it is said that one should offer in the Agniṣṭoma,
12.6.8	Now, if one performs the Agniṣṭoma, if one performs an Ukthya, if one performs a Sodashin, if one performs Vājapeya, if one perform an Atiratra, then one recites this mantra and proceeds with effort.
12.6.9	With the other (verse) he makes the oblations enter the Havirdhāna; with the former (verse) the one who has lost his glory.
12.6.10	The sacrificer enters with the former (verses).
12.6.11	On the right side of the Havirdhānā, he places the Pracarani.
12.7.1	If one desires that he should be a eunuch, one should touch him with the Pracarani.
12.7.2	Under this very Havirdhāna, in front of the axle, the Maitrāvaruṇa goblet, on the northern axle, the Purāścara Hotr goblet, under the northern Havirdhāna in front of the Purāścarya Hotr goblet, the Vasatīvari goblets, behind the axle, the Ekadhana goblets.
12.7.3	This is the opposite.
12.7.4	The sacrificer approaches the waters, he attains fame, it is known.
12.7.5	Here one performs with the Dadhigraha.
12.7.6	One takes it with the Audumbara.
12.7.7	"One takes it with, 'Thou art taken with a motive; for Prajapati thee, shining, I take thee, shining.' Having taken the curd, one carries it with, 'For Indra, for the hater of mind.' One offers it with, 'To thy breath, to thy out-breath.'
12.7.8	The Dadhigraha is obligatory and optional. The other two are optional.
12.7.9	The taking of the ladleful of clarified butter is prescribed for one who desires brilliance.
12.7.10	If he were to take Soma, having placed the king who has been brought in one draught, on the Uparī, and having sprinkled him with the Vasatīvarī waters, having recited the formula, "May your mind be increased, well-born," and having placed three kindling woods of the sun, the gods made them for the immortal ones, they placed one of them in the mortal world, the two went to the world of the mortals. He sprinkles with the Soma-pressing formulas.
12.7.11	He recites the first half of the verse "Ā māskān" with the first half of "Aṃśuṃ" and the verse "Drapsas ca skandate" with the drops.
12.7.12	He recites "Hiranyapāṇi" while sprinkling, "Gṛhṇāti" while taking up, and "Juhoti" while offering. This is the extreme limit.
12.7.13	"Tisro yahavyasya" is the exception.
12.7.14	Having offered it, he eats facing away from the assembly, reciting "Bhakṣehi" according to the appropriate form.
12.7.15	Or, since it is a modification of the taking of curd, it is not entitled to the Soma rites.
12.7.16	Those rites which are not connected with the Soma are the Soma rites. Here is the text:
12.7.17	He takes the first portion of the Soma, either the Anśu or the Ādābhya.
12.7.18	He takes the Sukra with the Sukra, saying, "I take the Sukra with Sukra."
12.7.19	He takes three portions of the Soma that has been deposited for the king.
12.8.1-2	The Vasus should carry you with the Gayatri metre. With these mantras he carries him four times, five times or seven times. Having divided them thus, he says,
12.8.3	Having taken up the Kakuhā form with the verse, "The fierce ones have been placed in this (Soma)," he offers with the verse, "O Soma, thy name is Adābhya, thou art awake."
12.8.4	Having placed the known portions of the Soma in the pressing stones, he sprinkles each portion one by one at the Maha-Abhiṣava rites with the verses, "O divine Soma, thou art the Gayatri metre."
12.8.5	Taking the Anśu, he takes the king of Soma which has been brought to him by one person, and having placed it on the raised platform, having sprinkled it once, and singing with the mind the Vamadevya hymn, he takes the Anāvan Soma. "The Vamadevya verse is: "By what splendour of yours did we become bright?"
12.8.6	It should be taken with the verse facing the east or with the verse facing west or with the verse "Prāṇāpāna, Prāṇāpāni, Prāṇapāni, Prānāpāni."
12.8.7	If the wind should blow us away, let our life-breath return to us." The Adhvaryu and the sacrificer should give away a hundred pieces of gold.
12.8.8	Then the Pratiprasthātṛ, having touched them with gold, sprinkles them with water.
12.8.9	The Adhvaryu, having touched the water, offers with the verse, "May Indra and Agni grant me lustre." He offers with the verse beginning with "If he does not know" and ending with "If he knows not," which is not specified and is not related to Prajapati. He offers with the verses for inhalation and exhalation.
12.8.10	If one is unable to grasp or offer, one should offer or grasp after giving a boon.
12.8.11	The two shares are the first-born calves, and the cow with the calf, and the house with the door-sill. Thus one should give to the Adabhya.
12.8.12	One who is desirous of prosperity should take them from one who has an enemy.
12.8.13	They should not be taken everywhere. At the Vājapeya, Rājasūya, Sattra, or Sarva-veda-saṃhitā.
12.8.14	They should be taken from one who is dear to him and well-known.
12.9.1	On the northern Vartani, having filled the Hotr's cup with the Vasatavari waters, he makes the sacrificer recite the Nigraha verses, "Nigraha, O Devashruta."
12.9.2	Taking up the Grava water for Upamshu-savan, he recites, "By the impulse of the god Savitar," and then takes it up, reciting, "Grava, the performer of sacrifice." Taking up the Agrayaṇa, he releases speech.
12.9.3	Then having placed it on the upper (part of the altar), he measures it with the rays, as in the case of purchase.
12.9.4	"With the formula, "For Indra, the slayer of Vrtra, thee!" he measures it five times with each formula."
12.9.5	He measures it five times reciting the formula and five times silently.
12.9.6	He collects the rays.
12.9.7	He assigns a larger quantity of Soma for the morning pressing and a smaller quantity for the midday pressing.
12.9.8	Having put on the Upavasana garment, having placed the king of Soma on the Uttaravedi, having placed the Soma on the Hotr's goblet, having placed the shoots in it, having placed the stone on the Upahamsusavana, having sprinkled it three times clockwise, he goes to the Nigraha, towards the east, towards the west, towards the north, towards the south.
12.9.9	The wife whom one desires, one should mentally contemplate her, saying, "O Amba, be mine." She indeed desires him.
12.9.10	"O you with white teeth, O you who conquer Vritra," having approached with one part of them, having taken six moist and joined strands of hair from the king who has been touched, and having placed them on the skin, one recites the mantra, "The light that is yours in heaven..."
12.10.1	The arrow-head is called Dhishana.
12.10.2	"May your mind grow with the well-born one." Having thus invoked the king, he takes up the stone with the formula, "Do not be afraid, do not be frightened." "We have been sent by Indra. May you be near Vayu. May Mitra be your share. May Varuna be your share. Soma, the king, has been struck." He sprinkles the grass with the formula.
12.10.3	Or if it were grass, wood, or a root, he should strike it.
12.10.4	He sprinkles eight times at the beginning.
12.10.5	Then the Pratiprasthātṛ, holding the Upāṃśu vessel, places two portions above the untasted portions.
12.10.6	The Adhvaryu takes it in a cup, reciting, "O Vāji, do thou flow for Vācaspati."
12.10.7	The strainer and the vessel are not available.
12.10.8	This is the first permutation. The second and the third are also like this.
12.10.9	One may sprinkle the second time eleven times and the third time twelve times.
12.10.10	The Nigraha and Upayana are performed twice at the beginning and at the end.
12.10.11	The Hotr takes up the Ansiyas in the last Pravara.
12.10.12	The Pratiprasthata puts two Ansiyas each in the remaining ones.
12.10.13	Having taken up the cup, the Adhvaryu says, "Thou art taken up for the heaven." He goes around the Hotar by the right.
12.10.14	Or the Hotṛ may offer it.
12.10.15	Standing to the south, having moved along the southern joint of the enclosing sticks, he offers with the formula, "Thou art the mind, thou art the mind."
12.11.1	Having offered to the south, facing east, a long, straight and continuous oblation with the formula, “Thou art Svāhā, thou art Svāhā to the rising sun," he smears the paste on the middle enclosing stick with the formula, "For the gods who are the rays, for thee."
12.11.2	He should offer to the one whom he hates.
12.11.3	If one desires, "May it rain and be fertile," one should rub inside the vessel and inside the boundary, rubbing downwards with the hand.
12.11.4	If one wishes, "May it not rain," one should rub outside the vessel and above the boundary, rubbing upwards with the outstretched hand.
12.11.5-6	Having poured out the entire contents of the Āgrayana vessel, he should place the empty vessel in the Āyatanā with the formula, "This is your womb. For Prāṇa." Having placed the Anśu in it, he should sprinkle it at the third pressing.
12.11.7	Having taken up the Upāṁśu, he should place it on the breath of the deceased with the verse, "I place thee on the breath of deceased." Having taken it up with the verse, “With the impulse of the divine Savitr,” he should cover it with his hand with the verse, "I place thee on thy breath of the deceased." He should say, "I shall offer thee now."
12.11.8	If it is far away, he should stand near it.
12.11.9	One who is pleased, drunk with wine, and standing crookedly, should say, "Let there be a lie." Having offered to the breath, one should offer, saying, "I offer you to the breath."
