1.1.1.1	The Upacharavidhi is the Upacharavidhana.
5.1.5.74	One desiring cattle should offer a cake baked on eight potsherds to Soma and Pūṣan, half-ground.
5.1.5.75	The two verses beginning with "Soma and Pūṣa" are to be recited.
5.1.5.76	"Do thou, O Brahman, grant us wealth" and "Do thou, O Soma, grant us wealth", these two verses are to be chanted together at the offering of oblations.
5.1.5.77	One desiring to be a Purohita should offer a cake to Soma.
5.1.5.78	Its procedure is for one desiring a village.
5.1.5.79	"Two oblations: "With you, O Soma, that of yours."
5.1.5.80	One afflicted by a disease or one who is about to be attacked by an enemy should offer a cake on a pan to Agni-Varuna.
5.1.5.81	The procedure is as desired.
5.1.5.82	"Two offerings: "You are ours, O Agni, that of yours.
5.1.6.1	One desiring Brahmic glory should offer a cake on eight potsherds to Soma-Rudra, made of white rice, the size of a palm, in ghee.
5.1.6.2	Ghee of white cows.
5.1.6.3	One should perform the Full-Moon sacrifice on the tenth day of the bright fortnight.
5.1.6.4	One should not let the cows go out at night.
5.1.6.5	One should make arrangements for ghee and water for the Iṣṭi and Agnihotra.
5.1.6.6	When the rays are shining forth, he moves along.
5.1.6.7	"The verses of Manu, beginning with "O Agni, the ancient, with the divine," are to be recited six times."
5.1.6.8	The two portions of clarified butter are to be offered in the Vartraghna sacrifice.
5.1.6.9	"The two verses beginning with "You two, Soma and Rudra," are to accompany the oblations."
5.1.6.10	The two verses are in the Gāyatrī metre.
5.1.6.11	One should offer the Soma-Pūṣan sacrifice immediately after the full moon.
5.1.6.12	One who is practising sorcery should offer a cake to Soma and Rudra, made of black rice.
5.1.6.13	The sacrificial grass should be made of reeds, and the sacrificial grass should be of Vibhītaka wood.
5.1.6.14	The two oblations are to be offered with the verses, "Soma and Rudra have separated us."
5.1.6.15	One who desires that his enemy should be in his power should offer a cake on Soma and Rudra to black and white rice.
5.1.6.16	The sacrificial grass is half of reeds and half of Vibhītaka wood.
5.1.6.17	He cooks it in milk.
5.1.6.18	One should offer a cooked meal of cow's milk.
5.1.6.19	One who is suffering from a disease should be offered a sacrifice.
5.1.6.20	The rite of life is complete.
5.1.6.21	The Hotṛ, while reciting the Sāmidhenī verses, should turn towards the front and then go to the forest and show (the fire).
5.1.6.22	Therefore one should give a bull, and one should eat the meat of that (bull). The animal-sacrifice is the Dakṣiṇā.
5.1.6.23	One who is practising sorcery or who is being practised against should offer an oblation to Agni-Viṣṇu on eleven potsherds.
5.1.6.24	One should also offer oblations to Sarasvatī with ghee.
5.1.6.25	The expiation for one who is being practised sorcery is the Vārtṛghna rite. The rite for one who is practising sorcery is the
5.1.6.26	The Agnāviṣṇu (hymn) is for the Agnāviṣṇa (rite), the Pavaka (hymn) for the Pavaka (rite), the Sarasvatī (hymn) and the Sarasvatī-Sarasvatī (hymns) for the Sarasvatī rite.
5.1.6.27	The two Ajyabhāga verses are for one who desires sight.
5.1.6.28	The two Viśvajit verses are for the Samyājyā rite.
5.1.6.29	The Dakṣiṇā is a hundred cows.
5.1.6.30	If one is being cursed, one should offer oblations to Agni-Vishnu in eleven potsherds. The explanation is given.
5.1.6.31	If one thinks that the enemy is attacking with an army, one should recite the following three verses: "O Agni-Vishnu, you who are in harmony with us." One should recite two of these verses as the Puronuvakya and one as the Yajya. Similarly, for Sarasvati.
5.1.6.32	The Agnāvaishvaṇa oblation with eight potfuls of cooked rice is offered in the morning. At the time of the Adhvara-kalpa, the separate rites are performed. At the time for the Anubandhya rite, the Maitrāvaruṇa offers a cake on one potful of cooked rice or a Payasyā oblation.
5.1.6.33	If one's enemy were to perform a Soma sacrifice, one should perform the Adhvara kalpa rite.
5.1.6.34	The rite for destroying Vritra.
5.1.6.35	The Agnāvaishvānara rite is mentioned. So also the Sarasvatī rite.
5.1.6.36	O Brihaspati, accept this; it is not like the father. This is the northern verse of the Maitrāvaruṇa.
5.1.6.37	The eight verses are explained in the Nigada.
5.1.6.38	For one desiring rain, the verses beginning with "O Urva, O Bhṛgu, the drink" are to be recited in the northern direction. The oblations of the Ajyabhāga and Svishtakṛt are to be offered.
5.1.6.39	After placing the Marut, before the Agnihotra, one should offer the urine of a cow to Priyanga.
5.1.6.40	"May your names be dear to you, O you who are the glory of the sacrifice." Two oblations.
5.1.6.41	If there is a cow as the Dakṣiṇā in the thirteen-vessel (sacrifice), it is as desired for the sons.
5.1.6.42	Expiation is the rule.
5.1.6.43	"O Maruts, when you sent forth from heaven, at the joints of your limbs," two oblations.
5.1.6.44	In the seven-vessel (sacrifice) of Kayāśubhi, eleven Sāmidhenī verses, three times, at the beginning and end.
5.1.6.45	The two Ajyabhāgas are offered with the verse, "Agni repels the Rakshas."
5.1.6.46	Four oblations are left over for the Havisvishtkrit.
5.1.7.1	One should offer a cake on eleven potsherds to Indra, a cake on seven potsherds to Maruts, and a cake to Rajanya seeking prosperity.
5.1.7.2	The verses are, "We invoke Indra from all sides, your strength is everywhere," for the cake to Indra, and "We invoke Maruts from all sides, the Maruts are everywhere," for the Maruts.
5.1.7.3	One desiring that the Vratas and the Kshatra should come together should offer a cake on eleven potshards to Indra and a cake on seven potshards to Maruts.
5.1.7.4	If one desires that there should be a mutual understanding, having brought together the two oblations, one should kill a cow in the eastern part of the village and another in the western part. They would then come together.
5.1.7.5	The Varatraghna rite is prescribed.
5.1.7.6-11	Having taken up the Indra-cup, he makes the Hotṛ recite with "Do thou recite for Indra." He recites with "Do come to Indra." Having called out, he instructs with "Do thou offer to the Maruts." He offers with "O Maruts, your strength." Having taken up the Marut-cup, he causes the Hotṛ to recite with "Do recite for the Maruts." He recites with "O Marut, what is your strength."
5.1.7.12	Having called Indra, he instructs, "Sacrifice."
5.1.7.13	"You are the great Indra," he sacrifices.
5.1.7.14	"For you are in many ways like Indra," he sacrifices at the Samyājyā.
5.1.7.15	The Sviṣṭakṛt and the Sūktavāk are performed as prescribed.
5.1.7.16	If one desires, "May they be performed," one should offer these two oblations and sacrifice as prescribed. They are performed.
5.1.7.17	One who is practising sorcery should offer a cake on eleven potshards to Indra and a cake on seven potshards to Maruts.
5.1.7.18	One should offer the cake to Indra above and the cake to Maruts below, turning around.
5.1.7.19	One who is practising sorcery against a king who desires a village should offer a cake to Indra on eleven potshers and a cake to Maruts on seven potshers.
5.1.7.20	Having placed the cake in the middle of the milk in a vessel, and having mixed it together, one proceeds.
5.1.7.21	He makes the sacrificer recite the formula, "Do you recite to Indra and Maruts."
5.1.7.22	Having announced, he instructs, "Do you offer to Indra and Marut."
5.1.7.23	The Yajya and Anuvakya are addressed to Indra and Maruta.
5.1.7.24	One who is practising sorcery should offer a cake on twenty-one potsherds to Maruts.
5.1.7.25	Having performed the two Ajyabhāgas, having placed the cake on the sacrificial grass, with the formula, "This is of so and so, son of so and so," he cuts it with the wooden sword.
5.1.7.26	He praises the wooden sword with the verse, "This is the tiger."
5.1.7.27	In case of transgression of time, in the case of a path-crossing animal, in the Darsha-Pūrnamāsa sacrifices, in the Cāturmāsya rites, in the Navagrahayana rites, and in the case of the Vāgrāyaṇa.
5.1.7.28	In the cases of Vratapati, Kama, and Ashru, the Vratapati is the one who is in charge of the group.
5.1.7.29	The expiation for four, the Kalpa for three, and the Varatran for one.
5.1.7.30	For sixteen oblations, one should say "Agni nayati."
5.1.7.31	One should offer to Vishnu with ghee.
5.1.7.32	One should offer an eight-pot oblation to Agni Rudravata for one who desires that Rudra may bestow his animals upon him.
5.1.7.33	If one desires (to be) pacified, one should offer a cake on eight potsherds to Agni Surābhīmata.
5.1.7.34	The oblations of the Agnihotra and the Svishtakrit have been explained.
5.1.7.35	To Agni Annavat, the eater of food, the lord of food, one should offer an eight-potsherd cake or eight potsherd cakes.
5.1.7.36	The Viraj Kalpa.
5.1.7.37	To Ukshanna, blown by the wind, is the oblation.
5.1.7.38	One who is afraid of demons should offer oblations to Agni Rakshogha (the destroyer of demons) in eight potsherds.
5.1.7.39	One should perform the sacrifice at night.
5.1.7.40	One should recite the eleven Sāmidhenī verses, thrice at the beginning and end, with the verse "Do thou make the protection."
5.1.7.41	The two Ajyabhaga verses are "Agni drives away the demons."
5.1.7.42	Four additional oblations are offered with the Svishtakṛt verse.
5.1.7.43	One who is in conflict with another in the country or who desires food should offer an oblation to Agni on eight potsherds.
5.1.7.44	It is accomplished by the attainment.
5.1.7.45	One should touch the oblations with the words, "You are Ojas."
5.1.7.46	One offers before the Svishtakrit with this alone.
5.1.7.47	"Do thou yoke the divine-called ones," the nine Dhāyyās, the six Uttaras, the oblations of the Ajyabhāga and Svishtakṛt.
5.1.7.48	One who is not victorious in a battle with his own country should offer a sacrifice to Indra and Brhaspati.
5.1.7.49	Having offered to Brhaspati and having prepared for Indra, one should proceed with both.
5.1.7.50	The rite is for defeating Vritra.
5.1.7.51	"Two oblations: "This is your mouth."
5.1.8.1	One should offer a rice-cake cooked in ghee to Aditya and consecrate one who is obstructed.
5.1.8.2	It is accomplished until the offering.
5.1.8.3	He should recite the Savitrī mantra in front of the Savitrī.
5.1.8.4	"He should take the name of the person whose share is being stopped, saying, "I am giving your share to him."
5.1.8.5	Having placed the oblations, he places seven leaves of the Ficus religiosa, cut from the inside of the tree, in front of the altar.
5.1.8.6	When the oblations are finished, he should strike them with the middle part of the chariot.
5.1.8.7	If he does not come within seven days, he should take the name of the one who is detained and bind it with this mantra: "I bind this one from the Adityas, may he come within seven days."
5.1.8.8	If he does not come in seven days, he can bind the name of the detained one with this mantra:
5.1.8.9	"I bind this one to the Adityas. May he come within seven." If he does not arrive in the first seven days, he may offer with the two subsequent mantras and then perform the Dhārayadvati sacrifice.
5.1.8.10	If the second, one should offer with the Uttarā; if the last, with the Dhārayadvati.
5.1.8.11	Having placed the fire-sticks on the fire of the Darśa and Pūrṇamāsa sacrifices, and having played the Vāditas, one should say, "May the truth be blessed here." Having stopped, one should take the dust from the right foot and scatter it. If there is a village-like sound in front, then when the Sabhā is crushed, the dust should be scattered towards the wind. "O Maruts, come with your own strength, you who are the lords of the assembly, to this king without fear."
5.1.8.12	The village-dwellers, having brought the rice from home, should divide it into three parts. The black ones should be put on the black antelope skin and the white ones should be offered as oblation in ghee to the sun.
5.1.8.13	Having established the sun, if one were to go beyond those (places) and dig up a mound or a pit, he offers with the verse, "Whatever terrible things there were today..."
5.1.8.14	Having returned, one should offer with the Varuna rite, ending with the Dhārayadvati rite.
5.1.8.15	The two oblations of ghee are offered with the verses, "I will tell you about those who are here. They are the ones who are offering this sacrifice."
5.1.8.16	Those Kshatriyas from whom I am told to offer oblations.
5.1.8.17	In the Nitya-Samyajya.
5.1.8.18	The Varatraghna Kalpa in the Dharayadvat.
5.1.8.19	Two oblations: "The Adityas hold."
5.1.9.1	One desiring Brahmic glory should offer a cake of white rice in ghee to Surya.
5.1.9.2	Having made the offering, he should dismiss the two golden and silver (cups). He should place the silver one below and the golden one above.
5.1.9.3	At every Prayāja offering, he offers a Triyava (triangular) Kṛṣṇala.
5.1.9.4	The Soma-Mars rite.
5.1.9.5	"The good horses of Surya" is the offering.
5.1.9.6	In a hundred Kṛṣṇalas, there are four Kṛṣṇalās for each offering, one for the Prasitra, one for the Avantaraeda.
5.1.9.7	He offers the cooked rice to Brahma.
5.1.9.8	Having scraped, they place the oblations.
5.1.9.9	The life-giving Kalpa.
5.1.9.10	He who is Hiranyagarbha, the one who has life, is the oblation.
5.1.9.11	One should offer a cooked rice to Indra and Brahma for the desire of a Purohita.
5.1.9.12	Its procedure is for the desire of the village.
5.1.9.13	The procedure of Indra and Brahma is mentioned.
5.1.9.14	One desiring a village or cattle should offer cooked rice to Brhaspati in milk.
5.1.9.15	Having brought milk from the house of one who has many cattle, and having mixed it with the milk of his own cows in a flowing stream, he cooks the rice.
5.1.9.16	One desiring to conquer an enemy in battle should offer cooked rice dedicated to Brhaspati when the armies are seen facing each other.
5.1.9.17	The sacrificial grass is without blades, the sacrificial grass-blades are arrows, the enclosing sticks are arrows, the roots are leaves.
5.1.9.18	One should place the sacrificial grass-blade in a vessel while striking it.
5.1.9.19	One should offer a cake to Brahma-spati at a place where one desires, "May there be Brahma's power."
5.1.9.20	"Brihaspati was born first," these are the eight oblations.
5.1.9.21	One does not utter "Vashat" with the Brihatī verse.
5.1.9.22	The four syllables of the Anuvākyā are uttered before the Yajyā.
5.1.9.23	"O Brahmaṇaspati, rise up, we desire to approach you. May the Maruts, the givers of good gifts, approach. O Indra, we desire to praise." Thus one recites. "May Agni be present with the praise." Thus one offers.
5.1.9.24	"O Brihaspati, O Garutmān, accept this. Like a father." This is mentioned in the case of the Barhaspatya and Saumāpausna offerings.
5.1.9.25	Having placed the Prajapati-offering, one should offer the cow's urine before the fire is kindled.
5.1.9.26	The Kaniṣṭha-offering is made of earth.
5.1.9.27	Expiation is the rule.
5.1.9.28	Salutations to you, O Rudra, the angry one. These offerings are for Rudra.
5.1.9.29	The Iṣṭi for the Niṣāda and the Sthapati.
5.1.9.30	The Dakṣiṇā is mentioned.
5.1.9.31	If the king desires the supreme position, he should offer a cake on twelve potsherds to Parameṣṭhin.
5.1.9.32	Before the Sviṣṭakṛt, he gives to the sacrificer the bow with the string and three arrows, saying, "May Agni give you brilliance." That is the Dakṣiṇā.
5.1.9.33	One who has an enemy should offer a cake on twelve potsherds to Vaiśvadeva.
5.1.9.34	Having performed the offerings of clarified butter, having placed the cake on the sacrificial grass, having joined the wooden sword with the sacrificial grass, he should take the name of the one whom he hates, and should offer it to Viṣṇu, the one of extensive strides.
5.1.9.35	Then he should unite them, saying, "I unite myself and him." He should take the name of the one he loves, and offer to Vishnu Urukrama without first invoking him.
5.1.9.36	One should offer a cake to Indra-ani when the army is about to advance, having tied the balbaja grass to the sacrificial post.
5.1.9.37	The ritual for one who desires prosperity and glory.
5.1.9.38	Who indeed knows the ten oblations?
5.1.10.1	The one who knows the four oblations is Agni Vasumat.
5.1.10.2	If one wishes, "May I be equal to the best," one should offer this sacrifice.
5.1.10.3	Its ritual is for one who desires a village.
5.1.10.4	One proceeds after consultation.
5.1.10.5	"He makes him recite, 'To Agni, the lord of wealth, to Soma, the lord of Rudras, to Indra, the lord of Maruts, to Varuna, the lord of Adityas, recite.'
5.1.10.6	Having called out, he sends him forth, saying, 'Having called out to Agni, the lord, of wealth, to Soma, the lord of the Rudras, to Inda, the lord of maruts, to Varupa, the lord of Aditya, offer.'
5.1.10.7	Agni is the first, Agni is the lord of oblations.
5.1.10.8-13	One should offer to Indra in the same manner as one offers to Agni. One offers to both (Agni and Indra) before the Sviṣṭakṛt offering with the verses, "May the divine one grant us knowledge." One should offer the Agniya eight-poured oblation when gold is lost with the four-oblation offering. The two portions of clarified butter are "O Agni, giver" and "O Agni, bestower." The two Samyājyā verses are "O Agni" and "O Indra, bestower."
5.1.10.14	He should offer again.
5.1.10.15	One who is afflicted by the king of consumption should perform the rites up to rinsing the mouth on the new moon day, and then prepare a new fire and sacrificial grass. At night, he should offer to the Visvedevas.
5.1.10.16	Expiation is the rule.
5.1.10.17	"Two oblations are offered, one before and one after."
5.1.10.18	"One offers before the Svishtakrit, saying, "As the sun..."
5.1.10.19	The oblations to Indra, the king, are three in number. The Puronuvākyās are recited thrice. The Puronuva
5.1.10.20	The rite for one who desires a village is this.
5.1.10.21	The oblations to Indra are three in number, beginning with the eastern direction.
5.1.10.22	"Recite the first Anuvāka to Indra, the King." The first Anuvākyā is recited to Indra, the self-ruling king. The second Anuvākyās is recited to Indra.
5.1.10.23	Recite to Indra, the king of heaven. Recite the middle one. Offer to Indra, the overlord. Offer with the last one.
5.1.10.24	Recite to Indra, overlord. Recite the same one. Offer to King Indra. Offer with the first one.
5.1.10.25	The offering is indicated by the Sviṣṭakṛt verse and the Sūktavāk verse.
5.1.10.26	For one desiring splendor and prosperity, the sequence is this.
5.1.10.27	For one desirous of cattle, the sequence is the reverse.
5.1.10.28	The four verses beginning with "O Agni, the one who is in the fire" are for the Agnihotra.
5.1.10.29	The northern one is for the Arkavat.
5.1.10.30	The four verses beginning with "For Indra, the Arkavat" are for the Arkavat Indra.
5.1.10.31	The two oblations of ghee are for the obstructed one.
5.1.10.32	The Samyajya is always performed.
5.1.10.33	The cow is the Dakshina.
5.1.10.34	If one desires, "May I succeed in the land of others," then the procedure for the one desiring a village is as follows:
5.1.10.35	The sacrifice is performed with the verse, "May the goddess of wealth, who has gone away, return."
5.1.10.36	The expiation is a ritual.
5.1.10.37	If one desires to perform a sacrifice with many offerings, the procedure for one desiring cattle is as follows:
5.1.10.38	"To Indra, the hot-drinking one," with four oblations.
5.1.10.39	"Your greatness, which is born," is recited from the Manasvat section. The rest are recited as they are.
5.1.10.40	"To Indra who liberates from sin," with seven oblations.
5.1.10.41	One who is the eldest, noble, and prosperous should perform the third one.
5.1.10.42	The expiation for two, the Kalpa, the desire for a village, the ritual for one, the Vartraghna in the north.
5.1.10.43	"The one who enters, the one who enters, and the one who enters" - these are the fourteen oblations.
5.1.10.44	"The Indra one with one pot" - these are seven.
5.1.10.45	"To Indra, the wielder of the thunderbolt" - this is the three-oblation ritual for one whose enemy performs a Soma sacrifice.
5.1.10.46	He should perform the Suti-esti.
5.1.10.47	The two Hotr-priests should be appointed for the two earlier (sacrifices) and the Vartraghna for the later ones.
5.1.10.48	The fourteen oblations are offered to the gods who have come down.
5.1.10.49	He offers the Svishtakrit oblation to Indra with the formula, "Indra, the slayer of Vrtra, the slayer of enemies, the slayer of foes."
5.1.10.50	He offers three oblations to Indra with the formulas, "To Indra, the angry one," "To Indra, who is angry," and "To Indra, whose anger is appeased."
5.1.10.51	If they have caught him alive, they should cut him.
5.1.10.52	If one desires to be wealthy and free from censure, then when about to perform a sacrifice, one should not say "May my mind be like this for a year."
5.1.10.53	"Your great one who is born" - these are the four offerings.
5.1.10.54	The first and the last are the same.
5.1.10.55	If the Soma-pressing begins when the moon has risen, one should offer oblations to the deities of the Vaisvadevya sacrifice and divide the rice into three parts.
5.1.10.56	He silently milks the morning milk and cooks rice in flour.
5.1.10.57	Having boiled it, he divides it and eats it.
5.1.10.58	Expiation is the rule.
5.1.10.59	"Agne da da no agne" for the Agniya.
5.1.10.60	"Kim it te visne" for the other four, the northern ones for the northern and the eastern ones for the eastern.
5.1.10.61	One who desires cattle, having performed the new moon sacrifice, silently removes all the calves.
5.1.10.62	Idaṃ agne iti ṣaḍ dhāviṣām.
5.1.10.63	Agneyaṃ aṣṭākapālam iti trihāviḥ.
5.1.10.64	Uttāyāṃ giriṃ upaniṣpīḍya yajeta, apo vā.
5.1.10.65	Somavāmināṃ prāyaścittiḥ kalpaḥ.
5.1.10.66	Tvā yujā tava tat somīti dve hāviṣām
5.1.10.67	Āmnātaṃ śrayanaṃ āmnātaṃ āmnātam
5.2.1.1	He should offer a cake on eight potsherds to Agni, a milk-pudding to Mitra-Varuna, and silently the Ekakapala oblations.
5.2.1.2	The rite is concluded.
5.2.1.3	Having performed the offering to Agni, he covers the northern cake with the remnants of the oblations and divides it into four parts, beginning with "O ye Mitra-Varuna, ye two, the vigorous ones..." The first portion is offered to Indra-Varuna, the second to Agni-Varuna, and the third to Mitra-Varuna. Having mixed them together, he offers them with the Upasthāna and Abhighāra mantras. He offers the remnants in a single pot. "O king Varuna, whatever is thine among the gods, among bipeds, among quadrupeds, among cattle, among plants, among trees, among waters, among earth, among directions, O king Varuna..." He follows this with "O king Varuneya..." in all cases.
5.2.1.4	With the verses beginning with "O Mitra-Varuna, your strength..." he offers the Sviṣṭakṛt oblation and the Iḍā oblation.
5.2.1.5	One may perform the rites as one wishes.
5.2.1.6	"Indra-Varuna, the overlord..." is for the Indra-Varuna rite.
5.2.1.7	One who has an enemy should offer a cake to Visve Devas.
5.2.1.8	He cooks it in fresh butter.
5.2.1.9	"O Indra, all-knowing..." are the two oblations.
5.2.1.10	One who desires a village should offer this sacrifice.
5.2.1.11	Having brought ghee from the houses of all the villagers, he cooks rice.
5.2.1.12	It is accomplished until the placing of the enclosing sticks.
5.2.1.13	He recites the mantras for the enclosing sticks: "You are firm" for the middle one, "You are fierce" for the southern one, "You overpower" for the northern one, "You subdue" for the Āhavanīya fire, "You are the sun" for the Āditya fire.
5.2.1.14	It is done until the removal.
5.2.1.15	The vessel for the offering of the Amānu-oblation is made of clay or wood, without a handle. The Amānu-offering is poured into it.
5.2.1.16	One offers four oblations with the vessel for the offering to Amānu, beginning with the verse, "O god, those who are of the same mind."
5.2.1.17	At some place.
5.2.1.18	A milch cow is the Dakṣiṇā.
5.2.1.19	As many horses as he would take, so many oblations to Varuna, four in number, he should offer, and one oblation to the great-grandson.
5.2.1.20	He offers four oblations beginning with "O king Varuna, thy Gayatri metre" before the Sviṣṭakṛt oblation.
5.2.1.21	If he were to take it back, then he should offer half of the Varuna oblations. Half of the Varuna and Surya oblations.
5.2.1.22	"The Surya and Varuna oblations are offered in excess. The Apampatriya verses."
5.2.1.23	The rest is similar.
5.2.1.24	Twenty-one Samidheni verses.
5.2.1.25	"The verses beginning with "Pruthupaja, he who has the same name as Sabadha" are for the Hayatiya."
5.2.1.26	Expiation is the rule.
5.2.1.27	The Varuṇa rites are mentioned.
5.2.1.28	"The verse, "What today is in the sun," is for the Varuṇa rites.
5.2.1.29	" "The verse, " "I approach the flowing waters," is for Apomartri.
5.2.1.30	" "He offers in the water with the two verses, "O Agni, O Varuṇa, O Yama,
5.2.2.1	" "One should perform the Āmayāvyāyuṣkāma-sacrifice.
5.2.2.2	" "On the first day, one should offer a cake on eleven potshards to Agni-Viṣṇu, and on the second day, one should make five offerings."
5.2.2.3-5	In that (Agnihotra) he takes five spoonfuls in a bronze or copper vessel before the Sviṣṭakṛt offering. Having bound gold with a darbha-grass, he puts it into the five spoonfuls with the verse, "You are the life of Agni." He offers in the eastern half with the verse, "You are the life-breath of Indra." Moving clockwise around the fire with the remaining four verses, he offers in the middle with the fifth verse.
5.2.2.6	Having brought ghee for drinking, he takes out gold, reciting, "For Pāvamāna..." (three times), "For Brihat..." (twice), "For Agni..." (once). Having taken out, he places it on the bank.
5.2.2.7	Having moved around in front of the sacrificial fire, he gives it to the sacrificer, saying, "You are brilliance."
5.2.2.8	The sacrificer receives it, saying, "This is brilliance."
5.2.2.9	Having taken out gold, he drinks, pressing it.
5.2.2.10	Having washed it, he ties it for the sacrificer, saying, "This is Agni."
5.2.2.11	Having touched the Brahman's hand with "Agni is life," all the priests announce to the Brahman and the sacrificer.
5.2.2.12	At the time of giving Dakṣiṇā, he gives ten.
5.2.2.13	The Kalpa has been lived.
5.2.2.14	"O Agni, give me life, O giver of life, O god!" (thus) ten oblations.
5.2.2.15	The Agniya oblation with eight potsherds, or the four-oblation or five-oblation (oblation) - if one desires, 'May my cattle be many through progeny',
5.2.2.16	If it happens before the union, one should offer to Indra an oblation with eleven potsherds, and the Prajapati oblation in union.
5.2.2.17	At the time of dismissal, having placed curd, honey, ghee, cooked rice, and water in a bronze vessel, he brings it inside, covered with a filter.
5.2.2.18	"O Agni, bring us the wealth with your bright radiance, with ten oblations."
5.2.2.19	"For Agni, the shining one," three oblations for one desiring eyesight.
5.2.2.20	The rice is white. The ghee is from white cows. The cooked rice is in milk.
5.2.2.21	Together with the share of Brahman and the share of the sacrificer, he offers the rice cake to Surya to Brahman.
5.2.2.22	Having offered the Samit-yajus, he offers the Surya rice cake.
5.2.2.23	Having made four balls, he places them in his hand with the Surya verses.
5.2.2.24	Having eaten them, he eats the share of the Yajamana.
5.2.2.25	O Agni, thy pure ones, this Agni, these are the four oblations.
5.2.2.26	The first and the last are to be taken in the east, the others in the north.
5.2.3.1	One who desires prosperity should offer with the Sarvaprstha (Sutra), or one who is being attacked.
5.2.3.2	He lays out twelve potsherds.
5.2.3.3	It is accomplished till the offering.
5.2.3.4	For Indra Ratha-ntara, for Indra Barhata, for Indra Vaivarta, for Indra Vaisharad, for Indra Raivata, for Indra Shakra, for each deity he offers four handfuls. All the deities having been honoured, he offers four handful only.
5.2.3.5	The Opadana is accomplished.
5.2.3.6	He places the skull-bones with their mouths upwards. This is the Caru.
5.2.3.7	It is established by the recitation.
5.2.3.8	Having taken the middle part of the eastern half, one should recite "Indra, the leader of the army, O Indra, the leader of armies, we praise you like milked cows. The lord of this world, the lord of heaven, the lord of this world." One should recite "Oṃ."
5.2.3.9	"He who worships Indra, the great, we worship Indra, the great. We call you, O Indra, the great and firm, the giver of good gifts. You, O Indra, are the lord of the strong in battles, the lord of the weak in battles. You are the lord of those who are in the woods, the lord of those in the woods." He offers thus.
5.2.3.10	Having turned around and having taken the oblations, he offers to the north.
5.2.3.11	Recite to Indra, the lord of the earth. We indeed call you, the creators of good fortune. You, O Indra, are the true lord of men in battles. Who is like you? Thus is it recited.
5.2.3.12	Indra, the leader of the Rathantara, we invoke, Indra, the leader, the lord of the Rathantara. O Indra, thou art the lord of the steeds. We praise thee, O hero, like milked cows. The lord of this world, the seer of heaven, the lord of this world. Indra, the lord of those who stand, he offers.
5.2.3.13	"To Indra, the leader in the Vaivāhuka (Sāman), he says, "Do thou recite; do thou recite the Apra-sutra."
5.2.3.14	"He offers to Indra, the lord of the universe, with the verse, 'O Indra, do thou awaken me.'
5.2.3.15	He recites the Anuvāka to Indra, the ruler of the universe, and recites the same verse.
5.2.3.16	He offers to Indra the diverse with the verse, "I have approached Indra, the diverse."
5.2.3.17	He recites to Indra, the giver of wealth, with the verse "O Indra, give us wealth."
5.2.3.18	He offers to Shakra Indra with the verse, "
5.2.3.19	He recites the verse to Indra Sakvara. He recites the same verse.
5.2.3.20	He worships Indra Raivata. He worships with the first verse.
5.2.3.21	The Svistakrt verse is recited as per the prescribed order. The Svistakrt and Suktavaka verses are recited.
5.2.3.22	The Sviṣṭakṛt and Iḍā verses are recited after reciting the verses in reverse order.
5.2.3.23	The procedure is as per one's desire.
5.2.4.1	One who desires prosperity or one who is afflicted by a disease should offer the Iṣṭika Sātrāmaṇī sacrifice. One who is purified by Soma should be consecrated with the Rājasūya sacrifice.
5.2.4.2	One buys the Soma-substance from a seller of Soma, using lead, which is surrounded by a eunuch. The seller of Soma is naked. He buys barley, wheat, and grass.
5.2.4.3	Having said, "I am buying the Soma-substance with this lead," he buys it.
5.2.4.4	"He joins it with the formula, "Thou art sweet, with the sweet."
5.2.4.5	He touches it with the formula "May Soma be cooked for thee by the Asvins."
5.2.4.6	He observes fast for the animal-sacrifice with the formula, "May the Sura be generated tomorrow."
5.2.4.7	It is accomplished by the time of the Veda-recital.
5.2.4.8	At the time of the recitation of the Veda, the Pratiprasthātṛ prepares a wooden plank on the right side, and the Adhvaryu on the left side, the plank being smaller than the yoke-pin.
5.2.4.9	The Agni-s are to be placed in order.
5.2.4.10	The Pratiprasthātṛ, having placed the Upayamani-sticks on the right side of the southern Agni, sprinkles them and places them in the eastern half of the Khara.
5.2.4.11	The Pratiprasthātṛ places the Paśukāṇi vessels on the southern axle, the three Mārttika vessels, the Vala, the Droṇa and the Śatātrīṇa. The Adhvaryu places the three Vāyavya vessels on the northern axle, the Śaṣpapavītra.
5.2.4.12	He takes out the clarified butter and milk.
5.2.4.13	He places the clarified butter on the Veda, and the milk on the axle.
5.2.4.14	The pot of Soma is placed on the head of the Agnidhra, after having placed it on the ground of the Pratiprasthâtri, and having passed beyond the resting place and to the south, he places it on his own cart.
5.2.4.15	The taking of clarified butter is accomplished.
5.2.4.16	He takes four portions of clarified butter with the addition of the Prsadajya.
5.2.4.17	The placing of the clarified butter is accomplished.
5.2.4.18	The Pratiprasthātṛ, having spread the Valas on Drona, purifies the Soma that has flowed over, saying, "O Soma, thou art purified."
5.2.4.19	The Adhvaryu, taking the Soma with the formula, "O Soma thou art taken by the wise," and holding the Soma in the strainer made of the skin of a black antelope, offers the Savanīya Soma to Indra, the bestower of good gifts.
5.2.4.20	The offering of the Soma according to the deity and the Upāṁsusādana.
