1.1.1.1	In the performance, the benefit of the man and the knowledge of the sacrifice.
1.3.3.19	He places the sacrificial grass and the sacrificial grass-roots evenly with the sacrificial grass.
1.3.3.20	Having placed the northern spoon below, saying, "You are the sky," and having placed the northern Dhruva spoon above, saying, "you are the earth."
1.3.3.21	He places them without touching each other, with the tips pointing downwards.
1.3.3.22	Saying, "You are a bull," he places the full ladle to the right of the Juhu.
1.3.3.23	"He anoints the clarified butter with the verse, 'May the clarified butter be firm.'
1.3.3.24	Having placed the vessel on the fire and having poured clarified butter over it, he places the oblations in it with the verse, "The moist one, the protector of the world, the one who has been born, the one who is born, the one born from the womb, the one who generates the minds, the one who knows the minds, the knower of the minds, the protector of all beings, the one who protects all beings, the protector of beings, the one born in the womb, the protector of creatures, the one who causes the birth of creatures, the protector of cattle, the one who makes the cattle grow, the one who grows the cattle, the one born of the womb, the lord of cattle, the lord of the cattle, the lord, the one who rules the cattle, the protector of men, the one who gives protection to men, the one born, the one generated, the one who produces, the one who creates, the one who brings forth, the one who nourishes, the one who sustains, the one who supports, the one who upholds, the one who holds, the one who carries, the one who bears, the one who endures, the one who tolerates, the one who forgives, the one who pardons, the one who grants, the one who bestows, the one who confers, the one who imparts,
1.3.3.25	"O Agni, I pour thee with the lustre of the gods, with the lustre of Agni, with the lustre that is thine, with the lustre which is thine, with thy own lustre, with the lustre thou hast, with the lustre ye have, with the lustre we have, with the splendour of the gods, O Agni, I pour thy most agreeable (oblation)."
1.3.3.26	He pours it without striking or turning away, and wipes it with a Veda-text, and puts it in a vessel.
1.3.3.27	"May the earth's essence, Ira and Bhuti, not escape." Having poured over the potsherds, he adorns the cakes.
1.3.3.28	Thou art Tṛpti, the Gayatri metre. Satisfy me with brilliance and Brahmic lustre. Thou art Tṛptis, the Tristubh metre. Satisfy with me with strength and vigour. Thou art Truptis, the Jagat metre. Satisfy us with progeny and cattle. Thou art Tarptis, the Anushtubh metre. Satistify me with wealth and food. Thou art Tarti, the Paṅkti metre. Satisfy all of us with happiness and joy. Thou art Tarta, the Bṛhat metre. Satisfy the whole of us with happiness. Thou art Tārti, the Vairāja metre. Satisfy everything of us with happiness.
1.3.3.29	The one who adorns the two milking vessels below, he is the Self who has entered the animals, the one who seeks the enclosure of the gods. Come here, O Soma, with the Self and ghee, find the heaven for me, the sacrificer.
1.3.3.30	Then he places the ladle with its handle towards the west, having joined the two ends of the ladle and the pot, on the southern edge of the altar, having cooked rice, and curd on the northern edge, he places the Veda in front of the ladle.
1.3.3.31	Having spread the altar, having gone to the Hotr's seat, he instructs, "Recite the Anuvāka to Agni being kindled."
1.3.4.1	At each Praṇava he places the kindling wood, leaving aside the kindling wood for the Anuyāja.
1.3.4.2	He kindles the fire three times with the Veda, starting from the beginning of the altar.
1.3.4.3	Having placed the full ladle in Dhruva, having taken up the ladle from Dhruva, and having moved along the northern joint of the enclosing sticks, he offers the offering to Prajapati with the formula, "To Prajapati svāhā" mentally.
1.3.4.4	He instructs the Agnīdhra to touch the enclosing sticks and the fire three times each.
1.3.4.5	With the wooden sword he cleanses the fire-wood and the enclosing sticks, except the wooden sword. With the fire-wood he cleanses the enclosing sticks. "With the wooden sword he sprinkles the fire-wood. "O Agni, thou art going to the race, thou art going with the strength, thou art going for the strength, thou wilt win the strength, thou shalt carry the oblation to the gods, thou art the winner of the strength, I cleanse thee for winning the strength, O Agni, thou wilt win strength."
1.3.4.6-7	He offers the Anjali-offering with the formula, "To the Juhu and Upamant, salutations." He takes up the Juhu with the formula, “Agni is calling thee. We shall worship the gods with the divine worship." He takes up the Upamant with the formula, "The god Savitr is calling thee. We shall worship the gods through divine worship."
1.3.4.8-11	"May I be well today." Having recited this, he crosses (the fire) with the formula, "O Agni-Vishnu." He stands with the formula, "May I be firm in Vishnu's place." The right foot is within the altar, the left foot is like a sniff.
1.3.4.12	Then he offers the Aghāra-oblation with the verse, "The sacrifice is raised up." He offers it with the ladle turned upwards and facing east, continuously, for one who desires heaven. For one who is hated, he offers it with the tip of the ladle turned downwards.
1.3.4.13	Without touching the two ladles, he crosses over. "Protect me, O Agni, from evil conduct. May I be united with good conduct."
1.3.4.14	He anoints the Dhruva ladle three times with the Juhu ladle, saying, "The oblation is anointed with Agni, the oblation is anointed, the ghee is anointed with the oblation, the oblation with the ghee, the oblation of the Jikṣa with the oblation of Jikṣa, the oblation (of the Jikṣas) with the oblation (in the Jikṣā), the oblation of Agni with the oblation."
1.3.4.15	Having poured the Dhruva, he places the ladles in their places.
1.3.4.16	He pours the ghee on the Dhruva with the formula, "The oblations are brought forth for the prosperity," and pours the ghee on Juhu with the formula, “For the prosperity of the heroes, svāhā.”
1.3.4.17	The sacrifice is continued by sacrifice. He pours the Dhruva ladle over the Juhu.
1.3.4.18	The Adhvaryu, having taken the grass of the altar, stands towards the north, holding the wooden sword and the broom. The Agnidhra, having taken the wood of the altar, holds it towards the south. The Adhvaryus says, "Who will be the Adhvaryu? He will be the Advaryu." "I stand in the place of Vishnu, the sacrifice." "May speech perform the priestly function, may mind perform the priestly function." "I resort to speech." "Bhur Bhuvah Svah." "O Brahman, I shall announce the Pravara." Having announced after being requested, he says, "Agni is the divine Hotar, knowing and healing, according to Manu, according to Bharata, according to Amu, according to Amu."
1.3.4.19	The officiating priests, beginning with the highest, are chosen by the sacrificer.
1.3.4.20	The officiating priest is chosen by the non-Brahmana.
1.3.4.21	"Brahmanas are the officiating priests of this sacrifice, beginning with Brahma."
1.3.4.22	The Hotr is addressed in a low voice, and the name is given loudly.
1.3.4.23	"He is addressed as "having ghee."
1.3.4.24	Having taken up the kindling woods in the ladles, he makes the first one offer with the formula, "Do thou offer." He makes the others offer with the formula "Do thou offer, do thou offer."
1.3.4.25	Having offered three oblations, he takes up half of the Upabhṛt ladle and offers the two remaining oblations.
1.3.4.26	He offers five Prayāja oblations, all of them identical with the exception of the last one.
1.3.4.27	He pours clarified butter over the oblations beginning with the Dhruva ladle, ending with the Upabhrit ladle.
1.3.4.28	He offers the portions of clarified butter with the Jyotishmati verses, the Agniya portion in the northern half, the Soumya portion in the southern half, crossing the point of contact with the first offering.
1.3.4.29	The principal offerings are made in the order of the Samhita verses.
1.3.4.30	Having performed the Agniya rites, he performs the Upamshu rites.
1.3.4.31	He invokes the deity in a low voice, and the other in a loud voice.
1.3.4.32	The two offerings of milk, having the same deity, are offered together.
1.3.4.33	Before the Svishtakrit offering, he offers two oblations with the ladle, saying, "We invoke the bull, the horse, the full moon. May it bestow on us the most excellent wealth, the prosperity of a thousand. To the full moon, the bestower of good, svāhā!" at the full moon.
1.3.4.34	The New Moon is auspicious, well-favoured, like a cow, ever increasing in milk. May she yield us abundant wealth, a thousandfold, for the New Moon, for the Suradhas, svāhā. Thus at the New Moon.
1.3.4.35	In the eastern half of the northern half they place the Svishtakrit Agni.
1.3.4.36	He places the two ladles in their places.
1.3.5.1	With the thumb and the middle finger of the right hand, he offers a morsel of barley from the middle of the Agnihotra.
1.3.5.2	Placing the grass, pouring over it, and spreading the grass on the northern side of the altar, he arranges the herbs.
1.3.5.3	Having offered twice to each oblation, he arranges the Iḍā.
1.3.5.4	Having taken from the southern half of the Agniya portion, he offers the portion of the sacrificer, small and long, from the eastern half.
1.3.5.5	Having cut off the second ladleful from the middle,
1.3.5.6	Having turned the oblations towards the front and the ladles towards the rear, and sitting facing the east, the Hotṛ gives the ladleful to the Hotr.
1.3.5.7	Having gone around in front of the Hotr and behind the Idâ, having crossed or not having crossed the southern end, he anoints the joints of the Hotr's fingers, the right ones first, the left ones later.
1.3.5.8	The Hotr anoints the Idâ in his hand, the right ones before, the left ones after.
1.3.5.9	The Adhvaryu, the Agnîdh, the Brahman and the Yajamana begin.
1.3.5.10	When the Ida has been invoked, he directs (the Adhvaryu) to go around to the right, to the left, and to the left again.
1.3.5.11	The priests, with the sacrificer as the fifth, having gone around and eaten, sprinkle themselves on the Prastara grass, saying, "May the mind and light enjoy the clarified butter. May Brihaspati join the interrupted sacrifice. May the All-gods be pleased with this our sacrifice."
1.3.5.12	Having invoked the earth, the mother, he says, "May Agni from the Agnidhra-chamber invoke me." Having invoked the heaven, the father, he says, “May Agni from the Agni-chamber invoke me.” Having invoked, he says, “(I invoke) the earth, the giver, I eat (the oblation). I invoke the sky, the giver, the father, I eat. I invoke the heaven, the giver, (I eat). I invoke the directions, the giver, I eat.”
1.3.5.13	Having taken the portions of the Brahman and the sacrificer around the Ahavaniya fire from the Veda, he places the portion of the Brahman within the altar and the portion of the sacrificer outside the altar.
1.3.5.14	He places the Anvāhārya rice and the oblations.
1.3.5.15	Having taken the Anuyāja-kindling wood, he says, "O Brahman, we are about to depart." Having placed the kindling wood, the Agnīdhra should touch the enclosing sticks and the fire once each. Having instructed thus, he departs.
1.3.5.16	With the kindling-wood he cleanses the fire, saying, "Thou art the fire, the giver of wealth, the giver of good, the giver of strength, the giver of victory, the giver of oblations to the gods, the giver of gifts, the giver of the strong, I cleanse thee, the winner of the strong, the winner of wealth. Thou hast won the strong."
1.3.5.17	Having sprinkled the fire-places, he offers them into the fire with the verse, "May Rudra, the lord of beings, the bull, the mover of the string, the protector of cattle, not injure us. May this be offered to you. Svāhā."
1.3.5.18	Having brought the Upabṛt ladle to the Juhu ladle, he offers three Anuyāja offerings with the verses, "May I offer to the gods," "May I offer," and "May I offer" respectively.
1.3.5.19	Having kindled another fire, having offered another oblation, having placed the two ladles in the supreme place, having touched them together,
1.3.6.1	He takes up the Juhu with the Prāstara, saying, "May Indra be mine." He takes up the Upamant with, "May Indra and Agni be mine." He makes the Visuci, saying, "Indra and Agni are mine."
1.3.6.2	He carries the Juhu forward, saying, "I follow the impulse of Agni."
1.3.6.3	May the god Savitr ward off him who hates us and whom we hate. Having sprinkled (the oblations), he puts them back.
1.3.6.4	Having sprinkled, he puts them back (in the pot).
1.3.6.5	He anoints the enclosing sticks with the ladle, saying, "Thou art Vasu," (to the middle one); "Thou art Upavasu," (to) the southern one; "Thou art Visvavasu," (to ) the northern one.
1.3.6.6	"Having known the heaven and earth, having placed the sacrificial grass on the barhis, having released the Prastara, he anoints the root in the Dhruva with the formula, "In the earth, in the sky, in the heaven." Having placed the middle part in the Upabhuta, he anoints with the formula, "In the heaven, in the sky." Having placed the tip in the Juhu, he anoints it with the formula, "
1.3.6.7	Having again taken the grass from the Prāstara with the formula, "For the life of thee," having placed it with the roots, having seated himself on the Prāstāra, having caused to announce, having been announced in return, having caused to be recited, he directs the divine Hotr-priests to recite the Sūktavāka for the Bhadrā-vākya.
1.3.6.8	When it is said, "In this Rddhi Hotr," he strikes the kindling wood together with the Prāstara.
1.3.6.9	Having struck it forward, he releases them, saying, "Those who are released by the waters."
1.3.6.10	He instructs, saying, "Agni, lead."
1.3.6.11	The Agnidhra leads it three times with his hand.
1.3.6.12	The Agnidhr instructs, saying, “Strike and respond.”
1.3.6.13	"The life-force is not lost." He strikes the grass with the Upaṃśu (chant).
1.3.6.14	"This is it." He points with his finger three times.
1.3.6.15	"O Agni, you are the sustainer of life." He touches the limbs as per their shape.
1.3.6.16	Having touched the earth with the formula, "Thou art Dhruva," and having touched the eyes with the formula, Arci, he should touch the eyes with the formulas, "Yama gave me the eye again, Agni gave me the eye, Bhaga gave me the eye. The two Asvins gave me the eye for the eyes."
1.3.6.17-18	Having touched water, he goes around the middle enclosing stick, reciting, "Agni has gone." The Agnidhra replies, "He has gone." The Adhvaryu says, "Let him be heard." The Agnidhara replies, "Let it be heard." He instructs, "May there be welfare for the divine Hotr-s, and good fortune for the human ones. May there be peace for the Yajur."
1.3.6.19	The one whom you have protected, O Agni, the god, being pressed by the Pārvatikas, I follow him in this way, lest he should go away from you with a different mind. He strikes the Paridhīs.
1.3.6.20	He draws the northern half.
1.3.6.21	Having placed the ladle and the Upabhṛt, and having struck the Paridhīs, he releases the ladles.
1.3.6.22	He places the two ladles in the place of the posts of the Havirdhāna and the Kasta, saying, "I place you, the two ladles of Agni, the householder, in the assembly."
1.3.6.23	He draws the two yokes, saying, "May the two yokes of Ghritachi protect the sacrificer."
1.3.6.24	He does not place them back on the unremoved sacrificial grass.
1.3.7.1	The Adhvaryu, having taken the ladle, the Veda-cord, and the vessel of ghee, goes back. The Hotṛ takes the wooden sword. The Agnidhra takes the vessel of ghee.
1.3.7.2	The wives are consecrated at the Garhapatya fire. The Hotṛ is on the right, the Adhvaryu on the left, the Agnidhra behind, the wife of the Hotṛ in the rear half.
1.3.7.3	The sound of the Veda becomes audible.
1.3.7.4	In the northern half he offers to Soma, in the southern half to Tvashtra.
1.3.7.5	In the enclosed space he offers to the wives of the gods, Raka and Sinivali.
1.3.7.6	In front he offers to the wife of the gods, Sinivali, to one desiring cattle; above he offers to Raka, to one desiring heroes.
1.3.7.7	The wife, following the husband, offers with the ladle, saying, "May you be united, may you be united; may you follow the same path, may you follow the path of ghee. Whatever of yours has been poured into the fire, for that may you be united, husband and wife, svāhā."
1.3.7.8	In the northeast corner, Agni, the householder.
1.3.7.9	He offers four times, the Agnīdhra six times.
1.3.7.10	With the descending movement, he anoints the joints of the fingers. With the descending movement the Agnidhra invokes.
1.3.7.11	The eating has been explained.
1.3.7.12	Having placed the enclosing sticks around the fire, he offers the oblations of the four spoonfuls of clarified butter in the southern fire, saying, "O Agni, protect me from the unassailable, protect me from unassailable mind, protect me from heaven, protect me from prosperity, protect me from misfortune, protect me from ill-will, make our father free from poison, make the womb good, the good, the earth, svāhā."
1.3.7.13	"O Indra, make the minds of the people of this village agreeable to me. Svāhā." The second verse is for one who desires a village.
1.3.7.14	"On the pestle, mortar, potsherd, stone, and grinding stone, whatever is sprinkled, I offer it to the gods. May all the gods enjoy this oblation. Svāhā. " This is the offering of the ground flour.
1.3.7.15	Sarasvati who is the bestower of wealth, Sarasvati who is a bestower of wealth and beauty, these are the oblations of ghee.
1.3.7.16	The Hotṛ gives the Veda to the wife. "He says, "You are the Veda, you are the prosperity, you are the knowledge, you are the progeny, you are the action, you are the instrument, you are the activity, you are the good deed, you are the accomplishment, you are the accomplishing, you are the cattle." He sits down three times with each verse at the foot of the altar.
1.3.7.17	"This is the knot of Varuna, which Savitar, the upholder of truth, has untied in the womb of truth, in the world of the well-done. May I be without misfortune, together with my husband." Having untied the knot of the gold, he takes the yoke with the full vessel below.
1.3.7.18	He makes the wife recite the verse according to the sacrificer's wish in the full vessel.
1.3.7.19	At the end, he mutters "May we live together" over the full vessel.
1.3.7.20	He offers oblations for atonement to the desired ones, Svāhā! to the well-desired ones, Svāha! to the undesired ones, Svāhe! to the remedies for the ill-desired ones, svāhā! to Iṣṭi, svāhā to Svishṭi, svāhà to Niskṛti, svāhā, to Niskṛtyā, Darīṣṭyā, Durārddhyā, svāhā. To the divine bodies, svāhā; to the human ones, svāha. The excess I offer to the deficient, svāhā: the deficient I offer to the excess, svāhā The equal I offer to the equal, svāhā Earth, svāhā Heaven, svāhā Space, svāhā svāhā. You are our Agni, you are our Agni. The mind is light. The thirty-three threads. You are Agni and you are not Agni. The unheard, the over-heard, the Vasat-uttered, the non-Vasat-uttered, what is not recited, what is over-recited, the excess in the sacrifice, and what is deficient, Agni has joined them together, let him arrange them, svāhā Thus the unknown and the known are performed in the sacrifice. All that is done by Agni, for he knows it as it is. Svāhā! The Iṣṭi and the Svishṭi protect the sacrifice. May one protect our offspring, and may the other protect the sacrifice. Svāhā. Whatever fear has come to our house, whatever is unknown, whatever is caused by the gods, by the ancestors, or by humans, may Agni, the most powerful, remove that fear. May it be peaceful for our offspring, and peaceful for our cattle. Svāhā.
1.3.7.21	He fills the Dhruva vessel with ghee, reciting, "May the Dhruva be filled with ghee. May the divine ones, worthy of sacrifice, approach the sacrifice for Surya, the cow, the seat of Aditi, the great stream, the earth, at this sacrifice."
1.4.1.1	One should establish it in spring, in the full moon or new moon, a brahmin, in summer a kshatriya, in autumn a vaishya, and in the rainy season a chariot-maker.
1.4.1.2	It is for all castes and is cooling.
1.4.1.3	One should perform the rite of Rtu-Nakshatra-Parva-Sannipat.
1.4.1.4	Everywhere, one who is going to perform a Soma sacrifice.
1.4.1.5	Having shaved the hair and beard, wearing a linen garment, one should eat the Upvasa meal.
1.4.1.6	Having made three lines of the people of the gods, having placed the Upavasatha-offering on the western side of the middle line sloping towards the east, he offers with the verse, "To the wise, to the poet, to the knower, to the praiseworthy, to the bull, to the Vrishni, from where there is fear, may that be free from fear for us. May we worship the gods. Hail!" with the Kūṣmāṇḍa verses.
1.4.1.7	On that night he cooks Brahma-rice on the skin of a camel, having placed it in four vessels and in milk or boiled rice.
1.4.1.8	Having taken it out and made it oily, the four officiating priests, being initiated, eat it once.
1.4.1.9	He gives a boon to them.
1.4.1.10	Having taken three fire-sticks of the size of a span, he places them. The sticks of the Aśvattha tree of the month of Caitra, with leaves and flowers, are of the Stibigava variety. With the Gāyatrī verses, "May your impetuous horses come forth," he places the sticks of the Brāhmaṇa. "I am pressing you from all sides," he places the stick of the Rājanya. "Seven are your protectors of the people," he places the wood of the Vaiśya.
1.4.1.11	One should perform the Brāhmaudānika rite for a year, or for twelve nights, or for three nights, or for one night.
1.4.1.12	One should not speak untruth, should not eat meat, should not approach a woman, should not have his clothes washed, should not have the fire removed from his house, should not have it brought from elsewhere, should not go away, should not follow.
1.4.1.13	If he were to go away or follow, having cooked a pot of rice with four handles, he should again place the kindling woods.
1.4.1.14	He who is going to kindle the fire tomorrow, binds a black goat at night, saying, "O Agni, the offspring."
1.4.1.15	With the kindling wood in his hand, the sacrificer remains awake.
1.4.1.16	"He kindles the fire with chips, thinking, 'I am kindling the two worlds; I am prospering in both worlds; I am crossing over death.' One should kindle the fire with chips.
1.4.1.17	He kindles the chips on the fire-wood.
1.4.1.18	"This is your natural place of birth." He places the fire on the kindling sticks: "O Agni, the knower of beings, pour here the seed of the universe, from which the fire will be born through your heat." And also: "From the ashvattha tree, the carrier of oblations, born from the womb of the shami tree, the fire has been produced by Maya."
1.4.1.19	"You are the two who have the seasons, Agni and Retas, you have given the seed for growth and reproduction. That is true, that you are bearing a hero and will beget a hero. Tomorrow you will beget me. You who have been begotten, beget me with offspring, cattle, and brahmic lustre." Having recited this, he gives the kindling woods to the sacrificer.
1.4.1.20	The earth, the wife of the sky, the near one of truth, the one who is in the middle of the cattle, the one who has the Jātavedas as her son, the one who generates the sacrifices, the one who goes before, he accepts.
1.4.1.21	Having accepted, he restrains speech. "He approaches the truth from untruth. " "I approach the divine speech from the human." He restrains the divine speech."
1.4.1.22	They follow Agni and take out the ashes.
1.4.1.23-24	In the case of the Brāhmaṇa, he places the Garhapatya in front of the Āhavanīya, in eight steps; in eleven steps in the case of the Kṣatriya; in twelve steps in the case of the Vaiśya; or in an unlimited number of steps. The Dakṣiṇāgni is placed to the south of the Garhapaty, at a distance of three and a half steps.
1.4.1.25	In the order of the installation, he lays down the half of the materials for the Ahavaniya, and the other half for the other two fires.
1.4.2.1	"The wave of honey has come from the oceans, establishing the passage to sovereignty. We who are the generous ones and those who are the generous, may we gather the honey-sweet food." This is the Utsamudaka.
1.4.2.2	Whatever he saw in the middle of the water, the place of the earth, the support of the world, that leaf of the lotus, which was born from the abode of the lotus, I take the spreading of the earth. Having placed the lotus leaf, it was the highest, then the goddess, when she was spreading separately, that was struck by the boar.
1.4.2.3	Having placed the pot of earth on the mound, he meditates while sowing the seeds, "Whatever is dark in the moon, may that be here."
1.4.2.4	"Whatever is above the heaven and whatever is here on earth, you have come together to the same source. May the knower of beings sit on its back, may he be auspicious for the creatures, may he be here for prosperity." He sows.
1.4.2.5	The Moon, Agni, the Moon-chariot, Hari-vrat, the All-pervading, the Water-seated, the Knower of Heaven, the Plunger, the Swift, surrounded by powers, the Shining, the Gods have placed here the Shining One of good fame. Thus are the sands of the river.
1.4.2.6	One who is about to spread sand should mentally think of the hated one.
1.4.2.7	The three worlds are not firm, the three worlds are not strong, the three worlds have been conquered by the three worlds. He scatters (the grains) with the verse, "The three worlds are not steady, the three worlds do not conquer, the three worlds conquer the three worlds, the three worlds conquered the three worlds."
1.4.2.8	"Rise up, O Agni, from thy mother earth, and enter the great abode of the gods. The worshippers have placed thee on thy car, the bearer of oblations, the guardian of the world." Having placed the grass of the Aakhuka, the Pipilika, the cow-pen, the chaff, the iron-pieces, the Ashvattha, the Udumbara, the Vikankata, the Sami, the tree struck by lightning, and the Palasha, he mixes them together, saying, "I mix your hearts together. May your soul be agreeable. May your bodies be agreeable to me."
1.4.2.9	When the rays have appeared, he lays down the Garhapatya after churning it. When the sun has risen, or not risen, or set, he lays down (the other two fires) when the sun has risen.
1.4.2.10	Having placed the kindling woods in the form of the Garhapaty, he recites the formula on the kindling woods. With the sound of the Dashotr, he lays down both the kindling woods.
1.4.2.11	The Adhvaryu makes the sacrificer recite the Anuvāka beginning with "Cittī Sruks."
1.4.2.12	The one who is going to churn recites, "Agni who is ours, I am taking up."
1.4.2.13	He churns with the verse, "Be born with Agni, with wealth, with nourishment, with progeny, with Brahmic glory."
1.4.2.14	Born, he breathes forth. "With the breath of Prajapati, I breathe forth thee; with the nourishment of Pusan."
1.4.2.15	He gives a boon to the born one.
1.4.2.16	"The mortals have generated the immortal, the unaging, the unwearied, the unweariable. The ten sisters, the high-born, the uniform, have embraced the male, the born one." He takes it.
1.4.2.17	Brahma, seated to the right, worships the golden piece placed to the north.
1.4.2.18	The sacrificer gives silver to the one he hates.
1.4.2.19	If the one hated is not present, he throws it away.
1.4.2.20	Worship and giving are done everywhere.
1.4.2.21	Having recited the mantras for placing, he places it on the ground.
1.4.2.22	"This is the cow," says the serpent queen.
1.4.3.1	Whatever nectar there is in the earth, that Agni gave to Agni. In that (Agni) may this be deposited. With that beginning and ending with 'With light thou hast attained light', the Angirasas, the Brahmanas, should deposit thee in the vow of the gods. The Bharadvajas should deposit thee in Bharadvaja's vow. The Angirasas should deposit thee in Angiras' vow. The Bharadvajas should deposit thee in both Bharadvaja and Angiras' vow, the Angirasas should also deposit thee in both. The Angirasa-Bharadvajas should also deposit thee. The Angiras-Bharadvaja-Bharadvajas should also deposit thee.
1.4.3.2	The Adhvaryu says, "I am placing the two mantras of the kindling." The sacrificer says, "You are placing."
1.4.3.3	Having kindled the blazing (fire), he recites, "May you delight in wealth." Having recited the last verse, "May the two Sarasvatis protect you," he places three kindling sticks of ashvattha with the three verses, "O Agni, do thou purify the life-breaths."
1.4.3.4	He places the southern fire from the Garhapatya.
1.4.3.5-7	When the Āhavanīya fire has gone out, one should rekindle it from the Bhrāṣṭra fire. For one who desires food, from the Bhrāsṭra fire. The Sarpārajni verse, "The thirty worlds, the nectar of the sky, that Agni gave to Agni, may this be deposited in that." This is the Vyāhṛti verse, as the Adhvaryu deposits it.
1.4.3.8	Having placed the Agni-bringing rites on the Garhapatya fire, having placed the horse of the chariot in front facing towards him, he mutters at his right ear, "O Vājin, of Agni."
1.4.3.9	He lifts up the Agni with the words, "For strength and power to thee."
1.4.3.10	Having placed the chaff in a basket, he places the ladle below.
1.4.3.11	He moves it with the words, “In the eastern direction.”
1.4.3.12	The horse is led in front.
1.4.3.13	The horse is taken away from the ankle, the knee, the navel, the shoulder, the ear.
1.4.3.14	One does not lift the horse beyond the ear.
1.4.3.15	The horse, being taken away from the right, is held with the breath.
1.4.3.16	At the same time, he gives a boon.
1.4.3.17	When the horse is being led, the Brahman, holding the reins, turns the chariot.
1.4.3.18	One who has an enemy or a rival should thrice circumambulate the chariot wheel.
1.4.3.19	One should advance the horse towards the fire with the verse, "All have assembled."
1.4.3.20	One should not let it go forward.
1.4.3.21	The Brahmana explains that one should not leave it without placing it.
1.4.3.22	The Sarprajni (hymn) is recited within. Whatever nectar there is in heaven, that Agni gave to Agni. Let this be deposited in that. Bhuvah, Svar, the Vyahrti (hymn), as far as "O Agni, for the offering, for carrying."
1.4.3.23	Standing facing east, with his back to the fire, he should place the foot on the ground, reciting the verse, "May you delight in the rays of the sun." At the end, he should make the horse smell the two ends of the sacrificial grass, reciting the verse "May the two ends of Sarasvati's grass be purified."
1.4.3.24	He should say, "May the Jātavedas Agni placed on the kindling woods be sung in this Sāman," referring to the kindling woods placed on the ground.
1.4.3.25	One should say, "Sing this Sāman, 'Agni, the men with their rays,' at the time of joining together."
1.4.3.26	"Your earth is shining, O Agni," one should say, "sing this Sāman at the time of smoke."
1.4.3.27	"You are the best knower of the path," one should say "sing this Sāmā at the time of birth."
1.4.3.28	One sings the Rathantara when the Garhapatya is being set up.
1.4.3.29	When the big sacrificial fire is being taken up,
1.4.3.30	the Vamadevya and the Yagyayajniya are being laid down.
1.4.3.31	When the Varavantiya is laid down, the Varapani is laid down. When the Shyaita is laid down,
1.4.3.32	he lays down the Sabhya fire in front of the Sabhya hall and the sacrificial fire.
1.4.3.33	Behind it he lays down four hundred dice.
1.4.3.34	Before the Sabhya, the Avasathiya.
1.4.3.35	Having released the speech, he gives the Dakṣiṇā.
1.4.3.36	The horse is for the Brahman, the Adhvaryu.
1.4.3.37	The goat is for the Agnīdhra, the Upabarhaṇa, and the entire thread.
1.4.3.38	This silken garment is for the Adhvaryus.
1.4.3.39	Having gone around the horse and the cow in front of the resting place and behind, to the Hotṛ.
1.4.3.40	The two-year-old and the one-year-old are the two kinds of yokes. All these are not specified.
1.4.3.41	The number of cows is six, twelve, twenty-four, and unlimited.
1.4.3.42	One should avoid speaking untruth, fasting as a brahmin, staying in one's own created pit, bathing inside a boat, eating cooked food from a pot, and kindling a fire with wet wood.
1.4.3.43	The sacrificer worships the fires.
1.4.4.1	He says, "Protect my cattle" to the Ahavaniya fire, "Protect my progeny, my man" to the Garhapatya fire, "Understand my food, protect" to the Dakshina fire, "Protect the assembly, the foremost" to the Sabhya fire, "Protect me, the serpent, the Brahman" to the Avashthya fire.
1.4.4.2	He puts on the Āhavaniya fire-wood of various trees, saying, "To Savitr, the desirable, we offer." He puts on the Samidha fire-wood of the Shami tree, saying, "We offer to the desirable." He puts on a fire-wood of Vikaṅka tree, saying, "Agni is kindled." He puts on fire-wood of Udumbara tree,
1.4.4.3	The form of thine, O Agni, which is dear to thee in the cattle, which is in the earth, which is in Agni, which is in Rathantara, which is in Gayatri metre, that I have won for thee. To that be svāhā. The form of thine which is dear to thy, O Agni, in the waters, which is in heaven, which is in Vāyu, which is in Vaimātrya, which is in Trishtup metre, that I win for thee. To it be svāhā, The form of thine that is dear to thee, O Agni, that is pure in the sun, which is in Heaven, which is in Brihat, which is in thunder, which is in Jagatī metre, that I now win for thee. Be svāhā to it. Thus three oblations.
1.4.4.4	From the ocean, a wave. With three (verses) he places three Samī-wood kindling sticks smeared with ghee.
1.4.4.5	The fires that are of one mind. With an Udumbara wood kindling stick not cut.
1.4.4.6	"Hunger, thirst, oiliness, always, the unfathomable, the unoffered, and the unappeased, these are thy bodies, O Agni, that are ever active. May they go to him whom we hate." Thus does the sacrificer, meditating on the hated one in his mind, mutter.
1.4.4.7	Having taken four spoonfuls of clarified butter, he offers a full oblation, going forward towards the Ahavaniya, turning towards the north, and reciting, "Seven are thy fires, O Agni."
1.4.4.8	When the oblation has been offered, he gives a cow.
1.4.4.9	"Those who are the fires in heaven," with this (verse) the second (oblation).
1.4.4.10	Having turned back, the king and the lord of the subjects, having approached the Ahavaniya in turn, he offers an oblation to Agni on eight potsherds.
1.4.4.11	Having placed the dice in the middle of the sacrificial ground, having placed gold, having seated himself with the vow observed, having offered the oblation, having sprinkled the oblation, he should offer to the king at the Madhyādhidēvanē.
1.4.4.12	On that day, the cows should be gambled in the assembly.
1.4.4.13	There, he gives a hundred dice to the sacrificer.
1.4.4.14	That should be examined.
1.4.4.15	Without harming the dice, they should be gambled.
1.4.4.16	He should offer it to the assembly.
1.4.4.17	With that, whatever food he conquers, he should give it to the Brahmins.
1.4.4.18	"He offers with the verse, "O serpent, the lord of wealth," to the two who are truthful by nature."
