1.1.1	We shall explain the (Vedic) sacrifice.
8.4.2	When he has been addressed: "Recite the offering-verse for the (oblation of the) mess of rice destined for Soma,’’ he recites as offering-verse: “Thou, O Soma, together with the Fathers".
8.4.3	When he has been addressed: “Recite the offering-verse (for the libation) of the butter”, he mutters whisperingly: “Stride thou widely, O Viṣṇu, make wide room for our abode. Drink the butter, thou born of butter, and speed the lord of the sacrifice ever onwards”.
8.4.4	The offering (of liquified butter) at both sides (of the oblation of the mess for Soma) is optional.
8.4.5	The hotṛ having gazed on the mess of rice for Soma, touches with his two fingers the butter (which has been poured into a hole made in the middle of the earn).
8.4.6	With the formula: “Thou art the guardian of eye-(sight), guard my eye-(sight)” he rubs his eyes (with the fat on his fingers).
8.5.1	When he (the agnīdhra) has been addressed (by the adhvaryu) with (the words): “Agnīdh, recite the offering-verse (for the oblation of the soma-draught) destined for (Agni) with the wives (of the Gods)” he (the agnīdhra) recites whisperingly the offering-verse: “With these, O Agni, on the same chariot come hither”.
8.5.2-7	Having taken the draught from which nothing has yet been paṛtaken, he enters the sadas through the eastern door, sits down to the north or the neṣṭṛ near him or in his lap; having said: “Neṣṭṛ, invite me" he paṛtakes of the remains of the Soma, touches water and returns along the way by which he had come.
8.6.1	The yajñāyajñīya-stotra belongs to the āgnimāruta-(śastra). (It consists of the following hymns and verses).
8.6.2	The (hymn) addressed to Vaiśvānara: "O Vaisvana a of broad radiance".
8.6.3	(The single) verse: “Let come hither, O Father of the Maruts'’
8.6.4	The (hymn) addressed to the Maruts: “The eneṛgetic".
8.6.5	As stotra and antistrophe (triplets) the two pragāthas of the yajñāyajñīya-(laud): “By sacrifice on sacrifice to Agni'';' and “The God who gives treasures".
8.6.6	(The hymn) addressed to (Agni) Jātavedas: “Bring a strong prayer to Agni”.
8.6.7	The three verses: “Ye waters are wonderful”.
8.6.8	The single (verse): “And may Ahi of the depths hearken unto us”.
8.6.9	The two verses: “May the consorts of the Gods favour us”.
8.6.10	The two verses: “Rākā I call”.
8.6.11	The three akṣarapaṅkti (verses): “The new friend has gained".
8.6.12	The three (verses) addressed to the Fathers: "May the Fathers arise".
8.6.13	The (verses) addressed to Yama: "Sit down on this strew O Yama”; "Mātalī with the Kavyas”; "Come with the Aṅgiras, O Yama”.
8.6.14	The three verses: "Sweet, forsooth, is this”.
8.6.15	At these verses the responsive call of the adhvaryu contains a word derived from the verb ‘to be drunk’.
8.6.16	The isolated verses: "By whose vigour”; "Of Viṣṇu now will I proclaim”; "Stretching the thread”.
8.6.17	Having closed (the śastra) with the verse: "May the bountiful Indra for us” he mutters the formula called ‘strength of the śastra’ and applies as offering-verse: "May Agni with the Maruts”.
8.7.1	The first nivid (belongs) to the marutvatīya-(śastra).
8.7.2	The second to the niṣkevalya-(śastra)
8.7.3	The third and following ones (belong) to the vaiśvadeva- and the āgnimāruta-(śastra).
8.7.4	The last belongs to the ṣoḍaśin.
8.7.5	As many hymns there are, so many are the nivids.
8.7.6	The call is (inserted) before each hymn (in a śastra).
8.7.7	And before each nivid.
8.7.8	And before each isolated verse.
8.7.9	And before the closing-verse.
8.7.10	At the vaiśvadeva-śastra before the opening and the sequel-triplets.
8.7.11-18	At the āgnimāruta before the strophe- and the antistrophe-triplets, before the verses: “Ye waters are wonderful", before the verses to the Consorts of the Gods, one to Rākā, the akṣarapaṅkti verses, the verses to the Fathers, to Yama, and the svāduṣkilīya-verses.
8.7.19	Not hastingly is the (mode of) recitation of the vaiśvadeva-(śastra).
8.7.20	Quickly is the mode of recitation of the āgnimāruta-(śastra) with the exception of the verses: “Ye waters are wonderful”.
8.7.21	Having deposited ‘the soma-draughts-in-waters', and having performed of the victimal sacrifice the acts which begin with the after-offerings and which end with the śaṃyu, they proceed with the hāriyojana-(draught).
8.8.1	The invīting-verse is: “Stand still, O bounteous God”.
8.8.2	The (formula for) prompting is: “Of the Soma mixed with fried barley, O Indra"’.
8.8.3	The offering-verse is: “I yoke through holy power thy bay (steeds)’’.
8.8.4-5	The secondary vaṣaṭ is: either “Of the Soma mixed with grains Agni paṛtake’’, or simply: “Of the Soma, O Agni, paṛtake”.
8.8.6	With (the formula): “Of thou that art washed in water, O God Soma, who knowest the mind (of men), who art by men lauded with lauds and praised with praise (śastra) and offered with sacrificial formulas, who art the horse-winning, cow-winning beverage, of thou who hast been called near I, being called near, paṛtake’’, they paṛtake only by smelling at it and thereupon distribute the grains.
8.8.7	The hotṛ should try to get the greater part of them.
8.8.8	They leave the sadas along the same way by which they enter it at the morning-service.
8.8.9	With (the verse): “Even as ye did set free the buffalo-cow” having gazed on all the dhiṣṇyas they betake themselves to the Āhāvaniya, passing to the north of the agnīdhriya (shed).
8.8.10	In the fire of the agnīdhriya-shed they perform the libation for atonement with (the following mantras and verses): “bhūḥ bhuvaḥ svaḥ!” "Be, O Agni, nearest to us”; "Do thou, O Agni, appease the wrath of Varuṇa”; and "May this, O Mitra and Varuṇa”.’
8.8.11	Then they throw the grains (at which they have smelled) at the border of the ashes of the Āhāvaniya with (the formula): "Be ye fillers! fill me with children and cattle”. Thereupon they put each of the five chips into (the Āhāvaniya fire).
8.9.1	With (the formulas): "Thou art the expiation of the fault committed by myself. Thou art the expiation of the fault committed by men. Thou art the expiation of the fault committed by the Fathers. Thou art the expiation of the fault committed by the Gods, and of what fault I have committed willingly and unwillingly; of all that art thou the expiation”.
8.9.2	Turning themselves around their left arm as axle, they sit down to the north of the Āhāvaniya each behind his bowl of 'soma-draughts-in-waters', put strainers into them and shuffle them (the bowls) with (the verses): "The waters have united with the waters, the herbs with juice. Let the rich ones be mixed with the moving ones, let the sweet ones be mixed with the sweet".
8.9.3-4	(When they have said): "We are invited all of us" they paṛtake of these draughts by smelling at them with the (formula): "Of thou that hast been washed in water, O God Soma, who knowest the mind (of men), who art the horse-winning, cow-winning beverage, of thou who hast been called near, I, being called near paṛtake".
8.9.5	With (the two verses): "Let this praise fetch you, O Maruts" and "By whose vigour the spheres were propped up" they pour (the contents of the bowls) out in an eastern or a northern direction.
8.9.6	They address (the contents when they have been poured out) with (the verse): "I send you off to the ocean".
8.9.7	They thereupon touch their breast with the four verses: "Hail to us the Goddesses".
8.9.8	The touching of the vital breaths and the wiping of the mouth is the same.
8.9.9	Having turned themselves around to the right they paṛtake, in the agnīdhriya-shed, of sour coagulated milk, (in the same manner) as the paṛtaking of the sour coagulated milk.
8.9.10	Having brought to an end the patnīsaṃyājas, he descends, when the śamīstayajus-oblations are performed, unto the avabhṛtha.
8.10.1	With (the verse): “May the strength again come to me, again the soul, the property and the sacred lore. May the dhisnya-fires again each on its own spot here be maintained” the sacrificer should fix his looks on all the dhiṣṇyas, and either at this moment or after the slaughtering of the anubandhyā-cow gaze on all the officiating priests with the verse: “The two wise youths bestow according to the law, the truth. Ye lords of the law, of the truth, let us dissolve our alliance".
8.10.2	Whilst he (the sacrificer) goes along (with the others to the water-side, he mutters the verse) : “A broad path has king Varuṇa made”.
8.10.3	All of them join in the finale of the saman.
8.10.4	With (the formula) : “Homage to Varuṇa, trodden upon is Varuṇa’s rope” he puts his foot in the water.
8.11.1	(Then takes place) the sacrifice to Varuṇa.
8.11.2	It is a modification of the sacrifice on full-moon day.
8.11.3	Or the (verses with which the butter-portions are offered) are those containing the words 'in the water’: “In the water, O Agni”; “In the water my Soma”.
8.11.4	He performs the sacrifice standing.
8.11.5	(The invīting- and offering-verses for the principal oblation are): “Loose the uppermost rope’’; “Thy wrath, O Varuṇa”.
8.11.6	(By the two verses): “Be, O Agni, nearest to us”, “Do thou Agni appease the wrath of Varuṇa” he assigns Agni and Varuṇa.
8.11.7-8	The formula (addressed to Sviṣṭakṛt) he may either speak or not speak.
8.11.9	Of the fore-offerings and the after-offerings the one to the sacrificial strew is left out.
8.11.10-11	The sacrifice begins with the fore-offerings and ends with the after-offerings or with the oblation to Agni Sviṣṭakṛt.
8.11.12	Or the two butter-portions and the two after-offerings may fall out.
8.11.13	With (the verse): “By which glory the two made the two women, by which they touched the sura, by which they sprinkled the earth: this wide terrestrial world, which glory there is yours, O Aśvins, thereby sprinkle me" the hotṛ sprinkles himself (when coming out of the water of the lustral bath).
8.11.14	The sacrificer, whilst coming (out of the water and returning mutters) the (verse): "I, a human being, come to my dwelling with auspicious look”.
8.11.15	With (the verse) : "Nay Pūṣan, possessor of a thousand cows sit down here'' he sits down (on his usual sitting-place) and lays two fuel-sticks on the Āhāvaniya, the first with : "Thou art the fuel-stick of the Gods", the second without mantra.
8.11.16	The same does bis wife in the Gārhapatya without any mantra.
8.12.1	By the introductory sacrifice the concluding sacrifice is explained.
8.12.2	There is inverting of the invīting- and offering-verses.
8.12.3-4	He sacrifices to Pathyā svasti on the fourth, to Savitṛ on the third place.
8.12.5	A barren cow must subsequently be fettered (and immolated) to Mitra and Varuṇa.
8.12.6	Or (it may be replaced by) an āmikṣā.
8.12.7	The invīting-verses are : "Might I bring you, O Mitra and Varuṇa” (for the sacrifice of the omentum); "This your greatness, O Mitra and Varuṇa” (for the victimal cake); "Sprinkle, O Mitra and Varuṇa, by our delightful oblation" (for the sacrifice of the parts of the victim).
8.12.8	The offering verses (for the same occasion are successively): “Ye both are clad in garments of fat"; “What is most abundant"; and “Stretch out your arms".
8.12.9	From the sacrifice connected with the consecration on up to the end of the sacrifice of the barren cow, he does not cause the mistress of the house to speak (the verse), nor does he strew the grass-blades.
8.12.10	At the end of the sacrifice of the barren cow he causes her to speak the verse and strews the grass-blades down before (to the east of) the dhisnya of the agnīdhra.
8.12.11	The heart-spit he addresses with (the following formulas and the verse) : “Do not hurt the waters nor the herbs. Thou art pain (heat). To him whom we hate may go thy pain". “From every abode of thine, O king Varuṇa, therefrom set us free. From the oath we swear by the waters, by the kine, by Varuṇa from that set us free". Then they touch water with (the formula): “May the waters and the herbs be friendly disposed to us", and sprinkle it to the south with the formula : “May they be unfriendly disposed to him who hates us and whom we hate".
8.12.12	Or the āmikṣā (if this replaces the barren cow) begins with the butter-portions.
8.12.13	It is a modification of the rite of new-moon.
8.12.14	It is without the prose formula of the Sviṣṭakṛt and ends with the iḍā ceremony.
8.13.1	Having settled down to the north, he pours out with a verse addressed to Viṣṇu on this new fire a full-spoon and performs the sacrifice on the newly chosen spot.
8.13.2	It is an iṣṭi to Agni.
8.13.3	It is a modification of the rite of full-moon day.
8.13.4	The (invīting- and offering-verses) which (are used) at the renewed establishment of the sacred fires, (are used) for the (principal) oblation and the one for (Agni) Sviṣṭakṛt.
8.13.5	If (the principal oblation) is a cake on five kapālas, the iṣṭi conforms to that of the renewed establishment.
8.13.6	When the iṣṭi has been brought to an end, he (the sacrificer) performs the agnihotṛa of the evening.
8.14.1	The (acts of the) morning-service (are performed) with a low (pitch of) voice.
8.14.2	Somewhat louder than the ājya(śastra) is the praüga (śastra).
8.14.3	With the middle (strength of) voice the midday-service.
8.14.4	Somewhat louder than the marutvatīya (is) the niṣkevalya.
8.14.5	With the loudest voice the afternoon-service.
8.14.6	Somewhat louder than the vaiśvadeva is the āgnimāruta.
8.14.7	Or the midday service is with the loudest.
8.14.8-9	The afternoon-service with the lowest or middle one.
8.15.1	Until the end of an act for which he utters (his formula of) prompting, he restrains his voice.
8.15.2	Likewise from the call on unto the secondary vaṣaṭ.
8.15.3	During the morning-litany the brahman (restrains his voice).
8.15.4	After he has paṛtaken (of the soma-draught) (he restrains his voice) until the impulse.
8.15.5	From the impulse on, unto the secondary vaṣaṭ.
8.15.6	After he has heard the end of the atipraiṣa, up to the act of bringing the overnight-water around (the vihāra).
8.15.7	Before the pavamāna-(laud)s the oblation to the drops (must be performed by him) with (the two verses): "What drop of thine leaps away" and "The drop leapeth away".
8.15.8	And thereupon he glides along the (others) who glide (towards the place where the pavamāna laud is chanted).
8.15.9	Likewise does the maitrāvaruṇa.
8.15.10	At a ceremony which is connected with a high-altar built of bricks, he (the brahman) mutters, whilst the fire is being brought forward, the apratiratha-hymn.
8.15.11	(The verse): "All regions, at the south, all Gods hath he worshipped. Of the sweet gharma, consecrated by ‘hail’, drink ye, O Aśvins" he mutters whilst accompanying the mahāvīra.
8.15.12	At the moment when the vaṣaṭ has been said (over the offered gharma) (he mutters): "Ye Aśvins, drink the gharma, the hearty one with daily favours. Homage to the Web-weaver, to Heaven and Earth."
8.15.13	After the secondary vaṣaṭ (he mutters): "The Aśvins have drunk the gharma, Heaven and Earth have consented. May gifts be present here."
8.15.14	What has not been stated (above) is simiḍār
8.15.15	This is the brahman’s (part of the) acts for the (sacrifice of) Soma.
8.16.1	"May Indra accompanied by the Maruts drink the Soma— who is praised by the Maruts, who is accompanied by the troop of the Maruts—whose inspirers are the Maruts, whose friends are the Maruts—the Gods who applauded him—at his conquest of the waters, at his victory over Vṛtra—at his slaying of Sambara, at his seeking of the cows—as he praised (?) the traces that were to be kept concealed—in the farthest distance—He slew Vṛtra, he freed the waters—together with the strength of the Maruts—And the prayers strengthened him—irresiṣṭible by their might—Paying reverence to the Gods—together with his allies the Maruts—may Indra accompanied by the Maruts here hearken, here drink of the Soma. May the God favour this God-invocation with divine thought. May he favour this priesthood, this reigning order— May he favour this soma-pressing sacrificer—he the wonderful with wonderful help—May he hear the prayer, may he come with help".
8.16.2-3	Now the (formula called) the strength of the śastra: "Form conformable, corresponding beautiful form here....blessing  For the hearing thee. The uktha-(śastra) has been uttered for Indra".
8.17.1	“May the God Indra drink the Soma— he who is the most manly amongst the single ones— the most courageous amongst born in great numbers— the driver of the bay steeds— the lover of Prsni— the wielder of the thunderbolt— the destroyer of the citadels— the demolisher of the citadels— the leader of the waters— the leader of the warriors— the overpowering, far renowned— the wealth-granting, the one of wonderful skill— the God who willingly has come here — May the God Indra hearken here, may he here drink the Soma — May the God favour the God-invocation”’ etc. as above.
8.17.2-3	Now the formula ‘strength of the śastra’: “Thou art the sovereign, thou art the self-ruler, thou art the ruler far and wide, thou art the king, thou art the over-powerer, may we overpower whom we hate. —For the listening thee ! The śastra has been uttered for Indra”’.
8.18.1	“May God Savitṛ enjoy the Soma—- the golden-handed, beautiful-tongued— of beautiful arms, of beautiful fingers—- of efficacious instigation thrice a day— who has incited the two wealth-possessing ones— both delighting in his incitation—procuring the excellent (gift) of Savitṛ— the milk-giving cow—the draught-ox— the swift courser— the victorious charioteer— the prolific wife— the youth fit for the assembly. —May God Savitṛ drive away by bis incitation the grief, away the wicked— may he hearken here, may he enjoy the Soma— May the God favour the God-invocation’’ etc. as above.
8.19.1	“May Heaven and Earth enjoy the Soma— the father and the mother— the milch-cow and the bull— the fortune-procuring and the dliisana— the one of good semen and the one of good milk— the beneficient and the wonderful— the one rich in food and the one rich in sap— May Heaven and Earth hearken here— May the two Goddesses favour this God-invocation with divine thought— May they favour this priesthood, this reigning order— May they favour this soma-pressing sacrificer— they the wonderful with wonderful help— May they hear the prayers, may they come with help”.
8.20.1	"May the Ṛbhus, the Gods, enjoy the Soma— the skilful by their activity— by their work deft-handed, by their riches most rich— by activity most active, by power most powerful— who fashioned the milch-cow, the all-impelling, omniform—they fashioned the milch-cow, she became omniform— they awakened, the young ones, enjoying— they yoked the two bay steeds, they went up to the Gods— after the lapse of a year, skilful, they came to a part of the sacrifice. —May the Ṛbhus, the Gods, hearken here, may they enjoy here the Soma. May they favour this God-invocation with divine thought. —May they favour this priesthood, this reigning order. —May they favour this soma-pressing sacrificer— they the wonderful, with wonderful help. May they hear the progress, may they come with help”.
8.21.1	"May the All-Gods enjoy the Soma—They all, worshipped everywhere —the exceedingly great—having dressed food, having half... —jointly conveying the cooked food—they who stand in heaven and on earth—on the waters and the sky—on the sacrificial strew and the altar—on the sacrifice and in the intermediate region —they whose soul is the mind, whose messenger Agni. —ye who are three and eleven—and three and thirty—and three and three hundreds—and three and three thousands—so many at the rising—so many at the setting (of the sun) —so many are their consorts—so many their wives—so many followers—so many attached to giving—or, ye Gods, ye are more numerous than that-—May I not be separated, O ye Gods, fiom yoir—nor from your—May the All-Gods hearken here, may they enjoy the Soma—May they favour this God-invocation’’ etc. as above.
8.22.1	"May Agni Vaiśvānara enjoy the Soma— the fuel-stick of all the Gods—the imperishable divine light—who hath shone for the clans of men—who hath shone on the days of old—imperishable on the foremost rank of the dawns—who illumines the sky and the earth—and the wide intermediate region—by his light may he bestow protection on him who is worthy of sacrifice— May Agni Vaiśvānara hearken here, may he enjoy the Soina. May he favour this God-invocation’’ etc. as above.
8.23.1	"May the Maruts, the Gods, enjoy the Soma—who possess good praise, good laud—who chant hymns, who are very vigorous—the foggy ones, clothed with rain—the impetuous, the sons of Prsni—the radiant, wearing golden brooches —the strong whose coming brings happiness—the heroes with invincible chariots—May the Maruts, the Gods, hearken here, may they enjoy Soma. May the Gods favour this God-invocation’’ etc, as above.
8.24.1	“May Agni Jātavedas enjoy the Soma-- he of beautiful front, of splendid light— the houselord who is never from home— who is visible through the darkness— to whom belongs the oblation of butter, the adorable— of thick covering, whose sacrifice!’ is never laid low— the invincible victor as he assails the enemies— O Agni Jātavedas, procure power and victory, stusa stusah —Protect from anguish him who enkindleth (thee)— May Agni Jātavedas hearken here, may he enjoy the Soma. May the God favour the God-invocation ' etc. as above.
8.24.2-3	Then the (formula called) ‘the strength of the śastra’ : “Splendour then art. Boldness thou art. Violation thou art. Subjugation thou art. Separation thou art. Basis thou art. Support thou art. The one who must be supported thou art. For hearing thee. The śastra has been uttered for Indra, for the Gods".
8.25.1	“Under inspiration of this, O singer, may Indra enjoy the Soma— under inspiration of this, O singer, Indra slew the dragon —under inspiration of this, O singer, Indra slew Vṛtra —under inspiration of this, O singer, Indra propped the sky and spread out the earth —under the inspiration of this, O singer, Indra traversed the intermediate region and raised the sun on the sky —under the inspiration of this, O singer, Indra elevated the Aryan race and threw down the barbarian race —under the inspiration of this, O singer, Indra made swell the not-swelling ones, and incited the not quick —under the inspiration of this, O singer, Indra brought to standstill the mountains which moved about like leaping antelopes —under the inspiration of this, O singer, Indra raised lhe stream of the waters —under the inspiration of this, O singer, may Indra hearken here who resides in the mountains.' Under the inspiration of this, O singer, may Indra hearken here. May he enjoy the Soma. May he favour this God-invocation" etc. as before.
8.25.2-3	Then ‘the strength of the śastra’ : “By the heights the height, the summits of the ruddy one. The body of svaṛga, on the firmament".
9.1.1	The agniṣṭoma (explained in the preceding chapters) is the model for the sacrifice of twelve days and the (other) one-day soma-sacrifices.
9.1.2	We shall (now) explain its modification.
9.1.3	An appellation occurring in the model, when mentioned at (the occasion of) a different substance, annuls the (rule of) the model.
9.1.4	(Likewise does) a prohibition.
9.1.5	(Likewise does) the aim.
9.1.6	(Likewise does) the number (?).
9.1.7	Or an addition.
9.1.8	By the addition of three śastras after the āgnimāruta-śastra the ukthya comes about.
9.1.9	By the addition of one after the ukthya-śastras the ṣoḍaśin.
9.1.10	By the addition of thirteen after the ṣoḍaśin the overnight rite.
9.1.11	The place (of insertion) is below the āgnimāruta-śastra and the after-offerings of the victimal sacrifice.
9.2.1	The sākamaśva-(stotra) belongs to the maitrāvaruṇa.
9.2.2	It consists of the following verses and hymns: "Come hither, I will gladly sing to thee" are the stotra- and antistrophe-triplets.
9.2.3	The two triplets: "The upholder of the people", "He propped the sky".
9.2.4	The hymn: "Give, O Indra and Varuṇa, to our sacrifice".
9.2.5	The hymn: "May I turn ye, O kings, to the sacrifice".
9.2.6	As offering-verse he applies: "O Indra and Varuṇa of the most sweet Soma".
9.3.1	The saubhara-(stotra) belongs to the brāhmaṇacchamsin.
9.3.2	It consists of the following verses and hymns: "We, O incomparable one, thee"; and "He who all this before" are the stotra- and antistrophe-pragāthas.
9.3.3	The two triplets: "To the most liberal" and "He who splitting the mountain".
9.3.4	The hymn: "As a shooter" without the last (verse) and the hymn: "As bird swimming in the water". Having recited these he closes the śastra with the verse which had been omitted and applies as offering-verse: "Ye two, Bṛhaspati and Indra".
9.4.1	The nārmedha-stotra belongs to the acchāvāka.
9.4.2	(It consists of the following parts). The triplets “For, O Indra who invest the chants" are the stotra- and antistrophe-triplets.
9.4.3	(The hymn): “The season, the mother".
9.4.4	(The hymn): “Of Viṣṇu now".
9.4.5	(The hymn): “Him who drinks of the Soma".
9.4.6	(The hymn): “With the rite".
9.4.7	As offering-verse he applies: “O Indra and Viṣṇu, ye lovers of the soma juice".
9.5.1	At the moment when they are going to hold the laud for the ṣoḍaśin, the sacrificer should revere the ṣoḍaśin draught (of Soma) with (the verse): “Than whom no other is born higher, he who encompasseth all beings; Prajāpati, being united with creatures, is associated with the three lights, he the ṣoḍaśin".
9.5.2	As stotra-triplet he recites (the two verses): “Indra, enjoy thou—drive on—come, O Hero, with the bays here—drink of the Soma—like a wise one (?)—loving the sweet (draught)—fair one for intoxication”. (1) "O Indra, thy belly—like one to be praised—fill thou with the sweet (draught)—like the heavens—with this Soma—like the sky—unto thee have advanced the well-recommended intoxications”. (2) "Indra, the swiftly overpowering—like a friend—has slain Vṛtra, as a yati—He split the cave—as Bhṛgu—he overpowered his foes, for the intoxication of the Soma”. (3)
9.5.3	(Immediately afterwards) the single (verse is recited): "Of such one as thou, O lightful one".
9.5.4	He then intertwines a triplet in gāyatrī and a triplet in paṅkti metre: "May the bay steeds convey thee hither” and "Let drink of the sweet”.
9.5.5-7	Connecting with the first verse-quarter of the gāyatrī verse the first verse-quarter of the paṅkti verse, he makes a pause; connecting with the second the third, he makes the prāṇava; with the third he makes a pause.
9.5.8	Two verse-quarters of the paṅkti remain. With these he makes the prāṇava.
9.5.9	He (thereupon) intertwines an uṣṇih-triplet and a bṛhati-triplet: “Sing ye unto Indra a song"; “Come hither, O Indra, with charming bay steeds".
9.5.10-13	Connecting the first uṣṇih verse-quarter with a first verse-quarter of the bṛhati he makes a pause; connecting the second with the second he makes the prāṇava. (Then he takes) an eight-syllabic part of the uṣṇih verse-quarter and an eight-syllabic of the bṛhati-verse together and after these two makes the pause. Two four-syllabic parts remain (of each), these he joins, connects the last verse-quarter of the bṛhati-verse and makes the prāṇava.
9.6.1	Then he intertwines the twenty-syllabic two-quarter verse and the triṣṭubh (verse): “Put the horses for him under the yoke”; “Lead us along the wide room”.
9.6.2-5	Having connected with the first unit of five syllables of the two-quarter verse, the first verse-quarter of the triṣṭubh-verse, he makes the pause. Having connected with them the (following) unit of five syllables the second quarter he makes the prāṇava. Having connected with the third unit of five syllables the third verse-quarter of the triṣṭubh he makes the pause. Having connected with the fourth unit of five syllables the fourth verse-quarter (of the triṣṭubh) he makes the prāṇava.
9.6.6	Thereupon he intertwines the following triplet of two-quarter verses: "This one as the proper Brahman, Indra by name, the renowned, is praised. From thee come, as the ways from a path, O Indra, the favours. To thee, forsooth, O lord of prowess go our uninterrupted prayers” and the jagatī triplet: "I shall laud thy bay steeds”.
9.6.7-10	Having connected the first set of four syllables of the two-quarter triplet with the first quarter of the jagatī, he makes the pause. Having connected the second set of four syllables with the second quarter of the jagatī, he makes the prāṇava. Having connected the third set of four syllables with the third quarter of the jagatī he pauses. Having connected the fourth set of four syllables with the fourth quarter of the jagatī, he pronounces the prāṇavas.
9.6.11-13	Then he recites the three gāyatrī verses: "Indra with the bones of Dadhyanc” making a pause after each quarter verse and adding the prāṇava, and pausing after two quarters. Having connected with the last quarter of the gāyatrī verses the (first) verse-quarter of the verse: “Forward for him” and makes pause with two quarters he makes the prāṇava, with two each time he pauses.
9.6.14	Then the triplet: “Forward for you the triṣṭubh”.
9.6.15	The single verse: “When the antelopes run hither”.
9.6.16	Of the three verses: “He who has made to bound the steeds” he leaves over the last and joins in the nivid.
9.6.17	The call (is made) at the stotra-triplet, for the nivid and for the closing verse.
9.6.18	He closes the śastra with the verse: “When up to the place of the bright one”, mutters the ‘strength of the śastra’ and applies as offering-verse: “Thou had drunk of the ancients”.
9.6.19	At this stotra-triplet (i.e. if the stotra-triplet of IX.5.2 is used) the (ṣoḍaśin) consists all in all of forty anuṣṭubhs.
9.6.20	When the stotra-triplet is changed (replaced by another) the śastra is as handed down (without transferring the verses into anuṣṭubhs).
9.6.21	Of the soma-draught he paṛtakes with (the verse): "Indra the sovereign and Varuṇa the king these two have at the beginning made this beverage for thee. After their paṛtaking do I paṛtake of the beverage. May the Goddess Speech taking delight, be satisfied with Soma".
9.7.1	At the first night-rounds the stotra- and antistrophe-triplets for the (śastra of the) hotṛ are the verses: "Him who drinks of the Soma".
9.7.2	Of the first night-round he does not repeat the first verse-quarter.
9.7.3	The entrance of the śastra is the remaining part of the (same) hymn.
9.7.4	The hymn in jagatī metre is: "Unto that ram".
9.7.5	The verse: "O adhvaryus, bring ye to Indra" he applies as offering-verse.
9.8.1	The stotra- and antistrophe-triplets for (the śastra of) the maitrāvaruṇa (at the first round) are: "Unto Indra an intoxicating" and "The deeds of the impetuous one".
9.8.2	The entrance of the śastra is: "The maker of fair forms".
9.8.3	Of the (sukta) in jagatī metre: "This ram" he omits the ninth and the last (verse), recites the fourteenth verse before (the thirteenth), closes with the thirteenth verse and applies as offering-verse: "May Indra be a drinker of Soma, a slayer of Vṛtra".
9.9.1	The stotra- and antistrophe-triplets for the (śastra of the) brāhmaṇacchamsin are: "We herein intend thee" and "We call thee at day".
9.9.2	The entrance of the śastra is: "We call Indra, the bull".
9.9.3	Or the hymn: "For the Vṛtra slaying", without the last verse.
9.9.4	The hymn in jagatī verses is: "We offer our prayer to Indra".
9.9.5	As offering-verse he applies: "Strong in Indra is the intoxication".
9.10.1	(The stotra- and antistrophe-triplets) for the (śastra of the) acchāvāka at the first round are: "To Indra, who is given to joy" and "Indra the singers".
9.10.2	The remaining part of the sukta is the entrance of the śastra.
9.10.3	The hymn in jagatī metre is: "Not us, O bountiful".
9.10.4	As offering-verse he applies: "This bowl here".
9.11.1	At the middle night-rounds the stotra- and antistrophe-triplets for the (śastra of the) hotṛ are: “This Soma for thee, O Indra” and “This Soma among men”.
9.11.2	The entrance of the śastra is the hymn: “Thou risest, O Sun, over” without the last verse.
9.11.3	The hymn in jagatī metre is: “I have become”.
9.11.4	As offering-verse he applies: “From this Soma has been drunk”.
9.12.1	(The stotra- and antistrophe-triplets at the middle round) for the (śastra of the) maitrāvaruṇa are: “For us, O Indra, rich in food” and “Come thou thither to us, O Indra”.
9.12.2	The entrance of the śastra is the hymn: “Bring hither wealth”.
9.12.3	The hymn in jagatī metre is: "To the mightiest one”.
9.12.4	As offering-verse he applies: "In the intoxication of this many devices”.
9.13.1	(The laud- and antistrophe-triplets at the middle round) for the (śastra of the) brāhmaṇacchamsin are: "Unto this Soma thee, O bull” and "Unto the lord of the cows”.
9.13.2	The entrance of the śastra is the hymn: "Come hither to me, O Indra”.
9.13.3	The hymn in jagatī metre is: "Sing ye this new hymn to him”.
9.13.4	As offering-verse he applies: "The chariot swifter than thought”.
9.14.1	The laud- and antistrophe-triplets (at the middle round) for the (śastra of the) acchāvāka are: "Here, O good one, is the pressed herb” and “Come, Indra and be intoxicated”.
9.14.2	The remaining part of the hymn is the entrance of the śastra.
9.14.3	Of the hymn in jagatī metre: "Him who has no rival” he omits the last verse, closes the śastra with: "Which victory was born of victory” and applies as offering-verse: "Here is thy bowl long since exiṣṭing”.
10.1.1	On the eighth day of the bright half of the moon they consecrate (undeṛtake the dīkṣā) for the twelve-day sacrifice of Soma.
10.1.2-4	There are twelve dīkṣā days, twelve upasads, twelve days on which the Soma is offered.
10.1.5	Of the days on which the Soma is offered the first and the last are an atirātra.
10.1.6-9	In the middle is the ten-day-period: a prsthya six-day-period, three chandoma days and the tenth day.
10.1.10	The offering-verse for the hāriyojana (draught) is (on each day): "This sacrifice".
10.1.11	The secondary vaṣaṭ-call being not (yet) uttered (for the oblation of the hāriyojana draught) the maitrā varuna who is not summoned (by the adhvaryu) (to say his prompting), having recited as invīting-verse either the verse: "Go forth, O bounteous one" or the verse: "The wife is the home" utters the 'over-prompting formula): "Here is intoxicating drink, O bounteous one". (This is the manner of proceeding) on the second day and the following ones."
