1.1.1	Now we shall explain the sacraments beginning with conception.
2.10.1	"The verse "To Soma, the sage of the Kandi clan, the lord of the assembly, Soma, the cow, the Ashadha, you, O Soma, with the rites, your abodes, with oblations, these plants, your abodes in heaven," is recited for the vow of Soma."
2.8.2	If a Brāhmaṇa says, “Give me alms,” a Kṣatriya should say, “Give me the alms.” If a Vaiśya says, “Give alms,” he should say, “I give alms.”
2.8.3	One should take alms from Brāhmaṇas with the vow of silence and from others without it.
2.8.4	Having taken alms, the teacher sprinkles it with the words, "To whom this belongs, to him this belongs."
2.8.5	The oblation is offered with the oblation of rice-cakes and barley mixed with ghee. The Antahomāgni is offered.
2.8.6	One stands at the end of the twilight with the vow of silence.
2.8.7	Therefore, one should describe the duties of the hermitage.
2.8.8	If one is admonished for transgression, one should not strike with a stick, nor curse with evil words, but one should prescribe a penance according to the extent of the transgression.
2.10.2	O Agni, the sage of the Kanda family, the lord of the assembly, O Agni, lead us to the bright ones. O Agni, your words are bright. O Agni, you are ours. O Agni, protect us. O Agni, the protector, the one who is praised. This is the hymn for the Agnivrat vow.
2.8.9	The teacher should protect the student, because he is bound to suffer the sins committed by the student. The teacher who abandons the student without cause falls.
2.8.10	Otherwise, if he abandons him, he falls along with his wife, son, and student.
2.10.3	To all the gods, to the sage Kanḍa, to the lord of the assembly, may all the gods be favorable to us. O Agni, go to the heaven, O father, may all the deities hear. This is the hymn for the vow of the Visvedevas.
2.8.11	One who wears either a saffron or a bark garment, has matted hair, a tuft of hair, a girdle, a staff, a thread, a skin, is celibate, pure, and eats without salt or vinegar, is known to be observing the duties of a celibate in the prescribed castes.
2.9.1	Now the vows of fasting.
2.10.4	To Brahman, to the sage Kanḍa, to the lord of the assembly, to Brahman, to the father of the unborn, to Brahman, the gods in the middle, to Brahman, and the four gods. This is the hymn of the Brahmavrat.
2.9.2	On the fourth, fifth or seventh lunar day, which is auspicious and named after a male constellation, having made the disciple bathe and recite the auspicious verses, he should arrange the fire and make him sit facing east.
2.9.3	His mother or a celibate should sit to his north.
2.9.4	Having recited the Savitrī-verse beginning with "Agni, Vāyu, Indra, Āditya" and ending with "I have performed the vow rites as prescribed. I am now releasing them", he releases the Savitrī vow. Having offered oblations, he releases the thread, staff, etc. into water. Having bathed, he gives the new sacred thread, etc. as before. Having sprinkled him with water, he places him on the right side. Having recited the Savitry verse beginning with "Dhātā" and ending with Prajapatī, he offers oblations in the five fires beginning with Agni, and in both places, he recites the verse beginning with "Prajapatyam". Having offered oblations to the annual Prajapatya vow, the teacher binds the vow with the disciple every year.
2.9.5	Similarly, having performed the rite of releasing the vow, he releases that vow and takes up another vow.
2.10.1	"The verse "To Soma, the sage of the Kandi clan, the lord of the assembly, Soma, the cow, the Ashadha, you, O Soma, with the rites, your abodes, with oblations, these plants, your abodes in heaven," is recited for the vow of Soma."
2.10.5	The Rgveda, the Yajurveda, the Samaveda, the Atharvaveda, the Brahmaveda, the Itihasa, the Purana, the Upaveda, the Vedanga, the Mantra, the Brāhmaṇa, the Aranyaka, the Upanisad, the Dharmaśāstra, the Arthaśāstra, and the Arthavada. The Rgveda, Yajurveda, Samaveda, Atharvaveda and Brahmaveda are the five Vedas. The Itihasa, Purana, Upaveda, Vedanga, Mantra, Brāhmaṇa and Aranyaka are the six Vedangas. The Upanisad, Dharmaśāstra and Arthaśāastra are the three branches of knowledge. The Arthavada is the commentary on the Vedas.
2.10.2	O Agni, the sage of the Kanda family, the lord of the assembly, O Agni, lead us to the bright ones. O Agni, your words are bright. O Agni, you are ours. O Agni, protect us. O Agni, the protector, the one who is praised. This is the hymn for the Agnivrat vow.
2.10.3	To all the gods, to the sage Kanḍa, to the lord of the assembly, may all the gods be favorable to us. O Agni, go to the heaven, O father, may all the deities hear. This is the hymn for the vow of the Visvedevas.
2.10.4	To Brahman, to the sage Kanḍa, to the lord of the assembly, to Brahman, to the father of the unborn, to Brahman, the gods in the middle, to Brahman, and the four gods. This is the hymn of the Brahmavrat.
2.11.2	With the Anuvaka beginning with "O mind, be steady, be steady" etc., he should cover his head with a cloth that has not been worn before, so that the sun does not directly shine on his face.
2.11.3	Therefore, it shines.
2.11.4	One should study the Aranyakakanda beginning with Shukriya, Brahmana, Arun, Narayana, etc., without speaking to women and Shudras. This is known as the Vrata Parayana.
2.12.1	Then he should perform the rites of Āṣāḍha.
2.12.2	In the waxing fortnight, except for the new moon day, he takes the date on a Tuesday.
2.12.3	There, having offered an oblation, spread the fire, initiated the disciple, made him bathe, recited the auspicious verses, sprinkled with consecratory water, made him circumambulate the fire, and given him a stool.
2.10.5	The Rgveda, the Yajurveda, the Samaveda, the Atharvaveda, the Brahmaveda, the Itihasa, the Purana, the Upaveda, the Vedanga, the Mantra, the Brāhmaṇa, the Aranyaka, the Upanisad, the Dharmaśāstra, the Arthaśāstra, and the Arthavada. The Rgveda, Yajurveda, Samaveda, Atharvaveda and Brahmaveda are the five Vedas. The Itihasa, Purana, Upaveda, Vedanga, Mantra, Brāhmaṇa and Aranyaka are the six Vedangas. The Upanisad, Dharmaśāstra and Arthaśāastra are the three branches of knowledge. The Arthavada is the commentary on the Vedas.
2.12.4	Having placed the oblations on the right side, having sprinkled with the formula "May the goddesses be auspicious to us", the chief priest offers fifty oblations with ghee and rice, or with unbroken grains, to Agni, Earth, Rigveda, Yajurveda, Samaveda, Atharvaveda, Vayu, Space, Heaven, Sun, Directions, Moon, Chapters, Non-chapters, Chapter deities, Non-chapter deities, Faith, Intelligence, Retention, Teacher, Chanda, Rishis, Seven Rishis, Munis, Gurus, Day and Night, Half-months, Months, Seasons, Years, Parivatsaras, Idavatsaras, Idvatsaras, Vatsaras, Brahma, Savitri, Prajapati, Ushanas, Chyavana, Brihaspati, Soma, Angiras, Darbha, Shankha, Likhita, Sthulashira, Vainateya, Shikhini, Ishvara, Adhikrita, Adhidevas, Sadasi, Pati, Madhuta, Priyam, Indra's Kamaya, Sani, Medha, Yasisi, Svāhā, as before. Having performed the Prajapati vow-binding, the five beginning with Dhata, the original Homa, the Svishtakara, and having fed with the formula "Aditi is your garment", he gives the sipping water with the verse "In every Yoga, may you attain the highest".
2.12.5	Then, having made the Brahman face east or north and join his palms, he teaches the Veda, the two Vedas, or the Veda along with the Sutras to one sitting on the right side.
2.12.6	If one wishes to teach in between, one should teach after performing a sacrifice.
2.12.7	One should complete the chapters for half five or half six months.
2.12.8	From then onwards, during the bright fortnights.
2.11.1	Then having offered the Vrata-oblations to the deities of Pravargya, and having released the Brahmavrata, he should give the new sacred thread etc. as before, and offer oblations to the deities with the mantras, "I consecrate to Soma in the north, I consecrate to the Pitrs, I consecrate the Pitrs, to the lord of mantras, I consecrate Rudra, I consecrate (to) Rudra, to the Rudra-priest, I consecrate Svāhā." Having offered these oblations, he should bind the Shukriya-vratas with the mantra, "O Agni, lord of vows, I bind the Shukriya vow." He should bind the Shukriyamantra for six months or three months.
2.12.9	But the Veda-auxiliaries are optional.
2.12.10	Thus the Veda-auxiliary.
2.12.11	Then, having laid down the fire on the full moon day of Sravan, having initiated the disciple, having bathed him, having recited the auspicious verse, having bound the vow as before, he offers the five Varuna oblations beginning with Dhātā, the root oblation, and the Svishtakṛt oblation.
2.12.12	"Thus the Sravan month for the completion of study."
2.11.2	With the Anuvaka beginning with "O mind, be steady, be steady" etc., he should cover his head with a cloth that has not been worn before, so that the sun does not directly shine on his face.
2.11.3	Therefore, it shines.
2.11.4	One should study the Aranyakakanda beginning with Shukriya, Brahmana, Arun, Narayana, etc., without speaking to women and Shudras. This is known as the Vrata Parayana.
2.12.1	Then he should perform the rites of Āṣāḍha.
2.12.2	In the waxing fortnight, except for the new moon day, he takes the date on a Tuesday.
2.12.3	There, having offered an oblation, spread the fire, initiated the disciple, made him bathe, recited the auspicious verses, sprinkled with consecratory water, made him circumambulate the fire, and given him a stool.
2.13.2	In the ascending node, in the bright fortnight, in the asterisms of Citra and Vishakha, in the asterism of Hasta and Rohini, or in the asterism called Mrigashira, where there is water, having offered a libation in the house or in the cowpen, having spread the fire, having offered the release of the vow of Dhata and others, having released the binding of the garment with the verse "O Suparna", he releases the vow of Shukriya.
2.13.3	This Stoma is the three-year-long one of Jamadagni. Having offered the principal oblation, the five Varuna oblations, and the root oblations, he stands before the sun with the two verses, "We have risen above the darkness." He then offers the northern oblation with the verse, "We have arisen above the darkness." Having released the measuring string and other implements into the water, he shaves his head with the razor, saying, "May it be auspicious." Having shaved the head with the verses, "May it not be inauspicious," and "May it be inauspicious for the enemies," he shaves the nails all around, saying, "Wherewith you have shaved."
2.13.4	Taking the hair etc. in a pot with the shape of a cow's udder, he should hide it at the root of the Udumbara and Darbha grass or in the cowpen, saying, "This belongs to so and so."
2.13.5	He makes the teeth-cleaning with the verse, "For the eater of food, arrange the array." With a wood from the Udumbara tree, he cleans his teeth with cold and hot water, and bathes with three verses beginning with "Water is the mouth." Having bathed, he sprinkles with the two verses "Hiranyapamana."
2.12.4	Having placed the oblations on the right side, having sprinkled with the formula "May the goddesses be auspicious to us", the chief priest offers fifty oblations with ghee and rice, or with unbroken grains, to Agni, Earth, Rigveda, Yajurveda, Samaveda, Atharvaveda, Vayu, Space, Heaven, Sun, Directions, Moon, Chapters, Non-chapters, Chapter deities, Non-chapter deities, Faith, Intelligence, Retention, Teacher, Chanda, Rishis, Seven Rishis, Munis, Gurus, Day and Night, Half-months, Months, Seasons, Years, Parivatsaras, Idavatsaras, Idvatsaras, Vatsaras, Brahma, Savitri, Prajapati, Ushanas, Chyavana, Brihaspati, Soma, Angiras, Darbha, Shankha, Likhita, Sthulashira, Vainateya, Shikhini, Ishvara, Adhikrita, Adhidevas, Sadasi, Pati, Madhuta, Priyam, Indra's Kamaya, Sani, Medha, Yasisi, Svāhā, as before. Having performed the Prajapati vow-binding, the five beginning with Dhata, the original Homa, the Svishtakara, and having fed with the formula "Aditi is your garment", he gives the sipping water with the verse "In every Yoga, may you attain the highest".
2.13.6	First, having offered oblations to the principal deities, and having released the Brahmavratas before sunrise, some say that the Grahanavisa(rga) is to be done for the Shukriyatvrata.
2.12.5	Then, having made the Brahman face east or north and join his palms, he teaches the Veda, the two Vedas, or the Veda along with the Sutras to one sitting on the right side.
2.12.6	If one wishes to teach in between, one should teach after performing a sacrifice.
2.12.7	One should complete the chapters for half five or half six months.
2.12.8	From then onwards, during the bright fortnights.
2.14.1	"Having sprinkled the fresh garments, unguents, ornaments, etc., with the formula, "Salutations to the Planets," having taken the unguent, having made the palms of the hands face east, having anointed the body with the formula, "O Apsarases," having put on the garment with the formula, "O Savitar, may I be endowed with splendour," he takes up the upper garment with the formula "Thou art the body of Soma."
2.14.2	He should take up the girdle, etc., as before.
2.12.9	But the Veda-auxiliaries are optional.
2.12.10	Thus the Veda-auxiliary.
2.12.11	Then, having laid down the fire on the full moon day of Sravan, having initiated the disciple, having bathed him, having recited the auspicious verse, having bound the vow as before, he offers the five Varuna oblations beginning with Dhātā, the root oblation, and the Svishtakṛt oblation.
2.12.12	"Thus the Sravan month for the completion of study."
2.14.3	Having covered the ornaments, earrings, and gems with a darbha grass, one should bind them.
2.15.1	Placing it above the fire, one should offer five times with the mantra "May it be for longevity, radiance, and eloquence. May it be dear to me. May it be the auspicious herb."
2.15.2	Having sprinkled the Samrāṭ and Virāj in the water-vessel, having worshipped the seasons, having worshipped the plants of the seasons, he adorns the two earrings on the right and left ears.
2.13.2	In the ascending node, in the bright fortnight, in the asterisms of Citra and Vishakha, in the asterism of Hasta and Rohini, or in the asterism called Mrigashira, where there is water, having offered a libation in the house or in the cowpen, having spread the fire, having offered the release of the vow of Dhata and others, having released the binding of the garment with the verse "O Suparna", he releases the vow of Shukriya.
2.15.3	"Then, holding the Brahma-thread, he should say, "May this be auspicious." Holding the ring, he should say "May this be purified." Holding the eye-collyrium, he should say "This is the eye-collenum." Having anointed the right eye with the eye-coUymum, he should say "This is my mind." Having taken the garland, he should say “These are the good thoughts.” Taking the mirror, he should say ‘For the sake of the god.’
2.15.4	With the same, he should take the straight bamboo staff.
2.15.5	"Thou art Indra's thunderbolt." He thrice rubs it with the formula, "Thou art the swift and strong."
2.15.6	Having put on the sandals, he should take the umbrella with the two formulas, "The refuge of Prajapati, the purifier of the earth," and "He who is my staff." If he loses the staff by mistake, he should take it again.
2.13.3	This Stoma is the three-year-long one of Jamadagni. Having offered the principal oblation, the five Varuna oblations, and the root oblations, he stands before the sun with the two verses, "We have risen above the darkness." He then offers the northern oblation with the verse, "We have arisen above the darkness." Having released the measuring string and other implements into the water, he shaves his head with the razor, saying, "May it be auspicious." Having shaved the head with the verses, "May it not be inauspicious," and "May it be inauspicious for the enemies," he shaves the nails all around, saying, "Wherewith you have shaved."
2.15.7	Then having worshipped the vehicle, having touched it with the words "You are the deities of the vehicle", and having said "You are the chariot", "You are the horse", "You are a horse", and "I mount you with Indra's thunderbolt", one should descend from the elephant.
2.13.4	Taking the hair etc. in a pot with the shape of a cow's udder, he should hide it at the root of the Udumbara and Darbha grass or in the cowpen, saying, "This belongs to so and so."
2.15.8	The guest who has arrived, the giver of the excellent girl, having seen the flowing water, and having seen the fame, he arranges a seat, a stool, water for washing the feet, water for offering, water for sipping, and Madhuparka in the house.
2.16.1	There, having seated him, he gives a stool, saying "You are the bearer of the kingdom." He washes the feet, starting from the left, saying "Water for the feet."
2.13.5	He makes the teeth-cleaning with the verse, "For the eater of food, arrange the array." With a wood from the Udumbara tree, he cleans his teeth with cold and hot water, and bathes with three verses beginning with "Water is the mouth." Having bathed, he sprinkles with the two verses "Hiranyapamana."
2.13.6	First, having offered oblations to the principal deities, and having released the Brahmavratas before sunrise, some say that the Grahanavisa(rga) is to be done for the Shukriyatvrata.
2.16.2	Then, having washed his feet, he touches his own heart with his own hand, saying, "You are the shining one."
2.16.3	Then he should receive the argha and water for rinsing the mouth, saying, "Come to me for fame."
2.16.4	He should offer the Madhuparka, saying, "For the sake of the god."
2.16.5	Having accepted it, saying, "Indeed for the sake of the divine one," he should eat, saying, "What is sweet in honey."
2.14.1	"Having sprinkled the fresh garments, unguents, ornaments, etc., with the formula, "Salutations to the Planets," having taken the unguent, having made the palms of the hands face east, having anointed the body with the formula, "O Apsarases," having put on the garment with the formula, "O Savitar, may I be endowed with splendour," he takes up the upper garment with the formula "Thou art the body of Soma."
2.14.2	He should take up the girdle, etc., as before.
2.14.3	Having covered the ornaments, earrings, and gems with a darbha grass, one should bind them.
2.15.1	Placing it above the fire, one should offer five times with the mantra "May it be for longevity, radiance, and eloquence. May it be dear to me. May it be the auspicious herb."
2.15.2	Having sprinkled the Samrāṭ and Virāj in the water-vessel, having worshipped the seasons, having worshipped the plants of the seasons, he adorns the two earrings on the right and left ears.
2.16.8	The offering of water with the verse, "O Viraj, do thou come to me" is the offering of water. The offering of water for sipping with the verse, “Do thou come to me for fame” is the offering of sips. The offering of honey-water with the verse, "Thou art the covering of nectar" is the offering of honey- water. The offering with the verse, "Thou art the covering over nectar" is the covering of the mouth." Some say that this is the special offering.
2.17.1	After feeding the Brahmins with the verse, ”May heaven give thee”, one should bow down to them with the verse, Indra-Agni have given me lustre.
2.17.2	Having recited the auspicious verses, having offered oblations with ghee, he should eat with his relatives.
2.17.3	In the injunction of the Madhu-Dhaman, one should take substitutes for the barley flour, because water is indeed all the deities, and they accomplish all purposes. This is the Vedic instruction: "For the purpose of knowledge, for the purpose of accumulation, the earth, the trees, and for the purpose of cattle, the herbs."
2.15.3	"Then, holding the Brahma-thread, he should say, "May this be auspicious." Holding the ring, he should say "May this be purified." Holding the eye-collyrium, he should say "This is the eye-collenum." Having anointed the right eye with the eye-coUymum, he should say "This is my mind." Having taken the garland, he should say “These are the good thoughts.” Taking the mirror, he should say ‘For the sake of the god.’
2.15.4	With the same, he should take the straight bamboo staff.
2.15.5	"Thou art Indra's thunderbolt." He thrice rubs it with the formula, "Thou art the swift and strong."
2.15.6	Having put on the sandals, he should take the umbrella with the two formulas, "The refuge of Prajapati, the purifier of the earth," and "He who is my staff." If he loses the staff by mistake, he should take it again.
2.18.1	Now the method of the Agnihotra of the Prāṇa.
2.18.2	The Self is the Yajamāna, the Self being the light of itself.
2.18.3	The intellect is the wife.
2.18.4	The lotus of the heart is the altar.
2.18.5	The hairs are the darbha grass.
2.18.6	The Prāṇa is the Garhapatya, the Apāna is the Āhavanīya, the Vyāna is the Anvāhārya, the Udāna is the Sabhya, and the Samāna is the Āvasatya. Thus there are five fires.
2.15.7	Then having worshipped the vehicle, having touched it with the words "You are the deities of the vehicle", and having said "You are the chariot", "You are the horse", "You are a horse", and "I mount you with Indra's thunderbolt", one should descend from the elephant.
2.18.7	The organs of taste, etc., are the sacrificial vessels, and the objects of taste, etc. are the oblations.
2.18.8	The fruit of this is the attainment of the meaning of Om.
2.15.8	The guest who has arrived, the giver of the excellent girl, having seen the flowing water, and having seen the fame, he arranges a seat, a stool, water for washing the feet, water for offering, water for sipping, and Madhuparka in the house.
2.16.1	There, having seated him, he gives a stool, saying "You are the bearer of the kingdom." He washes the feet, starting from the left, saying "Water for the feet."
2.18.9	Thus having performed the Self-sacrifice with one Adhvaryu, having sprinkled the food with the formula, "Thou art the covering of immortality," having touched it with the Annasukta, having drunk the draught with the formula, “Thou art the producer of strength,” having taken the food with the thumb, ring finger and middle finger, and having offered five oblations with the formulas, "To Prāṇa svāhā, to Apāna svāhā, Vyāna svāhā," having touched the vessel and offered again, he should drink the draught with the same formula and eat.
2.16.2	Then, having washed his feet, he touches his own heart with his own hand, saying, "You are the shining one."
2.16.3	Then he should receive the argha and water for rinsing the mouth, saying, "Come to me for fame."
2.16.4	He should offer the Madhuparka, saying, "For the sake of the god."
2.16.5	Having accepted it, saying, "Indeed for the sake of the divine one," he should eat, saying, "What is sweet in honey."
2.18.10	Having sipped water, and facing the sun, he should touch his belly with the words, "Oṃ, may the vital airs be nourished."
2.18.11	With the tip of the thumb of the right hand, he should sprinkle the right big toe with the words, “Smaller than an atom.”
2.18.12	Thus one should offer the Agnihotra of the vital airs in the evening and morning.
2.16.6	Having recited the mantra "yoga yoga" and having sipped water, one should sip water again, saying "You are the covering of nectar."
2.16.7	Having bound the cow, saying "Cow, you are a cow," and having given a handful of grass, one should touch it, saying "Cow! You are the destroyer." Then, one should release it, saying "That is well-being."
2.18.13	This Agnihotra is the sacrifice for those who worship themselves. It is to be performed as long as one lives. This is what the advocates of Brahman say.
2.18.14	Thus, having enjoyed in this way, one goes to the state of being debt-free and attains the state of Brahman. Having stated that the debt of mother, father, and preceptor, which is born with a Brahmana, is natural, it is understood that one should stop.
3.1.1	Now, then, the taking of the hand.
3.1.2	There are eight kinds of marriages: Brāhma, Daiva, Prajāpati, Ārṣa, Āsura, Gāndharva, Rākṣasa, and Paiśāca.
3.1.3	When a girl is adorned and given to one who is handsome, of good conduct, and of suitable age, after inviting and honouring him, it is called Brāhma.
2.16.8	The offering of water with the verse, "O Viraj, do thou come to me" is the offering of water. The offering of water for sipping with the verse, “Do thou come to me for fame” is the offering of sips. The offering of honey-water with the verse, "Thou art the covering of nectar" is the offering of honey- water. The offering with the verse, "Thou art the covering over nectar" is the covering of the mouth." Some say that this is the special offering.
2.17.1	After feeding the Brahmins with the verse, ”May heaven give thee”, one should bow down to them with the verse, Indra-Agni have given me lustre.
3.1.4	When the priests of a sacrifice, having adorned the girl, give her to the bridegroom, that is called the divine (form of marriage).
3.1.5	When the bridegroom and the bride follow the law simultaneously, and having performed the fire-ritual himself, gives the girl after honouring her, that becomes the Prajapati form of marriage.
3.1.6	When one gives a girl with a pair of cows, either one or two, that is called Arsha.
2.17.2	Having recited the auspicious verses, having offered oblations with ghee, he should eat with his relatives.
2.17.3	In the injunction of the Madhu-Dhaman, one should take substitutes for the barley flour, because water is indeed all the deities, and they accomplish all purposes. This is the Vedic instruction: "For the purpose of knowledge, for the purpose of accumulation, the earth, the trees, and for the purpose of cattle, the herbs."
3.1.7	The act of taking a girl after adorning her with ornaments and giving wealth to her relatives is called Asura.
3.1.8	The act of taking a maiden by the method of love is Gandharva.
3.1.9	The act that is forceful taking of a maiden is Rākṣasa.
3.1.10	The act which is done with a sleeping or absent-minded maiden is Paiśāca.
2.18.1	Now the method of the Agnihotra of the Prāṇa.
2.18.2	The Self is the Yajamāna, the Self being the light of itself.
2.18.3	The intellect is the wife.
2.18.4	The lotus of the heart is the altar.
2.18.5	The hairs are the darbha grass.
2.18.6	The Prāṇa is the Garhapatya, the Apāna is the Āhavanīya, the Vyāna is the Anvāhārya, the Udāna is the Sabhya, and the Samāna is the Āvasatya. Thus there are five fires.
3.1.11	Of these, the first four are to be performed after offering water. The others are not suitable for a brahmin.
3.1.12	One born from an arsi mother should purify himself for three days before and three days after. One born from a prajapatya mother should purify himself six days before and six days after. One who is the son of a divine mother should purify himself seven days before and seven days after. One whose son is born from a brahmin mother should purify himself ten days before and ten days after, and himself for twenty-one days.
2.18.7	The organs of taste, etc., are the sacrificial vessels, and the objects of taste, etc. are the oblations.
2.18.8	The fruit of this is the attainment of the meaning of Om.
3.2.1	Having chosen a girl who is not of the same gotra as his mother, who is not of a different gotra as his father, who is endowed with auspicious signs, who is not naked, and who is not of his own family, he should eat food with his relatives and learned Brahmins for five days for the purification of his family.
3.2.2	Because it is known that he becomes pure.
2.18.9	Thus having performed the Self-sacrifice with one Adhvaryu, having sprinkled the food with the formula, "Thou art the covering of immortality," having touched it with the Annasukta, having drunk the draught with the formula, “Thou art the producer of strength,” having taken the food with the thumb, ring finger and middle finger, and having offered five oblations with the formulas, "To Prāṇa svāhā, to Apāna svāhā, Vyāna svāhā," having touched the vessel and offered again, he should drink the draught with the same formula and eat.
3.2.3	Having gone to the house of the bride with the sound of the bell, and having seen her with the words "May she be well", and being seen by her with the words, "The slayer of my brother", and having made the fire-mouth with the preceptor, the giver of the bride should give her with the words ending with Sharma, "This is your co-wife in the Brahmanical marriage, for the sake of obtaining Dharma and progeny, for the sake obtaining the sacrificial thread, for the sake satisfying the Brahmanical sages and ancestors, and for the sake of the joint existence of progeny and deeds", and should give her with water.
2.18.10	Having sipped water, and facing the sun, he should touch his belly with the words, "Oṃ, may the vital airs be nourished."
2.18.11	With the tip of the thumb of the right hand, he should sprinkle the right big toe with the words, “Smaller than an atom.”
2.18.12	Thus one should offer the Agnihotra of the vital airs in the evening and morning.
3.2.4	Prajapati takes her with water, saying, "She is a woman."
3.2.5	Having collected clothes, fragrances, ornaments, etc., and going to the bride's house with relatives, reciting the Kani-krada mantra, adorning her with clothes, etc., saying, "Prajapati, Soma," and placing the ornaments on her, some say, "He takes her."
2.18.13	This Agnihotra is the sacrifice for those who worship themselves. It is to be performed as long as one lives. This is what the advocates of Brahman say.
2.18.14	Thus, having enjoyed in this way, one goes to the state of being debt-free and attains the state of Brahman. Having stated that the debt of mother, father, and preceptor, which is born with a Brahmana, is natural, it is understood that one should stop.
3.3.1	Then, after the auspicious ceremony, taking the hand of the bride who has bathed with her, and is adorned with new clothes and ornaments, he comes to the fire-room, makes her sit facing east, and gives her a seat, dressed in pure clothes.
3.1.1	Now, then, the taking of the hand.
3.1.2	There are eight kinds of marriages: Brāhma, Daiva, Prajāpati, Ārṣa, Āsura, Gāndharva, Rākṣasa, and Paiśāca.
3.1.3	When a girl is adorned and given to one who is handsome, of good conduct, and of suitable age, after inviting and honouring him, it is called Brāhma.
3.3.2	Then having strewn (the fire-place), he should offer the principal oblations five times, ending with the Varuna oblation, with the formula, "May Agni come here; may Agni protect me; may not heaven be without progeny in thy house; may it be accomplished by the gods."
3.3.3	Having placed the stone on the Darbha grass spread out for Agni, she touches it with the big toe of her right foot. The groom faces the opposite direction. The Sarāsvati mantra is used for the release. The Aghorechaksus mantra is used for taking the seat. Having sprinkled these grains, she offers them to the woman with a handful of grains.
3.3.4	She gets up with the words "For life."
3.1.4	When the priests of a sacrifice, having adorned the girl, give her to the bridegroom, that is called the divine (form of marriage).
3.1.5	When the bridegroom and the bride follow the law simultaneously, and having performed the fire-ritual himself, gives the girl after honouring her, that becomes the Prajapati form of marriage.
3.1.6	When one gives a girl with a pair of cows, either one or two, that is called Arsha.
3.3.5	Looking towards the west, looking at the face of the bride, Sarasvati, the taking of the hand, the eye of Aghore, the discharge, these grains, the filling of the grains, this woman, the offering, the salutation to Agni, some say.
3.1.7	The act of taking a girl after adorning her with ornaments and giving wealth to her relatives is called Asura.
3.1.8	The act of taking a maiden by the method of love is Gandharva.
3.1.9	The act that is forceful taking of a maiden is Rākṣasa.
3.1.10	The act which is done with a sleeping or absent-minded maiden is Paiśāca.
3.4.1	Having circumambulated the fire with the verse, "May all be yours," and having sat down with the verse, “May we cross over the enemies,” one should offer the sacrificial oblation of grains in this way three times.
3.4.2	Then, at the end of the root oblations, having offered the fire oblation ending with "the slayer of the husband," the wind ending with "the censured," the sun ending with "the terrible," the Gandharva ending with "the destroyer of fame," the moon ending with "the killer of the son," and the Vyāhṛtis.
3.1.11	Of these, the first four are to be performed after offering water. The others are not suitable for a brahmin.
3.1.12	One born from an arsi mother should purify himself for three days before and three days after. One born from a prajapatya mother should purify himself six days before and six days after. One who is the son of a divine mother should purify himself seven days before and seven days after. One whose son is born from a brahmin mother should purify himself ten days before and ten days after, and himself for twenty-one days.
3.4.3	Having performed the Praśāvāṇi rites with the four verses ending with "Praśāvāṇī", and having again spread the grass, one should offer the Svishtakṛt oblations and the oblations of the seven Rddhi-kindled verses, which are interrupted.
3.2.1	Having chosen a girl who is not of the same gotra as his mother, who is not of a different gotra as his father, who is endowed with auspicious signs, who is not naked, and who is not of his own family, he should eat food with his relatives and learned Brahmins for five days for the purification of his family.
3.2.2	Because it is known that he becomes pure.
3.4.4	Having spread the grass of Agni on the ground with the tip towards the north, he should step on one with the right foot, saying, "To Isha, to Vishnu" twice, "To Urja" thrice, "To Vrata" four times, "To the cattle" five times, "To prosperity" six times, "To Sapta" seven times. Having stepped on them in order, he should go and return, saying, "O friend!"
3.2.3	Having gone to the house of the bride with the sound of the bell, and having seen her with the words "May she be well", and being seen by her with the words, "The slayer of my brother", and having made the fire-mouth with the preceptor, the giver of the bride should give her with the words ending with Sharma, "This is your co-wife in the Brahmanical marriage, for the sake of obtaining Dharma and progeny, for the sake obtaining the sacrificial thread, for the sake satisfying the Brahmanical sages and ancestors, and for the sake of the joint existence of progeny and deeds", and should give her with water.
3.4.5	"This is my heart." He touches her heart.
3.4.6	Having sprinkled with consecratory formulas, and having recited the auspicious benediction, the bride and the groom should be praised with the following verses: "May Arundhati, Indra, Aditi, and Sri protect you. May the Manu, Prajapati, Purushottama, and Mahendra protect you." The four Stotras should be recited.
3.4.7	Thus is the taking of the hand.
3.4.8	Some say that it ends with the sight of the stars.
3.2.4	Prajapati takes her with water, saying, "She is a woman."
3.2.5	Having collected clothes, fragrances, ornaments, etc., and going to the bride's house with relatives, reciting the Kani-krada mantra, adorning her with clothes, etc., saying, "Prajapati, Soma," and placing the ornaments on her, some say, "He takes her."
3.4.9	From this it is understood that the householder should continue to perform his duties.
3.5.1	Now the fourth day.
3.5.2	Having brought the fire used in the marriage ceremony, the bridegroom and the bride enter the house together, saying, "We enter together." The bridegroom instructs the bride to place her right foot first over the threshold, saying, "Do not step on the threshold." Having entered the house, he should place the fire in the eastern half.
3.3.1	Then, after the auspicious ceremony, taking the hand of the bride who has bathed with her, and is adorned with new clothes and ornaments, he comes to the fire-room, makes her sit facing east, and gives her a seat, dressed in pure clothes.
3.5.3	On the skin of a black antelope or on a red hide of a cow, he spreads the skin of a cow, with the hair pointing towards the north, with its neck towards the east.
3.5.4	There he makes the bride sit facing the east or the north, and the bridegroom sits behind her, saying, "O cows, beget offspring."
3.5.5	They should be silent till they see the light.
