1.1.1	Now we shall declare the method.
8.8.16	The wife should shave her hair except for the head.
8.8.17	Having bathed and wearing fragrant clothes, observing the vow, the sacrificer and his wife should fast.
8.9.39	Having bathed with the verses to the waters, having circumambulated, having touched the water, having looked back, they return.
8.9.40	They seek Brahmanas with food.
8.9.41	The Dakshina is as prescribed. The Dakshina is prescribed.
9.1.1	One who is going to extinguish the fire for the dead, or one who is going to establish a single fire for the eldest son who is not divided.
8.8.18	On the next day, having put on the sacred thread, having sprinkled the place of sacrifice, and having kindled the fire with the Brahma-wood,
8.8.19	If the donor is initiated with these three hymns, "What the gods know, what the learned know, what the unlearned know, what is unknown, what is not known," then he should offer a complete oblation.
9.1.2	On the new-moon day, he binds a two-year-old cow of the Rohini breed in the first shed.
9.1.3	At night, the eldest son anoints it while wearing a woolen garment.
9.1.4	The wife anoints the eldest son while wearing fresh garments.
9.1.5	The other sons anoint their wives.
8.8.20	In the morning, having placed the wood of the Śāntavṛkṣa tree outside, facing east,
8.8.21	having encircled, sprinkled, and spread the sacrificial grass, having placed the water pot, having prepared the clarified butter with the Pari-carana rite,
8.8.22	having offered the regular oblations in front, and the two portions of clarified butter,
9.1.6	Then he addresses them thus: "O Agni, do thou be the best of fires, do thou be well-extinguished, do thou be extinguished, O Agni, do thou, O Agni, be the best of fire." Thus thrice.
9.1.7	"This Agni, the lord of beings, is ascending the reed." Thus he recites the Anuvaka and pours the water of peace and great peace.
9.1.8	"O Agni, do not be cruel." Thus he holds the lamp from the broom.
9.1.9	and having dug up the earth that has been burnt by the fire of the lord of the earth,
9.1.10	having covered it with a lump of clay in the shape of a mound,
9.1.11	having smeared it with a lump made of cow dung,
9.1.12	having sprinkled it with sand and sprinkled it,
9.1.13	having made the mark,
9.1.14	having sprinkled again,
9.1.15	having placed the scraping of the mark at the back,
8.8.26	Facing the south, with the right knee touching the ground, or with the head bowed down, he should offer the fourth oblation with the fist, the palm, or the joined palms, whichever is appropriate.
8.8.27	With the pot, he should offer four potfuls of oblations. "Obeisance to Savitar, the impeller, to the sages, to the Rishis, to the Ekarshis, I offer the oblation that is agreeable to you."
9.1.16	Having spread the hair of bulls, horses, and goats, and having rubbed a ball of dung with rice and barley, he places two darbha-blades pointing east.
9.1.17	"They are the testicles." Having breathed upon them, he places the two darbha-grasses.
9.1.18	Above them, the lower kindling wood.
9.1.19	To the south, the roots.
9.1.20	Behind, the generative ones. "You are Urvashi," "You are life."
8.9.1	"May the Vasus pour thee with the Gayatri metre, the inexhaustible, the imperishable, the nourishing, for sustenance." He makes the giver recite this.
8.9.2	"May the Rudras pour thee with the Tristubh metre, the Adityas with the Jagati metre, the Visve Devas with the Anushtubh metre, the inexhaustible and imperishable, the nourishment, for sustenance."
8.9.3	He touches it with the recited Sūkta.
8.9.4	The Brahma-rice and the ritual are for heaven.
8.9.5	In case of a gathering, one should sprinkle water on the Brahma-rice twice.
8.9.6	One should not sprinkle or pour over the rice grains.
8.9.7	If one sprinkles, the Brahman recites, "May my radiance and fame be there."
9.1.21-24	Having placed the lower kindling-stick, he says, "The victor in battle." Having called out, he says, “The eldest one should rub the fire three times towards the right. Oṃ bhūr, may the Gāyatrī metre be born. The Triṣṭubh, the Jagatī, and the Anushtubh. Oṃ bhūrbhuvaḥ svārajaniṃ janat. From here onwards, as desired.
8.9.8	If one were to sprinkle,
8.9.9	one should sprinkle with two verses: "May you grow, may your streams!
8.9.10	May you grow, O Soma, may your strength come from all sides! May your streams and your strength come together, may your strength and your Vrishnas come together for the union of strength. Growing, O Soma, for immortality, may you place your most excellent fame in heaven."
9.2.1	I churn thee, O Jātavedas, the well-born, the well-knowing. May he be with us who lives long, and bestow long life on us. Born, he was born with fame, with the foremost, with offspring, with cattle, with splendour, with wealth. Bestow it on us. May we live through all our life, rejoicing, gladdened, with good heroes, without sickness. Light up, O Jātavaidya, remove thirst, hunger, and distress. Remove from us darkness. Let the one with a face of shame go away. Remove the evil directions. Remove the evil. Here, O bestower of wealth, may we kindle thee. Here, O increaser of prosperity, may we kindle you.
8.9.11	If he does not use salt with the mere addition of a nail, then his food becomes useless.
8.9.12	The garment is placed to the south.
8.9.13	It has gold.
8.9.14	There are two water pots placed there.
8.9.15	One is to the south, the other is inside.
8.9.16	The one inside is used when one is going to perform the rite.
8.9.17	The one outside is for bathing.
9.2.2	With the first (verse) he stirs.
9.2.3	With the second he recites over what has been produced.
9.2.4	With the third he lights up.
9.2.5	With the fourth he adds up.
8.9.18	Then, having taken water, he brings it in a vessel.
8.9.19	With a ladle, in a pot.
8.9.20	Having made it with a ladle, he brings it back there itself.
8.9.21	Having taken the best of the ladles, his friend, facing north, sits to the right of the fire and holds it.
8.9.22	Then he takes it out.
9.2.6	"You whom the angry ones have cursed, O Earth, O Heaven, O Heaven, the Angiras have placed you in the vow of the gods, the Adityas. You are the sky with greatness, the earth with greatness. The goddess Aditi has placed you on her lap, the eater of food, the mother of food."
9.2.7	Having risen up, one should be established in the characteristic.
9.2.8	Then one stands up.
8.9.23	When the oblation is taken out, he puts it in the upper half, moistens it with juices, and gives it to the receiver.
8.9.24	He makes the giver recite the formula over it.
8.9.25	The formula is: "The Veda, the Sūkta, the Paddhi, the one who has bathed, the two wings, the one who stands above."
9.2.9	"O Agni, lord of the house, may I be a good householder through you, O Agni, lord of house; may you be a good householder by me, O Agni, the householder. May our household fires shine brightly for a hundred years."
9.2.10	He looks at the Agnihotra-offering and says, "I declare."
9.2.11	He places the clarified butter for the Garhapatya offering.
8.9.26	The two wings of yours, the immortal, the feathered ones, by which you drive away the Rakshas, by them may we go to the world of the righteous, where the Rishis, the first-born, the ancient ones are. When you stood on the back of the sky, in the firmament, O Agni, the Brahmanas, the upholders of truth, came to you with their wealth.
9.2.12	The meal of beans is for the carnivorous one.
9.2.13	"The Puronuvākyā is, "We bow to thee."
9.2.14	"He offers the Pūrṇāhuti with the verse, "He who is all-embracing."
9.2.15	"They touch their hearts with the verse, "O Agni, he who is our friend."
9.3.1	"He recites the Vibhāga verse, "King Aṃśa divides, the two fires holding back, we drive away the carnivorous one; may the one who carries oblations stand here."
8.9.27	"Go in order, I have ascended the heaven from the back of the earth, the atmosphere, going to heaven, not looking back, be thou wide, be thou great, for this great majesty, this light of mine is true." These are three Agni-s together with this (verse).
8.9.28	After this, when the offering has been recited, offered, and concluded, one should touch the name-grabbing (verse) with, "I give this to you."
9.3.2	"May it be a good Gārhapatya" - he places the kindling-wood on the right side of the Gārhapaty.
9.3.3	"May it be the eater of raw flesh" - he places a kindling-wood made of bamboo on the left side of the Gārhapatya.
9.3.4	"May I turn away" - having placed it outside as prescribed by the mantra.
9.3.5	"May you ascend the bamboo, may you kindle the old reed, the sun that has gone down" - he places it near.
8.9.29	The offering with Dakṣiṇā is said to be Kama.
8.9.30	Those who consume (the oblations) are the Homa offerings made before.
8.9.31	O Agni, you are our protector, our saviour, the most auspicious, the most helpful. We seek you, the most radiant, the most shining, for happiness, for our friends, the one who bestows wealth, the one who increases prosperity, the one who brings good fortune, the one who is auspicious. These are the Ajyabhāga offerings.
9.3.6	If Agni is the Agni, the black cow, may it not cry for us. The one who knows the truth, the one who cries out, may it be auspicious for us. The hunter has seized the Agni. I pacify all the carnivorous Agnis. He offers peas ground with shells.
9.3.7	Placing lead on a broom, binding the churner, and offering, one should pacify.
8.9.32	Water is brought in the hand.
8.9.33	It is said up to the recitation of the mantra.
8.9.34	They eat after reciting the mantra.
8.9.35	One should offer clarified butter with the verse "May this year be auspicious."
8.9.36	One should offer kindling sticks.
8.9.37	There are two verses. Having offered the Savanas in the Agni kindled with the Yajus and consecrated with the Yajuses, how should the Savanas of Agni be released? Having recited all the Savanas and accepted them according to the prescribed procedure, having offered them with the Samnatis, Kaushika said that the release should be there.
8.9.38	They go to the west, to the direction of Aparajita, for the Avabhṛtha.
9.3.8	He climbs the bamboo-pole with the verse, "The four fires are not carnivorous. This one is carnivorous. We have placed thee in the horse, away from others." He pacifies with the verse, “O Agni, thou art the giver of wealth, thou art the bestower of wealth, thou hast golden hands."
9.3.9	He moves about with the ashes towards the south of Jaratkaru.
9.3.10	Having made it well pacified with the water for pacification, having dug out the burnt one,
9.3.11	he raises it with the verse, "Beyond death"
8.9.39	Having bathed with the verses to the waters, having circumambulated, having touched the water, having looked back, they return.
8.9.40	They seek Brahmanas with food.
8.9.41	The Dakshina is as prescribed. The Dakshina is prescribed.
9.1.1	One who is going to extinguish the fire for the dead, or one who is going to establish a single fire for the eldest son who is not divided.
9.3.12	With three verses beginning with "the carnivorous one" he follows the animal being led away.
9.3.13	The explanation of the offering of fire and other things has been explained by the offering.
9.3.14	He places the ashes with the verse, "The ashes are black."
9.3.15	The lead is placed in the palm of the eldest, except the best.
9.3.16	He sprinkles it with the verse, "May you be pleased with the lead in this, whatever is faulty."
9.1.2	On the new-moon day, he binds a two-year-old cow of the Rohini breed in the first shed.
9.1.3	At night, the eldest son anoints it while wearing a woolen garment.
9.1.4	The wife anoints the eldest son while wearing fresh garments.
9.1.5	The other sons anoint their wives.
9.3.17	Having wiped the hands and feet with a black antelope skin,
9.3.18	The mantra says, "These living beings are going upwards."
9.3.19	Having omitted the three sevens, go to the river.
9.3.20	"The place of death" - with the second, go to the boat.
9.3.21	"Beyond death" - having pierced the eastern and southern Kūḍī, go to the water.
9.1.6	Then he addresses them thus: "O Agni, do thou be the best of fires, do thou be well-extinguished, do thou be extinguished, O Agni, do thou, O Agni, be the best of fire." Thus thrice.
9.1.7	"This Agni, the lord of beings, is ascending the reed." Thus he recites the Anuvaka and pours the water of peace and great peace.
9.1.8	"O Agni, do not be cruel." Thus he holds the lamp from the broom.
9.1.9	and having dug up the earth that has been burnt by the fire of the lord of the earth,
9.1.10	having covered it with a lump of clay in the shape of a mound,
9.1.11	having smeared it with a lump made of cow dung,
9.1.12	having sprinkled it with sand and sprinkled it,
9.1.13	having made the mark,
9.1.14	having sprinkled again,
9.1.15	having placed the scraping of the mark at the back,
9.4.1	To the north of the pit, he places a stone flowing towards the north, cut at the end.
9.4.2	"He crosses the stone, saying, "Below death."
9.4.3	"He recites, "Those below and those above," while crossing."
9.4.4	"Having sprinkled the entrance to the house, he says, "Free from thorns."
9.4.5	"He says, "Bearing strength," while entering."
9.4.6	"He says to the calf-keeper, "For all the gods," while releasing the calf."
9.1.16	Having spread the hair of bulls, horses, and goats, and having rubbed a ball of dung with rice and barley, he places two darbha-blades pointing east.
9.1.17	"They are the testicles." Having breathed upon them, he places the two darbha-grasses.
9.1.18	Above them, the lower kindling wood.
9.1.19	To the south, the roots.
9.1.20	Behind, the generative ones. "You are Urvashi," "You are life."
9.4.12	"These living beings, without widows, are well-born." To each man, she gives three by three, having gone around to the right.
9.4.13	"I proclaim the highest death, the covering of the rising sun, the Agni who is the opposite, the Agni who turns back, the Agni who knows, with wealth, again for nourishment."
9.1.21-24	Having placed the lower kindling-stick, he says, "The victor in battle." Having called out, he says, “The eldest one should rub the fire three times towards the right. Oṃ bhūr, may the Gāyatrī metre be born. The Triṣṭubh, the Jagatī, and the Anushtubh. Oṃ bhūrbhuvaḥ svārajaniṃ janat. From here onwards, as desired.
9.4.14	O Agni, turning towards us, turn towards us with life, with radiance, with strength, with wisdom, with offspring, with wealth. O Agni, Jātavedas, a hundred, a thousand, have been offered to thee. Thou art the lord of prosperity. Do thou again bring us wealth. Turn with wealth to us, O Agni, swell with thy stream, with all thy wealth, from all sides. Turn again with energy. Turn again, O Agni, with life and light. Turn again, do thou protect us from evil.
9.2.1	I churn thee, O Jātavedas, the well-born, the well-knowing. May he be with us who lives long, and bestow long life on us. Born, he was born with fame, with the foremost, with offspring, with cattle, with splendour, with wealth. Bestow it on us. May we live through all our life, rejoicing, gladdened, with good heroes, without sickness. Light up, O Jātavaidya, remove thirst, hunger, and distress. Remove from us darkness. Let the one with a face of shame go away. Remove the evil directions. Remove the evil. Here, O bestower of wealth, may we kindle thee. Here, O increaser of prosperity, may we kindle you.
9.4.15	He binds them with a rope of hemp and holds them.
9.4.16	He offers with the Samaya mantra.
9.4.17	He places it at the door with the words, "For the living."
9.4.18	He offers with this verse: "For life, for wealth, for strength, for cattle, for nourishment, for Prajapati, svāhā."
9.4.19	The mother gives six kinds of food to her sons.
9.4.20	The wife gives leftovers.
9.2.2	With the first (verse) he stirs.
9.2.3	With the second he recites over what has been produced.
9.2.4	With the third he lights up.
9.2.5	With the fourth he adds up.
9.4.21	For a year one should not remove the fire, nor should it be removed.
9.4.22	Some say for twelve nights.
9.4.23	The fee is ten.
9.4.24	One should go to sleep behind the fire, silently.
9.4.25	The next day one should offer to Agni and Indra-Agni.
9.4.26	On the full moon day, one should offer to the fire and Soma with two pot-cooked oblations.
9.2.6	"You whom the angry ones have cursed, O Earth, O Heaven, O Heaven, the Angiras have placed you in the vow of the gods, the Adityas. You are the sky with greatness, the earth with greatness. The goddess Aditi has placed you on her lap, the eater of food, the mother of food."
9.2.7	Having risen up, one should be established in the characteristic.
9.2.8	Then one stands up.
9.4.27	In the evening he should sow rice and barley, saying, "To Agni svāhā, to Prajapati svāhā." In the evening.
9.4.28	"To Surya svāhā, svāhā to Prajapati." In the morning.
9.4.29	One should offer Agni with an animal sacrifice for twelve nights.
9.4.30	Or both may be performed with a pot-rice offering.
9.4.31	Having performed the water for peace on the twelfth day of the year,
9.2.9	"O Agni, lord of the house, may I be a good householder through you, O Agni, lord of house; may you be a good householder by me, O Agni, the householder. May our household fires shine brightly for a hundred years."
9.2.10	He looks at the Agnihotra-offering and says, "I declare."
9.2.11	He places the clarified butter for the Garhapatya offering.
9.4.32	O Agni, may we offer unto thee the oblation of ghee, the oblation of the uninjured. We offer unto thee the offering of ghee, the offering of the uninjured, O Jātavedas. Having brought four libations in a vessel of water,
9.4.33	and having mixed them,
9.4.34	sitting with his face towards the east and with his back towards the fire, he offers, saying, "O Agni, may we be brilliant when thou art offered. May we be sharers of the offered. Be kind to us. Do not injure our cattle."
9.2.12	The meal of beans is for the carnivorous one.
9.2.13	"The Puronuvākyā is, "We bow to thee."
9.2.14	"He offers the Pūrṇāhuti with the verse, "He who is all-embracing."
9.2.15	"They touch their hearts with the verse, "O Agni, he who is our friend."
9.3.1	"He recites the Vibhāga verse, "King Aṃśa divides, the two fires holding back, we drive away the carnivorous one; may the one who carries oblations stand here."
9.4.35	If the fire goes out, one should touch the ashes and kindling wood silently, and then kindle it.
9.4.36	Having offered a complete oblation,
9.4.37	One should offer clarified butter with the Samnati verses or with the Vyahrti verses.
9.4.38	And one should offer in this way when the fire is mixed.
9.4.39	When the fire is following and being born,
9.4.40	Having smeared the fire-places with a lump of cow dung,
9.3.2	"May it be a good Gārhapatya" - he places the kindling-wood on the right side of the Gārhapaty.
9.3.3	"May it be the eater of raw flesh" - he places a kindling-wood made of bamboo on the left side of the Gārhapatya.
9.3.4	"May I turn away" - having placed it outside as prescribed by the mantra.
9.3.5	"May you ascend the bamboo, may you kindle the old reed, the sun that has gone down" - he places it near.
9.4.41	Having placed the oblation,
9.4.42	he should offer oblations to himself with the Pranas and Apanas, to the Samanas and Vyanas, and to the Udanas and Rupas.
9.4.43	Then, having risen in the morning, having churned out fire and led it to its place, he should offer Agnihotra as usual.
9.4.44	The evening meal and the morning meal are the two sacrifices, the priests.
9.3.6	If Agni is the Agni, the black cow, may it not cry for us. The one who knows the truth, the one who cries out, may it be auspicious for us. The hunter has seized the Agni. I pacify all the carnivorous Agnis. He offers peas ground with shells.
9.3.7	Placing lead on a broom, binding the churner, and offering, one should pacify.
9.3.8	He climbs the bamboo-pole with the verse, "The four fires are not carnivorous. This one is carnivorous. We have placed thee in the horse, away from others." He pacifies with the verse, “O Agni, thou art the giver of wealth, thou art the bestower of wealth, thou hast golden hands."
9.3.9	He moves about with the ashes towards the south of Jaratkaru.
9.3.10	Having made it well pacified with the water for pacification, having dug out the burnt one,
9.3.11	he raises it with the verse, "Beyond death"
9.5.1	The housewife should kindle the fire before sunrise and after sunset, with pure hands, when the twilight has passed, and should offer oblations to Agni and Prajapati. In every offering, Agni and Prajapata are the best in front.
9.5.2	Agni and Prajapati are the best in every offering, and the sun at night and Prajapati during the day, and water and kindling wood.
9.3.12	With three verses beginning with "the carnivorous one" he follows the animal being led away.
9.3.13	The explanation of the offering of fire and other things has been explained by the offering.
9.3.14	He places the ashes with the verse, "The ashes are black."
9.3.15	The lead is placed in the palm of the eldest, except the best.
9.3.16	He sprinkles it with the verse, "May you be pleased with the lead in this, whatever is faulty."
9.5.3	The oblations are to be offered with the sacrificial twigs, milk, cooked rice, and clarified butter. The oblation may be offered in the evening or morning with any one of these.
9.5.4	If the fire, once kindled, goes out by chance, it should be rekindled. If the fire is extinguished while being churned, one should offer the Vyāhṛtis and the Pūrṇāhuti as prescribed by the priests.
9.3.17	Having wiped the hands and feet with a black antelope skin,
9.3.18	The mantra says, "These living beings are going upwards."
9.3.19	Having omitted the three sevens, go to the river.
9.3.20	"The place of death" - with the second, go to the boat.
9.3.21	"Beyond death" - having pierced the eastern and southern Kūḍī, go to the water.
9.3.22	Having made seven forms of rivers and filled them with water,
9.3.23	he makes the golden and barley-filled boat ascend, reciting, "May we ascend this boat of the sun, may we cross the earth."
9.3.24	He makes it cross towards the north, reciting, "The rock-filled boat is rising, may the friends stand up and cross."
9.5.5	"He pours the water towards the east with the formula, "To the trees, to the plants, to the herbs, to the grasses, to all gods, to the hosts of gods, to the auspicious hosts."
9.5.6	"He pours the water to the south with the formula, “Svāhā to the great-grandfathers, svāhā to the grandfathers, svāha to the fathers."
9.5.7	"He offers water to the west with the formula, "To Tārkshya, to Ariṣṭanemi, nectar to me."
9.5.8	To Soma and the seven sages, thus on the northern side.
9.5.9	On the day of the new moon, after having purified and smeared it, he should offer food to the leader of the assembly, giving more to the fire and eating little himself. In the afternoon, he undertakes the vow of a sacrificer.
9.5.10	He fasts, observes celibacy, and lies down on the ground, pure, near the fragrant fire.
9.4.1	To the north of the pit, he places a stone flowing towards the north, cut at the end.
9.4.2	"He crosses the stone, saying, "Below death."
9.4.3	"He recites, "Those below and those above," while crossing."
9.4.4	"Having sprinkled the entrance to the house, he says, "Free from thorns."
9.4.5	"He says, "Bearing strength," while entering."
9.4.6	"He says to the calf-keeper, "For all the gods," while releasing the calf."
9.5.11	The Agniṣṭoma is for the sight, the Indrāgnīṣṭoma is the non-sight. The Āgneya is always the first Anvāhārya, of Prajāpati.
9.5.12	The Sauviṣṭakṛti is half a Huti, it is remembered for all the offerings. The Anumati is for the Sthālīpākas of the Atharvas.
9.4.7	This Indra is the bull.
9.4.8	He anoints the bed with the verse, "The horse is the day and night."
9.4.9	He ascends with the verse, "Come, ascend for life."
9.4.10	He instructs those seated with the verse, "Those seated."
9.4.11	He gives to women with the verse, “I mix the ointment in clarified butter. These women are.”
9.4.12	"These living beings, without widows, are well-born." To each man, she gives three by three, having gone around to the right.
9.4.13	"I proclaim the highest death, the covering of the rising sun, the Agni who is the opposite, the Agni who turns back, the Agni who knows, with wealth, again for nourishment."
9.5.13	All the sacrifices, except those of the two Sandhi-days, which are dedicated to Visve-devas, and those of the Adhvaryu-priests, are performed with the Sruva and the Ajya, and with Dakshina.
9.5.14	Some of them are offered according to their capacity and strength, others are not offered. All partake of the oblation dedicated to Visve devas. May they all enjoy here the food and strength, as they desire.
9.5.15	The All-gods, the Adityas, have prepared this oblation. May I not be deprived of this sacrifice. The oblation is offered for the immortal.
9.5.16	One offers the oblation of the All-gods in the evening and morning. These two sacrifices, the evening and morning, are remembered as both.
9.4.14	O Agni, turning towards us, turn towards us with life, with radiance, with strength, with wisdom, with offspring, with wealth. O Agni, Jātavedas, a hundred, a thousand, have been offered to thee. Thou art the lord of prosperity. Do thou again bring us wealth. Turn with wealth to us, O Agni, swell with thy stream, with all thy wealth, from all sides. Turn again with energy. Turn again, O Agni, with life and light. Turn again, do thou protect us from evil.
9.4.15	He binds them with a rope of hemp and holds them.
9.4.16	He offers with the Samaya mantra.
9.4.17	He places it at the door with the words, "For the living."
9.4.18	He offers with this verse: "For life, for wealth, for strength, for cattle, for nourishment, for Prajapati, svāhā."
9.4.19	The mother gives six kinds of food to her sons.
9.4.20	The wife gives leftovers.
9.4.21	For a year one should not remove the fire, nor should it be removed.
9.4.22	Some say for twelve nights.
9.4.23	The fee is ten.
9.4.24	One should go to sleep behind the fire, silently.
9.4.25	The next day one should offer to Agni and Indra-Agni.
9.4.26	On the full moon day, one should offer to the fire and Soma with two pot-cooked oblations.
9.5.19	But those who know the Ajyabhāgas, the Yajñas, the Mantras, the sequence of the Mantras, and the knowledge of the deities, and the blessings, and the Karma, and the prohibition of women, they say that the offering of oblations is done.
9.6.1	The offering of oblations to them is done.
9.6.2	Having offered to Agni, Indra-Agni, Vastosapati, Prajapati, and Anumati.
9.4.27	In the evening he should sow rice and barley, saying, "To Agni svāhā, to Prajapati svāhā." In the evening.
9.4.28	"To Surya svāhā, svāhā to Prajapati." In the morning.
9.4.29	One should offer Agni with an animal sacrifice for twelve nights.
9.4.30	Or both may be performed with a pot-rice offering.
9.4.31	Having performed the water for peace on the twelfth day of the year,
9.6.6	To Udáyana, to Dhanvantari, to the ocean, to the medicinal plants and trees, to heaven and earth.
9.6.7	To the pillars and beams, to the directions and intermediate directions.
9.6.8	To the corners, to Vasuki, to Chitrasena, to Chitraratha, to Taksha and Upa-Taksha.
9.6.9	To all sides, to Agni, to the desire, to faith, to intelligence, to prosperity, to fame, to knowledge.
9.4.32	O Agni, may we offer unto thee the oblation of ghee, the oblation of the uninjured. We offer unto thee the offering of ghee, the offering of the uninjured, O Jātavedas. Having brought four libations in a vessel of water,
9.4.33	and having mixed them,
9.4.34	sitting with his face towards the east and with his back towards the fire, he offers, saying, "O Agni, may we be brilliant when thou art offered. May we be sharers of the offered. Be kind to us. Do not injure our cattle."
9.6.10	"The ancient house of Agni, to the divine guests."
9.6.11	Having again taken it up, he should feed the Brahmanas.
9.6.12	This also is said in a verse: "One should not eat before the Brahmanas, food like poison. The Brahmana is the god of the gods, the desire for food. This is the nature of the god."
9.4.35	If the fire goes out, one should touch the ashes and kindling wood silently, and then kindle it.
9.4.36	Having offered a complete oblation,
9.4.37	One should offer clarified butter with the Samnati verses or with the Vyahrti verses.
9.4.38	And one should offer in this way when the fire is mixed.
9.4.39	When the fire is following and being born,
9.4.40	Having smeared the fire-places with a lump of cow dung,
9.6.13	Having performed the Śānti-water rite at Āgrayana, having placed the rice according to the season,
9.6.14	having cooked the rice in water or in milk.
9.6.15	With the seasons, with the ordinances, with Agni, svāhā! With Indra and Agni, with Heaven and Earth, with all the gods, with the seasons, with ordinances, with Soma, svāhā. Either one oblation or separate oblations.
9.6.16	The Soma-offering of Shyamaka barley in autumn.
9.4.41	Having placed the oblation,
9.4.42	he should offer oblations to himself with the Pranas and Apanas, to the Samanas and Vyanas, and to the Udanas and Rupas.
9.4.43	Then, having risen in the morning, having churned out fire and led it to its place, he should offer Agnihotra as usual.
9.4.44	The evening meal and the morning meal are the two sacrifices, the priests.
9.6.17	Then the sacrificer takes up the Prastara.
9.6.18	"I take up thee, O Prajapati, for my prosperity, for my nourishment, for my glory, for my fame, for my renown, for my life, for my food, for my food-supply, for the nourishment of a thousand, for the nourishment beyond measure."
9.6.19	Then he eats, saying, "May the gods have chosen for us what is good and auspicious. By your grace we have attained you. O father, you have entered us with sweetness. Come to us, auspicious for our offspring and body."
9.6.20	He makes the child eat with the verse, "Thou art the life, the truth I speak. Thou art the all-pervading, thou hast entered all. Remove from my body old age and disease. Be thou free from disease. May we not be afflicted by thee, O Indra."
9.6.21	The calf is the firstborn, the garment is the gift in autumn.
9.6.22	One should give the gift according to one's capacity.
9.5.1	The housewife should kindle the fire before sunrise and after sunset, with pure hands, when the twilight has passed, and should offer oblations to Agni and Prajapati. In every offering, Agni and Prajapata are the best in front.
9.5.2	Agni and Prajapati are the best in every offering, and the sun at night and Prajapati during the day, and water and kindling wood.
9.6.23	The limit of the power is not prescribed. The limit of the strength is not prescribed.
10.1.1	Now the marriage.
10.1.2	After the full moon of Kārttika, before the full moon of Vaiśākha.
10.1.3	Or as one wishes.
10.1.4	One should avoid the dark fortnight.
10.1.5	It is known that cows are killed in Maghā and are released in Phālguni, and it is auspicious.
10.1.6	One should place the earth with the truth, "The east and the west are raised by truth."
9.5.3	The oblations are to be offered with the sacrificial twigs, milk, cooked rice, and clarified butter. The oblation may be offered in the evening or morning with any one of these.
9.5.4	If the fire, once kindled, goes out by chance, it should be rekindled. If the fire is extinguished while being churned, one should offer the Vyāhṛtis and the Pūrṇāhuti as prescribed by the priests.
10.1.7	and the knowledge of the husband.
10.1.8	"He sends Sambhala with his followers, saying, "You are the lord."
10.1.9	"He says, "Brahmanaspati," to Brahman."
10.1.10	"He says to the girl-keeper, "You have kindled the fire from the girl's house, fearing that it would be extinguished."
10.1.11	"He sprinkles the ashes with five verses, saying, "The gods are in front."
10.1.12	"He sends the girl-keeper away, saying, "Do not be afraid."
9.5.5	"He pours the water towards the east with the formula, "To the trees, to the plants, to the herbs, to the grasses, to all gods, to the hosts of gods, to the auspicious hosts."
9.5.6	"He pours the water to the south with the formula, “Svāhā to the great-grandfathers, svāhā to the grandfathers, svāha to the fathers."
9.5.7	"He offers water to the west with the formula, "To Tārkshya, to Ariṣṭanemi, nectar to me."
10.1.13	The Brahman is in front and behind the army.
10.1.14	He who is without a fire, having pierced the water,
10.1.15	"This is mine."
10.1.16	"He who is auspicious," having recited the Anvipa,
10.1.17	"The Brahmanas are yours." He gives.
10.1.18	The Brahman is in front, the archer is behind.
9.5.8	To Soma and the seven sages, thus on the northern side.
9.5.9	On the day of the new moon, after having purified and smeared it, he should offer food to the leader of the assembly, giving more to the fire and eating little himself. In the afternoon, he undertakes the vow of a sacrificer.
9.5.10	He fasts, observes celibacy, and lies down on the ground, pure, near the fragrant fire.
10.1.19	Outside, on the northern side of the Udumbara tree, he places the branch of Agni.
10.1.20	With that they perform the rites for water.
10.1.21	Then sprinkling with another.
10.1.22	Having gone inside, he offers.
10.1.23	"I release you," he says, while loosening the knot.
10.1.24	He sprinkles three times with this verse, "Oshatis."
9.5.11	The Agniṣṭoma is for the sight, the Indrāgnīṣṭoma is the non-sight. The Āgneya is always the first Anvāhārya, of Prajāpati.
9.5.12	The Sauviṣṭakṛti is half a Huti, it is remembered for all the offerings. The Anumati is for the Sthālīpākas of the Atharvas.
10.1.25	He makes the seven hot (waters) fall together.
10.1.26	He sprinkles her standing on the northern string of the altar, saying, "On the seat."
10.1.27	He sprinkles her with another (water) when she has gone out, saying, "Whatever is the semen, like the ocean."
10.2.1	Having wiped the limbs with a cloth, he gives it to the guardian of the maidens, saying, "What is evil."
10.2.2	Having handed it over with a pestle, he should go out.
9.5.13	All the sacrifices, except those of the two Sandhi-days, which are dedicated to Visve-devas, and those of the Adhvaryu-priests, are performed with the Sruva and the Ajya, and with Dakshina.
9.5.14	Some of them are offered according to their capacity and strength, others are not offered. All partake of the oblation dedicated to Visve devas. May they all enjoy here the food and strength, as they desire.
10.2.3	He places it in the forest.
10.2.4	"He covers it with a piece of cloth, saying, "This is the cloth that Tvashtra did not cut."
10.2.5	" "He draws it with a piece made of a hundred threads, saying, "It is artificial."
10.2.6	" "Having drawn it, he releases it, saying, "The time is done."
10.2.7	" "One girds oneself, saying, "I am girded."
10.2.8	" "Taking a Madhughāmaṇi gem, he ties it to the ring finger with a thread dyed red with lac, saying, "Here is the plant."
9.5.15	The All-gods, the Adityas, have prepared this oblation. May I not be deprived of this sacrifice. The oblation is offered for the immortal.
9.5.16	One offers the oblation of the All-gods in the evening and morning. These two sacrifices, the evening and morning, are remembered as both.
10.2.9	The gem is at the end, the knot is outside.
10.2.10	Holding the gem in the hand, one determines it, saying, "This is yours."
10.2.11	Placing a yoke on the branch, one holds another to the right.
