1.1.1	He should observe the vow from the time of his Upanayana onwards.
1.22.11	Having given the sacrificial twig and the black antelope skin, he places the sun. "O lord of paths, may I attain the foremost position in the path. May I reach the other side of this path safely. That eye which is for the welfare of the gods, the bright one, has arisen in front." "May we see a hundred autumns, may we live a hundred autumns. May we hear a hundred autumns." "May we speak a hundred autumns." May we be free from distress for a hundred autumns." "May there be more than a hundred autumns for me. Whatever intelligence there is among the Apsarases and Gandharvas, and whatever intelligence there is among gods and humans, may that intelligence enter me here."
1.22.7	The protector of truth, the destroyer of austerities, the slayer of demons, the conqueror of enemies, she who protects us on all sides, O auspicious one, O thou who art well-to-do, O thou who hast the girdle, may we not be injured. Thus he takes the girdle, which is the earth, having three strings.
1.22.8	"The young man in new clothes" thus he girdles himself, going round thrice to the right.
1.22.9	He ties three knots on the girdle.
1.22.12	Having brought it around to the right, he makes it stand to the rear of the fire, saying, "Come, stand on the stone. Be firm like a stone. May all the gods grant you life for a hundred autumns." He makes it stand on the stone with his right foot.
1.22.10	This (goddess) has come to me, purifying the ancient speech, restraining the ill-spoken. She who worships with the vital airs, the auspicious goddess, the auspicious Mekhala, may she not injure me. When she is girt, he recites: "May your heart be in my vow, may your mind be in accordance with my mind. May you accept my speech. May Brihaspati unite you with me."
1.22.13	Then having spread a large mat behind the fire, having made a place for the pot, sitting towards the east, he recites to one sitting towards the west the Gayatri, the Savitri, some recite the Tristubh, some the Jagati, having said "Om" and with the Vyahrtis.
1.22.14	He should grasp it thrice, then twice, then once, then he should join it together in parts, in half-verses, in verses, in the whole (text).
1.22.15	Because of the three (verses) recited in the morning, because of the two (verses) and because of the one (verse), in the year, in the twelve-day (rite), in the six-day (rite) or in the three-day (rite). Therefore, the statement is that it should be recited immediately.
1.22.16	The giver of the boon gives the bell and the garment to the maker.
1.22.11	Having given the sacrificial twig and the black antelope skin, he places the sun. "O lord of paths, may I attain the foremost position in the path. May I reach the other side of this path safely. That eye which is for the welfare of the gods, the bright one, has arisen in front." "May we see a hundred autumns, may we live a hundred autumns. May we hear a hundred autumns." "May we speak a hundred autumns." May we be free from distress for a hundred autumns." "May there be more than a hundred autumns for me. Whatever intelligence there is among the Apsarases and Gandharvas, and whatever intelligence there is among gods and humans, may that intelligence enter me here."
1.22.17	If one desires intelligence, one should anoint a palāśa tree with ghee and recite in its shade: "You are the one who is well-known, as you are well-known, so make me well-known and well-known. As you are the repository of the Vedas of the gods, may I become the repository of the human Vedas."
1.22.12	Having brought it around to the right, he makes it stand to the rear of the fire, saying, "Come, stand on the stone. Be firm like a stone. May all the gods grant you life for a hundred autumns." He makes it stand on the stone with his right foot.
1.22.13	Then having spread a large mat behind the fire, having made a place for the pot, sitting towards the east, he recites to one sitting towards the west the Gayatri, the Savitri, some recite the Tristubh, some the Jagati, having said "Om" and with the Vyahrtis.
1.22.21	The Śruti says that one should offer alms to the teacher and then eat with his permission.
1.23.1	Now, the initiation is performed by the four Hotr priests for a year.
1.23.2	One should offer one's own rites to the four Hotrpriests, along with the six Hotrpriests and the seven Hotrpriests.
1.23.3	At the end, having given the vow, one should recite the first two chapters.
1.23.4	In the same way, one should offer the initiation.
1.22.14	He should grasp it thrice, then twice, then once, then he should join it together in parts, in half-verses, in verses, in the whole (text).
1.22.15	Because of the three (verses) recited in the morning, because of the two (verses) and because of the one (verse), in the year, in the twelve-day (rite), in the six-day (rite) or in the three-day (rite). Therefore, the statement is that it should be recited immediately.
1.22.16	The giver of the boon gives the bell and the garment to the maker.
1.23.5	Then the twelve-night fire for initiation.
1.23.6	Having offered eight times with "Joining the first mind," one offers six times with "The Agni who is the source of all," and the seventh with "The entire universe is the leader of the gods."
1.23.7	Having given the vow, one should recite the eight chapters in order.
1.23.8	One should bring water three times a day and three pitchers.
1.22.17	If one desires intelligence, one should anoint a palāśa tree with ghee and recite in its shade: "You are the one who is well-known, as you are well-known, so make me well-known and well-known. As you are the repository of the Vedas of the gods, may I become the repository of the human Vedas."
1.23.9	One should sleep on a bed covered with a single cloth, on ashes, on cow-dung, or on sand.
1.23.10	One should not cross a river.
1.23.11	Having offered a cake with ghee, one should recite the Vatsa-pra.
1.23.12	Then one should feed Brahmins with cakes with ghee.
1.23.13	One should offer the initiation in the same way.
1.23.14	Now the consecration for the horse sacrifice is for twelve nights.
1.22.18	The Śruti says, “He who knows thus, he who knows one, two, three, all the Vedas, he should be approached.”
1.22.19	The life of a student has been explained.
1.22.20	Now he goes on alms-begging. He first approaches his mother, and then other friends, or whoever may be present.
1.23.15	Having collected the kindling wood of the Vaitas, having offered with the ninth Anuvāka, having established with the sixth, having given the vow, one should recite the twenty-one Anuvākas.
1.23.16	One should bring the horse three times a day for grass, three times for water.
1.23.17	One should sleep on the ground covered with a single garment, on ashes, on chaff, or on sand.
1.22.21	The Śruti says that one should offer alms to the teacher and then eat with his permission.
1.23.1	Now, the initiation is performed by the four Hotr priests for a year.
1.23.2	One should offer one's own rites to the four Hotrpriests, along with the six Hotrpriests and the seven Hotrpriests.
1.23.3	At the end, having given the vow, one should recite the first two chapters.
1.23.4	In the same way, one should offer the initiation.
1.23.18	The one who is desirous of bathing should recite the four hymns beginning with "O plants, those who come together, may the fathers purify me, Agni's mind."
1.23.19	One should offer the consecration in the same way.
1.23.20	One should recite the fourteen hymns beginning with "Shadam dadbhiḥ."
1.23.21	One who is about to request the secret should perform the Pravargya.
1.23.5	Then the twelve-night fire for initiation.
1.23.6	Having offered eight times with "Joining the first mind," one offers six times with "The Agni who is the source of all," and the seventh with "The entire universe is the leader of the gods."
1.23.7	Having given the vow, one should recite the eight chapters in order.
1.23.8	One should bring water three times a day and three pitchers.
1.23.22	As in the case of the injunctions, it has been explained before.
1.23.23	One should recite the first twenty-five chapters.
1.23.24	The Trividyaka (three Vedas) has been explained by the Upanayana (initiation).
1.23.25	One should recite three chapters at the beginning.
1.23.26	The vows have been explained, the vows have been explained.
1.23.27	"He releases the girdle with the verse, "I release the supreme noose of Varuna."
1.23.9	One should sleep on a bed covered with a single cloth, on ashes, on cow-dung, or on sand.
1.23.10	One should not cross a river.
1.23.11	Having offered a cake with ghee, one should recite the Vatsa-pra.
1.23.12	Then one should feed Brahmins with cakes with ghee.
1.23.13	One should offer the initiation in the same way.
1.23.14	Now the consecration for the horse sacrifice is for twelve nights.
2.1.1	The father of the deceased should perform the Śrāddha rite at the time of marriage.
2.1.2	If the father of the deceased is not present, they should keep the fire burning on the day of the deceased, on the day of a lunar eclipse, on an auspicious day, or on any other day except the ninth day.
2.1.3	One should be clean and wear new clothes.
2.1.4	One should keep awake with covered mouth and hands.
1.23.15	Having collected the kindling wood of the Vaitas, having offered with the ninth Anuvāka, having established with the sixth, having given the vow, one should recite the twenty-one Anuvākas.
1.23.16	One should bring the horse three times a day for grass, three times for water.
1.23.17	One should sleep on the ground covered with a single garment, on ashes, on chaff, or on sand.
2.1.5	Having ground the unbroken barley in a place, one should churn the fire-wood without support with a bamboo of sugarcane.
2.1.6	He invokes the golden-handed Savitar, Vayu, Indra, Prajapati, the All-gods, and the Angirasas, saying, "May they pacify this carnivorous Agni." He sprinkles the fire with the churned fire.
1.23.18	The one who is desirous of bathing should recite the four hymns beginning with "O plants, those who come together, may the fathers purify me, Agni's mind."
1.23.19	One should offer the consecration in the same way.
1.23.20	One should recite the fourteen hymns beginning with "Shadam dadbhiḥ."
1.23.21	One who is about to request the secret should perform the Pravargya.
2.1.7	May Soma, the king, divide (the oblations). May Agni, the divider, be here. May Agni, the bearer of oblations, be here. Drive away the ravenous one." Having placed Agni on a wooden plank, he sends it away.
2.1.8-9	I send the ravenous Agni far away; may the stream of Yama's kingdom go. May this one here, the knower, bring oblations to the gods. Having taken Agni, they go to the house in the south-west direction, along with the officiating priests.
1.23.22	As in the case of the injunctions, it has been explained before.
1.23.23	One should recite the first twenty-five chapters.
1.23.24	The Trividyaka (three Vedas) has been explained by the Upanayana (initiation).
1.23.25	One should recite three chapters at the beginning.
1.23.26	The vows have been explained, the vows have been explained.
1.23.27	"He releases the girdle with the verse, "I release the supreme noose of Varuna."
2.1.10	We have smeared our heads with lead in the dust, in the lead-smearing, in the lead, in the lead of the dead, in the lead. Having smeared the lead, they place it on the altar.
2.1.11	With three verses, "The abode of the abode..." they sweep the upper cowpen.
2.1.12	Without looking back, they return.
2.1.1	The father of the deceased should perform the Śrāddha rite at the time of marriage.
2.1.2	If the father of the deceased is not present, they should keep the fire burning on the day of the deceased, on the day of a lunar eclipse, on an auspicious day, or on any other day except the ninth day.
2.1.3	One should be clean and wear new clothes.
2.1.4	One should keep awake with covered mouth and hands.
2.1.13-14	Those who are making their steps with the Nala grass or with the Vetasa branch, they make their steps towards death. Those who are making their footsteps towards death, they are making their steps towards the life of Raghi. They are increasing, they are increasing with progeny and wealth, they are pure, they are pure. They are fit for sacrifice. Take up the horse that swims, by which Saramā, the female demon, was shaken.
2.1.5	Having ground the unbroken barley in a place, one should churn the fire-wood without support with a bamboo of sugarcane.
2.1.6	He invokes the golden-handed Savitar, Vayu, Indra, Prajapati, the All-gods, and the Angirasas, saying, "May they pacify this carnivorous Agni." He sprinkles the fire with the churned fire.
2.1.7	May Soma, the king, divide (the oblations). May Agni, the divider, be here. May Agni, the bearer of oblations, be here. Drive away the ravenous one." Having placed Agni on a wooden plank, he sends it away.
2.1.15	Having taken out the fire-pit, he pours down the earthen materials for the fire-installation, except the ashes and clay.
2.1.16	Having churned out fire from the kindling woods, and having placed a piece of gold, he adds the burning fire, when it is ready, with the verse, "May the fire be ready for us."
2.1.17	The sacrificial fee is a cow, garment and a bronze vessel.
2.1.8-9	I send the ravenous Agni far away; may the stream of Yama's kingdom go. May this one here, the knower, bring oblations to the gods. Having taken Agni, they go to the house in the south-west direction, along with the officiating priests.
2.2.1	Having first raised the sign of the fire, having smeared the ground with cowdung, having made a square maṇḍala, having churned out the fire, one should offer it facing the fire.
2.2.2	Having produced the fire-purifying darbha grass according to the mantra, one cooks the Agniya Śālīpāka.
2.2.3	Having brought in the grains after concealing the Pavitra, he cooks the grains of rice with the ladle, turning it to the right.
2.2.4	He pours clarified butter, either unchurned or churned, over the cooked rice and removes it to the north.
2.1.10	We have smeared our heads with lead in the dust, in the lead-smearing, in the lead, in the lead of the dead, in the lead. Having smeared the lead, they place it on the altar.
2.1.11	With three verses, "The abode of the abode..." they sweep the upper cowpen.
2.1.12	Without looking back, they return.
2.2.5	"This Stoma is worthy of the Arhats" (so says the text). Having surrounded the fire, having sprinkled it, having spread it, he spreads the sacrificial grass in front of the fire.
2.2.6	Having removed the darbha grass towards the north, he spreads the southern ones and then the northern ones, in front of the Agni, with the southern ones towards the north.
2.1.13-14	Those who are making their steps with the Nala grass or with the Vetasa branch, they make their steps towards death. Those who are making their footsteps towards death, they are making their steps towards the life of Raghi. They are increasing, they are increasing with progeny and wealth, they are pure, they are pure. They are fit for sacrifice. Take up the horse that swims, by which Saramā, the female demon, was shaken.
2.2.7	To the right of the fire, he spreads for Brahman, and another for the sacrificer. In the western half, he spreads for the wife.
2.2.8	On the northern side, having spread the purifying grass, having washed the spoon, ladle, and the vessel for clarified butter, he places two each on the spread (grass).
2.1.15	Having taken out the fire-pit, he pours down the earthen materials for the fire-installation, except the ashes and clay.
2.1.16	Having churned out fire from the kindling woods, and having placed a piece of gold, he adds the burning fire, when it is ready, with the verse, "May the fire be ready for us."
2.1.17	The sacrificial fee is a cow, garment and a bronze vessel.
2.2.9	Having silently placed the clarified butter on the right side, having performed the Parigni rite with the mantra, having silently wiped the spoon and ladle with water, the wife looks at the clarified butter with the formula, "I look at thee with the eye of water."
2.2.10	Having silently placed it on the fire, having placed it on the ground, having placed it behind the fire, having heated it with the mantra, one looks at it.
2.2.1	Having first raised the sign of the fire, having smeared the ground with cowdung, having made a square maṇḍala, having churned out the fire, one should offer it facing the fire.
2.2.2	Having produced the fire-purifying darbha grass according to the mantra, one cooks the Agniya Śālīpāka.
2.2.11	"Thou art splendour." The sacrificer looks at the clarified butter.
2.2.12	Having placed the spoon in the vessel of clarified butter, he extends the spoon towards the cooked rice with the front part and towards the ladle with the rear part.
2.2.3	Having brought in the grains after concealing the Pavitra, he cooks the grains of rice with the ladle, turning it to the right.
2.2.4	He pours clarified butter, either unchurned or churned, over the cooked rice and removes it to the north.
2.2.13	Having placed the fire-wood silently in front, having addressed the Brahman, and having been told "Do offer", he offers the two libations with the right hand between the knees, sitting facing east. The Prajapati-libation in the eastern half, facing east, the Indra-libation in southern half, facing east.
2.2.5	"This Stoma is worthy of the Arhats" (so says the text). Having surrounded the fire, having sprinkled it, having spread it, he spreads the sacrificial grass in front of the fire.
2.2.6	Having removed the darbha grass towards the north, he spreads the southern ones and then the northern ones, in front of the Agni, with the southern ones towards the north.
2.2.14	Then he offers the two portions of clarified butter, the Agniya in the northern half and the Saumya in the southern half, both at the same time.
2.2.15	Having yoked Agni with the two verses, "He who is yoked, the one who knows the truth," having worshipped the constellation, one should worship the constellation deity, the date, the date deity, the season, and the season deity.
2.2.7	To the right of the fire, he spreads for Brahman, and another for the sacrificer. In the western half, he spreads for the wife.
2.2.8	On the northern side, having spread the purifying grass, having washed the spoon, ladle, and the vessel for clarified butter, he places two each on the spread (grass).
2.2.16	Having spread out the grass and having touched water, he offers the cooked rice from the middle of the pot, first from the eastern half, then from the western half, if there are five portions.
2.2.17	Having offered the Avadana, he offers the Avalavana.
2.2.18	He offers in the middle with "Svāhā to Agni."
2.2.19	He offers to Rudra with "You are the god of gods."
2.2.9	Having silently placed the clarified butter on the right side, having performed the Parigni rite with the mantra, having silently wiped the spoon and ladle with water, the wife looks at the clarified butter with the formula, "I look at thee with the eye of water."
2.2.10	Having silently placed it on the fire, having placed it on the ground, having placed it behind the fire, having heated it with the mantra, one looks at it.
2.2.20	Having offered the oblation to Agni Svishtakrit, he offers the oblation from the northern half of the oblation-vessel, once or twice, in two measures. If there are five oblations, then twice.
2.2.21	Having offered the oblation twice, he does not offer the oblation again.
2.2.22	He offers to Agni Svishta-krit with the formula, "Svāhā to Agni Svishtaka-rit." He offers in the northern half of eastern half without touching.
2.2.23	Having placed the sacrificial grass and the sacrificial grass-blades, he should offer with the Vyāhṛtis, "You are Agni, you are Agni, you alone are Agni."
2.2.24	Having offered with the verse, "I release your rope, I release your rays," and having touched the strainer, he offers with clarified butter.
2.2.13	Having placed the fire-wood silently in front, having addressed the Brahman, and having been told "Do offer", he offers the two libations with the right hand between the knees, sitting facing east. The Prajapati-libation in the eastern half, facing east, the Indra-libation in southern half, facing east.
2.2.14	Then he offers the two portions of clarified butter, the Agniya in the northern half and the Saumya in the southern half, both at the same time.
2.2.15	Having yoked Agni with the two verses, "He who is yoked, the one who knows the truth," having worshipped the constellation, one should worship the constellation deity, the date, the date deity, the season, and the season deity.
2.2.25-30	He places the kindling-wood with the formula, "Thou art the kindler, I am the kindler." He places the second one with the formula, "Thou art the kindling-stick, I am the kindle." He stands with the formula, "I have followed the waters today." He should besmear with the waters of the most sacred kind. The full vessel is the fee. He strikes the ladle with the formula, All the offerings of cooked rice are explained by this offering of cooked rice.
2.2.16	Having spread out the grass and having touched water, he offers the cooked rice from the middle of the pot, first from the eastern half, then from the western half, if there are five portions.
2.2.17	Having offered the Avadana, he offers the Avalavana.
2.2.18	He offers in the middle with "Svāhā to Agni."
2.2.19	He offers to Rudra with "You are the god of gods."
2.3.1	In the evening he offers with the formula, "To Agni svāhā." The second one with the formula, “To Prajapati svāhā.”
2.3.2	In the morning he offers with the verse, "To Surya svāhā."
2.3.3	The Sthālīpāka oblation to Agni-Soma is offered on the full moon day, to Indra-Agni on the new moon day. In both cases the oblation to Agni is offered first. The oblation to Agni on the full moon is offered first, and the oblation to Indra-Agna on the new moon is offered first.
2.2.20	Having offered the oblation to Agni Svishtakrit, he offers the oblation from the northern half of the oblation-vessel, once or twice, in two measures. If there are five oblations, then twice.
2.2.21	Having offered the oblation twice, he does not offer the oblation again.
2.2.22	He offers to Agni Svishta-krit with the formula, "Svāhā to Agni Svishtaka-rit." He offers in the northern half of eastern half without touching.
2.3.4	On the full-moon day of the month of Ashvina, he offers the oblation of cooked rice in the morning, which is a part of the daily ritual.
2.3.5	He offers the oblation with the mantras "Agni, Rudra, Pashupati, Ishana, Tryambaka, Sharada, Prishataka, Ga."
2.2.23	Having placed the sacrificial grass and the sacrificial grass-blades, he should offer with the Vyāhṛtis, "You are Agni, you are Agni, you alone are Agni."
2.2.24	Having offered with the verse, "I release your rope, I release your rays," and having touched the strainer, he offers with clarified butter.
2.3.6	The Pṛṣṭa-cake mixed with curds and ghee, having recited the verse, "May Mitra-Varuna grant us protection," and having recited the verse "May the waters and the plants be our food," he makes the cows eat grass.
2.3.7	They should be released and allowed to graze.
2.3.8	He should feed Brahmins with ghee.
2.3.9	One should not eat new grains without performing the Agrayaṇa sacrifice.
2.3.10	One should perform the Agrayaṇa rite on a mountain, in spring with barley and in autumn with rice.
2.2.25-30	He places the kindling-wood with the formula, "Thou art the kindler, I am the kindler." He places the second one with the formula, "Thou art the kindling-stick, I am the kindle." He stands with the formula, "I have followed the waters today." He should besmear with the waters of the most sacred kind. The full vessel is the fee. He strikes the ladle with the formula, All the offerings of cooked rice are explained by this offering of cooked rice.
2.3.11	Having cooked the first-cooked rice in milk, he offers it with the formula, "To Agni and Indra together with Soma, svāhā; to all gods together with Soma, svaha; to heaven and earth together with Soma, sviha; to Soma together with Soma, svahā."
2.3.12	In autumn to Soma of Shyamaka grains, in spring of Venuyava grains. In both cases with clarified butter.
2.3.13	A calf is the Dakṣiṇā.
2.3.1	In the evening he offers with the formula, "To Agni svāhā." The second one with the formula, “To Prajapati svāhā.”
2.3.2	In the morning he offers with the verse, "To Surya svāhā."
2.3.3	The Sthālīpāka oblation to Agni-Soma is offered on the full moon day, to Indra-Agni on the new moon day. In both cases the oblation to Agni is offered first. The oblation to Agni on the full moon is offered first, and the oblation to Indra-Agna on the new moon is offered first.
2.3.14	The Śruti says that only a Brāhmaṇa should eat the remnant of the oblation.
2.4.1	One who is going to sacrifice an animal performs the rites of the sacrificial fire in connection with the cooking of the animal.
2.4.2	As in the case of animal sacrifice, one should remain silent and perform the rites, except for the offering to the deity.
2.4.3	Having sprinkled, anointed, and cooked, having performed the rite of encircling with fire, having carried the firebrand, and having taken the Vapa and Śrapaṇī ladles, they proceed towards the east, following the animal.
2.3.4	On the full-moon day of the month of Ashvina, he offers the oblation of cooked rice in the morning, which is a part of the daily ritual.
2.3.5	He offers the oblation with the mantras "Agni, Rudra, Pashupati, Ishana, Tryambaka, Sharada, Prishataka, Ga."
2.4.4	He sees the animal being consecrated.
2.4.5	Having sprinkled the consecrated animal, having taken out the omentum according to the deity, having roasted it, having offered the omentum and the two portions of clarified butter, he offers the omentum with the verse, "O Jātavedas, go to the gods, for you were the first to become the Hotṛ. O Agni, by the body of ghee, may the desires of the sacrificer be fulfilled. Svāhā." He offers the omentuṃ with this verse.
2.4.6	"Svāhā svāhā" is the offering of the omentum.
2.3.6	The Pṛṣṭa-cake mixed with curds and ghee, having recited the verse, "May Mitra-Varuna grant us protection," and having recited the verse "May the waters and the plants be our food," he makes the cows eat grass.
2.3.7	They should be released and allowed to graze.
2.3.8	He should feed Brahmins with ghee.
2.3.9	One should not eat new grains without performing the Agrayaṇa sacrifice.
2.3.10	One should perform the Agrayaṇa rite on a mountain, in spring with barley and in autumn with rice.
2.4.7	He offers the Sthalipaka oblation, having the same deity as the animal.
2.4.8	The two portions of clarified butter are offered.
2.4.9	The Svishtakrit is not mentioned.
2.4.10	Having offered the oblations named Pasubandhika, having performed the oblations of the essence of the Pasu, and having offered the directions with the remaining Vasahomas, he offers the directions with the Vasahomas, as in the case of the Vaji.
2.3.11	Having cooked the first-cooked rice in milk, he offers it with the formula, "To Agni and Indra together with Soma, svāhā; to all gods together with Soma, svaha; to heaven and earth together with Soma, sviha; to Soma together with Soma, svahā."
2.3.12	In autumn to Soma of Shyamaka grains, in spring of Venuyava grains. In both cases with clarified butter.
2.3.13	A calf is the Dakṣiṇā.
2.4.11	Having offered the oblations to Jaya, he offers the Svishtakrit oblation.
2.4.12	The remaining part is explained by the Sthalipaka rite.
2.4.13	The animal itself is the Dakshina.
2.5.1	The animal is offered in the autumn season.
2.5.2	The sacrificial post is erected at night in the middle of the cows near the village in the northeast direction.
2.3.14	The Śruti says that only a Brāhmaṇa should eat the remnant of the oblation.
2.4.1	One who is going to sacrifice an animal performs the rites of the sacrificial fire in connection with the cooking of the animal.
2.4.2	As in the case of animal sacrifice, one should remain silent and perform the rites, except for the offering to the deity.
2.4.3	Having sprinkled, anointed, and cooked, having performed the rite of encircling with fire, having carried the firebrand, and having taken the Vapa and Śrapaṇī ladles, they proceed towards the east, following the animal.
2.5.3	Having filled eight vessels with blood, one should offer them in the directions and intermediate directions with the eight Anuvākas beginning with "Salutations to you, O Rudra, the angry one."
2.5.4	One should not bring the animal from a village that is not inhabited.
2.5.5	One should bury the remaining skin on the ground.
2.5.6	Some say that the animals for the Pākayajña are made of wood.
2.6.1	Now we shall explain the Dhruvasva-kalpa.
2.6.2	On the full moon day of Ashvina.
2.6.3	The officiating priest, without any defect, bathed, pure, wearing fresh clothes,
2.4.4	He sees the animal being consecrated.
2.4.5	Having sprinkled the consecrated animal, having taken out the omentum according to the deity, having roasted it, having offered the omentum and the two portions of clarified butter, he offers the omentum with the verse, "O Jātavedas, go to the gods, for you were the first to become the Hotṛ. O Agni, by the body of ghee, may the desires of the sacrificer be fulfilled. Svāhā." He offers the omentuṃ with this verse.
2.4.6	"Svāhā svāhā" is the offering of the omentum.
2.4.7	He offers the Sthalipaka oblation, having the same deity as the animal.
2.4.8	The two portions of clarified butter are offered.
2.4.9	The Svishtakrit is not mentioned.
2.4.10	Having offered the oblations named Pasubandhika, having performed the oblations of the essence of the Pasu, and having offered the directions with the remaining Vasahomas, he offers the directions with the Vasahomas, as in the case of the Vaji.
2.6.5	Having offered oblations to the victorious plants, those that come together again, may the Pitrs purify me. With four Anuvakas, they recite over the water and bathe the horses.
2.6.6	Adorning with garlands of fragrance, they circumambulate the divine assembly three times.
2.6.7	They cause joy.
2.6.8	They go to their respective places.
2.6.9	The cows and bulls are the Dakṣiṇā.
2.5.3	Having filled eight vessels with blood, one should offer them in the directions and intermediate directions with the eight Anuvākas beginning with "Salutations to you, O Rudra, the angry one."
2.5.4	One should not bring the animal from a village that is not inhabited.
2.5.5	One should bury the remaining skin on the ground.
2.5.6	Some say that the animals for the Pākayajña are made of wood.
2.6.1	Now we shall explain the Dhruvasva-kalpa.
2.6.2	On the full moon day of Ashvina.
2.6.3	The officiating priest, without any defect, bathed, pure, wearing fresh clothes,
2.7.1	On the full moon day of the month of Bhādrapada, having cooked a rice-cake in milk, he offers it with the following mantras: "O white one, do thou enter the waters, both east and west. These seven are the Varuni (waters) and all the subjects of the king. Svāhā! The white horse, the angry one, gives birth to the embryo. The bull, the one who causes growth, is in the Varuni (water). The people, moving together, are clothed in the Varuni. Thou art the one who shines over all. Svāhā to the white horse, the one who gives birth to the angry one!" "The serpent did not harm the white one in any way. Svāhā!" "May we be safe from the creatures of Prajapati. Svāhā!”
2.7.2	Having spread the garment on the spread out grass, having placed the stone in the water-vessel, having put the rice or barley, he sprinkles it with the two formulas, "Be thou soft, O Earth!" and "Be thou even!"
2.7.3	With the twig of the śamī tree, having leaves, he thrice sweeps towards the east, saying, "May the earth be soft." With two (verses) "May the earth, the sky, and heaven be soft." With three (verses) "Let there be homage to the serpents.
2.6.4	Having gone out before sunset, in a clean place in front of the village or to the north, under an ashvattha tree or a nyagrodha tree, or near a pond, having made a shape like a Veda altar, on a branch of a four-cornered tree, adorned with fragrant garlands and wreaths, with pots of water placed in the four directions, along with golden seeds, with cakes, scattered barley grains, auspicious fruits, and dice, having provided all fragrances, all tastes, all herbs, and all gems, having carried the fire, having arranged the kindling of any one of the following - ashvattha, palasha, khadira, rohitaka, or udumbara, he offers oblations to three principal deities - Ucchaishrava, Varuna, and Vishnu, with cooked rice in a pot, animals, and the Ashvins and the Ashvins, with ghee.
2.7.4	May the serpents be quiet in their own abodes, those who are in the sky and those who are in heaven. We descend to this earth, peaceful, constant, peaceful, tranquil, well-protected, the northern, the northern, equal, the act. Thus he places the foremost ones facing north.
2.6.5	Having offered oblations to the victorious plants, those that come together again, may the Pitrs purify me. With four Anuvakas, they recite over the water and bathe the horses.
2.6.6	Adorning with garlands of fragrance, they circumambulate the divine assembly three times.
2.6.7	They cause joy.
2.6.8	They go to their respective places.
2.6.9	The cows and bulls are the Dakṣiṇā.
2.7.5	The life-breath of the gods has come down long, the waters have gone forth, the light has gone forth, the sun has gone forth, we have come to the path of the sun, where the life-span is long. The youngest and the eldest are to be greeted.
2.7.6	On the Caitra day, the Uddrohaṇa (ceremony) is performed.
2.7.7	There is no cooking of rice in a pot, nor is it scraped with a twig.
2.7.8	This is the bed, the crossing-place of the Vasus, the bed of all, may we live long, all heroes, we are the Tamas. He recites this mantra over the bed.
2.7.9	There are three navel-days, on the Falgunī, Āṣāḍhī and Kārttikī.
2.7.10	One should not study on these days.
2.7.11	On these days, there is a rice-gruel cooked in milk. It has been explained.
2.8.1	There are the three Aṣṭakās.
2.7.1	On the full moon day of the month of Bhādrapada, having cooked a rice-cake in milk, he offers it with the following mantras: "O white one, do thou enter the waters, both east and west. These seven are the Varuni (waters) and all the subjects of the king. Svāhā! The white horse, the angry one, gives birth to the embryo. The bull, the one who causes growth, is in the Varuni (water). The people, moving together, are clothed in the Varuni. Thou art the one who shines over all. Svāhā to the white horse, the one who gives birth to the angry one!" "The serpent did not harm the white one in any way. Svāhā!" "May we be safe from the creatures of Prajapati. Svāhā!”
2.8.2-3	From the eighth day of the dark half of Āgrahāyaṇa to the eighth day of Phālguna, one should not study.
2.7.2	Having spread the garment on the spread out grass, having placed the stone in the water-vessel, having put the rice or barley, he sprinkles it with the two formulas, "Be thou soft, O Earth!" and "Be thou even!"
2.7.3	With the twig of the śamī tree, having leaves, he thrice sweeps towards the east, saying, "May the earth be soft." With two (verses) "May the earth, the sky, and heaven be soft." With three (verses) "Let there be homage to the serpents.
2.8.4	Having cooked the oblation of rice in milk, he offers it with the verse, "You are the goddess in the eight places, the most auspicious, the most auspicious. You are the most auspicious in the sacrifice. You are the auspicious one of Varuna. We offer this oblation to you. The pestle and the stone made a sound, preparing the oblation for the one-year-old calf. May we live long, having good offspring and good heroes, as recipients of your offerings. The people praise the night that comes like a milch cow. May the wife of the year be auspicious for us. Those who worship the night, the image of the year, may they have long life and offspring, united with prosperity." These are the four verses for the oblation of cooked rice.
2.7.4	May the serpents be quiet in their own abodes, those who are in the sky and those who are in heaven. We descend to this earth, peaceful, constant, peaceful, tranquil, well-protected, the northern, the northern, equal, the act. Thus he places the foremost ones facing north.
2.8.5	"Oṃ, to Aṣṭakā, the bestower of nectar, svāhā." This is added at the end of all mantras.
2.7.5	The life-breath of the gods has come down long, the waters have gone forth, the light has gone forth, the sun has gone forth, we have come to the path of the sun, where the life-span is long. The youngest and the eldest are to be greeted.
2.7.6	On the Caitra day, the Uddrohaṇa (ceremony) is performed.
2.7.7	There is no cooking of rice in a pot, nor is it scraped with a twig.
2.7.8	This is the bed, the crossing-place of the Vasus, the bed of all, may we live long, all heroes, we are the Tamas. He recites this mantra over the bed.
2.7.9	There are three navel-days, on the Falgunī, Āṣāḍhī and Kārttikī.
2.7.10	One should not study on these days.
2.7.11	On these days, there is a rice-gruel cooked in milk. It has been explained.
2.8.1	There are the three Aṣṭakās.
2.8.2-3	From the eighth day of the dark half of Āgrahāyaṇa to the eighth day of Phālguna, one should not study.
