1.1.1	Now we shall describe the domestic rites.
2.4.15	The eighth day of the bright fortnight of the month of Śrāvaṇa is called Sauvīṣṭakṛt.
2.4.16	It is said that one should feed Brahmins on this day.
2.5.1	The next day is called Anvaṣṭaka.
2.4.7	Then on the next day, the Aṣṭaka rites are performed with an animal and a cooked meal of rice.
2.4.8	One should bring fodder for the cow.
2.4.9	One should fast in the fire-place.
2.4.10	This is my Aṣṭaka rite."
2.4.11	But one should not be without the Aṣṭakā rite.
2.4.12	Some call it the goddess of the universe, some the goddess of Agni, some the goddess Surya, some the goddess Prajapati, some the goddess Night, some the goddess Stars, some the goddess Season, some the goddess Fathers, some the goddess Animals.
2.5.2	Having set up the fire on the southern side of the sacrificial ground, having surrounded it on the northern side, having made the door towards the north, having spread the sacrificial grass along with the roots three times towards the left, having placed the oblations - cooked rice, gruel, pudding, curds and honey -
2.5.3	according to the rules of the Piṇḍapitṛyajña.
2.4.13	Having consecrated the animal according to the animal rite, and having removed the Vapa (the animal) without sprinkling and covering, he should offer it with the verse, "O Jatavedas, do thou offer the Vapa to the Pitrs, where thou knowest them to be deposited far away. May the streams of fat flow towards them. May all these blessings be true. Svāhā."
2.5.4	Having offered oblations, he should give to the ancestors, except for honey and liquor.
2.5.5	"And to women, wine and water for rinsing the mouth." This is an addition.
2.5.6	In the Kārṣīkāraṇas, some say in one, others in two, or in six.
2.5.7	In the earlier ones, one should give to the fathers.
2.5.8	In the later ones, to women.
2.5.9	By this, the year of Māgha and the latter half of Pratipad.
2.5.10	and thus every month he should establish the ancestors in the unyoked (state).
2.5.11	He should feed nine (persons) who are inferior.
2.5.12	Or those who are unyoked.
2.5.13	Those who are yoked in the months of increase.
2.5.14	Those who have not been yoked in the other months.
2.5.15	The offering is made clockwise, and the barley is for the sake of sesamum.
2.6.1	Mounting the chariot, he should touch with both hands. "I mount your forefeet, O Brihadratha and Ratha."
2.6.2	"Vamadevya and Aksah" at the consecration of dice.
2.6.3	One should mount with the right and left feet, saying, "O Vayu, I mount you with your strength, with Indra's energy and lordship."
2.4.14	Therefore, for the oblations and the Sthalipaka, lead us to the path of the gods. The seasons of summer and autumn are auspicious. May the rains be auspicious and free from fear. The year is the lord, the giver of life. May the day and night grant us long life. Svāhā. May the earth be peaceful, the sky auspicious. May the sky be free from fear. May the directions, the intermediate directions, and the upper directions be auspicious. May the waters and lightning protect us from all sides. Svāhā! May the waters and rays carry us. May the creator remove evil. May the past and future be free from fear for all beings. May Brahma be protected, with the right syllables. Svāhā ! May the All-gods, the Adityas, Vasus, and the Maruts, the protectors, be present. May the creator, nourishing the living beings, the nectar, and the supreme Prajapati, bestow on me. Svāhā !" Prajapati, none other than you.
2.4.15	The eighth day of the bright fortnight of the month of Śrāvaṇa is called Sauvīṣṭakṛt.
2.4.16	It is said that one should feed Brahmins on this day.
2.5.1	The next day is called Anvaṣṭaka.
2.6.7	"May your cows be firm. May the protector of the cows be firm." Thus one should touch the chariot.
2.6.8	"May the earth and heaven be well-measured, without grief." Thus one should board the boat.
2.6.9	Having circumambulated the famous tree or pond, one should collect branches with fruits.
2.6.10	Or any other household item.
2.6.11	One should approach the assembly.
2.5.2	Having set up the fire on the southern side of the sacrificial ground, having surrounded it on the northern side, having made the door towards the north, having spread the sacrificial grass along with the roots three times towards the left, having placed the oblations - cooked rice, gruel, pudding, curds and honey -
2.5.3	according to the rules of the Piṇḍapitṛyajña.
2.6.12	"May you make us the best." Having recited this, he should descend while gazing at the sun.
2.6.13	"May I be like the bull among my equals." While advancing.
2.6.14	"Today we are the most fortunate of Indra." When the sun sets.
2.6.15	"Those daughters of heaven shine forth." When the sun rises.
2.7.1	Now, the examination of the foundation.
2.7.2	The ground should not be uneven or disputed.
2.5.4	Having offered oblations, he should give to the ancestors, except for honey and liquor.
2.5.5	"And to women, wine and water for rinsing the mouth." This is an addition.
2.5.6	In the Kārṣīkāraṇas, some say in one, others in two, or in six.
2.5.7	In the earlier ones, one should give to the fathers.
2.5.8	In the later ones, to women.
2.5.9	By this, the year of Māgha and the latter half of Pratipad.
2.7.3	Like the herbs and trees.
2.7.4	Where there is plenty of Kuśa grass and Veṇu grass.
2.7.5	But the thorns and milky plants should be removed from the roots and thrown outside.
2.7.6	These are the Apāmārga, Śāka, Tilvaka, and Parivyādha.
2.7.7	Where all the waters converge in the middle, flowing clockwise around the bed, and flowing eastwards without flowing back, that place is very prosperous.
2.5.10	and thus every month he should establish the ancestors in the unyoked (state).
2.5.11	He should feed nine (persons) who are inferior.
2.5.12	Or those who are unyoked.
2.5.13	Those who are yoked in the months of increase.
2.5.14	Those who have not been yoked in the other months.
2.5.15	The offering is made clockwise, and the barley is for the sake of sesamum.
2.7.8	He should make the house of the devotee of Bhaga.
2.7.9	It becomes very prosperous.
2.7.10	One should build a hall sloping towards the south. It becomes auspicious.
2.7.11	The young gamblers, quarrelsome and reckless, become so.
2.7.12	Where water flows everywhere, it is auspicious and conducive to gambling.
2.8.1	Now one should examine the site with these (verses).
2.6.1	Mounting the chariot, he should touch with both hands. "I mount your forefeet, O Brihadratha and Ratha."
2.6.2	"Vamadevya and Aksah" at the consecration of dice.
2.6.3	One should mount with the right and left feet, saying, "O Vayu, I mount you with your strength, with Indra's energy and lordship."
2.6.4	He should touch the rays or the non-rays with a stick, saying, "I seize the brilliance of Brahman with truth."
2.6.5	When the sun is rising, one should recite, "May the horse with a thousand powers advance, O god, may the chariot advance. O tree, be firm, for you are the body of the forest."
2.6.6	With this, one should also do other tree-related activities.
2.8.2-8	Having dug a pit up to the knee, one should fill it back with the same sand. In excess, it is praised; in equality, it is allowed; in deficiency, it is condemned. When the sun has set, one should keep it filled with water. In water, it is praised, in moisture, it is allowed, in dryness, it is condemned.
2.6.7	"May your cows be firm. May the protector of the cows be firm." Thus one should touch the chariot.
2.6.8	"May the earth and heaven be well-measured, without grief." Thus one should board the boat.
2.6.9	Having circumambulated the famous tree or pond, one should collect branches with fruits.
2.6.10	Or any other household item.
2.6.11	One should approach the assembly.
2.8.9	Having made it a thousand cubits, one should measure it as a square with equal sides.
2.8.10	Or a long square.
2.8.11	One should sprinkle it while going around it clockwise three times with a branch of the śamī tree or a branch of the udumbara tree, or with the Śāntatīya (mantra).
2.8.12	And with a continuous stream of water, reciting the three times, "O waters, you are the source of nourishment."
2.8.13	One should make shelters in the bamboo groves.
2.6.12	"May you make us the best." Having recited this, he should descend while gazing at the sun.
2.6.13	"May I be like the bull among my equals." While advancing.
2.6.14	"Today we are the most fortunate of Indra." When the sun sets.
2.6.15	"Those daughters of heaven shine forth." When the sun rises.
2.7.1	Now, the examination of the foundation.
2.7.2	The ground should not be uneven or disputed.
2.8.14	In the pits, he should place the Avaka and the Shipala grass, knowing that it will not be burnt.
2.8.15	Having placed the grass with its tip towards the east and its root towards the north in the pit of the middle pillar, he should sprinkle the barley and wheat seeds with the mantra, "For the unfallen one, for the one on the ground, svāhā."
2.8.16	Then when she is being hung up, he should recite the following verse: "Here only stay, O Tīlvalā, standing in the middle of the nourishment, may the evil-doers not reach you. May the young boy, the calf, be born with you. May the pot with the water, the pot of curd, come to you."
2.9.1	When the bamboo is being fixed up,
2.7.3	Like the herbs and trees.
2.7.4	Where there is plenty of Kuśa grass and Veṇu grass.
2.7.5	But the thorns and milky plants should be removed from the roots and thrown outside.
2.7.6	These are the Apāmārga, Śāka, Tilvaka, and Parivyādha.
2.7.7	Where all the waters converge in the middle, flowing clockwise around the bed, and flowing eastwards without flowing back, that place is very prosperous.
2.9.2	"O Ritu, mount the pillar, giving long life, the means of crossing."
2.9.3	And on all four stones, he should establish a gem, saying, "May it arise above the earth."
2.9.4	"O Rangara, indeed, is bound in three ways, with three excellent bonds. He praises the earth, and may he remove the non-earth."
2.7.8	He should make the house of the devotee of Bhaga.
2.7.9	It becomes very prosperous.
2.7.10	One should build a hall sloping towards the south. It becomes auspicious.
2.7.11	The young gamblers, quarrelsome and reckless, become so.
2.7.12	Where water flows everywhere, it is auspicious and conducive to gambling.
2.8.1	Now one should examine the site with these (verses).
2.8.2-8	Having dug a pit up to the knee, one should fill it back with the same sand. In excess, it is praised; in equality, it is allowed; in deficiency, it is condemned. When the sun has set, one should keep it filled with water. In water, it is praised, in moisture, it is allowed, in dryness, it is condemned.
2.9.5	Then he sprinkles it with this (verse): "May the king Varuna come with the Revați-s, may he stand in this place, rejoicing. Carrying the earth, pouring out ghee, may he sit together with Mitra."
2.9.6	Then he pacifies it.
2.9.7	Having placed gold in water mixed with barley and wheat, he sprinkles it three times, turning to the right, with the verse, "May the gods, the Maruts, the great ones, the destroyers of enemies, the destroyers of foes, the destroyers of the wicked, the destroyers of those who hate us, the destroyers of our enemies, the destroyers, the destroyers of all enemies, the destroyers who destroy all enemies, the gods who destroy all enemies,
2.8.9	Having made it a thousand cubits, one should measure it as a square with equal sides.
2.8.10	Or a long square.
2.8.11	One should sprinkle it while going around it clockwise three times with a branch of the śamī tree or a branch of the udumbara tree, or with the Śāntatīya (mantra).
2.8.12	And with a continuous stream of water, reciting the three times, "O waters, you are the source of nourishment."
2.8.13	One should make shelters in the bamboo groves.
2.9.8	And with an uninterrupted stream of water, reciting "O waters, ye are the source of nourishment."
2.9.9	In the middle of the house, having cooked a meal of rice and beans, and having offered oblations with the four verses beginning with "O Vastospati, accept us," and having sanctified the food and fed the Brahmanas, he should recite "May the house be auspicious, may the house be auspicious."
2.10.1	The consecration of the house has been described.
2.8.14	In the pits, he should place the Avaka and the Shipala grass, knowing that it will not be burnt.
2.8.15	Having placed the grass with its tip towards the east and its root towards the north in the pit of the middle pillar, he should sprinkle the barley and wheat seeds with the mantra, "For the unfallen one, for the one on the ground, svāhā."
2.8.16	Then when she is being hung up, he should recite the following verse: "Here only stay, O Tīlvalā, standing in the middle of the nourishment, may the evil-doers not reach you. May the young boy, the calf, be born with you. May the pot with the water, the pot of curd, come to you."
2.9.1	When the bamboo is being fixed up,
2.9.2	"O Ritu, mount the pillar, giving long life, the means of crossing."
2.9.3	And on all four stones, he should establish a gem, saying, "May it arise above the earth."
2.9.4	"O Rangara, indeed, is bound in three ways, with three excellent bonds. He praises the earth, and may he remove the non-earth."
2.10.6	May the cows whose udders have four nipples, filled with honey and ghee, be ours. May there be many milch cows in the cowpen, rich in ghee. May the cows come to the cowpen, bearing strength and vigour, giving inexhaustible milk. May they settle in my cowpen, so that I may be the best. The verse "Those who send forth their form among the gods" is the remainder of the hymn.
2.10.7	Some say that it is the Āgāvyīya.
2.10.8	May we be near the cows of the gods, may we be near the gods. May the beings be praised, may they be auspicious, may they be dear. May I be dear to you. Know that I am well, know that I am well.
3.1.1	Now, therefore, the five sacrifices.
3.1.2	The sacrifice to the gods, the sacrifice to the beings, the sacrifice to ancestors, the sacrifice to Brahman, the sacrifice to humans.
3.1.3	The sacrifice to the gods is what one offers in the fire; the sacrifice to the spirits is what one offers as oblation; the sacrifice to one's ancestors is what one gives to them; the sacrifice to Brahman is what one recites as a student; the sacrifice to men is what one gives them.
3.1.4	One should perform these sacrifices daily.
3.2.1	Now the rules for recitation.
2.9.5	Then he sprinkles it with this (verse): "May the king Varuna come with the Revați-s, may he stand in this place, rejoicing. Carrying the earth, pouring out ghee, may he sit together with Mitra."
2.9.6	Then he pacifies it.
2.9.7	Having placed gold in water mixed with barley and wheat, he sprinkles it three times, turning to the right, with the verse, "May the gods, the Maruts, the great ones, the destroyers of enemies, the destroyers of foes, the destroyers of the wicked, the destroyers of those who hate us, the destroyers of our enemies, the destroyers, the destroyers of all enemies, the destroyers who destroy all enemies, the gods who destroy all enemies,
3.2.2	Having gone out of the village towards the east or north, having bathed in water, having sipped water in a clean place, wearing the sacred thread, having spread a large quantity of Darbha grass, having sat facing east on them, having placed the buttocks, having joined the right and left hands, having known that they are sacred, having looked at the junction of heaven and earth, having closed the eyes, one should study the Veda as much as one thinks one's self to be fit.
2.9.8	And with an uninterrupted stream of water, reciting "O waters, ye are the source of nourishment."
2.9.9	In the middle of the house, having cooked a meal of rice and beans, and having offered oblations with the four verses beginning with "O Vastospati, accept us," and having sanctified the food and fed the Brahmanas, he should recite "May the house be auspicious, may the house be auspicious."
2.10.1	The consecration of the house has been described.
3.2.3	The Vyāhṛtis begin with Om.
3.2.4	He recites the Savitri verse, then the remaining half-verses in order, and then the entire verse. This is the third.
3.3.1	Then he should study his own Veda, the Rg verses, the Yajus formulas, the Atharva-Angirasa Brahmanas, the Kalpas, the Gathas, the Narashansi hymns, the Itihasa and Puranas.
2.10.2	He should go to the houses of those who have seeds.
2.10.3	He should cultivate the field with the northern Pratiṣṭhā, Phālguni, and Rohini stars.
2.10.4	He should offer or recite the verse "We are the lords of the field" in the direction of the wind of the field.
2.10.5	When the cows are standing still, he should recite the two verses "May the wind blow for us" and "May the wind be favorable to us".
3.3.2	When he recites the Ṛg verses, he satisfies the deities with oblations of milk; when he recites the Yajus verses, with oblations of ghee; when he recitates the Sāman verses, with oblatioons of honey; when he recitaes the Atharva-Angirasa verses, with obla tions of Soma; when he recitas the Brahmanas, the Kalpas, the Gāthās, the Nārāshṁsīs, the Itihasas and the Purāṇas, with oblations in the form of nectar.
2.10.6	May the cows whose udders have four nipples, filled with honey and ghee, be ours. May there be many milch cows in the cowpen, rich in ghee. May the cows come to the cowpen, bearing strength and vigour, giving inexhaustible milk. May they settle in my cowpen, so that I may be the best. The verse "Those who send forth their form among the gods" is the remainder of the hymn.
3.3.3	The streams of milk flow to his ancestors, the streams of ghee to the Yajus mantras, the streams of honey to the Sama mantras, the Atharva-Angirasa mantras to the streams of Soma, the Brahmanas, the Kalpas, the Gathas, the Narashanasa and the Itihasa-Puranas to the streams of nectar.
2.10.7	Some say that it is the Āgāvyīya.
2.10.8	May we be near the cows of the gods, may we be near the gods. May the beings be praised, may they be auspicious, may they be dear. May I be dear to you. Know that I am well, know that I am well.
3.1.1	Now, therefore, the five sacrifices.
3.1.2	The sacrifice to the gods, the sacrifice to the beings, the sacrifice to ancestors, the sacrifice to Brahman, the sacrifice to humans.
3.3.4	He recites it as much as he thinks fit. Having recited it, he dedicates it thus: "Salutations to Brahma, salutations to Agni, salutations to the earth, salutations to plants, salutations to speech, salutations to Vācaspati, salutations to great Vishnu, I offer."
3.1.3	The sacrifice to the gods is what one offers in the fire; the sacrifice to the spirits is what one offers as oblation; the sacrifice to one's ancestors is what one gives to them; the sacrifice to Brahman is what one recites as a student; the sacrifice to men is what one gives them.
3.1.4	One should perform these sacrifices daily.
3.2.1	Now the rules for recitation.
3.4.1	The gods, Prajapati, Brahma, the Vedas, the sages, all the metres, Om, Vashat, the Vyahrtis, Savitri, the sacrifices, heaven and earth, space, day and night, the sciences, the Siddhas, the oceans, rivers, mountains, fields, herbs, trees, Gandharvas, Apsaras, Nagas, birds, cows, Sadhyas, Brahmanas, Yakshas, Rakshasas, and all beings are thus included.
3.2.2	Having gone out of the village towards the east or north, having bathed in water, having sipped water in a clean place, wearing the sacred thread, having spread a large quantity of Darbha grass, having sat facing east on them, having placed the buttocks, having joined the right and left hands, having known that they are sacred, having looked at the junction of heaven and earth, having closed the eyes, one should study the Veda as much as one thinks one's self to be fit.
3.4.2	Then the sages, the hundred-sages, the Madhyamas, Gritsamada, Visvamitra, Vamadeva, Atri, Bharadvaja, Vasishtha, the Pragathas, the Pavamanas, the small hymns, the great hymns.
3.4.3	One who faces the east.
3.2.3	The Vyāhṛtis begin with Om.
3.2.4	He recites the Savitri verse, then the remaining half-verses in order, and then the entire verse. This is the third.
3.3.1	Then he should study his own Veda, the Rg verses, the Yajus formulas, the Atharva-Angirasa Brahmanas, the Kalpas, the Gathas, the Narashansi hymns, the Itihasa and Puranas.
3.4.4	The teachers of the Dharma, Sumantu, Jaimini, Vaishāmpāyana, Paila, and the author of the Mahabharata, know this. The teachers of the Veda, Bāhvī, Garga, Gautama, Śākalya, Bābhravyā, Māṇḍavya, Māṇḍūkeya, Gārgyavācaknavi, Vaddavā Prātīthīyī, Sulabhā Maitreyī, Kahola, Kauṣītaka, Mahākauṣītaka, Paiṅgya, Mahāpaiṅgya, Suyajña, Śāṅkhāyana, Aitareya, Mahāitareya, Śākala, Bāṣkala, Sujātāvaktra, Audāvahi, Mahāudāvahi, Saujāmī, Śaunaka, Āśvalāyana, and all the other teachers, may they all be satisfied.
3.3.2	When he recites the Ṛg verses, he satisfies the deities with oblations of milk; when he recites the Yajus verses, with oblations of ghee; when he recitates the Sāman verses, with oblatioons of honey; when he recitaes the Atharva-Angirasa verses, with obla tions of Soma; when he recitas the Brahmanas, the Kalpas, the Gāthās, the Nārāshṁsīs, the Itihasas and the Purāṇas, with oblations in the form of nectar.
3.4.5	Having offered libations to the manes of each person, and having returned home, whatever he gives is the Dakṣiṇā.
3.4.6	Now, it is also known that if he stands, walks, sits, or lies down, and studies any sacrifice, then he is offered with that very sacrifice.
3.4.7	It is known that he has two faults: his own impurity and the place.
3.3.3	The streams of milk flow to his ancestors, the streams of ghee to the Yajus mantras, the streams of honey to the Sama mantras, the Atharva-Angirasa mantras to the streams of Soma, the Brahmanas, the Kalpas, the Gathas, the Narashanasa and the Itihasa-Puranas to the streams of nectar.
3.3.4	He recites it as much as he thinks fit. Having recited it, he dedicates it thus: "Salutations to Brahma, salutations to Agni, salutations to the earth, salutations to plants, salutations to speech, salutations to Vācaspati, salutations to great Vishnu, I offer."
3.5.1	Now, then, the beginning of the chapter.
3.5.2	By hearing the appearance of the plants, of Sravan.
3.5.3	On the fifth day, with Hasta.
3.5.4	Having offered the Ajya shares, one should offer oblations of ghee to Savitri, Brahma, Sraddha, Medha, Prajna, Dhara, Sadasi-pati, Anumati, the Chanda-s, and the Rishis.
3.5.5	Then he offers curds and barley-grains.
3.5.6	"He recites the verse, "I praise Agni, the priest." (He recites) one verse.
3.4.1	The gods, Prajapati, Brahma, the Vedas, the sages, all the metres, Om, Vashat, the Vyahrtis, Savitri, the sacrifices, heaven and earth, space, day and night, the sciences, the Siddhas, the oceans, rivers, mountains, fields, herbs, trees, Gandharvas, Apsaras, Nagas, birds, cows, Sadhyas, Brahmanas, Yakshas, Rakshasas, and all beings are thus included.
3.4.2	Then the sages, the hundred-sages, the Madhyamas, Gritsamada, Visvamitra, Vamadeva, Atri, Bharadvaja, Vasishtha, the Pragathas, the Pavamanas, the small hymns, the great hymns.
3.4.3	One who faces the east.
3.5.7	Kusumbaka said this: "O bird, speak well to me. Singing, you go to the abode of Jamadagni, your entire world is established. The one who is worthy of sacrifice, the peaceful one, who is ours, tell us, O Agni, go with the Maruts, O King, the offered oblation is ready." These are two verses.
3.5.8	The single verse, "The same is the counsel of all"
3.5.9	The single verse, "We have chosen the two of them"
3.5.10	Having been requested to teach, having been engaged by those who are to be taught, having offered to these deities, having offered to Savitar, having eaten curds and barley-meal, then one should cleanse.
3.4.4	The teachers of the Dharma, Sumantu, Jaimini, Vaishāmpāyana, Paila, and the author of the Mahabharata, know this. The teachers of the Veda, Bāhvī, Garga, Gautama, Śākalya, Bābhravyā, Māṇḍavya, Māṇḍūkeya, Gārgyavācaknavi, Vaddavā Prātīthīyī, Sulabhā Maitreyī, Kahola, Kauṣītaka, Mahākauṣītaka, Paiṅgya, Mahāpaiṅgya, Suyajña, Śāṅkhāyana, Aitareya, Mahāitareya, Śākala, Bāṣkala, Sujātāvaktra, Audāvahi, Mahāudāvahi, Saujāmī, Śaunaka, Āśvalāyana, and all the other teachers, may they all be satisfied.
3.5.11	Having sat down on the east side of the fire on the darbha grass with the tips towards the east, having placed the darbha grass in the water vessel, the Brahmaṇācārin should recite with folded palms.
3.5.12	Om, the initial Vyāhrtis and Savitri thrice, then begin with the Veda.
3.5.13	Similarly at the beginning of the day.
3.5.14	One should study for six months.
3.5.15	Having completed the study, one should follow the rules of a Brahmacarin.
3.5.16	The others should follow the rules as prescribed.
3.4.5	Having offered libations to the manes of each person, and having returned home, whatever he gives is the Dakṣiṇā.
3.4.6	Now, it is also known that if he stands, walks, sits, or lies down, and studies any sacrifice, then he is offered with that very sacrifice.
3.4.7	It is known that he has two faults: his own impurity and the place.
3.5.17	Some say that it is to be offered to the father.
3.5.18	It is Prajapati.
3.5.19	This is called Varshara.
3.5.20	Having offered food to these deities on the eighth day of the bright fortnight, they enter the water.
3.5.21	They propitiate these very deities.
3.5.22	The teachers, the sages, and the ancestors.
3.5.23	This is the release.
3.5.1	Now, then, the beginning of the chapter.
3.5.2	By hearing the appearance of the plants, of Sravan.
3.5.3	On the fifth day, with Hasta.
3.5.4	Having offered the Ajya shares, one should offer oblations of ghee to Savitri, Brahma, Sraddha, Medha, Prajna, Dhara, Sadasi-pati, Anumati, the Chanda-s, and the Rishis.
3.5.5	Then he offers curds and barley-grains.
3.5.6	"He recites the verse, "I praise Agni, the priest." (He recites) one verse.
3.6.5	Having seen an inauspicious dream, one should recite the following two verses to the sun: "O god Savitar, today, whatever inauspicious dream I have seen among cows." One should recite these five verses to the sun.
3.6.6	"O king, my friend, or whatever is mine."
3.6.7	Having sneezed, yawned, seen an inauspicious thing, smelled an evil smell, and having blinked and heard a sound in the ears, one should recite, "May I be with good eyes and good radiance through my eyes, with good hearing through my mouth, and with good ears through my ears. May the skillful rites be in me."
3.5.7	Kusumbaka said this: "O bird, speak well to me. Singing, you go to the abode of Jamadagni, your entire world is established. The one who is worthy of sacrifice, the peaceful one, who is ours, tell us, O Agni, go with the Maruts, O King, the offered oblation is ready." These are two verses.
3.6.8	Having gone to a place not fit to go to, having performed a sacrifice not fit to be performed, having eaten food not fit to be eaten, having accepted a gift not fit to be accepted, having destroyed the Caitya and the sacrificial post, may I again come to be Indra, may I again be life, may I again have prosperity, may I again possess wealth, may I again become a Brahman, may I again belong to myself, svāhā. These Agni-sticks, which are the supports, may they be arranged here in their proper places. May Vaisvānara, the all-pervading, protect my mind, which is within the heart, the sign of immortality. May I offer oblations of ghee with this mantra.
3.5.8	The single verse, "The same is the counsel of all"
3.5.9	The single verse, "We have chosen the two of them"
3.5.10	Having been requested to teach, having been engaged by those who are to be taught, having offered to these deities, having offered to Savitar, having eaten curds and barley-meal, then one should cleanse.
3.6.9	Or on the sacrificial grass.
3.6.10	Or he should recite.
3.7.1	If the sun sets while he is sleeping and not ill, he should rise and stand facing the sun, reciting the five verses, "With the light of the sun, you overcome darkness."
3.5.11	Having sat down on the east side of the fire on the darbha grass with the tips towards the east, having placed the darbha grass in the water vessel, the Brahmaṇācārin should recite with folded palms.
3.5.12	Om, the initial Vyāhrtis and Savitri thrice, then begin with the Veda.
3.5.13	Similarly at the beginning of the day.
3.5.14	One should study for six months.
3.5.15	Having completed the study, one should follow the rules of a Brahmacarin.
3.5.16	The others should follow the rules as prescribed.
3.7.2	If he rises before the sun, he should be silent until he is tired of his work and then resume his work. The same applies to the other four duties.
3.7.3	One should perform the morning and evening twilight prayers while wearing the sacred thread, carrying water, and being silent.
3.7.4	In the evening, facing north and west, one should recite the Savitri verse in the eighth part of the day until the sun has set and the stars are visible.
3.7.5	The same applies to the morning.
3.5.17	Some say that it is to be offered to the father.
3.5.18	It is Prajapati.
3.5.19	This is called Varshara.
3.5.20	Having offered food to these deities on the eighth day of the bright fortnight, they enter the water.
3.5.21	They propitiate these very deities.
3.5.22	The teachers, the sages, and the ancestors.
3.5.23	This is the release.
3.7.6	Standing facing east, he should look at the mandala.
3.7.7	If a pigeon were to harm or enter the house, one should offer oblations or recite the following verse: "The gods say, 'Pigeon!' One should recite this verse."
3.7.8	"We follow you, O Lord of Paths," when one is about to engage in activities for the sake of the meaning.
3.7.9	"O Pusan, to the wise," when one is seeking to recover what has been lost, or when one is confused.
3.6.1	Now, for the desirous, there are oblations for the desirous.
3.6.2	One obtains those very desires.
3.6.3	Now, for one who is sick, afflicted, or seized by consumption, there is an oblation of cooked rice for six days.
3.6.4	"One releases you with oblation for life. Who is it?" with this.
3.6.5	Having seen an inauspicious dream, one should recite the following two verses to the sun: "O god Savitar, today, whatever inauspicious dream I have seen among cows." One should recite these five verses to the sun.
3.6.6	"O king, my friend, or whatever is mine."
3.7.10	"O Pūṣan, on the paths" (RV 10.97.1) - one who is about to undertake a great journey or a fearful journey.
3.8.1	One who is returning should prepare these things: a gem, earrings, a pair of garments, an umbrella, a pair of shoes, a staff, a garland, a foot-rubbing stone, an unguent, collyrium, a turban - for oneself and the teacher.
3.8.2	If one cannot find both, then only for the teacher.
3.6.7	Having sneezed, yawned, seen an inauspicious thing, smelled an evil smell, and having blinked and heard a sound in the ears, one should recite, "May I be with good eyes and good radiance through my eyes, with good hearing through my mouth, and with good ears through my ears. May the skillful rites be in me."
3.8.3	He should bring a twig from a tree fit for sacrifice in the direction of Aparajita.
3.8.4	One desiring food, one desiring prosperity, one desiring brilliance, one desiring brahminical splendour should bring a twig that is moist.
3.8.5	One desiring both should bring a twig of both kinds.
3.8.6	Having placed the twig above, having given a cow and food to Brahmins, one should perform the rite of giving a cow.
3.8.7	One should bend oneself towards the mantra.
3.8.8	with the Ekaklītaka.
3.8.9	Having bathed in cold and hot water, you should put on fresh clothes, saying, "You are the brilliance of the stone, protect my eyes." One should anoint the eyes.
3.8.10	"You are the brilliance, protect my ears." One should put on earrings.
3.6.8	Having gone to a place not fit to go to, having performed a sacrifice not fit to be performed, having eaten food not fit to be eaten, having accepted a gift not fit to be accepted, having destroyed the Caitya and the sacrificial post, may I again come to be Indra, may I again be life, may I again have prosperity, may I again possess wealth, may I again become a Brahman, may I again belong to myself, svāhā. These Agni-sticks, which are the supports, may they be arranged here in their proper places. May Vaisvānara, the all-pervading, protect my mind, which is within the heart, the sign of immortality. May I offer oblations of ghee with this mantra.
3.8.11	Having smeared the hands with unguent, the Brāhmaṇa should first smear his face.
3.8.12	The Kṣatriya should smear his arms.
3.8.13	The Vaiśya should smear his belly.
3.8.14	The woman should smear her private parts.
3.8.15	The Śūdra should smear his thighs.
3.8.16	He should put on a garland, saying, "May I be free from distress."
3.8.17	He should not put on a garland of flowers.
3.6.9	Or on the sacrificial grass.
3.6.10	Or he should recite.
3.7.1	If the sun sets while he is sleeping and not ill, he should rise and stand facing the sun, reciting the five verses, "With the light of the sun, you overcome darkness."
3.8.18	If they say "garland", he should say "flower-garland".
3.8.19	"You are the support of the gods, protect me from all sides." Having put on the sandals, he takes the umbrella, saying, "The sky is the cover."
3.8.20	"You are a bamboo, you are a forest product, protect me from everywhere." Taking the bamboo staff,
3.8.21	Having put on the neck a gem with the verse "For long life", having made a turban, and standing, one should place the sacrificial grass.
3.7.2	If he rises before the sun, he should be silent until he is tired of his work and then resume his work. The same applies to the other four duties.
3.7.3	One should perform the morning and evening twilight prayers while wearing the sacred thread, carrying water, and being silent.
3.7.4	In the evening, facing north and west, one should recite the Savitri verse in the eighth part of the day until the sun has set and the stars are visible.
3.7.5	The same applies to the morning.
3.7.6	Standing facing east, he should look at the mandala.
3.7.7	If a pigeon were to harm or enter the house, one should offer oblations or recite the following verse: "The gods say, 'Pigeon!' One should recite this verse."
3.7.8	"We follow you, O Lord of Paths," when one is about to engage in activities for the sake of the meaning.
3.7.9	"O Pusan, to the wise," when one is seeking to recover what has been lost, or when one is confused.
3.9.1	(The five) are remembered as censure, knowledge, faith, and wisdom. The fifth is truth.  What is desired, given, studied, done, heard, and undertaken, what is the vow of Agni with Indra, Prajapati, with the sages, with the sage-rulers, with the fathers, with the father-rulers, among humans, among human rulers, with space, with light, with radiance, with brightness, with the gods and humans, with Gandharvas and Apsarases, with the animals in the forest and in the village, whatever vow there is for me in myself, that is my vow of everything. This I am, O Agni, the vow of everything. Svāhā!
3.9.2	"O Agni, my radiance" - he should place the kindling woods reciting this verse.
3.9.3	He should stay on that night where they are going to honour him.
3.9.4	After the knowledge is imparted, the Guru should be invited with gifts. After permission is granted, he should take a bath.
3.9.5	These are his vows:
