1.1.1	Now, the rites of the domestic fire.
2.5.28	When called by the teacher, one should rise and listen.
2.5.29	If the teacher is lying down, one should rise. If the teacher is sitting, one should stand. If the teacher stands, one should walk forward. If the teacher walks forward, one should run.
2.5.42	Since it is said that those who desire to be initiated should perform the Vratya Stoma and then study the Vedas, they become eligible for transactions.
2.6.1	Having completed the Vedas, one should bathe.
2.6.2	Or, the Brahmacharya should be for forty-eight years.
2.6.3	Some say it should be twelve years.
2.6.4	With the permission of the Guru.
2.6.5	The Veda is the method, the object to be done, and the reasoning.
2.6.6	Some say the Veda has six branches.
2.6.7	Not just in the Kalpa alone.
2.5.30	Thus living, he is said to be a Snātaka.
2.5.31	There are three kinds of Snātakas: one who has completed his studies, one who has completed the Vrata, and one who has completed both.
2.5.32	One who has completed the Veda but not the Vrata and returns is called a Vidyāsnātaka.
2.5.33-37	One who has completed the vow but not the Veda, and returns home, is called a Vratasnataka. One who has completed both is called a Vidya-Vratasnataka.
2.6.8	But if the sacrificer is a Yajnika, then (the procedure is as follows).
2.6.9	Having taken the teacher, having placed the kindling woods, having spread the Kuśa grass to the north of the one who is seated, having placed the eight pitchers in front with their mouths facing east, having placed the sacrificial grass and the sacrificial twigs, having placed the pot of clarified butter, having placed the vessel of water, having placed the wooden sword, having placed the ladle, having placed the spoon, having placed the two ladles, having placed the Sruva, having placed the Upabhṛt, having placed the Dhṛti, having placed the Anjali, having placed the Juhu, having placed the Upala, having placed the Pṛṣadājya, having placed the Ājyabhṛt, having taken the two ladles and the wooden sword, and having placed the two sacrificial ladles, having taken the sacrificial grass and having placed
2.5.38	From this point onwards, they are excluded from the Savitri-chanting.
2.5.39	They should not be initiated, taught, or officiated at sacrifices. They should not be dealt with.
2.5.40	If the time limit is exceeded, it is as prescribed.
2.5.41	The initiation and teaching of the offspring of those who have fallen from the Savitri chant for three generations is not allowed.
2.6.10	Those fires which have entered the waters, the hidden, the very hidden, the shining, the shining forth, the shining forth again, the shining forth most, the shining forth best, the shining forth highest, the shining forth supreme, the shining forth of the shining, the most shining, the shining most, the shining most of all, the shining forth from the shining, the very shining, the shining, I abandon them. The one who shines, I take him here. Having taken water from one place,
2.6.11	He anoints himself with it. With it, I anoint myself for prosperity, fame, Brahman, and radiance.
2.5.42	Since it is said that those who desire to be initiated should perform the Vratya Stoma and then study the Vedas, they become eligible for transactions.
2.6.1	Having completed the Vedas, one should bathe.
2.6.2	Or, the Brahmacharya should be for forty-eight years.
2.6.3	Some say it should be twelve years.
2.6.4	With the permission of the Guru.
2.6.5	The Veda is the method, the object to be done, and the reasoning.
2.6.6	Some say the Veda has six branches.
2.6.7	Not just in the Kalpa alone.
2.6.12	By whom they made prosperity, by whom they tasted the Soma, by whom they anointed the eyes, that fame of yours, O Asvins, is here.
2.6.13	And with the verse, "The waters are your seat."
2.6.14	With three verses silently, and with the others.
2.6.15	Having loosened the girdle with the verse, “The highest,” having placed the staff, having put on another garment, he stands facing the sun.
2.6.8	But if the sacrificer is a Yajnika, then (the procedure is as follows).
2.6.9	Having taken the teacher, having placed the kindling woods, having spread the Kuśa grass to the north of the one who is seated, having placed the eight pitchers in front with their mouths facing east, having placed the sacrificial grass and the sacrificial twigs, having placed the pot of clarified butter, having placed the vessel of water, having placed the wooden sword, having placed the ladle, having placed the spoon, having placed the two ladles, having placed the Sruva, having placed the Upabhṛt, having placed the Dhṛti, having placed the Anjali, having placed the Juhu, having placed the Upala, having placed the Pṛṣadājya, having placed the Ājyabhṛt, having taken the two ladles and the wooden sword, and having placed the two sacrificial ladles, having taken the sacrificial grass and having placed
2.6.16	Rising, shining, Indra, with the Maruts, he stands, he stands with the morning lights. Thou art the giver of ten, make me the giver of ten. Do not lead me astray. Rising, shining, with the Marut, Indra stands, he stands by the day lights. Thou art a hundred giver, make me a hundred giver. Do not lead us astray. Rising,shining, with the Maruta, Indra stands,he stands with the evening lights. Thou art thousand giver, make me thousand giver. Do notlead me astray.
2.6.17	Having eaten curd and sesamum, having removed the hair from the head and the nails, he should brush his teeth with a fig-tree twig. "Arrange yourselves for food. Soma, the king, is coming. He will wipe my mouth with fame and wealth."
2.6.18	Having cleansed, he again bathes and applies unguents to the nostrils and mouth, saying, "Satisfy my breath and out-breath, satisfy my sight, satisfy my hearing."
2.6.10	Those fires which have entered the waters, the hidden, the very hidden, the shining, the shining forth, the shining forth again, the shining forth most, the shining forth best, the shining forth highest, the shining forth supreme, the shining forth of the shining, the most shining, the shining most, the shining most of all, the shining forth from the shining, the very shining, the shining, I abandon them. The one who shines, I take him here. Having taken water from one place,
2.6.11	He anoints himself with it. With it, I anoint myself for prosperity, fame, Brahman, and radiance.
2.6.19	"The fathers purify you." The sprinkling of the hands is the fee. Having anointed the body, one should recite: "May I be well-sighted with my eyes, well-shining with my face, well-hearing with my ears."
2.6.12	By whom they made prosperity, by whom they tasted the Soma, by whom they anointed the eyes, that fame of yours, O Asvins, is here.
2.6.13	And with the verse, "The waters are your seat."
2.6.14	With three verses silently, and with the others.
2.6.15	Having loosened the girdle with the verse, “The highest,” having placed the staff, having put on another garment, he stands facing the sun.
2.6.20	He should cover himself with a new garment washed with cow-urine, saying, "May I have fame and long life. I am old and have lived for a hundred autumns. May I enjoy the prosperity of wealth."
2.6.21	Then the upper garment, saying, "By fame may heaven and earth, Indra and Brihaspati, and Bhaga, may they give me fame. May I attain fame."
2.6.22	If one were to cover the former with the latter group,
2.6.23	The Su-manas accept, those who bring the sacrificial thread, Jamadagni, for faith, for intelligence, for desire, for the senses, I accept them for fame and for fortune.
2.6.16	Rising, shining, Indra, with the Maruts, he stands, he stands with the morning lights. Thou art the giver of ten, make me the giver of ten. Do not lead me astray. Rising, shining, with the Marut, Indra stands, he stands by the day lights. Thou art a hundred giver, make me a hundred giver. Do not lead us astray. Rising,shining, with the Maruta, Indra stands,he stands with the evening lights. Thou art thousand giver, make me thousand giver. Do notlead me astray.
2.6.24	Then he binds (the turban) with the verse, "Whatever fame the Apsarases and Indra have created, extensive and great, with that I bind the well-disposed ones. May fame be mine."
2.6.25	He binds the head with the turban, saying, "The young one is well-dressed."
2.6.26	"You are an ornament, may there be more ornaments," (he says) while binding the ear-covers.
2.6.27	"Of Vritra," (he says), while anointing the eyes.
2.6.18	Having cleansed, he again bathes and applies unguents to the nostrils and mouth, saying, "Satisfy my breath and out-breath, satisfy my sight, satisfy my hearing."
2.6.28	"Thou art shining," he looks at himself in the mirror.
2.6.29	He receives the umbrella, saying, "Thou art the shade of Brihaspati; do thou cover me from sin, from brilliance, from fame."
2.6.30	He puts on the sandals, saying, "Stand ye firm, protect me from all sides."
2.6.31	He takes the staff of cane, saying, "Protect me from all evil spirits from all sides."
2.6.19	"The fathers purify you." The sprinkling of the hands is the fee. Having anointed the body, one should recite: "May I be well-sighted with my eyes, well-shining with my face, well-hearing with my ears."
2.6.20	He should cover himself with a new garment washed with cow-urine, saying, "May I have fame and long life. I am old and have lived for a hundred autumns. May I enjoy the prosperity of wealth."
2.6.21	Then the upper garment, saying, "By fame may heaven and earth, Indra and Brihaspati, and Bhaga, may they give me fame. May I attain fame."
2.6.32	The washing of teeth and other things are to be done daily. The cloth, umbrella and shoes are to be used only if they are new. If so, the mantra is to be recited.
2.7.1	We shall now describe the rules for one who has taken a bath.
2.7.2	One may do so at his own will.
2.7.3	One should not dance, sing or play musical instruments. One should not go to such places.
2.7.4	But one may sing at his own will, because it is heard that one enjoys singing or singing is enjoyable.
2.6.22	If one were to cover the former with the latter group,
2.6.23	The Su-manas accept, those who bring the sacrificial thread, Jamadagni, for faith, for intelligence, for desire, for the senses, I accept them for fame and for fortune.
2.7.5	At night, he should not go to another village, nor should he run.
2.7.6	He should not look at wells and ponds, climb trees, or fall from them, or crawl through openings, or bathe in open water, or cross uneven ground, or have a clammy face, or look at the sun at dusk or dawn. He should not beg after bathing, because it is said, "One who begs after bathing does not win."
2.6.24	Then he binds (the turban) with the verse, "Whatever fame the Apsarases and Indra have created, extensive and great, with that I bind the well-disposed ones. May fame be mine."
2.6.25	He binds the head with the turban, saying, "The young one is well-dressed."
2.6.26	"You are an ornament, may there be more ornaments," (he says) while binding the ear-covers.
2.6.27	"Of Vritra," (he says), while anointing the eyes.
2.7.7	One should go out in the rain without an umbrella, saying, "This thunderbolt of mine destroys evil."
2.7.8	One should not look at oneself in water.
2.7.9	One should not ridicule a woman who has not yet grown hair, a hermaphrodite, or a eunuch.
2.7.10	One should say to a pregnant woman, "You are going to have a child."
2.7.11	"Sakula" means "with a family."
2.7.12	"Bhagal" means "skull."
2.7.13	"Manidhanu" means "Indradhanu" (rainbow).
2.6.28	"Thou art shining," he looks at himself in the mirror.
2.6.29	He receives the umbrella, saying, "Thou art the shade of Brihaspati; do thou cover me from sin, from brilliance, from fame."
2.6.30	He puts on the sandals, saying, "Stand ye firm, protect me from all sides."
2.6.31	He takes the staff of cane, saying, "Protect me from all evil spirits from all sides."
2.7.14	One should not tell another person that one is milking a cow.
2.7.15	One should not urinate or defecate on the ground that is not covered with grass.
2.7.16	One should clean the anus with wood that has fallen by itself.
2.7.17	One should wear clothes that are not torn.
2.6.32	The washing of teeth and other things are to be done daily. The cloth, umbrella and shoes are to be used only if they are new. If so, the mantra is to be recited.
2.7.1	We shall now describe the rules for one who has taken a bath.
2.7.2	One may do so at his own will.
2.7.3	One should not dance, sing or play musical instruments. One should not go to such places.
2.7.4	But one may sing at his own will, because it is heard that one enjoys singing or singing is enjoyable.
2.7.18	One who is firm in his vows should protect himself from all sides, as if he were the friend of all, when he is about to be requested for a good deed.
2.8.1	One should observe the vow for three nights.
2.8.2	One should abstain from meat and drink only water.
2.8.3	One should not see women, shudras, corpses, black birds, or dogs, and should not speak with them.
2.8.4	One should also not eat the food of corpses, shudras or those who have given birth.
2.7.5	At night, he should not go to another village, nor should he run.
2.7.6	He should not look at wells and ponds, climb trees, or fall from them, or crawl through openings, or bathe in open water, or cross uneven ground, or have a clammy face, or look at the sun at dusk or dawn. He should not beg after bathing, because it is said, "One who begs after bathing does not win."
2.8.5	One should not urinate, defecate, or spit in the sun, nor should one hide oneself from the sun.
2.8.6	One should perform one's needs with hot water.
2.8.7	One should eat at night without lighting a lamp.
2.8.8	One should speak the truth.
2.8.9	Even one who is initiated should perform the rites of the sun and others if he has performed the Pravargya rite.
2.9.1	Now, the five great sacrifices.
2.9.2	Having sprinkled the food meant for the Viśvedevas, he should offer it with the Svāhā-utterance to Brahman, Prajāpati, the householders, Kaśyapa, Anumati.
2.9.3	To the Bhūta-householders, Maṇika, Parjanya, the waters, the earth.
2.9.4	To the two door-keepers, Dhātar and Vidhātṛ.
2.9.5	To Vāyu in each direction and to the directions.
2.7.7	One should go out in the rain without an umbrella, saying, "This thunderbolt of mine destroys evil."
2.7.8	One should not look at oneself in water.
2.7.9	One should not ridicule a woman who has not yet grown hair, a hermaphrodite, or a eunuch.
2.7.10	One should say to a pregnant woman, "You are going to have a child."
2.7.11	"Sakula" means "with a family."
2.7.12	"Bhagal" means "skull."
2.7.13	"Manidhanu" means "Indradhanu" (rainbow).
2.7.14	One should not tell another person that one is milking a cow.
2.7.15	One should not urinate or defecate on the ground that is not covered with grass.
2.7.16	One should clean the anus with wood that has fallen by itself.
2.7.17	One should wear clothes that are not torn.
2.9.6	In the middle, three for Brahma, for the atmosphere, for the sun.
2.9.7	For all the gods and for all the beings, north of them.
2.9.8	To Ushas, to the lord of beings, to the supreme.
2.9.9	To the fathers, to Svāhā, to Namah, to the south.
2.9.10	Having cleansed the vessel, one should place it in the northern and southern direction, saying, "This is for Yaksma."
2.9.11	Having taken the first portion, he should give it to the Brahmana who is the officiating priest, saying "Give it to him."
2.9.12	They should honor the beggars and guests according to their worth.
2.9.13	The children and elders should eat according to their worth in the house.
2.9.14	Afterwards, the householder and his wife.
2.7.18	One who is firm in his vows should protect himself from all sides, as if he were the friend of all, when he is about to be requested for a good deed.
2.8.1	One should observe the vow for three nights.
2.8.2	One should abstain from meat and drink only water.
2.8.3	One should not see women, shudras, corpses, black birds, or dogs, and should not speak with them.
2.8.4	One should also not eat the food of corpses, shudras or those who have given birth.
2.9.15	The householder who is the first to eat is the one who is the first in the house. This is because of the statement, "The householder who is the one who eats first should eat before the guests."
2.9.16	One should offer oblations every day, even if there is no food, with something like wood, to the gods, ancestors, and humans, from the vessel of water.
2.10.1	Now, then, the initiation of the chapter.
2.8.5	One should not urinate, defecate, or spit in the sun, nor should one hide oneself from the sun.
2.8.6	One should perform one's needs with hot water.
2.8.7	One should eat at night without lighting a lamp.
2.8.8	One should speak the truth.
2.8.9	Even one who is initiated should perform the rites of the sun and others if he has performed the Pravargya rite.
2.9.1	Now, the five great sacrifices.
2.10.2	At the time of the appearance of herbs, on the full moon day of Sravan, on the fifth day of Sravan or with Hasta, one should offer oblations of ghee.
2.10.3	One should offer oblations with ghee.
2.10.4	"In the Rig Veda, it is said, "To the fire of the earth."
2.10.5	In the Yajur Veda, it is "To the wind of the sky."
2.10.6	In the Sama Veda, it is 'To the sun of the sky.'
2.10.7	In the Atharva Veda, it is To the moon of the directions."
2.9.2	Having sprinkled the food meant for the Viśvedevas, he should offer it with the Svāhā-utterance to Brahman, Prajāpati, the householders, Kaśyapa, Anumati.
2.9.3	To the Bhūta-householders, Maṇika, Parjanya, the waters, the earth.
2.9.4	To the two door-keepers, Dhātar and Vidhātṛ.
2.9.5	To Vāyu in each direction and to the directions.
2.10.8	To Brahma, to the Vedas. Thus everywhere.
2.10.9	To Prajapati, to the gods, to the sages, to faith, to wisdom, to the lord of the true and false, to Anumati.
2.10.10	This is the same in the instructions and releases of vows.
2.10.11	The lord of the true is the lord of the false. Thus three times with unbroken grains.
2.10.12	All should recite together.
2.9.6	In the middle, three for Brahma, for the atmosphere, for the sun.
2.9.7	For all the gods and for all the beings, north of them.
2.9.8	To Ushas, to the lord of beings, to the supreme.
2.9.9	To the fathers, to Svāhā, to Namah, to the south.
2.9.10	Having cleansed the vessel, one should place it in the northern and southern direction, saying, "This is for Yaksma."
2.10.13	Having offered oblations, they should offer three oblations each of Udumbara wood, moist and with sprouts, smeared with ghee, with Savitri.
2.10.14	The Brahmachari should do as prescribed in the previous section.
2.10.15	They should eat the grains of unbroken rice, saying "May it be auspicious for us."
2.10.16	They should eat curd, saying "O Dahikravana."
2.9.11	Having taken the first portion, he should give it to the Brahmana who is the officiating priest, saying "Give it to him."
2.9.12	They should honor the beggars and guests according to their worth.
2.9.13	The children and elders should eat according to their worth in the house.
2.9.14	Afterwards, the householder and his wife.
2.10.17	He should offer as many sesame seeds as he wishes, using the ladle, with the Savitri mantra and the Sukra-jyoti verse.
2.10.18	At the end of the meal, while facing away from the seated students, he should recite the Savitri mantra three times and then teach the chapters.
2.10.19	The verses are from the mouth of the sages.
2.10.20	The verses of the Chandogas are from the junctions.
2.9.15	The householder who is the first to eat is the one who is the first in the house. This is because of the statement, "The householder who is the one who eats first should eat before the guests."
2.9.16	One should offer oblations every day, even if there is no food, with something like wood, to the gods, ancestors, and humans, from the vessel of water.
2.10.1	Now, then, the initiation of the chapter.
2.10.21	The hymns of the Atharva-veda.
2.10.22	All recite together, may it be with us, may it protect us, may this be with us, the power of Brahman, Indra knows that by which we do not hate each other.
2.10.23	They should not study for three nights.
2.10.24	Not to cut hair and nails.
2.10.25	Some before the beginning.
2.11.1	On the windless new-moon day, all study is prohibited.
2.10.2	At the time of the appearance of herbs, on the full moon day of Sravan, on the fifth day of Sravan or with Hasta, one should offer oblations of ghee.
2.10.3	One should offer oblations with ghee.
2.10.4	"In the Rig Veda, it is said, "To the fire of the earth."
2.10.5	In the Yajur Veda, it is "To the wind of the sky."
2.10.6	In the Sama Veda, it is 'To the sun of the sky.'
2.10.7	In the Atharva Veda, it is To the moon of the directions."
2.11.2	At the time of eating at a śrāddha, at the sight of comets, meteors, earthquakes, and fires, and at the junctions of seasons, out of season.
2.11.3	When clouds have been released, at the sight, of all forms, for three nights, or at the three junctions.
2.11.4	Having eaten with wet hands, at night, at the time of the junctions, in a village where there is a dead body, or in the daytime, on a day of fasting.
2.10.8	To Brahma, to the Vedas. Thus everywhere.
2.10.9	To Prajapati, to the gods, to the sages, to faith, to wisdom, to the lord of the true and false, to Anumati.
2.10.10	This is the same in the instructions and releases of vows.
2.10.11	The lord of the true is the lord of the false. Thus three times with unbroken grains.
2.10.12	All should recite together.
2.11.5	When running, when seeing a sinner or a fallen person, and when there are extraordinary events.
2.11.6	When there is a storm, the sound of musical instruments, the cry of distress, in a village, a cremation ground, the sounds of dogs, donkeys, owls, jackals, and sheep, and when there is the conduct of the virtuous.
2.11.7	When the preceptor dies, one should drink water for ten nights and abstain from it.
2.10.13	Having offered oblations, they should offer three oblations each of Udumbara wood, moist and with sprouts, smeared with ghee, with Savitri.
2.10.14	The Brahmachari should do as prescribed in the previous section.
2.10.15	They should eat the grains of unbroken rice, saying "May it be auspicious for us."
2.10.16	They should eat curd, saying "O Dahikravana."
2.11.8	For three nights, one should recite the Sāman Veda with the Brāhmaṇas.
2.11.9	For one night, one should recite it without the Brāhmaņas.
2.11.10	After studying for half of six months, they should be released.
2.11.11	Or for half of seven months.
2.11.12	Then they recite this verse: "The two sages, the young one, our Dharma has fallen away. We release the bonds of friendship from the one who is righteous in friendship."
2.10.17	He should offer as many sesame seeds as he wishes, using the ladle, with the Savitri mantra and the Sukra-jyoti verse.
2.10.18	At the end of the meal, while facing away from the seated students, he should recite the Savitri mantra three times and then teach the chapters.
2.10.19	The verses are from the mouth of the sages.
2.10.20	The verses of the Chandogas are from the junctions.
2.11.13	They should stay together for three nights and then depart.
2.12.1	On the Rohini asterism in the month of Pauṣa or on the eighth day of the bright fortnight, they should release the chapters.
2.12.2	Having gone to the bank of a river, they should offer libations to the gods, the Vedas, the sages, the ancient teachers, the Gandharvas, the other teachers, the ancestors along with Savara, the teachers, and themselves.
2.10.21	The hymns of the Atharva-veda.
2.10.22	All recite together, may it be with us, may it protect us, may this be with us, the power of Brahman, Indra knows that by which we do not hate each other.
2.10.23	They should not study for three nights.
2.10.24	Not to cut hair and nails.
2.10.25	Some before the beginning.
2.11.1	On the windless new-moon day, all study is prohibited.
2.12.3	Having recited the Savitri four times, they should say, "We have finished."
2.12.4	The recitation and instruction are as before.
2.13.1	On a meritorious day, the recitation of the Langala is done with the Jyestha Vidyadhara, Indra being the deity.
2.11.2	At the time of eating at a śrāddha, at the sight of comets, meteors, earthquakes, and fires, and at the junctions of seasons, out of season.
2.11.3	When clouds have been released, at the sight, of all forms, for three nights, or at the three junctions.
2.11.4	Having eaten with wet hands, at night, at the time of the junctions, in a village where there is a dead body, or in the daytime, on a day of fasting.
2.13.2	He should offer oblations to Indra, Parjanya, the Asvins, the Maruts, Udalaka, Kashyapa, Swatikaari, Sita, Anumati, with curds, rice, scents and unbroken grains, and should feed the oxen with honey and ghee.
2.13.3	He should plough with the words "Ploughing the furrows".
2.13.4	He should plough the field with the words "May there be good fruits". He should sharpen the ploughshare.
2.13.5	Because there is no injunction of Agni and because there is no connection with sowing.
2.11.5	When running, when seeing a sinner or a fallen person, and when there are extraordinary events.
2.11.6	When there is a storm, the sound of musical instruments, the cry of distress, in a village, a cremation ground, the sounds of dogs, donkeys, owls, jackals, and sheep, and when there is the conduct of the virtuous.
2.11.7	When the preceptor dies, one should drink water for ten nights and abstain from it.
2.13.6	Having consecrated the best (seed), they should sow it.
2.13.7	One should worship the deity of the Sthalipaka offering as before, when sowing both rice and barley, at the Sita sacrifice.
2.13.8	Then there is a meal for the Brahmins.
2.14.1	Now, then, the rite of listening.
2.14.2	On the full moon day of Sravanam.
2.11.8	For three nights, one should recite the Sāman Veda with the Brāhmaṇas.
2.11.9	For one night, one should recite it without the Brāhmaņas.
2.11.10	After studying for half of six months, they should be released.
2.11.11	Or for half of seven months.
2.11.12	Then they recite this verse: "The two sages, the young one, our Dharma has fallen away. We release the bonds of friendship from the one who is righteous in friendship."
2.14.3	Having cooked the oblation in a pot, and having made a cake on one potsherd of rice mixed with barley, and having ground the barley into flour, and having poured the portions of clarified butter, he offers oblations of clarified butter.
2.14.4	O white-footed one, destroy the seven Varuni goddesses and all the subjects along with the king and his relatives. Svāhā.
2.11.13	They should stay together for three nights and then depart.
2.12.1	On the Rohini asterism in the month of Pauṣa or on the eighth day of the bright fortnight, they should release the chapters.
2.12.2	Having gone to the bank of a river, they should offer libations to the gods, the Vedas, the sages, the ancient teachers, the Gandharvas, the other teachers, the ancestors along with Savara, the teachers, and themselves.
2.14.5	At the end of the rite, he offers to Śveta, saying, "Salutations to Śveta, the teacher, and to the serpent."
2.14.6	He offers to the cooked rice, saying, "To Viṣṇu, to Śravaṇa, to Śrāvaṇī, to the full moon, and to the rainy season."
2.14.7	He offers the Dhānas, saying, "Dhānas are endowed with nourishment."
2.14.8	He offers fried grains smeared with ghee to the serpents.
2.12.3	Having recited the Savitri four times, they should say, "We have finished."
2.12.4	The recitation and instruction are as before.
2.13.1	On a meritorious day, the recitation of the Langala is done with the Jyestha Vidyadhara, Indra being the deity.
2.14.9	To the lord of the serpents of the Agni, Pandu and Pārthiva families, svāhā. To the lord of serpents of the white Vāyu and Antarikṣa families, svāha. To the lord, the overlord, of the solar and divine serpents, svāhā."
2.14.10	"To the lord of the firm and stable serpents, svāha."
2.14.11	At the end of the meal, having placed a portion of the barley-grains in the winnowing basket, he goes out of the house, and having sprinkled the ground outside the house, and being silent, he moves the serpents.
2.13.2	He should offer oblations to Indra, Parjanya, the Asvins, the Maruts, Udalaka, Kashyapa, Swatikaari, Sita, Anumati, with curds, rice, scents and unbroken grains, and should feed the oxen with honey and ghee.
2.13.3	He should plough with the words "Ploughing the furrows".
2.13.4	He should plough the field with the words "May there be good fruits". He should sharpen the ploughshare.
2.13.5	Because there is no injunction of Agni and because there is no connection with sowing.
2.14.12	The lord of the serpents of the Agni, Pandu and Pāṇḍu kings, the lord of the serpents in the sky, the lord of serpents in the sky and space, the lord of all serpents, the lord of solar and divine serpents.
2.14.13	As the lord of serpents, he offers oblations of barley to the serpents.
2.13.6	Having consecrated the best (seed), they should sow it.
2.13.7	One should worship the deity of the Sthalipaka offering as before, when sowing both rice and barley, at the Sita sacrifice.
2.13.8	Then there is a meal for the Brahmins.
2.14.1	Now, then, the rite of listening.
2.14.2	On the full moon day of Sravanam.
2.14.14	This is your oblation, O lord of the serpents of the Agniya, Pandu and Pārthiva families. This is your oblations, O lord of serpents of the white Vāyu and Antarikṣa families. This is the oblation of the lord of serpents of Surya and Dīvya families.
2.14.15	He draws with the Kankata lines as before.
2.14.3	Having cooked the oblation in a pot, and having made a cake on one potsherd of rice mixed with barley, and having ground the barley into flour, and having poured the portions of clarified butter, he offers oblations of clarified butter.
2.14.4	O white-footed one, destroy the seven Varuni goddesses and all the subjects along with the king and his relatives. Svāhā.
2.14.16	"O lord of the white and Pāṇḍu serpents, write! O lord of the white serpents and the serpents of the sky, write! O Abhibhū, lord of the solar and celestial serpents, write!"
2.14.17	"Anoint yourself with unguents and garlands. Anoint yourself with unguent and garlands. Bind the garlands."
2.14.18	Having placed the remaining flour on the ground, and having brought it near with a vessel of water, he stands up reciting the three verses, "Salutations to the serpents."
2.14.19	He should sprinkle the house three times continuously with water, reciting the two verses, "O serpent, go away, leave this white-footed one."
2.14.5	At the end of the rite, he offers to Śveta, saying, "Salutations to Śveta, the teacher, and to the serpent."
2.14.6	He offers to the cooked rice, saying, "To Viṣṇu, to Śravaṇa, to Śrāvaṇī, to the full moon, and to the rainy season."
2.14.7	He offers the Dhānas, saying, "Dhānas are endowed with nourishment."
2.14.8	He offers fried grains smeared with ghee to the serpents.
2.14.9	To the lord of the serpents of the Agni, Pandu and Pārthiva families, svāhā. To the lord of serpents of the white Vāyu and Antarikṣa families, svāha. To the lord, the overlord, of the solar and divine serpents, svāhā."
2.14.10	"To the lord of the firm and stable serpents, svāha."
2.14.20	Having washed the winnowing basket and heated it, he gives it.
2.14.21	At the door, they sweep with the three verses, "O waters, do you stand here."
2.14.22	Having deposited this remaining flour in a concealed place, after attending to the fire at sunset, one should offer oblations of flour to serpents with the winnowing-basket. This should be done until the month of Agrahayana.
2.14.23	Those who are taking it should not go in between.
2.14.11	At the end of the meal, having placed a portion of the barley-grains in the winnowing basket, he goes out of the house, and having sprinkled the ground outside the house, and being silent, he moves the serpents.
2.14.24	Having sipped water with the Darbha grass, he puts it down.
2.14.25	The Dānas are eaten without being sewn together.
2.14.26	Then the Brahmins eat.
2.15.1	On the Pratipad day, there is a sacrifice to Indra.
2.14.12	The lord of the serpents of the Agni, Pandu and Pāṇḍu kings, the lord of the serpents in the sky, the lord of serpents in the sky and space, the lord of all serpents, the lord of solar and divine serpents.
2.14.13	As the lord of serpents, he offers oblations of barley to the serpents.
2.14.14	This is your oblation, O lord of the serpents of the Agniya, Pandu and Pārthiva families. This is your oblations, O lord of serpents of the white Vāyu and Antarikṣa families. This is the oblation of the lord of serpents of Surya and Dīvya families.
2.14.15	He draws with the Kankata lines as before.
2.15.2	Having cooked the Payas for Indra, and having made cakes, and having offered the portions of clarified butter, he offers oblations of clarified butter to Indra, to Indra and to Aditi, to the single step, to Ahi Budhnya, to the Maruts, to the Marut group, to the Maruta, to the Marutas, to the Marus, to the Marud, to the Maruds, to the Maruda, to the Marudas, to the Maruditi, to the Maruti, to the Marudis, to the Marudyuti, to the Prishthya Maruts, to Prishthya, to the Prishna Maruts, to Prshtya, to the Marutyas, to the Maruthas, to the Prathya Maruts, and to the Prathyas.
2.15.3	At the end of eating, he offers oblation to the Maruts. This is because of the statement "Maruts are not offered."
2.14.16	"O lord of the white and Pāṇḍu serpents, write! O lord of the white serpents and the serpents of the sky, write! O Abhibhū, lord of the solar and celestial serpents, write!"
2.14.17	"Anoint yourself with unguents and garlands. Anoint yourself with unguent and garlands. Bind the garlands."
2.15.4	Because of the statement "Maruts stood in the Ashvattha and Palasha trees",
2.15.5	"Sukra and Jyoti" is recited separately for each mantra.
2.15.6	And with a turned face.
2.15.7	With the mind.
2.15.8	Because of the statement "These are the names of others".
2.15.9	He recites "Indra is divine".
2.15.10	Then the Brahmins eat.
2.16.1	On the day of Ashvayuja, the Priyashtaka grains.
2.14.18	Having placed the remaining flour on the ground, and having brought it near with a vessel of water, he stands up reciting the three verses, "Salutations to the serpents."
2.14.19	He should sprinkle the house three times continuously with water, reciting the two verses, "O serpent, go away, leave this white-footed one."
2.16.2	Having cooked the Payasam for Indra, he offers it mixed with curds, honey and ghee, to Indra, to Indra and Indraani, to the Asvins, to the full moon of Ashvina and to the autumn.
2.16.3	At the end of eating, he offers a ladleful of curds and whey, saying, "May the deficient be filled, may the full not go away. Svāhā."
2.14.20	Having washed the winnowing basket and heated it, he gives it.
2.14.21	At the door, they sweep with the three verses, "O waters, do you stand here."
2.14.22	Having deposited this remaining flour in a concealed place, after attending to the fire at sunset, one should offer oblations of flour to serpents with the winnowing-basket. This should be done until the month of Agrahayana.
2.14.23	Those who are taking it should not go in between.
2.16.4	The Brahmanas, having mixed curds, honey and ghee, look at it with the Anuvaka "May Indra come".
2.16.5	Having united the calves with their mothers, they spend that night and the next day.
2.16.6	Then there is a meal for the Brahmanas.
2.17.1	Then there are the Sita sacrifices.
2.17.2	Wherever one wishes to perform the sacrifice of barley and rice, one should cook a pot full of them.
2.14.24	Having sipped water with the Darbha grass, he puts it down.
2.14.25	The Dānas are eaten without being sewn together.
2.14.26	Then the Brahmins eat.
2.15.1	On the Pratipad day, there is a sacrifice to Indra.
2.17.3	If one has sown seeds of sugarcane, etc., one should cook either rice or barley in a pot.
2.17.4	There is no doubt because of the previous injunction.
2.17.5	Because of impossibility, there is cessation.
2.17.6	In a clean place in front or behind the field, where the crops are not obstructed by the fruits.
2.17.7	Or in a village, because of the combination of both, there is no contradiction.
