1.1.1	We shall explain the Upanayana.
1.23.7	From now on, he offers on the Parvan days with the Agniyeṇa Sthālyapāka.
1.23.8	Every evening and morning, he offers these two oblations with barley or wheat with his hand, saying, "To Agni svāhā, to Prajapati svāhā."
1.23.9	Some recite the Sauri offering first in the morning.
1.24.6	Then he desires her with his mouth. O honey, this is honey. My tongue speaks honey. In my mouth is the essence of honey. The love-making of the gods and gandharvas is cited from the rivers. If the god Gandharva is united with her, then they are in love with each other.
1.24.7	For three nights, he performs the vows explained by the Brahmanas while wearing dirty clothes.
1.24.8	On the fourth day, she bathes, wears fresh clothes, adorns herself, and converses with Brahmins. After performing the ritual of sipping water, she invokes the following:
1.23.10	They should live for three nights eating food without salt and oil, lying down on the ground, adorned, and celibate.
1.23.11	In the fourth night, having kindled the fire, and having performed the expiation rites, one should offer nine expiatory oblations.
1.24.1	O Agni, you are the atonement. You are the atonement. O Brahman, I am approaching you out of fear. Destroy that terrible form of yours. Svāhā. O Vayu, you are the atonememt. You are the atonemet. O Brahman, out of fear, I am approaching. Destroy that censured form of yours. Svaha. O Aditya, you are the atonemnt. You are the atonemnet. O Brahman, for protection, I am approaching out of fear. Svāhā." O Agni, you are atonement. You are atonement. O Brahman. O Vayu. O Aditya. O Agni. O Vayu.
1.24.2	Having offered oblations, he offers the oblation on his head: "I offer the prosperity in you, svāhā. I offer the glory in you, svāhâ. I offer the splendor in you, svâhâ. I offer in you the light of heaven, earth and sky, svâhâ."
1.24.3	Having placed the water-pot here itself, having circumambulated the fire clockwise, having lain down towards the east or north of the fire, then he touches his own place with the formula, "We touch you with the thousand-armed, auspicious, non-hating, glorious hand for the sake of good progeny."
1.25.2	Earth, I send forth the hero with Prajapati, the bull. Place him here. Heaven, I send forth with Prajapati the bull. Place here. Space, I send forth him with Prajapati. Place him here." Thus he generates a hero.
1.25.3	All the approaches are to be done with mantras, says Atreya.
1.24.4	Then he yokes her with the yoke of desire, saying, "With the yoke of desire I yoke thee, not to be released."
1.24.5	Then he embraces her, saying, "Be thou obedient to me, be thou my companion. The body that is thy husband-killer, I make it thy son-killer. Be thou auspicious to me. Be thou the razor-cutter of thy husbands."
1.24.6	Then he desires her with his mouth. O honey, this is honey. My tongue speaks honey. In my mouth is the essence of honey. The love-making of the gods and gandharvas is cited from the rivers. If the god Gandharva is united with her, then they are in love with each other.
1.24.7	For three nights, he performs the vows explained by the Brahmanas while wearing dirty clothes.
1.25.4	And what is at the beginning and what is at the end, says Badarayana.
1.26.1	The marriage ceremony and other rites are called the rites of the domestic fire.
1.26.2	The rites of the domestic rites are performed in that.
1.26.3	By performing the rites of the Domestic Fire, one becomes a householder with the domestic fire, and by offering the Parvan oblation, one becomes a performer of the Darśa-Pūrṇamāsa sacrifices.
1.26.4	One who has discontinued the twelve-day rite should re-establish it.
1.24.8	On the fourth day, she bathes, wears fresh clothes, adorns herself, and converses with Brahmins. After performing the ritual of sipping water, she invokes the following:
1.26.5	Or he may offer all the oblations after deliberation.
1.26.6	On a well-prepared, well-spread, well-sprinkled, well-pounded ground.
1.26.7	Covering it with the branches of the Udumbara or the branches of the Plaksha tree, and collecting the materials as much as he can, he should kindle the fire from the sacrificial wood, or bring the worldly fire, and having made it hot, he should light it and offer it.
1.26.8	"Om, earth, heaven, heaven, Om, the foundation."
1.26.9	Then, having settled the fire and concluding with the Vyāhṛtis, he offers two Mindahuti offerings: "Whatever was lost from the self, Agni has given back the eye."
1.26.10	He offers three offerings with the string: "Weaving the string, awaken, O Agni, the thirty-three strings."
1.26.11	He offers four oblations with the formula, "O Agni, thou art the one who turns back, O Agni, the son of Angiras, again with energy and wealth."
1.26.12	Each of the Vyahrtis separately and all together.
1.26.13	Having offered, he says, "O Agni, may I be without censure. You are my true friend. I am held by the mind of iron. I offer oblations with iron. Grant us healing. Svāhā." This is the Manasa-svarūpa Sūkta.
1.25.1	May Vishnu fashion the womb, Tvashtri may fashion the forms. May Prajapati sprinkle, may the Creator deposit the embryo in thee. Deposit the embryo, O Sinivali, deposit the embryo, O Sarasvati. The two Ashvins have deposited the embryo, the two wearing garlands of lotuses. The golden kindling-sticks, when the Ashvins churned him, that embryo we invoke for thee, for the tenth-month-old child. As the earth is with Agni as its embryo, as heaven is with Indra as its embryo, and as the wind is with the directions as its embryo, so do I deposit the embryo in you. The embryo which thou didst receive in thy womb, may a male child be born. May the mother bear it for ten months. May it be born as the most heroic of thy sons. May the embryo enter thy womb, a male like an arrow in the target. May a hero be born here as thy son. I make him tenth-month-born. I make him thy son. May the embryo be deposited in thy womb. May it be unborn, full, without blemish, without disease, without sickness, without evil. May the bulls generate for us all the abundant virility. With that be thou pregnant. May it be the most heroic of thine own sons. The embryo which Indra deposited in the womb of Vasha and in the womb of Vehatl, with that be thou pregnant, and be thou a cow that gives milk. The name of the Cakravaka.
1.25.2	Earth, I send forth the hero with Prajapati, the bull. Place him here. Heaven, I send forth with Prajapati the bull. Place here. Space, I send forth him with Prajapati. Place him here." Thus he generates a hero.
1.25.3	All the approaches are to be done with mantras, says Atreya.
1.26.14	Having offered the seven Prajapati oblations, having followed the Dashahotar with the mind, having offered the Grahas, having offered the oblations, having offered the Soma, having offered the Somas, having offered the Prajapati oblation, having offered the seven Prajapatis, having offered the Dashahotara, having followed the mind, having performed the Grahas, one should offer this oblation. "O Varuna, I am coming to you. You are Agni. You are Agni, O Agni, I am coming. O Prajapati, whatever transgression I have committed in this rite." Here some offer the Jaya oblations, the Rajyabhrita oblations, as before.
1.26.15	Having fed the Brahmanas with food, having recited the auspicious benedictory verses, he performs the sacrifice with the well-known Agniya-sthalipaka-offering.
1.26.16	Here he gives a gift to the preceptor, a garment, a cow or a bull.
1.26.17	If he goes away, it is explained that the installation of the fire is done either in oneself or in the two fires.
1.26.18	Or one should install it in the Samidhi.
1.25.4	And what is at the beginning and what is at the end, says Badarayana.
1.26.1	The marriage ceremony and other rites are called the rites of the domestic fire.
1.26.2	The rites of the domestic rites are performed in that.
1.26.3	By performing the rites of the Domestic Fire, one becomes a householder with the domestic fire, and by offering the Parvan oblation, one becomes a performer of the Darśa-Pūrṇamāsa sacrifices.
1.26.4	One who has discontinued the twelve-day rite should re-establish it.
1.26.19	The Khadira, Palasha, Udumbara and Ashvattha are the four kinds of wood prescribed for the sacrificial fire.
1.26.20	Here, one should choose any one of these and bring the fire from the house of a learned Brāhman. Having brought it, he should recite the two mantras "Udbudhysva" and "Udbudhyasva" and place it on the chosen wood.
1.26.21	The procedure of Homa has been explained.
1.26.5	Or he may offer all the oblations after deliberation.
1.26.6	On a well-prepared, well-spread, well-sprinkled, well-pounded ground.
1.26.7	Covering it with the branches of the Udumbara or the branches of the Plaksha tree, and collecting the materials as much as he can, he should kindle the fire from the sacrificial wood, or bring the worldly fire, and having made it hot, he should light it and offer it.
1.26.22	If the Parvan rite is interrupted, one should perform it with the Pathicrita rite. If there are two Vaishvanara and Pathicrita rites, or if there are many, one should perform the Punaaradheya rite. If there is destruction or other fires are mixed with the fire, one should perform Punaaradheyas.
1.26.8	"Om, earth, heaven, heaven, Om, the foundation."
1.26.9	Then, having settled the fire and concluding with the Vyāhṛtis, he offers two Mindahuti offerings: "Whatever was lost from the self, Agni has given back the eye."
1.26.10	He offers three offerings with the string: "Weaving the string, awaken, O Agni, the thirty-three strings."
1.26.11	He offers four oblations with the formula, "O Agni, thou art the one who turns back, O Agni, the son of Angiras, again with energy and wealth."
1.26.12	Each of the Vyahrtis separately and all together.
1.26.13	Having offered, he says, "O Agni, may I be without censure. You are my true friend. I am held by the mind of iron. I offer oblations with iron. Grant us healing. Svāhā." This is the Manasa-svarūpa Sūkta.
1.27.1	One who is going to build a house, having collected fuel in the ascending fortnight of the month of Āṣāḍha, having set up the fire in the three northern directions, having performed the rite ending with the Vyāhṛtis, offers the oblations: "O Varuna, this is the truth. You are Agni. You are Agni, O Agni. I am Agni. O Prajapati, whatever transgression I have committed in this rite." Here some perform the rite of victory, the rite of the king, and the rite of the people, as before. Having fed the Brahmins with food, having recited the auspicious benediction, the rite of prosperity, having put on a new garment, having touched water, taking up the spade with the formula "For the god thee," having inscribed it thrice clockwise, having dug the pits according to the prescribed size, puts earth inside.
1.27.2	Here only I establish the firm pillar of the house, standing in safety, pouring out ghee. May we follow thee, O Salê, with all heroes, with heroes of good fortune, with heroes not to be injured. He establishes the southern pillar of the door.
1.27.3	Here only stand firm, O Salê! with horses, with cows, with good truth, with strength, swelling with milk. Establish thyself for great good fortune. He establishes the northern pillar.
1.26.14	Having offered the seven Prajapati oblations, having followed the Dashahotar with the mind, having offered the Grahas, having offered the oblations, having offered the Soma, having offered the Somas, having offered the Prajapati oblation, having offered the seven Prajapatis, having offered the Dashahotara, having followed the mind, having performed the Grahas, one should offer this oblation. "O Varuna, I am coming to you. You are Agni. You are Agni, O Agni, I am coming. O Prajapati, whatever transgression I have committed in this rite." Here some offer the Jaya oblations, the Rajyabhrita oblations, as before.
1.27.4	The young boy, the calf, with the moving earth, the golden pot, the pot of the pressing stone, as if pressing, thus he touches the measured (bricks).
1.27.5	In the same way the pillar-king is raised.
1.27.6	In the same manner he touches.
1.27.7	"O Ritu, climb the pillar, the highest, the most brilliant, and ward off the enemies. Then give us wealth with heroes." Thus he places the pillar of the back.
1.26.15	Having fed the Brahmanas with food, having recited the auspicious benedictory verses, he performs the sacrifice with the well-known Agniya-sthalipaka-offering.
1.26.16	Here he gives a gift to the preceptor, a garment, a cow or a bull.
1.26.17	If he goes away, it is explained that the installation of the fire is done either in oneself or in the two fires.
1.26.18	Or one should install it in the Samidhi.
1.27.8	May not our enemy be a refuge. The god, measured by the gods, at the beginning of his life, wearing grass, you are well-disposed. Be auspicious to the bipeds and the quadrupeds. He touches the hidden (fire) with this (verse).
1.27.9	Then the Vastu-pacification with Anuradha.
1.27.10	Having kindled fire in the inner chamber at night, and having performed the recitation up to the Vyāhṛtis, he offers.
1.26.19	The Khadira, Palasha, Udumbara and Ashvattha are the four kinds of wood prescribed for the sacrificial fire.
1.26.20	Here, one should choose any one of these and bring the fire from the house of a learned Brāhman. Having brought it, he should recite the two mantras "Udbudhysva" and "Udbudhyasva" and place it on the chosen wood.
1.26.21	The procedure of Homa has been explained.
1.26.22	If the Parvan rite is interrupted, one should perform it with the Pathicrita rite. If there are two Vaishvanara and Pathicrita rites, or if there are many, one should perform the Punaaradheya rite. If there is destruction or other fires are mixed with the fire, one should perform Punaaradheyas.
1.28.1	"O Vastospati, O Vastospati! Twice. O Vastospati, be our protector, the one who covers with darkness, the one who is with cows and horses, the one who does not age. May we be in your friendship. Like a father to his sons, accept us. Svāhā. May death depart, immortality come. May Vaivasvata make us fearless. May prosperity come to us like the leaves of a tree. May Shachi-pati be with us. Svāha. O Death, go beyond the path. The one who is other than the path of the gods. O Vastospater, I speak to you who listen. Do not harm our offspring or our heroes. Svāhā." "Here we have come to the best dwelling, where there is victory in cows, victory in wealth, victory in horses. May prosperity come down to us like the foliage of a tree. Shachi-pati may be with us. May this be true for me, O Varuna. You, O Agni, are that. You, O Agnè, are that. I go to you, O Prajapati. Whatever wrong I have done in this rite." Here some recite the blessings after eating the food of the Brahmins, reciting the auspicious verses, "May there be prosperity."
1.27.1	One who is going to build a house, having collected fuel in the ascending fortnight of the month of Āṣāḍha, having set up the fire in the three northern directions, having performed the rite ending with the Vyāhṛtis, offers the oblations: "O Varuna, this is the truth. You are Agni. You are Agni, O Agni. I am Agni. O Prajapati, whatever transgression I have committed in this rite." Here some perform the rite of victory, the rite of the king, and the rite of the people, as before. Having fed the Brahmins with food, having recited the auspicious benediction, the rite of prosperity, having put on a new garment, having touched water, taking up the spade with the formula "For the god thee," having inscribed it thrice clockwise, having dug the pits according to the prescribed size, puts earth inside.
1.28.2	Thus the propitiation of the Vastu is performed every year.
1.28.3	Some say that it is done every month.
1.27.2	Here only I establish the firm pillar of the house, standing in safety, pouring out ghee. May we follow thee, O Salê, with all heroes, with heroes of good fortune, with heroes not to be injured. He establishes the southern pillar of the door.
1.27.3	Here only stand firm, O Salê! with horses, with cows, with good truth, with strength, swelling with milk. Establish thyself for great good fortune. He establishes the northern pillar.
1.29.1	Do not be afraid, O houses, do not be frightened. We come bearing strength. Bearing strength, the giver of wealth, the wise one, rejoicing in mind, comes to the houses. Those who go to them, whether going or coming, are joyful. We invite the houses. May they know us who know. Invited here are the cows, invited are the goats. And the gravy of food is invited in our houses. Invited are the good friends, the friends with sweet union, the uninjured men. May our houses be always. Endowed with strength, endowed with milk, endowed with wealth, endowed with joy, not hungry, not thirsty, may the houses not be afraid of us. The house approaches.
1.27.4	The young boy, the calf, with the moving earth, the golden pot, the pot of the pressing stone, as if pressing, thus he touches the measured (bricks).
1.27.5	In the same way the pillar-king is raised.
1.27.6	In the same manner he touches.
1.27.7	"O Ritu, climb the pillar, the highest, the most brilliant, and ward off the enemies. Then give us wealth with heroes." Thus he places the pillar of the back.
1.29.2	For your welfare and peace, I enter the auspicious and auspicious, the peaceful and peaceful. He enters thus. He does not quarrel on the day he arrives. I enter the well-disposed houses. The destroyer of the non-heroic, the most heroic, the well-wishers, carrying the night, being well-disposed, I enter among them with a well-disposed mind. He enters thus, looking at his wife. He looks at his wife.
1.27.8	May not our enemy be a refuge. The god, measured by the gods, at the beginning of his life, wearing grass, you are well-disposed. Be auspicious to the bipeds and the quadrupeds. He touches the hidden (fire) with this (verse).
1.27.9	Then the Vastu-pacification with Anuradha.
1.27.10	Having kindled fire in the inner chamber at night, and having performed the recitation up to the Vyāhṛtis, he offers.
2.1.1	Now, then, the ceremony of the parting of the hair.
2.1.2	For a woman in her first pregnancy, on the fourth month, in the waxing fortnight, on an auspicious constellation, having approached the fire, having performed the rites up to the Vyāhṛtis, she offers four Dhātrī oblations, reciting the verse, "May Dhātar grant us wealth."
2.1.3	This is my truth, O Varuna. You are Agni. You are Agni, O Agni. You have come, O Agni, lord of creatures. Whatever transgression I have committed in this rite, O Agni, you are the lord of creatures. Here some perform the Jāyābhighāras and the Rāṣṭrabhṛt offerings as before. Having fed the Brahmanas with food, having recited the auspicious benediction, the prosperity, having bathed, having put on fresh clothes, having adorned herself, having conversed with Brahmanas, having seated her facing the east in the circular house behind the fire, having taken up the Salālu grass with three strands, having stood in front facing the west, having recited the Vyāhṛtis, having raised the parting of her hair above, she recites the two verses: "Soma is our king," say the Brahmanas. The subjects have turned back. Sitting on the bank, we shall cross over you, O Ganges, and all the streams. We shall cross over the enemies as if they were a flowing stream."
2.2.1	Now, then, the Pumsavana (rite).
1.28.1	"O Vastospati, O Vastospati! Twice. O Vastospati, be our protector, the one who covers with darkness, the one who is with cows and horses, the one who does not age. May we be in your friendship. Like a father to his sons, accept us. Svāhā. May death depart, immortality come. May Vaivasvata make us fearless. May prosperity come to us like the leaves of a tree. May Shachi-pati be with us. Svāha. O Death, go beyond the path. The one who is other than the path of the gods. O Vastospater, I speak to you who listen. Do not harm our offspring or our heroes. Svāhā." "Here we have come to the best dwelling, where there is victory in cows, victory in wealth, victory in horses. May prosperity come down to us like the foliage of a tree. Shachi-pati may be with us. May this be true for me, O Varuna. You, O Agni, are that. You, O Agnè, are that. I go to you, O Prajapati. Whatever wrong I have done in this rite." Here some recite the blessings after eating the food of the Brahmins, reciting the auspicious verses, "May there be prosperity."
1.28.2	Thus the propitiation of the Vastu is performed every year.
1.28.3	Some say that it is done every month.
2.2.2	In the third month, on an auspicious day of the waning fortnight, having kindled the fire and performed the rites up to the Vyāhṛtis, one offers four Dhātrī oblations: "May Dhātar grant us wealth." "O Varuna, this is mine. You are the one who knows. O Agni, you are the one who grants. You are the Agni who has come. O Prajapati, whatever transgression there is in this rite." Some here offer the Jaya oblations, the National oblations, as before. Having fed the Brahmins with food, and reciting the auspicious verses, "May there be prosperity," having bathed, dressed in fresh clothes, adorned, and engaged in conversation with Brahmins, she is seated facing east in the circular house, with the fire on her right side. The husband places a handful of barley in her right hand.
1.29.1	Do not be afraid, O houses, do not be frightened. We come bearing strength. Bearing strength, the giver of wealth, the wise one, rejoicing in mind, comes to the houses. Those who go to them, whether going or coming, are joyful. We invite the houses. May they know us who know. Invited here are the cows, invited are the goats. And the gravy of food is invited in our houses. Invited are the good friends, the friends with sweet union, the uninjured men. May our houses be always. Endowed with strength, endowed with milk, endowed with wealth, endowed with joy, not hungry, not thirsty, may the houses not be afraid of us. The house approaches.
2.2.3	"You are the two eggs," (thus) two barley-grains or mustard-seeds or grains of wheat or beans are placed around.
2.2.4	"The dog has turned," thus he makes her eat a drop of curd.
2.2.5	He touches the belly of the one who is covered, saying, "I touch you with ten (strokes). You are the one who is ten-mouthed, the one who is born."
1.29.2	For your welfare and peace, I enter the auspicious and auspicious, the peaceful and peaceful. He enters thus. He does not quarrel on the day he arrives. I enter the well-disposed houses. The destroyer of the non-heroic, the most heroic, the well-wishers, carrying the night, being well-disposed, I enter among them with a well-disposed mind. He enters thus, looking at his wife. He looks at his wife.
2.2.6	Or the Nyagrodha-sringam, or the Koshakari, or the Yupa-sakalam, or the Uttarapurusti, or Agni, or the Moru-mula-upadhanam, or the Dakshina-nasika-chidram.
2.1.1	Now, then, the ceremony of the parting of the hair.
2.1.2	For a woman in her first pregnancy, on the fourth month, in the waxing fortnight, on an auspicious constellation, having approached the fire, having performed the rites up to the Vyāhṛtis, she offers four Dhātrī oblations, reciting the verse, "May Dhātar grant us wealth."
2.2.7	If the embryo is discharged, she should rub it three times upwards of the navel with her moist hand, saying, "Thou art turned away, not turned towards. May Tvashtri bind thee in the bond. Having placed thee in the seasons, may the ten months be without loss."
2.2.8	At the time of delivery, she should quickly deliver the child, placing a pot of water on the head and playing a musical instrument. Then she should touch the woman's belly.
2.3.1	Just as the wind blows, just as the ocean surges, so may your embryo surge, may it move with the placenta. This is the silent rubbing.
2.3.2	Having placed the axe on the stone, he places the gold above it, and the boy above the two, saying, "Be thou a stone, be thou an axe, be the gold spread out. Thou art named after thy son, live thou a hundred autumns. Thou art born from limb to limb, thou art born from the heart. Thou art named according to thy self, live thou a full hundred autumns."
2.1.3	This is my truth, O Varuna. You are Agni. You are Agni, O Agni. You have come, O Agni, lord of creatures. Whatever transgression I have committed in this rite, O Agni, you are the lord of creatures. Here some perform the Jāyābhighāras and the Rāṣṭrabhṛt offerings as before. Having fed the Brahmanas with food, having recited the auspicious benediction, the prosperity, having bathed, having put on fresh clothes, having adorned herself, having conversed with Brahmanas, having seated her facing the east in the circular house behind the fire, having taken up the Salālu grass with three strands, having stood in front facing the west, having recited the Vyāhṛtis, having raised the parting of her hair above, she recites the two verses: "Soma is our king," say the Brahmanas. The subjects have turned back. Sitting on the bank, we shall cross over you, O Ganges, and all the streams. We shall cross over the enemies as if they were a flowing stream."
2.2.1	Now, then, the Pumsavana (rite).
2.3.3	If another does not fall, then one should sprinkle water on the head of the deceased with folded hands, saying, "O Tildeva, do not fall into the fire, do not fall onto the blade. Do not fall from your own path."
2.3.4	They carry away the sacrificial fire used for the birth of a child.
2.3.5	This is indeed the Urdhvapaniya fire.
2.3.6	No other rite is performed in it except fumigation.
2.2.2	In the third month, on an auspicious day of the waning fortnight, having kindled the fire and performed the rites up to the Vyāhṛtis, one offers four Dhātrī oblations: "May Dhātar grant us wealth." "O Varuna, this is mine. You are the one who knows. O Agni, you are the one who grants. You are the Agni who has come. O Prajapati, whatever transgression there is in this rite." Some here offer the Jaya oblations, the National oblations, as before. Having fed the Brahmins with food, and reciting the auspicious verses, "May there be prosperity," having bathed, dressed in fresh clothes, adorned, and engaged in conversation with Brahmins, she is seated facing east in the circular house, with the fire on her right side. The husband places a handful of barley in her right hand.
2.2.3	"You are the two eggs," (thus) two barley-grains or mustard-seeds or grains of wheat or beans are placed around.
2.2.4	"The dog has turned," thus he makes her eat a drop of curd.
2.2.5	He touches the belly of the one who is covered, saying, "I touch you with ten (strokes). You are the one who is ten-mouthed, the one who is born."
2.2.6	Or the Nyagrodha-sringam, or the Koshakari, or the Yupa-sakalam, or the Uttarapurusti, or Agni, or the Moru-mula-upadhanam, or the Dakshina-nasika-chidram.
2.2.7	If the embryo is discharged, she should rub it three times upwards of the navel with her moist hand, saying, "Thou art turned away, not turned towards. May Tvashtri bind thee in the bond. Having placed thee in the seasons, may the ten months be without loss."
2.2.8	At the time of delivery, she should quickly deliver the child, placing a pot of water on the head and playing a musical instrument. Then she should touch the woman's belly.
2.3.1	Just as the wind blows, just as the ocean surges, so may your embryo surge, may it move with the placenta. This is the silent rubbing.
2.3.7	Then he fumigates him with mustard seeds mixed with ashes: "May Śaṇḍa, Mārka, Upavīra, Śāṇḍīkera, Ulūkha, and Cyavana perish from here, svāhā. May the one who writes, the one who erases, the one who does not blink, the one who speaks, the one who listens, svāhā, the pot of Aryaman, the enemy, the one with a vessel in hand, the skillful one, svāhā." May the one with intestines as a mouth, the one with mustard seeds as a mouth, perish from here, svaha. The one with hair like a dog, the one with hair like an ox, the one who shows the ox, may they perish from here, sviha. The one sent by the king of demons, the one with the garment of the world, the one who desires to take possession of the villages of the same caste, may they perish, svāhā." "He says, "May they be killed, may they be bound." This is Brahma's messenger. Agni surrounded them, Indra surrounded them, Brihaspati surrounded them, I know them, the Brahman knows them. May the ones with broken teeth, the ones with loose hair, the ones with hanging breasts, svāhā." The ones who move at night, the ones who rule the thighs, the ones with spears in their hands, the ones who drink from skulls, svāhā"." "The one who is the mother of these, the one who is the father, the one who has high-pitched ears, the one who goes to the mother, the one who wants to go to the village, svāhā "The sister who moves at night, the one who looks at the family through the joints, the one who stays awake when her husband is sleeping, the one for whom the mind is attached, svāhā To those, you are the one who goes on the dark path, the one who causes grief, the one with compassion, the one with sorrow, the one with anger, the one with fear, the one with grief, the one who makes the heart grieve, the one who burns the organs of Agni, svāhā!" He throws them into the embers, repeating this mantra for each one."
2.3.2	Having placed the axe on the stone, he places the gold above it, and the boy above the two, saying, "Be thou a stone, be thou an axe, be the gold spread out. Thou art named after thy son, live thou a hundred autumns. Thou art born from limb to limb, thou art born from the heart. Thou art named according to thy self, live thou a full hundred autumns."
2.3.3	If another does not fall, then one should sprinkle water on the head of the deceased with folded hands, saying, "O Tildeva, do not fall into the fire, do not fall onto the blade. Do not fall from your own path."
2.3.4	They carry away the sacrificial fire used for the birth of a child.
2.3.5	This is indeed the Urdhvapaniya fire.
2.3.6	No other rite is performed in it except fumigation.
2.3.9	Then, for the generation of intelligence, having bound a golden object with Darbha grass and concealed it, he makes the boy facing east hold it and makes him eat ghee, reciting, "I offer the Rg verses to you, svāhā. I offer the Yajus hymns to you, svāhâ. I offer the Sama chants to you, svähâ. I offer to you the Rg, Yajus, and Sama chants of the Atharva and Angirasas, svähâ."
2.3.10	Then he bathes him with warm and cold water: "I release thee from the curse, from the curse of Niriti, from the noose of Varuna. I make thee free from sin for the Brahman. May the two heaven and earth be auspicious to thee. May Agni be auspicious to thee with the waters. May heaven and earth be propitious with the plants. May the atmosphere be propitious with wind. May the four directions be propitious to thee. The sun has released the dead from darkness, when the gods released them from sin. Thus I release this one from the curse of the dead, from the curse, the noose of Yama."
2.3.11	Then he places him on the lap of his mother.
2.4.1	"The four quarters of the sky, the wives of the wind, which the sun looks upon, of them I place thee in the old age. Let the disease go away to the evil spirit."
2.4.2	Having placed him, he recites: "May Rakshas not harm thy son. May the cow not be too loose. May it be dear to the wealth, increasing in its own power."
2.4.3	Having washed the right breast, he makes it suckle, saying, "May this boy suckle old age, may he live through all his life. Having reached the breast, may he have long life, fame, lustre, glory and strength."
2.4.4	The same for the left breast.
2.4.5	When we say, "Bend down," or "Touch here," he bends down and touches both places. Then she places a pitcher of water over his head, saying, "The waters are awake in the house, as the gods are awake, so may this good mother be awake."
2.4.6	On the twelfth day, the mother and son take a bath.
2.4.7	They make a clean room.
2.4.8	They carry away the fire of childbirth. They carry away the domestic fire.
2.4.9	Having placed that fire, and having performed the Vyāhṛtis, he offers twelve oblations with the verse, "May Dhātā grant us wealth." Some offer thirteen oblations.
2.3.7	Then he fumigates him with mustard seeds mixed with ashes: "May Śaṇḍa, Mārka, Upavīra, Śāṇḍīkera, Ulūkha, and Cyavana perish from here, svāhā. May the one who writes, the one who erases, the one who does not blink, the one who speaks, the one who listens, svāhā, the pot of Aryaman, the enemy, the one with a vessel in hand, the skillful one, svāhā." May the one with intestines as a mouth, the one with mustard seeds as a mouth, perish from here, svaha. The one with hair like a dog, the one with hair like an ox, the one who shows the ox, may they perish from here, sviha. The one sent by the king of demons, the one with the garment of the world, the one who desires to take possession of the villages of the same caste, may they perish, svāhā." "He says, "May they be killed, may they be bound." This is Brahma's messenger. Agni surrounded them, Indra surrounded them, Brihaspati surrounded them, I know them, the Brahman knows them. May the ones with broken teeth, the ones with loose hair, the ones with hanging breasts, svāhā." The ones who move at night, the ones who rule the thighs, the ones with spears in their hands, the ones who drink from skulls, svāhā"." "The one who is the mother of these, the one who is the father, the one who has high-pitched ears, the one who goes to the mother, the one who wants to go to the village, svāhā "The sister who moves at night, the one who looks at the family through the joints, the one who stays awake when her husband is sleeping, the one for whom the mind is attached, svāhā To those, you are the one who goes on the dark path, the one who causes grief, the one with compassion, the one with sorrow, the one with anger, the one with fear, the one with grief, the one who makes the heart grieve, the one who burns the organs of Agni, svāhā!" He throws them into the embers, repeating this mantra for each one."
2.3.8	Then having washed his hands, he touches the ground with the formula, "Thy heart is well-settled in heaven and in the moon. Grant me immortality. May I not weep for my grandson." "I know thy heart is well-established in heaven and in moon. The lord of immortality, may I not weep for grandson."
2.4.10	This is my truth, O Varuna. You are our Agni. You are our Indra. You are our Yama. You are our Varuna. You have come, O Agni. You are Agni. You are Prajapati. Whatever transgression I have committed in this rite, Here some perform the Jayā Ātmanānas and the Rāṣṭrabṛt offerings as before. Having fed the Brahmins with food, having recited the auspicious benediction, the Svāsthyanam, and the Rddhi, one should give the son a name with two or four syllables, beginning with a sound, ending with a vowel, with long vowels, and ending with a vowel. Where there is an upasargas, it is known to be established.
2.3.9	Then, for the generation of intelligence, having bound a golden object with Darbha grass and concealed it, he makes the boy facing east hold it and makes him eat ghee, reciting, "I offer the Rg verses to you, svāhā. I offer the Yajus hymns to you, svāhâ. I offer the Sama chants to you, svähâ. I offer to you the Rg, Yajus, and Sama chants of the Atharva and Angirasas, svähâ."
2.4.11	The father and mother should first address each other as "father" and "mother." And it is known that my name was first known as "Jātavedas."
2.4.12	One should have two names. It is known that a brahmin who knows both names is half-learned.
2.4.13	The second name should be a constellation name, and the other should be a secret name.
2.4.14	One should address him with either of the two.
2.4.15	It is understood that one should give the third name.
2.4.16	One touches the son who has returned from exile with the words, "I touch you with the brilliance of Soma, with the brilliance of Agni, with the splendor of Surya."
2.4.17	One touches the head with the words, “I smell you with the sound ‘hum’ for the sake of animals, for life and splendor, hum.”
2.3.10	Then he bathes him with warm and cold water: "I release thee from the curse, from the curse of Niriti, from the noose of Varuna. I make thee free from sin for the Brahman. May the two heaven and earth be auspicious to thee. May Agni be auspicious to thee with the waters. May heaven and earth be propitious with the plants. May the atmosphere be propitious with wind. May the four directions be propitious to thee. The sun has released the dead from darkness, when the gods released them from sin. Thus I release this one from the curse of the dead, from the curse, the noose of Yama."
2.4.18	Then with his right hand he takes the right hand of the child, with the thumb, five times with the formula, "Agni is long-lived."
2.4.19	He mutters the formula, "May thy life be established on all sides," at the right ear, as before.
2.5.1	Then in the sixth month, the child is fed with food.
2.3.11	Then he places him on the lap of his mother.
2.4.1	"The four quarters of the sky, the wives of the wind, which the sun looks upon, of them I place thee in the old age. Let the disease go away to the evil spirit."
2.4.2	Having placed him, he recites: "May Rakshas not harm thy son. May the cow not be too loose. May it be dear to the wealth, increasing in its own power."
2.4.3	Having washed the right breast, he makes it suckle, saying, "May this boy suckle old age, may he live through all his life. Having reached the breast, may he have long life, fame, lustre, glory and strength."
2.4.4	The same for the left breast.
