#Author:Devapāla
#Text:Kāṭhagṛhyasūtrabhāṣya
#Comments:Kāṭhakagṛhyasūtra
#Edition:Kashmir Series of Texts and Studies, No. XLIX (1923)
#Data entry:Oliver Hellwig
#Notes:Currently covers only the first half of the mūla text.



1.1.[1]	vrataśabdo yamaniyamavācakaḥ /
34.7.[28]	evamuttaratra /
34.7.[29]	paścātpaścimadiśi /
34.7.[30]	puraḥ pūrvasyāṃ diśi //
34.7.[31]	anamitrairahobhiriti dve śakkaryuṣṇihau /
34.7.[32]	abhidheyā sarvatra devatā /
34.7.[33]	he viśve devāḥ sarve devā vayaṃ mitrībhūtairahobhiḥ sacemahi, upasaḥ prabhātakālāḥ, nimrucaśca rātrayo'smākaṃ mitrāṇi santu /
34.7.[34]	‘mrucumlucu gatau’ nitāntaṃ gacchatyābhya āditya iti nimrucaḥ //
34.7.[35]	yāḥ ṣaḍdevatā urvī urvyaḥ mahatyaḥ /
34.7.[36]	kāstāḥ //
34.7.[37]	dyauḥ, pṛthivī, ahaḥ, rātriḥ, uṣaḥ, oṣadhayaḥ tathā pañca pradiśaścatasraḥ prāgādyā ūrdhvā pañcamī /
34.7.[38]	tā no'smān pāntu rakṣantu /
34.7.[39]	he anantaroktā yato yūyaṃ mitradhā hitasya kāryasya vidhātryastato no'smān mitre śubhakarmaṇi dadhāta dhārayata, abhayaṃ cāsmākamastu yuṣmatprasādāt //
34.7.[40]	he pradarśitadevā ye yūyaṃ rātrīmanutiṣṭhatha rātrīṃ lakṣaṇīkṛtya tiṣṭhatha, ye ca bhūteṣu jāgṛtha, sarvāṃśca paśūn rakṣatha, te no'smākaṃ sambandhiṣu ātmasu śarīreṣu jāgṛta //
34.7.[41]	bodha pratībodhetyādināṣṭānāṃ saṃbodhanam /
34.7.[42]	he bodhādayaḥ arundhatīparyantāḥ ye yūyaṃ devāstanūpāḥ stha tanūnāṃ śarīrāṇāṃ rakṣakā bhavatha, te me mama iha gahane bhave tanvaṃ tanūṃ pāta rakṣata /
34.7.[43]	bodhādīn pratīkairavacchidya vyācaṣṭe bodhapratībodhetyādinā, gatārthametat /
34.7.[44]	ete vai devāḥ, vaiśabdo'vadhāraṇe, eta eva bodhādayo rāṣṭrasya jagato bhartāra ṛtavaśca, ato'haṃ tāneveṭṭe staumi /
34.7.[45]	kimartham /
34.7.[46]	ātmano gopīthāya rakṣaṇāya /
34.7.[47]	anyānyapyatra svastyayanāni paṭhanīyāni /
34.7.[48]	vaciśvarādau paṭhyate, tataḥ svārthe ṇic svastyayanaṃ vācayatīti /
34.7.[49]	tena yuktaṃ svakartṛkaṃ vacanaṃ pituḥ /
34.7.[50]	svakartṛkāṇi hyetānyutsargeṇa prāk cūḍākaraṇāt // 7 //
35.1.[1]	bālakasūtikayoḥ rakṣārthā aśaucakāle'mī homāḥ, ataśca dṛṣṭārthā eva /
35.1.[2]	phalīkaraṇaṃ kambukāḥ, tairmiśritānsarṣapāndarvyā daśāhaṃ yāvat sāyaṃprātarjuhuyāt śaṇḍa ityādicaturbhirmantraiḥ //
35.1.[3]	śaṇḍo markopavītastauṇḍuleya ulūkhalaścapalo naśyatāmitaḥ svāhā // 1 //
35.1.[4]	iha sūtikāsthānācchaṇḍādayo naśyantu palāyantāmiti samudāyārthaḥ /
35.1.[5]	śaṇḍādayaḥ piśācānāṃ saṃjñāḥ /
35.1.[6]	ekaiko mantrasaṃbandhaḥ /
35.1.[7]	śaṇḍa itaḥ sthānānnaśyatu, evaṃ markaḥ, upavītaḥ, tauṇḍuleyaḥ, ulūkhalaścapalo naśyatāmitaḥ /
35.1.[8]	svāhā suhutamastu // 1 //
35.1.[9]	ālikhannavalikhankiṃvadanta ulūkhalaścapalo naśyatāmitaḥ svāhā // 2 //
35.1.[10]	samānaṃ pūrveṇaitat // 2 //
35.1.[11]	haryakṣṇaḥ kumbhiḥ śaktirhantā cupaṇīmukhaścapalo naśyatāmitaḥ svāhā // 3 //
35.1.[12]	keśinī śvalominī kacā kaucāpakāśinyapeto naśyatāmitaḥ svāhā // 4 //
35.1.[13]	haryakṣaṇa ityādayaḥ saṃjñāḥ /
35.1.[14]	keśinī nāma rākṣasī /
35.1.[15]	tathā śvalominī, kacā, kaucā, apakāśinītyetānyapi rākṣasīviśeṣanāmāni // 4 //
35.2.[1]	anena prakāracatuṣṭayena daśāhaṃ juhuyāt aśaucakālaṃ yāvajjuhuyādityarthaḥ // 2 //
36.0.[1]	atha nāmakaraṇam
36.1.[1]	daśamyāṃ vyatītāyāmaśaucaśuddhāvekādaśe'hani dvādaśe'hani vā tatra nakṣatrādivaiguṇye dināntare nāmadheyaṃ daśamyāṃ dvādaśyāṃ vāpi kārayet ‘puṇye'hani muhūrte vā nakṣatre vā guṇānvite /’ iti smaraṇāt /
36.1.[2]	audayikyā ca vyavasthayā trayodaśī tithirgṛhyate, natvanyāyyādutthānādanyāyyācca saṃveśanādanadyatanakāla ityādikayā, ‘rātriśeṣe dvābhyāṃ prabhāte tisṛbhiḥ’ iti vibhātāyāmapi rajanyāmudayāt prāgaśaucānuvṛttidarśanāt /
36.1.[3]	tasminneva sūtikāgārasthe sūtakāgnau payasi sthālīpākaṃ śrapayitvā sarvoṣadhiprabhṛtibhiḥ sugandhidravyaviśeṣairuparivinihitamaṅgalārthajātīpūgaphalaviśeṣaiḥ saśiraskaṃ snāpayitvā, puṃliṅganirdeśāt striyaṃ varjayati, anupabhuktena vastreṇa saṃcchādya tasya sthālīpākasya saṃbandhibhiravadānairvyatyayena sthālīpākena juhoti kayā naścitreti pañcāhutīḥ // 1 //
36.2.[1]	agnerāyurasītyādikamāyuṣeṣṭyā tulyamityatideśaḥ /
36.2.[2]	avadhimāha ā lalāṭābhimarśanāt /
36.2.[3]	‘tasya lalāṭamabhimṛśyāśvinoḥ prāṇa iti japati’ iti vakṣyati /
36.2.[4]	tadanantaramāyuṣeṣṭyā samānamityarthaḥ // 2 //
36.3.[1]	atrānuvāke asāvityasya sthāne tadeva nāma dhīyate yattu jātakarmaṇi kṛtaṃ, nānyat // 3 //
36.4.[1]	eke punarāhuranyadvidhīyate /
36.4.[2]	dve hi nāmnī brāhmaṇasya kartavye /
36.4.[3]	tatra yadrahasyaṃ jātakarmaṇyuktaṃ ‘putre jāte nāma dhīyate’ iti, tasya prayojanaṃ parairabhicāre kriyamāṇe'nuccāraṇādi, prakaṭaṃ tvekādaśāhādau vyāvahārikam /
36.4.[4]	tathāca śrutiḥ ‘tasmādbrāhmaṇo dvināmā’ iti // 4 //
36.5.[1]	sviṣṭakṛtaḥ pūrvaṃ pūtamājyaṃ kāṃsyapātre āsicya prakṣipya, tatra ca hiraṇyaṃ prakṣipya agnerāyurasītyādinā mantreṇa /
36.5.[2]	kīdṛśaṃ suvarṇam /
36.5.[3]	ābandhanīyaṃ bālakasya kaṇṭhādau bandhanārham /
36.5.[4]	tasyājyasya juhoti indrasya prāṇa ityādibhiḥ pañcabhirmantraiḥ // 5 //
36.6.[1]	saṃsthitayajurhomātpūrvaṃ brahmā ghṛte hiraṇyamavapadyate avaṣṭabhnāti yattadbālagalādibandhanārthaṃ ghṛte nihitaṃ sarve ca ṛtvijastadvaṣṭabhnanti yadasarpa ityādimantraiḥ // 6 //
36.7.[1]	ājyātsuvarṇaṃ pāvamānenetyuddhṛtya yajamānāya prayacchati devā āyuṣmanta ityādimantraiḥ //
36.8-9.[1]	tat suvarṇaniḥsrāvamājyaṃ bālakaḥ pibati /
36.8-9.[2]	tacca niḥśeṣeṇāvadhayet pibet // 8 //
36.8-9.[3]	hiraṇyalagnaṃ ghṛtaṃ prakṣālya taddhiraṇyaṃ badhnāti bālakasya galādau imamagna ityādinā // 9 //
36.10.[1]	lalāṭataṭaṃ hastena spṛṣṭvā japati aśvinoḥ prāṇa ityādikam // 10 //
36.11.[1]	aṅgādaṅgādityādinā bālasya mūrdhani śiṅghanaṃ kṛtvā svastyayanaṃ vakti /
36.11.[2]	kvacinnighrāpyeti pāṭhaḥ, tatra svārthe ṇic /
36.11.[3]	pitrasannidhau vā mātaraṃ prayujyeti kecit /
36.11.[4]	ṛtvigvā pituḥ prayojako vivakṣitaḥ // 11 //
36.12.[1]	ato nāmakaraṇādūrdhvaṃ yadā pravāsādāyāti pitā, tadānenaiva prakāreṇa mūrdhanyabhighrāṇaṃ kuryāt // 12 //
36.12.[2]	evameva pratimāsaṃ janmadine sthālīpākena jātakarmavidhivadājyeneṣṭā nighrāṇaṃ mūrdhani kuryāt // 13 //
36.12.[3]	pratimāsamimāṃ kartavyatāṃ saṃvatsaraṃ yāvakuryāt // 14 //
36.13.[1]	māṃsaṃ tu bālakasya mātā pitā ca saṃvatsaraṃ yāvannāśnīyāt // 15 //
36.14.[1]	prathame saṃvatsare samāpte ajenāgnimavinā dhanvantarimiṣṭvā vāśabdādājyena sthālīpākena vā sarpiṣā pracureṇa yuktamanyena ca pavitreṇa dadhiprabhṛtinā annaṃ brāhmaṇān bhojayet /
36.14.[2]	taiḥ suprītaiḥ svastyayanāśīḥprabhṛtibhirabhinandedenam // 16 //
36.14.[3]	kayā naścitra ābhuvadūtī sadāvṛdhaḥ sakhā /
36.14.[4]	kayā śaciṣṭhayā vṛtā // 1 //
36.14.[5]	kastvā satyo madānāṃ maṃhiṣṭho matsadandhasaḥ /
36.14.[6]	dṛḍhā cidāruje vasu // 2 //
36.14.[7]	vratasyārṣam /
36.14.[8]	indraḥ prajāpatirvā devatā /
36.14.[9]	citraścitracaritaḥ prajāpatirindro vā no'smānkayā ūtyā ābhuvadābhāvayati janayati /
36.14.[10]	avanamūtiḥ ‘supāṃ sulukpūrvasavarṇā .....’ iti tṛtīyaikavacanasya pūrvasavarṇaikādeśaḥ ūtīśabdālluk ca /
36.14.[11]	kīdṛśaḥ prajāpatiḥ /
36.14.[12]	sakhā samānakhyānaḥ antaryāmī /
36.14.[13]	kīdṛśānasmān /
36.14.[14]	sadāvṛdhaḥ sarvakālaṃ vṛddhiyuktān /
36.14.[15]	kayā vṛtā vartanenābhāvayati /
36.14.[16]	kayā śaciṣṭhayā śaktyatiśayena caitanyātiśayena vā atiśayena śaktitā śaciṣṭhā ‘turiṣṭhemeyaḥsu’ iti tṛco lopaḥ, chāndaso varṇavyatyayaścakāraḥ, kena śaktyatiśayena vartayedityarthaḥ /
36.14.[17]	sraṣṭṛtvādiśaktyatiśayayuktaḥ prajāpatirvṛddhiviṣaye ṛtāvasmābhirijyate, sa iṣṭyā prītaḥ san bālaṃ vṛddhyādisaṃyuktaṃ saṃpādayatviti tātparyārthaḥ //
36.14.[18]	he prajāpate ko yajamānaḥ tvā matsat mādayati, andhaso'ndhasā haviṣā, dṛḍhā dṛḍhāni, vasu vasūni dhanāni, āruje ārujati vitarati dakṣiṇādidvāreṇa /
36.14.[19]	kīdṛśo yajamānaḥ /
36.14.[20]	satyaḥ uttamasattvaḥ, tathā madānāṃ maṃhiṣṭhaḥ hṛṣṭānāmānandayogināṃ madhye vṛddhatamaḥ paramānandayukto brahmasvabhāva ityarthaḥ /
36.14.[21]	‘bahi mahi vṛddha’ iti dhātoḥ prakṛtitvaṃ maṃhiṣṭhaśabde iṣṭhannante //
36.14.[22]	kayā tacchṛṇve śacyā śaciṣṭho yayā kṛṇoti muhu kācidṛṣvaḥ /
36.14.[23]	puru dāśuṣe vicayiṣṭho aṃho'thā dadhāti draviṇaṃ jaritre /
36.14.[24]	atrāpi prajāpatirdevatā /
36.14.[25]	ahaṃ śṛṇve śṛṇomi vedāt /
36.14.[26]	kiṃ tat /
36.14.[27]	kācidevāsya prajāpateḥ śaktirlokottarāsti prajñā vā /
36.14.[28]	kā /
36.14.[29]	yayā śacyā śaktyā prajñayā vā sa ṛṣvo mahattamaḥ puru aṃhaḥ pāpaṃ muhurmuhuḥ punaḥpunaḥ kṛṇoti kṛntati nāśayati /
36.14.[30]	kasmai /
36.14.[31]	dāśuṣe yajamānāya /
36.14.[32]	pāpaṃ ca nāśayitvā, anantaraṃ jaritre stotre dāśuṣe puru subahu draviṇaṃ dhanaṃ dadhāti dadāti karoti vā /
36.14.[33]	kīdṛśaḥ prajāpatiḥ /
36.14.[34]	śaciṣṭhaḥ śaktatamaḥ prājñatamo vā, vicayiṣṭhaḥ vividhaśaktinicayavattamaḥ /
36.14.[35]	kayeti vyatyayena tṛtīyā prathamāsthāne //
36.14.[36]	prajāpataye svāhā //
36.14.[37]	prajāpataye suhutamastu /
36.14.[38]	prajāpate nahi tvaditi, asā amuṣyeti dvayaṃ vyākhyātam //
36.14.[39]	‘agnerāyurasi tasya te manuṣyā āyuṣkṛtastenāsā amuṣmā āyurdhehi’ brahmaṇa ārṣam /
36.14.[40]	anena hiraṇyaṃ ghṛte'vadadhāti /
36.14.[41]	he suvarṇa asi tvamagnerāyuḥ, āyātītyāyuḥ, agnerāgataṃ tvamutpannamityarthaḥ /
36.14.[42]	tathāca śrutiḥ ‘agneryadretaḥ sicyate taddhiraṇyamabhavat’ iti /
36.14.[43]	tasyaivaṃbhūtajananasya te tava manuṣyā āyuṣkṛta indhanādhmānanirmanthanajāgaraṇādinā manuṣyā agnerāyuḥ kurvanti, taddvāreṇa suvarṇasya /
36.14.[44]	tena manuṣyāṇāmupakārakatvādasmai yajamānāya, amuṣmai ca bālakāyāyurdehi kuru vā //
36.14.[45]	indrasya prāṇaḥ sa te prāṇaṃ dadātu yasya prāṇastasmai te svāhā //
36.14.[46]	indro'tra devatā /
36.14.[47]	indrasya prāṇaḥ, indraḥ prāṇasya svāmī, ataḥ sa indrastubhyaṃ prāṇaṃ dadātu /
36.14.[48]	yasya prāṇastasmai indrāya te tubhyaṃ svāhā //
36.14.[49]	pitṝṇāṃ prāṇaste te prāṇaṃ dadatu yeṣāṃ prāṇastebhyo vaḥ svāhā //
36.14.[50]	pitṛdevatāko yataḥ pitṛsvāmikaḥ prāṇo‘taste pitaraste tubhyaṃ prāṇaṃ dadatu /
36.14.[51]	yeṣāṃ prāṇastebhyaḥ pitṛbhyo vo yuṣmākaṃ suhutamastu /
36.14.[52]	marutāṃ prāṇaste° viśveṣāṃ devānāṃ prāṇaste° prajāpateḥ prāṇaḥ sa te prāṇaṃ dadātu parameṣṭhinaḥ prāṇaḥ sa te prāṇaṃ dadātu yayoḥ prāṇastābhyāṃ vāṃ svāhā //
36.14.[53]	prajāpatiḥ prāṇasya svāmī /
36.14.[54]	sa tubhyaṃ prāṇaṃ dadātu /
36.14.[55]	parameṣṭhī prāṇasya prabhuḥ /
36.14.[56]	sa tubhyaṃ prāṇaṃ dadātu /
36.14.[57]	ubhayoḥ prajāpatiparameṣṭhinoryayoḥ prāṇastābhyāṃ vāṃ yuvābhyāṃ svāhā //
36.14.[58]	yadasarpastatsarpirabhavo yannavamaistannavanītamabhavo yadapriyathāstaddhṛtamabhavaḥ //
36.14.[59]	ghṛtaṃ nirucyate he ghṛta yat yasmāttvamasarpaḥ sṛptaṃ, tataḥ sarpirbhūtamasi /
36.14.[60]	yasmācca navaṃ pratyagraṃ sat aiḥ āgatamasi, tato navanītamucyase /
36.14.[61]	yasmādadhriyathāstaddhṛtaṃ bhūtamasi ‘dhṛ dhāraṇe’ ityasya varṇavyatyaye ghṛtaśabdaḥ //
36.14.[62]	ghṛtasya dhārāmamṛtasya panthāmindreṇa dattaṃ prayataṃ marudbhiḥ /
36.14.[63]	tattvā viṣṇuranvapaśyattaveḍā gavyairayat //
36.14.[64]	viṣṇorārṣam /
36.14.[65]	dhārāṃ panthāmiti prathamāyāḥ sthāne dvitīyā /
36.14.[66]	yeyaṃ ghṛtasya dhārā, sā amṛtasya amaraṇadharmasya panthā upāyaḥ /
36.14.[67]	idaṃ hi ghṛtamindreṇa yajamānebhyo dattaṃ vṛṣṭyādidvāreṇa, prayataṃ ca marudbhiḥ prakarṣeṇa yataṃ niyamya sthāpitaṃ vacanādidvāreṇa /
36.14.[68]	tat dīyamānaṃ niyamyamānaṃ ca tvāṃ viṣṇurapaśyat /
36.14.[69]	tattvāmiḍā devatāviśeṣaḥ gavi airayannikṣiptavatī //
36.14.[70]	pāvamānena tvā stomena gāyatryā vartanyopāṃśorvīryeṇoddharāmyasau //
36.14.[71]	pāvamānena stomena barhiṣpavamānādinā, gāyatryā varcā, vartanyā sāmāvayavena, upāṃśorgrahasya vīryeṇa sāmarthyena uddharāmi tvām /
36.14.[72]	asāviti nāma pratīyāt //
36.14.[73]	bṛhatā tvā rathantareṇa triṣṭubhā vartanyā śukrasya vīryeṇotsṛjāmyasau //
36.14.[74]	gatārtham //
36.14.[75]	agnestvā mātrayā jagatyā vartanyā devastvā savitonnayatu jīvātave jīvanasya yā asau //
36.14.[76]	agnerunnayāmīti vipariṇatasyānuṣaṅgaḥ, natūddharāmītyasyānuṣaṅgaḥ ‘vyavayānnānuṣajyeta’ iti nyāyāt /
36.14.[77]	pāvamānenetyādi samuccitaṃ mantratrayamāhuḥ suvarṇoddharaṇe bhinnākhyātatvena bhinnamantratvāt /
36.14.[78]	anye tu ekamantratāṃ manyante //
36.14.[79]	devā ityādayaḥ ṣaṭ //
36.14.[80]	āyuṣmantaste'mṛtenāyuṣmantasteṣāmayamāyuṣāyuṣmānastvasau // 1 //
36.14.[81]	teṣāmāyuṣā devānāmāyuṣā tatparimāṇena jīvanena ayaṃ yajamāno bālaścāyuṣmānastu /
36.14.[82]	asāviti pūrvavat //
36.14.[83]	brahmāyuṣmattadbrāhmaṇairāyuṣmattasyāyamāyuṣāyuṣmānastvasau // 2 //
36.14.[84]	brahma vedaḥ /
36.14.[85]	taccāyuṣmadavināśi /
36.14.[86]	taddhi brāhmaṇairbrahmasambandhibhiradhyayanadhāraṇādibhiranucchittikarmakam /
36.14.[87]	tasyāyamityādi pūrvavat //
36.14.[88]	agnirāyuṣmānsa vanaspatibhirāyuṣmāṃstasyāyamāyuṣāyuṣmānastvasau // 3 //
36.14.[89]	vanaspataya indhanāni araṇyaṃ ca /
36.14.[90]	samānamanyat //
36.14.[91]	yajña āyuṣmānsa dakṣiṇābhirāyuṣmāṃstasyāyamāyuṣāyuṣmānastvasau // 4 //
36.14.[92]	dakṣiṇālobhena ṛtvijaḥ abhyasyanti yajñavidyāṃ samyaganutiṣṭhanti ca karmāṇi /
36.14.[93]	tena dakṣiṇayā āyuṣmattvaṃ yajñasya //
36.14.[94]	soma āyuṣmānsa oṣadhībhirāyuṣmāṃstasyāyamāyuṣāyumānastvasau // 5 //
36.14.[95]	oṣadhayo vrīhyādyāḥ, tābhiḥ /
36.14.[96]	carupuroḍāśādinā iṣṭamannādi candramasamāpyāyayatīti kṛtvā bhavatyoṣadhībhirāyuṣmān somaḥ //
36.14.[97]	oṣadhaya āyuṣmatīstā adbhirāyuṣmatīstāsāmayamāyuṣāyuṣmānastvasau // 6 //
36.14.[98]	vṛṣṭyā vardhante dhriyante cauṣadhayaḥ //
36.14.[99]	imamagna āyuṣe varcase kṛdhi tigmamojo varuṇa saṃśiśādhi /
36.14.[100]	mātevāsmā adite śarma yaccha viśve devā jaradaṣṭiryathāsat //
36.14.[101]	he agne imaṃ bālakaṃ yajamānaṃ ca āyuṣe varcase ca kṛdhi kuru, vidyāsaṃpattirvarcaḥ yathā etasyāyurvarcaśca bhavati tathā kurvityarthaḥ /
36.14.[102]	he varuṇa tvamapi tigmamutkaṭamojo balaṃ saṃśiśādhi samyak saṃpādaya /
36.14.[103]	he adite devamātastvamasmai śarma sukhaṃ yaccha dehi māteva jananī yathā /
36.14.[104]	he viśve devā yūyaṃ yathā jaradaṣṭirasat bhavati, tathā kuruta, jarāmaśnoti vyāpnoti jaradaṣṭiḥ, jarājarjaritaśarīramenaṃ kurutetyarthaḥ //
36.14.[105]	aśvinoḥ prāṇastau te prāṇaṃ dattāṃ tena jīva /
36.14.[106]	mitrāvaruṇayoḥ prāṇastau te prāṇaṃ dattāṃ tena jīva //
36.14.[107]	bṛhaspateḥ prāṇaḥ sa te prāṇaṃ dadātu tena jīva /
36.14.[108]	aśvināvatra devatā /
36.14.[109]	aśviprabhṛtibhirdattena prāṇena jīveti gatārtham //
36.14.[110]	aṅgādaṅgātsaṃbhavasi hṛdayādabhijāyase /
36.14.[111]	ātmā vai putranāmāsi jīva śaradaḥ śataṃ paśya śaradaḥ śatam //
36.14.[112]	sarvāṅgaparisrutarasasāravīryasaṃbhūtatvādaṅgādaṅgātsamyagbhavasi, hṛdayasaṃkalpitamanorathasaṃbhūtatvācca hṛdayādādhikyena jāyase /
36.14.[113]	vaiśabdo'vadhāraṇe /
36.14.[114]	kiṃ bahu brūmahe, ātmā vai putranāmāsi, tvaṃ maccharīreṇa saṃbhūtatvānmadīyameva mūrtyantaramasi putranāmāṅkitamupakāritaramityarthaḥ /
36.14.[115]	evaṃbhūtastvaṃ śaradāṃ śataṃ prāṇāndhāraya paśya ca paṭvindriyo bhava varṣaśatam /
36.14.[116]	evaṃ hi garbhādhānādi nāmakaraṇāntaṃ vyākhyātam /
36.14.[117]	anantaraṃ cūḍākarma sūtrakāreṇoktam /
36.14.[118]	smṛtiṣu hi niṣkramaṇānnaprāśane nāmakāraṇānantaramukte ‘tṛtīye māsi kartavyaṃ śiśorniṣkramaṇaṃ gṛhāt /’ ‘ṣaṣṭhe māsyannaprāśanaṃ kartavyam’ ityādinā, tena te'pi avaśyakartavye /
36.14.[119]	candradarśanaṃ cāto gṛhyāntarānusāreṇehāpi darśayati // 16 //
37.1-2.[1]	janmanaḥ prabhṛti māsadvaye vyatīte tṛtīyasya māsasya prathamārdhe'tīte ādityasya darśanaṃ bālaḥ kārayitavyaḥ /
37.1-2.[2]	tatreyamitikartavyatā /
37.1-2.[3]	puṇyadine jyotiḥśāstraśuddhe, parvaṇi vā sunakṣatrādiyogini darśanaṃ kārayitavya ityekasyaiva parvaṇa itaratithisamudāyena saha vikalpadarśanādutkarṣātiśayaḥ pratīyate /
37.1-2.[4]	udite evāditye rathacakraparimāṇaṃ sthaṇḍilamupalipya, gehāṅgane ādityaraśmyalaṅkṛte tatropalite pratiṣṭhāpya laukikamagniṃ yathoktamupasamādhāya upasamādhānamuddhatāvokṣaṇaparisamūhanaparyukṣaṇaparistaraṇapavitrakaraṇājyavilayanājyavīkṣaṇāgnyupasthānarūpaṃ kṛtvā, tato jayaprabhṛtibhirjayākārairāghārādājyabhāgāntairhutvā taraṇirviśvadarśata iti divo rukma iti udu tyamiti citraṃ devānāmiti catasṛbhirājyasya juhoti // 1 //
37.3.[1]	juhotītyanuṣajyate /
37.3.[2]	mitro janāniti pra sa mitreti ca dvābhyāṃ sthālīpākasya juhoti // 2 //
37.4.[1]	abhyāvartasvetyādinā mantreṇa kumāramabhimukhaṃ kṛtvā unnamayyānayati pitā gururvā // 3 //
37.5.[1]	draṣṭre nama upadraṣṭre nama ityādinā bālasya pitā ādityopasthānaṃ karoti bālaṃ sammukhaṃ kṛtvotsaṅge // 4 //
37.6.[1]	bahughṛtadadhyādiyuktaṃ haviṣmadannaṃ brāhmaṇānbhojayet //
37.6.[2]	taraṇirviśvadarśato jyotiṣkṛdasi sūrya /
37.6.[3]	viśvamābhāsi rocanam //
37.6.[4]	prajāpaterārṣamuttaratrāpi /
37.6.[5]	gāyatrī /
37.6.[6]	sūryo devatā /
37.6.[7]	he sūrya asi tvaṃ taraṇistārayati saṃsārasāgarāditi taraṇiḥ, tathā darśato draṣṭurviśvasya sarvasya jyotiṣkṛt prakāśakārī andhatamasasyāpasārakaḥ, viśvamābhāsi rocanaṃ yatkiṃcidrocanaṃ prakāśamānaṃ tadviśvaṃ samastaṃ tvamevābhāsi prajāpatirūpaḥ //
37.6.[8]	divo rukma urucakṣā udeti dūre arthastaraṇirbhrājamānaḥ /
37.6.[9]	nūnaṃ janāḥ sūryeṇa prasūtā ayannarthāni kṛṇavannapāṃsi //
37.6.[10]	ayamādityo dūre udeti dūraṃ gacchati ceṣṭate /
37.6.[11]	kutaḥ /
37.6.[12]	divaḥ antarikṣāt /
37.6.[13]	rukmaḥ ‘ruca dīptau’ dīptaḥ, suvarṇavarṇo vā /
37.6.[14]	urucakṣā bṛhaddarśanaḥ /
37.6.[15]	arthaḥ aryate prāpyate ardhyate vā mokṣārthibhirityartho brahmā /
37.6.[16]	taraṇirvyākhyātaḥ /
37.6.[17]	bhrājamāno dīpyamānaḥ /
37.6.[18]	jāyanta iti janāstrayo lokā nūnaṃ niścitaṃ kṛtvā sūryeṇa prasūtā janitā jagatāṃ prajāpativivartatvāt brahmapariṇāmatvādvā sūryasya ca brahmātmakatvāt /
37.6.[19]	ayaṃ hi sūryaḥ apāṃsyannāni āviṣkurvan vṛṣṭidvāreṇa arthāṃśca yāgadānādīn vegenāryamāṇānayanpravartayan divasakaraṇadvāreṇa dṛśyate /
37.6.[20]	‘udu tyaṃ’ ‘citraṃ devānāṃ’ ‘mitro janā’niti vyākhyātāḥ //
37.6.[21]	pra sa mitra marto astu prayasvānyasta āditya śikṣate vratena /
37.6.[22]	na hanyate na jīyate tvoto nainamaṃho aśnotyantito na dūrāt //
37.6.[23]	he mitra āditya yo marto martyastava vratena vrataṃ karma śikṣate, sa prayasvān annavān prāstu prakarṣeṇa bhavatu /
37.6.[24]	yaḥ tvotaḥ tvayā rakṣitaḥ, sa na kenaciddhanyate, na jīyate parābhūyate /
37.6.[25]	nāpyenamaṃhaḥ pāpamaśnoti vyāpnoti antitaḥ antikāt, nāpi dūrāt //
37.6.[26]	abhyāvartasva pṛthivi yajñena payasā saha /
37.6.[27]	vapāṃ te agniriṣito arohat //
37.6.[28]	he pṛthivi yajñena payasā ca saha abhyāvartasva mama sāmmukhyena āgaccha, prasannā bhūtvā māṃ payasvantaṃ yājñikaṃ ca sampādaya /
37.6.[29]	agniriṣitaḥ preṣitaḥ san te tava va sāraṃ vedimarohat ārohatu //
37.6.[30]	draṣṭre nama upadraṣṭre namo'nudraṣṭre namaḥ khyātre nama upakhyātre namo'nukhyātre namaḥ śṛṇvate nama upaśṛṇvate namaḥ sate namo'sate namo jātāya namo janiṣyamāṇāya namo bhūtāya namo bhaviṣyate namaścakṣuṣe namaḥ śrotrāya namo manase namo vāce namo brahmaṇe namaḥ śrāntāya namastapase namaḥ //
37.6.[31]	ghorāṇāmārṣam /
37.6.[32]	ādityaḥ stūyate parabrahmarūpatvātsarvamayatvena /
37.6.[33]	draṣṭā jīvātmā, upadraṣṭā antaryāmī /
37.6.[34]	tasmai ubhayātmane namaḥ /
37.6.[35]	vedādipramāṇena dṛṣṭaṃ dharmādikamanu paścādyogābhyāsena sphuṭaṃ paśyatītyanudraṣṭā yogyātmā, tasmai namaḥ /
37.6.[36]	khyātīti khyātā prakāśamānaḥ sarvo loko dharmirūpaḥ, upakhyātā dharmo rūpādiḥ, anukhyātā dharmādharmarūpādigataḥ /
37.6.[37]	śiṣṭaṃ spaṣṭam //
37.6.[38]	adṛśrannasya ketavo viraśmayo janāṁ anu /
37.6.[39]	bhrājanto agnayo yathā //
37.6.[40]	asya ādityasya ketavaḥ aśvā raśmayo vā adṛśran dṛśyante janānanu jāyamānāṁllakṣaṇīkṛtya /
37.6.[41]	viraśmayo vigatarajjavo bandhanaśūnyā ityarthaḥ /
37.6.[42]	bhrājanto dedīpyamānā agniprakhyāḥ //
38.1.[1]	evaṃśabdena rathacakraparimāṇasthaṇḍilopalepanāntasyātideśaḥ // 1 //
38.1.[2]	viśeṣamāha
38.2-5.[1]	navo nava ityanena mantreṇa candramasaḥ upasthānaṃ kartavyam /
38.2-5.[2]	prakāśa ādarśo dakṣiṇā dātavyā //
38.2-5.[3]	makṣūdhātā mātariśvā vacobhiścandro amṛtādvardhate jāyamānaḥ /
38.2-5.[4]	āyuḥ prajāmamṛtaṃ saubhagatvaṃ pra candramāstirate dīrghamāyuḥ //
