#Author:Keśava
#Text:Kauśikasūtrapaddhati
#Comments:Kauśikasūtra
#Data entry:Arlo Griffiths
#Notes:Markup complete.
#Todo:final formatting! “'” is used for marking quotations and avagraha.


1.1.1.[1]	athaśabda ānantaryārthaḥ /
5.10.30-32.[3]	atha devapitṛvarjitakhadāśayahitasyānnasya yājñikena karmaṇā bhavati taducyate
5.10.33-35.[1]	'yaddevā devaheḍanam' ityanuvākena khadāyā annāduddhṛtya setikāmekāṃ juhoti /
5.10.33-35.[2]	tantravikalpaḥ /
5.10.33-35.[3]	pratyṛcaṃ yavahomaḥ /
5.10.33-35.[4]	vaivasvatadevatākaṃ pākayajñamājyabhāgāntaṃ kṛtvā 'yaddevā devaheḍanam' ityanuvākena caruṃ juhoti /
5.10.33-35.[5]	khadāśayasya prāyaścittam /
5.10.33-35.[6]	pārvaṇādyuttaratantram /
5.10.33-35.[7]	yaddevā devaheḍanamityanuvākena khadānnaṃ catuḥśarāvaparimitamabhimantrya tato brāhmaṇāya dadāti /
5.10.33-35.[8]	khadāśayānnasaṃskāraśāntiḥ samāptā //
5.10.33-35.[9]	atha mṛte dhanika ṛṇikasyarṇadānaśāntirucyate
5.10.36.[1]	'apamityamapratīttam' iti tribhiḥ sūktairdravyamabhimantrya putrāya dadāti /
5.10.36.[2]	anṛṇo bhavati //
5.10.37.[1]	'apamityamapratīttam' iti tribhiḥ sūktairdravyamabhimantrya gotriṇe dadāti /
5.10.37.[2]	anṛṇo bhavati //
5.10.38.[1]	'apamityamapratīttam' iti tribhiḥ sūktaiḥ dravyamabhimantrya dhanikasya śmaśāne nikṣipati /
5.10.38.[2]	anṛṇo bhavati //
5.10.39.[1]	'apamityamapratīttam' iti tribhiḥ sūktairdravyamabhimantrya grāmacatuṣpathe nikṣipet /
5.10.39.[2]	anṛṇo bhavati //
5.10.40.[1]	'apamityamapratīttam' iti tribhiḥ sūktairdravyamabhimantryāgnau prajvalite prakṣipya tato'nṛṇo bhavati /
5.10.40.[2]	ṛṇadānaśāntiḥ samāptā //
5.10.40.[3]	ākāśodakena śarīrāplavane doṣo bhavati tasya śāntirucyate
5.10.41-42.[1]	'divo nu māṃ bṛhataḥ' iti sūktenodakamabhimantrya śarīraṃ prakṣālayati /
5.10.41-42.[2]	ākāśabindupatanadoṣo na bhavati /
5.10.41-42.[3]	'divo nu māṃ bṛhataḥ' iti sūktenaikatra tailaṃ sarvauṣadhiḥ gandhaṃ hiraṇyaṃ vāsa etānyabhimantrya śarīramudvartayet /
5.10.41-42.[4]	tataḥ śāntirbhavati /
5.10.41-42.[5]	ākāśabindudoṣopaśāntiḥ samāptā //
5.10.41-42.[6]	atha kumārasya kumāryā vā yasyottamadantau pūrvau jātau tatra mātāpitrormaraṇaśaṅkā bhavati tatra śāntirucyate
5.10.43.[1]	'yau vyāghrau' iti sūktena vrīhiñjuhoti /
5.10.43.[2]	'yau vyāghrau' iti sūktena yavāñjuhoti /
5.10.43.[3]	'yau vyāghrau' iti sūktena tilāñjuhoti /
5.10.43.[4]	tantravikalpaḥ /
5.10.43.[5]	sarvatra kramo nāsti //
5.10.44.[1]	'yau vyāghrau' iti sūktena vrīhiyavatilamāṣānekīkṛtvābhimantryottamajātadantābhyāṃ daṃśayati //
5.10.45-46.[1]	athājyabhāgāntaṃ kṛtvā vrīhiyavatilamāṣānekīkṛtya tataḥ śāntyudakaṃ kṛtvā sthālīpākaṃ śrapayitvā tato'bhyātānāni hutvā 'yau vyāghrau' iti sūktena sthālīpākaṃ sampātyābhimantrya tata uttamajātadantamāśayati /
5.10.45-46.[2]	mātāpitarau vāśayataḥ /
5.10.45-46.[3]	śāntyudakena sthālīpākasya śrapaṇam /
5.10.45-46.[4]	ājyabhāgānte sarvatra śāntyudakakriyā kartavyā /
5.10.45-46.[5]	abhyātānādyuttaratantram /
5.10.45-46.[6]	uttamadantajātadoṣaśāntiḥ samāptā //
5.10.45-46.[7]	atha śirasi aṅge vā kākopaviṣṭadoṣaḥ śrūyate tasya śāntirucyate
5.10.47.[1]	'idaṃ yatkṛṣṇaḥ' iti dvābhyāmṛgbhyāmudakamabhimantrya śarīraṃ prakṣālayati /
5.10.47.[2]	kākopaviṣṭadoṣo na bhavati /
5.10.47.[3]	snānaṃ vā karoti //
5.10.48.[1]	'idaṃ yatkṛṣṇaḥ' iti dvābhyāmṛgbhyāmulmukamabhimantrya kākamukhenopamṛṣṭaṃ puruṣaṃ paryagni karoti /
5.10.48.[2]	upari bhrāmayitvā dūre nikṣipati /
5.10.48.[3]	kākopaviṣṭadoṣaśāntiḥ samāptā //
5.10.48.[4]	atha saṃsargadoṣaśāntirucyate
5.10.49.[1]	barhirlavanādyājyatantra idhmasthāne'pāmārgedhmamupasamādhāya tato'bhyātānāntaṃ kṛtvā 'pratīcīnaphalaḥ' iti tisṛbhirṛgbhirapāmārgasamidha ādadhāti /
5.10.49.[2]	sarvatra prādeśamātrīḥ samidho bhavati /
5.10.49.[3]	abhyātānādyuttaratantram /
5.10.49.[4]	athavāpāmārgakāṣṭhaprajvalite'gnau 'pratīcīnaphalaḥ' iti tisṛbhirapāmārgasamidha ādadhāti /
5.10.49.[5]	hastahomatvāt tantravikalpaḥ /
5.10.49.[6]	sarveṣu rogeṣu śyāvadatā kunakhinā ṣaṇḍena jvareṇāpāmārgādi sarveṣu rogeṣu saṃsargeṣu sarvadoṣānmucyate /
5.10.49.[7]	saṃsarge doṣaśāntiḥ samāptā //
5.10.50.[1]	'yadarvācīnam' ityṛcodakamabhimantryācāmayati /
5.10.50.[2]	anṛtamuktvācamanaṃ karoti //
5.10.50.[3]	vaṇijyanṛtaṃ kṛtvācamanaṃ karoti /
5.10.50.[4]	anṛtadoṣo na bhavati /
5.10.50.[5]	anṛtavacanadoṣaśamanaśāntiḥ samāptā //
5.10.51.[1]	yatra kvacit khanati tatra sarvatra 'yatte bhūme' ityṛcā khanati gṛhanidhau vā sthūṇāgarte vā snānārthaṃ mṛttikāgrahaprakaraṇārthaṃ sarvatra mṛttikākhananaṃ vidhānena //
5.10.52.[1]	'yatta ūnam' ityṛcā gṛhādi pūrayati sarvatrānena vidhānena pūraṇam /
5.10.52.[2]	khanane khananadoṣo na bhavati /
5.10.52.[3]	pūraṇe pūraṇadoṣo na bhavati /
5.10.52.[4]	samāptā khananapūraṇaśāntiḥ //
5.10.52.[5]	atha śakunaśāntirucyate
5.10.53-54.[1]	'prehi pra hara vā dāvān' iti sūktena ṣaḍarcenāpaśabdaṃ śrutvā japati kapiñjalavāsitaṃ śrutvā grāme'raṇye pakṣivāsitaṃ śrutvā vā svayaṃ vā kruddhabhāṣaṇaṃ kṛtvānyasyāsadvacanaṃ śrutvā sāgovāse vā ulūkavāsane kapotavāsane pūrvato vottarato vā loke ninditaḥ /
5.10.53-54.[2]	yatkiñcillokaviruddhaṃ dṛṣṭvā śrutvā vā sarvatra japane svastyayanaṃ bhavati /
5.10.53-54.[3]	'prehi pra hara' iti sūktaṃ nityaṃ japati /
5.10.53-54.[4]	svastyayanakāmaḥ /
5.10.53-54.[5]	samāptaṃ nityajapasvastyayanam /
5.10.53-54.[6]	apaśakunajapastyayanaśāntiḥ samāptā //
5.10.55.[1]	ākāśe yaddhi svapiti araṇye vā gṛhe vā śūnye gṛhe vā parvate vā tadā 'yo abhyu babhruṇā' ityṛcaṃ japitvā svapiti /
5.10.55.[2]	rājasenā ākāśe svapiti araṇye tadedaṃ karma kuryāt /
5.10.55.[3]	naimittikānyavaśyaṃ kartavyāni /
5.10.55.[4]	akaraṇe dhanadhānyapaśvādivināśaḥ /
5.10.55.[5]	tasmānnityanaimittikāni kāryāṇi /
5.10.55.[6]	'jarāyuja iti durdinamāyan' ityādīni /
5.10.55.[7]	athādbhutāni varṣe yakṣaṣvādīni naimittikāni tānyavaśyaṃ kāryāṇi /
5.10.55.[8]	akaraṇe gṛhe grāme vā nagare vā janapade vā doṣa utpadyate /
5.10.55.[9]	medhājananagrāmasampadāsarvasampadāsāmmanasyavarcasyavijayarājakarmapauṣṭikastrīkarmasvastyayanāyuṣyakāmyādīni ijyāyāḥ pravṛttiḥ /
5.10.55.[10]	yadi kāmyecchā tadā tadā pravṛttiḥ /
5.10.55.[11]	athavā necchā tadā na prayuñjyāt /
5.10.55.[12]	nityāni jātakarmādīni /
5.10.55.[13]	nityānāṃ naimittikānāmakaraṇe pratyavāyo bhavati /
5.10.55.[14]	tathā coktam /
5.10.55.[15]	nityanaimittike kuryāt pratyavāyajighāṃsayā /
5.10.55.[16]	mantrakrameṇa naimittikānyuktāni saṃhitāvidhau //
5.10.55.[17]	mantravidhānaṃ kauśike /
5.10.55.[18]	brāhmaṇapāṭhatvāt samāptāni naimittikāni /
5.10.55.[19]	sarvajñānaprabodhārthaṃ vijñānaṃ proktavānṛṣiḥ /
5.10.55.[20]	duṣṭadoṣavināśāya naimittikāni pañcame //
5.10.55.[21]	daśamī kaṇḍikā //
6.1.0.[1]	atha kramaprāpto'tharvavedavihito'bhicāra ucyate /
6.1.0.[2]	mīmāṃsāyāmabhicāro niṣiddhaḥ /
6.1.0.[3]	'codanālakṣaṇo'rtho dharmaḥ' iti /
6.1.0.[4]	hiṃsācāraḥ pratiṣiddhaḥ /
6.1.0.[5]	punarupapāde'bhicāraḥ samarthitaḥ /
6.1.0.[6]	manusmṛtau ca vihito'bhicāro 'na brāhmaṇo vedayitā kadācit' ityādinā /
6.1.0.[7]	tasmāt śrutiratharvāṅgirasī kuryādabhicārakam iti /
6.1.0.[8]	doṣaśca śrūyate /
6.1.0.[9]	'ṣaṭsvabhicaran patati' iti manuḥ /
6.1.0.[10]	'pramāṇaṃ smṛtiḥ' ityuktaṃ mīmāṃsāyām /
6.1.0.[11]	tasmādvihito'bhicāraḥ kartavyaḥ //
6.1.1-2.[1]	āṅgirasakalpoktāḥ sambhārāḥ pratyetavyāḥ /
6.1.1-2.[2]	dakṣiṇasyāṃ diśi maṇḍapaṃ kuryāt /
6.1.1-2.[3]	kṛttikānakṣatre prayogaḥ kṛṣṇapakṣe vā rātrau nirodhi vā /
6.1.1-2.[4]	maṇḍapaṃ kārayettatra yathoktavidhinā guruḥ /
6.1.1-2.[5]	patākātoraṇairyuktaṃ dvāraṃ vā dakṣiṇaṃ smṛtam //
6.1.3.[1]	viṣamiśramiṅgiḍamājyam //
6.1.4-11.[1]	'tathā tadagne' ityādi smartavyaṃ sarvatra /
6.1.4-11.[2]	abhyātānāntaṃ kṛtvā 'dūṣyā dūṣirasi' iti sūktena tilakamaṇiṃ sampātyābhimantrya badhnāti /
6.1.4-11.[3]	kārayitā kartā sadasyāśca sarveṣāṃ bandhanamātmarakṣārtham //
6.1.4-11.[4]	adhunā dīkṣocyate
6.1.12.[1]	śuklapakṣe trayodaśyāṃ pūrvāhṇe'bhyātānāntaṃ kṛtvā 'dyāvāpṛthivī urvantarikṣam' iti sūktam /
6.1.12.[2]	'kanakarajata' iti sūktam /
6.1.12.[3]	dvābhyāṃ veṇudaṇḍaṃ vṛścati chinatti kartā //
6.1.13.[1]	'mṛtyoraham' ityṛcā bādhakīrādadhāti samidhaḥ //
6.1.14-15.[1]	'ya imāṃ devo mekhalām' iti pañcarcena sūktena mekhalāṃ sampātya /
6.1.14-15.[2]	'ayaṃ vajraḥ' iti tṛcena sūktena daṇḍaṃ sampātya 'ya imām' iti tṛcena mekhalāṃ badhnāti //
6.1.16.[1]	'vajro'si sapatnahā' iti tṛcena sūktena daṇḍaṃ gṛhṇāti /
6.1.16.[2]	'namo namaskṛdbhyaḥ' iti saptarṣibhya upasthānaṃ karoti śālāyā bahiḥ /
6.1.16.[3]	tataḥ śālāyāṃ praviśya tato vratādānīyāḥ samidha ādadhāti śāntāḥ /
6.1.16.[4]	vrataśrāvaṇaṃ tasmin karoti /
6.1.16.[5]	abhyātānādyuttaratantram /
6.1.16.[6]	dīkṣitastrirātramanaśanam /
6.1.16.[7]	trirātre nivṛtte kṛṣṇapakṣe pratipadi karma bhaviṣyati /
6.1.16.[8]	'namo namaskṛdbhyaḥ sumati prayuñje na me prasūta taṃ vadheyaṃ taṃ stṛṣīyānena brahmaṇānena karmaṇā nayāmenyā' ityupasthānamantraḥ /
6.1.16.[9]	'agne vratapate vrataṃ cariṣyāmi tacchakeyaṃ tatsamāpeyaṃ tasmin me ṛddhiḥ /
6.1.16.[10]	tasmai namastasmai svāhā' iti /
6.1.16.[11]	indra /
6.1.16.[12]	soma /
6.1.16.[13]	sūrya /
6.1.16.[14]	candra /
6.1.16.[15]	devā vratapatayaḥ /
6.1.16.[16]	āpo vratapatnyaḥ /
6.1.16.[17]	vratānāṃ vratapatayaḥ /
6.1.16.[18]	vratādānīyāḥ samidhamantrāḥ //
6.1.16.[19]	'kanakarajatakaredvasopā mārayiṣyāmi taṃ janam /
6.1.16.[20]	prajāṃ tasya paśūṃśca ete agne āvṛścāmyahan nyudito jane /
6.1.16.[21]	gṛhāṃśca tasya vināśanakāme kāmavānahaṃ' ca /
6.1.16.[22]	anvā vṛścāmi devebhya anvā vṛścāmyagnaye anvā pṛthivyai vṛścāmi anvā vṛścāmi mṛtyave //
6.1.16.[23]	āvṛkte asi devebhyo dṛṣṭvā oṣadhīṣu ca āvṛkta iti dve /
6.1.16.[24]	viṣṇo saṃ tvā vṛścāmi sarvataḥ //
6.1.16.[25]	'anvā vṛścāmi devamanuṣyebhyo bhūtaye /
6.1.16.[26]	anvā nirṛtyāḥ pāśebhyo vṛścāmi yathā mṛtyo na mocchiṣat' /
6.1.16.[27]	āṅgirasadaṇḍavṛścanasūktam //
6.1.17.[1]	pratidinaṃ bhaktaṃ gṛhītvā mekhalāyā granthimālimpati 'āhutāsyabhihuta' ityṛcā //
6.1.18-19.[1]	'ayaṃ vajraḥ' iti tisṛbhirṛgbhiḥ bāhyato daṇḍamardhamavāgagraṃ kṛtvānvṛcaṃ nihanti //
6.1.20-22.[1]	'yadaśnāmi', 'yad girāmi' iti dvābhyāmṛgbhyāṃ bhojanaṃ karoti /
6.1.20-22.[2]	'yatpibāmi' ityṛcodakaṃ pibati /
6.1.20-22.[3]	amuṣyasthāne śatrunāmagrahaṇamamuṃsthāne ca /
6.1.20-22.[4]	'phaḍḍhato mahumadaḥ' ityetena mantreṇa bhojanapātraṃ bhinatti /
6.1.20-22.[5]	ācamanaṃ kṛtvā /
6.1.20-22.[6]	'idamahaṃ mahumadasya turaṣkasya sūtikarṇaputrasya prāṇāpānāvapyāyacchāmi' ityanena mantreṇa mekhalāgranthiṃ badhnāti gāḍhaṃ karoti /
6.1.20-22.[7]	pratyahametat karma //
6.1.23.[1]	'ye'māvāsyām' iti sūktena sīsacūrṇāni kṛtvābhimantrya bhakte dadāti dveṣasya /
6.1.23.[2]	'ye'māvāsyām' iti sūktenālaṅkārān samālabhate dveṣasya //
6.1.24.[1]	'ye'māvāsyām' iti sūktena veṇuyaṣṭyālaṅkṛtayā śatrumāhanti /
6.1.24.[2]	bāhumātrā lohitaviṣamiśrā svayañchinnā yaṣṭisaṃskāraḥ //
6.1.25.[1]	'dyāvāpṛthivī uru' iti sūktena paraśuṃ vṛkṣapatraṃ ca gṛhītvā dakṣiṇā dhāvataḥ śatroḥ padaṃ rajaṃ chinatti //
6.1.26-27.[1]	tiraścīnaṃ triḥ koṇe ekaikam /
6.1.26-27.[2]	evamaṣṭavārān /
6.1.26-27.[3]	sūktāvṛttiḥ //
6.1.28.[1]	tasmācchedāt pāṃsūṃśca gṛhītvā badhakapatre baddhvā sūktenābhimantrya bhraṣṭe'bhyasyati kṣipati //
6.1.29.[1]	yadi sphoṭati dveṣyo mṛto jānīyāt /
6.1.29.[2]	athavā etatsarvaṃ pratikṛteḥ kartavyamiti //
6.1.29.[3]	abhicāratantramucyate dakṣiṇāmukhaḥ prayuṅkte /
6.1.29.[4]	'avyasaśca' barhirlavanam, vediḥ, uttaravediḥ, cāṇḍālāgnipraṇayanam, agnipratiṣṭhāpanam, 'mamāgne varcaḥ' iti vratagrahaṇam, idhmaprokṣaṇam, idhmopasamādhānam, brahmāsanaṃ paścimataḥ, brahmasthāpanam, śaramayaṃ barhiḥprokṣaṇam, prasavyaṃ staraṇam, stīrṇaprokṣaṇam prasavyamātmāsanasaṃskāraḥ, udapātrasthāpanam, lohamayasruvagrahaṇam, śākapātreṇemāmiṅgiḍaviṣamiśrājyaṃ saṃskṛtya grahagrahaṇe viśeṣaḥ /
6.1.29.[5]	'mahumadasya tvā prāṇāya gṛhṇe' ityādi pañcamagrahagrahaṇam /
6.1.29.[6]	'agne yatte tapaḥ' iti purastāddhomāḥ /
6.1.29.[7]	pañca sūktāni /
6.1.29.[8]	'tathā tadagne kṛṇu jātavedaḥ' iti ṛcāvājyabhāgau /
6.1.29.[9]	tato'bhyātānāntaṃ pūrvatantram /
6.1.29.[10]	ābhicārike tantre pūrvatantram /
6.1.29.[11]	athottaratantramucyate sviṣṭakṛdādyuttaratantram /
6.1.29.[12]	sarvatrābhicārakarmaṇi abhyātānāni hutvā tataḥ sviṣṭakṛdādyuttaratantram /
6.1.29.[13]	viṣṇukramā dvādaśa /
6.1.29.[14]	'niramuṃ nude' iti saṃsthitahomāḥ /
6.1.29.[15]	udapātre sampātā na bhavanti /
6.1.29.[16]	abhicāratantre sarvatrāsmin
6.1.30.[1]	dvādaśarātraṃ yāvat //
6.1.31.[1]	dakṣiṇāmukhaḥ saṃveśanaṃ karoti /
6.1.31.[2]	śayyāyā utthāya trirahnaḥ prātarmadhyandine sandhyāyāṃ codakaṃ haste kṛtvā dakṣiṇāmukhaḥ prakṣipati 'dyāvāpṛthivī' sūktena pratyṛcam //
6.1.32.[1]	tato nadyā anāmasampannāyā aśmānaṃ gṛhītvā dakṣiṇapradeśe praharati /
6.1.32.[2]	'dyāvāpṛthivī uru' iti sūktena pratyṛcam /
6.1.32.[3]	aśmānaṃ trikālaṃ praharati //
6.1.33.[1]	uṣṇodakamadhye'kṣatasaktūn prakṣipya pibet anāloḍitān ekocchvāsena //
6.1.34-36.[1]	trīṃstrīn muṣṭīn trirātraṃ dvau dvau dvirātram /
6.1.34-36.[2]	ekaikaṃ ṣaïrātraṃ bhuṅkte 'āhutāsyabhihuta' ityevamādi smartavyam //
6.1.37-38.[1]	trayodaśe'hani śayyāyā utthāyottaratantraṃ kṛtvā brāhmaṇān paricārakāṃśca kṣīraudanaṃ bhojayitvā pātrasthamucchiṣṭamekadhā kṛtvā 'dyāvāpṛthivī uru' iti sūktenābhimantrayet /
6.1.37-38.[2]	taṃ gṛhītvā bahumatsye garte prakṣipet /
6.1.37-38.[3]	yadi te dhāvanto dṛśyante tato dveṣyo mṛto jānīyāt /
6.1.37-38.[4]	ekaṃ karma //
6.1.37-38.[5]	ābhicārikaṃ pūrvatantraṃ kṛtvā "paścādagneḥ karṣvāṃ kūdyupastīrṇāyāṃ dvādaśarātramaparyāvartamānaḥ śayati /
6.1.37-38.[6]	tata utthāya trirahna" iti vartate //
6.1.37-38.[7]	nadyā anāmasampannāyā aśmānaṃ prāsyati pratyṛcam /
6.1.37-38.[8]	'dyāvāpṛthivī uru' iti sūktena trikālam /
6.1.37-38.[9]	uṣṇodakasaktūniti samānam //
6.1.39-40.[1]	'dyāvāpṛthivī' iti sūktena lohitaśirasaṃ kṛkalāsaṃ śatrornāmoccārya mārayitvā pretavat kṛtvābhimantrya dahati //
6.1.41.[1]	tataḥ 'agne yatte tapaḥ' iti pañcabhiḥ sūktairupatiṣṭhate /
6.1.41.[2]	anyaḥ kartā /
6.1.41.[3]	ekapādenordhvasthitaḥ //
6.1.42.[1]	ābhicārikaṃ tantraṃ kṛtvā 'dyāvāpṛthivī' iti sūktena kṛkalāsamaṣṭadhā kṛtvā pratyṛcaṃ juhoti /
6.1.42.[2]	abhyātānādyuttaratantram //
6.1.43.[1]	abhyātānāntaṃ kṛtvā paścādagneḥ śarabhṛṣṭīrnidhāyodagvrajatyā svedajananāt //
6.1.44.[1]	nivṛtya vedyāmupaveśya 'dyāvāpṛthivī' iti sūktena svedāktāḥ śarabhṛṣṭīḥ pratyṛcaṃ juhoti /
6.1.44.[2]	abhyātānādyuttaratantram //
6.1.45.[1]	abhyātānāntaṃ kṛtvā kṛkalāsasyoraḥśiro'vadhāya paścādagnernidhāyodagvrajatyā svedajananāt /
6.1.45.[2]	nivṛtya svedenālaṅkṛtya 'dyāvāpṛthivī' iti sūktena juhoti /
6.1.45.[3]	abhyātānādyuttaratantram /
6.1.45.[4]	tantraṃ kṛtvā śatrupādāt pāṃsūn gṛhītvā paścādagnernidhāyodagvrajatyā svedajananāt /
6.1.45.[5]	nivṛtya svedālaṅkṛtān pāṃsūn 'dyāvāpṛthivī' iti sūktena juhoti /
6.1.45.[6]	uttaratantram //
6.1.46-49.[1]	paścādagnerlavaṇamṛḍīcīstisro'śītīrvikarṇīḥ śarkarāṇāṃ kṛkalāsaśarīre'vadhāya viṣaṃ śirasi dattvā bādhakenāvāgagreṇa nītvā 'dyāvāpṛthivī' iti sūktenābhimantrya 'pāśe saḥ' iti pādena granthīnkośe badhnāti //
6.1.50-52.[1]	'atīva yaḥ' ityavajvālya tatra nidadhāti //
6.1.53.[1]	sañcitya loṣṭaṃ mṛttikopari nidadhāti /
6.1.53.[2]	'dyāvāpṛthivī' iti sūktena sruveṇa juhoti //
6.1.54.[1]	'dyāvāpṛthivī' iti sūktenāvalekhanīṃ hṛdaye vidhyatyasitālakāṇḍena //
6.1.55.[1]	'dyāvāpṛthivī' iti sūktena yaṣṭinā dveṣyasya chāyāmāhanti //
6.1.56.[1]	'dyāvāpṛthivī' iti sūktenodapātramabhimantrya ninayati //
6.1.57.[1]	'dyāvāpṛthivī' iti sūktenānvāha śatrumāraṇakāmaḥ //
6.1.57.[2]	ṣaṣṭhe'dhyāye prathamā kaṇḍikā //47 //
6.2.1.[1]	'bhrātṛvyarakṣaṇam' iti sūktena aśvatthasamidha ādadhāti /
6.2.1.[2]	'bhrātṛvyakṣayaṇam' iti sūktena bādhakasamidha ādadhāti /
6.2.1.[3]	'bhrātṛvyakṣayaṇam' ityeraṇḍasamidha ādadhāti /
6.2.1.[4]	'bhrātṛvyakṣayaṇam' iti śleṣmāntakasamidha ādadhāti /
6.2.1.[5]	'bhrātṛvyakṣayaṇam' iti khadirasamidha ādadhāti /
6.2.1.[6]	'bhrātṛvyakṣayaṇam' iti śarasamidha ādadhāti /
6.2.1.[7]	araṇyakarma //
6.2.2.[1]	grāmam etya /
6.2.2.[2]	'bhrātṛvyakṣayaṇam' iti sūktena kṛṣṇavrīhīnāvapati /
6.2.2.[3]	'bhrātṛvyakṣayaṇam' iti sūktena kṛṣṇayavānāvapati /
6.2.2.[4]	'bhrātṛvyakṣayaṇam' iti sūktena kṛṣṇatilānāvapati /
6.2.2.[5]	punarapi 'bhrātṛvyakṣayaṇam' iti sūktena vrīhīnāvapati /
6.2.2.[6]	'bhrātṛvyakṣayaṇam' iti sūktena yavānāvapati /
6.2.2.[7]	'bhrātṛvyakṣayaṇam' iti sūktena tilānāvapati /
6.2.2.[8]	evaṃ ṣaḍāvṛttiḥ sūktasya //
6.2.3.[1]	abhyātānāntaṃ kṛtvā 'pumān puṃsaḥ' iti sūktenābhihutālaṅkṛtamāśvatthamaṇiṃ sampātyābhimantrya badhnāti /
6.2.3.[2]	abhyātānādyuttaratantram /
6.2.3.[3]	sruvāgre daṇḍe bandhanamabhihutaṃ sampātitaṃ bhavati //
6.2.4.[1]	abhyātānāntaṃ kṛtvā 'pumān puṃsaḥ' iti sūktena yāvantaḥ sapatnāstāvataḥ pāśāniṅgiḍālaṅkṛtān sampātavato'bhimantrya śatrumarmaṇi nikhanati /
6.2.4.[2]	abhyātānādyuttaratantram //
6.2.5.[1]	abhyātānāntaṃ kṛtvā yāvantaḥ sapatnāstāvataḥ pāśāniṅgiḍālaṅkṛtān sampātavato'nūktān sasūtrān saptasu marmasu 'pumān puṃsaḥ' iti sūktena nikhanati /
6.2.5.[2]	tato'śvatthaśākhayā 'praiṇān nude manasā' ityṛcā 'nudasva kāma' ityṛcā praṇudati /
6.2.5.[3]	tata uttaratantram //
6.2.6.[1]	abhyātānāntaṃ kṛtvā yāvantaḥ sapatnāstāvataḥ pāśāniṅgiḍālaṅkṛtān sampātavato'nūktān sasūtrān sampātyābhimantrya 'pumān puṃsaḥ' iti tataḥ 'te'dharāñcaḥ' ityṛcodake plāvayati /
6.2.6.[2]	abhyātānādyuttaratantram //
6.2.7.[1]	'bṛhanneṣām' iti sūktena śatruṃ krośantamanvāha /
6.2.7.[2]	maraṇaṃ bhavati //
6.2.8.[1]	barhirlavanādi kṛtvā vaikaṅkatavṛkṣasyedhmopasamādhānam /
6.2.8.[2]	vaikaṅkatasravagrahaṇam /
6.2.8.[3]	abhyātānāntaṃ samānam /
6.2.8.[4]	'vaikaṅkatena' iti sūktena juhoti /
6.2.8.[5]	tata uttaratantram //
6.2.9.[1]	'dadirhi mahyam' iti sūktena kṛkalāsakarma /
6.2.9.[2]	śarabhṛṣṭikarma /
6.2.9.[3]	sapatnakṣayaṇīkarmāṇi ṣaṭ /
6.2.9.[4]	grāmametyāvapanakarmāṇi ṣaṭ /
6.2.9.[5]	maṇikarma /
6.2.9.[6]	pāśakarmāṇi trīṇi /
6.2.9.[7]	vaikaṅkatasruvakarma /
6.2.9.[8]	ekonaviṃśatitantrāṇi bhavanti /
6.2.9.[9]	'dadirhi mahyam' iti sūktena pradhānamavyayaṃ matsyādibrāhmaṇatarpaṇaparyantaṃ samānam //
6.2.10.[1]	'dadirhi mahyam' iti sūktena sarpacchatraṃ cūrayati //
6.2.11.[1]	'te'vadan' iti sūktena netṝṇāṃ padaṃ vṛścati /
6.2.11.[2]	vidhānena sūktāvṛttiḥ //
6.2.11.[3]	goharaṇe'bhicāraḥ
6.2.12.[1]	'te'vadan' iti sūktena caurānanvāha //
6.2.13.[1]	'naitāṃ te devāḥ' 'atimātram' iti sūktābhyām /
6.2.13.[2]	'śrameṇa tapasā' ityanuvākaḥ /
6.2.13.[3]	sadā goharaṇa - māraṇa - viśasanadohaneṣu kriyamāṇeṣu brahmagavīṃ japati //
6.2.14-17.[1]	'naitāṃ te' iti sūktābhyāṃ ceṣṭāṃ vicṛtati śmaśāna ūbadhye'śmānamavadhāya tatopari sthitaḥ /
6.2.14-17.[2]	'naitāṃ te' iti sūktābhyāṃ 'śrameṇa tapasā' ityanuvākaṃ japati //
6.2.18.[1]	triḥ 'amūn hanasva' iti vadati //
6.2.19-22.[1]	dvādaśarātraṃ yāvat /
6.2.19-22.[2]	aharahaḥ 'dadirhi' iti sūktena /
6.2.19-22.[3]	tataḥ dadhohani mṛto dveṣya iti jānīyāt /
6.2.19-22.[4]	na sandehaḥ /
6.2.19-22.[5]	ayaṃ bhavitavyam //
6.2.23.[1]	'upa prāgāt sahasrākṣaḥ' iti śvetamṛttikāmabhimantrya śune prayacchati //
6.2.24.[1]	tantraṃ kṛtvā 'upa prāgāt' iti sūktena palāśamaṇiṃ sampātyābhimantrya badhnāti /
6.2.24.[2]	tata uttaratantram //
6.2.25.[1]	tantraṃ kṛtvā 'upa prāgāt' iti sūktena iṅgiḍaṃ juhoti /
6.2.25.[2]	uttaratantram //
6.2.26.[1]	'upa prāgāt' iti sūktena samidha ādadhāti //
6.2.27-28.[1]	'idaṃ tadyuje' iti sūktenāhitāgnau yavādi nirvapati /
6.2.27-28.[2]	āhitāgnerabhicāraḥ /
6.2.27-28.[3]	'idaṃ tadyuje' iti sūktena madhyamapalāśaparṇena phalīkaraṇāñjuhoti /
6.2.27-28.[4]	'yat kiṃ cāsau manasā' iti pañcarcena sūktenāhitāgnau yavādi pratinirvapati /
6.2.27-28.[5]	'yat kiṃ cāsau' iti sūktena phalīkaraṇāñjuhoti //
