#Text:Gobhilagṛhyasūtra
#Edition:Knauer (DCS version)



1.1.1	athāto gṛhyakarmāṇy upadekṣyāmaḥ
3.7.15	savyaṃ bāhum anvāvṛtya camasadarvyāv abhyukṣya pratāpyaivaṃ dakṣiṇaivaṃ pratīcy evam udīcī yathāliṅgam avyāvartamānaḥ
3.7.16	śūrpeṇa śeṣam agnāv opyānatipraṇītasyārdhaṃ vrajati
3.7.17	paścād agner bhūmau nyañcau pāṇī pratiṣṭhāpya namaḥ pṛthivyā ity etaṃ mantraṃ japati
3.7.18	pradoṣe pāyasaścaruḥ
3.7.19	tasya juhuyācchravaṇāya viṣṇave 'gnaye prajāpataye viśvebhyo devebhyaḥ svāheti
3.7.20	sthālīpākāvṛtānyat
3.7.21	uttarato 'gner darbhastambaṃ samūlaṃ pratiṣṭhāpya somo rājety etaṃ mantraṃ japati yāṃ saṃdhāṃ sam adhatteti ca
3.7.22	śvas tato 'kṣatasaktūn kārayitvā nave pātre 'pidhāya nidadhāti
3.7.23	aharahas tūṣṇīṃ balīn haret sāyaṃ prāgghomād āgrahāyaṇyāḥ
3.8.1	āśvayujyāṃ paurṇamāsyāṃ pṛṣātake pāyasaś carū raudraḥ
3.8.2	tasya juhuyād ā no mitrāvaruṇeti prathamāṃ mā nas toka iti dvitīyām
3.8.3	gonāmabhiś ca pṛthak kāmyāsīty etatprabhṛtibhiḥ
3.8.4	sthālīpākāvṛtānyat
3.8.5	pṛṣātakaṃ pradakṣiṇam agniṃ paryāṇīya brāhmaṇān avekṣayitvā svayam avekṣeta tac cakṣur devahitaṃ purastācchukram uccarat paśyema śaradaḥ śataṃ jīvema śaradaḥ śatam iti
3.8.6	brāhmaṇān bhojayitvā svayaṃ bhuktvā jātuṣān maṇīn sarvauṣadhimiśrān ābadhnīran svastyayanārtham
3.8.7	sāyaṃ gāḥ pṛṣātakaṃ prāśayitvā sahavatsā vāsayeta
3.8.8	svasti hāsāṃ bhavati
3.8.9	navayajñe pāyasaś carur aindrāgnaḥ
3.8.10	tasya mukhyāṃ havirāhutiṃ hutvā catasṛbhir ājyāhutibhir abhijuhoti śatāyudhāyetyetatprabhṛtibhiḥ
3.8.11	sthālīpākāvṛtānyat
3.8.12	havirucchiṣṭaśeṣaṃ prāśayed yāvanta upetāḥ syuḥ
3.8.13	sakṛd apām upastīrya dviś caror avadyati
3.8.14	trir bhṛgūṇām
3.8.15	apāṃ caivopariṣṭāt
3.8.16	asaṃsvādaṃ nigired bhadrān naḥ śreya iti
3.8.17	evaṃ triḥ
3.8.18	tūṣṇīṃ caturtham
3.8.19	bhūya evāvadāya
3.8.20	kāmaṃ tatra saṃsvādayeran
3.8.21	ācāntodakāḥ pratyabhimṛśeran mukhaṃ śiro 'ṅgānīty anulomam amo 'sīti
3.8.22	etayaivāvṛtā śyāmākayavānām
3.8.23	agniḥ prāśnātu prathama iti śyāmākānām
3.8.24	etam u tyaṃ madhunā saṃyutaṃ yavam iti yavānām
3.9.1	āgrahāyaṇyāṃ baliharaṇam
3.9.2	tat śrāvaṇenaiva vyākhyātam
3.9.3	namaḥ pṛthivyā ity etaṃ mantraṃ na japati
3.9.4	atha pūrvāhṇa eva prātarāhutiṃ hutvā darbhān śamīṃ vīraṇāṃ phalavatīm apāmārgaṃ śirīṣam ity etāny āhārayitvā tūṣṇīm akṣatasaktūnām agnau kṛtvā brāhmaṇān svastivācyaitaiḥ sambhāraiḥ pradakṣiṇam agnyāgārāt prabhṛti dhūmaṃ śātayan gṛhān anuparīyāt
3.9.5	utsṛjet kṛtārthān sambhārān
3.9.6	jātaśilāsu maṇikaṃ pratiṣṭhāpayati vāstoṣpata ity etena dvikena sarcena
3.9.7	dvāv udakumbhau maṇika āsiñcet sam anyā yantīty etayarcā
3.9.8	pradoṣe pāyasaś caruḥ
3.9.9	tasya juhuyāt prathamā ha vy uvāsa seti
3.9.10	sthālīpākāvṛtānyat
3.9.11	paścād agner barhiṣi nyañcau pāṇī pratiṣṭhāpya prati kṣatra ity etā vyāhṛtīr japati
3.9.12	paścād agneḥ svastaram āstārayet
3.9.13	udagagrais tṛṇaiḥ
3.9.14	udakpravaṇam
3.9.15	tasminn ahatāny āstaraṇāny āstīrya dakṣiṇato gṛhapatir upaviśati
3.9.16	anantarā avare yathājyeṣṭham
3.9.17	anantarāś ca bhāryāḥ sajātāḥ
3.9.18	samupaviṣṭeṣu gṛhapatiḥ svastare nyañcau pāṇī pratiṣṭhāpya syonā pṛthivi no bhavety etām ṛcaṃ japati
3.9.19	samāptāyāṃ saṃviśanti dakṣiṇaiḥ pārśvaiḥ
3.9.20	evaṃ trir abhyātmam āvṛtya
3.9.21	svastyayanāni prayujya yathājñānam
3.9.22	ariṣṭaṃ sāmasaṃyogam eke
3.9.23	apa upaspṛśya yathārtham
3.10.1	aṣṭakā rātridevatā
3.10.2	puṣṭikarma
3.10.3	āgneyī pitryā vā prājāpatyartudevatā vaiśvadevīti devatāvicārāḥ
3.10.4	caturaṣṭako hemantaḥ
3.10.5	tāḥ sarvāḥ samāṃsāś cikīrṣet
3.10.6	iti kautsaḥ
3.10.7	tryaṣṭaka ity audgāhamāniḥ
3.10.8	tathā gautamavārkakhaṇḍī
3.10.9	yordhvam āgrahāyaṇyās tāmisrāṣṭamī tām apūpāṣṭakety ācakṣate
3.10.10	sthālīpākāvṛtā taṇḍulān upaskṛtya caruṃ śrapayati
3.10.11	aṣṭau cāpūpān kapāle 'parivartayan
3.10.12	ekakapālān
3.10.13	amantrān ity audgāhamāniḥ
3.10.14	traiyambakapramāṇān
3.10.15	śṛtān abhighāryodagudvāsya pratyabhighārayet
3.10.16	sthālīpākāvṛtāvadāya caroś cāpūpānāṃ cāṣṭakāyai svāheti juhoti
3.10.17	sthālīpākāvṛtānyat
3.10.18	taiṣyā ūrdhvam aṣṭamyāṃ gauḥ
3.10.19	tāṃ sandhivelāsamīpaṃ purastād agner avasthāpyopasthitāyāṃ juhuyād yat paśavaḥ pra dhyāyateti
3.10.20	hutvā cānumantrayetānu tvā mātā manyatām iti
3.10.21	yavamatībhir adbhiḥ prokṣed aṣṭakāyai tvā juṣṭāṃ prokṣāmīti
3.10.22	ulmukena pariharet pari vājapatiḥ kavir iti
3.10.23	apaḥ pānāya dadyāt
3.10.24	pītaśeṣam adhastāt paśor avasiñced āttam devebhyo havir iti
3.10.25	athainām udag utsṛpya saṃjñapayanti
3.10.26	prākśirasam udakpadīṃ devadevatye
3.10.27	dakṣiṇāśirasaṃ pratyakpadīṃ pitṛdevatye
3.10.28	saṃjñaptāyāṃ juhuyād yat paśur māyum akṛteti
3.10.29	patnī codakam ādāya paśoḥ sarvāṇi srotāṃsi prakṣālayet
3.10.30	agreṇa nābhiṃ pavitre antardhāyānulomam ākṛtya vapām uddharanti
3.10.31	tāṃ śākhāviśākhayoḥ kāṣṭhayor avasajyābhyukṣya śrapayet
3.10.32	praścyutitāyāṃ viśasateti brūyāt
3.10.33	yathā na prāg agner bhūmiṃ śoṇitaṃ gacchet
3.10.34	śṛtām abhighāryodag udvāsya pratyabhighārayet
3.10.35	sthālīpākāvṛtā vapām avadāya sviṣṭakṛdāvṛtā vāṣṭakāyai svāheti juhoti
3.10.36	sthālīpākāvṛtānyat sthālīpākāvṛtānyat
4.1.1	anupraharati vapāśrapaṇyau
4.1.2	prācīm ekaśūlāṃ pratīcīm itarām
4.1.3	avadyanty avadānāni sarvāṅgebhyaḥ
4.1.4	anyatra vāmāc ca sakthnaḥ klomnaś ca
4.1.5	vāmaṃ sakthy anvaṣṭakyāya nidadhyāt
4.1.6	tasminn evāgnau śrapayaty odanacaruṃ ca māṃsacaruṃ ca pṛthaṅ mekṣaṇābhyāṃ pradakṣiṇam udāyuvan
4.1.7	śṛtāvabhighāryodagudvāsya pratyabhighārayet
4.1.8	kaṃse rasam avāsicya
4.1.9	plakṣaśākhāvati prastare 'vadānāni kṛtvā
4.1.10	sthālīpākāvṛtāvadānānāṃ kaṃse 'vadyati
4.1.11	sviṣṭakṛtaś ca pṛthak
4.1.12	caror uddhṛtya bilvamātram avadānaiḥ saha yūṣeṇa saṃnayet
4.1.13	caturgṛhītaṃ ājyaṃ gṛhītvāṣṭarcaprathamayā juhuyād agnāvagnir iti
4.1.14	saṃnītāt tṛtīyamātram avadāya dvitīyātṛtīyābhyāṃ juhoti
4.1.15	uttarasyāṃ svāhākāraṃ dadhāti
4.1.16	evam evāvare caturthīpañcamībhyāṃ ṣaṣṭhīsaptamībhyāṃ ca
4.1.17	śeṣam avadāya sauviṣṭakṛtam aṣṭamyā juhuyāt
4.1.18	yady u vā alpasambhāratamaḥ syād api paśunaiva kurvīta
4.1.19	api vā sthālīpākaṃ kurvīta
4.1.20	api vā gor grāsam āharet
4.1.21	api vāraṇye kakṣam upadhāya brūyād eṣā me 'ṣṭaketi
4.1.22	na tv eva na kurvīta na tv eva na kurvīta
4.2.1	śvas tato 'nvaṣṭakyam
4.2.2	aparaśvo vā
4.2.3	dakṣiṇapūrve 'ṣṭamadeśe parivārayanti
4.2.4	tathāyatam
4.2.5	tathāmukhaiḥ kṛtyam
4.2.6	caturavarārdhyān prakramān
4.2.7	paścād upasaṃcāraḥ
4.2.8	uttarārdhe parivṛtasya lakṣaṇaṃ kṛtvāgniṃ praṇayanti
4.2.9	paścād agner ulūkhalaṃ dṛṃhayitvā sakṛtsaṃgṛhītaṃ vrīhimuṣṭim avahanti savyottarābhyāṃ pāṇibhyām
4.2.10	yadā vituṣāḥ syuḥ
4.2.11	sakṛd eva suphalīkṛtān kurvīta
4.2.12	athāmuṣmāc ca sakthno māṃsapeśīm avakṛtya navāyāṃ sūnāyām aṇuśaś chedayet
4.2.13	yathā māṃsābhighārāḥ piṇḍā bhaviṣyantīti
4.2.14	tasminn evāgnau śrapayaty odanacaruṃ ca māṃsacaruṃ ca pṛthaṅ mekṣaṇābhyāṃ prasavyam udāyuvan
4.2.15	śṛtāv abhighārya dakṣiṇodvāsya na pratyabhighārayet
4.2.16	dakṣiṇārdhe parivṛtasya tisraḥ karṣūḥ khanayet pūrvopakramāḥ
4.2.17	prādeśāyāmāś caturaṅgulapṛthvīs tathāvakhātāḥ
4.2.18	pūrvasyāḥ karṣvāḥ purastāl lakṣaṇaṃ kṛtvāgniṃ praṇayanti
4.2.19	apareṇa karṣūḥ paryāhṛtya lakṣaṇe nidadhyāt
4.2.20	sakṛdācchinnaṃ darbhamuṣṭiṃ stṛṇoti
4.2.21	karṣūś ca
4.2.22	pūrvopakramāḥ
4.2.23	paścāt karṣūṇāṃ svastaram āstārayet
4.2.24	dakṣiṇāgraiḥ kuśaiḥ
4.2.25	dakṣiṇāpravaṇam
4.2.26	bṛsīṃ copadadhyāt
4.2.27	tatrāsmā āharanty ekaikaśaḥ savyaṃ bāhum anu
4.2.28	carusthālyau mekṣaṇe kaṃsaṃ darvīm udakam iti
4.2.29	patnī barhiṣi śilāṃ nidhāya sthagaraṃ pinaṣṭi
4.2.30	tasyāṃ caivāñjanaṃ nighṛṣya tisro darbhapiñjūlīr añjati savyantarāḥ
4.2.31	tailaṃ copakalpayet
4.2.32	kṣaumadaśāṃ ca
4.2.33	śucau deśe brāhmaṇān anindyān ayugmān udaṅmukhān upaveśya
4.2.34	darbhān pradāya
4.2.35	udakapūrvaṃ tilodakaṃ dadāti pitur nāma gṛhītvāsāv etat te tilodakaṃ ye cātra tvānu yāṃś ca tvam anu tasmai te svadheti
4.2.36	apa upaspṛśyaivam evetarayoḥ
4.2.37	tathā gandhān
4.2.38	agnau kariṣyāmīty āmantraṇaṃ hoṣyataḥ
4.2.39	kurv ity ukte kaṃse carū samavadāya mekṣaṇenopaghātaṃ juhuyāt svāhā somāya pitṛmata iti pūrvāṃ svāhāgnaye kavyavāhanāyety uttarām
4.3.1	ata ūrdhvaṃ prācīnāvītinā vāgyatena kṛtyam
4.3.2	savyena pāṇinā darbhapiñjūlīṃ gṛhītvā dakṣiṇāgrāṃ lekhāṃ ullikhed apahatā asurā iti
4.3.3	savyenaiva pāṇinolmukaṃ gṛhītvā dakṣiṇārdhe karṣūṇāṃ nidadhyād ye rūpāṇi pratimuñcamānā iti
4.3.4	atha pitṝn āvāhayaty eta pitaraḥ somyāsa iti
4.3.5	athodapātrān karṣūṣu nidadhyāt
4.3.6	savyenaiva pāṇinodapātraṃ gṛhītvāvasalavi pūrvasyāṃ karṣvāṃ darbheṣu ninayet pitur nāma gṛhītvāsāv avanenikṣva ye cātra tvānu yāṃś ca tvam anu tasmai te svadheti
4.3.7	apa upaspṛśyaivam evetarayoḥ
4.3.8	savyenaiva pāṇinā darvīṃ gṛhītvā saṃnītāt tṛtīyamātram avadāyāvasalavi pūrvasyāṃ karṣvāṃ darbheṣu nidadhyāt pitur nāma gṛhītvāsāv eṣa te piṇḍo ye cātra tvānu yāṃś ca tvam anu tasmai te svadheti
4.3.9	apa upaspṛśyaivam evetarayoḥ
4.3.10	yadi nāmāni na vidyāt svadhā pitṛbhyaḥ pṛthivīṣadbhya iti prathamaṃ piṇḍaṃ nidadhyāt svadhā pitṛbhyo 'ntarīkṣasadbhya iti dvitīyaṃ svadhā pitṛbhyo diviṣadbhya iti tṛtīyam
4.3.11	nidhāya japaty atra pitaro mādayadhvaṃ yathābhāgam āvṛṣāyadhvam iti
4.3.12	apaparyāvṛtya purocchvāsād abhiparyāvartamāno japed amī madanta pitaro yathābhāgam āvṛṣāyiṣateti
4.3.13	savyenaiva pāṇinā darbhapiñjūlīṃ gṛhītvāvasalavi pūrvasyāṃ karṣvāṃ piṇḍe nidadhyāt pitur nāma gṛhītvāsāvetat ta āñjanaṃ ye cātra tvānu yāṃś ca tvam anu tasmai te svadheti
4.3.14	apa upaspṛśyaivam evetarayoḥ
4.3.15	tathā tailam
4.3.16	tathā surabhi
4.3.17	atha nihnute
4.3.18	pūrvasyāṃ karṣvāṃ dakṣiṇottānau pāṇī kṛtvā namo vaḥ pitaro jīvāya namo vaḥ pitaraḥ śūṣāyeti
4.3.19	madhyamāyāṃ savyottānau namo vaḥ pitaro ghorāya namo vaḥ pitaro rasāyeti
4.3.20	uttamāyāṃ dakṣiṇottānau namo vaḥ pitaraḥ svadhāyai namo vaḥ pitaro manyava iti
4.3.21	athāñjalikṛto japati namo vaḥ pitaraḥ pitaro namo va iti
4.3.22	gṛhān avekṣate gṛhān naḥ pitaro datteti
4.3.23	piṇḍān avekṣate sado vaḥ pitaro deṣmeti
4.3.24	savyenaiva pāṇinā sūtratantuṃ gṛhītvāvasalavi pūrvasyāṃ karṣvāṃ piṇḍe nidadhyāt pitur nāma gṛhītvāsāvetat te vāso ye cātra tvānu yāṃś ca tvam anu tasmai te svadheti
4.3.25	apa upaspṛśyaivam evetarayoḥ
4.3.26	savyenaiva pāṇinodapātraṃ gṛhītvāvasalavi piṇḍān pariṣiñced ūrjaṃ vahantīr iti
4.3.27	madhyamaṃ piṇḍaṃ patnī putrakāmā prāśnīyād ādhatta pitaro garbham iti
4.3.28	yo vā teṣāṃ brāhmaṇānām ucchiṣṭabhāk syāt
4.3.29	abhūn no dūto haviṣo jātavedā ity ulmukam adbhir abhyukṣya
4.3.30	dvandvaṃ pātrāṇi prakṣālya pratyatihārayet
4.3.31	apsu piṇḍān sādayet
4.3.32	praṇīte vāgnau
4.3.33	brāhmaṇaṃ vā bhojayet
4.3.34	gave vā dadyāt
4.3.35	vṛddhipūrteṣu yugmān āśayet
4.3.36	pradakṣiṇam upacāraḥ
4.3.37	yavais tilārthaḥ
4.4.1	anvaṣṭakyasthālīpākena piṇḍapitṛyajño vyākhyātaḥ
4.4.2	amāvāsyāyāṃ tat śrāddham
4.4.3	itarad anvāhāryam
4.4.4	māsīnam
4.4.5	dakṣiṇāgnau haviṣaḥ saṃskaraṇam
4.4.6	tataś caivātipraṇayaḥ
4.4.7	śālāgnāvanāhitāgneḥ
4.4.8	ekā karṣūḥ
4.4.9	tasyā dakṣiṇato 'gneḥ sthānam
4.4.10	nātrolmukanidhānam
4.4.11	na svastaraḥ
4.4.12	nāñjanābhyañjane
4.4.13	na surabhi
4.4.14	na nihnavanam
4.4.15	udapātrāntaḥ
4.4.16	vāsas tu nidadhyāt
4.4.17	māghyā ūrdhvam aṣṭamyāṃ sthālīpākaḥ
4.4.18	tasya juhuyāt
4.4.19	aṣṭakāyai svāheti juhoti
4.4.20	sthālīpākāvṛtānyat
4.4.21	śākaṃ vyañjanam anvāhārye
4.4.22	atha pitṛdevatyeṣu paśuṣu vaha vapāṃ jātavedaḥ pitṛbhya iti vapāṃ juhuyāt
4.4.23	devadevatyeṣu jātavedo vapayā gaccha devān iti
4.4.24	anājñāteṣu tathādeśaṃ yathāṣṭakāyai svāheti juhoti
4.4.25	sthālīpākāvṛtānyat
4.4.26	ṛṇe prajñāyamāne golakānāṃ madhyamaparṇena juhuyād yat kusīdam iti
4.4.27	athāto halābhiyogaḥ
4.4.28	puṇye nakṣatre sthālīpākaṃ śrapayitvaitābhyo devatābhyo juhuyād indrāya marudbhyaḥ parjanyāyāśanyai bhagāya
4.4.29	sītām āśām araḍām anaghāṃ ca yajeta
4.4.30	etā eva devatāḥ sītāyajñakhalayajñapravapaṇapralavanaparyayaṇeṣu
4.4.31	ākhurājaṃ cotkareṣu yajeta
4.4.32	indrāṇyāḥ sthālīpākaḥ
4.4.33	tasya juhuyād ekāṣṭakā tapasā tapyamāneti
4.4.34	sthālīpākāvṛtānyat sthālīpākāvṛtānyat
4.5.1	kāmyeṣv ata ūrdhvam
4.5.2	pūrveṣu caike
4.5.3	paścād agner bhūmau nyañcau pāṇī pratiṣṭhāpyedaṃ bhūmer bhajāmaha iti
4.5.4	vasvantaṃ rātrau dhanam iti divā
4.5.5	imaṃ stomam iti tṛcena parisamūhet
4.5.6	vairūpākṣaḥ purastāddhomānām
4.5.7	kāmyeṣu ca prapadaḥ
4.5.8	tapaś ca tejaś ceti japitvā prāṇāyāmam āyamyārthamanā vairūpākṣam ārabhyocchvaset
4.5.9	kāmyeṣu trirātrābhojanam
4.5.10	trīṇi vā bhaktāni
4.5.11	nityaprayuktānāṃ tu prathamaprayogeṣu
4.5.12	upoṣya tu yajanīyaprayogeṣu
4.5.13	upariṣṭāddaikṣaṃ sānnipātikam
4.5.14	araṇye prapadaṃ prayuñjīta darbheṣv āsīnaḥ
4.5.15	prāktūleṣu brahmavarcasakāmaḥ
4.5.16	udaktūleṣu putrapaśukāmaḥ
4.5.17	ubhayeṣūbhayakāmaḥ
4.5.18	paśusvastyayanakāmo vrīhiyavahomaṃ prayuñjīta sahasrabāhur gaupatya iti
4.5.19	kautomatena mahāvṛkṣaphalāni parijapya prayacchet
4.5.20	yasyātmani prasādam icchet tasmai
4.5.21	ekabhūyāṃsy ātmano yugmāni kuryāt
4.5.22	vṛkṣa iveti pañcarcaḥ
4.5.23	tasmin prathamaṃ pārthivaṃ karma
4.5.24	ardhamāsam abhuktvā
4.5.25	aśaktau vā peyām anyataraṃ kālam
4.5.26	yatrātmānaṃ paripaśyet
4.5.27	etad vratam ardhamāsavrateṣu
4.5.28	paurṇamāsyāṃ rātrāv avidāsini hrade nābhimātram avagāhyākṣatataṇḍulān ṛganteṣv āsyena juhuyāt svāhety udake
4.5.29	athāparam
4.5.30	prathamayādityam upatiṣṭheta bhogakāmo 'rthapaticakṣurviṣaye sidhyaty arthaḥ
4.5.31	dvitīyayāditye pariviṣyamāṇe 'kṣatataṇḍulān juhuyād bṛhatpattrasvastyayanakāmaḥ
4.5.32	tṛtīyayā candramasi tilataṇḍulān kṣudrapaśusvastyayanakāmaḥ
4.5.33	caturthyādityam upasthāyārthān pratipadyeta svasty arthavān āgacchati
4.5.34	pañcamyādityam upasthāya gṛhān prapadyeta svasti gṛhān āgacchati svasti gṛhān āgacchati
4.6.1	bhūr ity anakāmamāraṃ nityaṃ prayuñjīta
4.6.2	na pāparogān nābhicaraṇād bhayam
4.6.3	alakṣmīnirṇodaḥ
4.6.4	yajanīyaprayogaḥ
4.6.5	mūrdhno 'dhi ma ity ekaikayā
4.6.6	yā tiraścīti saptamī
4.6.7	vāmadevyarcaḥ
4.6.8	mahāvyāhṛtayaḥ
4.6.9	prajāpata ity uttamā
4.6.10	yaśo 'haṃ bhavāmīti yaśaskāma ādityam upatiṣṭheta pūrvāhṇamadhyandināparāhṇeṣu
4.6.11	prātarahṇasyeti saṃnāmayan
4.6.12	sandhivelayor upasthānaṃ svastyayanam āditya nāvam ity udyantaṃ tvādityānūdiyāsam iti pūrvāhṇe pratitiṣṭhantaṃ tvādityānupratitiṣṭhāsam ity aparāhṇe
4.6.13	ācitaśatakāmo 'rdhamāsavratas tāmisrādau vrīhikāṃsaudanaṃ brāhmaṇān bhojayitvā
4.6.14	tasya kaṇān aparāsu sandhivelāsu pratyaṅ grāmān niṣkramya catuṣpathe 'gnim upasamādhāyādityam abhimukho juhuyād bhalāya svāhā bhallāya svāheti
4.6.15	etayaivāvṛtāparau tāmisrau
4.6.16	tāmisrāntareṣu brahmacārī syād ā samāpanād ā samāpanāt
4.7.1	avasānaṃ joṣayeta
4.7.2	samaṃ lomaśam avibhraṃśi
4.7.3	prācya udīcyo vā yatrāpaḥ pravarteran
4.7.4	akṣīriṇyo 'kaṇṭakā akaṭukā yatrauṣadhayaḥ syuḥ
4.7.5	gaurapāṃsu brāhmaṇasya
4.7.6	lohitapāṃsu kṣatriyasya
4.7.7	kṛṣṇapāṃsu vaiśyasya
4.7.8	sthirāghātam ekavarṇam aśuṣkam anūṣaram amaruparihitam akilinam
4.7.9	darbhasaṃmitaṃ brahmavarcasakāmasya
4.7.10	bṛhattṛṇair balakāmasya
4.7.11	mṛdutṛṇaiḥ paśukāmasya
4.7.12	śādāsaṃmitam
4.7.13	maṇḍaladvīpasaṃmitaṃ vā
4.7.14	yatra vā śvabhrāḥ svayaṃkhātāḥ sarvato 'bhimukhāḥ syuḥ
4.7.15	tatrāvasānaṃ prāgdvāraṃ yaśaskāmo balakāmaḥ kurvīta
4.7.16	udagdvāraṃ putrapaśukāmaḥ
4.7.17	dakṣiṇādvāraṃ sarvakāmaḥ
4.7.18	na pratyagdvāraṃ kurvīta
4.7.19	anudvāraṃ ca
4.7.20	gṛhadvāram
4.7.21	yathā na saṃlokī syāt
4.7.22	varjayet pūrvato 'śvatthaṃ plakṣaṃ dakṣiṇatas tathā nyagrodham aparād deśād uttarāccāpy udumbaram
4.7.23	aśvatthād agnibhayaṃ ca plakṣād brūyāt pramāyukān nyagrodhācchastrasaṃpīḍām akṣyāmayam udumbarāt
4.7.24	ādityadevato 'śvatthaḥ plakṣaś ca yamadevataḥ nyagrodho vāruṇo vṛkṣaḥ prājāpatya udumbaraḥ
4.7.25	tān asvasthānasthān kurvīta
4.7.26	etāś caiva devatā abhiyajet
4.7.27	madhye 'gnim upasamādhāya kṛṣṇayā gavā yajeta
4.7.28	ajena vā śvetena
4.7.29	sapāyasābhyām
4.7.30	pāyasena vā
4.7.31	vasām ājyaṃ māṃsaṃ pāyasam iti saṃyūya
4.7.32	aṣṭagṛhītaṃ gṛhītvā juhuyāt
4.7.33	vāstoṣpata iti prathamā
4.7.34	vāmadevyarcaḥ
4.7.35	mahāvyāhṛtayaḥ
4.7.36	prajāpataya ity uttamā
4.7.37	hutvā daśa balīn haret
4.7.38	pradakṣiṇaṃ pratidiśam
4.7.39	avāntaradeśeṣu
4.7.40	ānupūrvyeṇāvyatiharan
4.7.41	indrāyeti purastād vāyava ity avāntaradeśe yamāyeti dakṣiṇataḥ pitṛbhya ity avāntaradeśe varuṇāyeti paścānmahārājāyety avāntaradeśe somāyety uttarato mahendrāyety avāntaradeśe vāsukaya ity adhastād ūrdhvaṃ namo brahmaṇa iti divi
4.7.42	prācyūrdhvāvācībhyo 'harahar nityaprayogaḥ
4.7.43	saṃvatsare saṃvatsare navayajñayor vā
4.8.1	śravaṇāgrahāyaṇīkarmaṇor akṣatāñchiṣṭvā
4.8.2	prāṅ vodaṅ vā grāmān niṣkramya catuṣpathe 'gnim upasamādhāya haye rāka ity ekaikayāñjalinā juhuyāt
4.8.3	prāṅ utkramya vasuvana edhīty ūrdhvam udīkṣamāṇo devajanebhyaḥ
4.8.4	tiryaṅṅ itarajanebhyo 'rvāṅ avekṣamāṇaḥ
4.8.5	anapekṣamāṇaḥ pratyetyākṣatān prāśnīyād upetair amātyaiḥ saha
4.8.6	svastyayanam
4.8.7	vaśaṃgamau śaṅkhaś ceti pṛthagāhutī vrīhiyavahomau prayuñjīta
4.8.8	yasyātmani prasādam icchet tasmai
4.8.9	nityaprayogaḥ
4.8.10	ekākṣaryāyām ardhamāsavrate dve karmaṇī
4.8.11	paurṇamāsyāṃ rātrau khadiraśaṅkuśataṃ juhuyād āyuḥkāmaḥ
4.8.12	āyasān vadhakāmaḥ
4.8.13	athāparam
4.8.14	prāṅ vodaṅ vā grāmān niṣkramya catuṣpathe parvate vāraṇyair gomayaiḥ sthaṇḍilaṃ pratāpyāpohyāṅgārān mantraṃ manasānudrutya sarpir āsyena juhuyāt
4.8.15	jvalantyāṃ dvādaśa grāmāḥ
4.8.16	dhūme tryavarārdhyāḥ
4.8.17	amoghaṃ karmety ācakṣate
4.8.18	vṛttyavicchittikāmo haritagomayān sāyaṃ prātar juhuyāt
4.8.19	trirātropoṣitaḥ paṇyahomaṃ juhuyād idam aham imaṃ viśvakarmāṇam iti
4.8.20	vāsasas tantūn
4.8.21	gor vālān
4.8.22	evam itarebhyaḥ paṇyebhyaḥ
4.8.23	pūrṇahomo yajanīyaprayogaḥ
4.8.24	indrāmavadād iti ca
4.8.25	yaśaskāmaḥ pūrvāṃ sahāyakāma uttarām
4.9.1	puruṣādhipatyakāmo 'ṣṭarātram abhuktvā
4.9.2	audumbarān sruvacamasedhmān upakalpayitvā
4.9.3	prāṅ vodaṅ vā grāmān niṣkramya catuṣpathe 'gnim upasamādhāya
4.9.4	ājyam ādityam abhimukho juhuyād annaṃ vā ekacchandasyaṃ śrīr vā eṣeti ca
4.9.5	annasya ghṛtam eveti grāme tṛtīyām
4.9.6	goṣṭhe paśukāmaḥ
4.9.7	vidūyamāne cīvaram
4.9.8	pratibhaye 'dhvani vastradaśānāṃ granthīn badhnīta
4.9.9	upetya vasanavataḥ
4.9.10	svāhākārāntābhiḥ
4.9.11	sahāyānāṃ ca svastyayanam
4.9.12	ācitasahasrakāmo 'kṣatasaktvāhutisahasraṃ juhuyāt
4.9.13	paśukāmo vatsamithunayoḥ purīṣāhutisahasraṃ juhuyāt
4.9.14	avimithunayoḥ kṣudrapaśukāmaḥ
4.9.15	vṛttyavicchittikāmaḥ kambūkān sāyaṃ prātar juhuyāt kṣudhe svāhā kṣutpipāsābhyāṃ svāheti
4.9.16	mā bhaiṣīr na mariṣyasīti viṣavatā daṣṭam adbhir abhyukṣan japet
4.9.17	tura gopāyeti snātakaḥ saṃveśanavelāyāṃ vaiṇavaṃ daṇḍam upanidadhīta
4.9.18	svastyayanārtham
4.9.19	hatas te atriṇā kṛmir iti kṛmimantaṃ deśam adbhir abhyukṣan japet
4.9.20	paśūnāṃ ceccikīrṣed aparāhṇe sītāloṣṭam āhṛtya vaihāyasaṃ nidadhyāt
4.9.21	tasya pūrvāhṇe pāṃsubhiḥ parikiran japet
4.10.1	uttarato gāṃ baddhvopatiṣṭherann arhaṇā putra uvāsa seti
4.10.2	idam aham imāṃ padyāṃ virājam annādyāyādhitiṣṭhāmīti pratitiṣṭhamāno japet
4.10.3	yatrainam arhayiṣyantaḥ syuḥ
4.10.4	yadā vārhayeyuḥ
4.10.5	viṣṭarapādyārghyācamanīyamadhuparkān ekaikaśas tris trir vedayeran
4.10.6	yā oṣadhīr ity udañcaṃ viṣṭaram āstīryādhyupaviśet
4.10.7	dvau cet pṛthag ṛgbhyām
