#Text:Hiraṇyakeśigṛhyasūtra
#Edition:Kirste (DCS version)



1.1.1	upanayanaṃ vyākhyāsyāmaḥ
1.25.1	viṣṇuryoniṃ kalpayatu tvaṣṭā rūpāṇi piṃśatu / āsiñcatu prajāpatir dhātā garbhaṃ dadhātu te / garbhaṃ dhehi sinīvāli garbhaṃ dhehi sarasvati / garbhaṃ te aśvināvubhāvādhattāṃ puṣkarasrajau / hiraṇyayī araṇī yaṃ nirmanthato aśvinā / taṃ te garbhaṃ havāmahe daśamāsyāya sūtavai / yathāgnigarbhā pṛthivī dyauryathendreṇa garbhiṇī / vāyuryathā diśāṃ garbha evaṃ garbhaṃ dadhāmi te / yasya yoniṃ prati reto gṛhāṇa pumānputro jāyatāṃ garbho antaḥ / taṃ mātā daśa māso bibhartu sa jāyatāṃ vīratamaḥ svānām / ā te garbho yonimetu pumānbāṇa iveṣudhim / ā vīro atra jāyatāṃ putraste daśamāsyaḥ / karomi te prājāpatyam ā garbho yonimetu te / anūnaḥ pūrṇo jāyatām anandho 'śloṇo 'piśācadhīraḥ / yāni prabhūṇi vīryāṇyṛṣabhā janayantu naḥ / taistvaṃ garbhiṇī bhava sa jāyatāṃ vīratamaḥ svānām / yo vaśāyāṃ garbho yaśca vehatīndrastaṃ nidadhe vanaspatau / tena tvaṃ garbhiṇī bhava sā prasūr dhenugā bhava / saṃ nāmnaḥ / cākravākam / iti ca
1.25.2	bhūḥ prajāpatinātyṛṣabheṇa skandayāmi vīraṃ dhatsvāsau / bhuvaḥ prajāpatinātyṛṣabheṇa skandayāmi vīraṃ dhatsvāsau / suvaḥ prajāpatinātyṛṣabheṇa skandayāmi vīraṃ dhatsvāsau / iti vīraṃ haiva janayati
1.25.3	sarvāṇyupagamanāni mantravanti bhavantītyātreyaḥ
1.25.4	yaccādau yaccartāv iti bādarāyaṇaḥ
1.26.1	pāṇigrahaṇādir agnis tam aupāsanam ity ācakṣate
1.26.2	tasmingṛhyāṇi karmāṇi kriyante
1.26.3	tasyaupāsanenāhitāgnitvaṃ tathā pārvaṇena caruṇā darśapūrṇamāsayājitvaṃ ceti
1.26.4	dvādaśāhaṃ vicchinnaḥ punarādheyaḥ
1.26.5	pratisaṃkhyāya vā sarvānhomāñjuhuyāt
1.26.6	pariśrita uddhate 'vokṣite sikatopopte
1.26.7	udumbaraśākhābhiḥ plakṣaśākhābhir vā pracchādya yathālābhaṃ tūṣṇīṃ saṃbhārānsaṃbhṛtya yājñikāt kāṣṭhād agniṃ mathitvā laukikaṃ vāhṛtya sate kṛtvā prajvalayitvābhyādadhāti
1.26.8	bhūr bhuvaḥ suvar oṃ pratiṣṭha / iti
1.26.9	athainam agnim upasamādhāya vyāhṛtiparyantaṃ kṛtvā dve mindāhutī juhoti / yanma ātmano mindābhūt / punaragniś cakṣur adād iti
1.26.10	tisras tantumatīr juhoti / tantuṃ tanvan / udbudhyasvāgne / trayastriṃśat tantavaḥ / iti
1.26.11	catasro 'bhyāvartinīr juhoti / agne 'bhyāvartin / agne aṅgiraḥ / punarūrjā / saha rayyā / iti
1.26.12	ekaikaśo vyāhṛtīḥ samastāśca
1.26.13	hutvā / ayāś cāgne 'sy anabhiśastīśca satyamittvamayā asi / ayasā manasā dhṛto 'yasā havyam ūhiṣeyā no dhehi bheṣajaṃ svāhā / ityetāṃ manasvatīm
1.26.14	prājāpatyāṃ saptavatīṃ ca hutvā daśahotāraṃ manasānudrutya sagrahaṃ hutvā / imaṃ me varuṇa / tattvā yāmi / tvaṃ no agne / sa tvaṃ no agne / tvamagne ayāmi / prajāpate / yad asya karmaṇo 'tyarīricam / iti cātraike jayābhyātānān rāṣṭrabhṛta ityupajuhvati yathā purastāt
1.26.15	brāhmaṇānannena pariviṣya puṇyāhaṃ svastyayanam ṛddhim iti vācayitvā prasiddham āgneyena sthālīpākena yajate
1.26.16	atra gurave varaṃ dadāti vāsasī dhenum anaḍvāhaṃ vā
1.26.17	yadi prayāyād vyākhyātam ātmannaraṇyor vā samāropaṇam
1.26.18	samidhi vā samāropayet
1.26.19	araṇīkalpena khādiraḥ pālāśa audumbara āśvatthaśca
1.26.20	atraikatarasmin yatrāvasyet tasmiñchrotriyāgārād agnim āhṛtya / ājuhvānaḥ / udbudhyasva / iti dvābhyāṃ yasyāṃ samārūḍhas tām ādadhāti
1.26.21	vyākhyāto homakalpaḥ
1.26.22	yadi pārvaṇo vicchidyeta tasmin pāthikṛtena yājayet / yadi dvau vaiśvānarapāthikṛtau / yadi bahūnpunarādheyaḥ / yadi nāśe vināśe vānyair agnibhir agnau saṃsṛṣṭe vā punarādheyaḥ
1.27.1	śālāṃ kārayiṣyann udagayana āpūryamāṇapakṣe rohiṇyāṃ triṣu cottareṣvagnim upasamādhāya vyāhṛtiparyantaṃ kṛtvā juhoti / imaṃ me varuṇa / tattvā yāmi / tvaṃ no agne / sa tvaṃ no agne / tvamagne ayāmi / prajāpate / yadasya karmaṇo 'tyarīricam / iti cātraike jayābhyātānān rāṣṭrabhṛta ityupajuhvati yathā purastāt / brāhmaṇān annena pariviṣya puṇyāhaṃ svastyayanam ṛddhimiti vācayitvāhataṃ vāsaḥ paridhāyāpa upaspṛśya / devasya tvā / ityabhrimādāya / parilikhitam / iti triḥ pradakṣiṇaṃ parilikhya yathārtham avaṭān khātvābhyantaraṃ pāṃsūn karoti
1.27.2	ihaiva dhruvāṃ niminomi śālāṃ kṣeme tiṣṭhati ghṛtamukṣamāṇā / tāṃ tvā śāle suvīrāḥ sarvavīrā ariṣṭavīrā anusaṃcarema / iti dakṣiṇāṃ dvārasthūṇām ucchrayati
1.27.3	ihaiva dhruvā pratitiṣṭha śāle aśvāvatī gomatī sūnṛtāvatī ūrjasvatī payasā pinvamānocchrayasva mahate saubhagāya ityuttarām
1.27.4	ā tvā kumārastaruṇa ā vatso jagatā saha / ā tvā hiraṇmayaḥ kumbha ā dadhnaḥ kalaśairayanniva / iti saṃmitāvabhimṛśati
1.27.5	evameva sthūṇārājāvucchrayati
1.27.6	evamabhimṛśati
1.27.7	ṛtena sthūṇāvadhiroha vaṃśordhvo virājannapasedha śatrūn / athāsmabhyaṃ sahavīrāṃ rayiṃ dāḥ / iti pṛṣṭhavaṃśamāropayate
1.27.8	mā naḥ sapatnaḥ śaraṇaḥ syonā devo devebhir vimitāsyagre / tṛṇaṃ vasānāḥ sumanā asi tvaṃ śaṃ na edhi dvipade śaṃ catuṣpade / iti channām abhimṛśati
1.27.9	tato 'nūrādhair vāstuśamanam
1.27.10	niśāyām antarāgāre 'gnim upasamādhāya vyāhṛtiparyantaṃ kṛtvā juhoti
1.28.1	vāstoṣpate / vāstoṣpata iti dve / vāstoṣpate prataraṇo na edhi gayasphāno gobhir aśvebhir indo / ajarāsas te sakhye syāma piteva putrān prati no juṣasva / svāhā / apaitu mṛtyur amṛtaṃ na āgan vaivasvato no abhayaṃ kṛṇotu / parṇaṃ vanaspater ivābhi naḥ śīyatāṃ rayiḥ sacatāṃ naḥ śacīpatiḥ / svāhā / paraṃ mṛtyo anuparehi panthāṃ yaste sva itaro devayānāt / vāstoṣpate śṛṇvate te bravīmi mā naḥ prajāṃ rīriṣo mota vīrān / svāhā / idam ū nu śreyo vasānam āganma yad gojid dhanajid aśvajid yat / parṇaṃ vanaspater ivābhi naḥ śīyatāṃ rayiḥ sacatāṃ naḥ śacīpatiḥ / svāhā / imaṃ me varuṇa / tattvā yāmi / tvaṃ no agne / sa tvaṃ no agne / tvamagne ayāmi / prajāpate / yad asya karmaṇo 'tyarīricam / iti cātraike jayābhyātānān rāṣṭrabhṛta ityupajuhvati yathā purastāt / brāhmaṇānannena pariviṣya puṇyāhaṃ svastyayanam ṛddhimiti vācayitvā
1.28.2	evaṃ vihitaṃ saṃvatsare saṃvatsare vāstuśamanam
1.28.3	ṛtāvṛtāvityeke
1.29.1	gṛhā mā bibhīta mā vepiḍhvam ūrjaṃ bibhrata emasi / ūrjaṃ bibhrad vasuvaniḥ sumedhā gṛhānemi manasā modamānaḥ / yeṣāmadhyeti pravasanneti saumanaso babhuḥ / gṛhān upahvayāmahe te no jānantu jānataḥ / upahūtā iha gāva upahūtā ajāvayaḥ / atho annasya kīlāla upahūto gṛheṣu naḥ / upahūtā bhūrisakhāḥ sakhāyaḥ svādusaṃmudaḥ / ariṣṭāḥ sarvapūruṣā gṛhā naḥ santu sarvadā / ūrjasvantaḥ payasvanta irāvanto hasāmudaḥ / anaśyā atṛṣyā gṛhā māsmad bibhītana / iti gṛhānabhyeti
1.29.2	kṣemāya vaḥ śāntyai prapadye śivaṃ śagmaṃ śaṃ yoḥ śaṃ yoḥ / iti praviśati na tadaharāgataḥ kalahaṃ karoti / gṛhānahaṃ sumanasaḥ prapadye avīraghno vīratamaḥ suśevān / irāṃ vahantaḥ sumanasyamānās teṣvahaṃ sumanāḥ saṃviśāmi / iti saṃviśati / viśvā uta tvayā vayaṃ dhārā udanyā ivātigāhemahi dviṣaḥ / iti bhāryāṃ samīkṣate samīkṣate
2.1.1	athātaḥ sīmantonnayanam
2.1.2	prathamagarbhāyāścaturthe māsyāpūryamāṇapakṣe puṇye nakṣatre 'gnim upasamādhāya vyāhṛtiparyantaṃ kṛtvā dhātā dadātu no rayim / iti catasro dhātrīrjuhoti
2.1.3	imaṃ me varuṇa / tattvā yāmi / tvaṃ no agne / sa tvaṃ no agne / tvamagne ayāsi / prajāpate / yadasya karmaṇo 'tyarīricam / iti cātraike jayābhyātānān rāṣṭrabhṛta ityupajuhvati yathā purastāt / brāhmaṇānannena pariviṣya puṇyāhaṃ svastyayanam ṛddhimiti vācayitvā snātāṃ prayatavastrām alaṃkṛtāṃ brāhmaṇasaṃbhāṣām apareṇāgniṃ maṇḍalāgāre prācīm upaveśya treṇyā śalalyā śalālugrapsam upasaṃgṛhya purastāt pratyaṅtiṣṭhan vyāhṛtībhiḥ / rākām aham / yāste rāka iti dvābhyām ūrdhvaṃ sīmantam unnīyābhimantrayate / soma eva no rājetyāhur brāhmaṇīḥ prajāḥ / vivṛttacakrā āsīnāstīre tubhyaṃ gaṅge / viśvā uta tvayā vayaṃ dhārā udanyā ivātigāhemahi dviṣaḥ / iti
2.2.1	athātaḥ puṃsavanam
2.2.2	tṛtīye māsyāpūryamāṇapakṣe puṇye nakṣatre 'gnim upasamādhāya vyāhṛtiparyantaṃ kṛtvā / dhātā dadātu no rayim / iti catasro dhātrīrjuhotīmaṃ me varuṇa / tattvā yāmi / tvaṃ no agne / sa tvaṃ no agne / tvamagne ayāsi / prajāpate / yad asya karmaṇo 'tyarīricam / iti cātraike jayābhyātānān rāṣṭrabhṛta ity upajuhvati yathā purastāt / brāhmaṇānannena pariviṣya puṇyāhaṃ svastyayanam ṛddhimiti vācayitvā snātāṃ prayatavastrām alaṃkṛtāṃ brāhmaṇasaṃbhāṣām apareṇāgniṃ maṇḍalāgāre prācīmupaveśya / vṛṣāsīti tasyā dakṣiṇe pāṇau yavamādadhāti
2.2.3	āṇḍau sthaḥ / ityabhito yavaṃ sarṣapau dhānyamāṣau vā
2.2.4	śvāvṛttad iti dadhidrapsaṃ tadenāṃ prāśayati
2.2.5	ācāntāyā udaramabhimṛśati / ābhiṣṭvāhaṃ daśabhirabhimṛśāmi daśamāsyāya sūtavā iti
2.2.6	nyagrodhaśṛṅgaṃ vā ghṛtena kośakārīṃ vā praiyaṅgaveṇa saṃyāvena yūpaśakalaṃ vottarapūrvasyābhiṣṭer agniṃ vā nirmanthya mūrumūlopadhānāyai dakṣiṇe nāsikāchidre praṇayet
2.2.7	yadi garbhaḥ sraved ārdreṇāsyāḥ pāṇinā trir ūrdhvaṃ nābherunmārṣṭi / parāñcaṃ tvā nārvāñcaṃ tvaṣṭā badhnātu bandhane / sa ṛtūnupaveśya daśa māso avīrahā / iti
2.2.8	vijananakāle kṣipraprasavanam / śirasta udakumbhaṃ nidhāya pattastūryantīmathāsyā udaramabhimṛśati
2.3.1	yathaiva vāyuḥ pavate yathā samudra ejati / evaṃ te garbha ejatu saha jarāyuṇāvasarpatu / ityavāṅavamārṣṭi
2.3.2	jāte 'śmani paraśuṃ nidhāyopariṣṭāddhiraṇyaṃ teṣūttarādhareṣūpariṣṭāt kumāraṃ dhārayati / aśmā bhava paraśur bhava hiraṇyam astṛtaṃ bhava / vedo vai putranāmāsi jīva tvaṃ śaradaḥ śatam / aṅgādaṅgāt sambhavasi hṛdayādadhijāyase / ātmā vai putranāmāsi sa jīva śaradaḥ śatamiti
2.3.3	yadyaparā na patedañjalinodakamādāya mūrdhānam asyāvasiñcet / tiladeva padyasva na māṃsamasi no dalam / avapadyasva svapathād iti
2.3.4	upanirharantyaupāsanam atiharanti sūtikāgnim
2.3.5	sa eṣa uttapanīya eva
2.3.6	nāsminkiṃcana karma kriyate 'nyatroddhūpanāt
2.3.7	athainaṃ kaṇaiḥ sarṣapamiśrair uddhūpayati / śaṇḍo marka upavīraḥ śāṇḍīkera ulūkhalaḥ / cyavano naśyatāditaḥ / svāhā / ālikhan vilikhann animiṣan kiṃvadanta upaśrutiḥ / svāhā / aryamṇaḥ kumbhī śatruḥ pātrapāṇir nipuṇiḥ / svāhā / āntrīmukhaḥ sarṣapāruṇo naśyatāditaḥ / svāhā / keśinī śvalominī bajābojopakāśinī / apeta naśyatād itaḥ / svāhā / kauberakā viśvavāso rakṣorājena preṣitāḥ / grāmānsajātayo yantīpsantaḥ parijākṛtān / svāhā / etān hataitān badhnītety ayaṃ brahmaṇo dūtas tānagniḥ paryasarat / tānindras tān bṛhaspatis tānahaṃ veda brāhmaṇaḥ / pramṛśataḥ kūṭadantān vikeśāṃllambastanān / svāhā / naktaṃcāriṇa uraspeśāñchūlahastān kapālapān / svāhā / pūrva eṣām pitety uccaiḥśrāvyakarṇakaḥ / mātā jaghanyā gacchanti grāme vikhuram icchantī / svāhā / naktaṃcāriṇī svasā sandhinā prekṣate kulam / yā svapatsu jāgarti yasyai vijātāyāṃ manaḥ / svāhā / tāsāṃ tvaṃ kṛṣṇavartmane klomānaṃ hṛdayaṃ yakṛt / agneyakṣīṇi nirdaha / svāheti pratimantram aṅgāreṣvāvapati
2.3.8	tataḥ pāṇī prakṣālya bhūmim ālabhate / yatte susīme hṛdayaṃ divi candramasi śritam / tasyāmṛtatvasya no dhehi māhaṃ pautram aghaṃ rudam / veda te bhūmi hṛdayaṃ divi candramasi śritam / tathāmṛtatvasyeśāno māhaṃ pautram aghaṃ rudam / iti
2.3.9	athāto medhājananaṃ darbheṇa hiraṇyaṃ prabadhya tad antardhāyopariṣṭāt prāñcaṃ kumāraṃ dhāryamāṇaṃ ghṛtaṃ prāśayati / bhūrṛcas tvayi juhomi svāhā / bhuvo yajūṃṣi tvayi juhomi svāhā / suvaḥ sāmāni tvayi juhomi svāhā / bhūrbhuvaḥ suvaratharvāṅgirasas tvayi juhomi svāheti
2.3.10	athainam uṣṇaśītābhir adbhiḥ snāpayati / kṣetriyai tvā nirṛtyai tvā druho muñcāmi varuṇasya pāśāt / anāgasaṃ brahmaṇe tvā karomi śive te dyāvāpṛthivī ubhe ime / śaṃ te agniḥ sahādbhir astu śaṃ dyāvāpṛthivī sahauṣadhībhiḥ / śamantarikṣaṃ saha vātena te śaṃ te catasraḥ pradiśo bhavantu / sūryamṛtaṃ tamaso grāhyā yaddevā amuñcann asṛjan vyenasaḥ / evamahamimaṃ kṣetriyājjāmiśaṃsād druho muñcāmi varuṇasya pāśāt / iti
2.3.11	athainaṃ mātur upastha ādadhāti
2.4.1	yā daivīścatasraḥ pradiśo vātapatnīrabhi sūryo vicaṣṭe / tāsāṃ tvā jarasa ādadhāmi pra yakṣma etu nirṛtiṃ parācaiḥ / iti
2.4.2	ādhāyābhimantrayate / mā te putraṃ rakṣo hiṃsīnmā dhenuratisāriṇī / priyā dhanasya bhūyā edhamānā sve vaśa iti
2.4.3	prakṣālya dakṣiṇaṃ stanamādhāpayati / ayaṃ kumāro jarāṃ dhayatu sarvamāyuretu / tasmai stanaṃ prapyāyasvāyuḥ kīrtirvarco yaśo balam / iti
2.4.4	evamuttaram
2.4.5	nāmayati na rudati yatra vayaṃ vadāmo yatra vābhimṛśāmasītyubhāvabhimṛśyāthāsyai śirasta udakumbhamapihitaṃ nidadhāti / āpo gṛheṣu jāgrata yathā deveṣu jāgratha / evamasyai suputrāyai jāgrata / iti
2.4.6	dvādaśyāṃ mātāputrau snātaḥ
2.4.7	śucyagāraṃ kurvanti
2.4.8	upanirharanti sūtikāgnim atiharantyaupāsanam
2.4.9	tamagnimupasamādhāya vyāhṛtiparyantaṃ kṛtvā / dhātā dadātu no rayim / iti dvādaśāhutīrjuhoti / trayodaśetyekeṣām
2.4.10	imaṃ me varuṇa / tattvā yāmi / tvaṃ no agne / sa tvaṃ no agne / tvamagne ayāsi / prajāpate / yadasya karmaṇo 'tyarīricam / iti cātraike jayābhyātānānrāṣṭrabhṛta ityupajuhvati yathā purastāt / brāhmaṇānannena pariviṣya puṇyāhaṃ svastyayanamṛddhimiti vācayitvā putrasya nāma dadhyāddvyakṣaraṃ caturakṣaraṃ vā ghoṣavadādyantarantasthaṃ dīrghābhiniṣṭhānāntaṃ yatra vā svityupasargaḥ syāt / taddhi pratiṣṭhitamiti vijñāyate
2.4.11	pitā mātety agre 'bhivyāhareyātām / vijñāyate ca mama nāma prathamaṃ jātaveda iti
2.4.12	dve nāmanī kuryāt / vijñāyate ca tasmāddvināmā brāhmaṇo 'rdhuka iti
2.4.13	nakṣatranāma dvitīyaṃ syād anyatarad guhyaṃ syāt
2.4.14	anyatareṇainam āmantrayīran
2.4.15	somayājī tṛtīyaṃ nāma kurvīteti vijñāyate
2.4.16	pravāsādetyāgataṃ vā putramabhimṛśati / somasya tvā dyumnenābhimṛśāmyagnestejasā sūryasya varcasā / iti
2.4.17	paśūnāṃ tvā huṃkāreṇābhijighrāmyasāvāyuṣe varcase hum / iti mūrdhnyabhijighrya
2.4.18	athāsya dakṣiṇena hastena dakṣiṇaṃ hastaṃ sāṅguṣṭhaṃ gṛhṇāti / agnirāyuṣmān / iti pañcabhiḥ paryāyaiḥ
2.4.19	āyuṣṭe viśvato dadhad iti dakṣiṇe karṇe japati / yathā purastāt
2.5.1	atha ṣaṣṭhe māsyannaprāśanam
2.5.2	āpūryamāṇapakṣe puṇye nakṣatre 'gnim upasamādhāya vyāhṛtiparyantaṃ kṛtvā juhotīmaṃ me varuṇa / tattvā yāmi / tvaṃ no agne / sa tvaṃ no agne / tvamagne ayāsi / prajāpate / yadasya karmaṇo 'tyarīricam / iti ca atraike jayābhyātānān rāṣṭrabhṛta ityupajuhvati yathā purastāt / brāhmaṇānannena pariviṣya puṇyāhaṃ svastyayanamṛddhimiti vācayitvāthainaṃ dadhi madhu ghṛtamiti trivṛtprāśayati / bhūstvayi dadhāmi bhuvastvayi dadhāmi suvastvayi dadhāmīti
2.5.3	athainamannaṃ prāśayati / apāṃ tvauṣadhīnāṃ rasaṃ prāśayāmi śivāsta āpa oṣadhayaḥ santvanamīvāsta āpa oṣadhayo bhavantu / iti
2.6.1	tṛtīye varṣe cūḍākarma
2.6.2	āpūryamāṇapakṣe puṇye nakṣatre 'gnim upasamādhāya vyāhṛtiparyantaṃ kṛtvā juhotīmaṃ me varuṇa / tattvā yāmi / tvaṃ no agne / sa tvaṃ no agne / tvamagne ayāsi / prajāpate / yadasya karmaṇo 'tyarīricam / iti ca atraike jayābhyātānānrāṣṭrabhṛta ityupajuhvati yathā purastāt / brāhmaṇānannena pariviṣya puṇyāhaṃ svastyayanamṛddhimiti vācayitvāpareṇāgniṃ prāṅmukhaḥ kumāra upaviśati
2.6.3	uttarato mātā brahmacārī vānaḍuhaṃ śakṛtpiṇḍaṃ dhārayati
2.6.4	tenāsya keśānpratigṛhṇāti
2.6.5	athoṣṇaśītā āpaḥ saṃsṛjati
2.6.6	śītāsūṣṇā ānīya / āpa undantu jīvasa iti dakṣiṇaṃ godānamunatti
2.6.7	oṣadhe trāyasvainam / ityūrdhvāgrāmoṣadhimantardadhāti
2.6.8	svadhite mainaṃ hiṃsīḥ / iti kṣureṇābhinidadhāti
2.6.9	devaśrūr etāni pravapa iti pravapati
2.6.10	evamitarānpradakṣiṇam
2.6.11	yenāvapatsavitā kṣureṇa somasya rājño varuṇasya vidvān / tena brahmāṇo vapatedamasya ūrjemaṃ rayyā varcasā saṃsṛjātha / iti paścāt / yena pūṣā bṛhaspateragnerindrasya cāyuṣe 'vapat / tena te 'haṃ vapāmyasāv ityuttarataḥ / yathā jyoksumanā asat / jyokca sūryaṃ dṛśa iti purastāt
2.6.12	uptvā yathocitaṃ cūḍāḥ kārayati yatharṣi vā
2.6.13	saṃyamya keśān / yatra pūṣā bṛhaspatiḥ savitā somo agniḥ / tebhyo nidhānaṃ bahudhā vyaicchannantarā dyāvāpṛthavī apaḥ suvaḥ / iti goṣṭha udumbare darbhastambe vā nikhanati yo 'sya rātirbhavati
2.6.14	yathāśraddhaṃ brāhmaṇāya dadāti
2.6.15	sarpiṣmantamodanaṃ nāpitāya
2.6.16	evaṃ vihitaṃ ṣoḍaśe varṣe godānakarma
2.6.17	saśikhaṃ vāpayate
2.6.18	śikhām atrāvaśinaṣṭītyekeṣām
2.6.19	agnigodāno vā bhavati
2.6.20	gurave gāṃ dadāti
2.7.1	athātaḥ śvagrahaprāyaścittam
2.7.2	samupasṛte yajñopavīty ācānto 'nāprītena śarāveṇodakam āhṛtya sabhāyāṃ madhye 'dhidevanam uddhatyāvokṣyākṣān nyupya vyūhya samūhya prathayitvopariṣṭāt sabhāyāṃ vyūhya tṛṇāni tena kumāram abhyāhṛtyākṣeṣūttānaṃ nipātya dadhnā lavaṇodakamiśreṇābhyukṣati / āghnanti kaṃsaṃ dakṣiṇataḥ / kurkuraḥ sukurkuraḥ kurkuro nīlabandhanaḥ / aulava ittamupāhvayatārjima chambalaḥ / athorāma ulumbaraḥ sārameyo ha dhāvati / samudram iva cākaśad bibhranniṣkaṃ ca rukmaṃ ca / śunām agraṃ suvīriṇaḥ suvīriṇaḥ sṛja sṛja / ekavrātya sṛja śunaka sṛja chat / ṭekaś ca sasaramaṭaṅkaś ca tūlaś ca vitūlaś cārjunaś ca lohitaś ca / utsṛja tvaṃ śitimra tvaṃ piśaṃka rohitaḥ / amī ye ke sarasyakā avadhāvati tṛtīyasyām ito divi / chad apehi sīsarama sārameya namas te astu sīsara / dūtyā ha nāma vo mātā maṇḍākako ha vaḥ pitā / chad apehi sīsarama sārameya namas te astu sīsara / dulā ha nāma vo mātā maṇḍākako ha vaḥ pitā / chad apehi sīsarama sārameya namas te astu sīsara / sam aśvā vṛṣaṇaḥ pado na sīsaridataḥ / chad apehi sīsarama sārameya namas te astu sīsara / saṃ takṣā hanti cakriṇo na sīsaridataḥ / chad apehi sīsarama sārameya namas te astu sīsara / iti
2.7.3	athāha / varaṃ vṛṇīṣva / iti
2.7.4	kumāram evāhaṃ varaṃ vṛṇa iti
2.7.5	evaṃ samupasṛte trir anhaḥ prātarmadhyaṃdine sāyaṃ ca kuryād yadi cāgataḥ syāt
2.8.1	athātaḥ śūlagavam
2.8.2	āpūryamāṇapakṣe puṇye nakṣatre 'gnimupasamādhāya saṃparistīrya payasi sthālīpākaṃ śrapayitvābhighāryodvāsyāpareṇāgniṃ dve kuṭī kṛtvā dakṣiṇasyāṃ śūlagavamāvāhayati / ā tvā vahantu harayaḥ sacetasaḥ śvetairaśvaiḥ saha ketumadbhiḥ / vātājirair balavadbhir manojavair āyāhi śīghraṃ mama havyāya śarvom / iti
2.8.3	uttarasyāṃ mīḍhuṣīm
2.8.4	madhye jayantam
2.8.5	yathoḍham udakāni pradāyopastīrṇābhighāritāṃstrīnodanānkalpayitvā yathoḍham evopasparśayati / upaspṛśatu mīḍhvān mīḍhuṣe svāhā / upaspṛśatu mīḍhuṣī mīḍhuṣyai svāhā / jayanta upaspṛśatu jayantāya svāheti
2.8.6	vyāhṛtiparyantaṃ kṛtvaudanān abhyāhṛtya juhoti / bhavāya devāya svāhā / rudrāya devāya svāhā / śarvāya devāya svāhā / īśānāya devāya svāhā / paśupataye devāya svāhā / ugrāya devāya svāhā / bhīmāya devāya svāhā / mahate devāya svāheti
2.8.7	atha patnyodanasya patnyai juhoti / bhavasya devasya patnyai svāhā / rudrasya devasya patnyai svāhā / śarvasya devasya patnyai svāhā / īśānasya devasya patnyai svāhā / paśupaterdevasya patnyai svāhā / ugrasya devasya patnyai svāhā / bhīmasya devasya patnyai svāhā / mahato devasya patnyai svāheti
2.8.8	atha madhyamaudanasya juhoti / jayantāya svāhā / jayantāya svāheti
2.8.9	atha sarvebhya odanebhyaḥ samavadāya sauviṣṭakṛtīṃ juhoti / agnaye sviṣṭakṛte svāheti
2.8.10	abhita etamagniṃ gā sthāpayanti yathā hūyamānasya gandhamājighreyuḥ
2.8.11	svasti naḥ pūrṇamukhaṃ parikrāmantu / iti sarvataḥ pradakṣiṇaṃ parikramya / namaste rudra manyava ityetairanuvākairupatiṣṭhate prathamottamābhyāṃ vā
2.9.1	athāto bauḍhyavihāra eva
2.9.2	gṛhapopaspṛśa gṛhapāya svāhā / gṛhapyupaspṛśa gṛhapyai svāhā / dvārapopaspṛśa dvārapāya svāhā / dvārapyupaspṛśa dvārapyai svāheti catvāri palāśāni dadāti / ghoṣiṇa upaspṛśata ghoṣibhyaḥ svāhā / niṣaṅgiṇa upaspṛśata niṣaṅgibhyaḥ svāhā / anvāsāriṇa upaspṛśatānvāsāribhyaḥ svāhā / prayunvanta upaspṛśata prayunvadbhyaḥ svāhā / vicinvanta upaspṛśata vicinvadbhyaḥ svāhā / samaśnanta upaspṛśata samaśnadbhyaḥ svāheti
2.9.3	daśāthāparāṇi / devasenā upaspṛśata devasenābhyaḥ svāheti
2.9.4	daśaivāthāparāṇi / yā ākhyātā devasenā yāścānākhyātā upaspṛśata tābhyaḥ svāheti
2.9.5	atha parṇapuṭaṃ kṛtvā tasminnupastīrṇābhighāritamodanapiṇḍam avadāya paro gavyūtiṃ gatvā vṛkṣa āsajati / niṣaṅgiṇa upaspṛśata niṣaṅgibhyaḥ svāheti
2.9.6	athopatiṣṭhate / namo niṣaṅgiṇa iṣudhimate taskarāṇāṃ pataya iti
2.9.7	atha cāndanasurodakākṣatākṣatagomayadūrvāstambodumbarapalāśaśamīvaikaṅkatāśvatthena govāleneti gāḥ prokṣati vṛṣāṇamevāgre / śivo bhava śivo bhava / ityatha śivo haiva bhavati
2.9.8	athainaṃ kṣaitrapatyaṃ payasi sthālīpākaṃ śrapayitvābhighāryodvāsya gavāṃ mārge 'nagnau kṣetrasya patiṃ yajati
2.9.9	caturṣu saptasu vā palāśeṣu taṃ tathaivāvāhayati yathā śūlagavam
2.9.10	nūrte yajate / pāko devaḥ
2.9.11	athopatiṣṭhate / kṣetrasya patinā vayaṃ / kṣetrasya pata iti
2.9.12	athaitasya kṣaitrapatyasya ye sanābhayo bhavanti te prāśnanti yathaivaiṣāṃ kuladharmo bhavati
2.10.1	amāvāsyāyāmaparāhṇe māsikamaparapakṣasya vāyukṣvahaḥsu
2.10.2	pitṛbhyo 'nnaṃ saṃskṛtya dakṣiṇāgrāndarbhānāsanāni kalpayitvā brāhmaṇāñchucīnmantravataḥ samaṅgānayuja āmantrayate yonigotramantrāsaṃbandhān
2.10.3	nārthāpekṣo bhojayet
2.10.4	agnimupasamādhāya dakṣiṇāprāgagrair darbhaiḥ paristīryaikapavitrāntarhitāyām ājyasthālyāmājyaṃ saṃskṛtya prasavyaṃ pariṣicyaudumbaramidhmamabhyādhāyaudumbaryā darvyā juhoti
