#Text:Śāṅkhāyanagṛhyasūtra
#Edition:Oldenberg (DCS version)



1.1.1	athātaḥ pākayajñān vyākhyāsyāmaḥ
3.5.3	gṛhān bhadrān sumanasaḥ prapadye 'vīraghno vīrataraḥ suvīrān / irāṃ vahanto ghṛtam ukṣamāṇā anyeṣv ahaṃ sumanāḥ saṃviśeyam iti sadā pravacanīyaḥ
3.6.1	anāhitāgniḥ pravatsyan gṛhān samīkṣate
3.6.2	imān me mitrāvaruṇau gṛhān gopāyataṃ yuvam / avinaṣṭān avihrutān pūṣainān abhirakṣatu / āsmākaṃ punarāgamāt
3.6.3	api panthām aganmahīti ca japati
3.7.1	atha proṣyāyan gṛhān samīkṣate
3.7.2	gṛhā mā bibhīta mā vepadhvam ūrjaṃ bibhrata emasi / ūrjaṃ bibhrad vaḥ sumanāḥ sumedhā gṛhān aimi manasā modamānaḥ / yeṣām adhyeti pravasan yeṣu saumanaso bahuḥ / gṛhān upahvayāmahe te no jānantu jānataḥ / upahūtā iha gāva upahūtā ajāvayaḥ / atho annasya kīlāla upahūto gṛheṣu naḥ
3.7.3	ayaṃ no agnir bhagavān ayaṃ no bhagavattaraḥ / asyopasadye mā riṣāmāyaṃ śraiṣṭhye dadhātu na iti gṛhyam agnim upasthāya
3.7.4	kalyāṇīṃ vācaṃ prabrūyāt
3.7.5	virājo doho 'si virājo doham aśīya mayi padyāyai virājo doha iti pādyapratigrahaṇaḥ
3.8.1	anāhitāgnir navaṃ prāśiṣyann āgrayaṇadevatābhyaḥ sviṣṭakṛccaturthībhyaḥ svāhākāreṇa gṛhye 'gnau juhuyāt
3.8.2	prajāpataye tvā grahaṃ gṛhṇāmi mahyaṃ śriyai mahyaṃ yaśase mahyam annādyāyeti prāśanārthīyam abhimantrya
3.8.3	bhadrān naḥ śreyaḥ samanaiṣṭa devās tvayāvasena samaśīmahi tvā / sa no mayobhūḥ pitav āviśasva śaṃ no bhava dvipade śaṃ catuṣpada ity adbhir abhyutsiñcan triḥ prāśnāti
3.8.4	amo 'si prāṇa tad ṛtaṃ bravīmy amo 'si sarvāṅ asi praviṣṭaḥ / sa me jarāṃ rogam apanudya śarīrād amā ma edhi mā mṛdhā na indreti hṛdayadeśam abhimṛśati
3.8.5	nābhir asi mā bibhīthāḥ prāṇānāṃ granthir asi mā visrasa iti nābhim
3.8.6	bhadraṃ karṇebhir iti yathāliṅgam
3.8.7	taccakṣur ity ādityam upasthāya
3.9.1	pari vaḥ sainyād vadhād vyāvṛñjantu ghoṣiṇyaḥ / samānas tasya gopater gāvo aṃśo na vo riṣat / pūṣā gā anvetu na iti gāḥ pratiṣṭhamānā anumantrayeta
3.9.2	pari pūṣeti parikrāntāsu
3.9.3	yāsām ūdhaś caturbilaṃ madhoḥ pūrṇaṃ ghṛtasya ca / tā naḥ santu payasvatīr bahvīr goṣṭhe ghṛtācya ity ā gāvo agmann iti ca pratyāgatāsu
3.9.4	uttamām amā kurvan
3.9.5	mayobhūr vāta iti sūktena goṣṭhe gatāḥ
3.10.1	yā phālgunyā uttarāmāvāsyā sā revatyā sampadyate tasyām aṅkalakṣaṇāni kārayet
3.10.2	bhuvanam asi sahasrapoṣam indrāya tvā śramo dadat / akṣatam asy ariṣṭam iﾱānnaṃ gopāyanaṃ yāvatīnām idaṃ kariṣyāmi bhūyasīnām uttamāṃ samāṃ kriyāsam iti
3.10.3	yā prathamā prajāyeta tasyāḥ pīyūṣaṃ juhuyāt saṃvatsarīṇaṃ paya usriyāyā ity etābhyām ṛgbhyām
3.10.4	yadi yamau prajāyeta mahāvyāhṛtibhir hutvā yamasūṃ dadyāt
3.11.1	atha vṛṣotsargaḥ
3.11.2	kārttikyāṃ paurṇamāsyāṃ revatyāṃ vāśvayujyasya
3.11.3	gavāṃ madhye susamiddham agniṃ kṛtvājyāhutīr juhoti
3.11.4	iha ratir iha ramadhvaṃ svāhā iha dhṛtir iha svadhṛtiḥ svāhopasṛjaṃ dharuṇaṃ mātre dharuṇo mātaraṃ dhayan rāyaspoṣam asmāsu dīdharat svāhā
3.11.5	pūṣā gā anvetu na iti pauṣṇasya juhoti
3.11.6	rudrān japitvā
3.11.7	ekavarṇaṃ dvivarṇaṃ trivarṇaṃ vā
3.11.8	yo vā yūthaṃ chādayati
3.11.9	yo vā yūthena chādyate
3.11.10	rohito vaiva syāt
3.11.11	sarvāṅgair upeto yūthe varcasvitamaḥ syāt
3.11.12	tam alaṃkṛtya
3.11.13	yūthe mukhyāś catasro vatsataryas tāś cālaṃkṛtya
3.11.14	etaṃ yuvānaṃ patiṃ vo dadāmi tena krīḍantīś caratha priyeṇa / mā vaśvātra januṣā saṃvidānā rāyaspoṣeṇa sam iṣā madema svāheti
3.11.15	nabhyasthe 'numantrayate mayobhūr ity anuvākaśeṣeṇa
3.11.16	sarvāsāṃ payasi pāyasaṃ śrapayitvā brāhmaṇān bhojayet
3.12.1	ūrdhvam āgrahāyaṇyās tisro 'ṣṭakā aparapakṣeṣu
3.12.2	tāsāṃ prathamāyāṃ śākaṃ juhoti
3.12.3	iyam eva sā yā prathamā vyucchad antar asyāṃ carati praviṣṭā / vadhūr jajāna navakṛj janitrī traya enāṃ mahimānaḥ sacantāṃ svāheti
3.12.4	atha sviṣṭakṛtaḥ
3.12.5	yasyāṃ vaivasvato yamaḥ sarve devāḥ samāhitāḥ / aṣṭakā sarvatomukhī sā me kāmān atītṛpat / āhus te grāvāṇo dantān ūdhaḥ pavamānaḥ / māsāś cārdhamāsāś ca namas te sumanāmukhi svāheti
3.13.1	madhyamāyāṃ madhyāvarṣe ca
3.13.2	mahāvyāhṛtayaś catasro ye tātṛṣur iti catasro 'nudrutya vapāṃ juhuyāt
3.13.3	vaha vapāṃ jātavedaḥ pitṛbhyo yatrainān vettha sukṛtasya loke / medasaḥ kulyā upa tān sravantu satyāḥ santu yajamānasya kāmāḥ svāheti vā
3.13.4	mahāvyāhṛtayaś catasro ye tātṛṣur iti catasro 'ṣṭāhuti sthālīpāko 'vadānamiśraḥ
3.13.5	antarhitā girayo 'ntarhitā pṛthivī mahī me / divā digbhiś ca sarvābhir anyam antaḥ pitur dadhe 'muṣyai svāhā / antarhitā ma ṛtavo 'horātrāś ca saṃdhijāḥ / māsāś cārdhamāsāś cānyam antaḥ pitur dadhe 'muṣyai svāhā / yās tiṣṭhanti yāḥ sravanti yā dabhrāḥ parisasruṣīḥ / adbhiḥ sarvasya bhartṛbhir anyam antaḥ pitur dadhe 'muṣyai svāhā / yan me mātā pralulubhe vicaranty apativratā / retas tan me pitā vṛṅktāṃ mātur anyo 'vapadyatām amuṣyai svāheti vā mahāvyāhṛtīnāṃ sthāne catasro 'nyatrakaraṇasya
3.13.6	pāyaso vā caruḥ
3.13.7	śvo 'nvaṣṭakyaṃ piṇḍapitṛyajñāvṛtā
3.14.1	uttamāyām apūpān juhoti
3.14.2	ukthyaś cātirātraś ca sadyaḥkrīś chandasā saha / apūpakṛd aṣṭake namas te sumanāmukhi svāheti
3.14.3	gopaśur ajapaśu sthālīpāko vā
3.14.4	api vā gogrāsam āharet
3.14.5	api vāraṇye kakṣam apādahed eṣā me 'ṣṭaketi
3.14.6	na tv eva na kurvīta na tv eva na kurvīta
4.1.1	māsi māsi pitṛbhyo dadyāt
4.1.2	brāhmaṇān vedavido 'yugmāṃs tryavarārdhān pitṛvad upaveśya
4.1.3	ayugmāny udapātrāṇi tilair avakīrya
4.1.4	asāv etat ta ity anudiśya brāhmaṇānāṃ pāṇiṣu ninayet
4.1.5	ata ūrdhvam alaṃkṛtān
4.1.6	āmantryāgnau kṛtvānnaṃ ca
4.1.7	asāv etat ta ity anudiśya bhojayet
4.1.8	bhuñjāneṣu mahāvyāhṛtīḥ sāvitrīṃ madhuvātīyāḥ pitṛdevatyāḥ pāvamānīś ca japet
4.1.9	bhuktavatsu piṇḍān dadyāt
4.1.10	purastād eke
4.1.11	piṇḍān paścimena tatpatnīnāṃ kiṃcid antardhāya
4.1.12	brāhmaṇebhyaḥ śeṣaṃ nivedayet
4.1.13	agnaukaraṇādi piṇḍapitṛyajñena kalpo vyākhyātaḥ
4.2.1	athāta ekoddiṣṭam
4.2.2	ekapavitram
4.2.3	ekārghyam
4.2.4	ekapiṇḍam
4.2.5	nāvāhanaṃ nāgnaukaraṇaṃ nātra viśve devāḥ svaditam iti tṛptipraśna upatiṣṭhatām ity akṣayyasthāne
4.2.6	abhiramyatām iti visargaḥ
4.2.7	saṃvatsaram evaṃ prete
4.2.8	caturthavisargaś ca
4.3.1	atha sapiṇḍīkaraṇam
4.3.2	saṃvatsare pūrṇe tripakṣe vā
4.3.3	yad ahar vā vṛddhir āpadyeta
4.3.4	catvāry udapātrāṇi satilagandhodakāni kṛtvā
4.3.5	trīṇi pitṝṇām ekaṃ pretasya
4.3.6	pretapātraṃ pitṛpātreṣv āsiñcati ye samānā iti dvābhyām
4.3.7	evaṃ piṇḍam api
4.3.8	etat sapiṇḍīkaraṇam
4.4.1	athāta ābhyudayikam
4.4.2	āpūryamāṇapakṣe puṇyāhe
4.4.3	mātṛyāgaṃ kṛtvā
4.4.4	yugmān vedavida upaveśya
4.4.5	pūrvāhṇe
4.4.6	pradakṣiṇam upacāraḥ
4.4.7	pitṛmantravarjaṃ japaḥ
4.4.8	ṛjavo darbhāḥ
4.4.9	yavais tilārthaḥ
4.4.10	dadhibadarākṣatamiśrāḥ piṇḍāḥ
4.4.11	nāndīmukhān pitṝn āvāhayiṣya ity āvāhane
4.4.12	nāndīmukhāḥ pitaraḥ prīyantām ity akṣayyasthāne
4.4.13	nāndīmukhān pitṝn vācayiṣya iti vācane
4.4.14	sampannam iti tṛptipraśnaḥ
4.4.15	samānam anyad aviruddham iti
4.5.1	athopākaraṇam
4.5.2	oṣadhīnāṃ prādurbhāve hastena śravaṇena vā
4.5.3	akṣatasaktūnāṃ dhānānāṃ ca dadhighṛtamiśrāṇāṃ pratyṛcaṃ vedena juhuyād iti haika āhuḥ
4.5.4	sūktānuvākādyābhir iti vā
4.5.5	adhyāyārṣeyādyābhir iti māṇḍūkeyaḥ
4.5.6	atha ha smāha kauṣītakiḥ
4.5.7	agnim īﾱe purohitam ity ekā
4.5.8	kuṣumbhakas tad abravīd āvadaṃs tvaṃ śakune bhadram āvada gṛṇānā jamadagninā dhāman te viśvaṃ bhuvanam adhi śritaṃ gantā no yajñaṃ yajñiyāḥ suśami yo naḥ svo araṇaḥ praticakṣva vicakṣvāgne yāhi marutsakhā yat te rājañchṛtaṃ havir iti dvyṛcāḥ
4.5.9	tacchaṃ yor āvṛṇīmaha ity ekā
4.5.10	hutaśeṣāddhaviḥ prāśnanti dadhikrāvṇo akāriṣam ity etayā
4.5.11	ācamyopaviśya
4.5.12	mahāvyāhṛtīḥ sāvitrīṃ vedādiprabhṛtīni svastyayanāni ca japitvā
4.5.13	ācāryaṃ svastivācya
4.5.14	tad api bhavati
4.5.15	ayātayāmatāṃ pūjāṃ sāratvaṃ chandasāṃ tathā / icchanta ṛṣayo 'paśyann upākarma tapobalāt
4.5.16	tasmāt ṣaṭkarmanityenātmano mantrasiddhaye / upākartavyam ity āhuḥ karmaṇāṃ siddhim icchatā
4.5.17	upākarmaṇi cotsarge trirātraṃ kṣapaṇaṃ bhavet / aṣṭakāsu tv ahorātram ṛtvantyāsu ca rātriṣu
4.6.1	māghaśuklapratipadi
4.6.2	aparājitāyāṃ diśi
4.6.3	bahvauṣadhike deśe
4.6.4	ud u tyaṃ jātavedasaṃ citraṃ devānāṃ namo mitrasya sūryo no divas pātv iti sauryāṇi japitvā
4.6.5	śāsa itthā mahān asīti pradakṣiṇaṃ pratyṛcaṃ pratidiśaṃ pratyasya loṣṭān
4.6.6	ṛṣīṃś chandāṃsi devatāḥ śraddhāmedhe ca tarpayitvā pratipuruṣaṃ ca pitṝn
4.6.7	chandāṃsi viśrāmayanty ardhasaptamān māsān
4.6.8	ardhaṣaṣṭhān vā
4.6.9	adhīyīraṃś ced ahorātram uparamya prādhyayanam
4.7.1	athoparamam
4.7.2	utpāteṣv ākālam
4.7.3	anyeṣv adbhuteṣu ca
4.7.4	vidyutstanayitnuvarṣāsu trisaṃdhyam
4.7.5	ekāhaṃ śrāddhabhojane
4.7.6	daśāham aghasūtakeṣu ca
4.7.7	caturdaśyamāvāsyayor aṣṭakāsu ca
4.7.8	vāsareṣu nabhyeṣu ca
4.7.9	ācārye coparate daśāham
4.7.10	śrutvā trirātram
4.7.11	tatpūrvāṇāṃ ca
4.7.12	pratigrahe śrāddhavat
4.7.13	sabrahmacāriṇi
4.7.14	pretam anugatvā
4.7.15	pitṛbhyaś ca nidhāya piṇḍān
4.7.16	niśām
4.7.17	saṃdhyām
4.7.18	parvasu
4.7.19	astamite
4.7.20	śūdrasaṃnikarṣe
4.7.21	sāmaśabde
4.7.22	śmaśāne
4.7.23	grāmāraṇye
4.7.24	antaḥśave grāme
4.7.25	adarśanīyāt
4.7.26	aśravaṇīyāt
4.7.27	aniṣṭaghrāṇe
4.7.28	ativāte
4.7.29	abhre prāvarṣiṇi
4.7.30	rathyāyām
4.7.31	vīṇāśabde ca
4.7.32	rathasthaḥ
4.7.33	śūdravacchuni
4.7.34	vṛkṣārohaṇe
4.7.35	avaṭārohaṇe
4.7.36	apsu
4.7.37	krandati
4.7.38	ārtyām
4.7.39	nagnaḥ
4.7.40	ucchiṣṭaḥ
4.7.41	saṃkrame
4.7.42	keśaśmaśrūṇi vāpana ā snānāt
4.7.43	utsādane
4.7.44	snāne
4.7.45	saṃveśane
4.7.46	abhyañjane
4.7.47	pretasparśini sūtikodakyayoś ca śūdravat
4.7.48	apihitapāṇiḥ
4.7.49	senāyām
4.7.50	abhuñjāne brāhmaṇe goṣu ca
4.7.51	atikrānteṣv adhīyīran
4.7.52	eteṣāṃ yadi kiṃcid akāmotpāto bhavet prāṇān āyamyādityam īkṣitvādhīyīta
4.7.53	vidyutstanayitnuvarṣavarjaṃ kalpe varṣavad ardhaṣaṣṭheṣu
4.7.54	tad apy etat
4.7.55	annam āpo mūlaphalaṃ yaccānyacchrāddhikaṃ bhavet / pratigṛhyāpy anadhyāyaḥ pāṇyāsyo brāhmaṇaḥ smṛta iti
4.8.1	nyāyopetebhyaś ca vartayet
4.8.2	prāṅ vodaṅ vāsīna ācāryo dakṣiṇata udaṅmukha itaraḥ
4.8.3	dvau vā
4.8.4	bhūyāṃsas tu yathāvakāśam
4.8.5	nocchritāsanopaviṣṭo gurusamīpe
4.8.6	naikāsanasthaḥ
4.8.7	na prasāritapādaḥ
4.8.8	na bāhubhyāṃ jānūpasaṃgṛhya
4.8.9	nopāśritaśarīraḥ
4.8.10	nopasthakṛtapādaḥ
4.8.11	na pādakuṭhārikāṃ kṛtvā
4.8.12	adhīhi bho 3 ity uktvācārya oṃkāraṃ pracodayet
4.8.13	om itītaraḥ pratipadyate
4.8.14	tat saṃtatam adhīyīta
4.8.15	adhītyopasaṃgṛhya
4.8.16	viratāḥ sma bho 3 ity uktvā yathārtham
4.8.17	visṛṣṭaṃ virāmas tāvad ity eke
4.8.18	nādhīyatām antarā gacchet
4.8.19	nātmānaṃ viparihared adhīyānaḥ
4.8.20	yadi ced doṣaḥ syāt trirātram upoṣyāhorātraṃ vā sāvitrīm abhyāvartayed yāvacchaknuyād brāhmaṇebhyaḥ kiṃcid dadyād ahorātram uparamya prādhyayanam
4.9.1	snātaḥ
4.9.2	upasparśanakāle 'vagāhya devatās tarpayati
4.9.3	agnis tṛpyatu vāyus tṛpyatu sūryas tṛpyatu viṣṇus tṛpyatu prajāpatis tṛpyatu virūpākṣas tṛpyatu sahasrākṣas tṛpyatu somaḥ brahmā vedāḥ devāḥ ṛṣayaḥ sarvāṇi ca chandāṃsi oṃkāraḥ vaṣaṭkāraḥ mahāvyāhṛtayaḥ sāvitrī yajñāḥ dyāvāpṛthivī nakṣatrāṇi antarikṣam ahorātrāṇi saṃkhyāḥ saṃdhyāḥ samudrāḥ nadyaḥ girayaḥ kṣetrauṣadhivanaspatigandharvāpsarasaḥ nāgāḥ vayāṃsi siddhāḥ sādhyāḥ viprāḥ yakṣāḥ rakṣāṃsi bhūtāny evamantāni tṛpyantu śrutiṃ tarpayāmi smṛtiṃ tarpayāmi dhṛtiṃ tarpayāmi ratiṃ tarpayāmi gatiṃ tarpayāmi matiṃ tarpayāmi śraddhāmedhe dhāraṇāṃ ca gobrāhmaṇaṃ sthāvarajaṅgamāni sarvabhūtāni tṛpyantv iti yajñopavītī
4.10.1	atha prācīnāvītī
4.10.2	pitryāṃ diśam īkṣamāṇaḥ
4.10.3	śatarcinaḥ mādhyamāḥ gṛtsamadaḥ viśvāmitraḥ jamadagniḥ vāmadevaḥ atriḥ bharadvājaḥ vasiṣṭhaḥ pragāthāḥ pāvamānāḥ kṣudrasūktamahāsūktāḥ sumantuḥ jaiminivaiśampāyanapailasūtrabhāṣyagārgyababhrubābhravyamaṇḍumāṇḍavyāḥ gārgī vācaknavī vaḍavā prātitheyī sulabhā maitreyī kaholaṃ kauṣītakiṃ mahākauṣītakiṃ suyajñaṃ śāṅkhāyanam āśvalāyanam aitareyaṃ mahaitareyaṃ bhāradvājaṃ jātūkarṇyaṃ paiṅgyaṃ mahāpaiṅgyaṃ bāṣkalaṃ gārgyaṃ śākalyaṃ māṇḍūkeyaṃ mahādamatram audavāhiṃ mahaudavāhiṃ sauyāmiṃ śaunakiṃ śākapūṇiṃ gautamiṃ ye cānya ācāryās te sarve tṛpyantv iti
4.10.4	pratipuruṣaṃ pitaraḥ
4.10.5	pitṛvaṃśas tṛpyatu
4.10.6	mātṛvaṃśas tṛpyatu
4.11.1	na nagnāṃ striyam īkṣetānyatra maithunāt
4.11.2	nādityaṃ saṃdhivelayoḥ
4.11.3	anāptam
4.11.4	akāryakāriṇam
4.11.5	pretasparśinam
4.11.6	sūtikodakyābhyāṃ na saṃvadet
4.11.7	etaiś ca
4.11.8	uddhṛtatejāṃsi na bhuñjīta
4.11.9	na yātayāmaiḥ kāryaṃ kuryāt
4.11.10	na saha bhuñjīta
4.11.11	na śeṣam
4.11.12	pitṛdevatātithibhṛtyānāṃ śeṣaṃ bhuñjīta
4.11.13	uñchaśilam ayācitapratigrahaḥ sādhubhyo yācito vā yājanaṃ vṛttiḥ
4.11.14	pūrvaṃ pūrvaṃ garīyaḥ
4.11.15	asaṃsidhyamānāyāṃ vaiśyavṛttir vā
4.11.16	apramattaḥ pitṛdaivatakāryeṣu
4.11.17	ṛtau svadāragāmī
4.11.18	na divā śayīta
4.11.19	na pūrvāpararātrau
4.11.20	na bhūmāv anantarhitāyām āsīta
4.11.21	nityodakī
4.11.22	yajñopavītī
4.11.23	na virahayed ācāryam
4.11.24	anyatra niyogāt
4.11.25	anujñāto vā
4.12.1	aharahar ācāryāyābhivādayeta
4.12.2	gurubhyaś ca
4.12.3	sametya śrotriyasya
4.12.4	proṣya pratyetyāśrotriyasya
4.12.5	asāv ahaṃ bho 3 ity ātmano nāmādiśya vyatyasya pāṇī
4.12.6	asau ity asya pāṇī saṃgṛhyāśiṣam āśāste
4.12.7	nāvṛto yajñaṃ gacchet
4.12.8	adharmāc ca jugupseta
4.12.9	na janasamavāyaṃ gacchet
4.12.10	nopary uddiśet sametya
4.12.11	anākrośako 'piśunaḥ kulaṃkulo netihetiḥ syāt
4.12.12	naikaś caret
4.12.13	na nagnaḥ
4.12.14	nāpihitapāṇiḥ
4.12.15	devāyatanāni pradakṣiṇam
4.12.16	na dhāvet
4.12.17	na niṣṭhīvet
4.12.18	na kaṇḍūyet
4.12.19	mūtrapurīṣe nāvekṣeta
4.12.20	avaguṇṭhyāsīta
4.12.21	nānantarhitāyām
4.12.22	yady ekavastro yajñopavītaṃ karṇe kṛtvā
4.12.23	nādityam abhimukhaḥ
4.12.24	na jaghanena
4.12.25	ahar udaṅmukho naktaṃ dakṣiṇāmukhaḥ
4.12.26	na cāpsu śleṣma na ca samīpe
4.12.27	na vṛkṣam ārohet
4.12.28	na kūpam avekṣeta
4.12.29	na dhuvanaṃ gacchet
4.12.30	na tv eva tu śmaśānam
4.12.31	savastro 'harahar āplavet
4.12.32	āplutyāvyudako 'nyad vastram ācchādayet
4.13.1	rohiṇyāṃ kṛṣikarmāni kārayet
4.13.2	purastāt karmaṇāṃ prācyāṃ kṣetramaryādāyāṃ dyāvāpṛthivībaliṃ haret
4.13.3	dyāvāpṛthivīyayarcā namo dyāvāpṛthivībhyām iti copasthānam
4.13.4	prathamaprayoge sīrasya brāhmaṇaḥ sīraṃ spṛśec chunaṃ naḥ phālā ity etām anubruvan
4.13.5	kṣetrasya patineti pradakṣiṇaṃ pratyṛcaṃ pratidiśam upasthānam
4.14.1	udakaṃ tariṣyan svastyayanaṃ karoti
4.14.2	udakāñjalīṃs trīn apsu juhoti samudrāya vaiṇave namo varuṇāya dharmapataye namo namaḥ sarvābhyo nadībhyaḥ
4.14.3	sarvāsāṃ pitre viśvakarmaṇe dattaṃ havir juṣatām iti japitvā
4.14.4	pratīpaṃ sravantībhya unnīyaṃ sthāvarābhyaḥ
4.14.5	taraṃś ced bhayaṃ śaṅked vāsiṣṭhaṃ sūktaṃ japet samudrajyeṣṭhā ity etat plavam
4.15.1	śravaṇaṃ śraviṣṭhīyāyāṃ paurṇamāsyām akṣatasaktūnāṃ sthālīpākasya vā juhoti
4.15.2	viṣṇave svāhā śravaṇāya svāhā śrāvaṇyai paurṇamāsyai svāhā varṣābhyaḥ svāheti
4.15.3	gṛhyam agniṃ bāhyata upasamādhāya lājān akṣatasaktūṃś ca sarpiṣā saṃninīya juhoti
4.15.4	divyānāṃ sarpāṇām adhipataye svāhā divyebhyaḥ sarpebhyaḥ svāheti
4.15.5	uttareṇāgniṃ prāgagreṣu naveṣu kuśeṣūdakumbhaṃ navaṃ pratiṣṭhāpya
4.15.6	divyānāṃ sarpāṇām adhipatir avaneniktāṃ divyāḥ sarpā avanenijatām ity apo ninayati
4.15.7	divyānāṃ sarpāṇām adhipatiḥ pralikhatāṃ divyāḥ sarpāḥ pralikhantām iti phaṇena ceṣṭayati
4.15.8	divyānāṃ sarpāṇām adhipatiḥ pralimpatāṃ divyāḥ sarpāḥ pralimpantām iti varṇakasya mātrā ninayati
4.15.9	divyānāṃ sarpāṇām adhipatir ābadhnītāṃ divyāḥ sarpā ābadhnatām iti sumanasa upaharati
4.15.10	divyānāṃ sarpāṇām adhipatir āchādayatāṃ divyāḥ sarpā āchādayantām iti sūtratantum upaharati
4.15.11	divyānāṃ sarpāṇām adhipatir āṅktāṃ divyāḥ sarpā āñjatām iti kuśataruṇenopaghātam āñjanasya karoti
4.15.12	divyānāṃ sarpāṇām adhipatir īkṣatāṃ divyāḥ sarpā īkṣantām ity ādarśenekṣayati
4.15.13	divyānāṃ sarpāṇām adhipata eṣa te balir divyāḥ sarpā eṣa vo balir iti balim upaharati
4.15.14	evam āntarikṣāṇām
4.15.15	diśyānām
4.15.16	pārthivānām iti
4.15.17	tristrir uccaistarāmuccaistarāṃ pūrvam
4.15.18	nīcaistarāṃ nīcaistarām uttaram
4.15.19	evam aharahar akṣatasaktūnāṃ darveṇopaghātam ā pratyavarohaṇād rātrau vāgyataḥ sodakaṃ baliṃ haret
4.15.20	vāgyatā cainam upasādayet
4.15.21	ya upakramaḥ sa utsargaḥ
4.15.22	sutrāmāṇam iti śayyām ārohet
4.16.1	āśvayujyāṃ paurṇamāsyām aindraḥ pāyasaḥ
4.16.2	aśvibhyāṃ svāhāśvayugbhyāṃ svāhāśvayujyai paurṇamāsyai svāhā śarade svāhā paśupataye svāhā piṅgalāya svāhety ājyasya hutvā
4.16.3	atha pṛṣātakasyā gāvo agmann ity etena sūktena pratyṛcaṃ juhuyāt
4.16.4	mātṛbhir vatsānt saṃsṛjanti tāṃ rātrīm
4.16.5	atha brāhmaṇabhojanam
4.17.1	āgrahāyaṇyāṃ pratyavarohet
4.17.2	rohiṇyāṃ proṣṭhapadāsu vā
4.17.3	prātaḥ śamīpalāśamadhūkeṣīkāpāmārgāṇāṃ śirīṣodumbarakuśataruṇabadarīṇāṃ ca pūrṇamuṣṭim ādāya sītāloṣṭaṃ ca
4.17.4	udapātre 'vadhāya
4.17.5	mahāvyāhṛtīḥ sāvitrīṃ coddrutyāpa naḥ śośucad agham ity etena sūktena tasmin nimajjya nimajjya pradakṣiṇaṃ śaraṇyebhyaḥ pāpmānam apahatyottarato ninayet
4.17.6	madhuparko dakṣiṇā
4.18.1	grīṣmo hemanta uta vā vasantaḥ śarad varṣāḥ sukṛtaṃ no astu / teṣāṃ ṛtūnāṃ śataśāradānāṃ nivāta eṣām abhaye syāma svāhā / apa śveta padā jahi pūrveṇa cāpareṇa ca / sapta ca vāruṇīr imāḥ sarvāś ca rājabāndhavīḥ svāhā / śvetāya vaidārvāya svāhā vidārvāya svāhā hutvā
4.18.2	suhemantaḥ suvasantaḥ sugrīṣmaḥ pratidhīyatām / suvarṣāḥ santu no varṣāḥ śaradaḥ śaṃ bhavantu na iti
4.18.3	śaṃ no mitra iti palāśaśākhayā vimṛjya
4.18.4	samudrād ūrmir ity abhyukṣya
4.18.5	syonā pṛthivi bhaveti srastaram āstīrya
4.18.6	jyeṣṭhadakṣiṇāḥ pārśvaiḥ saṃviśanti
4.18.7	prati brahman pratitiṣṭhāmi kṣatra iti dakṣiṇaiḥ
4.18.8	praty aśveṣu pratitiṣṭhāmi goṣv iti savyaiḥ
4.18.9	prati paśuṣu pratitiṣṭhāmi puṣṭāv iti dakṣiṇaiḥ
4.18.10	prati prajāyāṃ pratitiṣṭhāmy anna iti savyaiḥ
4.18.11	udīrdhvaṃ jīva ity utthānam
4.18.12	srastare tāṃ rātrīṃ śerate
4.18.13	yathāsukham ata ūrdhvam
4.19.1	caitryāṃ paurṇamāsyām
4.19.2	karkandhuparṇāni mithunānāṃ ca yathopapādaṃ piṣṭasya kṛtvā
4.19.3	aindrāgnas tuṇḍilaḥ
4.19.4	raudrā golakāḥ
4.19.5	lokato nakṣatrāṇy anvākṛtayaś ca lokato nakṣatrāṇy anvākṛtayaś ca
5.1.1	atha pravatsyann ātmann araṇyoḥ samidhi vāgniṃ samārohayati
5.1.2	ehi me prāṇān āroheti sakṛtsakṛn mantreṇa dvirdvis tūṣṇīm
5.1.3	ayaṃ te yonir iti vāraṇī pratitapati
5.1.4	samidhaṃ vā
5.1.5	anastamite ca manthanam
5.1.6	vaiśvadevakāle ca
5.1.7	upalipta uddhatāvokṣite laukikam agnim āhṛtyopāvarohety upāvarohaṇam
5.1.8	anugate 'gnau sarvaprāyaścittāhutī hutvā pāhi no agna edhase svāhā pāhi no viśvavedase svāhā yajñaṃ pāhi vibhāvaso svāhā sarvaṃ pāhi śatakrato svāheti
5.1.9	vratahānā upoṣyājyasya hutvā tvaṃ agne vratapā iti
5.2.1	atha puṣkariṇīkūpataḍāgānām
5.2.2	śuddhapakṣe puṇye vā tithau
5.2.3	payasā yavamayaṃ caruṃ śrapayitvā
5.2.4	tvaṃ no agna iti dvābhyām ava te heﾱa imaṃ me varuṇod uttamaṃ varuṇemāṃ dhiyaṃ śikṣamāṇasya
5.2.5	gṛhyo 'pagṛhyo mayobhūr ākharo nikharo niḥsaro nikāmaḥ sapatnadūṣaṇa iti vāruṇyā dikprabhṛti pradakṣiṇaṃ juhuyāt
5.2.6	madhye payasā juhoti viśvataścakṣur idaṃ viṣṇur iti
5.2.7	yat kiṃcedam iti majjayitvā
5.2.8	dhenur dakṣiṇā vastrayugmaṃ ca
5.2.9	ato brāhmaṇabhojanam
5.3.1	athārāme 'gniṃ upasamādhāya
5.3.2	sthālīpākaṃ śrapayitvā
5.3.3	viṣṇave svāhendrāgnibhyāṃ svāhā viśvakarmaṇe svāheti yān vo nara iti pratyṛcaṃ juhuyāt
