#Text:Pāraskaragṛhyasūtra
#Edition:Bakre (DCS version)



1.1.1	athāto gṛhyasthālīpākānāṃ karma
2.17.15	atha paścāt ābhuvaḥ prabhuvo bhūtirbhūmiḥ pārṣṇiḥ śunaṅkuriḥ / te tvā paścād gopāyantv apramattā anapāyino nama eṣāṃ karomyahaṃ balimebhyo harāmīmamiti
2.17.16	athottarato bhīmā vāyusamā jave / te tvottarataḥ kṣetre khale gṛhe 'dhvani gopāyantv apramattā anapāyino nama eṣāṃ karomyahaṃ balimebhyo harāmīmamiti
2.17.17	prakṛtād anyasmād ājyaśeṣeṇa ca pūrvavad balikarma
2.17.18	striyaś copayajerann ācaritatvāt
2.17.19	saṃsthite karmaṇi brāhmaṇānbhojayetsaṃsthite karmaṇi brāhmaṇānbhojayet
3.1.1	śrīḥ / anāhitāgner navaprāśanam
3.1.2	navaṃ sthālīpākaṃ śrapayitvājyabhāgāviṣṭvājyāhutī juhoti / śatāyudhāya śatavīryāya śatotaye abhimātiṣāhe / śataṃ yo naḥ śarado 'jījān indro neṣadati duritāni viśvā svāhā / ye catvāraḥ pathayo devayānā antarā dyāvāpṛthivī viyanti / teṣāṃ yo 'jyānim ajījim āvahāt tasmai no devāḥ paridhatteha sarve svāheti
3.1.3	sthālīpākasyāgrayaṇadevatābhyo hutvā juhoti sviṣṭakṛte ca sviṣṭamagne abhi tat pṛṇīhi viśvāṃśca devaḥ pṛtanā aviṣyat / sugaṃ nu panthāṃ pradiśanna ehi jyotiṣmad dhehyajaraṃ na āyuḥ svāheti
3.1.4	atha prāśnāti / agniḥ prathamaḥ prāśnātu sa hi veda yathā haviḥ / śivā asmabhyam oṣadhīḥ kṛṇotu viśvacarṣaṇiḥ / bhadrānnaḥ śreyaḥ samanaiṣṭa devās tvayāvasena samaśīmahi tvā / sa no mayobhūḥ pito āviśasva śaṃ tokāya tanuve syona iti
3.1.5	annapatīyayā vā
3.1.6	atha yavānām etamutyaṃ madhunā saṃyutam / yavaṃ sarasvatyā adhi vanāya cakṛṣuḥ indra āsīt sīrapatiḥ śatakratuḥ kīnāśā āsanmarutaḥ sudānava iti
3.1.7	tato brāhmaṇabhojanam
3.2.1	mārgaśīrṣyāṃ paurṇamāsyām āgrahāyaṇīkarma
3.2.2	sthālīpākaṃ śrapayitvā śravaṇavad ājyāhutī hutvāparā juhoti / yāṃ janāḥ pratinandanti rātrīṃ dhenumivāyatīm / saṃvatsarasya yā patnī sā no astu sumaṅgalī svāhā / saṃvatsarasya pratimā yā tāṃ rātrīm upāsmahe / prajāṃ suvīryāṃ kṛtvā dīrgham āyur vyaśnavai svāhā / saṃvatsarāya parivatsarāyedāvatsarāyedvatsarāya vatsarāya kṛṇute bṛhannamaḥ / teṣāṃ vayaṃ sumatau yajñiyānāṃ jyogjītā ahatāḥ syāma svāhā / grīṣmo hemanta uta no vasantaḥ śivā varṣā abhayā śarannaḥ / teṣām ṛtūnāṃ śataśāradānāṃ nivāta eṣām abhaye vasema svāheti
3.2.3	sthālīpākasya juhoti / somāya mṛgaśirase mārgaśīrṣyai paurṇamāsyai hemantāya ceti
3.2.4	prāśanānte saktuśeṣaṃ śūrpe nyupyopaniṣkramaṇaprabhṛty ā mārjanāt
3.2.5	mārjanānta utsṛṣṭo balirityāha
3.2.6	paścādagneḥ srastaram āstīryāhataṃ ca vāsa āplutā ahatavāsasaḥ pratyavarohanti dakṣiṇataḥ svāmī jāyottarā yathākaniṣṭhamuttarataḥ
3.2.7	dakṣiṇato brahmāṇamupaveśyottarata udapātraṃ śamīśākhāsītāloṣṭhāśmano nidhāyāgnimīkṣamāṇo japati / ayamagnir vīratamo 'yaṃ bhagavattamaḥ sahasrasātamaḥ / suvīryo'yaṃ śraiṣṭhye dadhātu nāviti
3.2.8	paścād agneḥ prāñcam añjaliṃ karoti
3.2.9	daivīṃ nāvamiti tisṛbhiḥ srastaramārohanti
3.2.10	brahmāṇamāmantrayate brahmanpratyavarohāmeti
3.2.11	brahmānujñātāḥ pratyavarohanti āyuḥ kīr yaśo balamannādyaṃ prajāmiti
3.2.12	upetā japanti / suhemantaḥ suvasantaḥ sugrīṣmaḥ pratidhīyatāṃ naḥ / śivā no varṣāḥ santu śaradaḥ santu naḥ śivā iti
3.2.13	syonā pṛthivi no bhaveti dakṣiṇapārśvaiḥ prākśirasaḥ saṃviśanti
3.2.14	upottiṣṭhanti ud āyuṣā svāyuṣot parjanyasya vṛṣṭyā pṛthivyāḥ saptadhāmabhir iti
3.2.15	evaṃ dvir aparaṃ brahmānujñātāḥ
3.2.16	adhaḥ śayīraṃś caturo māsānyatheṣṭaṃ vā
3.3.1	ūrdhvam āgrahāyaṇyās tisro 'ṣṭakāḥ
3.3.2	aindrī vaiśvadevī prājāpatyā pitryeti
3.3.3	apūpamāṃsaśākair yathāsaṃkhyam
3.3.4	prathamāṣṭakā pakṣāṣṭamyām
3.3.5	sthālīpākaṃ śrapayitvājyabhāgāv iṣṭvājyāhutīr juhoti / triṃśat svasāra upayanti niṣkṛtaṃ samānaṃ ketuṃ pratimuñcamānāḥ / ṛtūṃstanvate kavayaḥ prajānatīr madhye chandasaḥ pariyanti bhāsvatīḥ svāhā / jyotiṣmatī pratimuñcate nabho rātrī devī sūryasya vratāni / vipaśyanti paśavo jāyamānā nānārūpā māturasyā upasthe svāhā / ekāṣṭakā tapasā tapyamānā jajāna garbhaṃ mahimānamindram / tena dasyūn vyasahanta devā hantāsurāṇām abhavacchacībhiḥ svāhā / ananujām anujāṃ mām akartta satyaṃ vadantyanviccha etat / bhūyāsamasya sumatau yathā yūyam anyā vo anyām ati mā prayukta svāhā / abhūnmama sumatau viśvavedā āṣṭa pratiṣṭhām avidaddhi gādham / bhūyāsam asya sumatau yathā yūyam anyā vo anyāmati mā prayukta svāhā / pañca vyuṣṭīranu pañca dohā gāṃ pañcanāmnīm ṛtavo 'nu pañca / pañca diśaḥ pañcadaśena kﾱptāḥ samānamūrdhnīr adhi lokam ekaṃ svāhā / ṛtasya garbhaḥ prathamā vyūṣiṣy apām ekā mahimānaṃ bibharti / sūryasyaikā carati niṣkṛteṣu gharmasyaikā savitaikāṃ niyacchatu svāhā / yā prathamā vyaucchat sā dhenur abhavad yame / sā naḥ payasvatī dhukṣvottarām uttarāṃ samāṃ svāhā / śukrarṣabhā nabhasā jyotiṣāgād viśvarūpā śabalī agniketuḥ / samānamarthaṃ svapasyamānā bibhratī jarām ajara uṣa āgāḥ svāhā / ṛtūnāṃ patnī prathameyamāgādahnāṃ netrī janitrī prajānām / ekā satī bahudhoṣo vyaucchat sājīrṇā tvaṃ jarayasi sarvamanyatsvāheti
3.3.6	sthālīpākasya juhoti śāntā pṛthivī śivamantarikṣaṃ śaṃ no dyaurabhayaṃ kṛṇotu / śaṃ no diśaḥ pradiśa ādiśo no 'horātre kṛṇutaṃ dīrgham āyur vyaśnavai svāhā / āpo marīcīḥ paripāntu sarvato dhātā samudro apahantu pāpam / bhūtaṃ bhaviṣyad akṛntad viśvam astu me brahmābhiguptaḥ surakṣitaḥ syāṃ svāhā / viśve ādityā vasavaśca devā rudrā goptāro marutaśca santu / ūrjaṃ prajāmamṛtaṃ dīrghamāyuḥ prajāpatirmayi parameṣṭhī dadhātu naḥ svāheti ca
3.3.7	aṣṭakāyai svāheti
3.3.8	madhyamā gavā
3.3.9	tasyai vapāṃ juhoti vaha vapāṃ jātavedaḥ pitṛbhya iti
3.3.10	śvo 'nvaṣṭakāsu sarvāsāṃ pārśvasakthisavyābhyāṃ parivṛte piṇḍapitṛyajñavat
3.3.11	strībhyaś copasecanaṃ ca karṣūṣu surayā tarpaṇena cāñjanānulepanaṃ srajaśca
3.3.12	ācāryāyāntevāsibhyaś cānapatyebhya icchan
3.3.13	madhyāvarṣe ca turīyā śākāṣṭakā
3.4.1	athātaḥ śālākarma
3.4.2	puṇyāhe śālāṃ kārayet
3.4.3	tasyā avaṭamabhijuhoty acyutāya bhaumāya svāheti
3.4.4	stambhamucchrayati imāmucchrayāmi bhuvanasya nābhiṃ vasordhārāṃ prataraṇīṃ vasūnām / ihaiva dhruvāṃ niminomi śālāṃ kṣeme tiṣṭhatu ghṛtamukṣamāṇā / aśvāvatī gomatī sūnṛtāvatyucchrayasva mahate saubhagāya / ā tvā śiśur ākrandatv ā gāvo dhenavo vāśyamānāḥ / ā tvā kumārastaruṇa ā vatso jagadaiḥ saha / ā tvā parisrutaḥ kumbha ā dadhnaḥ kalaśairupa / kṣemasya patnī bṛhatī suvāsā rayiṃ no dhehi subhage suvīryam / aśvāvadgomadūrjasvat parṇaṃ vanaspateriva / abhi naḥ pūryatāṃ rayir idam anu śreyo vasāna iti caturaḥ prapadyate
3.4.5	abhyantarato 'gnim upasamādhāya dakṣiṇato brahmāṇamupaveśyottarata udapātraṃ pratiṣṭhāpya sthālīpākaṃ śrapayitvā niṣkramya dvārasamīpe sthitvā brahmāṇamāmantrayate brahman praviśāmīti
3.4.6	brahmānujñātaḥ praviśatyṛtaṃ prapadye śivaṃ prapadya iti
3.4.7	ājyaṃ saṃskṛtyeha ratir ity ājyāhutī hutvāparā juhoti / vāstoṣpate pratijānīhy asmān svāveśo anamīvo bhavā naḥ / yat tvemahe prati tan no juṣasva śaṃ no bhava dvipade śaṃ catuṣpade svāhā / vāstoṣpate prataraṇo na edhi gayasphāno gobhir aśvebhir indo / ajarāsaste sakhye syāma piteva putrānprati tan no juṣasva śaṃ no bhava dvipade śaṃ catuṣpade svāhā / vāstoṣpate śagmayā saṃsadā te sakṣīmahi raṇvayā gātumatyā / pāhi kṣema uta yoge varaṃ no yūyaṃ pāta svastibhiḥ sadā naḥ svāhā / amīvahā vāstoṣpate viśvā rūpāṇyāviśan / sakhā suśeva edhi naḥ svāheti
3.4.8	sthālīpākasya juhoti / agnimindraṃ bṛhaspatiṃ viśvān devān upahvaye sarasvatīṃ ca vājīṃ ca vāstu me datta vājinaḥ svāhā / sarpadevajanānt sarvān himavantaṃ sudarśanam / vasūṃśca rudrān ādityān īśānaṃ jagadaiḥ saha / etānt sarvānprapadye 'haṃ vāstu me datta vājinaḥ svāhā / pūrvāhṇamaparāhṇaṃ cobhau madhyaṃdinā saha / pradoṣam ardharātraṃ ca vyuṣṭāṃ devīṃ mahāpathām / etānt sarvān prapadye 'haṃ vāstu me datta vājinaḥ svāhā / kartāraṃ ca vikartāraṃ viśvakarmāṇamoṣadhīṃśca vanaspatīn / etāntsarvān prapadye'haṃ vāstu me datta vājinaḥ svāhā / dhātāraṃ ca vidhātāraṃ nidhīnāṃ ca patiṃ saha / etāntsarvān prapadye'haṃ vāstu me datta vājinaḥ svāhā / syonaṃ śivamidaṃ vāstu dattaṃ brahmaprajāpatī / sarvāśca devatāḥ svāheti
3.4.9	prāśanānte kāṃsye saṃbhārānopyaudumbarapalāśāni sasurāṇi śāḍvalaṃ gomayaṃ dadhi madhu ghṛtaṃ kuśānyavāṃścāsanopasthāneṣu prokṣet
3.4.10	pūrve sandhāvabhimṛśati / śrīśca tvā yaśaśca pūrve sandhau gopāyetāmiti
3.4.11	dakṣiṇe saṃdhāvabhimṛśati / yajñaśca tvā dakṣiṇā ca dakṣiṇe sandhau gopāyetāmiti
3.4.12	paścime saṃdhāvabhimṛśati / annaṃ ca tvā brāhmaṇaśca paścime sandhau gopāyetāmiti
3.4.13	uttare saṃdhāvabhimṛśati / ūrk ca tvā sūnṛtā cottare sandhau gopāyetāmiti
3.4.14	niṣkramya diśa upatiṣṭhate / ketā ca mā suketā ca purastād gopāyetām ity agnirvai ketādityaḥ suketā tau prapadye tābhyāṃ namo 'stu tau mā purastād gopāyetāmiti
3.4.15	atha dakṣiṇato gopāyamānaṃ ca mā rakṣamāṇā ca dakṣiṇato gopāyetām ity aharvai gopāyamānaṃ rātrī rakṣamāṇā te prapadye tābhyāṃ namo 'stu te mā dakṣiṇato gopāyetāmiti
3.4.16	atha paścād dīdiviśca bhā jāgṛviśca paścād gopāyetām ity annaṃ vai dīdiviḥ prāṇo jāgṛvis tau prapadye tābhyāṃ namo 'stu tau mā paścādgopāyetāmiti
3.4.17	athottarato 'svapnaśca mānavadrāṇaś cottarato gopāyetāmiti candramā vā asvapno vāyur anavadrāṇas tau prapadye tābhyāṃ namo 'stu tau mottarato gopāyetāmiti
3.4.18	niṣṭhitāṃ prapadyate dharma sthūṇārājaṃ śrī stūpam ahorātre dvāraphalake / indrasya gṛhā vasumanto varūthinas tān ahaṃ prapadye saha prajayā paśubhiḥ saha / yanme kiṃcidasty upahūtaḥ sarvagaṇasakhāyasādhusaṃvṛtaḥ / tāṃ tvā śāle 'riṣṭavīrā gṛhā naḥ santu sarvata iti
3.4.19	tato brāhmaṇabhojanam
3.5.1	athāto maṇikāvadhānam
3.5.2	uttarapūrvasyāṃ diśi yūpavadavaṭaṃ khātvā kuśān āstīryākṣatān ariṣṭakāṃś cānyāni cābhimaṅgalāni tasmin minoti maṇikaṃ samudro 'sīti
3.5.3	apa āsiñcati / āpo revatīḥ kṣayathā hi vasvaḥ kratuṃ ca bhadraṃ bibhṛthāmṛtaṃ ca / rāyaśca stha svapatyasya patnī sarasvatī tadgṛṇate vayo dhāditi
3.5.4	āpo hi ṣṭheti ca tisṛbhiḥ
3.5.5	tato brāhmaṇabhojanam
3.6.1	athātaḥ śīrṣarogabheṣajam
3.6.2	pāṇī prakṣālya bhruvau mimārṣṭi / cakṣurbhyāṃ śrotrābhyāṃ godānācchubukād adhi / yakṣmaṃ śīrṣaṇyaṃ rarāṭād vivṛhāmīmam iti / ardhaṃ ced avabhedaka virūpākṣa śvetapakṣa mahāyaśaḥ / atho citrapakṣa śiro māsyābhitāpsīd iti
3.6.3	kṣemyo hyeva bhavati
3.7.1	utūlaparimehaḥ
3.7.2	svapato jīvaviṣāṇe svaṃ mūtram āsicyāpasalavi triḥ pariṣiñcan parīyāt / pari tvā gireraha pari mātuḥ pari svasuḥ pari pitrośca bhrātrośca sakhyebhyo visṛjāmy aham / utūla parimīḍho 'si parimīḍhaḥ kva gamiṣyasīti
3.7.3	sa yadi bhramyād dāvāgnim upasamādhāya ghṛtāktāni kuśeṇḍvāni juhuyāt / pari tvā hvalano hvalanirvṛttendravīrudhaḥ / indrapāśena sitvā mahyaṃ muktvāthānyam ānayed iti
3.7.4	kṣemyo hy eva bhavati
3.8.1	śūlagavaḥ
3.8.2	svargyaḥ paśavyaḥ putryo dhanyo yaśasya āyuṣyaḥ
3.8.3	aupāsanamaraṇyaṃ hṛtvā vitānaṃ sādhayitvā raudraṃ paśumālabheta
3.8.4	sāṇḍam
3.8.5	gaurvā śabdāt
3.8.6	vapāṃ śrapayitvā sthālīpākamavadānāni ca rudrāya vapāmantarikṣāya vasāṃ sthālīpākamiśrānyavadānāni juhotyagnaye rudrāya śarvāya paśupataye ugrāyāśanaye bhavāya mahādevāyeśānāyeti ca
3.8.7	vanaspatisviṣṭakṛdante
3.8.8	digvyāghāraṇam
3.8.9	vyāghāraṇānte patnīḥ saṃyājayantīndrāṇyai rudrāṇyai śarvāṇyai bhavānyā agniṃ gṛhapatimiti
3.8.10	lohitaṃ pālāśeṣu kūrceṣu rudrāya senābhyo baliṃ harati yāste rudra purastāt senās tābhya eṣa balistābhyaste namo yāste rudra dakṣiṇataḥ senāstābhya eṣa balis tābhyaste namo yāste rudra paścāt senās tābhya eṣa balistābhyaste namo yāste rudrottarataḥ senās tābhya eṣa balis tābhyaste namo yāste rudropariṣṭāt senās tābhya eṣa balis tābhyaste namo yāste rudrādhastāt senās tābhya eṣa balis tābhyaste nama iti
3.8.11	ūvadhyaṃ lohitaliptam agnau prāsyaty adho vā nikhanati
3.8.12	anuvātaṃ paśum avasthāpya rudrair upatiṣṭhate prathamottamābhyāṃ vānuvākābhyām
3.8.13	naitasya paśorgrāmaṃ haranti
3.8.14	etenaiva goyajño vyākhyātaḥ pāyasenānarthaluptaḥ
3.8.15	tasya tulyavayā gaurdakṣiṇā
3.9.1	atha vṛṣotsargaḥ
3.9.2	goyajñena vyākhyātaḥ
3.9.3	kārtikyāṃ paurṇamāsyāṃ revatyāṃ vāśvayujasya
3.9.4	madhye gavāṃ susamiddham agniṃ kṛtvājyaṃ saṃskṛtyeha ratir iti ṣaṭ juhoti pratimantram
3.9.5	pūṣā gā anvetu naḥ pūṣā rakṣatvarvataḥ / pūṣā vājaṃ sanotu naḥ svāheti pauṣṇasya juhoti
3.9.6	rudrān japitvaikavarṇaṃ dvivarṇaṃ vā yo vā yūthaṃ chādayati yaṃ vā yūthaṃ chādayed rohito vaiva syāt sarvāṅgair upeto jīvavatsāyāḥ payasvinyāḥ putro yūthe ca rūpasvittamaḥ syāt tam alaṃkṛtya yūthe mukhyāścatasro vatsataryas tāś cālaṃkṛtya etaṃ yuvānaṃ patiṃ vo dadāmi tena krīḍantīś caratha priyeṇa / mā naḥ sāptajanuṣāsubhagā rāyaspoṣeṇa sam iṣā mademety etayaivotsṛjeran
3.9.7	nabhyastham abhimantrayate mayobhūr ity anuvākaśeṣeṇa
3.9.8	sarvāsāṃ payasi pāyasaṃ śrapayitvā brāhmaṇān bhojayet
3.9.9	paśum apyeke kurvanti
3.9.10	tasya śūlagavena kalpo vyākhyātaḥ
3.10.1	athodakakarma
3.10.2	advivarṣe prete mātāpitrorāśaucam
3.10.3	śaucam evetareṣām
3.10.4	ekarātraṃ trirātraṃ vā
3.10.5	śarīram adagdhvā nikhananti
3.10.6	antaḥsūtake ced otthānād āśaucaṃ sūtakavat
3.10.7	nātrodakakarma
3.10.8	dvivarṣaprabhṛti pretam ā śmaśānāt sarve 'nugaccheyuḥ
3.10.9	yamagāthāṃ gāyanto yamasūktam ca japanta ityeke
3.10.10	yadyupeto bhūmijoṣaṇādisamānam āhitāgner odakāntasya gamanāt
3.10.11	śālāgninā dahanty enamāhitaścet
3.10.12	tūṣṇīṃ grāmāgninetaram
3.10.13	saṃyuktaṃ maithunaṃ vodakam yācerann udakaṃ kariṣyāmaha iti
3.10.14	kurudhvaṃ mā caivaṃ punar ity aśatavarṣe prete
3.10.15	kurudhvam ityevetarasmin
3.10.16	sarve jñātayo 'po 'bhyavayanty ā saptamāt puruṣād daśamādvā
3.10.17	samānagrāmavāse yāvat saṃbandham anusmareyuḥ
3.10.18	ekavastrāḥ prācīnāvītinaḥ
3.10.19	savyasyānāmikayāpanodyāpa naḥ śośucadaghamiti
3.10.20	dakṣiṇāmukhā nimajjanti
3.10.21	pretāyodakam sakṛt prasiñcanty añjalināsāv etat ta udakamiti
3.10.22	uttīrṇāñchucau deśe śāḍvalavaty upaviṣṭāṃs tatraitān apavadeyuḥ
3.10.23	anavekṣamāṇā grāmam āyānti rītībhūtāḥ kaniṣṭhapūrvāḥ
3.10.24	niveśanadvāre picumandapatrāṇi vidaśyācamyodakam agniṃ gomayaṃ gaurasarṣapāṃstailam ālabhyāśmānam ākramya praviśanti
3.10.25	trirātraṃ brahmacāriṇo 'dhaḥśāyino na kiṃcana karma kurvanti na prakurvanti
3.10.26	krītvā labdhvā vā divaivānnamaśnīyur amāṃsam
3.10.27	pretāya piṇḍaṃ dattvāvanejanadānapratyavanejaneṣu nāmagrāham
3.10.28	mṛnmaye tāṃ rātrīṃ kṣīrodake vihāyasi nidadhyuḥ pretātra snāhīti
3.10.29	trirātraṃ śāvamāśaucam
3.10.30	daśarātramityeke
3.10.31	na svādhyāyamadhīyīran
3.10.32	nityāni nivarteran vaitānavarjam
3.10.33	śālāgnau caike
3.10.34	anya etāni kuryuḥ
3.10.35	pretasparśino grāmaṃ na praviśeyur ā nakṣatradarśanāt
3.10.36	rātrau cedādityasya
3.10.37	praveśanādi samānamitaraiḥ
3.10.38	pakṣaṃ dvau vāśaucam
3.10.39	ācārye caivam
3.10.40	mātāmahayośca
3.10.41	strīṇāṃ cāprattānām
3.10.42	prattānām itare kurvīran
3.10.43	tāśca teṣām
3.10.44	proṣitaś cet preyācchravaṇaprabhṛti kṛtodakāḥ kālaśeṣamāsīran
3.10.45	atītaścedekarātraṃ trirātraṃ vā
3.10.46	atha kāmodakāny ṛtvikśvaśurasakhisaṃbandhimātulabhāgineyānām
3.10.47	prattānāṃ ca
3.10.48	ekādaśyāmayugmānbrāhmaṇānbhojayitvā māṃsavat
3.10.49	pretāyoddiśya gāmapyeke ghnanti
3.10.50	piṇḍakaraṇe prathamaḥ pitṝṇāṃ pretaḥ syāt putravāṃścet
3.10.51	nivarteta caturthaḥ
3.10.52	saṃvatsaraṃ pṛthageke
3.10.53	nyāyastu na caturthaḥ piṇḍo bhavatīti śruteḥ
3.10.54	aharaharannamasmai brāhmaṇāyodakumbhaṃ ca dadyāt
3.10.55	piṇḍamapyeke nipṛṇanti
3.11.1	paśuś ced āplāvyāgām agreṇāgnīn parītya palāśaśākhāṃ nihanti
3.11.2	parivyayaṇopākaraṇaniyojanaprokṣaṇāny āvṛtā kuryād yaccānyat
3.11.3	paripaśavye hutvā tūṣṇīm aparāḥ pañca
3.11.4	vapoddharaṇam cābhighārayeddevatāṃ cādiśet
3.11.5	upākaraṇaniyojanaprokṣaṇeṣu sthālīpāke caivam
3.11.6	vapāṃ hutvāvadānāny avadyati
3.11.7	sarvāṇi trīṇi pañca vā
3.11.8	sthālīpākamiśrāṇy avadānāni juhoti
3.11.9	paśvaṅgaṃ dakṣiṇā
3.11.10	yaddevate taddaivataṃ yajet tasmai ca bhāgaṃ kuryāt taṃ ca brūyād imam anuprāpayeti
3.11.11	nadyantare nāvaṃ kārayen na vā
3.12.1	athāto 'vakīrṇiprāyaścittam
3.12.2	amāvāsyāyāṃ catuṣpathe gardabhaṃ paśumālabhate
3.12.3	nirṛtiṃ pākayajñena yajeta
3.12.4	apsv avadānahomaḥ
3.12.5	bhūmau paśupuroḍāśaśrapaṇam
3.12.6	tāṃ chaviṃ paridadhīta
3.12.7	ūrdhvavālām ityeke
3.12.8	saṃvatsaraṃ bhikṣācaryam caretsvakarma parikīrtayan
3.12.9	athāparamājyāhutī juhoti / kāmāvakīrṇo 'smy avakīrṇo'smi kāma kāmāya svāhā / kāmābhidrugdho 'smyabhidrugdho 'smi kāma kāmāya svāheti
3.12.10	athopatiṣṭhate saṃ mā siñcantu marutaḥ samindraḥ saṃ bṛhaspatiḥ / saṃ māyamagniḥ siñcatu prajayā ca dhanena ceti
3.12.11	etadeva prāyaścittam
3.13.1	athātaḥ sabhāpraveśanam
3.13.2	sabhām abhyeti sabhāṅgirasi nādir nāmāsi tviṣir nāmāsi tasyai te nama iti
3.13.3	atha praviśati sabhā ca mā samitiścobhe prajāpaterduhitarau sacetasau / yo mā na vidyādupa mā sa tiṣṭhet sa cetano bhavatu śaṃsathe jana iti
3.13.4	parṣadametya japed abhibhūr aham āgamavirāḍaprativāśyāḥ / asyāḥ parṣada īśānaḥ sahasā suduṣṭaro jana iti
3.13.5	sa yadi manyeta kruddho 'yamiti tamabhimantrayate yā ta eṣā rarāṭyā tanūrmanyoḥ krodhasya nāśanī / tāṃ devā brahmacāriṇo vinayantu sumedhasaḥ / dyaur ahaṃ pṛthivī cāhaṃ tau te krodhaṃ nayāmasi garbham aśvatary asahāsāviti
3.13.6	atha yadi manyeta drugdho 'yam iti tam abhimantrayate tāṃ te vācamāsya ādatte hṛdaya ādadhe yatra yatra nihitā vāktāṃ tatastata ādade yadahaṃ bravīmi tat satyam adharo mattāṃdyasveti
3.13.7	etadeva vaśīkaraṇam
3.14.1	athāto rathārohaṇam
3.14.2	yuṅkteti rathaṃ saṃpreṣya yukta iti prokte sā virāḍ ity etya cakre abhimṛśati
3.14.3	rathantaramasīti dakṣiṇam
3.14.4	bṛhadasītyuttaram
3.14.5	vāmadevyamasīti kūbarīm
3.14.6	hastenopasthamabhimṛśati aṅkau nyaṅkāvabhito rathaṃ yau dhvāntaṃ vātāgram anusaṃcarantam / dūrehetir indriyavān patatri te no 'gnayaḥ paprayaḥ pārayantviti
3.14.7	namo māṇicarāyeti dakṣiṇaṃ dhuryaṃ prājati
3.14.8	aprāpya devatāḥ pratyavarohetsaṃprati brāhmaṇān madhye gā abhikramya pitṝn
3.14.9	na strībrahmacāriṇau sārathī syātām
3.14.10	muhūrtam atīyāya japed iha ratir iha ramadhvam
3.14.11	eke māstv iha ratir iti ca
3.14.12	sa yadi durbalo rathaḥ syāt tam āsthāya japed ayaṃ vām aśvinā ratho mā durge māstaroriṣad iti
3.14.13	sa yadi bhramyāt stambham upaspṛśya bhūmiṃ vā japed eṣa vām aśvinā ratho mā durge māstaroriṣad iti
3.14.14	tasya na kācanārttirna riṣṭirbhavati
3.14.15	yātvādhvānaṃ vimucya rathaṃ yavasodake dāpayed eṣa u ha vāhanasyāpahnava iti śruteḥ
3.15.1	athāto hastyārohaṇam
3.15.2	etya hastinam abhimṛśati hastiyaśasam asi hastivarcasam asīti
3.15.3	athārohatīndrasya tvā vajreṇābhitiṣṭhāmi svasti mā saṃpārayeti
3.15.4	etenaivāśvārohaṇaṃ vyākhyātam
3.15.5	uṣṭram ārokṣyann abhimantrayate tvāṣṭro 'si tvaṣṭṛdaivatyaḥ svasti mā saṃpārayeti
3.15.6	rāsabhamārokṣyannabhimantrayate śūdro 'si śūdrajanmāgneyo vai dviretāḥ svasti mā saṃpārayeti
3.15.7	catuṣpatham abhimantrayate namo rudrāya pathiṣade svasti mā saṃpārayeti
3.15.8	nadīm uttariṣyann abhimantrayate namo rudrāyāpsuṣade svasti mā saṃpārayeti
3.15.9	nāvam ārokṣyann abhimantrayate sunāvamiti
3.15.10	uttariṣyannabhimantrayate sutrāmāṇamiti
3.15.11	vanamabhimantrayate namo rudrāya vanasade svasti mā saṃpārayeti
3.15.12	girimabhimantrayate namo rudrāya giriṣade svasti mā saṃpārayeti
3.15.13	śmaśānamabhimantrayate namo rudrāya pitṛṣade svasti mā saṃpārayeti
3.15.14	goṣṭhamabhimantrayate namo rudrāya śakṛtpiṇḍasade svasti mā saṃpārayeti
3.15.15	yatra cānyatrāpi namo rudrāyetyeva brūyād rudro hyevedaṃ sarvamiti śruteḥ
3.15.16	sicāvadhūto 'bhimantrayate sigasi na vajro'si namas te 'stu mā mā hiṃsīriti
3.15.17	stanayitnumabhimantrayate śivā no varṣāḥ santu śivā naḥ santu hetayaḥ / śivā nas tāḥ santu yāstvaṃ sṛjasi vṛtrahanniti
3.15.18	śivāṃ vāśyamānām abhimantrayate śivo nāmeti
3.15.19	śakuniṃ vāśyamānam abhimantrayate hiraṇyaparṇa śakune devānāṃ prahitaṃgama / yamadūta namas te 'stu kiṃ tvā kārkāriṇo 'bravīd iti
3.15.20	lakṣaṇyaṃ vṛkṣamabhimantrayate mā tvāśanir mā paraśurmā vāto mā rājapreṣito daṇḍaḥ / aṅkurāste prarohantu nivāte tvābhivarṣatu / agniṣ ṭe mūlaṃ mā hiṃsīt svasti te 'stu vanaspate svasti me 'stu vanaspata iti
3.15.21	sa yadi kiṃcillabheta tat pratigṛhṇāti dyaus tvā dadātu pṛthivī tvā pratigṛhṇātviti sāsya na dadataḥ kṣīyate bhūyasī ca pratigṛhītā bhavati / atha yady odanaṃ labheta tatpratigṛhya dyaus tveti tasya dviḥ prāśnāti brahmā tvāśnātu brahmā tvā prāśnātviti
3.15.22	atha yadi manthaṃ labheta taṃ pratigṛhya dyaustveti tasya triḥ prāśnāti brahmā tvāśnātu brahmā tvā prāśnātu brahmā tvā pibatviti
