#Text:Āśvalāyanagṛhyasūtra
#Edition:Stenzler (DCS version)



1.1.1	uktāni vaitānikāni gṛhyāni vakṣyāmaḥ
3.9.6	na naktaṃ snāyān na nagnaḥ snāyān na nagnaḥ śayīta na nagnāṃ striyam īkṣetānyatra maithunād varṣati na dhāven na vṛkṣam ārohen na kūpam avarohen na bāhubhyāṃ nadīṃ taren na saṃśayam abhyāpadyeta mahad vai bhūtaṃ snātako bhavatīti vijñāyate
3.10.1	gurave prasrakṣyamāṇo nāma prabruvīta
3.10.2	idaṃ vatsyāmo bho iti
3.10.3	uccair ūrdhvaṃ nāmnaḥ
3.10.4	prāṇāpānayor upāṃśu
3.10.5	ā mandrair indra haribhir iti ca
3.10.6	ato vṛddho japati prāṇāpānayor uruvyacāstayā prapadye devāya savitre paridadāmīty ṛcaṃ ca
3.10.7	samāpya oṃ prāk svastīti japitvā mahi trīṇām ity anumantrya
3.10.8	evam atisṛṣṭasya na kutaścid bhayaṃ bhavatīti vijñāyate
3.10.9	vayasām amanojñā vācaḥ śrutvā kanikradaj januṣaṃ prabruvāṇa iti sūkte japed devīṃ vācam ajanayanta devā iti ca
3.10.10	stuhi śrutaṃ gartasadaṃ yuvānam iti mṛgasya
3.10.11	yasyā diśo bibhīyād yasmād vā tāṃ diśam ulmukam ubhayataḥ pradīptaṃ pratyasyen manthaṃ vā prasavyam āloḍyābhayaṃ mitrāvaruṇā mahyam astv arciṣā śatrūn dahataṃ pratītya / mā jñātāraṃ mā pratiṣṭhāṃ vindantu mitho bhindānā upayantu mṛtyum iti
3.10.12	saṃsṛṣṭaṃ dhanam ubhayaṃ samākṛtam iti manthaṃ nyañcaṃ karoti
3.11.1	sarvato bhayād anājñātād aṣṭāv ājyāhutīr juhuyāt pṛthivī vṛtā sāgninā vṛtā tayā vṛtayā vartryā yasmād bhayād bibhemi tad vāraye svāhā
3.11.2	antarikṣaṃ vṛtaṃ tad vāyunā vṛtaṃ tena vṛtena vartreṇa yasmād bhayād bibhemi tad vāraye svāhā / dyaur vṛtā sādityena vṛtā tayā vṛtayā vartryā yasmād bhayād bibhemi tad vāraye svāhā
3.11.3	āpo vṛtās tā varuṇena vṛtās tābhir vṛtābhir vartrībhir yasmād bhayād bibhemi tad vāraye svāhā / prajā vṛtās tāḥ prāṇena vṛtās tābhir vṛtābhir vartrībhir yasmād bhayād bibhemi tad vāraye svāhā
3.11.4	vedā vṛtās te chandobhir vṛtās tair vṛtair vartrair yasmād bhayād bibhemi tad vāraye svāhā / sarvaṃ vṛtaṃ tad brahmaṇā vṛtaṃ tena vṛtena vartreṇa yasmād bhayād bibhemi tad vāraye svāheti
3.11.5	athāparājitāyāṃ diśyavasthāya svastyātreyaṃ japati yata indra bhayāmaha iti ca sūktaśeṣam
3.12.1	saṃgrāme samupoﾱhe rājānaṃ saṃnāhayet
3.12.2	ā tvāhārṣam iti paścād rathasyāvasthāya
3.12.3	jīmūtasyeva bhavati pratīkam iti kavacaṃ prayacchet
3.12.4	uttarayā dhanuḥ
3.12.5	uttarāṃ vācayet
3.12.6	svayaṃ caturthīṃ japet
3.12.7	pañcamyeṣudhiṃ prayacchet
3.12.8	abhipravartamāne ṣaṣṭhīm
3.12.9	saptamyāśvān
3.12.10	aṣṭamīm iṣūn avekṣamāṇaṃ vācayati
3.12.11	ahir iva bhogaiḥ paryeti bāhum iti taﾱaṃ nahyamānam
3.12.12	athainaṃ sārayamāṇam upāruhyābhīvartaṃ vācayati pra yo vāṃ mitrāvaruṇeti ca dve
3.12.13	athainam anvīkṣetāpratirathe śāsasauparṇaiḥ
3.12.14	pradhārayantu madhuno ghṛtasyety etat sauparṇam
3.12.15	sarvā diśo 'nuparyāyāt
3.12.16	ādityam auśanasaṃ vāvasthāya prayodhayet
3.12.17	upaśvāsaya pṛthivīm uta dyām iti tṛcena dundubhim abhimṛśet
3.12.18	avasṛṣṭā parāpatetīṣūn visarjayet
3.12.19	yatra bāṇāḥ saṃpatantīti yudhyamāneṣu japet
3.12.20	saṃśiṣyād vā saṃśiṣyād vā
4.1.1	āhitāgniṃ ced upatapet prācyām udīcyām aparājitāyāṃ vā diśyudavasyet
4.1.2	grāmakāmā agnaya ity udāharanti
4.1.3	āśaṃsanta enaṃ grāmam ājigamiṣanto 'gadaṃ kuryur iti ha vijñāyate
4.1.4	agadaḥ somena paśuneṣṭyeṣṭvāvasyet
4.1.5	aniṣṭvā vā
4.1.6	saṃsthite bhūmibhāgaṃ khānayed dakṣiṇapūrvasyāṃ diśi dakṣiṇāparasyāṃ vā
4.1.7	dakṣiṇāpravaṇaṃ prāgdakṣiṇāpravaṇaṃ vā
4.1.8	pratyagdakṣiṇāpravaṇam ity eke
4.1.9	yāvān udbāhukaḥ puruṣas tāvadāyāmam
4.1.10	vyāmamātraṃ tiryak
4.1.11	vitastyavāk
4.1.12	abhita ākāśaṃ śmaśānam
4.1.13	bahulauṣadhikam
4.1.14	kaṇṭakikṣīriṇas tv iti yathoktaṃ purastāt
4.1.15	yatra sarvata āpaḥ prasyanderann etad ādahanasya lakṣaṇaṃ śmaśānasya
4.1.16	keśaśmaśrulomanakhāni vāpayantīty uktaṃ purastāt
4.1.17	vigulphaṃ barhirājyaṃ ca
4.1.18	dadhanyatra sarpir ānayanti
4.1.19	etat pitryaṃ pṛṣadājyam
4.2.1	athaitāṃ diśam agnīn nayanti yajñapātrāṇi ca
4.2.2	anvañcaṃ pretam ayujo 'mithunāḥ pravayasaḥ
4.2.3	pīṭhacakreṇa goyuktenety eke
4.2.4	anustaraṇīm
4.2.5	gām
4.2.6	ajāṃ vaikavarṇām
4.2.7	kṛṣṇām eke
4.2.8	savye bāhau baddhvā anusaṃkālayanti
4.2.9	anvañco 'mātyā adhonivītāḥ pravṛttaśikhā jyeṣṭhaprathamāḥ kaniṣṭhajaghanyāḥ
4.2.10	prāpyaivaṃ bhūmibhāgaṃ kartodakena śamīśākhayā triḥ prasavyam āyatanaṃ parivrajan prokṣaty apeta vīta vi ca sarpatāta iti
4.2.11	dakṣiṇapūrvoddhānta āhavanīyaṃ nidadhāti
4.2.12	uttarapaścime gārhapatyam
4.2.13	dakṣiṇapaścime dakṣiṇam
4.2.14	athainam antarvedīdhmacitiṃ cinoti yo jānāti
4.2.15	tasmin barhir āstīrya kṛṣṇājinaṃ ca uttaraloma tasmin pretaṃ saṃveśayanty uttareṇa gārhapatyaṃ hṛtvāhavanīyam abhiśirasam
4.2.16	uttarataḥ patnīm
4.2.17	dhanuś ca kṣatriyāya
4.2.18	tām utthāpayed devaraḥ patisthānīyo 'ntevāsī jaraddāso vodīrṣva nāry abhi jīvalokam iti
4.2.19	kartā vṛṣale japet
4.2.20	dhanur hastād ādadāno mṛtasyeti dhanuḥ
4.2.21	uktaṃ vṛṣale
4.2.22	adhijyaṃ kṛtvā saṃcitim acitvā saṃśīryānupraharet
4.3.1	athaitāni pātrāṇi yojayet
4.3.2	dakṣiṇe haste juhūm
4.3.3	savya upabhṛtam
4.3.4	dakṣiṇe pārśve sphyaṃ savye 'gnihotrahavaṇīm
4.3.5	urasi dhruvāṃ śirasi kapālāni datsu grāvṇaḥ
4.3.6	nāsikayoḥ sruvau
4.3.7	bhittvā caikam
4.3.8	karṇayoḥ prāśitraharaṇe
4.3.9	bhittvā caikam
4.3.10	udare pātrīm
4.3.11	samavattadhānaṃ ca camasam
4.3.12	upasthe śamyām
4.3.13	araṇī ūrvoḥ
4.3.14	ulūkhalamusale jaṅghayoḥ
4.3.15	pādayoḥ śūrpe
4.3.16	chittvā caikam
4.3.17	āsecanavanti pṛṣadājyasya pūrayanti
4.3.18	amā putro dṛṣadupale kurvīta
4.3.19	lauhāyasaṃ ca kaulālam
4.3.20	anustaraṇyā vapām utkhidya śiromukhaṃ pracchādayed agner varma pari gobhir vyayasveti
4.3.21	vṛkkā uddhṛtya pāṇyor ādadhyād atidrava sārameyau śvānāviti dakṣiṇe dakṣiṇaṃ savye savyam
4.3.22	hṛdaye hṛdayam
4.3.23	piṇḍyau caike
4.3.24	vṛkkāpacāra ity eke
4.3.25	sarvāṃ yathāṅgaṃ vinikṣipya carmaṇā pracchādyemam agne camasaṃ mā vijihvara iti praṇītāpraṇayanam anumantrayate
4.3.26	savyaṃ jānvācya dakṣiṇāgnāvājyāhutīr juhuyād agnaye svāhā kāmāya svāhā lokāya svāhānumataye svāheti
4.3.27	pañcamīm urasi pretasyāsmād vai tvam ajāyathā ayaṃ tvad adhijāyatām asau svargāya lokāya svāheti
4.4.1	preṣyati yugapad agnīn prajvālayateti
4.4.2	āhavanīyaś cet pūrvaṃ prāpnuyāt svargaloka enaṃ prāpad iti vidyād rātsyaty asāvamutraivam ayam asminn iti putraḥ
4.4.3	gārhapatyaś cet pūrvaṃ prāpnuyād antarikṣaloka enaṃ prāpad iti vidyād rātsyaty asāvamutraivam ayam asminn iti putraḥ
4.4.4	dakṣiṇāgniś cet pūrvaṃ prāpnuyān manuṣyaloka enaṃ prāpad iti vidyād rātsyaty asāvamutraivam ayam asminn iti putraḥ
4.4.5	yugapatprāptau parām ṛddhiṃ vadanti
4.4.6	taṃ dahyamānam anumantrayate prehi prehi pathibhiḥ pūrvebhir iti samānam
4.4.7	sa evaṃvidā dahyamānaḥ sahaiva dhūmena svargaṃ lokam etīti ha vijñāyate
4.4.8	uttarapurastād āhavanīyasya jānumātraṃ gartaṃ khātvāvakāṃ śīpālam ity avadhāpayet tato ha vā eṣa niṣkramya sahaiva dhūmena svargaṃ lokam etīti ha vijñāyate
4.4.9	ime jīvā vi mṛtair āvavṛtrann iti savyāvṛto vrajanty anavekṣamāṇāḥ
4.4.10	yatrodakam avahad bhavati tat prāpya sakṛd unmajjyaikāñjalim utsṛjya tasya gotraṃ nāma ca gṛhītvottīryānyāni vāsāṃsi paridhāya sakṛd enānyāpīḍya udagdaśāni visṛjyāsata ā nakṣatradarśanāt
4.4.11	ādityasya vā dṛśyamāne praviśeyuḥ
4.4.12	kaniṣṭhaprathamā jyeṣṭhajaghanyāḥ
4.4.13	prāpyāgāram aśmānam agniṃ gomayam akṣatāṃstilān apa upaspṛśanti
4.4.14	naitasyāṃ rātryām annaṃ paceran
4.4.15	krītotpannena vā varteran
4.4.16	trirātram akṣārālavaṇāśinaḥ syuḥ
4.4.17	dvādaśarātraṃ vā mahāguruṣu dānādhyayane varjayeran
4.4.18	daśāhaṃ sapiṇḍeṣu
4.4.19	gurau cāsapiṇḍe
4.4.20	aprattāsu ca strīṣu
4.4.21	trirātram itareṣvācāryeṣu
4.4.22	jñātau cāsapiṇḍe
4.4.23	prattāsu ca strīṣu
4.4.24	adantajāte
4.4.25	aparijāte ca
4.4.26	ekāhaṃ sabrahmacāriṇi
4.4.27	samānagrāmīye ca śrotriye
4.5.1	saṃcayanam ūrdhvaṃ daśamyāḥ kṛṣṇapakṣasyāyujāsvekanakṣatre
4.5.2	alakṣaṇe kumbhe pumāṃsam alakṣaṇāyāṃ striyam
4.5.3	ayujo 'mithunāḥ pravayasaḥ
4.5.4	kṣīrodakena śamīśākhayā triḥ prasavyaṃ parivrajan prokṣati śītike śītikāvatīti
4.5.5	aṅguṣṭhopakaniṣṭhikābhyām ekaikam asthyasaṃhrādayanto avadadhyuḥ
4.5.6	pādau pūrvaṃ śira uttaram
4.5.7	susaṃcitaṃ saṃcitya pavanena saṃpūya yatra sarvata āpo nābhisyanderann anyā varṣābhyas tatra garte 'vadadhyur upasarpa mātaraṃ bhūmim etām iti
4.5.8	uttarayā pāṃsūn avakiret
4.5.9	avakīryottarām
4.5.10	ut te stabhnāmīti kapālenāpidhāyāthānavekṣaṃ pratyāvrajyāpa upaspṛśya śrāddham asmai dadyuḥ
4.6.1	guruṇābhimṛtā anyato vāpakṣīyamāṇā amāvāsyāyāṃ śāntikarma kurvīran
4.6.2	purodayād agniṃ sahabhasmānaṃ sahāyatanaṃ dakṣiṇā hareyuḥ kravyādam agniṃ prahiṇomi dūram ity ardharcena
4.6.3	taṃ catuṣpathe nyupya yatra vā triḥ prasavyaṃ pariyanti savyaiḥ pāṇibhiḥ savyān ūrūn āghnānāḥ
4.6.4	athānavekṣaṃ pratyāvrajyāpa upaspṛśya keśaśmaśrulomanakhāni vāpayitvopakalpayīran navān maṇikān kumbhān ācamanīyāṃśca śamīsumanomālinaḥ śamīmayam idhmaṃ śamīmayyāvaraṇī paridhīṃś cānaḍuhaṃ gomayaṃ carma ca navanītam aśmānaṃ ca yāvatyo yuvatayas tāvanti kuśapiñjūlāni
4.6.5	agnivelāyām agniṃ janayed ihaiva ayam itaro jātavedā ity ardharcena
4.6.6	taṃ dīpayamānā āsata ā śāntarātrād āyuṣmatāṃ kathāḥ kīrtayanto māṅgalyānītihāsapurāṇānīty ākhyāpayamānāḥ
4.6.7	uparateṣu śabdeṣu sampraviṣṭeṣu vā gṛhaṃ niveśanaṃ vā dakṣiṇāddvārapakṣāt prakramya avicchinnām udakadhārāṃ haret tantuṃ tanvan rajaso bhānum anvihīty ottarasmāt
4.6.8	athāgnim upasamādhāya paścād asyānaḍuhaṃ carmāstīrya prāggrīvam uttaraloma tasminn amātyān ārohayed ārohatāyur jarasaṃ vṛṇānā iti
4.6.9	imaṃ jīvebhyaḥ paridhiṃ dadhāmīti paridhiṃ paridadhyāt
4.6.10	antar mṛtyuṃ dadhatāṃ parvatenety uttarato 'śmānam agneḥ kṛtvā paraṃ mṛtyo anu parehi panthām iti catasṛbhiḥ pratyṛcaṃ hutvā yathāhāny anupūrvaṃ bhavantīty amātyān īkṣeta
4.6.11	yuvatayaḥ pṛthak pāṇibhyāṃ darbhataruṇakair navanītenāṅguṣṭhopakaniṣṭhikābhyām akṣiṇī ājya parācyo visṛjeyuḥ
4.6.12	imā nārīr avidhavāḥ supatnīr ity añjānā īkṣeta
4.6.13	aśmanvatī rīyate saṃrabhadhvam ity aśmānaṃ kartā prathamo 'bhimṛśet
4.6.14	athāparājitāyāṃ diśyavasthāyāgninānaḍuhena gomayena cāvicchinnayā codakadhārayāpo hi ṣṭhā mayobhuva iti tṛcena parīme gāmaneṣateti parikrāmatsu japet
4.6.15	piṅgalo 'naḍvān pariṇeyaḥ syād ity udāharanti
4.6.16	athopaviśanti yatrābhiraṃsyamānā bhavanty ahatena vāsasā pracchādya
4.6.17	āsate 'svapanta odayāt
4.6.18	udita āditye sauryāṇi svastyayanāni ca japitvānnaṃ saṃskṛtyāpa naḥ śośucad agham iti pratyṛcaṃ hutvā brāhmaṇān bhojayitvā svastyayanaṃ vācayīta
4.6.19	gauḥ kaṃso 'hataṃ vāsaś ca dakṣiṇā
4.7.1	athātaḥ pārvaṇe śrāddhe kāmya ābhyudayika ekoddiṣṭe vā
4.7.2	brāhmaṇāñ śrutaśīlavṛttasampannān ekena vā kāle jñāpitān snātān kṛtapacchaucān ācāntān udaṅmukhān pitṛvad upaveśyaikaikam ekaikasya dvau dvau trīṃs trīn vā
4.7.3	vṛddhau phalabhūyastvam
4.7.4	na tvevaikaṃ sarveṣām
4.7.5	kāmam anādye
4.7.6	piṇḍair vyākhyātam
4.7.7	apaḥ pradāya
4.7.8	darbhān dviguṇabhugnān āsanaṃ pradāya
4.7.9	apaḥ pradāya
4.7.10	taijasāśmamayamṛnmayeṣu triṣu pātreṣv ekadravyeṣu vā darbhāntarhiteṣv apa āsicya
4.7.11	śaṃ no devīr abhiṣṭaya ity anumantritāsu tilān āvapati tilo 'si soma devatyo gosave devanirmitaḥ / pratnavadbhiḥ prattaḥ svadhayā pitṝn imāṃllokān prīṇayā hi naḥ svadhā nama iti
4.7.12	prasavyena
4.7.13	itarapāṇyaṅguṣṭhāntareṇopavītitvād dakṣiṇena vā savyopagṛhītena pitar idaṃ te 'rghyaṃ pitāmahedaṃ te 'rghyaṃ prapitāmahedaṃ te 'rghyam ity appūrvam
4.7.14	tāḥ pratigrāhayiṣyaṃt sakṛt sakṛt svadhā arghyā iti
4.7.15	prasṛṣṭā anumantrayeta yā divyā āpaḥ pṛthivī saṃbabhūvur yā antarikṣyā uta pārthivīr yāḥ / hiraṇyavarṇā yajñiyās tā na āpaḥ śaṃ syonā bhavantv iti saṃsravān samavanīya tābhir adbhiḥ putrakāmo mukham anakti
4.7.16	noddharet prathamaṃ pātraṃ pitṝṇām arghyapātitam / āvṛtās tatra tiṣṭhanti pitaraḥ śaunako 'bravīt
4.7.17	etasmin kāle gandhamālyadhūpadīpācchādanānāṃ pradānam
4.7.18	uddhṛtya ghṛtāktam annam anujñāpayaty agnau kariṣye karavai karavāṇīti vā
4.7.19	pratyabhyanujñā kriyatāṃ kuruṣva kurv iti
4.7.20	athāgnau juhoti yathoktaṃ purastāt
4.7.21	abhyanujñāyāṃ pāṇiṣv eva vā
4.7.22	agnimukhā vai devāḥ pāṇimukhāḥ pitara iti ha brāhmaṇam
4.7.23	yadi pāṇiṣvācānteṣv anyad annam anudiśati
4.7.24	annam anne
4.7.25	sṛṣṭaṃ dattam ṛdhnukam iti
4.7.26	tṛptāñjñātvā madhumatīḥ śrāvayed akṣann amīmadanteti ca
4.7.27	sampannam iti pṛṣṭvā yad yad annam upayuktaṃ tat tat sthālīpākena saha piṇḍārtham uddhṛtya śeṣaṃ nivedayet
4.7.28	abhimate 'numate vā bhuktavatsv anācānteṣu piṇḍān nidadhyāt
4.7.29	ācānteṣveke
4.7.30	prakīryānnam upavīyoṃ svadhocyatām iti visṛjet
4.7.31	astu svadheti vā
4.8.1	atha śūlagavaḥ
4.8.2	śaradi vasante vārdrayā
4.8.3	śreṣṭhaṃ svasya yūthasya
4.8.4	akuṣṭhipṛṣat
4.8.5	kalmāṣam ityeke
4.8.6	kāmaṃ kṛṣṇam ālohavāṃś cet
4.8.7	vrīhiyavamatībhir adbhir abhiṣicya
4.8.8	śirasta ā bhasattaḥ
4.8.9	rudrāya mahādevāya juṣṭo vardhasveti
4.8.10	taṃ vardhayet sampannadantam ṛṣabhaṃ vā
4.8.11	yajñiyāyāṃ diśi
4.8.12	asaṃdarśane grāmāt
4.8.13	ūrdhvam ardharātrāt
4.8.14	udita ityeke
4.8.15	vaidyaṃ caritravantaṃ brahmāṇam upaveśya sapalāśām ārdraśākhāṃ yūpaṃ nikhāya vratatyau kuśarajjū vā raśane 'nyatarayā yūpaṃ parivīyānyatarayārdhaśirasi paśuṃ baddhvā yūpe raśanāyāṃ vā niyunakti yasmai namas tasmai tvā juṣṭaṃ niyunajmīti
4.8.16	prokṣaṇādi samānaṃ paśunā
4.8.17	viśeṣān vakṣyāmaḥ
4.8.18	pātryā palāśena vā vapāṃ juhuyād iti vijñāyate
4.8.19	harāya mṛdāya śarvāya śivāya bhavāya mahādevāyogrāya bhīmāya paśupataye rudrāya śaṃkarāyeśānāya svāheti
4.8.20	ṣaḍbhir vottaraiḥ
4.8.21	rudrāya svāheti vā
4.8.22	catasṛṣu catasṛṣu kuśasūnāsu catasṛṣu dikṣu baliṃ hared yās te rudra pūrvasyāṃ diśi senās tābhya enan namas te 'stu mā mā hiṃsīr ity evaṃ pratidiśaṃ tv ādeśanam
4.8.23	caturbhiḥ sūktaiś catasro diśa upatiṣṭheta kad rudrāyemā rudrāyāte pitarimā rudrāya sthiradhanvana iti
4.8.24	sarvarudrayajñeṣu diśām upasthānam
4.8.25	tuṣān phalīkaraṇāṃś ca pucchaṃ carmaśiraḥpādān ityagnāvanupraharet
4.8.26	bhogaṃ carmaṇā kurvīteti śāṃvatyaḥ
4.8.27	uttarato 'gner darbhavītāsu kuśasūnāsu vā śoṇitaṃ ninayecchvāsinīr ghoṣiṇīr vicinvatīḥ samaśnuvatīḥ sarpā yad vo 'tra taddharadhvam iti
4.8.28	athodaṅāvṛtya śvāsinīr ghoṣiṇīr vicinvatīḥ samaśnuvatīḥ sarpā yad vo 'tra taddharadhvam iti sarpebhyo yat tatra asṛg ūvadhyaṃ vāvasrutaṃ bhavati taddharanti sarpāḥ
4.8.29	sarvāṇi ha vā asya nāmadheyāni sarvāḥ senāḥ sarvāṇyucchrayaṇānīty evaṃvid yajamānaṃ prīṇāti
4.8.30	nāsya bruvāṇaṃ cana hinastīti vijñāyate
4.8.31	nāsya prāśnīyāt
4.8.32	nāsya grāmam āhareyur abhimāruko haiṣa devaḥ prajā bhavatīti
4.8.33	amātyān antataḥ pratiṣedhayet
4.8.34	niyogāttu prāśnīyāt svastyayana iti
4.8.35	sa eṣa śūlagavo dhanyo lokyaḥ puṇyaḥ putryaḥ paśavyāyuṣyo yaśasyaḥ
4.8.36	iṣṭvānyam utsṛjet
4.8.37	nānutsṛṣṭaḥ syāt
4.8.38	na hāpaśurbhavatīti vijñāyate
4.8.39	śaṃtātīyaṃ japangṛhāniyāt
4.8.40	paśūnām upatāpa etam eva devaṃ madhye goṣṭhasya yajeta
4.8.41	sthālīpākaṃ sarvahutam
4.8.42	barhirājyaṃ cānuprahṛtya dhūmato gā ānayet
4.8.43	śaṃtātīyaṃ japan paśūnāṃ madhyam iyāt
4.8.44	namaḥ śaunakāya namaḥ śaunakāya
