#Text:Mānavagṛhyasūtra
#Edition:Knauer (DCS version)



1.1.1	upanayanaprabhṛti vratacārī syāt
2.6.4	prāgastamayānniṣkramyottarato grāmasya purastādvā śucau deśe 'śvatthasyādhastān nyagrodhasya vāpāṃ vā samīpe vedyākṛtiṃ kṛtvā tasyāṃ catuṣkoṇavanaspatiśākhāyām avasaktacīrāyāṃ gandhasragdāmavatyāṃ caturdiśaṃ vinyastodakumbhasahiraṇyabījapiṭikāyām apūpasrastaralājollopikamaṅgalaphalākṣavatyāṃ sarvagandhasarvarasasarvauṣadhīḥ sarvaratnāni copakalpya pratisaradadhimadhumodakasvastikanandyāvartavatyām agniṃ praṇīyāśvatthapalāśakhadirarohitakodumbarāṇām anyatamasyedhmam upasamādhāya tisraḥ pradhānadevatā yajatyuccaiḥśravasaṃ varuṇaṃ viṣṇumiti sthālīpākaiḥ paśubhiścāśvinau cāśvayujau cājyasya
2.6.5	jayānhutvā yā oṣadhayaḥ sam anyā yanti punantu mā pitaro 'gner manva iti caturbhir anuvākair apo 'bhimantryāśvān snapayanti
2.6.6	gandhasragdāmabhiralaṃkṛtya pradakṣiṇaṃ devayajanaṃ triḥ pariyanti
2.6.7	praharṣaṃ kārayanti
2.6.8	iṣṭe yathāsthānaṃ vrajanti
2.6.9	gauranaḍvāṃśca dakṣiṇā
2.7.1	āgrahāyaṇyāṃ paurṇamāsyāṃ payasi sthālīpākaṃ śrapayitvā tasya juhoti / apaḥ śvetapadāgahi pūrveṇa cāpareṇa ca / sapta ca vāruṇīrimāḥ prajāḥ sarvāśca rājabāndhavyaḥ svāhā / śveto ruṣatyo vidadhātyaśvo dadhadgarbhaṃ vṛṣaḥ sṛtvaryāṃ jyok / samaṃ janāścakramayo vasānāḥ proṣādasāvirasi viśvamejat / śvetāya rauṣidaśvāya svāhā / na vai śvetasyābhyācāre ahir jaghāna kiṃcana / śvetāya vaitahavyāya svāhā / abhayaṃ naḥ prājāpatyebhyo bhūyātsvāhā / iti
2.7.2	srastare 'hataṃ vāsa udagdaśam āstīryodakāṃsye 'śmānaṃ vrīhīnyavānvāsya pariṣiñcati syonā pṛthivi bhaveti dvābhyāṃ sutrāmāṇamiti dvābhyām
2.7.3	śamīśākhayā ca sapalāśayodañcaṃ triḥ samunmārṣṭi syonā pṛthivi bhaveti dvābhyāṃ sutrāmāṇamiti dvābhyāṃ namo astu sarpebhya iti tisṛbhiśca
2.7.4	śāmyantu sarpāḥ svaśayā bhavantu ye antarikṣa uta ye divi śritāḥ / imāṃ mahīṃ pratyavarohema / śivāmajasrāṃ śivāṃ śāntāṃ suhemantām uttarāmuttarāṃ samāṃ kriyāsam / iti jyeṣṭhaprathamān udīca āveśayati
2.7.5	udīrghaṃ jīvo asurna āgād apaḥ prāgāt tama ā jyotireti / āraik panthāṃ yātave sūryāyāganma yatra prataraṃ na āyuḥ / iti kaniṣṭhaprathamānujjihate
2.7.6	caitryām udrohaṇam
2.7.7	na tatra sthālīpāko na śākhayā samunmārṣṭi
2.7.8	ayaṃ talpaḥ prataraṇo vasūnāṃ viśvābibhya talpo asmān / jyogjīvema sarvavīrā vayaṃ tama / iti talpamabhimantrayate
2.7.9	trīṇi nābhyāni phālgunyāmāṣāḍhyāṃ kārttikyām
2.7.10	tāsu nādhīyīta
2.7.11	tāsu payasi sthālīpākaḥ sa vyākhyātaḥ
2.8.1	tisro 'ṣṭakāḥ
2.8.2	ūrdhvam āgrahāyaṇyāḥ prāk phālgunyās tāmisrāṇām aṣṭamyaḥ
2.8.3	tāsu nādhīyīta
2.8.4	tāsu payasi sthālīpākaṃ śrapayitvā tasya juhoti / yā devyaṣṭakeṣv apasāpastamā svapā avayā asi / tvaṃ yajñe varuṇasyāvayā asi tasyai ta enā haviṣā vidhema / ulūkhalā grāvāṇo ghoṣam akurvata haviḥ kṛṇvantaḥ parivatsarīyam / ekāṣṭake suprajasaḥ suvīrā jyogjīvema balihṛto vayaṃ te / yāṃ janāḥ pratinandanti rātrīṃ dhenumivāyatīm / saṃvatsarasya yā patnī sā no astu sumaṅgalī / saṃvatsarasya pratimāṃ ye tvā rātrīmupāsate / teṣām āyuṣmatīṃ prajāṃ rāyaspoṣeṇa saṃsṛjasva / iti catasraḥ sthālīpākasya
2.8.5	aṣṭakāyai surādhase svāheti sarvatrānuṣajati
2.8.6	hemanto vasanto grīṣma ṛtavaḥ śivā naḥ śivā no varṣā abhayāściraṃ naḥ / vaiśvānaro 'dhipatiḥ prāṇado no ahorātre kṛṇutāṃ dīrghamāyuḥ / śāntā pṛthivī śivamantarikṣaṃ dyaurno devyabhayaṃ kṛṇotu / śivā diśaḥ pradiśa ādiśo na āpo vidyutaḥ paripāntvāyuḥ / āpo marīcīḥ paripāntu viśvato dhātā samudro abhayaṃ kṛṇotu / bhūtaṃ bhaviṣyaduta bhadramastu me brahmābhigūrtaṃ svarākṣāṇaḥ / kavir agnir indraḥ somaḥ sūryo vāyurastu me agnir vaiśvānaro apahantu pāpam / bṛhaspatiḥ savitā śarma yacchatu śriyaṃ virājaṃ mayi pūṣā dadhātu / viśva ādityā vasavaśca sarve rudrā goptāro marutaśca santu / ūrjaṃ prajāmamṛtaṃ dīrghamāyuḥ prajāpatirmayi parameṣṭhī dadhātu / iti pañcājyasya
2.8.7	jayānhutveḍāmagna iti sviṣṭakṛd iti
2.8.8	evaṃ sarvāsu
2.9.1	uttamāyāḥ pradoṣe catuṣpathe 'ṅgaśo gāṃ kārayet
2.9.2	yo ya āgacchettasmai tasmai dadyāt
2.9.3	śvo 'nyāṃ kārayet
2.9.4	tasyā vapāṃ juhuyāt / vaha vapāṃ jātavedaḥ pitṛbhyo yatraitānvettha nihitān parāke medaso ghṛtasya kulyā abhiniḥsravantu satyāḥ santu yajamānasya kāmāḥ svāhā / iti
2.9.5	athāsyā vakṣasa udagodanaṃ śrapayati
2.9.6	tasyāṣṭakāhomakalpena śeṣo vyākhyātaḥ
2.9.7	avaśiṣṭaṃ bhaktaṃ randhayati
2.9.8	śvo 'vaśiṣṭaṃ bhaktaṃ randhayitvā piṇḍānāmāvṛtā trīn māṃsaudanapiṇḍān nidadhāti
2.9.9	śrāddhamaparapakṣe pitṛbhyo dadyāt
2.9.10	anuguptamannaṃ brāhmaṇān bhojayen nāvedavid bhuñjīteti śrutiḥ
2.9.11	yadi gavā paśunā vā kurvīta prokṣaṇam upapāyanaṃ paryagnikaraṇam ulmukaharaṇaṃ vapāhomamiti
2.9.12	traidhaṃ vapāṃ juhuyātsthālīpākamavadānāni ca
2.9.13	somāya pitṛmate svadhā nama iti juhoti yamāyāṅgirasvate pitṛmate svadhā nama iti dvitīyām / agnaye kavyavāhanāya svadhā nama iti tṛtīyām
2.9.14	evaṃ māsi māsi niyataṃ tantraṃ piṇḍapitṛyajñe
2.10.1	phālgunyāṃ paurṇamāsyāṃ purastāddhānāpūpābhyāṃ bhagaṃ cāryamaṇaṃ ca yajet
2.10.2	indrāṇyā haviṣyānpiṣṭvā piṣṭāni samutpūya yāvanti paśujātāni tāvato mithunān pratirūpān śrapayitvā kāṃsye 'dhyājyān kṛtvā tenaiva rudrāya svāheti juhoti / īśānāyetyeke
2.10.3	sāyamapūpābhyāṃ pracaratyagnīndrābhyām
2.10.4	āgneyastundilo na tasya striyaḥ prāśnanti sarvāmātyā itarasya
2.10.5	sthālīpākenendrāṇīṃ śvo vā
2.10.6	saṃgheṣv ekavad barhir agnir āghārājyabhāgājyāhutayaḥ sviṣṭakṛcca
2.10.7	agnirindraḥ somaḥ sītā savitā sarasvaty aśvinānumatī revatī rākā pūṣā rudra ity etair āyojanaparyayaṇapravapanapralavanasītāyajñakhalayajñatantīyajñānaḍudyajñeṣvetā devatā iti yajati sāṃvatsareṣu ca parvasu
2.10.8	nadyudadhikūpataḍāgeṣu varuṇaṃ yajatyoṣadhivanaspatiṣu somam anādiṣṭadevateṣvagnim
2.11.1	avasānaṃ samaṃ samūlam
2.11.2	dakṣiṇāpravaṇam annakāmasya mārukās tatra prajā bhavanti
2.11.3	sarvataḥ samavasrāvam
2.11.4	samavasrutya vā yasmāt prāgudīcīr āpo nirvaheyus tad vā
2.11.5	gartaṃ khātvā yattaiḥ pāṃsubhiḥ pratipūryeta tad vā
2.11.6	yadi dhārayiṣṇūdakataraṃ syāt
2.11.7	idam ahaṃ viśam annādyāya tejase brahmavarcasāya parigṛhṇāmīti veśma parigṛhya garte hiraṇyaṃ nidhāyācyutāya dhruvāya bhaumāya svāheti juhoti
2.11.8	samīcī nāmāsīti paryāyair upatiṣṭhate pratidiśaṃ dvābhyāṃ madhye
2.11.9	udakāṃsye 'śmānaṃ vrīhīn yavān vāsya pariṣiñcati syonā pṛthivi bhaveti dvābhyāṃ sutrāmāṇamiti dvābhyām
2.11.10	śamīśākhayā ca palāśayodañcaṃ triḥ samunmārṣṭi syonā pṛthivi bhaveti dvābhyāṃ sutrāmāṇamiti dvābhyāṃ namo astu sarpebhya iti tisṛbhiś ca
2.11.11	idaṃ tat sarvato bhadramayam ūrjo 'yaṃ rasaḥ / prāpyaivaṃ mānuṣān kāmān yad aśīrṣṇī tal lapsyasi / iti madhyamāṃ sthūṇām āsicya garta āsiñcati
2.11.12	ihaiva tiṣṭha nitarā tilvalā sthirāvatī / madhye poṣasya puṣyatām ā tvā prāpann adyāyavaḥ / ā tvā kumāras taruṇa ā tvā parisṛtaḥ kumbhaḥ / ā vatso jagatā saha ā dadhnaḥ kalaśam airayam / iti madhyamāṃ sthūṇām abhimantrayate
2.11.13	vasūnāṃ tvā vasuvīryasyāhorātrayoś ceti garte sthūṇām avadadhāti
2.11.14	ṛte 'va sthūṇā adhiroha vaṃśo agne virājam upasedha śakram / iti madhyamaṃ vaṃśam avadadhāti
2.11.15	tūṣṇīṃ śiṣṭāḥ sthūṇā vaṃśāśca
2.11.16	prāgdvāraṃ dakṣiṇādvāraṃ vā māpayitvā gṛhānahaṃ sumanasaḥ prapadye vīraṃ hītyetayā prapadyate yathā purastād vyākhyātam
2.11.17	praitu rājā varuṇo revatībhir asmin sthāne tiṣṭhatu puṣyamāṇaḥ / irāṃ vahantī ghṛtam ukṣamāṇās teṣv ahaṃ sumanāḥ saṃvasāma / ity uttarapūrvasyāṃ diśi pratipānam udakumbham avasthāpayati
2.11.18	samudraṃ vaḥ prahiṇomi svāṃ yonim abhigacchata / ariṣṭā asmākaṃ vīrā mā parāseci matpayaḥ / ity udañcanam
2.11.19	vāstoṣpatyaṃ payasi sthālīpākaṃ śrapayitvā tasya juhoti / amīvahā vāstoṣpate vāstoṣpata ity etābhyām / vāstoṣpate prataraṇo na edhi gayasphāno gobhir aśvebhir indo / ajarāsas te sakhye syāma piteva putrān prati no juṣasva / vāstoṣpate śagmayā saṃsadā te sakṣīmahi raṇvayā / gātumatyā pāhi kṣema uta yoge varaṃ no yūyaṃ pāta svastibhiḥ sadā naḥ / iti
2.11.20	jayaprabhṛti samānam
2.12.1	vaiśvadevasya siddhasya sāyaṃ prātar baliṃ haret
2.12.2	agnīṣomau dhanvantariṃ viśvān devān prajāpatim agniṃ sviṣṭakṛtam ity evaṃ homo vidhīyate
2.12.3	atha baliṃ haraty agnaye namaḥ somāya dhanvantaraye viśvebhyo devebhyaḥ prajāpataye agnaye sviṣṭakṛta ity agnyāgāra uttarām uttarām
2.12.4	adbhya ity udakumbhasakāśe
2.12.5	oṣadhibhya ity oṣadhibhyo vanaspatibhya iti gṛhamadhyamāyāṃ sthūṇāyām
2.12.6	gṛhyābhyo devatābhya iti gṛhamadhye
2.12.7	dharmāyādharmāyeti dvāre
2.12.8	mṛtyava ākāśāyety ākāśe
2.12.9	antargoṣṭhāyety antargoṣṭhe
2.12.10	bahir vaiśravaṇāyeti bahiḥ prācīm
2.12.11	viśvebhyo devebhya iti veśmani
2.12.12	indrāyendrapuruṣebhya iti purastāt
2.12.13	yamāya yamapuruṣebhya iti dakṣiṇataḥ
2.12.14	varuṇāya varuṇapuruṣebhya iti paścāt
2.12.15	somāya somapuruṣebhya ity uttarataḥ
2.12.16	brahmaṇe brahmapuruṣebhya iti madhye
2.12.17	prācīm āpātikebhyaḥ sampātikebhya ṛkṣebhyo yakṣebhyaḥ pipīlikābhyaḥ piśācebhyo 'psarobhyo gandharvebhyo guhyakebhyaḥ śailebhyaḥ pannagebhyaḥ
2.12.18	divācāribhyo bhūtebhya iti divā naktaṃcāribhyo bhūtebhya iti naktam
2.12.19	dhanvantaraye dhanvantaritarpaṇam
2.12.20	adbhiḥ saṃsṛjya pitṛbhyaḥ svadheti śeṣaṃ dakṣiṇā bhūmau ninayet
2.12.21	pāṇī prakṣālyācamyātithiṃ bhojayitvāvaśiṣṭasyāśnīyāt
2.13.1	athātaḥ ṣaṣṭhīkalpaṃ vyākhyāsyāmaḥ
2.13.2	śuklapakṣasya pañcamyāṃ pratyaṅmukho haviṣyam annam aśnīta
2.13.3	adhaḥ śayīta darbheṣu śālipalāleṣu vā prākśirā brahmacārī
2.13.4	śvobhūta udita āditye snānaṃ pānaṃ bhojanam anulepanaṃ srajo vāsāṃsi na pratyācakṣīta
2.13.5	yāvad dadyāt tāvad aśnīyād yad yad dadyāt tat tad aśnīyād anyatrāmedhyapātakibhyo 'bhiniviṣṭakavarjam
2.13.6	astamita āditye payasi sthālīpākaṃ śrapayitvāthaitair nāmadheyair juhoti / dhanadāṃ vasumīśānāṃ kāmadāṃ sarvakāminām / puṇyāṃ yaśasvinīṃ devīṃ ṣaṣṭhīṃ śakra juṣasva me / nandī bhūtiśca lakṣmīś cādityā ca yaśasvinī / sumanā vākca siddhiśca ṣaṣṭhī me diśatāṃ dhanam / putrān paśūn dhanaṃ dhānyaṃ bahvaśvājagaveḍakam / manasā yat praṇītaṃ ca tan me diśatu havyabhuk / kāmadāṃ rajanīṃ viśvarūpāṃ ṣaṣṭhīm upavartatu me dhanam / sā me kāmā kāmapatnī ṣaṣṭhī me diśatāṃ dhanam / ākṛtiḥ prakṛtir vacanī dhāvaniḥ padmacāriṇī manmanā bhava svāhā / gandhadvārāṃ durādharṣāṃ nityapuṣṭāṃ karīṣiṇīm / īśvarīṃ sarvabhūtānāṃ tām ihopahvaye śriyam / nānāpatrakā sā devī puṣṭiś cātisarasvatī / ariṃ devīṃ prapadye yam upavartayatu me dhanam / hiraṇyaprākārā devi māṃ vara / āgacchatv āyur yaśaś ca svāhā / aśvapūrṇāṃ rathamadhyāṃ hastinādapramodinīm / śriyaṃ devīm upahvaye śrīr mā devī juṣatām / upayantu māṃ devagaṇās tyāgāś ca tapasā saha / prādurbhūto 'smi rāṣṭre 'smin śrīḥ śraddhāṃ dadhātu me / śriyai svāhā hriyai svāhā lakṣmyai svāhā upalakṣmyai svāhā nandāyai svāhā haridrāyai svāhā ṣaṣṭhyai svāhā samṛddhyai svāhā jayāyai svāhā kāmāyai svāheti
2.13.7	jayaprabhṛti samānam
2.13.8	ṣaṇmāsān prayuñjīta trīn vobhayataḥ pakṣān
2.13.9	śatasāhasrasaṃyoga ekavaro vā
2.13.10	gaur anaḍvāṃś ca dakṣiṇā
2.14.1	athāto vināyakān vyākhyāsyāmaḥ
2.14.2	śālakaṭaṅkaṭaśca kūṣmāṇḍarājaputraś cosmitaś ca devayajanaś ceti
2.14.3	etair adhigatānām imāni rūpāṇi bhavanti
2.14.4	loṣṭhaṃ mṛdnāti
2.14.5	tṛṇāni chinatti
2.14.6	aṅgeṣu lekhān likhati
2.14.7	apaḥ svapnaṃ paśyati
2.14.8	muṇḍān paśyati
2.14.9	jaṭilān paśyati
2.14.10	kāṣāyavāsasaḥ paśyati
2.14.11	uṣṭrān sūkarān gardabhān divākīrtyādīn anyāṃś cāprayatān svapnān paśyati
2.14.12	antarikṣaṃ krāmati
2.14.13	adhvānaṃ vrajan manyate pṛṣṭhato me kaścid anuvrajati
2.14.14	etaiḥ khalu vināyakair āviṣṭā rājaputrā lakṣaṇavanto rājyaṃ na labhante
2.14.15	kanyāḥ patikāmā lakṣaṇavatyo bhartṝn na labhante
2.14.16	striyaḥ prajākāmā lakṣaṇavatyaḥ prajāṃ na labhante
2.14.17	strīṇām ācāravatīnām apatyāni mriyante
2.14.18	śrotriyo 'dhyāpaka ācāryatvaṃ na prāpnoti
2.14.19	adhyetṝṇām adhyayane mahāvighnāni bhavanti
2.14.20	vaṇijāṃ vaṇikpatho vinaśyati
2.14.21	kṛṣikarāṇāṃ kṛṣir alpaphalā bhavati
2.14.22	teṣāṃ prāyaścittam
2.14.23	mṛgākharakulāyamṛttikārocanāguggulāḥ
2.14.24	caturbhyaḥ prasravaṇebhyaś caturudakumbhān avyaṅgān āharet
2.14.25	sarvagandhasarvarasasarvauṣadhīḥ sarvaratnāni copakalpya pratisaradadhimadhughṛtam iti
2.14.26	etān saṃbhārān saṃsṛjya / ṛṣabhacarmāruhyāthainaṃ / sahasrākṣaṃ śatadhāram ṛṣibhiḥ pāvanaṃ kṛtam / tābhiṣ ṭvābhiṣiñcāmi pāvamānīḥ punantu tvā / agninā dattā indreṇa dattāḥ somena dattā varuṇena dattā vāyunā dattā viṣṇunā dattā bṛhaspatinā dattā viśvair devair dattāḥ sarvair devair dattā oṣadhaya āpo varuṇasaṃmitās tābhiṣ ṭvābhiṣiñcāmi pāvamānīḥ punantu tveti sarvatrānuṣajati / yatte keśeṣu daurbhāgyaṃ sīmante yac ca mūrdhani / lalāṭe karṇayor akṣṇor āpas tad ghnantu te sadā / bhagaṃ te varuṇo rājā bhagaṃ sūryo bṛhaspatiḥ / bhagam indraśca vāyuśca bhagaṃ saptarṣayo daduḥ / iti
2.14.27	adhisnātasya niśāyāṃ sadyaḥ pīḍitasarṣapatailam audumbareṇa sruveṇa mūrdhani catasra āhutīr juhoti / śālakaṭaṅkaṭāya svāhā / kūṣmāṇḍarājaputrāya svāhā / usmitāya svāhā / devayajanāya svāheti
2.14.28	ata ūrdhvaṃ grāmacatuṣpathe nagaracatuṣpathe nigamacatuṣpathe vā sarvatomukhān darbhān āstīrya nave śūrpe balim upaharati phalīkṛtāṃs taṇḍulān aphalīkṛtāṃs taṇḍulānāmaṃ māṃsaṃ pakvaṃ māṃsam āmān matsyān pakvān matsyān āmān apūpān pakvān apūpān piṣṭān gandhān apiṣṭān gandhān gandhapānaṃ madhupānaṃ maireyapānaṃ surāpānaṃ muktaṃ mālyaṃ grathitaṃ mālyaṃ raktaṃ mālyaṃ śuklaṃ mālyaṃ raktapītaśuklakṛṣṇanīlaharitacitravāsāṃsi māṣakalmāṣamūlaphalamiti
2.14.29	atha devānām āvāhanaṃ vimukhaḥ śyeno bako yakṣaḥ kalaho bhīrur vināyakaḥ kūṣmāṇḍarājaputro yajñāvikṣepī kulaṅgāpamārī yūpakeśī sūparakroḍī haimavato jambhako virūpākṣo lohitākṣo vaiśravaṇo mahāseno mahādevo mahārāja iti / ete me devāḥ prīyantāṃ prītā māṃ prīṇayantu tṛptā māṃ tarpayantviti
2.14.30	adhiṣṭhite 'rdharātra ācāryo grahān upatiṣṭhate / bhagavati bhagaṃ me dehi varṇavati varṇaṃ me dehi rūpavati rūpaṃ me dehi tejasvini tejo me dehi yaśasvini yaśo me dehi putravati putrān me dehi sarvavati sarvān kāmān me pradehīti
2.14.31	ata ūrdhvam udita āditye vimale sumuhūrte sūryapūjā pūrvakam arghyadānam upasthānaṃ ca / namas te astu bhagavan śataraśme tamonuda / jahi me deva daurbhāgyaṃ saubhāgyena māṃ saṃyojayasva / iti
2.14.32	atha brāhmaṇatarpaṇam
2.14.33	ṛṣabho dakṣiṇā
2.15.1	yadi duḥsvapnaṃ paśyed vyāhṛtibhis tilān hutvā diśa upatiṣṭheta / bodhaś ca mā pratibodhaś ca purastād gopāyatām / asvapnaś ca mānavadrāṇaś ca dakṣiṇato gopāyatām / gopāyamānaṃ ca māṃ rakṣamāṇaṃ ca paścād gopāyatām / jāgṛviś ca mārundhatī cottarato gopāyatām / viṣṇuś ca mā pṛthivī ca nāgāś cādhastād gopāyatām / bṛhaspatayaś ca mā viśve ca mā devā dyauś copariṣṭād gopāyatām
2.15.2	evaṃ yasmiṃś cotpanne 'narthāñśaṅketa
2.15.3	vyāhṛtibhis tilān hutvā tapaḥ pratipadyeta dvādaśarātraṃ ṣaḍrātraṃ trirātram ekarātraṃ vā
2.15.4	yadi samutpātaṃ manyeta tad vā
2.15.5	yadi parvasu mārttikaṃ bhidyate pārthivam asi pṛthivīṃ dṛṃhasva yoniṃ gaccha svāhety apsu praharet
2.15.6	yadyarcā dahyed vā naśyed vā prapated vā prabhajed vā prahased vā pracaled vā sthālyā vā sthālīm āsicya dakṣiṇottarā vā sthālī bhidyetottarā vopalāśe niyamya dvāravaṃśo vā sphuṭet / gaur vā gāṃ dhayet strī vā striyam āhanyāt kartasaṃsarge halasaṃsarge musalaprapatane musalaṃ vāvaśīryetānyasmiṃś cādbhuta etābhir juhuyāt / svasti na indro vṛddhaśravāḥ svasti naḥ pūṣā viśvavedāḥ / svasti nas tārkṣyo ariṣṭanemiḥ svasti no bṛhaspatir dadhātu / svasti no mimītām aśvinā bhagaḥ svasti devy aditir anarvaṇaḥ / svasti pūṣā asuro dadhātu naḥ svasti dyāvāpṛthivī sucetunā / svastaye vāyum upabravāmahai somaṃ svasti bhuvanasya yas patiḥ / bṛhaspatiṃ sarvagaṇaṃ svastaye svastaya ādityāso bhavantu naḥ / viśve devā no adyā svastaye vaiśvānaro vasur agniḥ svastaye / devā avantv ṛbhavaḥ svastaye svasti no rudraḥ pātv aṃhasaḥ / svasti naḥ pathyāsu dhanvasu svasty apsu vrajane svarvataḥ / svasti naḥ pathyākṛteṣu yoniṣu svasti rāye maruto dadhātu naḥ / trātāram indraṃ mā te asyāṃ vi na indra mṛgo na bhīmas taṃ śaṃ yor āvṛṇīmaha iti daśāhutayaḥ
2.15.7	jayaprabhṛti samānam
2.16.1	sarpebhyo bibhyacchrāvaṇyāṃ tūṣṇīṃ bhaumam ekakapālaṃ śrapayitvākṣatasaktūn piṣṭvā svakṛta iriṇe darbhān āstīryācyutāya dhruvāya bhaumāya svāheti juhoti
2.16.2	samīcī nāmāsīti paryāyair upatiṣṭhate pratidiśaṃ dvābhyāṃ madhye
2.16.3	akṣatasaktūnāṃ sarpabaliṃ harati īśānāyety eke / sarpo 'si sarpāṇām adhipatis tvayi sarve sarpāḥ / balihāro 'stu sarpāṇāṃ namo astuṣur mā rīriṣur mā hiṃsiṣur mā dāṅkṣuḥ sarpāḥ / mā no agne vi sṛjo aghāyāviṣyave ripave ducchunāyai / mā datvate daśate mādate no mā rīṣate sahasāvan parā dāḥ / sarpo 'si sarpāṇām adhipatir annena manuṣyāṃs trāyase 'pūpena sarpān / tvayi santaṃ mayi santaṃ mākṣiṣur mā rīriṣur mā hiṃsiṣur mā dāṅkṣuḥ sarpāḥ / namo astu sarpebhya iti tisṛbhiśca
2.16.4	dhruvāmuṃ te paridadāmīti sarvāmātyān nāmagrāham ātmānaṃ ca
2.16.5	etena dharmeṇa caturo māsān sarpabaliṃ hṛtvā viramati
2.16.6	tūṣṇīm api śūdrā prakṣālitapāṇiḥ
2.17.1	ayūthike bhayārte kapote gṛhān praviṣṭe tasyāgnau padaṃ dṛśyeta dadhani saktuṣu ghṛte vā devāḥ kapota iti pratyṛcaṃ japej juhuyād vā / devāḥ kapota iṣito yad icchan dūto nirṛtyā idam ājagāma / tasmā arcāma kṛṇavāma niṣkṛtiṃ śaṃ no astu dvipade śaṃ catuṣpade / śivaḥ kapota iṣito no astv anāgā devāḥ śakuno gṛheṣu agnirhi vipro juṣatāṃ havir naḥ pari hetiḥ pakṣiṇī no vṛṇaktu / hetiḥ pakṣiṇī na dabhāty asmān āṣṭryāṃ padaṃ kṛṇute agnidhāne / śaṃ no gobhyaś ca puruṣebhyaś cāstu mā no hiṃsīd iha devāḥ kapotaḥ / yad ulūko vadati mogham etad yat kapotaḥ padam agnau kṛṇoti / yasya dūtaḥ prahita eṣa etat tasmai yamāya namo astu mṛtyave / ṛcā kapotaṃ nudata pramodam iṣaṃ madantaḥ pari gāṃ nayadhvam / saṃyopayanto duritāni viśvā hitvā na ūrjaṃ pra patāt patiṣṭhaḥ / iti
2.17.2	padam ādāya dakṣiṇā pratyaggharanti
2.17.3	sahādhikaraṇair yanti
2.17.4	svakṛta iriṇe padaṃ nyasyādhyadhi
2.17.5	dhāmno dhāmna iti tisṛbhiḥ parogoṣṭhaṃ mārjayante
2.17.6	anapekṣamāṇāḥ pratyāyanti
2.17.7	agna āyūṃṣi pavase agnir ṛṣir agne pavasveti pratyetya japanti
2.18.1	ṣāḍāhutaṃ pratipadi putrakāmaḥ
2.18.2	payasi sthālīpākaṃ śrapayitvā tasya juhoti / brahmaṇāgniḥ saṃvidāno rakṣohā bādhatām itaḥ / amīvā yaste garbhaṃ durṇāmā yonim āśaye / yas te garbham amīvā durṇāmā yonim āśaye / agniṣṭhaṃ brahmaṇā saha niṣkravyādam anīnaśat / yas te hanti patayantaṃ niṣatsnuṃ yaḥ sarīsṛpam / jātaṃ yaste jighāṃsati tam ito nāśayāmasi / yas tvā svapnena tamasā mohayitvā nipadyate / prajāṃ yas te jighāṃsati tam ito nāśayāmasi / yas tvā bhrātā patir bhūtvā jāro bhūtvā nipadyate / prajāṃ yaste jighāṃsati tam ito nāśayāmasi / ye te ghnanty apsaraso gandharvā goṣṭhāś ca ye / kravyādaṃ suradevinaṃ tam ito nāśayāmasi / yas ta ūrū viharaty antarā dampatī śaye / yoniṃ yo antarāreḍhi tamito nāśayāmasi / abhinnāṇḍā vṛddhagarbhā ariṣṭā jīvasūkarī / vijāyatāṃ prajāyatām iyaṃ bhavatu tokinī / viṣṇur yoniṃ kalpayatu tvaṣṭā rūpāṇi piṃśatu / āsiñcatu prajāpatir dhātā garbhaṃ dadhātu te / garbhaṃ dhehi sinīvāli garbhaṃ dhehi sarasvati / garbhaṃ te aśvinau devāv ādhattāṃ puṣkarasrajā / hiraṇyayī araṇī yaṃ nirmanthato aśvinā / taṃ te garbhaṃ havāmahe daśame māsi sūtave / paraṃ mṛtyo anuparehi panthāṃ yaste sva itaro devayānāt / cakṣuṣmate śṛṇvate te bravīmi mā naḥ prajāṃ rīriṣo mota vīrān / iti dvādaśagarbhavedinyaḥ ṣaḍādyāḥ sthālīpākasya ṣaḍuttarā ājyasya
2.18.3	jayaprabhṛti samānam
2.18.4	naijameṣaṃ sthālīpākaṃ śrapayitvā yathā ṣāḍāhutam / nejameṣa parāpata suputraḥ punar āpata / asyai me putrakāmāyai punar ādhehi yaḥ pumān / yatheyaṃ pṛthivī mahyam uttānā garbham ādadhe / evaṃ taṃ garbham ādhehi daśame māsi sūtave / viṣṇoḥ śreṣṭhena rūpeṇāsyāṃ nāryāṃ gavīnyām / pumāṃsaṃ putram ādhehi daśame māsi sūtave / pākayajñān samāsādya ekājyām ekabarhiṣi / ekaṃ sviṣṭakṛtaṃ kuryān nānā satyapi daivate nānā satyapi daivate
