#Text:Vaikhānasagṛhyasūtra
#Edition:Caland
#Notes:1-3 from DCS (with corrections), 4ff. directly from TITUS; sentence splits according to Caland added by O. Hellwig.



1.1.1	atha niṣekādisaṃskārānvyākhyāsyāmaḥ
3.1.12	yasmāttrīnpūrvāṃstrīnaparān ārṣījātaḥ ṣaṭ pūrvānṣaḍaparānprājāpatyenoḍhāyā jātaḥ sapta pūrvānsaptāparāndaivīsuto daśa pūrvāndaśāparānātmānaṃ caikaviṃśatikaṃ brāhmīputraḥ pāvayediti
3.2.1	mātur asapiṇḍāṃ pitur asamānaṛṣigotrajātāṃ lakṣaṇasampannāṃ nagnikāṃ kanyāṃ varayitvā pañcāheṣu kulasya pariśuddhyai sapiṇḍaiḥ śrotriyaiḥ saha bhūtaṃ bhuñjīta
3.2.2	yasmātsa pūto bhavatīti vijñāyate
3.2.3	kanikradādinā kanyāgṛhaṃ gatvā pra su gmanteti tām īkṣitvābhrātṛghnīm iti tayekṣyamāṇo guruṇāgnimukhe kṛte kanyāprado varagotranāma śarmāntaṃ tathaitāmasya sahadharmacāriṇī bhavatīti brāhme vivāhe dharmaprajāsampattyarthaṃ yajñāpattyarthaṃ brahmadevarṣipitṛtṛptyarthaṃ prajāsahatvakarmabhyo dadāmītyudakena tāṃ dadyāt
3.2.4	tāṃ prajāpatiḥ striyām ity udakena harate
3.2.5	vastragandhābharaṇādīni saṃbhṛtya kanikradādinā kanyāgṛhaṃ saha bāndhavairgatvā teja āyuḥ śriyamiti vastrādinālaṃkṛtya prajāpatiḥ somamiti tathābharaṇamāropyādadītetyeke
3.3.1	tataḥ saha snātāyā vadhvā navavastrālaṃkārāyāḥ puṇyāhānte pāṇiṃ gṛhītvā sumaṅgalīr iyaṃ vadhūr ity agniśālām āgatya prāṅmukham āsayitvā tasyai śuddhāmbaraveṣaḥ kūrcaṃ dadāti
3.3.2	tataḥ paristīryāgniraitvimāmagnistrāyatāṃ mā te gṛhe dyaus te pṛṣṭham aprajastāṃ devakṛtamiti pañcavāruṇāntaṃ pradhānāñjuhuyāt
3.3.3	agner aparasyām āstīrṇeṣu darbheṣvaśmānamātiṣṭheti vadhvāḥ pādāṅguṣṭhena dakṣiṇena sparśayati pratyaṅmukha iti pāṇigrahaṇaṃ sarasvatīti visargam aghoracakṣur ity āsanaṃ ca kṛtvemāṃllājānityabhighāryeyaṃ nārīti tasyā lājāñjalinā juhoti
3.3.4	ud āyuṣety uttiṣṭhati
3.3.5	pratyaṅmukha iti vadhūmukhekṣaṇaṃ sarasvatīti pāṇigrahaṇam aghoracakṣur iti visargam imāṃllājān iti lājapūraṇamiyaṃ nārīti homam udāyuṣety agnipraṇāmaṃ kuryādityeke
3.4.1	viśvā uta tvayety agniṃ pradakṣiṇaṃ kṛtvātigāhemahi dviṣa ity āsitvā tridhaivaṃ lājahomaṃ juhuyāt
3.4.2	tato mūlahomānte 'gniṃ patighnyantaṃ vāyuḥ ninditāntamādityaṃ ghorāntaṃ gandharvaṃ yaśoghnyantaṃ candraṃ putraghnyantaṃ hutvā vyāhṛtiḥ
3.4.3	prāsāvīr ityantaiś caturbhiḥ pravāhaṇaṃ kṛtvā punaḥ paristīrya sviṣṭakṛnmindāhutī vicchinnam ṛddhisaptasamidvyāhṛtīś ca juhuyāt
3.4.4	agner aparasyām āstīryodagagrān sapta barhiṣo vadhvā saha dakṣiṇena pādenaikam iṣe viṣṇuriti dve ūrja iti trīṇi vratāyeti catvārīti pañca paśubhya iti ṣaḍ rāyaspoṣāyeti sapta saptabhya iti tānparyāyeṇākramya gatvā sakheti nivarteta
3.4.5	mama hṛdaya iti tasyā hṛdayamabhimṛśati
3.4.6	prokṣaṇaiḥ prokṣya puṇyāhaṃ svastighoṣeṇārundhatīndrāṇyaditiḥ śrīriveti vadhvā manuḥ prajāpatiḥ puruṣottamo mahendra iveti varasya ca catvāri stomāny āropayeyuḥ
3.4.7	iti pāṇigrahaṇam
3.4.8	dhruvadarśanāntamityeke
3.4.9	tataḥ prabhṛti gārhasthyaṃ dharmamanutiṣṭhatīti vijñāyate
3.5.1	atha caturthīvāsaḥ
3.5.2	vaivāhikamagniṃ vadhvā sahādāya saṃpravāhārayanv iti vadhūṃ samaṃ vadhvety agniṃ saṃśāsti dakṣiṇaṃ pādam agre 'tihara dehaliṃ mādhiṣṭhā ityāvasathe praviśya prācyām ardhe samādadhīta
3.5.3	agner aparasyām ānaḍuhaṃ carma lohitaṃ kṛṣṇājinaṃ vā prācīnagrīvamuttaralomāstṛṇāti
3.5.4	tatra prāṅmukham udaṅmukhaṃ vā vadhūmupaveśya patiriha gāvaḥ prajāyadhvamiti paścān niṣīdeta
3.5.5	ā jyotiṣāṃ darśanād vācaṃyamāv anyatarānupetāv āsātām
3.5.6	udite nakṣatre prācīm udīcīṃ vā devīḥ ṣaḍ urvīr iti diśamupasthāya mā hāsmahi prajayeti candraṃ saptarṣaya iti saptarṣīn kṛttikā nakṣatrāṇyarundhatīṃ ca dhruvakṣitiriti dhruvaṃ ca dṛṣṭvopatiṣṭheyātāṃ manojñaṃ tayā saha sambhāṣya
3.5.7	athāgneyaḥ sthālīpākaḥ
3.5.8	prajā sthālīmiti sthālīmabhimṛśyāgnaye juṣṭaṃ nirvapāmīti sthālyāṃ taṇḍulānnirvāpya vācaspataye pavasveti vadhvā caruṃ śrapayati
3.5.9	abhighāryodag udvāsya paristīryāgnimupasamādhāya havyavāhamiti sviṣṭakṛtā yajeta
3.5.10	hutaśeṣeṇa śrotriyaṃ brāhmaṇaṃ tarpayitvā tasmā ṛṣabhaṃ dattvānṛṇo bhavatīti vijñāyate
3.6.1	ata ūrdhvaṃ parvaṇi sthālīpākena yajeta
3.6.2	nityaṃ yavairvrīhibhirvā hastena sūryāya svāhā prajāpataye svāheti prātarāhutī agnaye svāhā prajāpataye svāheti sāyamāhutī juhuyāt
3.6.3	agnyantarasaṃsarge 'nugate vā patnī kṛcchraṃ carati
3.6.4	śrotriyāgārānmathitvā vāgnimādāya punar aupāsanam ādadhīta
3.6.5	udakyāśucyādisaṃsarge ca vidhānaṃ yajñaprāyaścitte vakṣyāmaḥ
3.6.6	viyoge pakṣasyopāvaroheti samidhaṃ yāvatkṛṣṇaṃ tāvat taptvā samāropya gacchet
3.6.7	aharahas tāṃ prajvālya hutvā tathānyāṃ samidhaṃ nidadhāti
3.7.1	pacane vāvasathye carumabhighārya vaiśvadevam
3.7.2	yathā heti maṇḍalaṃ pradakṣiṇam upalipya parimṛjyāgnaye svāhā somāya svāhetyuttaradakṣiṇayormadhye vyāhṛtīr viśvebhyo devebhyaḥ svāhā dhanvantaraye svāhā kuhvai svāhānumatyai svāhā prajāpataye svāhā dyāvāpṛthivībhyām svāhā vyāhṛtīr imā me agna iti caruṃ sedhmaṃ juhuyād agnihotrāya svāhā vaiśvadevayajñāya svāhā brahmayajñāya svāhā devayajñāya svāhā bhūtayajñāya svāhā manuṣyayajñāya svāhā pitṛyajñāya svadhā namaḥ svāhā pañcamahāyajñāya svāhā vyāhṛtīḥ sviṣṭakṛdvyāhṛtīḥ
3.7.3	atha gṛhadevatābhyo yathādiśaṃ baliharaṇaṃ brahmaṇe namo brahmapuruṣebhyo namo vāstoṣpataye nama iti gṛhamadhye
3.7.4	indrāya nama indrapuruṣebhyo namo yamāya namo yamapuruṣebhyo namo varuṇāya namo varuṇapuruṣebhyo namaḥ somāya namaḥ somapuruṣebhyo namo 'gnaye namo nirṛtaye namo vāyave nama īśānāya nama iti
3.7.5	sarvaṃ dakṣiṇe pitṛbhyo jñātivargapatnyantebhyaḥ
3.7.6	kṛtopavītī yāvanto 'nnārthinastāvadbhyo nirvapāmīti nirupyākāśe viśvebhyo devebhyo namo divācarebhyo namo bhūtebhyo namo naktaṃcarebhyo nama iti
3.7.7	ucchīrṣake śriyā iti
3.7.8	pādato bhadrakālyā iti
3.7.9	pratidvāraṃ pūrvāntam uttarāntaṃ vā bhuvaṃgayor marudbhya iti
3.7.10	culyāḥ pakṣayoragnaya iti
3.7.11	udadhānyām adbhya iti
3.7.12	peṣaṇyor ubhayor dṛṣada ity ulūkhalamusalayor vanaspatibhya iti
3.7.13	śūrpa oṣadhībhya iti
3.7.14	vāstupṛṣṭhe śunāṃ ca patitānāṃ ca śvapacāṃ pāparogiṇām
3.7.15	vayasāṃ ca krimīṇāṃ ca bhūmāvannaṃ vapāmyahamiti baliśeṣaṃ nirvapati
3.7.16	pūrvavat pravāhaṇaṃ kṛtvā bhūtiḥ smeti bhasmālipyāpo hi ṣṭheti prokṣya yatte agne tejastenetyagnim ud vayam ity ādityaṃ copatiṣṭheta
3.7.17	nityaṃ sāyaṃ prātaḥ patnī vā puṣṭikāmā baliṃ haret
3.7.18	vaiśvadevakāle prāptamatithiṃ śaktyā tarpayet
3.7.19	vaiśvānaro hyeṣa bhavati
3.8.1	tad evaṃ trirātram haviṣyāśinau brahmacāriṇau dhautavastravratacāriṇau syātām
3.8.2	tato 'parasyāṃ rātrau caturthyām alaṃkṛtyāgnim upasamādhāya nava prāyaścittāni juhuyād agne vāyav ādityāditya vāyav agne 'gne vāyavāditya vyāhṛtir bhūr bhagam iti caturbhirvadhūmūrdhnyājyena juhuyāt
3.8.3	agniṃ pradakṣiṇaṃ kṛtvā prācyām udīcyāṃ vā tām upaveśyābhiṣṭvā pañcaśākheneti yonimabhimṛśya saṃ no mana ity upagacchet
3.8.4	imām anuvratety āliṅganaṃ madhu he madhv idam iti maithunaṃ kurvīta
3.8.5	suprajāstvāyety upagamanaṃ saṃ no mana ity āliṅganam imāmanuvrateti vadhūmukhekṣaṇam ity eke
3.9.1	atha trirātramṛtau malavadvāsāḥ snānāñjanādīni varjayet
3.9.2	ekabhaktā syāt
3.9.3	akharveṇāñjalināyasena vā pibet
3.9.4	na śulbenāśnāti
3.9.5	na grahānīkṣeta
3.9.6	na divā svapet
3.9.7	yathoktaṃ vrataṃ kuryāt
3.9.8	caturthyāṃ dantadhāvanaṃ gandhāmalakādibhiḥ snātvā śvetavastrānulepanā strīśūdrābhyām anabhibhāṣyāparam adṛṣṭvā bhartāraṃ paśyet
3.9.9	yasmād ṛtusnātā yādṛśaṃ puruṣaṃ paśyet tādṛśī prajā bhavati
3.9.10	ṛturātrayo dvādaśa bhavanti ṣoḍaśeti cācakṣate
3.9.11	prathamās tisro na gamyāḥ
3.9.12	pumān samāsu viṣamāsu strī jāyate
3.9.13	śālivrīhiyavānāmannaṃ payasā prāśnīyād yasmādāhāramūlā dhātavo bhavanti
3.9.14	lakṣmīvaṭaśuṅgasahadevīnām anyatamam abhiṣūya prakṣipeddakṣiṇe nāsāpuṭe putrakāmāyā vāme strīkāmāyāḥ
3.9.15	na niṣṭhīvanaṃ kuryāt
3.9.16	śokaroṣau varjayati
3.9.17	tata enāṃ yanme garbhādibhiḥ prokṣaṇaiḥ prokṣya viṣṇuryoniṃ kalpayatviti tāmupagacchet
3.9.18	pariṣicya vaiśvadevaṃ vaiṣṇavaṃ mūlahomāṅgahomau hutvā viṣṇuryoniṃ kalpayatv ity upagamanam ity eke
3.10.1	atha gṛhītagarbhāliṅgāni
3.10.2	śarīrāṭopaḥ sakthisīdanaṃ dveṣo bharturarucirāhāro lālāprakopaḥ kharatā vācaḥ sphuraṇaṃ yoneriti garbhasya daivānubandhaṃ jñātvāpūryamāṇapakṣe puṇye puṃnāmni śubhe nakṣatra ājyenāghāraṃ hutvā tāṃ maṅgalayuktām upaveśya pariṣicya dhātādi pañca vāruṇaṃ mūlahomaṃ sviṣṭākāraṃ ca hutvā vṛṣo 'sīti yavāndadāti
3.10.3	payo dadhi ghṛtaṃ samaṃ gṛhītaṃ trivṛdityāmananti
3.10.4	bhūs tvayi dadāmītyenāṃ trivṛtprāśayedācāntāyā nābher ūrdhvam ābhiṣṭvāhaṃ parāñceti darbheṇa trir unmārjya puṇyāhaṃ kuryāt
3.10.5	brāhmaṇān annena tarpayati
3.11.1	atha garbhādhānādicaturthe māsi puṃsavanaṃ bhavati
3.11.2	śuklapakṣe śuddhe 'hani pūrvāhṇe 'gnimupasamādhāya pūrvavat sviṣṭakārāntaṃ hutvā dakṣiṇato 'gneraparasyāmāsīnāyā vṛṣo 'sīti sarṣapamiśritānyavānāṇḍau stha iti dadyāt
3.11.3	alābhe māṣadhānyau pratinidhī syātām
3.11.4	oṃ bhūrbhuvaḥ suvo rākāmahaṃ yās te rāke soma eva viśvā uta tvayetyudaramabhimṛśet
3.11.5	pūrvavat trivṛt prāśanādīnīti vijñāyate
3.12.1	atha garbhādhānādyaṣṭame māsi sīmantonnayanaṃ kuryāt
3.12.2	pakṣo dinaṃ ca vyākhyātam
3.12.3	pūrvavad dhātādi hutvā treṇyā śalalyā saha śalāṭuglapsaṃ sāgrapattraṃ kuśāṅkuraṃ ca darbheṇa trir ābadhyoṃ bhūrbhuvaḥ suvar iti gṛhītvā tasyāstathāsīnāyāḥ sraggandhavatyāḥ sīmante rākāmahaṃ yāste rāka iti sthāpayitvonnayanaṃ kuryāt
3.12.4	soma eveti purastādiva kuryāt
3.12.5	pūrvavat trivṛt prāśanaṃ puṇyāhāntam ity eke
3.13.1	atha viṣṇubalim
3.13.2	uttarapraṇidhāvagnyādīndevānoṃ bhūḥ puruṣamoṃ bhuvaḥ puruṣom suvaḥ puruṣamoṃ bhūrbhuvaḥ suvaḥ puruṣaṃ cetyāvāhya tathaiva nirvāpādyāghāraṃ hutvāgneḥ pūrvasyāṃ darbhāsaneṣu keśavaṃ nārāyaṇaṃ mādhavaṃ govindaṃ viṣṇuṃ madhusūdanaṃ trivikramaṃ vāmanaṃ śrīdharaṃ hṛṣīkeśaṃ padmanābhaṃ dāmodaramiti nāmabhirdevaṃ viṣṇum āvāhyāpohiraṇyapavamānaiḥ snāpayitvā tattannāmnārcayati
3.13.3	ato devādyair viṣṇor nu kaṃ tadasya priyaṃ pra tad viṣṇuḥ paromātrayā vicakrame trirdeva iti dvādaśāhutīr ājyena hutvā pāyasamājyasaṃyuktaṃ havirdevaṃ nivedya dvādaśanāmabhir ato devādyair viṣṇor nukādyair ājyamiśraṃ pāyasaṃ juhuyāt
3.13.4	ṛgyajuḥsāmātharvabhir mantrair vaiṣṇavairdevaṃ saṃstūya namo'ntair nāmabhiḥ praṇamet
3.13.5	pāyasaśeṣaṃ patnīṃ prāśayati
3.14.1	atha jātakarma vyākhyāsyāmaḥ
3.14.2	ariṣṭāgāraṃ yathoktaṃ kṛtvā vṛṣabhoṣitaṃ tilasarṣapairdhūpayitvā tāṃ praveśayet
3.14.3	tajjñāḥ striyas tisraś catasro vā parigṛhyaināṃ saṃvāhayeyuḥ
3.14.4	kukṣau śithile hṛdayabandhaṃ muktvā saśūle jaghane prajāyata ityavadhārayet
3.14.5	garbhasaṅge viśalyāṃ suvarcalāṃ vā yonau niṣpīḍya nidadhyāt
3.14.6	dhūpayet piṇḍītakenāhikṛttyā vā yonim
3.14.7	hiraṇyapuṣpyā mūlaṃ hastapādayorādadhāti
3.14.8	yadā nāsāgraṃ dṛśyate tadāsya grahasthitiṃ jñātvā śubhāśubhaṃ parīkṣeta
3.14.9	yasmāt tadguṇānvitaṃ vardhayet
3.14.10	jāyamāne mātur udakumbhaṃ dakṣiṇataḥ śirobhāge sthāpayitvā tatas tūryantīṃ pādato nidhāya yathaiva somaḥ pavata ity udaram abhimṛśet
3.14.11	kumāre jāte dvāravāme 'śmani paraśuṃ tasminhiraṇyaṃ sthāpayitvāśmā bhavety adharam uttaraṃ karoti
3.14.12	tasyoparyaṅgādaṅgāditi kumāramekayā striyā dhārayet
3.14.13	tam adbhir abhyukṣya tilade 'vapadyasveti satilam akṣataṃ mūrdhnyādhāyaupāsanamaraṇyāṃ nirharati
3.15.1	cullyāṃ kapālamāropya vṛṣabhaśakṛtpiṇḍair jātakāgniṃ sādhayet
3.15.2	tam enam uttapanīyam ity udāharanti
3.15.3	tenaiva dhūpaṃ dadyāt
3.15.4	dvārasya dakṣiṇato nidhāyāṅgāravarṇe paristīrya kaṇasarṣapair hastena śaṇḍe ratho 'yaḥ śaṇḍo marka ālikhanvilikhannaryamṇa āntrīmukhaḥ keśinīretān ghnataitān pūrva eṣāṃ miśravāsaso naktaṃcāriṇo niśīthacāriṇī tāsāṃ tvam ayaṃ te yonir mama nāmeti vyāhṛtīśca hutvā prakṣālya pāṇimavanīmālabhya yatte susīma iti medhāyai ghṛtaṃ karoti
3.15.5	vacā pathyā hiraṇyaṃ madhu sarpiriti medhājananāni bhavanti
3.15.6	brāhmīghṛtaṃ payo vacādhikaṃ cāmananti
3.15.7	suvarṇaṃ darbheṇa baddhvāntardhāya ghṛtaṃ bhūr ṛca iti prāṅmukhaṃ prāśayati
3.15.8	nityaṃ sāyaṃ prātar evam ahar ahar hutvā medhāyai pāyayet
3.15.9	uṣṇaśītābhir adbhir enaṃ snāpayitvā kṣetriyai tveti nītvā yā daivīr iti māturaṅke sthāpayitvā tāsāṃ tveti stanau prakṣālyāyaṃ kumāra iti dakṣiṇādi pāyayet
3.15.10	āpo haviṣṣv iti nyastamudakumbhaṃ śodhayitvā nityaṃ sāyaṃ prātar ādadhāti
3.15.11	tathaiva ghṛtaprāśanāntaṃ karma kṛtvā snātvaupāsananirharaṇādi karotītyeke
3.15.12	tṛtīye pañcame saptame navame cāhni śayanādikaṃ śodhayatīti
3.16.1	atha vāstusavanaṃ vyākhyāsyāmaḥ
3.16.2	nave vāstunyuṣite 'pi sūtakapretakayorvāpayitvā mṛnmayāni bhāṇḍāni purāṇāni tyaktvā navāni parigṛhyānyānparicchadānyathoktaṃ śodhayitvā bhūmiyajñeneṣṭvā nivaset
3.16.3	yasmād vāstusavanena śuddhivastūnām āghāro vāstusavanasya
3.16.4	vāstoṣpate pratijānīhi vāstoṣpate śagmayeti dvābhyāṃ yajeta bhūmiyajñāya svāhā yajñadaivataṃ pra sodaryai svāheti dvau bhūmiyajñadaivatyau medinī devī devī hiraṇyagarbhiṇī samudravatī sāvitrī śṛṅge śṛṅge vāyuparī jalaśayanīti pañca bhūmidaivatyā vyāhṛtīr hutvā puṇyāhamahamagne agniṃ gṛhṇāmīty agniṣṭhād darbhapūlenāgniṃ gṛhītvā prathamād aindrād bhuvaṃgād ārabhya vāstunaḥ kuḍyamūlādbahirantaśca vāmaṃ parītyā brahmasthānāt paryagniṃ kārayitvāparadvāreṇa visṛjet
3.16.5	tathaivāṇor aṇīyān iti pātreṇānv apaḥ srāvayitvā śiṣṭābhiḥ sarvatra prokṣayati
3.16.6	evaṃ vāruṇād bhuvaṃgād vā yāmyāt saumyād ārabhya paryagnyādhāvasrutī syātām
3.17.1	ye te śataṃ varuṇod uttamam ayāś cāgna āpaḥ sṛjantu snigdhānīti catvāro varuṇadaivatyāḥ
3.17.2	viśve devasya viśve adyeti dvau vaiśvadevau
3.17.3	ato devā idaṃ viṣṇus trīṇi padā viṣṇoḥ karmāṇi tadviṣṇoḥ paramaṃ tad viprāsa iti ṣaḍvaiṣṇavā dvāv ādyāv ity eke
3.17.4	rudramanyaṃ tryambakamiti dvau rudradaivatyau
3.17.5	brahma jajñānaṃ hiraṇyagarbha iti dvau brahmadaivatyau
3.17.6	miśravāsasa etān ghnataitāniti dvau kauberau
3.17.7	yuvam etāny agnīṣomāv ānyaṃ diva iti trayo 'gnīṣomīyāḥ
3.17.8	bṛhaspatir devānāṃ bṛhaspatiḥ somaṃ bṛhaspate ati yadupayāmagṛhīta iti catvāro bārhaspatyāḥ
3.17.9	trātāram indraṃ mahāṁ indro ya ojasā mahāṁ indro nṛvad bhuvas tvam indrendra sānasiṃ pra sasāhiṣe 'smākamindro bhūtasyendro dyaur indraṃ praṇavantam indro vṛtramindro babhūvendro 'smāniti trayodaśaindrāḥ
3.17.10	yamo dādhāra namaste nirṛtaya iti dvau yāmyau
3.17.11	mitrasya carṣaṇīdhṛto mitro janān pra sa mitreti trayo maitrāḥ
3.17.12	bhūmiyajñadaivatyādayo vyāhṛtyantā ijyante
3.17.13	tasmād dvyuttaraṃ śatamāhutayo vāstusavanasyāntahomam iti vijñāyate
3.18.1	atha daśame dvādaśe vāhni bhavatyutthānam
3.18.2	tathaiva jātakāgniṃ samāropya yāvantyasya karmāṇi tāni sarvāṇi mathitvāsminneva kuryādvisṛjya laukikāgnāvityeke
3.18.3	snātvāgāraṃ yathoktaṃ śodhayet
3.18.4	kṣurakarmādinā śuddho bhūmiyajñamasagotreṇa yājayedityeke
3.18.5	tathā haraṇamaupāsanasya dhātādi pañca vāruṇaṃ mūlahomo bhojanaṃ brāhmaṇānām
3.19.1	atha nāmakaraṇam
3.19.2	ā catvāriṃśaddivasād ā pañcāśaddinādvā pāke naināṃ niyuñjīta
3.19.3	tatraiva śubhe puṃnāmni nakṣatre paristīryāgniṃ tathāsīnasyākṣataṃ kumārasya mūrdhni vinyasya pañca vāruṇaṃ prājāpatyaṃ sviṣṭākāraṃ ca hutvāsya pūrvavat trivṛtprāśanam
3.19.4	dīrghāntam abhiniṣṭhāntaṃ vā ghoṣavadādyantaraṃ dvipratiṣṭhitāntasthaṃ mṛṣṭākṣarapadasvaraṃ dvivarṇaṃ caturvarṇaṃ vā nāma śasyate
3.19.5	yathoktaṃ mama nāma prathamamiti gotranāmayuktaṃ tadarhaṃ nāma kuryāt dve nāmanī tu nakṣatranāma rahasyam
3.19.6	agnyādhānāt paramāhitāgnyādisvakarmāntaṃ prakāśaṃ nāma bhavet
3.19.7	akṣatodakapuṣpānnarasagandhasamaiḥ pāṇibhyāṃ dakṣiṇetarābhyāṃ kumārasya śāṃkarir iveti kanyāyā nandevānandadāyinīti vadan pādata ārabhya krameṇa dehāṅgasaṃdhau śirasi ca nikṣipet
3.19.8	puṇyāham
3.20.1	atha varṣavardhanam
3.20.2	dārakasya janmanakṣatraṃ yaddaivatyaṃ sāsya devatā pradhānā bhavati
3.20.3	tasmād āghāraṃ hutvā tadadhidevatā nakṣatrāṇi ca juhuyāt
3.20.4	agnaye kṛttikābhyaḥ prajāpataye rohiṇyai somāya mṛgaśīrṣāya rudrāyārdrāyā adityai punarvasūbhyāṃ bṛhaspataye tiṣyāya sarpebhya āśreṣābhyaḥ pitṛbhyo maghābhyo 'ryamṇe phalgunībhyāṃ bhagāya phalgunībhyāṃ savitre hastāya tvaṣṭre citrāyai vāyave niṣṭyāyā indrāgnibhyāṃ viśākhābhyāṃ mitrāyānūrādhebhya indrāya jyeṣṭhāyai prajāpataye mūlāyādbhyo 'ṣāḍhābhyo viśvebhyo devebhyo 'ṣāḍhābhyo brahmaṇe 'bhijite viṣṇave śroṇāyai vasubhyaḥ śraviṣṭhābhyo varuṇāya śatabhiṣaje 'jāyaikapade proṣṭhapadebhyo 'haye budhniyāya proṣṭhapadebhyaḥ pūṣṇe revatyā aśvibhyām aśvayugbhyāṃ yamāyāpabharaṇībhyaḥ svāheti vyāhṛtiḥ
3.21.1	ṛṣabhaṃ vairavaṇam agnīṣomīyaṃ vaiṣṇavaṃ dhātādi mūlahomaṃ yaddevādi kūṣmāṇḍahomam ā sāvitravratabandhāj juhoti
3.21.2	upanītasya ca tattadvratasūktāni
3.21.3	vedasnātakasya yadahni vivāho bhavati māsike vārṣike cāhni tasmin yat striya āhuḥ pāraṃparyāgataṃ śiṣṭācāraṃ tattatkaroti
3.21.4	tathāgniṣṭomādiyajñānām ādhānanakṣatre varṣānte karoti
3.21.5	tadevaṃ vartamānasya yadyaṣṭamāsādhikāśītivarṣāṇi ravivarṣeṇādhigānyadhigaccheyuḥ sa dṛṣṭasahasracandro bhavati
3.21.6	tamenaṃ kriyāyuktaṃ puṇyakṛttamaṃ brahmaśarīramityācakṣate
3.21.7	tasmān nāndīmukhaṃ kṛtvā śuklapakṣe śuddhe 'hani pūrvāhṇe pūrvavaddhutvā tathaiva kapila iveti vṛddhasya vṛddhāyā vā vadann akṣatodakādīn mūrdhnyādadhyāt
3.21.8	sarvadevatāḥ sahasraṃ ca brāhmaṇānāmarcanabalibhyāmannena tarpayet
3.21.9	grāmaṃ pradakṣiṇīkṛtya sāyaṃ sthaṇḍile sahasraṃ piṣṭena somarūpāṇi karoti
3.21.10	rājatena pātreṇa kumudapattraiḥ somasyārcanam
3.21.11	tasya dakṣiṇe rohiṇīgaṇaṃ vāme cānāvṛṣṭigaṇamarcayati
3.21.12	sahasraśaḥ suvarṇarajatamuktādīni śaktyā vastrataṇḍulāpūpāni ca dadyāt
3.21.13	aśvamedhaphalāvāptyai varṣavardhanamiti vijñāyate
3.22.1	atha ṣaṣṭhe māsyannaprāśanam
3.22.2	śuklapakṣe dine śuddhe tatrājyenāghāraḥ
3.22.3	dhātādi mūlahomaṃ pūrvavat trivṛtprāśanam
3.22.4	prāṅmukhaṃ maṅgalayuktaṃ kumāraṃ viṣṭaramāropya bhūr apām iti pāyasam annaṃ prāśayet
3.22.5	yoge yoge tavastaram ity ācamanaṃ dadāti
3.22.6	atha pravāsāgamanam
3.22.7	puṣpāpūpadakṣiṇādisambhārān kumāraṃ ca gṛhītvā kanikradādim ālayaṃ guhasya gacchet
3.22.8	pradakṣiṇam arcanaṃ praṇāmo guhasya
3.22.9	tacchiṣṭena puṣpādinā guhasya śeṣamiti tannāmohitvā bālam alaṃkṛtya śāntiṃ vācayitvā nivartayet
3.22.10	prokṣyāgataṃ somasya tvety aṅgam āropyāyuṣe varcasa iti pitā mūrdhni jighrati
3.22.11	vṛṣabhaṃ namaskṛtya dakṣiṇapāṇeḥ sāṅguṣṭham aṅgulīr gṛhītvā kaniṣṭhādy agnir āyuṣmān ityādikair visarjanam
3.22.12	āyuṣ ṭe viśvataḥ pratiṣṭha vāyāviti dakṣiṇādikarṇayor japanam udaṅmukhaṃ brahmādidevānāṃ gurūṇāṃ ca praṇāmaṃ kārayet
3.22.13	pādodakaṃ dattvā pūrvavat saguḍabhakṣyasyānnasya sapiṇḍaiḥ śrotriyaiḥ saha bhojanaṃ svastivācanam
3.22.14	piṇḍavardhanamiti vijñāyate
3.23.1	atha varṣe prathame tṛtīye vā cauḍakam
3.23.2	uttarāyaṇe pakṣa āpūryamāṇe puṃnāmnyāghāraḥ
3.23.3	mūlahomānte maṅgalayuktam agner aparasyāṃ kumāram upaveśyottare sākṣataṃ gośakṛccharāve gṛhītvā mātā brahmacārī vā dhārayet
3.23.4	śivo nāmāsīti grahaṇaṃ kṣurasya
3.23.5	śivā no bhavatheti śilāyāṃ tīkṣṇīkaraṇam
3.23.6	godānam unaktv iti gavādidakṣiṇākaraṇam
3.23.7	āpa undantvity apāṃ sekaṃ śirasi
3.23.8	oṣadhe trāyasvainamiti sākṣatāṅkuradarbhau prāguttarāgrau mastake sthāpayet
3.23.9	svadhite mainam hiṃsīriti kṣuraṃ nidhāyordhvāgram oṣadhīriti yenāvapaditi yena pūṣety asāv āyuṣeti pūrvādipradakṣiṇaṃ darbhaṃ saromāṇaṃ chittvā jyok ca sūryaṃ dṛśa iti cūḍāṃ vibhajet
3.23.10	ṛṣikrameṇa svasyaikārṣadvyārṣatryārṣapañcārṣasaptārṣāc cūḍā vibhajed anuditasyaikām
3.23.11	idam aham amuṣyety udumbaradarbhayor mūle goṣṭhe vācchādayet
3.23.12	snātaṃ vastrādinālaṃkṛtyopaveśya dakṣiṇe pañca prāyaścittādi dhātādi pañca vāruṇaṃ mūlahomaṃ hutvā puṇyāhaṃ kṛtvā nāpitāyānnadānaṃ gavādidakṣiṇāṃ gurave surāṇāṃ pūjanaṃ tarpaṇaṃ brāhmaṇānām annena karoti
3.23.13	ity aṣṭādaśa saṃskārāḥ śārīrāḥ
