#Text:Bhāradvājagṛhyasūtra
#Edition:Salomons (DCS version)



1.1.1	upanayanaṃ vyākhyāsyāmaḥ
2.11.2	pitṛbhyo 'nnaṃ saṃskṛtya prācīnāvītaṃ kṛtvāgnim upasamādhāya dakṣiṇāprāgagrair darbhair agniṃ paristīrya dakṣiṇapūrvam avāntaradeśam abhimukhaḥ pitṝn āvāhayati / āyāta pitaraḥ somyā gambhīraiḥ pathibhiḥ pūrvyaiḥ / prajāmasmabhyaṃ dadato rayiṃ ca dīrghāyutvaṃ ca śataśāradaṃ ca / āyāta pitāmahāḥ prapitāmahāś cānugaiḥ saha / asuṃgamāḥ satyayujo 'vṛkāsaḥ / ā no havaṃ pitaro 'dyāgamantu / eha gacchantu pitaro haviṣe attavā iti
2.11.3	etām eva diśam abhy apaḥ prasiñcaty āpo devīḥ prahiṇutemaṃ yajñaṃ pitaro no juṣantāṃ māsīnām ūrjam uta ye bhajante te no rayiṃ sarvavīrāṃ niyacchantv iti
2.11.4	pariṣicya juhoti / yāḥ prācīḥ sambhavanty āpa uttarataś ca yāḥ / adbhir viśvasya bhuvanasya dhartrībhir antar anyaṃ pitur dadhe 'muṣmai svāhā / antardadhe parvatair antar mahyā pṛthivyā / divā digbhir anantābhir ūtibhir antar anyaṃ pitāmahād dadhe 'muṣmai svāhā / antardadha ṛtubhir ahorātraiḥ sasaṃdhikaiḥ / ardhamāsaiś ca māsaiś cāntaranyaṃ prapitāmahād dadhe 'muṣmai svāhā / yad vaḥ kravyād aṅgam adahal lokān ayaṃ praṇayañjātavedāḥ / tad vo ahaṃ punar āveśayāmy ariṣṭāḥ sarvair aṅgaiḥ saṃbhavata pitaraḥ svadhā namaḥ pitṛbhyaḥ svāheti
2.12.1	athānnasya juhoty agnaye pitṛmate svāhā somāya pitṛmate svāhā yamāyāṅgirasvate pitṛmate svāhā svadhā namaḥ pitṛbhyaḥ svāhāgnaye kavyavāhanāya sviṣṭakṛte svadhā namaḥ pitṛbhyaḥ svāheti
2.12.2	pariṣicya dakṣiṇato darbhamuṣṭiṃ nidhāya tasmin dakṣiṇāpavargāṃs trīn udakāñjalīn upaninayaty asāvavanenikṣveti pitaram asāv avanenikṣveti pitāmaham asāv avanenikṣveti prapitāmaham atraiva nāmādeśam
2.12.3	avācīnapāṇis tasmin dakṣiṇāpavargāṃs trīn piṇḍān nidadhāty etat te tatāsau madhumad annaṃ sarasvato yāvān agniś ca pṛthivī ca tāvaty asya mātrā tāvatīṃ ta etāṃ mātrāṃ bhūtāṃ dadāmi yathāgnir akṣito 'nupadasta evaṃ mahyaṃ pitre 'kṣito 'nupadastaḥ svadhā bhavatāṃ tvaṃ svadhām akṣitaṃ taiḥ sahopajīva yāṃś ca tvam atrānv asi ye ca tvām anu / etat te pitāmahāsau madhumad annaṃ sarasvato yāvān vāyuś cāntarikṣaṃ ca tāvaty asya mātrā tāvatīṃ ta etāṃ mātrāṃ bhūtāṃ dadāmi yathā vāyur akṣito 'nupadasta evaṃ mahyaṃ pitāmahāyākṣito 'nupadastaḥ svadhā bhavatāṃ tvaṃ svadhām akṣitaṃ taiḥ sahopajīva yāṃś ca tvam atrānv asi ye ca tvām anu
2.13.1	etat te prapitāmahāsau madhumad annaṃ sarasvato yāvān ādityaś ca dyauś ca tāvaty asya mātrā tāvatīṃ ta etāṃ mātrāṃ bhūtāṃ dadāmi yathādityo 'kṣito 'nupadasta evaṃ mahyaṃ prapitāmahāyākṣito 'nupadastaḥ svadhā bhavatāṃ tvaṃ svadhām akṣitaṃ taiḥ sahopajīva yāṃś ca tvam atrānv asi ye ca tvām anu / atra pitaro yathābhāgaṃ mandadhvam ity uktvā parāṅ āvartate
2.13.2	oṣmaṇo vyāvṛta upāste
2.13.3	vyāvṛtta ūṣmaṇy abhiparyāvartate 'vyāvṛtte vā
2.13.4	amīmadanta pitaraḥ somyā ity abhiparyāvṛtya namaskārair upatiṣṭhate namo vaḥ pitaro rasāyeti pratipadyāhaṃ teṣāṃ vasiṣṭho bhūyāsam ityantena
2.13.5	adbhiḥ pātraṃ prakṣālya pūrayitvā prasavyaṃ triḥ pariṣiñcati putrān pautrān abhitarpayantīr āpo madhumatīr imāḥ / svadhāṃ pitṛbhyo amṛtaṃ duhānā āpo devīr ubhayāṃs tarpayantu / ūrjaṃ vahantīḥ kṣīram udakaṃ ghṛtaṃ payaḥ kīlālaṃ parisrutaṃ nadīr imā udanvatīr vetasvinīḥ sutīrthyā amuṣmin loka upa vaḥ kṣarantu / ūrjasvatīḥ payasvatīr madhunā ghṛtena svadhā stha tarpayata me pitṝn / ity apratīkṣam etya
2.14.1	athānnam abhimṛśati pṛthivī / te pātraṃ dyaur apidhānaṃ brahmaṇas tvā mukhe juhomi brāhmaṇānāṃ tvā prāṇāpānayor juhomy akṣitam asi maiṣāṃ kṣeṣṭhā amutrāmuṣmin loke pṛthivī samā tasyāgnir upadraṣṭarcas te mahimā / pṛthivī te pātraṃ dyaur apidhānaṃ brahmaṇas tvā mukhe juhomi brāhmaṇānāṃ tvā prāṇāpānayor juhomy akṣitam asi maiṣāṃ kṣeṣṭhā amutrāmuṣmin loke antarikṣaṃ samaṃ tasya vāyur upadraṣṭā sāmāni te mahimā / pṛthivī te pātraṃ dyaur apidhānaṃ brahmaṇas tvā mukhe juhomi brāhmaṇānāṃ tvā prāṇāpānayor juhomy akṣitam asi maiṣāṃ kṣeṣṭhā amutrāmuṣmin loke dyauḥ samā tasyāditya upadraṣṭā yajūṃṣi te mahimeti
2.14.2	brāhmaṇān annena pariviṣya pradiṣṭam udapātraṃ cādāya dakṣiṇapūrvam avāntaradeśaṃ gatvā pradiṣṭam udapātreṇopapravartayati parāyāta pitaraḥ somyā gambhīraiḥ pathibhiḥ pūrvyaiḥ / atha māsi punar āyāta no gṛhān havir attuṃ suprajasaḥ suvīrā iti sarvataḥ samavadāya śeṣasya prāśnātīdam annaṃ pūryatāṃ cāpūryatāṃ ca tan naḥ saha devair amṛtam astu prāṇeṣu tvāmṛtaṃ juhomi svāheti
2.15.1	aṣṭakāṃ vyākhyāsyāmaḥ
2.15.2	upariṣṭān māghyāḥ prāk phālgunyā yo bahulas tasyāṣṭamī jyeṣṭhayā sampadyate
2.15.3	tām ekāṣṭakety ācakṣate
2.15.4	tasyāṃ saṃbhārān upakalpayate
2.15.5	gāṃ praśasyāṣṭakāpūpaṃ catuḥśarāvaṃ tūṣṇīṃ nirvapati
2.15.6	ṣaṭkapālo bhavaty ekakapālo vā
2.15.7	tasya dārvihomikaḥ saṃskāraḥ
2.15.8	tam aupāsane śrapayitvaupāsana eva juhoty ulūkhalā grāvāṇo ghoṣam akrata haviḥ kṛṇvantaḥ parivatsarīṇam / ekāṣṭake suprajā vīravanto vayaṃ syāmaḥ patayo rayīṇāṃ svadhā namaḥ pitṛbhyaḥ svāhā / ayaṃ catuḥśarāvo ghṛtavān apūpaḥ payasvān agne rayimān puṣṭimāṃś ca / pratigṛhṇantu pitaraḥ saṃvidānāḥ sviṣṭaḥ suhuto 'yaṃ mamāstu svadhā namaḥ pitṛbhyaḥ svāhā / vahāpūpaṃ jātavedaḥ pitṛbhyo yatrainān vettha nihitān parāke / apūpakulyā upa tān kṣarantu satyā eṣām āśiṣaḥ santu kāmaiḥ svadhā namaḥ pitṛbhyaḥ svāheti
2.15.9	purastāt sviṣṭakṛta etā āhutīr juhoti pūrṇā paścāt tvam agne ayāsi prajāpata iti tisraḥ
2.15.10	tataḥ sauviṣṭakṛtaṃ juhoty agnaye kavyavāhanāya sviṣṭakṛte svadhā namaḥ pitṛbhyaḥ svāheti
2.16.1	śvo bhūte pitṛbhyo gām ālabhate
2.16.2	agnimupasamādhāya yathā purastādājyena prāyaścittaṃ hutvaikena barhiṣaikaśūlayā ca vapāśrapaṇyopākaroti
2.16.3	pitṛbhyas tvā juṣṭām upākaromītīmāṃ pitṛbhyo gāmupākaroti
2.16.4	ūrjasvatīṃ payasvatīṃ tāṃ me juṣantāṃ pitaraḥ sametāḥ / medasvatī ghṛtavatī svadhāvatī sā me pitṝn sāṃparāyai dhinotv ity upākaraṇīyāṃ hutvā pitṛbhyas tvā juṣṭāṃ prokṣāmīti prokṣitāṃ paryagnikṛtāṃ pratyakśirasaṃ dakṣiṇāpadīṃ saṃjñapayanti
2.16.5	saṃjñaptāyā adbhiḥ prāṇānāpyāyya tūṣṇīmeva vapām uddhṛtya hṛdayam uddharati prajñāte ca matasne / audumbaryāṃ vapāśrapaṇyāṃ vapāṃ śrapayitvaudumbareṣu śūleṣu pṛthag itarāṇi śrapayitvaudumbaryā darvyopastīrṇābhighāritāṃ vapāṃ juhoti vaha vapāṃ jātavedaḥ pitṛbhyo yatrainānvettha nihitān parāke / medasaḥ kulyā upa tān kṣarantu satyā eṣāmāśiṣaḥ santu kāmaiḥ svadhā namaḥ pitṛbhyaḥ svāheti
2.17.1	upasthite 'nne odanasya māṃsānām iti samavadāya sarpirmiśrasya juhoty ekāṣṭakāṃ paśyata dohamānāmannaṃ māṃsavad ghṛtavat svadhāvat / tad brāhmaṇair atipūtam anantam akṣayyaṃ me astu svadhā namaḥ pitṛbhyaḥ svāhā / ekāṣṭakā tapasā tapyamānā saṃvatsarasya patnī duduhe prapīnā / tāṃ doham upajīvātha pitaraḥ sahasradhā mucyamānāṃ purastāt svadhā namaḥ pitṛbhyaḥ svāhā / vahānnaṃ jātavedaḥ pitṛbhyo yatrainānvettha nihitān parāke / annasya kulyā upa tān kṣarantu satyā eṣām āśiṣaḥ santu kāmaiḥ svadhā namaḥ pitṛbhyaḥ svāheti
2.17.2	purastāt sviṣṭakṛta etān upahomān juhotīyameva sā yā prathamā vyaucchadekāṣṭakā tapasā tapyamānā yā prathamā vyaucchatsaṃvatsarasya pratimāṃ prajāpata iti pañca
2.17.3	tataḥ sauviṣṭakṛtaṃ juhotyagnaye kavyavāhanāya sviṣṭakṛte svadhā namaḥ pitṛbhyaḥ svāheti
2.17.4	śvo bhūte pitṛbhyo māṃsaśeṣeṇa māsiśrāddhasyāvṛtā śrāddhaṃ karoti
2.18.1	vedam adhītya snāsyann upakalpayate pālāśīṃ samidham udapātraṃ cairakāṃ copabarhaṇaṃ ca snānīyapiṇḍaṃ ca sārvasurabhipiṣṭaṃ candanaṃ ca sūtraṃ sopadhānaṃ maṇiṃ sapāśaṃ bādaraṃ maṇim uttarāsaṅgaṃ ca sāntaram ahate ca pravartau ca srajaṃ cāñjanaṃ cādarśopānahau daṇḍaṃ ca chatraṃ ca
2.18.2	atha nakṣatrāṇi tiṣya uttare phalgunī hastaścitrā svāti viśākhe iti
2.18.3	eteṣām ekasmin purodayādādityasya vrajaṃ prapadyate
2.18.4	etad ahaḥ snātānāṃ ha vā eṣa etat tejasā tapati
2.18.5	tasmād enam etad ahar nābhitapet
2.18.6	antarlomnā carmaṇā dvāram apidhāya pūrvārdhe vrajasyāgnim upasamādhāya madhyaṃdine pālāśīṃ samidham ādadhāti / imaṃ stomam arhate jātavedase ratham iva saṃmahemā manīṣayā / bhadrā hi naḥ pramatir asya saṃsady agne sakhye mā riṣāmā vayaṃ tava svāheti
2.18.7	tata etān saṃbhārān sakṛd eva sarvān āhṛtya tān uttarato 'gner nidhāyāpareṇāgnim uttarataḥ pariṣevanām erakām āstīrya tasyām udakśirā nipadyate
2.19.1	dakṣiṇato nāpita upaviśati / tasya kṣuram abhimantrayate / śivo nāmāsi svadhitis te pitā / namas te astu mā mā hiṃsīriti
2.19.2	adbhir udyamānam abhimantrayate śivā me bhavatha saṃspṛśa iti
2.19.3	kṣuram abhinidhīyamānam abhimantrayate / yad ṛṣīṇāṃ tryāyuṣaṃ jamadagneḥ kaśyapasya tryāyuṣam / yad devānāṃ tryāyuṣaṃ tan me astu tryāyuṣam iti
2.19.4	vapantaṃ yat kṣureṇa marcayatā supeśasā vaptrā vapasi varcasā mukhaṃ mā na āyuḥ pramoṣīr iti
2.19.5	śmaśrūṇi vāpayitvopapakṣau nivāpayate 'tha keśān yathopapādam aṅgāny evam evāta ūrdhvaṃ vāpayate
2.19.6	paścārdhe vrajasyopaviśya mekhalāṃ visrasya parikarmaṇe prayacchatīmāṃ hṛtvā stamba upagūheti
2.19.7	tāṃ sa hṛtvā stamba upagūhatīdam aham amuṣyāmuṣyāyaṇasya dviṣantaṃ bhrātṛvyam upagūhāmy uttaro 'sau dviṣadbhya iti
2.19.8	tata āpa upaśerata uṣṇāś ca śītāś ca
2.19.9	śītāsūṣṇā ānayati daivamānuṣasya vyāvṛtyā iti vijñāyate
2.19.10	saṃsṛṣṭābhir adbhir abhiṣiñcaty āpo hi ṣṭhā mayobhuva iti tisṛbhir hiraṇyavarṇāḥ śucayaḥ pāvakā iti catasṛbhiḥ pavamānaḥ suvarjana ityetenānuvākena
2.19.11	snānīyena pratāpya
2.20.1	dantān prakṣālayate / annādyāya vyūhadhvaṃ somo rājedam āgamat / sa mā praviśatv annādyena bhagena ca dīrghāyur aham annādo bhūyāsam iti
2.20.2	sārvasurabhiṇā pralepsyamānaḥ prokṣati namaḥ śākajañjabhābhyāṃ namas tābhyo devatābhyo yā abhigrāhiṇīr iti
2.20.3	athānulimpet / yad varco apsarāsu ca gandharveṣu ca yad yaśaḥ / divyo yo mānuṣo gandhaś ca sa māviśatād iheti
2.20.4	samunnīya candanenānulepsyamāna evaṃ prokṣaty evam anulimpet
2.20.5	athāhatam antaraṃ paridhatta āyurasīti jarāmaśīyety uttaram
2.20.6	yajñopavītaṃ kṛtvāpa ācamya jayābhyātānān rāṣṭrabhṛta iti hutvaitā āhutīr juhoti / dīkṣā tapo manaso mātariśvā bṛhaspatir vāco asyāḥ sa yoniḥ / vedāṃsi vidyā mayi santu cāravo 'gniṣomā yaśo asmāsu dhattam / agnir yena virājati somo yena virājati sūryo yena virājati virāḍ yena virājati tenāhaṃ viśvataḥ parivirājyāsam ihaikavṛt svāheti
2.21.1	apareṇāgniṃ prāṅmukha upaviśya sopadhānaṃ maṇiṃ pravayati sapāśaṃ bādaraṃ maṇim
2.21.2	udapātre 'vadhāya pradakṣiṇaṃ paryāplāvayatīyam oṣadhe trāyamāṇā sahamānā sahasvatī sā mā hiraṇyavarcasaṃ brahmavarcasinaṃ mā karotv ity uddhṛtyākṣṇayaiva paryāhṛtya pratimuñcate 'pāśo 'sīti
2.21.3	urasi sthāpayaty uro me mā saṃśārīḥ śivo mopaśeṣva mahyaṃ dīrghāyutvāya śataśāradāyeti hastena bādaraṃ maṇim ūrg asīti
2.21.4	arkī maṇir brāhmaṇasya pulako vaiśyasya rājño gardabhasugrīvaḥ / arkī maṇir brāhmaṇasya vaiśyasya pulako maṇiḥ / rājño gardabhasugrīvo yasya kasya kapitthaka iti maṇidhāraṇe gāthā bhavati
2.21.5	nidhāyāhatam antaraṃ paridhatta āyuṣe tveti
2.21.6	jarām aśīyety uttaram ahatasya daśāyāṃ pravartau prabadhya darvyām ādhāyājyasyopaghātaṃ juhoty āyuṣyaṃ varcasyaṃ suvīryaṃ rāyaspoṣam audbhidyam idaṃ hiraṇyam āyuṣe varcase jaitriyāyāviśatān māṃ svāhā / uccair vāji pṛtanājit satrāsāhaṃ dhanaṃjayam / sarvāḥ samṛddhīr ṛddhayo hiraṇye 'smin samāhitāḥ svāhā / śunamaḍaṃ hiraṇyasya pitur iva nāmāgrabhaiṣam / taṃ mā hiraṇyavarcasaṃ puruṣu priyaṃ kuru svāhā / priyaṃ mā deveṣu kuru priyaṃ mā brāhmaṇe kuru / priyaṃ viśveṣu śūdreṣu priyaṃ rājasu mā kuru svāhā / saṃrājaṃ ca svarājaṃ cābhiṣṭīryā ca no gṛhe / lakṣmī rāṣṭrasya yā mukhe tayā mā saṃsṛjāmasi svāheti
2.22.1	uddhṛtya prakṣālya dakṣiṇam evāgre pratimuñcata āyuṣyaṃ varcasyam iti
2.22.2	etad eva maṇikuṇḍalabandhane vidyāt
2.22.3	atha srajaṃ pratimuñcate / śubhike śira āroha śobhayantī mukhaṃ mama / mukhaṃ hi mama śobhaya bhūyāṃsaṃ ca bhagaṃ kuru / yām āharaj jamadagniḥ śraddhāyai kāmāyānyai / imāṃ tāṃ pratimuñce 'haṃ bhagena saha varcaseti
2.22.4	athāṅkte yadāñjanaṃ traikakudaṃ jātaṃ himavata upari mayi parvatavarcasam iti
2.22.5	ādarśam avekṣate / yan me varcaḥ parāpatitam ātmānaṃ paripaśyataḥ / idaṃ tat punar ādade bhagena saha varcaseti
2.22.6	vāgyata āsta ā nakṣatrāṇām udayāt
2.22.7	uditeṣu nakṣatreṣūpānahāv upamuñcate dyaur asīti dakṣiṇāṃ pṛthivyasīty uttarām
2.22.8	upamucyābhimantrayate pratiṣṭhe stho devate mā mā saṃtāptam iti
2.22.9	daṇḍam ādatte loke vedāyāsmi dviṣato vadhāya sapatnāñchvāpadān sarīsṛpān hastinaś ceti
2.22.10	chatram ādatte prajāpateḥ śaraṇam asi brahmaṇaḥ chadir iti
2.22.11	upaniṣkramya diśo 'nuvīkṣate devīḥ ṣaḍ urvīr uru naḥ kṛṇoteti
2.22.12	candramasam udīkṣate mā radhāma dviṣate soma rājann iti
2.22.13	yatrāsya rātir bhavati tena sambhāṣya yathārtham etīty ekam
2.22.14	athaitad aparam / tūṣṇīm eva tīrthe snātvodetya tūṣṇīṃ pālāśīṃ samidham ādadhāti
2.22.15	saṃvatsaraṃ na maithunaṃ carati dvādaśarātraṃ trirātraṃ vā sarvā sthitayaḥ
2.23.1	athārghyaṃ jihīrṣann arghyaṃ vedayate jihīrṣāmeti
2.23.2	kurutety āha
2.23.3	kaṃse dadhy ānīya madhv ānayati
2.23.4	hrasīyasy ānīya varṣīyasāpidadhāti
2.23.5	pūrvaḥ kūrcena pratipadyate
2.23.6	anvaṅ pādyenānvaṅṅ arghyeṇānvaṅṅ ācamanīyenānvaṅ madhuparkeṇānusaṃvrajati
2.23.7	athāsmā āsanam iti vedayate
2.23.8	tat pratimantrayate rāṣṭrabhṛd asy ācāryāsandī mā tvad yoṣam iti rājā brāhmaṇo vā
2.23.9	rāṣṭrabhṛd asy adhipatyāsandī mā tvad yoṣam iti grāmaṇīḥ senānīr vā
2.23.10	athāsmai pādyam iti vedayate
2.23.11	tat pratimantrayate / āpaḥ pādāvanejanīr dviṣantaṃ nāśayantu me / asmin kule brahmavarcasy asāni mayi maho mayi yaśo mayīndriyaṃ vīryam / ā mā gan yaśasā varcasā saṃsṛja payasā tejasā ca taṃ mā priyaṃ prajānāṃ kurv adhipatiṃ paśūnām iti
2.23.12	savyaṃ pādaṃ pratigṛhya dakṣiṇaṃ pratigṛhṇīyād dakṣiṇaṃ rājā grāmaṇīḥ senānīr vā
2.24.1	athāsmā arghyamiti vedayate
2.24.2	tad etenaiva pratimantrya virājo doho 'si virājo doham aśīya mayi dohaḥ padyāyai virāja iti pratigṛhya ninayati / samudraṃ vaḥ prahiṇomi svāṃ yonim apigacchata / acchidraḥ prajayā bhūyāsaṃ mā parāseci mat paya iti
2.24.3	athāsmā ācamanīyam iti vedayate
2.24.4	ācāmaty amṛtopastaraṇam asīti
2.24.5	ācāntodakāyāthāsmai madhuparka iti vedayate
2.24.6	tat pratimantrayate yan madhuno madhavyaṃ paramam annādyaṃ rūpaṃ tenāhaṃ madhuno madhavyena parameṇānnādyena rūpeṇa paramo 'nnādo madhavyo bhūyāsam iti
2.24.7	pratigṛhya prāśnāti trayyai vidyāyai yaśo 'si yaśaso yaśo 'si brahmaṇo dīptir asi taṃ mā priyaṃ prajānāṃ kurv adhipatiṃ paśūnām iti
2.24.8	bhūr bhuvaḥ suvar iti trir ācamyātha rātaye prayacchati svayaṃ vā sarvaṃ prāśnāti
2.24.9	athāsmā ācamanīyam iti vedayate
2.24.10	ācāmaty amṛtāpidhānam asīti
2.24.11	ācāntodakāyāthāsmai gaur iti vedayate
2.24.12	tāṃ pratimantrayate gaur asy apahatapāpmāpa pāpmānaṃ jahi pāpmānaṃ mama cāmuṣya ca jahi dviṣantaṃ hanīthā mama dviṣaṃ kuruteti
2.25.1	athāsmā annaṃ saṃskṛtya bhūtam iti vedayate
2.25.2	tata āha brāhmaṇāṃś caturo nānāgotrān bhojayateti
2.25.3	teṣu bhuktavatsv annam āharanti
2.25.4	tad etenaiva pratimantrya pratigṛhya pratyavaruhya prāśnāti yathā madhuparkam
2.25.5	pratyavaruhyaivāta ūrdhvam annāni prāśnīyād ity ekam
2.25.6	athaitad aparam arghyeṣv evaiṣa niyamaḥ syād yathākāmītareṣu
2.25.7	atha yadi gām utsṛjet tām abhimantrayate / gaur dhenubhavyā mātā rudrāṇāṃ duhitā vasūnāṃ svasādityānām amṛtasya nābhiḥ / pra ṇu vocaṃ cikituṣe janāya mā gām aditiṃ vadhiṣṭa / pibatūdakaṃ tṛṇāny attu / om utsṛjateti
2.25.8	atha somapravākāya
2.25.9	yatrāsmai somaṃ prāha tad yajñopavītaṃ kṛtvāpa ācamya prāṅ vodaṅ vā tiṣṭhañjapaty āsīno vā bhūr bhuvaḥ suvar āyur me prāvoco varco me prāvoco yaśo me prāvocaḥ śriyaṃ me prāvoca āyuṣmān ahaṃ varcasvī yaśasvī śrīmān apacitimān bhūyāsaṃ bhūr bhuvaḥ suvaḥ sarvaṃ bhūyāsam ity uktvā prati vācaṣ ṭe prati vāṃ jānītaḥ
2.25.10	etenaiva bhūtapravākāyoṃ tan mā kṣāyītyantena
2.26.1	athāsmā annaṃ sanimitvābhimantrayate / annam iva te dṛśe bhūyāsaṃ vittam iva te dṛśe bhūyāsaṃ śrīr asy arvācy āviśāsmān saṃsravantu diśo mahīḥ samāgacchantu sūnṛtāḥ / sarve kāmā abhiyantu mā priyā abhirakṣantu mā priyāḥ / yaśo 'si yaśo 'haṃ tvayi bhūyāsam asāv ity abhimantryārthaṃ bruvate
2.26.2	vyavajihīrṣamāṇaḥ paṇyasyāvadāya juhoti / yad ahaṃ dhanena prapaṇaṃ carāmi dhanena devā dhanam icchamānaḥ / tasmin somo rucam ādadhātv agnir īśāna indro bṛhaspatiś ca svāheti
2.26.3	atha saṃvādajayanaṃ saṃvādam eṣyann āttachatraḥ savyena hastena chatraṃ samāvṛtya dakṣiṇena phalīkaraṇamuṣṭiṃ juhoti / avajihvaka nijihvakāva tvā haviṣā yaje / tat satyaṃ yad ahaṃ vadāmy adharo mad asau vadāt svāheti
2.26.4	yena saṃvadate tam abhimantrayate / ā te vācam āsyāṃ dada ā manasyāṃ hṛdayād adhi / aṅgād aṅgāt te vācam ādade yatra yatra te vāṅ nihitā tāṃ ta ādade / tat satyaṃ yad ahaṃ vadāmy adharo mat padyasvāsāv iti
2.27.1	yady asmai subhṛtyāḥ pravrajeyur agnim upasamādhāyeṇḍvāni juhuyāt / anu po 'hvad anuhvayo nivṛtto vo nyavīvṛtat / aindraḥ parikrośo vaḥ parikrośatu sarvataḥ / yadi mām atimanyadhvam adevā devavattaram / indraḥ pāśena sitvā vo mahyam it punar ānayād iti vaded vā
2.27.2	khādiraṃ śaṅkuṃ nihatya nīlalohitābhyāṃ sūtrābhyām apasavyais triḥ pariveṣṭayed āvartana vartayeti
2.27.3	api vai yadi dūragā bhavantīha haiva vartante
2.27.4	yaṃ kāmayeta nāyaṃ mat padyeteti dakṣiṇe pāṇāv abhipadyeta / yasmin bhūtaṃ ca bhavyaṃ ca viśve devāḥ samāhitāḥ / tena gṛhṇāmi tvām ahaṃ mahyaṃ gṛhṇāmi tvām ahaṃ brahmaṇe tvā gṛhṇāmīti
2.27.5	na haivāsmāt padyate yaṃ kāmayeta nāyaṃ macchidyeteti
2.27.6	amāvāsyāṃ rātriṃ suptaṃ jīvaviṣāṇe svaṃ mūtram ānīyāpasavyais triḥ pariṣiñcan parīyāt / pari tvā girer amihaṃ pari bhrātuḥ pari ṣvasuḥ / pari sarvebhyo jñātibhyaḥ pariṣītaḥ kveṣyasi / śaśvat parikupitena saṃkrāmeṇāvachidā / ulena parimīḍho 'si parimīḍho 'sy uleneti
2.27.7	na haivāsmāt padyate
2.27.8	dīrghasattram āsiṣyamāṇaḥ
2.28.1	pravāsam eṣyan bhāryāyāḥ paridāṃ karoti
2.28.2	sthūlāḍhārikā jīvacūrṇāni kārayitvāmāvāsyāyāṃ rātryāṃ suptāyām upasthaṃ prativapati somāvāsya parigham anyebhyaḥ puruṣebhyo 'nyatra mad iti
2.28.3	yady asyāṃ bahutayāpīcchanti na haiva sidhyanti
2.28.4	yadi kāmayeta sidhyeyur iti babhrumūtreṇa prakṣālayasvety enāṃ brūyāt
2.28.5	pravāsam eṣyann āmantrayata idaṃ vatsyāmaḥ prāṇa āyuṣi vatsyāma iti
2.28.6	athainam abhimantrayate / ā mandrair indra haribhir yāhi mayūraromabhiḥ / mā tvā ke cin nyemur in na pāśinaḥ / dadhanveva tā ihi / prāṇa āyuṣi vasāsau pṛthivyām agnau pratitiṣṭha vāyāv antarikṣe sūrye divi yāṃ svastim agnir vāyuḥ sūryaś candramā āpo 'nusaṃcaranti tāṃ svastim anusaṃcarāsau / pracyavasva bhuvaspata iti pratipadya śyeno bhūtvā parāpatetyantena
2.28.7	yaṃ kāmayeta svasty ayaṃ punar āgacched iti tam etena tryṛcenānvīkṣeta mahi trīṇām avo 'stv iti
2.28.8	ihaiva punar āgacchati
2.28.9	yaṃ kāmayeta nāyaṃ punar āgacched iti tam anvīkṣeta sākaṃ yakṣma prapatety etayāthainam abhimantrayate / paramāṃ tvā parāvatam indro nayatu vṛtrahā / yato na punar āyasi śāśvatībhyaḥ samābhya iti
2.28.10	na haiva punar āgacchati
2.29.1	atha rathārohaṇam
2.29.2	yadi rathaṃ labhata āpūryamāṇapakṣe puṇye nakṣatre yojayitvāsthāsyan pakṣasī abhimṛśati bṛhad asīti dakṣiṇaṃ rathaṃtaram asīty uttaraṃ vāmadevyam asīti madhyamam
2.29.3	aśvam āsthāya cakre saṃmārṣṭy aṅkau nyaṅkāv abhita ity anuvākaśeṣeṇa
2.29.4	yadi śamaratho bhavati tad yajñopavītaṃ kṛtvāpa ācamya bhūmim abhimṛśatīha dhṛtir iha svadhṛtir iha rantir iha ramatir iti
2.29.5	atha hastyārohaṇam
2.29.6	yadi hastinaṃ labhata āpūryamāṇapakṣe puṇye nakṣatre kalpayitvābhyupaviśatīdam aham amum āmuṣyāyaṇam indrasya vajreṇābhiviśāmy uttaro 'haṃ dviṣadbhya iti
2.29.7	athainam abhikrāmayati vaha kāla vaha śriyaṃ mābhivaheti
2.29.8	samānaṃ śamarathena
2.29.9	yady anupastīrṇe sthaṇḍila upaviśet tad anumantrayate namaḥ pṛthivīṣade rudrāya vāteṣave rudrāya namo rudrāya pṛthivīṣada iti
2.29.10	sarpasṛtau sṛjati namaḥ sarpasṛte rudrāya vāteṣave rudrāya namo rudrāya sarpasṛta iti
2.29.11	śakṛdrītau japati namaḥ śakṛtsade rudrāya vāteṣave rudrāya namo rudrāya śakṛtsada iti
2.29.12	yadi navāni gomayāny antarātikrāmed goṣṭham asīty uktvātikrāmet
2.30.1	yadi catuṣpathaṃ samayā vrajet tad anumantrayate namaḥ pṛthivīṣade rudrāya vāteṣave rudrāya namo rudrāya pṛthivīṣada iti
2.30.2	yadi śmaśānaṃ samayā vrajet tad anumantrayate namas tatsade rudrāya vāteṣave rudrāya namo rudrāya tatsada iti
2.30.3	nadīm udanvatīṃ dṛṣṭvā japati namo 'psuṣade rudrāya vāteṣave rudrāya namo rudrāyāpsuṣada iti
2.30.4	yady enaṃ saṃvartavāta āgacchet tad anumantrayate namo 'ntarikṣasade rudrāya vāteṣave rudrāya namo rudrāyāntarikṣasada iti
2.30.5	yady enaṃ sicopasṛjet tad anumantrayate sig asi na sig asi vajro namas te astu mā mā hiṃsīr iti
2.30.6	adbhir abhyukṣet
