#Text:Kauśikasūtra
#Edition:Bloomfield (DCS version)



1.1.1	atha vidhiṃ vakṣyāmaḥ
8.4.28	saṃpātavato 'bhimantryābhinigadya dadyād dātā vācyamānaḥ
8.4.29	etaṃ bhāgam etaṃ sadhasthā ulūkhala iti saṃsthitahomāḥ
8.4.30	āvapate
8.4.31	anumantraṇaṃ ca
8.5.1	āśānām iti catuḥśarāvam
8.5.2	yad rājāna ity avekṣati
8.5.3	padasnātasya pṛthakpādeṣvapūpān nidadhāti
8.5.4	nābhyāṃ pañcamam
8.5.5	unnahyan vasanena sahiraṇyaṃ saṃpātavantam
8.5.6	ā nayaitam ity aparājitād ajamānīyamānam anumantrayate
8.5.7	indrāya bhāgam iti agniṃ pariṇīyamānam
8.5.8	ye no dviṣantīti saṃjñapyamānam
8.5.9	pra pada iti padaḥ prakṣālayantam
8.5.10	anu chya śyāmeneti yathāparu viśantam
8.5.11	ṛcā kumbhīm ity adhiśrayantam
8.5.12	ā siñcety āsiñcantam
8.5.13	ava dhehīty avadadhatam
8.5.14	paryādhatteti paryādadhatam
8.5.15	śṛto gacchatv ity udvāsayantam
8.5.16	ut krāmāta iti paścād agner darbheṣūddharantam
8.5.17	uddhṛtam ajam anajmīty ājyenānakti
8.5.18	pañcaudanam iti mantroktam
8.5.19	odanān pṛthakpādeṣu nidadhāti
8.5.20	madhye pañcamam
8.5.21	dakṣiṇaṃ paścārdhaṃ yūpenopasicya
8.5.22	śṛtam ajam ity anubaddhaśiraḥpādaṃ tv etasya carma
8.5.23	ajo hīti sūktena saṃpātavantaṃ yathoktam
8.5.24	uttaro 'motaṃ tasyāgrataḥ sahiraṇyaṃ nidadhāti
8.5.25	pañca rukmeti mantroktam
8.5.26	dhenvādīnyuttarataḥ sopadhānam āstaraṇam vāso hiraṇyaṃ ca
8.5.27	ā nayaitam iti sūktena saṃpātavantam
8.5.28	āñjanāntaṃ śataudanāyāḥ pañcaudanena vyākhyātam
8.6.1	aghāyatām ity atra mukham apinahyamānam anumantrayate
8.6.2	sapatneṣu vajraṃ grāvā tvaiṣa iti nipatantam
8.6.3	vediṣ ṭa iti mantroktam āstṛṇāti
8.6.4	viṃśatyodanāsu śrayaṇīṣu śatam avadānāni vadhrīsaṃnaddhāni pṛthagodaneṣūpary ādadhati
8.6.5	madhyamāyāḥ prathame randhriṇy āmikṣāṃ daśame 'bhitaḥ sapta saptāpūpān pariśrayati
8.6.6	pañcadaśe puroḍāśau
8.6.7	agre hiraṇyam
8.6.8	apo devīr ity agrata udakumbhān
8.6.9	bālās ta iti sūktena saṃpātavatīm
8.6.10	pradakṣiṇam agnim anupariṇīyopaveśanaprakṣālanācamanam uktam
8.6.11	pāṇāv udakam ānīya
8.6.12	athāmuṣyaudanasyāvadānānāṃ ca madhyāt pūrvārdhācca dvir avadāyopariṣṭād udakenābhighārya juhoti somena pūto jaṭhare sīda brahmaṇām ārṣeyeṣu ni dadha odana tveti
8.6.13	atha prāśnāti
8.6.14	agneṣ ṭvāsyena prāśnāmi bṛhaspater mukhena / indrasya tvā jaṭhare sādayāmi varuṇasyodare / tad yathā hutam iṣṭaṃ prāśnīyād devātmā tvā prāśnāmy ātmāsy ātmann ātmānaṃ me mā hiṃsīr iti prāśitam anumantrayate
8.6.15	yo 'gnir nṛmaṇā nāma brāhmaṇeṣu praviṣṭaḥ / tasmin ma eṣa suhuto 'stv odanaḥ sa mā mā hiṃsīt parame vyoman / so asmabhyam astu parame vyomann iti dātāraṃ vācayati
8.6.16	vīkṣaṇāntam śataudanāyāḥ prātarjapena vyākhyātam
8.7.1	vāṅ ma āsann iti mantroktānyabhimantrayate
8.7.2	bṛhatā mano dyauś ca me punar maitv indriyam iti pratimantrayate
8.7.3	pratimantrite vyavadāyāśnanti
8.7.4	śataudanāyāṃ dvādaśaṃ śataṃ dakṣiṇāḥ
8.7.5	adhikaṃ dadataḥ kāmapraṃ sampadyate
8.7.6	brahmāsyety odane hradān pratidiśaṃ karoti
8.7.7	uparyāpānam
8.7.8	tadabhitaś catasro diśyāḥ kulyāḥ
8.7.9	tā rasaiḥ pūrayati
8.7.10	pṛthivyāṃ surayādbhir āṇḍīkādivanti mantroktāni pratidiśaṃ nidhāya
8.7.11	yam odanam ity atimṛtyum
8.7.12	anaḍvān ity anaḍvāham
8.7.13	sūryasya raśmīn iti karkīṃ sānūbandhyāṃ dadāti
8.7.14	āyaṃ gauḥ pṛśnir ayaṃ sahasram iti pṛśnim gām
8.7.15	devā imaṃ madhunā saṃyutaṃ yavaṃ iti paunaḥśilaṃ madhumantaṃ sahiraṇyaṃ saṃpātavantam
8.7.16	punantu mā devajanā iti pavitraṃ kṛśaram
8.7.17	kaḥ pṛśnim ity urvarām
8.7.18	sāhasra ity ṛṣabham
8.7.19	prajāpatiś cety anaḍvāham
8.7.20	namas te jāyamānāyai dadāmīti vaśām udapātreṇa saṃpātavatā samprokṣyābhimantryābhinigadya dadyād dātā vācyamānaḥ
8.7.21	bhūmiṣ ṭvety enāṃ pratigṛhṇāti
8.7.22	upamitām iti yacchālayā saha dāsyan bhavati tad antar bhavatyapihitam
8.7.23	mantroktaṃ tu praśastam
8.7.24	iṭasya te vi cṛtāmīti dvāram avasārayati
8.7.25	pratīcīṃ tvā pratīcīna ity udapātram agnim ādāya prapadyante
8.7.26	tad antar eva sūktena saṃpātavat karoti
8.7.27	udapātreṇa saṃpātavatā śālāṃ samprokṣyābhimantryābhinigadya dadyād dātā vācyamānaḥ
8.7.28	antarā dyāṃ ca pṛthivīṃ cety enāṃ pratigṛhṇāti
8.7.29	upamitām iti mantroktāni pracṛtati
8.7.30	mā naḥ pāśam ity abhimantrya dhārayati
8.7.31	nāsyāsthīnīti yathoktam
8.7.32	sarvam enaṃ samādāyety adbhiḥ pūrṇe garte pravidhya saṃvapati
8.7.33	śataudanāṃ ca
8.8.1	saṃbhṛteṣu sāvikeṣu saṃbhāreṣu brāhmaṇam ṛtvijaṃ vṛṇīta
8.8.2	ṛṣim ārṣeyaṃ sudhātudakṣiṇam anaimittikam
8.8.3	eṣa ha vā ṛṣir ārṣeyaḥ sudhātudakṣiṇo yasya tryavarārdhyāḥ pūrvapuruṣā vidyācaraṇavṛttaśīlasampannāḥ
8.8.4	udagayana ity eke
8.8.5	athāta odanasavānām upācārakalpaṃ vyākhyāsyāmaḥ
8.8.6	savān dattvāgnīn ādadhīta
8.8.7	sārvavaidika ity eke
8.8.8	sarve vedā dvikalpāḥ
8.8.9	māsaparārdhyā dīkṣā dvādaśarātro vā
8.8.10	trirātra ity eke
8.8.11	haviṣyabhakṣā syur brahmacāriṇaḥ
8.8.12	adhaḥ śayīran
8.8.13	kartṛdātārāv ā samāpanāt kāmaṃ na bhuñjīran saṃtatāś cet syuḥ
8.8.14	ahani samāptam ity eke
8.8.15	yātrārthaṃ dātārau vā dātā keśaśmaśruromanakhāni vāpayīta
8.8.16	keśavarjaṃ patnī
8.8.17	snātāvahatavasanau surabhiṇau vratavantau karmaṇyāv upavasataḥ
8.8.18	śvo bhūte yajñopavītī śāntyudakaṃ kṛtvā yajñavāstu ca samprokṣya brahmaudanikam agniṃ mathitvā
8.8.19	yad devā devaheḍanaṃ yad vidvāṃso yad avidvāṃso 'pamityam apratīttam ity etais tribhiḥ sūktair anvārabdhe dātari pūrṇahomaṃ juhuyāt
8.8.20	pūrvāhṇe bāhyataḥ śāntavṛkṣasyedhmaṃ prāñcam upasamādhāya
8.8.21	parisamuhya paryukṣya paristīrya barhir udapātram upasādya paricaraṇenājyaṃ paricarya
8.8.22	nityān purastāddhomān hutvājyabhāgau ca
8.8.23	paścād agneḥ palpūlitavihitam aukṣaṃ vānaḍuham vā rohitaṃ carma prāggrīvam uttaraloma paristīrya
8.8.24	pavitre kurute
8.8.25	darbhāv apracchinnaprāntau prakṣālyānulomam anumārṣṭi
8.8.26	dakṣiṇaṃ jānvācyāparājitābhimukhaḥ prahvo vā muṣṭinā prasṛtināñjalinā yasyāṃ śrapayiṣyan syāt tayā caturtham
8.8.27	śarāveṇa catuḥśarāvaṃ devasya tvā savituḥ prasava ṛṣibhyas tvārṣeyebhyas tvaikarṣaye tvā juṣṭaṃ nirvapāmi
8.9.1	vasavas tvā gāyatreṇa chandasā nirvapantu / ūrjam akṣitam akṣīyamāṇam upajīvyāsam iti dātāraṃ vācayati
8.9.2	rudrās tvā traiṣṭubhena chandasā / ādityās tvā jāgatena chandasā / viśve tvā devā ānuṣṭubhena chandasā nirvapantu / ūrjam akṣitam akṣīyamāṇam upajīvyāsam iti dātāraṃ vācayati
8.9.3	niruptaṃ sūktenābhimṛśati
8.9.4	svargabrahmaudanau tantram
8.9.5	saṃnipāte brahmaudanamitam udakam āsecayed dvibhāgam
8.9.6	yāvantas taṇḍulāḥ syur nāvasiñcen na pratiṣiñcet
8.9.7	yadyavasiñcen mayi varco atho yaśa iti brahmā yajamānaṃ vācayati
8.9.8	atha pratiṣiñcet
8.9.9	ā pyāyasva saṃ te payāṃsīti dvābhyāṃ pratiṣiñcet
8.9.10	ā pyāyasva sam etu te viśvataḥ soma vṛṣṇyam / bhavā vājasya saṃgathe / saṃ te payāṃsi sam u yantu vājāḥ saṃ vṛṣṇyāny abhimātiṣāhaḥ / āpyāyamāno amṛtāya soma divi śravāṃsy uttamāni dhiṣveti
8.9.11	tatra ced upādhimātrāyāṃ nakhena na lavaṇasya kuryāt tenaivāsya tad vṛthānnaṃ sampadyate
8.9.12	ahataṃ vāso dakṣiṇata upaśete
8.9.13	tat sahiraṇyam
8.9.14	tatra dve udapātre nihite bhavataḥ
8.9.15	dakṣiṇam anyad antaram anyat
8.9.16	antaraṃ yato 'dhicariṣyan bhavati
8.9.17	bāhyaṃ jāṅmāyanam
8.9.18	tata udakam ādāya pātryām ānayati
8.9.19	darvyā kumbhyām
8.9.20	darvikṛte tatraiva pratyānayati
8.9.21	darvyottamam apādāya tatsuhṛd dakṣiṇato 'gner udaṅmukha āsīno dhārayati
8.9.22	athoddharati
8.9.23	uddhṛte yad apādāya dhārayati tad uttarārdha ādhāya rasair upasicya pratigrahītre dātopavahati
8.9.24	tasminn anvārabdhaṃ dātāraṃ vācayati
8.9.25	tantraṃ sūktaṃ pacchaḥ snātena yau te pakṣau yad atiṣṭhaḥ
8.9.26	yau te pakṣāv ajarau patatriṇau yābhyāṃ rakṣāṃsy apahaṃsy odana / tābhyāṃ pathyāsma sukṛtasya lokaṃ yatra ṛṣayaḥ prathamajāḥ purāṇāḥ / yad atiṣṭho divas pṛṣṭhe vyomann adhy odana / anvāyan satyadharmāṇo brāhmaṇā rādhasā saha
8.9.27	kramadhvam agninā nākaṃ pṛṣṭhāt pṛthivyā aham antarikṣam āruhaṃ svar yanto nāpekṣanta uruḥ prathasva mahatā mahimnedaṃ me jyotiḥ satyāya ceti tisraḥ sam agnaya iti sārdham etayā
8.9.28	ata ūrdhvaṃ vācite hute saṃsthite 'mūṃ te dadāmīti nāmagrāham upaspṛśet
8.9.29	sadakṣiṇaṃ kāmas tad ity uktam
8.9.30	ye bhakṣayanta iti purastāddhomāḥ
8.9.31	agne tvaṃ no antama uta trātā śivo bhavā varūthyaḥ / taṃ tvā śociṣṭha dīdivaḥ sumnāya nūnam īmahe sakhibhyaḥ / gayasphāno amīvahā vasuvit puṣṭivardhanaḥ / sumitraḥ sumano bhavety ājyabhāgau
8.9.32	pāṇāv udakam ānīyety uktam
8.9.33	pratimantraṇāntam
8.9.34	pratimantrite vyavadāyāśnanti
8.9.35	idāvatsarāyeti vratavisarjanam ājyaṃ juhuyāt
8.9.36	samidho 'bhyādadhyāt
8.9.37	tatra ślokau / yajuṣā mathite agnau yajuṣopasamāhite / savān dattvā savāgnes tu katham utsarjanaṃ bhavet / vācayitvā savān sarvān pratigṛhya yathāvidhi / hutvā saṃnatibhis tatrotsargaṃ kauśiko 'bravīt
8.9.38	prāñco 'parājitāṃ vā diśam avabhṛthāya vrajanti
8.9.39	apāṃ sūktair āplutya pradakṣiṇam āvṛtyāpa upaspṛśyānavekṣamāṇāḥ pratyudāvrajanti
8.9.40	brāhmaṇān bhaktenopepsanti
8.9.41	yathoktā dakṣiṇā yathoktā dakṣiṇā
9.1.1	pitryam agniṃ śamayiṣyañ jyeṣṭhasya cāvibhaktina ekāgnim ādhāsyan
9.1.2	amāvāsyāyāṃ pūrvasminn upaśāle gāṃ dvihāyanīṃ rohiṇīm ekarūpāṃ bandhayati
9.1.3	niśi śāmūlaparihito jyeṣṭho 'nvālabhate
9.1.4	patny ahatavasanā jyeṣṭham
9.1.5	patnīm anvañca itare
9.1.6	athainān abhivyāhārayaty adhrigo śamīdhvam / suśami śamīdhvam / śamīdhvam adhrigā o u iti triḥ
9.1.7	ayam agniḥ satpatir naḍam ā rohety anuvākaṃ mahāśāntiṃ ca śāntyudaka āvapate
9.1.8	agne akravyād iti bhraṣṭrād dīpaṃ dhārayati
9.1.9	bhūmeś copadagdhaṃ samutkhāya
9.1.10	ākṛtiloṣṭavalmīkenāstīrya
9.1.11	śakṛtpiṇḍenābhilipya
9.1.12	sikatābhiḥ prakīryābhyukṣya
9.1.13	lakṣaṇaṃ kṛtvā
9.1.14	punar abhyukṣya
9.1.15	paścāl lakṣaṇasyābhimanthanaṃ nidhāya
9.1.16	go'śvājāvīnāṃ puṃsāṃ lomabhir āstīrya vrīhiyavaiś ca śakṛtpiṇḍam abhivimṛjya prāñcau darbhau nidadhāti
9.1.17	vṛṣaṇau stha ity abhiprāṇyāraṇyau
9.1.18	tayor uparyadharāraṇim
9.1.19	dakṣiṇato mūlān
9.1.20	paścāt prajananām urvaśy asīty āyur asīti
9.1.21	mūlata uttarāraṇim upasaṃdhāya
9.1.22	pṛtanājitam ity āhūya
9.1.23	abhidakṣiṇaṃ jyeṣṭhas trir abhimanthaty oṃ bhūr gāyatraṃ chando 'nuprajāyasva traiṣṭubhaṃ jāgatam ānuṣṭubham oṃ bhūr bhuvaḥ svar janad om iti
9.1.24	ata ūrdhvaṃ yathākāmam
9.2.1	manthāmi tvā jātavedaḥ sujātaṃ jātavedasam / sa no jīveṣv ā bhaja dīrgham āyuś ca dhehi naḥ / jāto 'janiṣṭhā yaśasā sahāgre prajāṃ paśūṃs tejo rayim asmāsu dhehi / ānandino modamānāḥ suvīrā anāmayāḥ sarvam āyur gamema / uddīpyasva jātavedo 'va sediṃ tṛṣṇāṃ kṣudhaṃ jahi / apāsmat tama ucchatv apa hrītamukho jahy apa durhārddiśo jahi / ihaivaidhi dhanasanir iha tvā samidhīmahi / ihaidhi puṣṭivardhana iha tvā samidhīmahīti
9.2.2	prathamayā manthati
9.2.3	dvitīyayā jātam anumantrayate
9.2.4	tṛtīyayoddīpayati
9.2.5	caturthyopasamādadhāti
9.2.6	yat tvā kruddhā iti coṃ bhūr bhuvaḥ svar janad om ity aṅgirasāṃ tvā devānām ādityānāṃ vratenādadhe / dyaur mahnāsi bhūmir bhūmnā tasyās te devy aditir upasthe 'nnādāyānnapatyāyādadhad iti
9.2.7	lakṣaṇe pratiṣṭhāpyopotthāya
9.2.8	athopatiṣṭhate
9.2.9	agne gṛhapate sugṛhapatir ahaṃ tvayāgne gṛhapatinā bhūyāsam / sugṛhapatis tvaṃ mayāgne gṛhapatinā bhūyāḥ / asthūri ṇau gārhapatyāni dīdihi śataṃ samā iti
9.2.10	vyākaromīti gārhapatyakravyādau samīkṣate
9.2.11	śāntam ājyaṃ gārhapatyāyopanidadhāti
9.2.12	māṣamanthaṃ kravyādam
9.2.13	upa tvā namaseti puronuvākyā
9.2.14	viśvahā ta iti pūrṇāhutiṃ juhoti
9.2.15	yo no agnir iti saha kartrā hṛdayānyabhimṛśante
9.3.1	aṃśo rājā vibhajatīmāv agnī vidhārayan / kravyādaṃ nirṇudāmasi havyavāḍ iha tiṣṭhatv iti vibhāgaṃ japati
9.3.2	sugārhapatya iti dakṣiṇena gārhapatye samidham ādadhāti
9.3.3	yaḥ kravyāt tam aśīśamam iti savyena naḍamayīṃ kravyādi
9.3.4	apāvṛtyeti mantroktaṃ bāhyato nidhāya
9.3.5	naḍam ā roha sam indhata iṣīkāṃ jaratīṃ pratyañcam arkam ity upasamādadhāti
9.3.6	yady agnir yo agnir aviḥ kṛṣṇā / mā no ruroḥ śucadvidaḥ śivo no astu bharato rarāṇaḥ / ativyādhī vyādho agrabhīṣṭa kravyādo agnīñ śamayāmi sarvān iti śuktyā māṣapiṣṭāni juhoti
9.3.7	sīsaṃ darvyām avadhāyodgrathya manthaṃ juhvañśamayet
9.3.8	naḍam ā roheti catasro 'gne akravyād imaṃ kravyād yo no aśveṣv anyebhyas tvā hiraṇyapāṇim iti śamayati
9.3.9	dakṣiṇato jaratkoṣṭhe śītaṃ bhasmābhiviharati
9.3.10	śāntyudakena suśāntaṃ kṛtvāvadagdhaṃ samutkhāya
9.3.11	paraṃ mṛtyo ity utthāpayati
9.3.12	kravyādam iti tisṛbhir hrīyamāṇam anumantrayate
9.3.13	dīpādy ābhinigadanāt pratiharaṇena vyākhyātam
9.3.14	aviḥ kṛṣṇeti nidadhāti
9.3.15	uttamavarjaṃ jyeṣṭhasyāñjalau sīsāni
9.3.16	asmin vayaṃ yad ripraṃ sīse mṛḍḍhvam ity abhyavanejayati
9.3.17	kṛṣṇorṇayā pāṇipādān nimṛjya
9.3.18	ime jīvā udīcīnair iti mantroktam
9.3.19	triḥ sapteti kūdyā padāni lopayitvā nadībhyaḥ
9.3.20	mṛtyoḥ padam iti dvitīyayā nāvaḥ
9.3.21	paraṃ mṛtyo iti prāgdakṣiṇam kūdīṃ pravidhya
9.3.22	sapta nadīrūpāṇi kārayitvodakena pūrayitvā
9.3.23	ā rohata savitur nāvam etāṃ sutrāmāṇaṃ mahīm ū ṣv iti sahiraṇyāṃ sayavāṃ nāvam ārohayati
9.3.24	aśmanvatī rīyata ut tiṣṭhatā pra taratā sakhāya ity udīcas tārayati
9.4.1	uttarato garta udakprasravaṇe 'śmānaṃ nidadhāty antaśchinnam
9.4.2	tiro mṛtyum ity aśmānam atikrāmati
9.4.3	tā adharād udīcīr ity anumantrayate
9.4.4	nissālām iti śālāniveśanaṃ samprokṣya
9.4.5	ūrjaṃ bibhrad iti prapādayati
9.4.6	vaiśvadevīm iti vatsatarīm ālambhayati
9.4.7	imam indram iti vṛṣam
9.4.8	anaḍvāham ahorātre iti talpam ālambhayati
9.4.9	ā rohatāyur ity ārohati
9.4.10	āsīnā ity āsīnām anumantrayate
9.4.11	piñjūlīr āñjanaṃ sarpiṣi paryasyemā nārīr iti strībhyaḥ prayacchati
9.4.12	ime jīvā avidhavāḥ sujāmaya iti puṃbhya ekaikasmai tisras tisras tā adhy adhy udadhānaṃ paricṛtya prayacchati
9.4.13	paraṃ mṛtyo vyākaromy ā rohatāntardhiḥ pratyañcam arkaṃ ye agnayo namo devavadhebhyo 'gne 'bhyāvartinn agne jātavedaḥ saha rayyā punar ūrjeti
9.4.14	agne 'bhyāvartinn abhi na ā vavṛtsva / āyuṣā varcasā sanyā medhayā prajayā dhanena / agne jātavedaḥ śataṃ te sahasraṃ ta upāvṛtaḥ / adhā puṣṭasyeśānaḥ punar no rayim ā kṛdhi / saha rayyā ni vartasvāgne pinvasva dhārayā / viśvapsnyā viśvatas pari / punar ūrjā vavṛtsva punar agna iṣāyuṣā / punar naḥ pāhy aṃhasaḥ
9.4.15	śarkarān svayamātṛṇṇāñ śaṇarajjubhyāṃ vibadhya dhārayati
9.4.16	samayā khena juhoti
9.4.17	imaṃ jīvebhya iti dvāre nidadhāti
9.4.18	juhotyetayarcā / āyurdāvā dhanadāvā baladāvā paśudāvā puṣṭidāvā prajāpataye svāheti
9.4.19	ṣaṭsaṃpātaṃ mātā putrān āśayate
9.4.20	ucchiṣṭaṃ jāyām
9.4.21	saṃvatsaram agniṃ nodvāyānna harennāhareyuḥ
9.4.22	dvādaśarātra ity eke
9.4.23	daśa dakṣiṇā
9.4.24	paścād agner vāgyataḥ saṃviśati
9.4.25	aparedyur agniṃ cendrāgnī ca yajeta
9.4.26	sthālīpākābhyām agniṃ cāgniṣomau ca paurṇamāsyām
9.4.27	sāyaṃ prātar vrīhīn āvaped yavān vāgnaye svāhā prajāpataye svāheti sāyam
9.4.28	sūryāya svāhā prajāpataye svāheti prātaḥ
9.4.29	dvādaśarātre 'gniṃ paśunā yajeta
9.4.30	sthālīpākena vobhayor viriṣyati
9.4.31	saṃvatsaratamyāṃ śāntyudakaṃ kṛtvā
9.4.32	ghṛtāhutir no bhavāgne akravyāhutir ghṛtāhutiṃ tvā vayam akravyāhutim upaniṣadema jātaveda iti catura udapātre saṃpātān ānīya
9.4.33	tān ullapya
9.4.34	purastād agneḥ pratyaṅ āsīno juhoti / hute rabhasva hutabhāga edhi mṛḍāsmabhyaṃ mota hiṃsīḥ paśūn na iti
9.4.35	yady udvāyād bhasmanāraṇiṃ saṃspṛśya tūṣṇīṃ mathitvoddīpya
9.4.36	pūrṇahomaṃ hutvā
9.4.37	saṃnatibhir ājyaṃ juhuyād vyāhṛtibhir vā
9.4.38	saṃsṛṣṭe caivaṃ juhuyāt
9.4.39	agnāvanugate jāyamāne
9.4.40	ānaḍuhena śakṛtpiṇḍenāgnyāyatanāni parilipya
9.4.41	homyam upasādya
9.4.42	prāṇāpānābhyāṃ svāhā samānavyānābhyāṃ svāhodānarūpābhyāṃ svāhety ātmany eva juhuyāt
9.4.43	atha prātar utthāyāgniṃ nirmathya yathāsthānaṃ praṇīya yathāpuram agnihotraṃ juhuyāt
9.4.44	sāyamāśaprātarāśau yajñāv ṛtvijau
9.5.1	purodayād astamayāc ca pāvakaṃ prabodhayed gṛhiṇī śuddhahastā / samatīte saṃdhivarṇe 'tha hāvayet susamiddhe pāvaka āhutīṣahiḥ
9.5.2	agnaye ca prajāpataye ca rātrāv ādityaś ca divā prajāpatiś ca / udakaṃ ca samidhaś ca home home puro varam
9.5.3	homyaiḥ samidbhiḥ payasā sthālīpākena sarpiṣā / sāyaṃ prātar homa eteṣām ekenāpi sidhyati
9.5.4	abhyuddhṛto huto 'gniḥ pramādād upaśāmyati / mathite vyāhṛtīr juhuyāt pūrṇahomau yathartvijau
9.5.5	vanaspatibhyo vānaspatyebhya oṣadhibhyo vīrudbhyaḥ sarvebhyo devebhyo devajanebhyaḥ puṇyajanebhya iti prācīnaṃ tad udakaṃ ninīyate
9.5.6	svadhā prapitāmahebhyaḥ svadhā pitāmahebhyaḥ svadhā pitṛbhya iti dakṣiṇataḥ
9.5.7	tārkṣyāyāriṣṭanemaye 'mṛtaṃ mahyam iti paścāt
9.5.8	somāya saptarṣibhya iti uttarataḥ
9.5.9	parimṛṣṭe parilipte ca parvaṇi vrātapataṃ hāvayed annam agnau / bhūyo dattvā svayam alpaṃ ca bhuktvāparāhṇe vratam upaiti yājñikam
9.5.10	anaśanaṃ brahmacaryaṃ ca bhūmau śucir agnim upaśete sugandhiḥ
9.5.11	agnīṣomābhyāṃ darśana indrāgnibhyām adarśane / āgneyaṃ tu pūrvaṃ nityam anvāhāryaṃ prajāpateḥ
9.5.12	ardhāhutis tu sauviṣṭakṛtī sarveṣāṃ haviṣāṃ smṛtā / ānumatī vā bhavati sthālīpākeṣv atharvaṇām
9.5.13	ubhau ca saṃdhijau yau vaiśvadevau yathartvijau / varjayitvā sabarhiṣaḥ sājyā yajñāḥ sadakṣiṇāḥ
9.5.14	yathāśakti yathābalaṃ hutādo 'nye ahutādo 'nye / vaiśvadevaṃ havir ubhaye saṃcaranti / te samyañca iha mādayantām iṣam ūrjaṃ yajamānā yam icchata
9.5.15	viśve devā idaṃ havir ādityāsaḥ saparyata / asmin yajñe mā vyathiṣy amṛtāya haviṣkṛtam
9.5.16	vaiśvadevasya haviṣaḥ sāyaṃ prātar juhoti / sāyamāśaprātarāśau yajñāv etau smṛtāv ubhau
9.5.17	apratibhuktau śucikāryau ca nityaṃ vaiśvadevau jānatā yajñaśreṣṭhau / nāśrotriyo nānavaniktapāṇir nāmantravij juhuyān nāvipaścit
9.5.18	bībhatsavaḥ śucikāmā hi devā nāśraddadhānasya havir juṣante / brāhmaṇena brahmavidā tu hāvayen na strīhutaṃ śūdrahutaṃ ca devagam
9.5.19	yas tu vidyād ājyabhāgau yajñān mantraparikramān / devatājñānam āvṛta āśiṣaś ca karma striyā apratiṣiddham āhuḥ
9.6.1	tayor baliharaṇam
9.6.2	agnaya indrāgnibhyāṃ vāstoṣpataye prajāpataye 'numataya iti hutvā
9.6.3	niṣkramya bahiḥ prācīnaṃ brahmaṇe vaiśravaṇāya viśvebhyo devebhyaḥ sarvebhyo devebhyo viśvebhyo bhūtebhyaḥ sarvebhyo bhūtebhya iti bahuśo baliṃ haret
9.6.4	dviḥ prokṣan pradakṣiṇam āvṛtyāntarupātītya dvāre
9.6.5	dvāryayor mṛtyave dharmādharmābhyām
9.6.6	udadhāne dhanvantaraye samudrāyauṣadhivanaspatibhyo dyāvāpṛthivībhyām iti
9.6.7	sthūṇāvaṃśayor digbhyo 'ntardeśebhya iti
9.6.8	sraktiṣu vāsukaye citrasenāya citrarathāya takṣopatakṣābhyām iti
9.6.9	samantam agner āśāyai śraddhāyai medhāyai śriyai hriyai vidyāyā iti
9.6.10	prācīnaṃ agneḥ gṛhyābhyo devajāmibhya iti
9.6.11	bhūyo 'bhyuddhṛtya brāhmaṇān bhojayet
9.6.12	tad api śloko vadati / mā brāhmaṇāgrataḥ kṛtam aśnīyād viṣavad annam annakāmyā / devānāṃ devo brāhmaṇo bhāvo nāmaiṣa devateti
9.6.13	āgrayaṇe śāntyudakaṃ kṛtvā yathartu taṇḍulān upasādya
9.6.14	apsu sthālīpākaṃ śrapayitvā payasi vā
9.6.15	sajūr ṛtubhiḥ sajūr vidhābhiḥ sajūr agnaye svāhā / sajūr indrāgnibhyāṃ sajūr dyāvāpṛthivībhyāṃ sajūr viśvebhyo devebhyaḥ sajūr ṛtubhiḥ sajūr vidhābhiḥ sajūḥ somāya svāhety ekahavir vā syān nānāhavīṃṣi vā
9.6.16	saumyaṃ tanvacchyāmākaṃ śaradi
9.6.17	atha yajamānaḥ prāśitraṃ gṛhṇīte
9.6.18	prajāpateṣ ṭvā grahaṃ gṛhṇāmi / mahyaṃ bhūtyai mahyaṃ puṣṭyai mahyaṃ śriyai mahyaṃ hriyai mahyaṃ yaśase mahyam āyuṣe mahyam annāya mahyam annādyāya mahyaṃ sahasrapoṣāya mahyam aparimitapoṣāyeti
9.6.19	atha prāśnāti / bhadrān naḥ śreyaḥ samanaiṣṭa devās tvayāvasena samaśīmahi tvā / sa naḥ pito madhumāṁ āviveśa śivas tokāya tanvo na ehīti
9.6.20	prāśitam anumantrayate / amo 'si prāṇa tad ṛtaṃ bravīmy amāsi sarvāṅ asi praviṣṭaḥ / sa me jarāṃ rogam apanudya śarīrād anāmayaidhi mā riṣāma indo iti
9.6.21	vatsaḥ prathamajo grīṣme vāsaḥ śaradi dakṣiṇā
9.6.22	śaktyā vā dakṣiṇāṃ dadyāt
9.6.23	nātiśaktir vidhīyate nātiśaktir vidhīyata iti
10.1.1	atha vivāhaḥ
10.1.2	ūrdhvaṃ kārttikyā ā vaiśākhyāḥ
10.1.3	yāthākāmī vā
10.1.4	citrāpakṣaṃ tu varjayet
10.1.5	maghāsu hanyante gāvaḥ phalgunīṣu vyuhyata iti vijñāyate maṅgalaṃ ca
10.1.6	satyenottabhitā pūrvāparam ity upadadhīta
10.1.7	pativedanaṃ ca
10.1.8	yuvaṃ bhagam iti saṃbhalaṃ sānucaraṃ prahiṇoti
10.1.9	brahmaṇaspata iti brahmāṇam
10.1.10	tad vivṛhācchaṅkamāno niśi kumārīkulād valīkānyādīpya
10.1.11	devā agra iti pañcabhiḥ sakṛt pūlyānyāvāpayati
