#Text:Kāṭhakāraṇyaka
#Edition:Witzel 2004 (DCS version)
#Notes:The original section name “2.5-7” was abbreviated to “2.5”, to keep the key format consistent.



2.1.1	yuñjate mana ity āhavanīye juhoti
3.4.300	pratyag upavapaty āhavanīyam
3.4.301	gūhati pātrāṇy api vā dvīpaṃ hareyuḥ
3.4.302	asau vā ādityo rudro mahāvīraḥ
3.4.303	tejasvī brahmavarcasī manuṣyeṣu bhavati
3.4.304	tad ahargaṇe pravṛñjyāt
3.4.305	... na pravargyasya ... brahmavarcasam avarunddhe vaiśvadeveṣu ... āhṇikaṃ varuṇapraghāseṣv āparāhṇikaṃ mahāhaviṣi paurvāhṇikaṃ śunāsīrya āparāhṇikam
3.4.306	etasminn eva prāg avabhṛthāt pātrāṇi saṃcinoti
3.4.307	dakṣiṇata upa hohaty āhavanīyam
3.4.308	pātrāṇi saṃcinoti
3.4.309	pratyag upavapaty āhavanīyam
3.4.310	gūhati pātrāṇy api vā dvīpaṃ hareyuḥ
3.4.311	asau vā ādityo rudro mahāvīro varcaḥ
3.4.312	brahmavarcasam avarunddhe
3.4.313	tad āhur anavaruddham vā asomayajino brahmavarcasam
3.4.314	sapravargyaṃ jyotiṣṭomaṃ kuryāt
3.4.315	sva eva yonau brahmavarcasaṃ dadhāti
3.4.316	brahmavarcasī bhavati
3.4.317	gāyaty udgātaitāni parisāmāni
3.4.318	pravargyasya vā etāni samṛddhyai gāyati
3.4.319	śārgam bhavati
3.4.320	tad ajyamāne gāyati
3.4.321	tejo vai śārgam
3.4.322	tejasaivainaṃ samardhayati
3.4.323	śukracandre bhavataḥ
3.4.324	te jātarūpayor gāyati
3.4.325	iyaṃ vai śukram asau candram
3.4.326	tābhyām evainaṃ samardhayati
3.4.327	gharmasya tanvau bhavataḥ
3.4.328	te abhīdhyamāne gāyati
3.4.329	svayaiva tanvainaṃ samardhayati
3.4.330	... vratapakṣau bhavataḥ
3.4.331	te adhihriyamāṇe gāyati
3.4.332	rakṣāṃsi vā etarhi sarvaṃ gharmaṃ ca mitoḥ
3.4.333	prāmado vajro vratapakṣau rakṣasām apahatyai
3.4.334	aśvinau vrate bhavataḥ
3.4.335	te hute gāyati
3.4.336	svadayati
3.4.337	upagāyanam evāsyaitat
3.4.338	atho ny evāsmai hnuvate
3.4.339	rājanarauhiṇe bhavataḥ
3.4.340	te puroḍāśayor gāyati
3.4.341	cakṣuṣī vā ete pravargyasya yat sūryācandramasau
3.4.342	cakṣuṣī rājanarauhiṇe
3.4.343	cakṣuṣor eva cakṣur dadhāti
3.4.344	āṅgirasam bhavati
3.4.345	tat parigharmya āropyamāṇe gāyati
3.4.346	aṅgiraso vā itas svargaṃ lokam āyan
3.4.347	ta etena sāmnordhvās svargaṃ lokam āyan
3.4.348	yad āṅgirasam bhavaty ārūḍhavat sa svargo lokas svargasya lokasya samaṣṭyai
3.4.349	tad āhur ṛṅmayo yajurmayas sāmamayo gharma iti yasyaiṣa pravṛjyamānaḥ pravargyaḥ
3.4.350	pravṛñjanti sarvam evainaṃ savīryaṃ sayoniṃ satanūm ṛddhyai
3.4.351	sa ṛddhiṃ yajamāna ārcchati
3.4.352	āyuṣā vā eṣa vīryeṇa ṛdhyate
3.4.353	yasya mahāvīro bhidyate ya ṛte cid abhiśriṣa iti karmaṇyayā mṛdā dṛḍhīkaraṇena vāśreṣavatābhiśriṣyet
3.4.354	... yasya mahāvīraḥ pravṛjyamānas skandet
3.4.355	prākāruko yajamānas syāt
3.4.356	askān dyauḥ pṛthivīm iti dvābhyāṃ juhuyād anabhihomāya
3.4.357	sarvam āyur eti
3.4.358	saiva tatra prāyaścittiḥ
3.4.359	apa vā etasya vaidyutaḥ pravargyaḥ krandate yasya mahāvīre pravṛjyamāne stanayati
3.4.360	sā śug yajamānam ṛcchati
3.4.361	yad akrando 'krandad agnir iti dvābhyāṃ juhuyāt
3.4.362	agnir vai krandaḥ
3.4.363	svenaivainam bhāgadheyena śamayati
3.4.364	sarvam āyur eti
3.4.365	saiva tatra prāyaścittiḥ
3.4.366	vajreṇa vā etasya pravargyo 'bhihanyate yasya mahāvīre pravṛjyamāne varṣati
3.4.367	sa pramāyuko yajamāno bhavati
3.4.368	parjanyāya pragāyatedaṃ vacaḥ parjanyāyeti dvābhyāṃ juhuyāt
3.4.369	āpo vai parjanyaḥ
3.4.370	svenaivainam bhāgadheyena śamayati
3.4.371	sarvam āyur eti
3.4.372	saiva tatra prāyaścittiḥ
3.4.373	tamo vā etasya yajñaṃ yuvate yasya mahāvīre pravṛjyamāne sūryo 'stam eti
3.4.374	sa ārtiṃ yajamāna ārcchati
3.4.375	ud u tyaṃ jātavedasaṃ citraṃ devānām udagād iti dvābhyāṃ juhuyāt
3.4.376	asau vā ādityo rudro mahāvīraḥ
3.4.377	svenaivainam bhāgadheyena śamayati
3.4.378	sarvam āyur eti
3.4.379	saiva tatra prāyaścittiḥ
3.4.380	... saiva tatra prāyaścittiḥ
3.4.381	rudro vā etasya paśūn abhimanyate yasya mahāvīre pravṛjyamāne gharmadhuṅ niṣīdati
3.4.382	... yasmād bhīṣā niṣīdasi tato no abhayaṃ kṛdhi abhayaṃ naḥ paśubhyo namo rudrāya mīḍhuṣa iti dvābhyāṃ juhuyāt
3.4.383	agnir vai rudraḥ
3.4.384	svenaivainam bhāgadheyena praśata śamayati
3.4.385	sarvam āyur eti
3.4.386	saiva tatra prāyaścittiḥ
3.4.387	mṛtyur vā etasya prajā abhimanyate yasya mahāvīre pravṛjyamāne vayāṃsi śvāpadāni vāpidhāvante
3.4.388	asṛṅmukhaḥ vi gā iveti dvābhyāṃ juhuyāt
3.4.389	mṛtyur vai yamaḥ
3.4.390	svenaivainam bhāgadheyena praśata śamayati
3.4.391	... ātmano 'hiṃsāyai
3.4.392	... pravargyeṇa pracariṣyan dīkṣitasya
3.4.393	... pravargyaṃ saṃbharati
3.4.394	ajine saṃbharati
3.4.395	agnir vā saṃbharati
3.4.396	śarkarābhir dhṛtyā armyaiḥ kapālaiḥ ... audumbarāsandī bhavati
3.4.397	ūrdhva udumbara ūrjaivaināṃ dādhāra
3.4.398	mauñjāvivānā bhavati
3.4.399	ūrg vai muñjāḥ / ūrjaivaināṃ dādhāra
3.4.400	prādeśamātrapādā bhavati
3.4.401	etāvaddhīme
3.4.402	vi prāṇāḥ
3.4.403	... ainān dādhāra
3.4.404	kṛṣṇājinam āstṛṇāti
3.4.405	kṛṣṇājinena pracchādayati
3.4.406	brahma vā etad rūpaṃ yat kṛṣṇājinam
3.4.407	brahmaṇaivaināṃ dādhāra
3.4.408	prāg udag gārhapatyāt kharaṃ karoti
3.4.409	udañcau parau kharau karoti
3.4.410	ayaṃ vai loko gārhapatyo 'sā āhavanīyaḥ
3.4.411	gārhapatye hutaṃ svargaṃ lokaṃ gamayati
3.4.412	... tad bahiṣṭāt ... dvārāṇy apidhāya pravargyeṇa pracarati
3.4.413	... pāpavasīyasasya vyāvṛtyai
3.4.414	... asau vā ādityo rudro mahāvīraḥ
