#Text:Śāṅkhāyanāraṇyaka
#Edition:DCS version



1.1.1	prajāpatir vai saṃvatsaraḥ
5.3.26	sa eṣa prāṇa eva prajñātmedaṃ śarīraṃ parigṛhyotthāpayati
5.3.27	tasmād etad evoktham upāsīteti
5.3.28	saiṣā prāṇe sarvāptiḥ
5.3.29	yo vai prāṇaḥ sā prajñā
5.3.30	yā vai prajñā sa prāṇaḥ
5.3.31	tasyaiṣaiva siddhiḥ
5.3.32	etad vijñānam
5.3.33	yatraitat puruṣa ārto mariṣyann ābalyam etya saṃmoham eti tam āhuḥ udakramīccittam
5.3.34	na śṛṇoti
5.3.35	na paśyati
5.3.36	na vācā vadati
5.3.37	na dhyāyati
5.3.38	athāsmin prāṇa evaikadhā bhavati
5.3.39	tad enaṃ vāk sarvair nāmabhiḥ sahāpyeti
5.3.40	cakṣuḥ sarvai rūpaiḥ sahāpyeti
5.3.41	śrotraṃ sarvaiḥ śabdaiḥ sahāpyeti
5.3.42	manaḥ sarvair dhyānaiḥ sahāpyeti
5.3.43	sa yadāsmāccharīrād utkrāmati sahaivaitaiḥ sarvair utkrāmati
5.4.1	vāg evāsmin sarvāṇi nāmānyabhivisṛjyante
5.4.2	vācā sarvāṇi nāmānyāpnoti
5.4.3	prāṇa evāsmin sarve gandhā abhivisṛjyante
5.4.4	prāṇena sarvān gandhān āpnoti
5.4.5	cakṣur evāsmin sarvāṇi rūpāṇyabhivisṛjyante
5.4.6	cakṣuṣā sarvāṇi rūpāṇyāpnoti
5.4.7	śrotram evāsmin sarve śabdā abhivisṛjyante
5.4.8	śrotreṇa sarvāñchabdān āpnoti
5.4.9	mana evāsmin sarvāṇi dhyātānyabhivisṛjyante
5.4.10	manasā sarvāṇi dhyātānyāpnoti
5.4.11	saha hyetāvasmiñcharīre vasataḥ sahotkrāmataḥ
5.4.12	atha yathāsmai prajñāyai sarvāṇi bhūtānyekaṃ bhavanti tad vyākhyāsyāmaḥ
5.5.1	vāg evāsyā ekam aṅgam udūḍham
5.5.2	tasyai nāma parastāt prativihitā bhūtamātrā
5.5.3	prāṇa evāsyā ekam aṅgam udūḍham
5.5.4	tasya gandhaḥ parastāt prativihitā bhūtamātrā
5.5.5	cakṣur evāsyā ekam aṅgam udūḍham
5.5.6	tasya rūpaṃ parastāt prativihitā bhūtamātrā
5.5.7	śrotram evāsyā ekam aṅgam udūḍham
5.5.8	tasya śabdaḥ parastāt prativihitā bhūtamātrā
5.5.9	jihvaivāsyā ekam aṅgam udūḍham
5.5.10	tasyā annarasaḥ parastāt prativihitā bhūtamātrā
5.5.11	hastāvevāsyā ekam aṅgam udūḍham
5.5.12	tayoḥ karma parastāt prativihitā bhūtamātrā
5.5.13	śarīramevāsyā ekam aṅgam udūḍham
5.5.14	tasya sukhaduḥkhe parastāt prativihitā bhūtamātrā
5.5.15	upastha evāsyā ekam aṅgam udūḍham
5.5.16	tasyānando ratiḥ prajātiḥ parastāt prativihitā bhūtamātrā
5.5.17	pādāvevāsyā ekam aṅgam udūḍham
5.5.18	tayor ityāḥ parastāt prativihitā bhūtamātrā
5.5.19	mana evāsyā ekam aṅgam udūḍham
5.5.20	tasya dhīḥ kāmāḥ parastāt prativihitā bhūtamātrā
5.6.1	prajñayā vācaṃ samāruhya vācā sarvāṇi nāmānyāpnoti
5.6.2	prajñayā prāṇaṃ samāruhya prāṇena sarvān gandhān āpnoti
5.6.3	prajñayā cakṣuḥ samāruhya cakṣuṣā sarvāṇi rūpāṇyāpnoti
5.6.4	prajñayā śrotraṃ samāruhya śrotreṇa sarvāñchabdān āpnoti
5.6.5	prajñayā jihvāṃ samāruhya jihvayā sarvān rasān āpnoti
5.6.6	prajñayā hastau samāruhya hastābhyāṃ sarvāṇi karmāṇyāpnoti
5.6.7	prajñayā śarīraṃ samāruhya śarīreṇa sukhaduḥkhe āpnoti
5.6.8	prajñayopasthaṃ samāruhyopasthenānandaṃ ratiṃ prajātim āpnoti
5.6.9	prajñayā pādau samāruhya pādābhyāṃ sarvā ityā āpnoti
5.6.10	prajñayā manaḥ samāruhya manasā sarvāṇi dhyātānyāpnoti
5.7.1	na hi prajñāpetā vāṅ nāma kiṃcana prajñāpayet
5.7.2	anyatra me mano 'bhūd ityāha
5.7.3	nāham etan nāma prājñāsiṣam iti
5.7.4	na hi prajñāpetaḥ prāṇo gandhaṃ kaṃcana prajñāpayet
5.7.5	anyatra me mano 'bhūd ityāha
5.7.6	nāham etaṃ gandhaṃ prājñāsiṣam iti
5.7.7	na hi prajñāpetaṃ cakṣū rūpaṃ kiṃcana prajñāpayet
5.7.8	anyatra me mano 'bhūd ityāha
5.7.9	nāham etad rūpaṃ prājñāsiṣam iti
5.7.10	na hi prajñāpetaṃ śrotraṃ śabdaṃ kaṃcana prajñāpayet
5.7.11	anyatra me mano 'bhūd ityāha
5.7.12	nāham etaṃ śabdaṃ prājñāsiṣam iti
5.7.13	na hi prajñāpetā jihvānnarasaṃ kaṃcana prajñāpayet
5.7.14	anyatra me mano 'bhūd ityāha
5.7.15	nāham etam annarasaṃ prājñāsiṣam iti
5.7.16	na hi prajñāpetau hastau karma kiṃcana prajñāpayetām
5.7.17	anyatra nau mano 'bhūd ityāhatuḥ
5.7.18	nāvām etat karma prājñāsiṣveti
5.7.19	na hi prajñāpetaṃ śarīraṃ na sukhaṃ na duḥkhaṃ kiṃcana prajñāpayet
5.7.20	anyatra me mano 'bhūd ityāha
5.7.21	nāham etaṃ na sukhaṃ na duḥkhaṃ prājñāsiṣam iti
5.7.22	na hi prajñāpeta upastha ānandaṃ na ratiṃ na prajātiṃ kāṃcana prajñāpayet
5.7.23	anyatra me mano 'bhūd ityāha
5.7.24	nāham etam ānandaṃ na ratiṃ prajātiṃ prājñāsiṣam iti
5.7.25	na hi prajñāpetau pādāv ityāṃ kāṃcana prajñāpayet
5.7.26	anyatra nau mano 'bhūd ityāha
5.7.27	nāvām etām ityāṃ prājñāsiṣveti
5.7.28	na hi prajñāpetā dhīḥ kāṃcana sidhyenna prajñātavyaṃ prajñāpayet
5.8.1	na vācaṃ vijijñāsīti
5.8.2	vaktāraṃ vidyāt
5.8.3	na gandhaṃ vijijñāsīti
5.8.4	ghrātāraṃ vidyāt
5.8.5	na rūpaṃ vijijñāsīti
5.8.6	draṣṭāraṃ vidyāt
5.8.7	na śabdaṃ vijijñāsīti
5.8.8	śrotāraṃ vidyāt
5.8.9	nānnarasaṃ vijijñāsīti
5.8.10	annarasasya vijñātāraṃ vidyāt
5.8.11	na karma vijijñāsīti
5.8.12	kartāraṃ vidyāt
5.8.13	na sukhaduḥkhe vijijñāsīti
5.8.14	sukhaduḥkhayor vistāraṃ vidyāt
5.8.15	nānandaṃ na ratiṃ na prajātiṃ vijijñāsīti
5.8.16	ānandasya rateḥ prajāter vijñātāraṃ vidyāt
5.8.17	netyāṃ vijijñāsīti
5.8.18	etāraṃ vidyāt
5.8.19	na mano vijijñāsīti
5.8.20	mantāraṃ vidyāt
5.8.21	tā vā etā daśaiva bhūtamātrā adhiprajñam
5.8.22	daśa prajñāmātrā adhibhūtam
5.8.23	yaddhi bhūtamātrā na syur na prajñāmātrāḥ syuḥ
5.8.24	yad vā prajñāmātrā na syur na bhūtamātrāḥ syuḥ
5.8.25	na hyanyatarato rūpaṃ kiṃcana sidhyet
5.8.26	no eta nānā
5.8.27	tad yathā rathasyāreṣu nemir arpitaḥ
5.8.28	nābhāvarā arpitāḥ
5.8.29	evam evaitā bhūtamātrāḥ prajñāmātrāsvarpitāḥ
5.8.30	prajñāmātrāḥ prāṇe 'rpitāḥ
5.8.31	sa eṣa prāṇa eva prajñātmānanto 'jaro 'mṛto na sādhunā karmaṇā bhūyān bhavati np evāsādhunā kanīyān
5.8.32	eṣa hyeva sādhu karma kārayati taṃ yam ebhyo lokebhya unninīṣate
5.8.33	eṣa u evāsādhu karma kārayati taṃ yam adho ninīṣate
5.8.34	eṣa lokapālaḥ
5.8.35	eṣa lokādhipatiḥ
5.8.36	eṣa lokeśaḥ
5.8.37	sa ma ātmeti vidyāt sa ma ātmeti vidyāt
6.1.1	atha gārgyo bālākir anūcānaḥ saṃspaṣṭa āsa
6.1.2	so 'vasad uśīnareṣu so 'vasan matsyeṣu kurupañcāleṣu kāśivideheṣviti
6.1.3	sa hājātaśatruṃ kāśyam āvrajyovāca brahma te bravāṇīti
6.1.4	taṃ hovācājātaśatruḥ sahasraṃ dadmi ta ityetasyāṃ vāci
6.1.5	janako janaka iti vā u janā dhāvantīti
6.2.1	āditye bṛhat candramasyannam vidyuti satyam stanayitnau śabdaḥ vāyāvindro vaikuṇṭhaḥ ākāśe pūrṇam agnau viṣāsahiḥ apsu tejaḥ
6.2.2	ityadhidaivatam
6.2.3	athādhyātmam ādarśe pratirūpaḥ chāyāyāṃ dvitīyaḥ pratiśrutkāyām asuriti śabde mṛtyuḥ svapne yamaḥ śarīre prajāpatiḥ dakṣiṇe 'kṣiṇi vācaḥ savye 'kṣiṇi satyasya
6.3.1	sa hovāca bālākiḥ ya evaiṣa āditye puruṣas tam evāham upāsa iti
6.3.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.3.3	bṛhan pāṇḍaravāsā atiṣṭhāḥ sarveṣāṃ bhūtānāṃ mūrdheti vā aham etam upāsa iti
6.3.4	sa yo haitam evam upāste 'tiṣṭhāḥ sarveṣāṃ bhūtānāṃ mūrdhā bhavati
6.4.1	sa hovāca bālākiḥ ya evaiṣa candramasi puruṣas tam evāham upāsa iti
6.4.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.4.3	annasyātmeti vā aham etam upāsa iti
6.4.4	sa yo haitam evam upāste 'nnasyātmā bhavati
6.5.1	sa hovāca bālākiḥ ya evaiṣa vidyuti puruṣas tam evāham upāsa iti
6.5.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.5.3	satyasyātmeti vā aham etam upāsa iti
6.5.4	sa yo haitam evam upāste satyasyātmā bhavati
6.6.1	sa hovāca bālākiḥ ya evaiṣa stanayitnau puruṣas tam evāham upāsa iti
6.6.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.6.3	śabdasyātmeti vā aham etam upāsa iti
6.6.4	sa yo haitam evam upāste śabdasyātmā bhavati
6.7.1	sa hovāca bālākiḥ ya evaiṣa vāyau puruṣas tam evāham upāsa iti
6.7.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.7.3	indro vaikuṇṭho 'parājitā seneti vā aham etam upāsa iti
6.7.4	sa yo haitam evam upāste jiṣṇur ha vā aparājiṣṇur anyatastyajāyī bhavati
6.8.1	sa hovāca bālākiḥ ya evaiṣa ākāśe puruṣas tam evāham upāsa iti
6.8.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.8.3	pūrṇam apravarti brahmeti vā aham etam upāsa iti
6.8.4	sa yo haitam evam upāste pūryate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
6.9.1	sa hovāca bālākiḥ ya evaiṣo 'gnau puruṣas tam evāham upāsa iti
6.9.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.9.3	viṣāsahir iti vā aham etam upāsa iti
6.9.4	sa yo haitam evam upāste viṣāsahir haivānyeṣu bhavati
6.10.1	sa hovāca bālākiḥ ya evaiṣo 'psu puruṣas tam evāham upāsa iti
6.10.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.10.3	tejasa ātmeti vā aham etam upāsa iti
6.10.4	sa yo haitam evam upāste tejasa ātmā bhavati
6.10.5	ityadhidaivatam
6.10.6	athādhyātmam
6.11.1	sa hovāca bālākiḥ ya evaiṣa ādarśe puruṣas tam evāham upāsa iti
6.11.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.11.3	pratirūpa iti vā aham etam upāsa iti
6.11.4	sa yo haitam evam upāste pratirūpo haivāsya prajāyām ājāyate nāpratirūpaḥ
6.12.1	sa hovāca bālākiḥ ya evaiṣa chāyāyāṃ puruṣas tam evāham upāsa iti
6.12.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.12.3	dvitīyo 'napaga iti vā aham etam upāsa iti
6.12.4	sa yo haitam evam upāste vindate dvitīyāt
6.12.5	dvitīyavān bhavati
6.13.1	sa hovāca bālākiḥ ya evaiṣa pratiśrutkāyāṃ puruṣas tam evāham upāsa iti
6.13.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.13.3	asur iti vā aham etam upāsa iti
6.13.4	sa yo haitam evam upāste na purā kālāt saṃmoham eti
6.14.1	sa hovāca bālākiḥ ya evaiṣa śabde puruṣas tam evāham upāsa iti
6.14.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.14.3	mṛtyur iti vā aham etam upāsa iti
6.14.4	sa yo haitam evam upāste na purā kālāt praiti
6.15.1	sa hovāca bālākiḥ yenaitat puruṣaḥ suptaḥ svapnayā carati tamu evāham upāsa iti
6.15.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.15.3	yamo rājeti vā aham etam upāsa iti
6.15.4	sa yo haitam evam upāste sarvaṃ hāsmā idaṃ śraiṣṭhyāya yamyate
6.16.1	sa hovāca bālākiḥ ya evaiṣa śarīre puruṣas tam evāham upāsa iti
6.16.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.16.3	prajāpatir iti vā aham etam upāsa iti
6.16.4	sa yo haitam evam upāste prajāyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
6.17.1	sa hovāca bālākiḥ ya evaiṣa dakṣiṇe 'kṣiṇi puruṣas tam evāham upāsa iti
6.17.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.17.3	vāca ātmāgner ātmā jyotiṣa ātmeti vā aham etam upāsa iti
6.17.4	sa yo haitam evam upāste eteṣāṃ sarveṣām ātmā bhavati
6.18.1	sa hovāca bālākiḥ ya evaiṣa savye 'kṣiṇi puruṣas tam evāham upāsa iti
6.18.2	taṃ hovācājātaśatruḥ mā maitasmin saṃvādayiṣṭhāḥ
6.18.3	satyasyātmā vidyuta ātmā tejasa ātmeti vā aham etam upāsa iti
6.18.4	sa yo haitam evam upāste eteṣāṃ sarveṣām ātmā bhavati
6.19.1	tata u ha bālākis tūṣṇīm āsa
6.19.2	taṃ hovācājātaśatruḥ etāvān nu bālākā3 iti
6.19.3	etāvad iti hovāca bālākiḥ
6.19.4	taṃ hovācājātaśatruḥ mṛṣā vai khalu mā saṃvādayiṣṭhā brahma te bravāṇīti
6.19.5	sa hovāca yo vai bālāka eteṣāṃ puruṣāṇāṃ kartā yasya vaitat karma sa vai veditavya iti
6.19.6	tata u ha bālākiḥ samitpāṇiḥ praticakrama upāyānīti
6.19.7	taṃ hovācājātaśatruḥ pratilomarūpam eva tan manye yat kṣatriyo brāhmaṇam upanayeta
6.19.8	ehi vyeva tvā jñapayiṣyāmīti
6.19.9	taṃ ha pāṇāvabhipadya pravavrāja
6.19.10	tau ha suptaṃ puruṣam ājagmatuḥ
6.19.11	taṃ hājātaśatrur āmantrayāṃcakre bṛhan pāṇḍaravāsaḥ soma rājann iti
6.19.12	sa u ha śiśya eva
6.19.13	tat u hainaṃ yaṣṭyā vicikṣepa
6.19.14	sa tata eva samuttasthau
6.19.15	taṃ hovācājātaśatruḥ kvaiṣa etad bālāke puruṣo 'śayiṣṭa yatraitad abhūt yata etad āgād iti
6.19.16	hitā nama puruṣasya nāḍyo hṛdayāt purītatam abhipratanvanti tad yathā sahasradhā keśo vipāṭitastvāvad aṇvyaḥ
6.19.17	piṅgalasyāṇimnyas tiṣṭhanti śuklasya kṛṣṇasya pītasya lohitasya ca
6.19.18	tāsu tadā bhavati yadā suptaḥ svapnaṃ na kaṃcana paśyati
6.20.1	athāsmin prāṇa ekaikadhā bhavati
6.20.2	tad enaṃ vāk sarvair nāmabhiḥ sahāpyeti
6.20.3	cakṣuḥ sarvai rūpaiḥ sahāpyeti
6.20.4	śrotraṃ sarvaiḥ śabdaiḥ sahāpyeti
6.20.5	manaḥ sarvair dhyātaiḥ sahāpyeti
6.20.6	sa yadā pratibudhyate yathāgner jvalataḥ sarvā diśo visphuliṅgā vipratiṣṭheran evam evaitasmād ātmanaḥ prāṇā yathāyatanaṃ vipratiṣṭhante prāṇebhyo devāḥ devebhyo lokāḥ
6.20.7	sa eṣa prāṇa eva prajñātmedaṃ śarīram ātmānam anupraviṣṭa ā lomabhya ā nakhebhyaḥ
6.20.8	tad yathā kṣuraḥ kṣuradhāne vopahito viśvaṃbharo vā viśvaṃbharakulāya evam evaiṣa prajñātmedaṃ śarīram ātmānam anupraviṣṭa ā lomabhya ā nakhebhyaḥ
6.20.9	tam etam ātmānam eta ātmāno 'nvavasyante yathā śreṣṭhinaṃ svāḥ
6.20.10	tad yathā śreṣṭhī svair bhuṅkte yathā vā svāḥ śreṣṭhinaṃ bhuñjanti
6.20.11	evam evaiṣa prajñātmaitair ātmabhir bhuṅkte
6.20.12	evam evaita ātmāna etam ātmānaṃ bhuñjanti
6.20.13	sa yāvaddha vā indra etam ātmānaṃ na vijajñe tāvad enam asurā abhibabhūvuḥ
6.20.14	sa yadā vijajñe 'tha hatvāsurān vijitya sarveṣāṃ ca devānāṃ śraiṣṭhyaṃ svārājyam ādhipatyaṃ paryait
6.20.15	tatho evaivaṃ vidvān sarvān pāpmano 'pahanti sarveṣāṃ ca bhūtānām śraiṣṭhyaṃ svārājyam ādhipatyaṃ paryeti
6.20.16	ya evaṃ veda ya evaṃ veda
7.1.1	om ṛtaṃ vadiṣyāmi
7.1.2	satyaṃ vadiṣyāmi
7.1.3	tan mām avatu tad vaktāram avatvavatu mām avatu vaktāram
7.1.4	mayi bhargo mayi mahaḥ
7.1.5	vāṅ me manasi pratiṣṭhitā
7.1.6	mano me vāci pratiṣṭhitam
7.1.7	āvir āvir mayyābhūḥ
7.1.8	vedasya ma āṇīḥ
7.1.9	ṛta mā mā hiṃsīḥ
7.1.10	anenādhītenāhorātrān saṃvasāmi
7.1.11	agne iḍā nama iḍā namaḥ
7.1.12	ṛṣibhyo mantrakṛdbhyo mantrapatibhyo namo 'stu devebhyaḥ
7.1.13	śivā naḥ śaṭamā bhava sumṛḍīkā sarasvati mā te vyoma saṃdṛśi
7.1.14	adabdhaṃ mana iṣiraṃ cakṣuḥ sūryo jyotiṣāṃ śreṣṭhaḥ
7.1.15	dīkṣe mā mā hiṃsīḥ
7.2.1	athātaḥ saṃhitāyā upaniṣat
7.2.2	pṛthivī pūrvarūpaṃ dyaur uttararūpaṃ vāyuḥ saṃhiteti śauravīro māṇḍūkeyaḥ
7.2.3	ākāśaḥ saṃhitetyasya māṇḍavyo vedayāṃcakre sa hāviparihṛto mene na me 'sya putreṇa samagād iti
7.2.4	parihṛto mena ity āgastyaḥ
7.2.5	samānaṃ hyatra pituśca putrasya ca vāyuś cākāśaś ca
7.2.6	ityadhidaivatam
7.2.7	athādhyātmam
7.2.8	vāk pūrvarūpaṃ mana uttararūpaṃ prāṇaḥ saṃhiteti śauravīro māṇḍūkeyaḥ
7.2.9	atha ha smāsya putra āha dīrghaḥ manasā vā agre kīrtayati tad vācā vadati
7.2.10	tasmān mana eva pūrvarūpaṃ vāg uttararūpaṃ mano vāk prāṇas tveva saṃhiteti
7.2.11	sa eṣo 'śvarathaḥ praṣṭivāhano manovākprāṇasaṃhitaḥ svargaṃ lokaṃ gamayati
7.2.12	sa ya evam etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur etīti nu māṇḍūkeyānām
7.3.1	atha śākalyasya
7.3.2	pṛthivī pūrvarūpaṃ dyaur uttararūpaṃ vāyuḥ saṃhitā vṛṣṭiḥ saṃdhiḥ saṃdhātā
7.3.3	tad utāpi yatraitad balavad anugṛhṇan mahāmegho vṛṣṭiṃ varṣati
7.3.4	dyāvāpṛthivyau samadhātām ityadhidaivatam
7.3.5	athādhyātmam
7.3.6	puruṣo 'yaṃ sarvam āṇḍam
7.3.7	dve vidale bhavataḥ
7.3.8	tatredam eva pūrvarūpam idam uttararūpam
7.3.9	tatrāyam antareṇākāśaḥ
7.3.10	yathāsau dyāvāpṛthivyor antareṇākāśa etasminn ākāśe prāṇa āyatto bhavati yathāmuṣminn ākāśe vāyur āyatto bhavati
7.3.11	yathāmūni trīṇi jyotīṃṣyevam imāni puruṣe trīṇi jyotīṃṣi
7.3.12	yathāsau divyāditya evam idaṃ śirasi cakṣuḥ
7.3.13	yathāsāvantarikṣe vidyud evam idam ātmani hṛdayam
7.3.14	yathāyam agniḥ pṛthivyām evam idam upasthe retaḥ
7.3.15	evamiva ha sma sarvata ātmānam anuvidhāyāha idam eva pūrvarūpam idam uttararūpaṃ mano vāk prāṇas tveva saṃhiteti
7.3.16	sa eṣo 'śvarathaḥ praṣṭivāhano manovākprāṇasaṃhitaḥ svargaṃ lokaṃ gamayati
7.3.17	sa ya evam etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.4.1	pṛthivī pūrvarūpaṃ dyaur uttararūpaṃ vāyuḥ saṃhitā diśaḥ saṃdhir ādityaḥ saṃdhāteti vaiśvāmitraḥ
7.4.2	ityadhidaivatam
7.4.3	athādhyātmam
7.4.4	vāk pūrvarūpaṃ mana uttararūpaṃ prāṇaḥ saṃhitā śrotraṃ saṃdhiś cakṣuḥ saṃdhātā
7.4.5	sa ya evam etāṃ etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.5.1	agniḥ pūrvarūpaṃ candramā uttararūpaṃ vidyut saṃhiteti sūryadattaḥ
7.5.2	ityadhidaivatam
7.5.3	athādhyātmam vāk pūrvarūpaṃ mana uttararūpaṃ satyaṃ saṃhitā
7.5.4	sa ya evam etāṃ etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.6.1	pṛthivī pūrvarūpaṃ dyaur uttararūpaṃ kālaḥ saṃhiteti rādheyaḥ
7.6.2	ityadhidaivatam
7.6.3	athādhyātmam vāk pūrvarūpaṃ mana uttararūpaṃ ātmā saṃhitā
7.6.4	sa ya evam etāṃ etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.7.1	vāk pūrvarūpaṃ mana uttararūpaṃ vidyā saṃhiteti pauṣkarasādiḥ
7.7.2	sa ya evam etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.8.1	athāto 'nuvyāhārāḥ
7.8.2	prāṇo vaṃśa iti vidyāt
7.8.3	sa ya enaṃ prāṇaṃ vaṃśaṃ bruvan param upavadet śaknuvan kaściccenmanyeta prāṇaṃ vaṃśaṃ samadhām
7.8.4	prāṇaṃ vaṃśaṃ saṃdhitsituṃ na śaknoṣītyāttha
7.8.5	prāṇas tvā vaṃśo hāsyatītyevainaṃ brūyāt
7.8.6	atha ced aśaknuvan manyeta prāṇaṃ vaṃśaṃ samadhitsīḥ taṃ nāśakaḥ saṃdhātuṃ prāṇas tvā vaṃśo hāsyatītyevainaṃ brūyāt
7.8.7	yathā nu kathā ca bruvan vābruvan vā brūyād abhyāśam eva yat tat tathā syāt
7.8.8	na tvevānyat kuśalād brāhmaṇaṃ brūyād atidyumna eva brāhmaṇaṃ brūyān nātidyumne ca na brāhmaṇaṃ brūyān namo 'stu brāhmaṇebhya iti śauravīro māṇḍūkeyaḥ
7.9.1	sa yadi prāṇaṃ vaṃśaṃ bruvantaṃ param upavadet śaknuvantaṃ cen manyeta prāṇaṃ vaṃśaṃ samadhitsiṣam prāṇaṃ vaṃśaṃ saṃdhitsituṃ na śaknoṣītyāttha
7.9.2	prāṇas tvā vaṃśo hāsyatītyevainaṃ brūyāt
7.9.3	atha ced aśaknuvantaṃ manyeta prāṇaṃ vaṃśaṃ samadhitsīs tan nāśakaḥ saṃdhātum
7.9.4	prāṇas tvā vaṃśo hāsyatītyevainaṃ brūyāt
7.9.5	yathā nu kathā ca bruvantaṃ vābruvantaṃ vā brūyād abhyāśam eva yat tat tathā syāt
7.9.6	na tvevānyat kuśalād brāhmaṇaṃ brūyād atidyumna eva brāhmaṇaṃ brūyān nātidyumne ca na brāhmaṇaṃ brūyān namo 'stu brāhmaṇebhya iti śauravīro māṇḍūkeyaḥ
7.10.1	athāto nirbhujapravādāḥ
7.10.2	pṛthivyāyatanaṃ nirbhujaṃ divāyatanaṃ pratṛṇṇam antarikṣāyatanam ubhayam antareṇa
7.10.3	sa ya enaṃ nirbhujaṃ bruvan param upavadet
7.10.4	pṛthivīṃ devatām āraḥ pṛthivī tvā devatāriṣyatītyenaṃ brūyāt
7.10.5	atha yadi pratṛṇṇam bruvan param upavaded divaṃ devatām āro dyaus tvā devatāriṣyatītyenaṃ brūyāt
7.10.6	atha yadyubhayam antareṇa bruvan param upavaded antarikṣaṃ devatām āra antarikṣaṃ tvā devatāriṣyatītiyenaṃ brūyāt
7.10.7	yaddhi saṃdhiṃ vivartayati tan nirbhujasya rūpam
7.10.8	atha yacchuddhe akṣare abhivyāharati tat pratṛṇṇasyāgra u eva
7.10.9	ubhayam antareṇobhayaṃ vyāptaṃ bhavati
7.10.10	annādyakāmo nirbhujaṃ brūyāt svargakāmaḥ pratṛṇṇam ubhayakāma ubhayamantareṇa
7.10.11	sa ya enaṃ nirbhujaṃ bruvan param upavaded acyoṣṭhā avarābhyāṃ sthānābhyām ityenaṃ brūyāt
7.10.12	atha yadi pratṛṇṇam bruvan param upavaded acyoṣṭhā uttarābhyāṃ sthānābhyām ityevainaṃ brūyāt
7.10.13	yastvevobhayam antareṇāha tasya tasya nāstyupavādaḥ
7.10.14	yathā nu kathā ca bruvan vābruvan vā brūyād abhyāśam kuśalād brāhmaṇaṃ brūyād atidyumna evaṃ brāhmaṇaṃ brūyān nātidyumne ca na brāhmaṇaṃ brūyāt
7.10.15	namo 'stu brāhmaṇebhya iti śauravīro māṇḍūkeyaḥ
7.11.1	atha khalvāhur nirbhujavaktrāḥ
7.11.2	pūrvam evākṣaraṃ pūrvarūpam uttaram uttararūpam
7.11.3	yakāravakārāvantareṇa sā saṃhiteti
7.11.4	sa ya evam etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.12.1	atha vai vayaṃ brūmo nirbhujavaktrāḥ sma iti ha smāha hvastro māṇḍūkeyaḥ
7.12.2	pūrvam evākṣaraṃ pūrvarūpam uttaram uttararūpam
7.12.3	tad yāsau mātrā pūrvarūpottararūpe antareṇa yena saṃdhiṃ vivartayati yena mātrāmātraṃ vibhajati yena svarāt svaraṃ vijñāpayati sā saṃhiteti
7.12.4	sa ya evam etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
7.13.1	atha ha smāsya putra āha madhyamaḥ prātiyodhīputro magadhavāsī pūrvam evākṣaraṃ pūrvarūpam uttaram uttararūpam
7.13.2	tad yāsau mātrā saṃdhivijñāpanī sāma tad bhavati sāmaihāvaṃ saṃhitāṃ manya iti
