#Text:Aitareyāraṇyaka
#Edition:DCS version



1.1.1.1	om
2.2.2.2	taṃ devā abruvann ayaṃ vai naḥ sarveṣāṃ vasiṣṭha iti taṃ yad devā abruvann ayaṃ vai naḥ sarveṣāṃ vasiṣṭha iti tasmād vasiṣṭhas tasmād vasiṣṭha ity ācakṣata etam eva santam
2.2.2.3	sa idaṃ sarvam abhiprāgād yad idaṃ kiñca sa yad idaṃ sarvam abhiprāgād yad idaṃ kiñca tasmāt pragāthās tasmāt pragāthā ity ācakṣata etam eva santam
2.2.2.4	sa idaṃ sarvam abhyapavayata yad idaṃ kiñca sa yad idaṃ sarvam abhyapavayata yad idaṃ kiñca tasmāt pāvamānyas tasmāt pāvamānya ity ācakṣata etam eva santam
2.2.2.5	so 'bravīd aham idaṃ sarvam asāni yac ca kṣudraṃ yac ca mahad iti te kṣudrasūktāś cābhavan mahāsūktāś ca tasmāt kṣudrasūktās tasmāt kṣudrasūktā ity ācakṣata etam eva santam
2.2.2.6	sūktaṃ batāvocateti tat sūktam abhavat tasmāt sūktaṃ tasmāt sūktam ity ācakṣata etam eva santam
2.2.2.7	eṣa vā ṛg eṣa hy ebhyaḥ sarvebhyo bhūtebhyo 'rcata sa yad ebhyaḥ sarvebhyo bhūtebhyo 'rcata tasmād ṛk tasmād ṛg ity ācakṣata etam eva santam
2.2.2.8	eṣa vā ardharca eṣa hy ebhyaḥ sarvebhyo 'rdhebhyo 'rcata sa yad ebhyaḥ sarvebhyo 'rdhebhyo 'rcata tasmād ardharcas tasmād ardharca ity ācakṣata etam eva santam
2.2.2.9	eṣa vai padam eṣa hīmāni sarvāṇi bhūtāni pādi sa yad imāni sarvāṇi bhūtāni pādi tasmāt padaṃ tasmāt padam ity ācakṣata etam eva santam
2.2.2.10	eṣa vā akṣaram eṣa hy ebhyaḥ sarvebhyo bhūtebhyaḥ kṣarati na cainam atikṣaranti sa yad ebhyaḥ sarvebhyo bhūtebhyaḥ kṣarati na cainam atikṣaranti tasmād akṣaraṃ tasmād akṣaram ity ācakṣata etam eva santam
2.2.2.11	tā vā etāḥ sarvā ṛcaḥ sarve vedāḥ sarve ghoṣā ekaiva vyāhṛtiḥ prāṇa eva prāṇa ṛca ity eva vidyāt
2.2.3.1	viśvāmitraṃ hy etad ahaḥ śaṃsiṣyantam indra upaniṣasāda
2.2.3.2	sa hānnam ity abhivyāhṛtya bṛhatīsahasraṃ śaśaṃsa tenendrasya priyaṃ dhāmopeyāya
2.2.3.3	tam indra uvāca ṛṣe priyaṃ vai me dhāmopāgāḥ sa vā ṛṣe dvitīyaṃ śaṃseti
2.2.3.4	sa hānnam ity evābhivyāhṛtya bṛhatīsahasraṃ śaśaṃsa tenendrasya priyaṃ dhāmopeyāya
2.2.3.5	tam indra uvāca ṛṣe priyaṃ vai me dhāmopāgāḥ sa vā ṛṣe tṛtīyaṃ śaṃseti
2.2.3.6	sa hānnam ity evābhivyāhṛtya bṛhatīsahasraṃ śaśaṃsa tenendrasya priyaṃ dhāmopeyāya
2.2.3.7	tam indra uvāca ṛṣe priyaṃ vai me dhāmopāgā varaṃ te dadāmīti
2.2.3.8	sa hovāca tvām eva jānīyām iti
2.2.3.9	tam indra uvāca prāṇo vā aham asmy ṛṣe prāṇas tvaṃ prāṇaḥ sarvāṇi bhūtāni prāṇo hy eṣa ya eṣa tapati sa etena rūpeṇa sarvā diśo viṣṭo 'smi tasya me 'nnaṃ mitraṃ dakṣiṇaṃ tad vaiśvāmitram eṣa tapann evāsmīti hovāca
2.2.4.1	tad vā idaṃ bṛhatīsahasraṃ sampannaṃ tasya tāni vyañjanāni taccharīraṃ yo ghoṣaḥ sa ātmā ya ūṣmāṇaḥ sa prāṇaḥ
2.2.4.2	etaddha sma vai tad vidvān vasiṣṭho vasiṣṭho babhūva tata etan nāmadheyaṃ lebhe
2.2.4.3	etad u haivendro viśvāmitrāya provācaitad u haivendro bharadvājāya provāca tasmāt sa tena bandhunā yajñeṣu hūyate
2.2.4.4	tad vā idaṃ bṛhatīsahasraṃ sampannaṃ tasya vā etasya bṛhatīsahasrasya sampannasya ṣaṭtriṃśatam akṣarāṇāṃ sahasrāṇi bhavanti tāvanti śatasaṃvatsarasyāhnāṃ sahasrāṇi bhavanti vyañjanair eva rātrīr āpnuvanti svarair ahāni
2.2.4.5	tad vā idaṃ bṛhatīsahasraṃ sampannaṃ tasya vā etasya bṛhatīsahasrasya sampannasya parastāt prajñāmayo devatāmayo brahmamayo 'mṛtamayaḥ sambhūya devatā apyeti ya evaṃ veda
2.2.4.6	tad yo 'haṃ so 'sau yo 'sau so 'ham
2.2.4.7	tad uktam ṛṣiṇā
2.2.4.8	sūrya ātmā jagatas tasthuṣaś ceti
2.2.4.9	etad u haivopekṣetopekṣeta
2.3.1.1	yo ha vā ātmānaṃ pañcavidham ukthaṃ veda yasmād idaṃ sarvam uttiṣṭhati sa saṃprativit
2.3.1.2	pṛthivī vāyur ākāśa āpo jyotīṃṣīty eṣa vā ātmokthaṃ pañcavidham etasmāddhīdaṃ sarvam uttiṣṭhaty etam evāpyeti
2.3.1.3	ayanaṃ ha vai samānānāṃ bhavati ya evaṃ veda
2.3.1.4	tasmin yo 'nnaṃ cānnādaṃ ca vedāhāsminn annādo jāyate bhavaty asyānnam
2.3.1.5	āpaś ca pṛthivī cānnam etanmayāni hy annāni bhavanti jyotiś ca vāyuś cānnādam etābhyāṃ hīdaṃ sarvam annam atty āvapanam ākāśa ākāśe hīdaṃ sarvaṃ samopyate
2.3.1.6	āvapanaṃ ha vai samānānāṃ bhavati ya evaṃ veda
2.3.1.7	tasmin yo 'nnaṃ cānnādaṃ ca vedāhāsminn annādo jāyate bhavaty asyānnam
2.3.1.8	oṣadhivanaspatayo 'nnaṃ prāṇabhṛto 'nnādam oṣadhivanaspatīn hi prāṇabhṛto 'danti
2.3.1.9	teṣāṃ ya ubhayatodantāḥ puruṣasyānu vidhāṃ vihitās te 'nnādā annam itare paśavas tasmāt ta itarān paśūn adhīva caranty adhīva hy anne 'nnādo bhavati
2.3.1.10	adhīva ha samānānāṃ jāyate ya evaṃ veda
2.3.2.1	tasya ya ātmānam āvistarāṃ vedāśnute hāvir bhūyaḥ
2.3.2.2	oṣadhivanaspatayo yac ca kiṃca prāṇabhṛt sa ātmānam āvistarāṃ veda
2.3.2.3	oṣadhivanaspatiṣu hi raso dṛśyate cittaṃ prāṇabhṛtsu
2.3.2.4	prāṇabhṛtsu tv evāvistarām ātmā teṣu hi raso 'pi dṛśyate na cittam itareṣu
2.3.2.5	puruṣe tv evāvistarām ātmā sa hi prajñānena saṃpannatamo vijñātaṃ vadati vijñātaṃ paśyati veda śvastanaṃ veda lokālokau martyenāmṛtam īpsaty evaṃ sampannaḥ
2.3.2.6	athetareṣāṃ paśūnām aśanāpipāse evābhivijñānaṃ na vijñātaṃ vadanti na vijñātaṃ paśyanti na viduḥ śvastanaṃ na lokālokau ta etāvanto bhavanti yathāprajñaṃ hi saṃbhavāḥ
2.3.3.1	sa eṣa puruṣaḥ samudraḥ sarvaṃ lokam ati
2.3.3.2	yaddha kiñcāśnute 'ty enaṃ manyate yady antarikṣalokam aśnute 'ty enaṃ manyate yady amuṃ lokam aśnuvītāty evainaṃ manyeta
2.3.3.3	sa eṣa puruṣaḥ pañcavidhas tasya yad uṣṇaṃ taj jyotir yāni khāni sa ākāśo 'tha yal lohitaṃ śleṣmā retas tā āpo yaccharīraṃ sā pṛthivī yaḥ prāṇaḥ sa vāyuḥ
2.3.3.4	sa eṣa vāyuḥ pañcavidhaḥ prāṇo 'pāno vyāna udānaḥ samānaḥ
2.3.3.5	tā etā devatāḥ prāṇāpānayor eva niviṣṭāś cakṣuḥ śrotraṃ mano vāg iti prāṇasya hy anv apāyam etā apiyanti
2.3.3.6	sa eṣa vācaś cittasyottarottarikramo yad yajñaḥ
2.3.3.7	sa eṣa yajñaḥ pañcavidho 'gnihotraṃ darśapūrṇamāsau cāturmāsyāni paśuḥ somaḥ
2.3.3.8	sa eṣa yajñānāṃ sampannatamo yat soma etasmin hy etāḥ pañca vidhā adhigamyante yat prāk savanebhyaḥ saikā vidhā trīṇi savanāni yad ūrdhvaṃ sā pañcamī
2.3.4.1	yo ha vai yajñe yajñaṃ vedāhany ahar deveṣu devam adhyūḍhaṃ sa saṃprativit
2.3.4.2	eṣa vai yajñe yajño 'hany ahar deveṣu devo 'dhyūḍho yad etan mahad uktham
2.3.4.3	tad etat pañcavidhaṃ trivṛt pañcadaśaṃ saptadaśam ekaviṃśaṃ pañcaviṃśam iti stomato gāyatraṃ rathantaraṃ bṛhad bhadraṃ rājanam iti sāmato gāyatry uṣṇig bṛhatī triṣṭub dvipadeti chandastaḥ śiro dakṣiṇaḥ pakṣa uttaraḥ pakṣaḥ puccham ātmety ākhyānam
2.3.4.4	pañcakṛtvaḥ prastauti pañcakṛtva udgāyati pañcakṛtvaḥ pratiharati pañcakṛtva upadravati pañcakṛtvo nidhanam upayanti tat stobhasahasraṃ bhavati
2.3.4.5	evaṃ hy etāḥ pañca vidhā anuśasyante yat prāk tṛcāśītibhyaḥ saikā vidhā tisras tṛcāśītayo yad ūrdhvaṃ sā pañcamī
2.3.4.6	tad etat sahasraṃ tat sarvaṃ tāni daśa daśeti vai sarvam etāvatī hi saṃkhyā daśa daśatas tacchataṃ daśa śatāni tat sahasraṃ tat sarvam
2.3.4.7	tāni trīṇi chandāṃsi bhavanti tredhāvihitaṃ vā idam annam aśanaṃ pānaṃ khādas tad etair āpnoti
2.3.5.1	tad vā idaṃ bṛhatīsahasraṃ sampannam
2.3.5.2	taddhaitad eke nānāchandasāṃ sahasraṃ pratijānate kim anyat sad anyad brūyāmeti
2.3.5.3	triṣṭupsahasram eke jagatīsahasram eke 'nuṣṭupsahasram eke
2.3.5.4	tad uktam ṛṣiṇā
2.3.5.5	anuṣṭubham anu carcūryamāṇam indraṃ ni cikyuḥ kavayo manīṣeti
2.3.5.6	vāci vai tad aindraṃ prāṇaṃ nyacāyann ity etat tad uktaṃ bhavati
2.3.5.7	sa heśvaro yaśasvī kalyāṇakīrtir bhavitor īśvaro ha tu purāyuṣaḥ praitor iti ha smāhākṛtsno hy eṣa ātmā yad vāg abhi hi prāṇena manase 'syamāno vācā nānubhavati
2.3.5.8	bṛhatīm abhisaṃpādayed eṣa vai kṛtsna ātmā yad bṛhatī
2.3.5.9	so 'yam ātmā sarvataḥ śarīraiḥ parivṛtas tad yathāyam ātmā sarvataḥ śarīraiḥ parivṛta evam eva bṛhatī sarvataś chandobhiḥ parivṛtā
2.3.5.10	madhyaṃ hy eṣām aṅgānām ātmā madhyaṃ chandasāṃ bṛhatī
2.3.5.11	sa heśvaro yaśasvī kalyāṇakīrtir bhavitor īśvaro ha tu purāyuṣaḥ praitor iti ha smāha kṛtsno hy eṣa ātmā yad bṛhatī tasmād bṛhatīm evābhisaṃpādayet
2.3.6.1	tad vā idaṃ bṛhatīsahasraṃ sampannaṃ tasya vā etasya bṛhatīsahasrasya sampannasyaikādaśānuṣṭubhāṃ śatāni bhavanti pañcaviṃśatiś cānuṣṭubha āttaṃ vai bhūyasā kanīyaḥ
2.3.6.2	tad uktam ṛṣiṇā
2.3.6.3	vācam aṣṭāpadīm aham ity aṣṭau hi caturakṣarāṇi bhavanti
2.3.6.4	navasraktim iti bṛhatī saṃpadyamānā navasraktiḥ
2.3.6.5	ṛtaspṛśam iti satyaṃ vai vāg ṛcā spṛṣṭā
2.3.6.6	indrāt pari tanvaṃ mama iti tad yad evaitad bṛhatīsahasram anuṣṭupsampannaṃ bhavati tasmāt tad aindrāt prāṇād bṛhatyai vācam anuṣṭubhaṃ tanvaṃ saṃnirmimīte
2.3.6.7	sa vā eṣa vācaḥ paramo vikāro yad etan mahad ukthaṃ tad etat pañcavidhaṃ mitam amitaṃ svaraḥ satyānṛte iti
2.3.6.8	ṛg gāthā kumbyā tan mitaṃ yajur nigado vṛthāvāk tad amitaṃ sāmātho yaḥ kaś ca geṣṇaḥ saḥ svara o3m iti satyaṃ nety anṛtam
2.3.6.9	tad etat puṣpaṃ phalaṃ vāco yat satyaṃ sa heśvaro yaśasvī kalyāṇakīrtir bhavitoḥ puṣpaṃ hi phalaṃ vācaḥ satyaṃ vadati
2.3.6.10	athaitan mūlaṃ vāco yad anṛtaṃ tad yathā vṛkṣa āvirmūlaḥ śuṣyati sa udvartata evam evānṛtaṃ vadann āvirmūlam ātmānaṃ karoti sa śuṣyati sa udvartate
2.3.6.11	tasmād anṛtaṃ na vaded dayeta tv enena
2.3.6.12	parāg vā etad riktam akṣaraṃ yad etad o3m iti tad yat kiñcom ity āhātraivāsmai tad ricyate sa yat sarvam oṃ kuryād riñcyād ātmānaṃ sa kāmebhyo nālaṃ syāt
2.3.6.13	athaitat pūrṇam abhyātmaṃ yan neti
2.3.6.14	sa yat sarvaṃ neti brūyāt pāpikāsya kīrtir jāyeta sainaṃ tatraiva hanyāt
2.3.6.15	tasmāt kāla eva dadyāt kāle na dadyāt tat satyānṛte mithunīkaroti tayor mithunāt prajāyate bhūyān bhavati
2.3.6.16	yo vai tāṃ vācaṃ veda yasyā eṣa vikāraḥ sa saṃprativit
2.3.6.17	akāro vai sarvā vāk saiṣā sparśoṣmabhir vyajyamānā bahvī nānārūpā bhavati
2.3.6.18	tasyai yad upāṃśu sa prāṇo 'tha yad uccais taccharīraṃ tasmāt tat tira iva tira iva hy aśarīram aśarīro hi prāṇo 'tha yad uccais tac charīraṃ tasmāt tad āvir āvir hi śarīram
2.3.7.1	tad vā idaṃ bṛhatīsahasraṃ sampannaṃ tad yaśaḥ sa indraḥ sa bhūtānām adhipatiḥ
2.3.7.2	sa ya evam etam indraṃ bhūtānām adhipatiṃ veda visrasā haivāsmāl lokāt praitīti ha smāha mahidāsa aitareyaḥ pretyendro bhūtvaiṣu lokeṣu rājati
2.3.7.3	tad āhur yad anena rūpeṇāmuṃ lokam abhisaṃbhavatī3ṃ atha kena rūpeṇemaṃ lokam ābhavatī3ṃ
2.3.7.4	tad yad etat striyāṃ lohitaṃ bhavaty agnes tad rūpaṃ tasmāt tasmān na bībhatsetātha yad etat puruṣe reto bhavaty ādityasya tad rūpaṃ tasmāt tasmān na bībhatseta
2.3.7.5	so 'yam ātmemam ātmānam amuṣmā ātmane samprayacchaty asāv ātmāmum ātmānam imasmā ātmane samprayacchati tāv anyonyam abhisaṃbhavato 'nenāha rūpeṇāmuṃ lokam abhisaṃbhavaty amuno rūpeṇemaṃ lokam ābhavati
2.3.8.1	tatraite ślokāḥ
2.3.8.2	yad akṣaraṃ pañcavidhaṃ sameti / yujo yuktā abhi yat saṃvahanti / satyasya satyam anu yatra yujyate / tatra devāḥ sarva ekaṃ bhavanti
2.3.8.3	yad akṣarād akṣaram eti yuktam / yujo yuktā abhi yat saṃvahanti / satyasya satyam anu yatra yujyate / tatra devāḥ sarva ekaṃ bhavanti
2.3.8.4	yad vāca om iti yac ca neti / yac cāsyāḥ krūraṃ yad u colbaṇiṣṇu / tad viyūyā kavayo anvavindan / nāmāyattā samatṛpyañchrute 'dhi
2.3.8.5	yasmin nāmā samatṛpyañchrute 'dhi / tatra devāḥ sarvayujo bhavanti / tena pāpmānam apahatya brahmaṇā / svargaṃ lokam apyeti vidvān
2.3.8.6	nainaṃ vācā striyaṃ bruvan / nainam astrīpumān bruvan / pumāṃsaṃ na bruvann enam / vadan vadati kaścana
2.3.8.7	a iti brahma tatrāgatam aham iti
2.3.8.8	tad vā idaṃ bṛhatīsahasraṃ sampannaṃ tasya vā etasya bṛhatīsahasrasya sampannasya ṣaṭtriṃśatam akṣarāṇāṃ sahasrāṇi bhavanti tāvanti puruṣāyuṣo 'hnāṃ sahasrāṇi bhavanti
2.3.8.9	jīvākṣareṇaiva jīvāhar āpnoti jīvāhnā jīvākṣaram iti
2.3.8.10	anakāmamāro 'tha devarathas tasya vāg uddhiḥ śrotre pakṣasī cakṣuṣī yukte manaḥ saṃgrahītā tad ayaṃ prāṇo 'dhitiṣṭhati
2.3.8.11	tad uktam ṛṣiṇā
2.3.8.12	ā tena yātaṃ manaso javīyasā nimiṣaś cij javīyaseti javīyaseti
3.1.1.1	athātaḥ saṃhitāyā upaniṣat
3.1.1.2	pṛthivī pūrvarūpaṃ dyaur uttararūpaṃ vāyuḥ saṃhiteti māṇḍūkeya ākāśaḥ saṃhitety asya mākṣavyo vedayāṃcakre
3.1.1.3	sa hāviparihṛto mene na me 'sya putreṇa samagād iti
3.1.1.4	samāne vai tat parihṛto mena ity āgastyaḥ samānaṃ hy etad bhavati vāyuś cākāśaś ca
3.1.1.5	ity adhidaivatam
3.1.1.6	athādhyātmam
3.1.1.7	vāk pūrvarūpaṃ mana uttararūpaṃ prāṇaḥ saṃhiteti śūravīro māṇḍūkeyaḥ
3.1.1.8	atha hāsya putra āha jyeṣṭho manaḥ pūrvarūpaṃ vāg uttararūpaṃ manasā vā agre saṃkalpayaty atha vācā vyāharati tasmān mana eva pūrvarūpaṃ vāg uttararūpaṃ prāṇas tv eva saṃhiteti
3.1.1.9	samānam enayor atra pituś ca putrasya ca
3.1.1.10	sa eṣo 'śvarathaḥ praṣṭivāhano manovākprāṇasaṃhataḥ
3.1.1.11	sa ya evam etāṃ saṃhitāṃ veda saṃdhīyate prajayā paśubhir yaśasā brahmavarcasena svargeṇa lokena sarvam āyur eti
3.1.1.12	iti nu māṇḍūkeyānām
5.1.1.1	mahāvratasya pañcaviṃśatiṃ sāmidhenyaḥ
5.1.1.2	ekaviṃśatau prāg upottamāyāḥ samidhāgnim iti catasraḥ
5.1.1.3	vaiśvakarmaṇa ṛṣabha upālambhanīya upāṃśu
5.1.1.4	ājyaprauge viśvajitaḥ
5.1.1.5	hotrāś caturviṃśāt
5.1.1.6	īṅkhayantīr apasyuva iti ca brāhmaṇācchaṃsy āvapeta prātaḥsavane tīvrasyābhivayaso asya pāhīti mādhyandine
5.1.1.7	trikadrukeṣu mahiṣo yavāśiram iti stotriyaḥ
5.1.1.8	endra yāhy upa naḥ parāvata indrāya hi dyaur asuro anamnata pro ṣv asmai puroratham ity ato 'nurūpaḥ
5.1.1.9	caturviṃśān marutvatīyasyātāno 'sat su me jaritaḥ sābhivegaḥ pibā somam abhi yam ugra tardaḥ kayā śubhā savayasaḥ sanīḍā marutvāṁ indra vṛṣabho raṇāya janiṣṭhā ugraḥ sahase turāyeti marutvatīyam
5.1.1.10	sthite marutvatīye hotā visaṃsthitasaṃcareṇa niṣkramyāgnīdhrīye tisra ājyāhutīr juhoty audumbareṇa sruveṇa
5.1.1.11	anu mām indro anu māṃ bṛhaspatir anu somo anu vāg devy āvīt / anu māṃ mitrāvaruṇāv ihāvatām anu dyāvāpṛthivī pūrvahūtau
5.1.1.12	ādityā mā viśve avantu devāḥ sapta rājāno ya udābhiṣiktāḥ / vāyuḥ pūṣā varuṇaḥ somo agniḥ sūryo nakṣatrair avatv iha mā nu
5.1.1.13	pitaro mā viśvam idaṃ ca bhūtaṃ pṛśnimātaro marutaḥ svarkāḥ / ye agnijihvā uta vā yajatrās te no devāḥ suhavāḥ śarma yacchateti
5.1.1.14	dakṣiṇe mārjālīye daśa srucy uttamāṃ caturgṛhītaṃ pūrvam avadāyottarato 'gner upanidhāya viharaṇaprabhṛti madhyandine mārjālīyo jāgarito bhavati tasmin parivṛte juhoti prāgdvāre vodagdvāre vā prāgudagdvāre vā / agnir ivānādhṛṣyaḥ pṛthivīva suṣadā bhūyāsam / antarikṣam ivānāpyam dyaur ivānādhṛṣyo bhūyāsam / sūrya ivāprati / mana ivāpūrvaṃ vāyur iva ślokabhūr bhūyāsam / ahar iva svaṃ rātrir iva priyo bhūyāsam / gāva iva punarbhuvo mithunam iva marīcayo bhūyāsam / āpa iva rasa oṣadhaya iva rūpaṃ bhūyāsam / annam iva vibhu yajña iva prabhur bhūyāsam / brahmeva loke kṣatram iva śriyāṃ bhūyāsam / yad agna eṣā samitir bhavātīti / atra vibhajātha vītheti trīṇy ananvṛcam
5.1.1.15	atra tiṣṭhann ādityam upatiṣṭhate paryāvṛtte pradakṣiṇam āvṛttyaitaiś caivāsvāhākārair ehy evā3 idaṃ madhū3 idaṃ madhu imaṃ tīvrasutaṃ pibā3 idaṃ madhū3 idaṃ madhv iti ca
5.1.1.16	preṣyāḥ saṃśāsti pūrṇakumbhās tisro 'vamāḥ ṣaḍ uttamāḥ / imaṃ dhiṣṇyam udakumbhaṃ ca triḥ pradakṣiṇaṃ parivrajātha dakṣiṇaiḥ pāṇibhir dakṣiṇān ūrūn āghnānā ehy evā3 idaṃ madhū3 idaṃ madhv iti vadatyaḥ
5.1.2.1	upākṛte stotre traidhaṃ ninayāthātrottare ca mārjālīye śeṣam antarvedīti
5.1.2.2	pradakṣiṇam agniṃ niṣkramyāgreṇa yūpaṃ purastāt pratyaṅmukhas tiṣṭhann agneḥ śira upatiṣṭhate namas te gāyatrāya yat te śira iti
5.1.2.3	tenaiva yathetaṃ pratyetya dakṣiṇam udaṅmukhaḥ pakṣaṃ namas te rāthantarāya yas te dakṣiṇaḥ pakṣa iti
5.1.2.4	apareṇāgnipuccham atikramya prāṅmukha uttaraṃ namas te bṛhate yas ta uttaraḥ pakṣa iti
5.1.2.5	paścāt prāṅpucchaṃ namas te bhadrāya yat te pucchaṃ yā te pratiṣṭheti
5.1.2.6	dakṣiṇataḥ pucchasyātmānaṃ namas te rājanāya yas ta ātmeti
5.1.3.1	yathetaṃ sadaḥ prasarpati
5.1.3.2	purastāt preṅkha upakﾱpto bhavati
5.1.3.3	sthūṇe rajjū vīvadha ity etat prakṣālya tīrthena prapādyottareṇāgnīdhrīyaṃ parivrajya pūrvayā dvārā sadaḥ sarvān dhiṣṇyān uttareṇa
5.1.3.4	audumbarāṇi kāṣṭhāni preṅkhasya bhavanti pālāśāni miśrāṇi vā
5.1.3.5	trīṇi phalakāny ubhayatas taṣṭāni dve vā sūcyaś ca tāvatyaḥ
5.1.3.6	iṣumātraḥ prāṅ preṅkho nimuṣṭikas tiryaṅṅ udagagraḥ prāgagrābhyāṃ sūcībhyāṃ samutaḥ
5.1.3.7	dakṣiṇottare sthūṇe nikhāyābhito hotṛṣadanaṃ vīvadham atyādadhāty āsyasaṃmitaṃ kartuḥ
5.1.3.8	kuṣṭhāsu chidrāṇi preṅkhasya bhavanti rajjubhyām ūrdhvam udvayati dakṣiṇato dakṣiṇayottarataḥ savyayā dārbhye triguṇe syātāṃ savyadakṣiṇe pañcavyāyāme dviguṇe vīvadhe triḥ pradakṣiṇaṃ paryasyordhvagranthiṃ niṣṭarkyaṃ badhnāti
5.1.3.9	śākhābhir bṛsībhir vā paryṛṣanty aprakampi
5.1.3.10	caturaṅgulenaiṣa vibhūmaḥ preṅkhaḥ syān muṣṭimātreṇa vā
5.1.3.11	dakṣiṇata udāhitataraḥ samo vā
5.1.3.12	padamātre dhiṣṇyāt
5.1.4.1	niṣṭhite preṅkhe hotā vāṇam audumbaraṃ śatatantum ubhābhyāṃ parigṛhyottarata upohate yathā vīṇām
5.1.4.2	saptabhiś chandobhiś caturuttaraiḥ sthānāny asyordhvam udgṛhṇīyād daśabhir vā gāyatreṇa tvā chandasodūhāmy auṣṇihena tvānuṣṭubhena tvā bārhatena tvā pāṅktena tvā traiṣṭubhena tvā jāgatena tvā vairājena tvā dvaipadena tvātichandasā tveti
5.1.4.3	chandāṃsy anukramya sthānānām anuparikramaṇam audumbaryārdrayā śākhayā sapalāśayā mūladeśena vāṇaṃ trir ūrdhvam ullikhati prāṇāya tvāpānāya tvā vyānāya tvollikhāmīti
5.1.4.4	anyebhyo 'pi kāmebhyaḥ punar api na tūllikhāmīti brūyāt
5.1.4.5	athainaṃ saśākhaṃ chandogebhyaḥ prayacchati
5.1.4.6	bhūtebhyas tveti paścārddhe phalake pāṇī pratiṣṭhāpayati prāṇam anu preṅkhasveti prāñcaṃ preṅkhaṃ praṇayati vyānam anu vīṅkhasveti tiryañcam apānam anv īṅkhasvety abhyātmam
5.1.4.7	bhūr bhuvaḥ svar iti japati
5.1.4.8	prāṇāya tveti prāñcam eva vyānāya tveti tiryañcam apānāya tvety abhyātmam
5.1.4.9	vasavas tvā gāyatreṇa chandasārohantu tān anv ārohāmīti paścārddhe phalake 'ratnī pratiṣṭhāpayati
5.1.4.10	atha pūrvaṃ phalakaṃ nānā pāṇibhyām abhipadyeta yathāhiḥ srapsyan
5.1.4.11	madhyamaṃ chubukenopaspṛśed dvayor vā saṃdhim
5.1.4.12	rudrās tvā traiṣṭubhena chandasārohantu tān anv ārohāmīti dakṣiṇaṃ sakthy atiharati
5.1.4.13	ādityās tvā jāgatena chandasārohantu tān anv ārohāmīti savyam
5.1.4.14	viśve tvā devā ānuṣṭubhena chandasārohantu tān anv ārohāmīti samārohati
5.1.4.15	paścāt svasya dhiṣṇyasya dakṣiṇaṃ pādaṃ prāñcaṃ pratiṣṭhāpayaty atha savyaṃ yadetaraḥ śrāmyed athetaraṃ yadetaro 'thetaraṃ
5.1.4.16	nobhau vibhūmau kuryāt
5.1.4.17	kūrcān hotrakāḥ samārohanti brahmā caudumbarīm āsandīm udgātā
5.1.4.18	yadi kasmaicid avaśyakarmaṇe jigamiṣed ādiśya pālaṃ prāṅ avaruhya caritvā tam artham evam evājapayāvṛtārohet
5.1.5.1	prastotāraṃ saṃśāsti pañcaviṃśasya stomasya tisṛṣv ardhatṛtīyāsv ardhatrayodaśāsu vā pariśiṣṭāsu prathamaṃ pratihāraṃ prabrūtād iti
5.1.5.2	ardhatrayodaśāsu pravācayateti jātūkarṇyaḥ
5.1.5.3	prokte japati suparṇo 'si garutmān premāṃ vācaṃ vadiṣyāmi bahu vadiṣyantīṃ bahu patiṣyantīṃ bahu kariṣyantīṃ bahu saniṣyantīṃ bahor bhūyaḥ kariṣyantīṃ svar gacchantīṃ svar vadiṣyantīṃ svaḥ patiṣyantīṃ svaḥ kariṣyantīṃ svaḥ saniṣyantīṃ svar imaṃ yajñaṃ vakṣyantīṃ svar māṃ yajamānaṃ vakṣyantīm iti
5.1.5.4	dīkṣite yajamānaśabdo nādīkṣite
5.1.5.5	svar amum iti yo 'sya priyaḥ syān na tu vakṣyantīm iti brūyāt
5.1.5.6	ukthavīryāṇi ca
5.1.5.7	saṃ prāṇo vācā sam ahaṃ vācā saṃ cakṣur manasā sam ahaṃ manasā saṃ śrotram ātmanā sam aham ātmanā mayi mahān mayi bhargo mayi bhago mayi bhujo mayi stobho mayi stomo mayi śloko mayi ghoṣo mayi yaśo mayi śrīr mayi kīrtir mayi bhuktir iti
5.1.5.8	āhūya vāg iti japati
5.1.5.9	traya āhāvāḥ śastrāder nividaḥ paridhānīyāyā iti
5.1.5.10	śabdān adhvaryavaḥ kārayanti
5.1.5.11	etasminn ahani prabhūtam annaṃ dadyāt
5.1.5.12	rājaputreṇa carma vyādhayanty āghnanti bhūmidundubhiṃ patnyaś ca kāṇḍavīṇā bhūtānāṃ ca maithunaṃ brahmacāripuṃścalyoḥ saṃpravādo 'nekena sāmnā niṣkevalyāya stuvate rājanastotriyeṇa pratipadyate
5.1.6.1	tad id āsa bhuvaneṣu jyeṣṭhaṃ tāṃ su te kīrtiṃ maghavan mahitvā bhūya id vāvṛdhe vīryāya
5.1.6.2	nṛṇām u tvā nṛtamaṃ gīrbhir ukthair iti tisraḥ
5.1.6.3	atra haike svādoḥ svādīyaḥ svādunā sṛjā sam adaḥ su madhu madhunābhi yodhīr ity ātmana ete pade uddhṛtya pakṣapade pratyavadadhāty aśvāyanto maghavann indra vājino gām aśvaṃ rathyam indra saṃ kirety etayoś ca sthāna itare
5.1.6.4	śriyam aha gor aśvam ātman dhatte saṃ pakṣayoḥ patanāya
