#Text:Baudhāyanadharmasūtra
#Edition:Hultzsch
#Notes:DCS version



1.1.1	upadiṣṭo dharmaḥ prativedam
2.2.40	yāvat sakṛd ādadīta tāvad aśnīyāt pūrvavat so 'tikṛcchraḥ
2.2.41	abbhakṣas tṛtīyaḥ sa kṛcchrātikṛcchraḥ
2.2.42	kṛcchre triṣavaṇam udakopasparśanam
2.2.43	adhaḥśayanam
2.2.44	ekavastratā keśaśmaśrulomanakhavāpanam
2.2.45	etad eva striyāḥ keśavapanavarjam / keśavapanavarjam
2.3.1	nityodakī nityayajñopavītī nityasvādhyāyī vṛṣalānnavarjī / ṛtau ca gacchan vidhivac ca juhvan na brāhmaṇaś cyavate brahmalokāt
2.3.2	manuḥ putrebhyo dāyaṃ vyabhajad iti śrutiḥ
2.3.3	samaśaḥ sarveṣām aviśeṣāt
2.3.4	varaṃ vā rūpam uddharej jyeṣṭhaḥ
2.3.5	tasmāj jyeṣṭhaṃ putraṃ dhanena niravasāyayantīti śrutiḥ
2.3.6	daśānāṃ vaikam uddharej jyeṣṭhaḥ
2.3.7	samam itare vibhajeran
2.3.8	pitur anumatyā dāyavibhāgaḥ sati pitari
2.3.9	caturṇāṃ varṇānāṃ goaśvājāvayo jyeṣṭhāṃśaḥ
2.3.10	nānāvarṇastrīputrasamavāye dāyaṃ daśāṃśān kṛtvā caturas trīn dvāv ekam iti yathākramaṃ vibhajeran
2.3.11	aurase tūtpanne savarṇās tṛtīyāṃśaharāḥ
2.3.12	savarṇāputrānantarāputrayor anantarāputraś ced guṇavān sa jyeṣṭhāṃśaṃ haret
2.3.13	guṇavān hi śeṣāṇāṃ bhartā bhavati
2.3.14	savarṇāyāṃ saṃskṛtāyāṃ svayamutpāditam aurasaṃ putraṃ vidyāt / athāpy udāharanti / aṅgād aṅgāt sambhavasi hṛdayād adhi jāyase / ātmā vai putranāmāsi sa jīva śaradaḥ śatam iti
2.3.15	abhyupagamya duhitari jātaṃ putrikāputram anyaṃ dauhitram
2.3.16	athāpy udāharanti / ādiśet prathame piṇḍe mātaraṃ putrikāsutaḥ / dvitīye pitaraṃ tasyās tṛtīye ca pitāmaham iti
2.3.17	mṛtasya prasūto yaḥ klībavyādhitayor vānyenānumate sve kṣetre sa kṣetrajaḥ
2.3.18	sa eṣa dvipitā dvigotraś ca dvayor api svadhārikthabhāg bhavati
2.3.19	athāpy udāharanti / dvipituḥ piṇḍadānaṃ syāt piṇḍe piṇḍe ca nāmanī / trayaś ca piṇḍāḥ ṣaṇṇāṃ syur evaṃ kurvan na muhyati
2.3.20	mātāpitṛbhyāṃ datto 'nyatareṇa vā yo 'patyārthe parigṛhyate sa dattaḥ
2.3.21	sadṛśaṃ yaṃ sakāmaṃ svayaṃ kuryāt sa kṛtrimaḥ
2.3.22	gṛhe gūḍhotpanno 'nte jñāto gūḍhajaḥ
2.3.23	mātāpitṛbhyām utsṛṣṭo 'nyatareṇa vā yo 'patyārthe parigṛhyate so 'paviddhaḥ
2.3.24	asaṃskṛtām anatisṛṣṭāṃ yām upagacchet tasyāṃ yo jātaḥ sa kānīnaḥ
2.3.25	yā garbhiṇī saṃskriyate vijñātā vāvijñātā vā tasyāṃ yo jātaḥ sa sahoḍhaḥ
2.3.26	mātāpitror hastāt krīto 'nyatareṇa vā yo 'patyārthe parigṛhyate sa krītaḥ
2.3.27	klībaṃ tyaktvā patitaṃ vā yānyaṃ patiṃ vindet tasyāṃ punarbhvāṃ yo jātaḥ sa paunarbhavaḥ
2.3.28	mātāpitṛvihīno yaḥ svayam ātmānaṃ dadyāt sa svayaṃdattaḥ
2.3.29	dvijātipravarācchūdrāyāṃ jāto niṣādaḥ
2.3.30	kāmāt pāraśava iti putrāḥ
2.3.31	athāpy udāharanti / aurasaṃ putrikāputraṃ kṣetrajaṃ dattakṛtrimau / gūḍhajaṃ cāpaviddhaṃ ca rikthabhājaḥ pracakṣate
2.3.32	kānīnaṃ ca sahoḍhaṃ ca krītaṃ paunarbhavaṃ tathā / svayaṃdattaṃ niṣādaṃ ca gotrabhājaḥ pracakṣate
2.3.33	teṣāṃ prathama evety āhaupajaṅghaniḥ
2.3.34	idānīm aham īrṣyāmi strīṇāṃ janaka no purā / yato yamasya sadane janayituḥ putram abruvan / retodhāḥ putraṃ nayati paretya yamasādane / tasmāt svabhāryāṃ rakṣantu bibhyataḥ pararetasaḥ
2.3.35	apramattā rakṣata tantum etaṃ mā vaḥ kṣetre parabījāni vāpsuḥ / janayituḥ putro bhavati sāṃparāye moghaṃ vettā kurute tantum etam iti
2.3.36	teṣām aprāptavyavahārāṇām aṃśān sopacayān suniguptān nidadhyur ā vyavahāraprāpaṇāt
2.3.37	atītavyavahārān grāsācchādanair bibhṛyuḥ
2.3.38	andhajaḍaklībavyasanivyādhitādīṃś ca
2.3.39	akarmiṇaḥ
2.3.40	patitatajjātavarjam
2.3.41	na patitaiḥ saṃvyavahāro vidyate
2.3.42	patitām api tu mātaraṃ bibhṛyād anabhibhāṣamāṇaḥ
2.3.43	mātur alaṃkāraṃ duhitaraḥ sāṃpradāyikaṃ labherann anyad vā
2.3.44	na striyāḥ svātantryaṃ vidyate
2.3.45	athāpy udāharanti / pitā rakṣati kaumāre bhartā rakṣati yauvane / putras tu sthavirībhāve na strī svātantryam arhatīti
2.3.46	nirindriyā hy adāyāś ca striyo matā iti śrutiḥ
2.3.47	bhartṛhite yatamānāḥ svargaṃ lokaṃ jayeran
2.3.48	vyatikrame kṛcchraḥ
2.3.49	śūdre cāndrāyaṇaṃ caret
2.3.50	vaiśyādiṣu pratilomaṃ kṛcchrātikṛcchrādīṃś caret
2.3.51	puṃsāṃ brāhmaṇādīnāṃ saṃvatsaraṃ brahmacaryam
2.3.52	śūdraṃ kaṭāgninā dahet
2.3.53	athāpy udāharanti
2.4.1	abrāhmaṇasya śārīro daṇḍaḥ saṃgrahaṇe bhavet
2.4.2	sarveṣām eva varṇānāṃ dārā rakṣyatamā dhanāt
2.4.3	na tu cāraṇadāreṣu na raṅgāvatāre vadhaḥ / saṃsarjayanti tā hy etān niguptāṃś cālayanty api
2.4.4	striyaḥ pavitram atulaṃ naitā duṣyanti karhicit / māsi māsi rajo hy āsāṃ duritāny apakarṣati
2.4.5	somaḥ śaucaṃ dadau tāsāṃ gandharvaḥ śikṣitāṃ giram / agniś ca sarvabhakṣatvaṃ tasmān niṣkalmaṣāḥ striyaḥ
2.4.6	aprajāṃ daśame varṣe strīprajāṃ dvādaśe tyajet / mṛtaprajāṃ pañcadaśe sadyas tv apriyavādinīm
2.4.7	saṃvatsaraṃ pretapatnī madhumāṃsamadyalavaṇāni varjayed adhaḥ śayīta
2.4.8	ṣaṇmāsān iti maudgalyaḥ
2.4.9	ata ūrdhvaṃ gurubhir anumatā devarāj janayet putram aputrā
2.4.10	athāpy udāharanti / vaśā cotpannaputrā ca nīrajaskā gataprajā / nākāmā saṃniyojyā syāt phalaṃ yasyāṃ na vidyata iti
2.4.11	mātulapitṛsvasā bhaginī bhāgineyī snuṣā mātulānī sakhivadhūr ity agamyāḥ
2.4.12	agamyānāṃ gamane kṛcchrātikṛcchrau cāndrāyaṇam iti prāyaścittiḥ
2.4.13	etena caṇḍālīvyavāyo vyākhyātaḥ
2.4.14	athāpy udāharanti / caṇḍālīṃ brāhmaṇo gatvā bhuktvā ca pratigṛhya ca / ajñānāt patito vipro jñānāt tu samatāṃ vrajet
2.4.15	pitur guror narendrasya bhāryāṃ gatvā pramādataḥ / gurutalpī bhavet tena pūrvoktas tasya niṣkraya iti
2.4.16	adhyāpanayājanapratigrahair aśaktaḥ kṣatradharmeṇa jīvet pratyanantaratvāt
2.4.17	neti gautamaḥ / atyugro hi kṣatradharmo brāhmaṇasya
2.4.18	athāpy udāharanti / gavārthe brāhmaṇārthe vā varṇānāṃ vāpi saṃkare / gṛhṇīyātāṃ vipraviśau śastraṃ dharmavyapekṣayā
2.4.19	vaiśyavṛttir anuṣṭheyā pratyanantaratvāt
2.4.20	prāk prātarāśāt karṣī syāt
2.4.21	asyūtanāsikābhyāṃ samuṣkābhyām atudann ārayā muhurmuhur abhyucchandayan
2.4.22	bhāryādir agniḥ / tasmin karmakaraṇaṃ prāg agnyādheyāt
2.4.23	agnyādheyaprabhṛty athemāny ajasrāṇi bhavanti yathaitad agnyādheyam agnihotraṃ darśapūrṇamāsāv āgrayaṇam udagayanadakṣiṇāyanayoḥ paśuś cāturmāsyāny ṛtumukhe ṣaḍḍhotā vasante jyotiṣṭoma ity evaṃ kṣemaprāpaṇam
2.4.24	athāpy udāharanti / na divāsvapnaśīlena na ca sarvānnabhojinā / kāmaṃ śakyaṃ nabho gantum ārūḍhapatitena vā
2.4.25	dainyaṃ śāṭhyaṃ jaihmyaṃ ca varjayet
2.4.26	athāpy atrośanasaś ca vṛṣaparvaṇaś ca duhitroḥ saṃvāde gāthām udāharanti / stuvato duhitā tvaṃ vai yācataḥ pratigṛhṇataḥ / athāhaṃ stūyamānasya dadato 'pratigṛhṇataḥ / dadato 'pratigṛhṇata iti
2.5.1	tapasyam apo'vagāhanam
2.5.2	devatās tarpayitvā pitṛtarpaṇam
2.5.3	anutīrtham apa utsiñcati / ūrjaṃ vahantīr iti
2.5.4	athāpy udāharanti / sravantīṣv aniruddhāsu trayo varṇā dvijātayaḥ / prātarutthāya kurvīran devarṣipitṛtarpaṇam
2.5.5	niruddhāsu na kurvīrann aṃśabhāk tatra setukṛt
2.5.6	tasmāt parakṛtān setūn kūpāṃś ca parivarjayed iti
2.5.7	athāpy udāharanti / uddhṛtya vāpi trīn piṇḍān kuryād āpatsu no sadā / niruddhāsu tu mṛtpiṇḍān kūpāt trīn abghaṭāṃs tatheti
2.5.8	bahupratigrāhyasyāpratigrāhyasya vā pratigṛhyāyājyaṃ vā yājayitvānāśyānnasya vānnam aśitvā taratsamandīyaṃ japed iti
2.5.9	athāpy udāharanti / gurusaṃkariṇaś caiva śiṣyasaṃkariṇaś ca ye / āhāramantrasaṃkīrṇā dīrghaṃ tama upāsata iti
2.5.10	atha snātakavratāni
2.5.11	sāyaṃ prātar yad aśanīyaṃ syāt tenānnena vaiśvadevaṃ balim upahṛtya brāhmaṇakṣatriyaviṭśūdrān abhyāgatān yathāśakti pūjayet
2.5.12	yadi bahūnāṃ na śaknuyād ekasmai guṇavate dadyāt
2.5.13	yo vā prathamam upagataḥ syāt
2.5.14	śūdraś ced āgatas taṃ karmaṇi niyuñjyāt
2.5.15	śrotriyāya vāgraṃ dadyāt
2.5.16	ye nityā bhāktikāḥ syus teṣām anuparodhena saṃvibhāgo vihitaḥ
2.5.17	na tv eva kadācid adattvā bhuñjīta
2.5.18	athāpy atrānnagītau ślokāv udāharanti / yo mām adattvā pitṛdevatābhyo bhṛtyātithīnāṃ ca suhṛjjanasya / sampannam aśnan viṣam atti mohāt tam admy ahaṃ tasya ca mṛtyur asmi / hutāgnihotraḥ kṛtavaiśvadevaḥ pūjyātithīn bhṛtyajanāvaśiṣṭam / tuṣṭaḥ śuciḥ śraddadhad atti yo māṃ tasyāmṛtaṃ syāṃ sa ca māṃ bhunakti
2.5.19	subrāhmaṇaśrotriyavedapāragebhyo gurvarthaniveśauṣadhārthavṛttikṣīṇayakṣyamāṇādhyayanādhvasaṃyogavaiśvajiteṣu dravyasaṃvibhāgo yathāśakti kāryo bahirvedi bhikṣamāṇeṣu
2.5.20	kṛtānnam itareṣu
2.5.21	suprakṣālitapādapāṇir ācāntaḥ śucau saṃvṛte deśe 'nnam upahṛtam upasaṃgṛhya kāmakrodhadrohalobhamohān apahatya sarvābhir aṅgulībhiḥ śabdam akurvan prāśnīyāt
2.6.1	na piṇḍaśeṣaṃ pātryām utsṛjet
2.6.2	māṃsamatsyatilasaṃsṛṣṭaprāśane 'pa upaspṛśyāgnim abhimṛśet
2.6.3	astamite ca snānam
2.6.4	pālāśam āsanaṃ pāduke dantadhāvanam iti varjayet
2.6.5	notsaṅge 'nnaṃ bhakṣayet
2.6.6	āsandyāṃ na bhuñjīta
2.6.7	vaiṇavaṃ daṇḍaṃ dhārayed rukmakuṇḍale ca
2.6.8	padā pādasya prakṣālanam adhiṣṭhānaṃ ca varjayet
2.6.9	na bahirmālāṃ dhārayet
2.6.10	sūryam udayāstamaye na nirīkṣeta
2.6.11	nendradhanur iti parasmai prabrūyāt
2.6.12	yadi brūyān maṇidhanur ity eva brūyāt
2.6.13	puradvārīndrakīlaparighāv antareṇa nātīyāt
2.6.14	pleṅkhayor antareṇa na gacchet
2.6.15	vatsatantīṃ ca nopari gacchet
2.6.16	bhasmāsthiromatuṣakapālāpasnānāni nādhitiṣṭhet
2.6.17	gāṃ dhayantīṃ na parasmai prabrūyāt
2.6.18	nādhenum adhenur iti brūyāt
2.6.19	yadi brūyād dhenuṃ bhavyety eva brūyāt
2.6.20	śuktā rūkṣāḥ paruṣā vāco na brūyāt
2.6.21	naiko 'dhvānaṃ vrajet
2.6.22	na patitair na striyā na śūdreṇa
2.6.23	na pratisāyaṃ vrajet
2.6.24	na nagnaḥ snāyāt
2.6.25	na naktaṃ snāyāt
2.6.26	na nadīṃ bāhukas taret
2.6.27	na kūpam avekṣeta
2.6.28	na gartam avekṣeta
2.6.29	na tatropaviśed yata enam anya utthāpayet
2.6.30	panthā deyo brāhmaṇāya gave rājñe hy acakṣuṣe / vṛddhāya bhārataptāya garbhiṇyai durbalāya ca
2.6.31	prabhūtaidhodakayavasasamitkuśamālyopaniṣkramaṇam āḍhyajanākulam analasasamṛddham āryajanabhūyiṣṭham adasyupraveśyaṃ grāmam āvasituṃ yateta dhārmikaḥ
2.6.32	udapānodake grāme brāhmaṇo vṛṣalīpatiḥ / uṣitvā dvādaśa samāḥ śūdrasādharmyam ṛcchati
2.6.33	purareṇukuṇṭhitaśarīras tatparipūrṇanetravadanaś ca / nagare vasan suniyatātmā siddhim avāpsyatīti na tad asti
2.6.34	rathāśvagajadhānyānāṃ gavāṃ caiva rajaḥ śubham / apraśastaṃ samūhanyāḥ śvājāvikharavāsasām
2.6.35	pūjyān pūjayet
2.6.36	ṛṣividvannṛpavaramātulaśvaśuraṛtvijaḥ / ete 'rghyāḥ śāstravihitāḥ smṛtāḥ kālavibhāgaśaḥ
2.6.37	ṛṣividvannṛpāḥ prāptāḥ kriyārambhe varartvijau / mātulaśvaśurau pūjyau saṃvatsaragatāgatāv iti
2.6.38	agnyagāre gavāṃ madhye brāhmaṇānāṃ ca saṃnidhau / svādhyāye bhojane caiva dakṣiṇaṃ bāhum uddharet
2.6.39	uttaraṃ vāsaḥ kartavyaṃ pañcasv eteṣu karmasu / svādhyāyotsargadāneṣu bhojanācāmayos tathā
2.6.40	havanaṃ bhojanaṃ dānam upahāraḥ pratigrahaḥ / bahirjānu na kāryāṇi tadvad ācamanaṃ smṛtam
2.6.41	anne śritāni bhūtāni annaṃ prāṇam iti śrutiḥ / tasmād annaṃ pradātavyam annaṃ hi paramaṃ haviḥ
2.6.42	hutena śāmyate pāpaṃ hutam annena śāmyati / annaṃ dakṣiṇayā śāntim upayātīti naḥ śrutiḥ / upayātīti naḥ śrutir iti
2.7.1	athātaḥ saṃdhyopāsanavidhiṃ vyākhyāsyāmaḥ
2.7.2	tīrthaṃ gatvāprayato 'bhiṣiktaḥ prayato vānabhiṣiktaḥ prakṣālitapādapāṇir apa ācamya surabhimatyābliṅgābhir vāruṇībhir hiraṇyavarṇābhiḥ pāvamānībhir vyāhṛtibhir anyaiś ca pavitrair ātmānaṃ prokṣya prayato bhavati
2.7.3	athāpy udāharanti / apo'vagāhanaṃ snānaṃ vihitaṃ sārvavarṇikam / mantravatprokṣaṇaṃ cāpi dvijātīnāṃ viśiṣyata iti
2.7.4	sarvakarmaṇāṃ caivārambheṣu prāk saṃdhyopāsanakālāc caitenaiva pavitrasamūhenātmānaṃ prokṣya prayato bhavati
2.7.5	athāpy udāharanti / darbheṣv āsīno darbhān dhārayamāṇaḥ sodakena pāṇinā pratyaṅmukhaḥ sāvitrīṃ sahasrakṛtva āvartayet
2.7.6	prāṇāyāmaśo vā śatakṛtvaḥ
2.7.7	ubhayataḥpraṇavāṃ sasaptavyāhṛtikāṃ manasā vā daśakṛtvaḥ
2.7.8	tribhiś ca prāṇāyāmais tānto brahmahṛdayena
2.7.9	vāruṇībhyāṃ rātrim upatiṣṭhate / imaṃ me varuṇa / tat tvā yāmīti / dvābhyām
2.7.10	evam eva prātaḥ prāṅmukhas tiṣṭhan
2.7.11	maitrībhyām ahar upatiṣṭhate / mitrasya carṣaṇīdhṛtaḥ / mitro janān yātayatīti / dvābhyām
2.7.12	supūrvām api pūrvām upakramyodita āditye samāpnuyāt
2.7.13	anastamita upakramya supaścād api paścimām
2.7.14	saṃdhyayoś ca saṃpattāv ahorātrayoś ca saṃtatyai
2.7.15	api cātra prajāpatigītau ślokau bhavataḥ / anāgatāṃ tu ye pūrvām anatītāṃ tu paścimām / saṃdhyāṃ nopāsate viprāḥ kathaṃ te brāhmaṇāḥ smṛtāḥ / sāyaṃ prātaḥ sadā saṃdhyāṃ ye viprā no upāsate / kāmaṃ tān dhārmiko rājā śūdrakarmasu yojayed iti
2.7.16	tatra sāyamatikrame rātryupavāsaḥ prātaratikrame 'harupavāsaḥ
2.7.17	sthānāsanaphalam avāpnoti
2.7.18	athāpy udāharanti / yad upasthakṛtaṃ pāpaṃ padbhyāṃ vā yat kṛtaṃ bhavet / bāhubhyāṃ manasā vāpi vācā vā yat kṛtaṃ bhavet / sāyaṃ saṃdhyām upasthāya tena tasmāt pramucyate
2.7.19	rātryā cāpi saṃdhīyate na cainaṃ varuṇo gṛhṇāti
2.7.20	evam eva prātar upasthāya rātrikṛtāt pāpāt pramucyate
2.7.21	ahnā cāpi saṃdhīyate mitraś cainaṃ gopāyaty ādityaś cainaṃ svargaṃ lokam unnayati
2.7.22	sa evam evāharahar ahorātrayoḥ saṃdhiṣūpatiṣṭhamāno brahmapūto brahmabhūto brāhmaṇaḥ śāstram anuvartamāno brahmalokam abhijayatīti vijñāyate / brahmalokam abhijayatīti vijñāyate
2.8.1	atha hastau prakṣālya kamaṇḍaluṃ mṛtpiṇḍaṃ ca saṃgṛhya tīrthaṃ gatvā triḥ pādau prakṣālayate trir ātmānaṃ
2.8.2	atha haike bruvate / śmaśānam āpo devagṛhaṃ goṣṭhaṃ yatra ca brāhmaṇā aprakṣālya pādau tan na praveṣṭavyam iti
2.8.3	athāpo 'bhiprapadyate / hiraṇyaśṛṅgaṃ varuṇaṃ prapadye tīrthaṃ me dehi yācitaḥ / yan mayā bhuktam asādhūnāṃ pāpebhyaś ca pratigrahaḥ / yan me manasā vācā karmaṇā vā duṣkṛtaṃ kṛtam / tan na indro varuṇo bṛhaspatiḥ savitā ca punantu punaḥpunar iti
2.8.4	athāñjalināpa upahanti / sumitrā na āpa oṣadhayaḥ santv iti
2.8.5	tāṃ diśaṃ nirukṣati yasyām asya diśi dveṣyo bhavati / durmitrās tasmai bhūyāsur yo 'smān dveṣṭi yaṃ ca vayaṃ dviṣma iti
2.8.6	athāpa upaspṛśya triḥ pradakṣiṇam udakam āvartayati / yad apāṃ krūraṃ yad amedhyaṃ yad aśāntaṃ tad apagacchatād iti
2.8.7	apsu nimajjyonmajjya
2.8.8	nāpsu sataḥ prayamaṇaṃ vidyate na vāsaḥpalpūlanaṃ nopasparśanam
2.8.9	yady uparuddhāḥ syur etenopatiṣṭhate / namo 'gnaye 'psumate nama indrāya namo varuṇāya namo vāruṇyai namo 'dbhya iti
2.8.10	uttīryācamyācāntaḥ punar ācāmet / āpaḥ punantu pṛthivīṃ pṛthivī pūtā punātu mām / punantu brahmaṇaspatir brahma pūtā punātu mām / yad ucchiṣṭam abhojyaṃ yad vā duścaritaṃ mama / sarvaṃ punantu mām āpo 'satāṃ ca pratigrahaṃ svāheti
2.8.11	pavitre kṛtvādbhir mārjayati / āpo hi ṣṭhā mayobhuva iti tisṛbhiḥ / hiraṇyavarṇāḥ śucayaḥ pāvakā iti catasṛbhiḥ / pavamānaḥ suvarjana iti / etenānuvākena mārjayitvāntarjalagato 'ghamarṣaṇena trīn prāṇāyāmān dhārayitvottīrya vāsaḥ pīḍayitvā prakṣālitopavātāny akliṣṭāni vāsāṃsi paridhāyāpa ācamya darbheṣv āsīno darbhān dhārayamāṇaḥ prāṅmukhaḥ sāvitrīṃ sahasrakṛtva āvartayecchatakṛtvo 'parimitakṛtvo vā daśāvaram
2.8.12	athādityam upatiṣṭhate / ud vayaṃ tamasas pari / ud u tyam / citram / tac cakṣur devahitam / ya udagād iti
2.8.13	athāpy udāharanti / praṇavo vyāhṛtayaḥ sāvitrī cety ete pañca brahmayajñā aharahar brāhmaṇaṃ kilbiṣāt pāvayanti
2.8.14	pūtaḥ pañcabhir brahmayajñair athottaraṃ devatās tarpayati
2.9.1	om agniḥ prajāpatiḥ somo rudro 'ditir bṛhaspatiḥ sarpā ity etāni prāgdvārāṇi daivatāni sanakṣatrāṇi sagrahāṇi sāhorātrāṇi samuhūrtāni tarpayāmi / oṃ vasūṃś ca tarpayāmi
2.9.2	oṃ pitaro 'ryamā bhagaḥ savitā tvaṣṭā vāyur indrāgnī ity etāni dakṣiṇadvārāṇi daivatāni sanakṣatrāṇi sagrahāṇi sāhorātrāṇi samuhūrtāni tarpayāmi / oṃ rudrāṃś ca tarpayāmi
2.9.3	oṃ mitra indro mahāpitara āpo viśve devā brahmā viṣṇur ity etāni pratyagdvārāṇi daivatāni sanakṣatrāṇi sagrahāṇi sāhorātrāṇi samuhūrtāni tarpayāmi / om ādityāṃś ca tarpayāmi
2.9.4	oṃ vasavo varuṇo 'ja ekapād ahirbudhnyaḥ pūṣāśvinau yama ity etāny udagdvārāṇi daivatāni sanakṣatrāṇi sagrahāṇi sāhorātrāṇi samuhūrtāni tarpayāmi / oṃ viśvān devāṃs tarpayāmi / oṃ sādhyāṃś ca tarpayāmi
2.9.5	oṃ brahmāṇaṃ tarpayāmi / oṃ prajāpatiṃ tarpayāmi / oṃ caturmukhaṃ tarpayāmi / oṃ parameṣṭhinaṃ tarpayāmi / oṃ hiraṇyagarbhaṃ tarpayāmi / oṃ svayaṃbhuvaṃ tarpayāmi / oṃ brahmapārṣadāṃs tarpayāmi / oṃ brahmapārṣadīś ca tarpayāmi / om agniṃ tarpayāmi / oṃ vāyuṃ tarpayāmi / oṃ varuṇaṃ tarpayāmi / oṃ sūryaṃ tarpayāmi / oṃ candramasaṃ tarpayāmi / oṃ nakṣatrāṇi tarpayāmi / oṃ sadyojātaṃ tarpayāmi / oṃ bhūḥ puruṣaṃ tarpayāmi / oṃ bhuvaḥ puruṣaṃ tarpayāmi / oṃ suvaḥ puruṣaṃ tarpayāmi / oṃ bhūr bhuvaḥ suvaḥ puruṣaṃ tarpayāmi / oṃ bhūs tarpayāmi / oṃ bhuvas tarpayāmi / oṃ suvas tarpayāmi / oṃ mahas tarpayāmi / oṃ janas tarpayāmi / oṃ tapas tarpayāmi / oṃ satyaṃ tarpayāmi
2.9.6	oṃ bhavaṃ devaṃ tarpayāmi / oṃ śarvaṃ devam tarpayāmi / om īśānaṃ devaṃ tarpayāmi / oṃ paśupatiṃ devaṃ tarpayāmi / oṃ rudraṃ devaṃ tarpayāmi / om ugraṃ devaṃ tarpayāmi / oṃ bhīmaṃ devaṃ tarpayāmi / oṃ mahantaṃ devaṃ tarpayāmi / oṃ bhavasya devasya patnīṃ tarpayāmi / oṃ śarvasya devasya patnīṃ tarpayāmi / om īśānasya devasya patnīṃ tarpayāmi / oṃ paśupater devasya patnīṃ tarpayāmi / oṃ rudrasya devasya patnīṃ tarpayāmi / om ugrasya devasya patnīṃ tarpayāmi / oṃ bhīmasya devasya patnīṃ tarpayāmi / oṃ mahato devasya patnīṃ tarpayāmi / oṃ bhavasya devasya sutaṃ tarpayāmi / oṃ śarvasya devasya sutaṃ tarpayāmi / om īśānasya devasya sutaṃ tarpayāmi / oṃ paśupater devasya sutaṃ tarpayāmi / oṃ rudrasya devasya sutaṃ tarpayāmi / om ugrasya devasya sutaṃ tarpayāmi / oṃ bhīmasya devasya sutaṃ tarpayāmi / oṃ mahato devasya sutaṃ tarpayāmi / oṃ rudrāṃs tarpayāmi / oṃ rudrapārṣadāṃs tarpayāmi / oṃ rudrapārṣadīś ca tarpayāmi
2.9.7	oṃ vighnaṃ tarpayāmi / oṃ vināyakaṃ tarpayāmi / oṃ vīraṃ tarpayāmi / oṃ sthūlaṃ tarpayāmi / oṃ varadaṃ tarpayāmi / oṃ hastimukhaṃ tarpayāmi / oṃ vakratuṇḍaṃ tarpayāmi / om ekadantaṃ tarpayāmi / oṃ lambodaraṃ tarpayāmi / oṃ vighnapārṣadāṃs tarpayāmi / oṃ vighnapārṣadīś ca tarpayāmi
2.9.8	oṃ sanatkumāraṃ tarpayāmi / oṃ skandaṃ tarpayāmi / om indraṃ tarpayāmi / oṃ ṣaṣṭhīṃ tarpayāmi / oṃ ṣaṇmukhaṃ tarpayāmi / oṃ jayantaṃ viśākhaṃ tarpayāmi / oṃ mahāsenaṃ tarpayāmi / oṃ subrahmaṇyaṃ tarpayāmi / oṃ skandapārṣadāṃs tarpayāmi / oṃ skandapārṣadīś ca tarpayāmi
2.9.9	om ādityaṃ tarpayāmi / oṃ somaṃ tarpayāmi / om aṅgārakaṃ tarpayāmi / oṃ budhaṃ tarpayāmi / oṃ bṛhaspatiṃ tarpayāmi / oṃ śukraṃ tarpayāmi / oṃ śanaiścaraṃ tarpayāmi / oṃ rāhuṃ tarpayāmi / oṃ ketuṃ tarpayāmi
2.9.10	oṃ keśavaṃ tarpayāmi / oṃ nārāyaṇaṃ tarpayāmi / oṃ mādhavaṃ tarpayāmi / oṃ govindaṃ tarpayāmi / oṃ viṣṇuṃ tarpayāmi / oṃ madhusūdanaṃ tarpayāmi / oṃ trivikramaṃ tarpayāmi / oṃ vāmanaṃ tarpayāmi / oṃ śrīdharaṃ tarpayāmi / oṃ hṛṣīkeśaṃ tarpayāmi / oṃ padmanābhaṃ tarpayāmi / oṃ dāmodaram tarpayāmi / oṃ śriyaṃ devīṃ tarpayāmi / oṃ sarasvatīṃ devīṃ tarpayāmi / oṃ puṣṭiṃ tarpayāmi / oṃ tuṣṭiṃ tarpayāmi / oṃ garutmantaṃ tarpayāmi / oṃ viṣṇupārṣadāṃs tarpayāmi / oṃ viṣṇupārṣadīś ca tarpayāmi
2.9.11	oṃ yamaṃ tarpayāmi / oṃ yamarājaṃ tarpayāmi / oṃ dharmaṃ tarpayāmi / oṃ dharmarājaṃ tarpayāmi / oṃ kālaṃ tarpayāmi / oṃ nīlaṃ tarpayāmi / oṃ mṛtyuṃ tarpayāmi / oṃ vaivasvataṃ tarpayāmi / oṃ citraṃ tarpayāmi / oṃ citraguptaṃ tarpayāmi / om audumbaraṃ tarpayāmi / oṃ vaivasvatapārṣadāṃs tarpayāmi / oṃ vaivasvatapārṣadīś ca tarpayāmi
2.9.12	oṃ bhūmidevāṃs tarpayāmi / oṃ kāśyapam tarpayāmi / om antarikṣaṃ tarpayāmi / oṃ vidyāṃ tarpayāmi / oṃ dhanvantariṃ tarpayāmi / oṃ dhanvantaripārṣadāṃs tarpayāmi / oṃ dhanvantaripārṣadīś ca tarpayāmīti
2.9.13	atha nivītī
