#Text:Bhāradvājaśrautasūtra
#Edition:Kashikar
#Data entry:F. Voegeli
#Notes:Sandhis around Mantras restored. 13.13ff. digitized and proofread by O. Hellwig.



1.1.1	darśapūrṇamāsau vyākhyāsyāmaḥ
8.12.3	sākaṃ raśmibhiḥ pracarantīty ekeṣām
8.12.4	siddham iṣṭiḥ saṃtiṣṭhate
8.12.5	marudbhyaḥ sāṃtapanebhyo madhyaṃdine carum
8.12.6	siddham iṣṭiḥ saṃtiṣṭhate
8.12.7	gṛhamedhīyasya tantraṃ prakramayati
8.12.8	samānam ā vatsānām apākaraṇāt
8.12.9	ayajuṣkeṇa gṛhamedhīyāya sarvān vatsān apākaroti
8.12.10	vedaṃ kṛtvā vediṃ karoti
8.12.11	nātredhmabarhir bhavati / na praṇītāḥ praṇayati
8.12.12	agnīn paristīrya hastāv avanijya pātrāṇi prayujyolaparājīḥ stīrtvā pavitre kṛtvā saṃpreṣyati yajamāna vācaṃ yaccheti
8.12.13	vāgyataḥ pātrāṇi saṃmṛśati
8.12.14	marudbhyo gṛhamedhibhyaḥ sarvāsāṃ dugdhe sāyaṃ carum
8.12.15	pavitre sarvā gā dohayitvānutpūte payasy anutpūya taṇḍulān āvapati
8.12.16	gārhapatye vānvāhāryapacane vā prativeśam odanaṃ pacati
8.12.17	tata uttaraṃ parigrāhaṃ parigṛhṇāti
8.12.18	samānam ā saṃpraiṣāt
8.12.19	nātredhmāgarhiḥ pracodayati
8.12.20	samānam ājyānāṃ grahaṇāt
8.12.21	dhruvāyām eva gṛhṇāti
8.12.22	prokṣaṇīr abhimantrya brahmāṇam āmantrya vediṃ prokṣya prokṣaṇyavaśeṣaṃ ninīyāgnim abhimantryāntarvedi dhruvāṃ sādayitvā sruvaṃ sādayati / eṣāsadad iti mantraṃ saṃnamati
8.12.23	viṣṇv asi vaiṣṇavaṃ dhāmāsi prājāpatyam ity ājyam abhimantrayate
8.12.24	tasyai na prastaraṃ praharati / evaṃ stīrṇa eva sāṃtapanasya barhiṣi gṛhamedhīyena carantīty ekeṣām
8.13.1	athaitaṃ carum udvāsya tasya śaraṃ prajñātaṃ nidhāya trīn odanān uddharati
8.13.2	aniṣkāsitāṃ kumbhīṃ nidadhāti / apramṛṣṭaṃ ca darvyudāyuvanam
8.13.3	uddhṛtān odanān paccho gāyatryotpūyālaṃkṛtyāsādayati
8.13.4	niśāyāṃ gṛhamedhīyena caranti
8.13.5	nātra sāmidhenyo bhavanti nāghārau na prayājāḥ
8.13.6	vedenāhavanīyam upakṣipya saṃpreṣyaty agnīd agniṃ triḥ saṃmṛḍḍhīti
8.13.7	agnim evāgnīdhras triḥ saṃmārṣṭi
8.13.8	pravaraṃ pravṛtyājyabhāgābhyāṃ pracarya saṃpreṣyati marudbhyo gṛhamedhibhyo 'nubrūhīti
8.13.9	juhvām upastīrya sarveṣām odanānāṃ dvir dviś caturavadānasyāvadyati tris triḥ pañcāvadānasya
8.13.10	abhighāryātyākramyāśrāvyāha maruto gṛhamedhino yajeti
8.13.11	vaṣaṭkṛte juhoti
8.13.12	sarveṣām odanānāṃ sviṣṭakṛṭe sakṛtsakṛd avadyati
8.13.13	sarveṣām iḍām upahūya tām iḍāṃ prāśnanty ṛtvijaḥ
8.13.14	amātyebhya odanān upaharanti yāvanto havir ucchiṣṭāśā bhavanti
8.13.15	ato 'nye 'pi prāśnīyur yadi prabhūta odanaḥ syāt
8.13.16	prativeśāt patny aśnāti gṛhamedhīyād vā
8.13.17	iḍānto gṛhamedhīyaḥ saṃtiṣṭhate
8.13.18	āñjate 'bhyañjate
8.13.19	anu vatsān vāsayanti
8.13.20	suhitā etāṃ rātriṃ vasanti pratītā anavartimukhinaḥ
8.13.21	prativeśā api pacante
8.13.22	gā abhighnate
8.14.1	kraiḍinasya tantraṃ prakramayati
8.14.2	parācīnarātre 'gnihotryāś cābhivanyāyāś ca vatsau badhnanti
8.14.3	purā prātar agnihotrāt pūrṇadarvyeṇa caranti
8.14.4	darvyām upastīrya śaraniṣkāsasya darvīṃ pūrayitvāpramṛṣṭaṃ ca darvyudāyuvanam anvavadadhāti
8.14.5	abhighārya gārhapatye juhoti
8.14.6	pūrṇā darvi parā patety etām anudrutyottarayā juhoti
8.14.7	ṛṣabham āhūyarṣabhasya ravate juhoti
8.14.8	yady ṛṣabho na rūyād brahmā brūyāj juhudhīti
8.14.9	yasya ravate juhoti taṃ brahmaṇe dadāti
8.14.10	marudbhyaḥ krīḍibhyaḥ puroḍāśaṃ saptakapalaṃ nirvapati sakaṃ sūryeṇodyatā
8.14.11	sākaṃ raśmighiḥ pracarantīty ekeṣām
8.14.12	siddham iṣṭiḥ saṃtiṣṭhate
8.14.13	udita āditye 'bhivānyāṃ dohayitvā marudbhyaḥ svatavadbhyaḥ puroḍāśaṃ saptakapālaṃ nirvapati
8.14.14	siddham iṣṭiḥ saṃtiṣṭhate
8.14.15	mahāhaviṣāṃ tantraṃ prakramayati
8.14.16	teṣāṃ varuṇapraghāsaiḥ kalpo vyākhyāto 'nyatrāvabhṛthāt
8.15.1	āmikṣayor dakṣiṇād vihārād iti
8.15.2	samānam ā nirvapaṇāt
8.15.3	āgneyam aṣṭākapālam iti nityāni pañca saṃcarāṇi nurpyaindrāgnam ekādaśakapālam aindraṃ caruṃ vaiśvakarmaṇam ekakapālam iti
8.15.4	samānam ā srucyād āghārāt
8.15.5	agne ver hotraṃ ver dūtyam // ūrdhvo adhvarāyāsthāt // avatāṃ tvā dyāvāpṛthivī yajñe asmin // ava tvaṃ dyāvāpṛthivī yajñe asmin // sviṣṭakṛd indrāya devebhyo bhava // juṣāṇo asya haviṣo ghṛtasya vīhi svāheti srucyam āghāram āghārayati
8.15.6	ekakapālasyāvṛṭaikakapālaṃ hutvottaraiś caturbhir māsanāmabhir abhijuhoti sahase svāhā // sahasyāya svāhā // tapase svāhā // tapasyāya svāheti
8.15.7	idāvatsarīṇāṃ svastim āśāsa itīḍāyā āśīḥṣu yajamāno japati
8.15.8	prathamajo vatso dakṣiṇā
8.15.9	idāvatsarīṇāṃ svastim āśāsta iti sūktavāke hotāśaste
8.15.10	siddham iṣṭiḥ saṃtiṣṭhate
8.16.1	pitṛyajñasya tantraṃ prakramayati
8.16.2	dakṣiṇapūrveṇānvāhāryapacanaṃ yajamānamātrīṃ catuḥsraktiṃ vediṃ karoti
8.16.3	tasyā dikṣu sraktayo bhavanty avāntaradeśeṣu madhyāni
8.16.4	athaināṃ sarvataḥ pariśrityottarāṃ sraktiṃ prati dvāraṃ karoti
8.16.5	uddhanāntāṃ kṛtvānvāhāryapacanād agnim āhṛtya madhyataḥ samādadhāti
8.16.6	eṣa etasmiṃs tantra āhavanīyo bhavati
8.16.7	tatra ye devapravādā mantrā ubhayavat te saṃnabhyeran devānāṃ pitṝṇāṃ pariṣūtam asi // karmaṇe vāṃ devebhyaḥ pitṛbhyaḥ śakeyam iti
8.16.8	yathāprakṛty eva varterann ity aparam
8.16.9	samānam ā barhiṣa āharaṇāt
8.16.10	samūlaṃ barhir dāty upamūlaṃ vā
8.16.11	drāghīyān idhma idhmād bhavati drādhīyo barhiṣo barhiḥ
8.16.12	samānam ā nirvapaṇāt
8.16.13	dakṣiṇataḥ śakaṭāt prācīnāvītī nirvapaty uttarato vā yajñopavītī
8.16.14	somāya pitṛmate puroḍāśaṃ ṣaṭkapālaṃ nirvapati pitṛbhyo barhiṣadbhyo dhānāḥ pitṛbhyo 'gniṣvāttebhyo 'bhivānyāyai dugdhe mantham
8.16.15	yavamayāny etāni havīṃṣi bhavanti
8.16.16	prokṣaṇyudrekeṇa yavān ārdrān kṛtvāvahanti
8.16.17	samānam ā phalikaraṇāt
8.17.1	phalīkṛtāṃs taṇḍulāṃs traidhaṃ vibhajyānvāhāryapacane bharjanārthaṃ kapālam upadhāya tasmiṃs tṛtīyaṃ taṇḍulānāṃ dhānā bharjanti
8.17.2	vyākhyātaḥ saṃskāraḥ
8.17.3	piṣṭānām āvṛtā dhānāḥ piṃṣanti
8.17.4	samānam ā kapālopadhānāt
8.17.5	dakṣiṇārdhe gārhapatyasya ṣaṭ kapālāny upadhāyānvāhāryapacane dhānārthaṃ kapālam upadadhāti
8.17.6	nānāpātreṣu havīṃṣi saṃvapati
8.17.7	utpunāti
8.17.8	piṣṭeṣv apa ānīyābhivānyāyai dugdhe mantham ānayati
8.17.9	ardhapātraṃ karoti
8.17.10	piṣṭāni saṃyutyekṣuśalākayā manthaṃ prasavyaṃ dakṣiṇābhimukho 'nanvārabhāṇa upamanthati
8.17.11	śalākāsthaṃ karoti
8.17.12	puroḍāśam adhiśrityānvāhāryapacane dhānā bharjanti
8.17.13	tā atraiva vidyamānāḥ pariśerat ā haviṣām udvāsanāt
8.17.14	tata uttaraṃ parigrāhaṃ parigṛhṇāti
8.17.15	samānam ājyāṇāṃ grahaṇāt
8.17.16	dakṣiṇārdhe gārhapatyasyājyāni gṛhṇāti
8.17.17	sarvāṇi caturgṛhītāni
8.17.18	tāny atraiva pariśerata ā haviṣām āsādanāt
8.17.19	samānam ā barhiṣaḥ staraṇāt
8.17.20	agne barhir gṛhītvā prasavyam agniṃ triḥ stṛṇan paryeti
8.17.21	trir astṛṇan pratiparyety ayā viṣṭhā janayan karvarāṇīty ūrdhvaṃ dhārayamāṇaḥ
8.17.22	sa prastaro bhavati
8.18.1	dvau paridhī paridadhāti madhyamaṃ caiva dakṣiṇārdhyaṃ ca
8.18.2	nātra vidhṛtī bhavataḥ
8.18.3	tūṣṇīm eva prastaraṃ nyasyati
8.18.4	ekaikaśa ājyāni havīṃṣītyāsādayanti
8.18.5	agnim agre haranty athodakumbham ājyāny atha havīṃṣi
8.18.6	ekaikam alaṃkaroti vā / eṣām eṣa pariveṣa ity ekeṣām
8.18.7	dakṣiṇataḥ kaśipūpabarhaṇam ājñanam abhyañjanam ity ekaikaśa āsādya visrasya prācīnāvītāni yajñopavītāni kurvate
8.18.8	tataḥ saṃpreṣyaty agnaye devebhyaḥ pitṛbhyaḥ samidhyamānāyānubrūhīti
8.18.9	uśantas tvā havāmaha ity etāṃ sāmidhenīṃ trir anvāha
8.18.10	sakṛd evedhmam ādadhāti traidhaṃ vā vibhajya
8.18.11	sruvāghāram āghārya saṃpreṣyaty agnīt paridhī cāgniṃ ca tris triḥ saṃmṛḍḍhīti
8.18.12	samānam ā pravarāt
8.18.13	āśrāvyāha sīda hota iti
8.18.14	etāvān pravaraḥ
8.18.15	nārṣeyaṃ vṛṇīte na hotāram
8.18.16	apabarhiṣaś caturaḥ prayājān yajati
8.18.17	ājyabhāgābhyāṃ pracarya visrasya yajñopavītāni prācīnāvītāni kurvate
8.18.18	atraike pariśrayaṇaṃ samāmananti
8.18.19	vipariharanty ājyāni vipariharanti havīṃṣi viparikrāmanty ṛtvijaḥ
8.18.20	dakṣiṇena juhūm upabhṛtaṃ sādayati dakṣiṇenopabhṛtaṃ dhruvām / dakṣiṇena puroḍāśaṃ dhānāḥ sādayati dakṣiṇena dhānā mantham
8.18.21	samān atra juhūr bhavati samān atra puroḍāśaḥ samān atra brahmā yajamānaś ca
8.19.1	tataḥ saṃpreṣyati somāya pitṛmate 'nu svadheti
8.19.2	juhvām upastīrya sarveṣāṃ haviṣāṃ saha sviṣṭakṛtā dvedve puronuvākye anvāhobhe sapraṇave
8.19.3	ṣaḍ avattaṃ pañcāvattinām avadyati pañcāvattaṃ catur avattinām
8.19.4	ṣaḍavatte mukhyān mukhyādd haviṣo dvir avadyati
8.19.5	puroḍāśasyāvadāya dhānānām avadyati
8.19.6	evaṃ manthasya
8.19.7	abhighāryodaṅṅ atyākramyā svadhety āśrāvayati / astu svadheti pratyāśrāvayati
8.19.8	somaṃ pitṛmantaṃ svadheti saṃpreṣyati
8.19.9	ye svadhāmaha ity āgūr bhavati
8.19.10	svadhā nama iti vaṣaṭkaroti
8.19.11	tataḥ saṃpreṣyati pitṛbhyo barhiṣadbhyo 'nu svadheti
8.19.12	juhvām upastīrya dhānānām avadāya manthasyāvadyati
8.19.13	evaṃ puroḍāśasya
8.19.14	abhighāryodaṅṅ atyākramyā svadhety āśrāvayati / astu svadheti pratyāśrāvayati
8.19.15	pitṝn barhiṣadaḥ svadheti saṃpreṣyati
8.19.16	ye svadhāmaha ity āgūr bhavati
8.19.17	svadhā nama iti vaṣaṭkaroti
8.19.18	tataḥ saṃpreṣyati pitṛbhyo 'gniṣvāttebhyo 'nu svadheti
8.19.19	juhvām upastīrya manthād avadāya puroḍāśasyāvadyati
8.19.20	evaṃ dhānānām
8.19.21	abhighāryodaṅṅ atyākramyā svadhety āśrāvayati / astu svadheti pratyāśrāvayati
8.19.22	pitṝn agniṣvāttān svadheti saṃpreṣyati
8.19.23	ye svadhāmaha ity āgūr bhavati
8.19.24	svadhā nama iti vaṣaṭkaroti
8.20.1	asamavadāya pracaraṇam eke samāmananti
8.20.2	tataḥ saṃpreṣyaty agnaye kavyavāhanāya sviṣṭakṛte 'nu svadheti
8.20.3	juhvām upastīrya sarveṣāṃ haviṣāṃ dakṣiṇārdhāt sakṛtsakṛc catur avadānasyāvadyati dvir dviḥ pañcāvadānasya
8.20.4	abhighāryodaṅṅ atyākramyā svadhety āśrāvayati / astu svadheti pratyāśrāvayati
8.20.5	agniṃ kavyavāhanaṃ sviṣṭakṛtaṃ svadheti saṃpreṣyati
8.20.6	ye svadhāmaha ity āgūr bhavati
8.20.7	svadhā nama iti vaṣaṭkaroti
8.20.8	manthasyāgra iḍām avadāyetarayor avadyati / mantham iḍām avadyatīty ekeṣām
8.20.9	upahūtam iḍām avaghreṇa bhakṣayanti hotāgre 'thādhvaryur atha brahmāthāgnīdhro 'tha yajamānaḥ
8.20.10	udakumbham ādāya prasavyam agniṃ triḥ pariṣiñcan paryeti śundhatāṃ pitara iti / trir apariṣiñcan pratiparyety ayā viṣṭhā janayan karvarāṇīti
8.20.11	haviḥśeṣān saṃprayutya trīn piṇḍān kṛtvā tisṛṣu sraktiṣu nidadhāti pañcārdhyāyāṃ dakṣiṇārdhyāyāṃ pūrvārdhyāyām
8.20.12	etad vā viparītam
8.20.13	etat te tata ye tvām anv ity etair mantrair yathā piṇḍapitṛyajñe
8.21.1	uttarasyāṃ sraktyāṃ lepaṃ nimṛjyātra pitaro yathābhāgaṃ mandadhvam ity uktvodañca upaniṣkramyā tamitor āhavanīyam upatiṣṭhante
8.21.2	samanya japanti susaṃdṛśaṃ tvā vayaṃ maghavan mandiṣīmahīti
8.21.3	akṣann amīm adanteti gārhapatyam upatiṣṭhante
8.21.4	amīm adanta pitaraḥ somyā iti parāyanti
8.21.5	pareta pitaraḥ somyā iti punar abhiprapadyante
8.21.6	tūṣṇīṃ daśāṃ vorṇāstukāṃ vā pracchidyopanyasyāyanty etāni vaḥ pitaro vāsāṃsyato no 'nyat pitaro mā yūḍhvam iti
8.21.7	āñjanaprabhṛti gārhapatyopasthānānantaṃ karma kriyate yathā piṇḍapitṛyajñe
8.21.8	atraike pariṣecanaṃ samāmananti
8.21.9	visrasya prācīnāvītāni yajñopavītāni kurvate
8.21.10	vipariharanti sruco viparikrāmanty ṛtvijaḥ
8.21.11	vyapacchādya pariśrayaṇaṃ saṃpreṣyati brahman pra sthāsyāma iti
8.21.12	apabarhiṣau dvān anūyājau yajati
8.21.13	devau yajeti pūrvam anūyājaṃ saṃpreṣyati / yajety uttaram
8.21.14	sūktavākaṃ prati hotā nivyayate
8.21.15	nātra patny anvāste na saṃyājayanti na samiṣṭayajur juhoti
8.21.16	siddham iṣṭiḥ saṃtiṣṭhate
8.21.17	śaṃyuvantety ekeṣām
8.22.1	pratipūruṣam ekakapālān nirvapati yathā karambhapātrāṇi
8.22.2	uttarārdhe gārhapatyasya kapālāny upadhāya śrapayati
8.22.3	athainān abhighāryānabhighārya vodvāsya mūte 'vadadhāti / mūtayor mūteṣu vā
8.22.4	kośāpidhānena harantīty ekeṣām
8.22.5	dakṣiṇāgner ekolmukaṃ dhūyat parācīnaṃ harati
8.22.6	uttarapūrvam avāntaradeśaṃ gatvākhūtkara ekam upavapati yāvanto gṛhyā smastebhyaḥ kamakaram iti
8.22.7	catuṣpatha ekolmukam upasamādhāya saṃparistīrya madhyame palāśaparṇa upastīryāntame vā sarveṣām ekakapālānāṃ sakṛtsakṛt samavadāyābhighārya juhoty eṣa te rudra bhāgaḥ saha svasrāmbikayā taṃ juṣasva svāheti
8.22.8	hutaṃ yajamāno 'numantrayate bheṣajaṃ gava iti dvābhyām
8.22.9	pratipūruṣam ekakapālān ādāya pradakṣiṇaṃ catuṣpathaṃ trih pariyanti tryambakaṃ yajāmaha ity etayā
8.22.10	yadi patikāmā syāt sāpi parīyāt tryambakaṃ yajamāhe sugandhiṃ pativedanam / urvārukam iva bandhanādito mukṣīya mā pateḥ // iti
8.22.11	tān ūrdhvān udasya pratilabhante
8.23.1	bhaga stha bhagasya vo lapsīyeti
8.23.2	parītyaparītya yajamānāyābhisamāvapanti
8.23.3	pratikāmāyā abhisamāvapeyuḥ
8.23.4	yasya kasya ca patikāmā syād ity ekam / yajamānasyety aparam
8.23.5	tān mūte kṛtvā parogoṣṭhe vṛkṣa āsajyopatiṣṭhanta eṣa te rudra bhāgas taṃ juṣasva tenāvasena paro bhūjavato 'tīhi // avatatadhanvā pinākahastaḥ kṛttivāsā iti / trir avatāmyanti
8.23.6	anupariṣicya mārjayante sumitrā na āpa oṣadhayaḥ santv iti
8.23.7	samidhaḥ kṛṭvāpratīkṣam āyanti
8.23.8	edho 'sy edhiṣīmahīty āhavanīye samidha ādhāyopatiṣṭhante 'po anvacāriṣam iti
8.23.9	evaṃ patnī gārhapatya ādhāyopatiṣṭhate
8.23.10	pratyetyādityai ghṛte caruṃ nirvapati
8.23.11	tasyāgnyādheyena kalpo vyākhyāto 'nyatra varadānāt
8.23.12	aśvam śvetam eke samāmananti
8.23.13	sadyaskālā etā iṣṭayo bhavanty anyatrānīkavatāt kraiḍinād iti
8.23.14	tato nivartayate
8.23.15	vyākhyātaṃ nivartanaṃ tathā vratacaryā
8.24.1	tataś caturṣu māseṣu śunāsīryeṇa yajate māsi vārdhamāse vā caturahe tryahe dvyahe vaikāhe vā
8.24.2	tasya vaiśvadevena kalpo vyākhyātaḥ
8.24.3	vikārān anukramiṣyāmaḥ
8.24.4	samānam ā nirvapaṇāt
8.24.5	āgneyam aṣṭākapālam iti nityāni pañca saṃcarāṇi nirupyaindrāgnaṃ dvādaśakapālaṃ vaiśvadevaṃ carum indrāya śunāsīrāya puroḍāśaṃ dvādaśakapālaṃ vāyavyaṃ payaḥ sauryam ekakapālam iti
8.24.6	prātardohena payasaḥ kalpo vyākhyātaḥ
8.24.7	ekakapālasyāvṛtaikakapālaṃ hutvottamena māsanāmnābhijuhoti saṃsarpo 'syāṃhaspatyāya svāheti
8.24.8	anuvatsarīṇāṃ svastim āśāsītīḍāyā āśīḥṣu yajamāno japati
8.24.9	dvādaśagavaṃ sīraṃ ṣaḍgavaṃ voṣṭārau voṣṭāraṃ vā
8.24.10	anuvatsarīṇāṃ svastim āśāste divyaṃ dhāmāśāsta iti sūktavāke hotāśāste
8.24.11	ekaṃ samiṣṭayajur juhoti
8.24.12	siddham iṣṭiḥ saṃtiṣṭhate
8.24.13	tathā nivartayate
8.24.14	vyākhyātaṃ nivartanam
8.24.15	saṃtiṣṭhante cāturmāsyāni
8.25.1	kāmyāni cāturmāsyāni vyākhyāsyāmaḥ
8.25.2	vaiśvadevena paśukāmo yajeta
8.25.3	asminn asyartau bhūyiṣṭhaṃ payaḥ syād api vā yadāsya vasante bhūyiṣṭaṃ payaḥ syād atha vaiśvadevena yajeta
8.25.4	vaiśvadevenaiva paśukāmo yajeta netaraiḥ parvabhir ā yāvat sahasraṃ paśūn prāpnūyāt
8.25.5	sahasraṃ paśūn prāpyetaraiḥ parvabhir yathākālaṃ yajeta
8.25.6	śunāsīryeṇa grāmakāmo yajeta
8.25.7	varṣyam udakam anvavasāyaitenaiva prajākāmo yajeta paśukāmo yajetānnādyakāmo yajeta pratiṣṭhākāmo yajeteti vijñāyate
8.25.8	pañcasāṃvatsarikāṇi vyākhyāsyāmaḥ
8.25.9	phālgunyāṃ prayujya trīn ṛtūn saṃvatsarān iṣṭvā māsaṃ viramet
8.25.10	caitryāṃ prayujya dvāv ṛtū saṃvatsarāv iṣṭvā viramet
8.25.11	tantraṃ vaiśvānarapārjanye bhavatas tantraṃ pañcahotā
8.25.12	cāturmāsyair iṣṭvā somena yajeta
8.25.13	somasya vā etad rūpaṃ yac cāturmāsyānīti vijñāyate
8.25.14	somāśaktau paśunā yajeta / paśunāśaktau punaḥ prayogaś cāturmāsyānām / sa triṣutriṣu saṃvatsareṣu māsam utsṛjed iti vijñāyate māsam utsṛjed iti vijñāyate
9.1.1	śrutilakṣaṇaṃ prāyaścittaṃ vidhyaparādhe vidhīyate
9.1.2	ekasmin doṣe śrūyamāṇāni prāyaścittāni samabhyuccīyerann arthāntaratvāt
9.1.3	japo homa ijyā ca
9.1.4	doṣanirghātārthāni bhavanti
9.1.5	anantaraṃ doṣāt kartavyāni
9.1.6	nirhṛte doṣe punaḥ kṛtsnaṃ karma
9.1.7	tasya nāvacanāt punaḥ prayogaḥ
9.1.8	yady anvāhitāgniḥ prayāyāt tubhyaṃ tā aṅgirastama iti gārhapatye juhuyāt
9.1.9	pṛthag araṇīṣv agnīn samāropya prayāti
9.1.10	sa yatrāvasyati tad etām iṣṭiṃ saṃsthāpayati
9.1.11	yady anvāhitāgner āhavanīya udvāyed anvagnir uṣasām agram akhyad ity anyaṃ praṇīya bhūr ity upasthāyājyasya sruvaṃ pūrṇaṃ juhoti yo agniṃ devītaye haviṣmāṃ āvivāsati / tasmai pāvaka mṛḍaya svāhā // iti
9.1.12	tat etām āhutiṃ juhotīdaṃ viṣṇur vi cakrama iti
9.1.13	manasā vratopāyanīyaṃ yajur japet
9.1.14	yaḥ kaścanānugacched etad eva praṇayanavarjam
9.1.15	manthed gārhapatyam
9.1.16	yathāprakṛty anvāhāryapacanam
9.1.17	yady āhitāgner agnir apakṣāyed ā śamyāparābhāt taṃ saṃbhared idaṃ ta ekaṃ para u ta ekaṃ tṛtīyena jyotiṣā saṃviśasva / saṃveśanas tanuvai cārur edhi priye devānāṃ parame janitre // iti
9.2.1	yadi parastarām apakṣayed anuprayāyāvasyet
9.2.2	tato 'gnaye pathikṛte puroḍāśam aṣṭākapālaṃ nirvapet
9.2.3	patho 'ntikād barhir āharet
9.2.4	anaḍvān dakṣiṇā
9.2.5	siddham iṣṭiḥ saṃtiṣṭhate
9.2.6	yadi haviṣe vatsā apākṛtā dhayeyur vāyavyāṃ yavāgūṃ nirvapet
9.2.7	sā dohasya sthāne syād yatarasmā apākṛtā dhayeyuḥ
9.2.8	athottarasmai haviṣe vatsān apākṛtyopavaset
9.2.9	yadi sāyaṃ dugdhaṃ havir ārtim ārcched indrāya vrīhīn nirupyopavaset
9.2.10	yat prātaḥ syāt tac chṛtaṃ kuryāt
9.2.11	athetara aindraḥ puroḍāśaḥ syāt
9.2.12	tasya prātardohena samavadāya pracaret
9.2.13	athottarasmai haviṣe vatsān apākṛtyopavaset
9.2.14	etad eva prātardoha ārtigate prāyaścittam
9.2.15	etāvan nānā / sāyaṃdohenātra samavadāya pracaret
9.2.16	yasyobhau dohāv ārtim ārcheyātām aindraṃ pañcaśarāvam odanaṃ nirvapet
9.2.17	tasyobhe devate yajetāgniṃ cendraṃ cety āśmarathyaḥ / athālekhanaḥ / indram evaitasya yajeta
9.2.18	nitya āgneyo 'ṣṭākapālaḥ
9.2.19	athottarasmai haviṣe vatsān apākṛtyopavaset
9.2.20	yasya vratye 'han patny anālambhukā syāt tām aparudhya yajeta
9.2.21	udak śulbaṃ stṛṇīyāt
9.3.1	tām iṣṭvopahvayetāmūham asmi sā tvaṃ dyaur aham pṛthivī sāmāham ṛk tvam / tāv ehi saṃbhavāvahai reto dadhāvahai puṃse putrāya vettavai rāyaspoṣāya suprajās tvāya suvīryāya // iti
9.3.2	yadi sāṃnāyyam agnihotraṃ vā viṣyandeta prājāpatyaya rcā valmīkavapāyām avanīya bhūr ity upatiṣṭhate
9.3.3	tato 'nyāṃ dugdhvā punar juhuyād yady agnihotram
9.3.4	yady u vai sāṃnāyyam uttarasmai haviṣe vatsān apākṛtyopavaset
9.3.5	yadi sāṃnāyye 'gnihotre vā kīṭo 'vapadyeta madhyamena parṇena dyāvāpṛthivyayarcāntaḥ ninayet
9.3.6	tato 'nyāṃ dugdhvā punarjuhuyād yady agnihotram
9.3.7	yady u vai sāṃnāyyam uttarasmai haviṣe vatsān apākṛtyopavaset
9.3.8	yady uddrutam agnihotram avavarṣen mitro janān kalpayati prajānan mitro dādhāra pṛthivīm uta dyām / mitraḥ kṛṣṭīr animiṣābhicaṣṭe satyāya havyaṃ ghṛtavaj juhota // iti juhuyāt
9.3.9	tato 'nyāṃ dugdhvā punar juhuyāt
9.3.10	yadi pūrvasyām āhutyāṃ hutāyām uttarāhutiḥ skandet pūrvāṃ vottarayābhijuhuyād yatra vettha vanaspate devānāṃ guhyā nāmāni / tatra havyāni gāmaya // iti vānaspatyayarcā samidham ādhāya tūṣṇīm eva punar juhuyāt
9.3.11	tato 'nyāṃ dugdhvā punar juhuyāt
9.3.12	yadi pūrvasyām āhutyāṃ hutāyām āhavanīya udvāyed antame śakale hiraṇyaṃ nidhāyābhijuhuyād agnir dārau dārāv agnir agāt svāheti
9.4.1	yadi purā prayājebhyo bahiḥparidhyaṅgāraḥ skandet taṃ sruvasya budhnenābhinidadhyān mā tamo mā yajñas taman mā yajamānas tamat / namas te astv āyate namo rudra parāyate namo yatra niṣīdasi // adhvaryuṃ mā hiṃsīir yajamānaṃ mā hīṃsīr iti yadi purastāt / bramāṇaṃ mā hiṃsīr yajamānaṃ mā hīṃsīr iti yadi dakṣiṇataḥ / hotāraṃ mā hīṃsīḥ pa
9.4.2	athainam anupraharati sahasraśṛṅgo vṛṣabho jātavedāḥ stomapṛṣṭho ghṛtavān supratīkaḥ / mā no hāsīn methito nettvā jahāma gopoṣaṃ no vīrapoṣaṃ ca yaccha // iti
9.4.3	prahṛtyābhijuhuyād ity ekeṣām
9.4.4	yena skandet tena praharet
9.4.5	yady āhitāgner agnir mathyamāno na jāyetāgniṃ naro dīdhitibhir araṇyor hastacyutī janayanta praśastam / dūredṛśaṃ gṛhapatim atharyum // ity abhimantrya yatrānyaṃ paśyet tata āhṛtya vihṛtya juhuyāt
9.4.6	tato 'tvaramāṇaḥ punarmanthet
9.4.7	yady anyaṃ na vinded ajāyai dakṣiṇe karṇe juhuyāt
9.4.8	ajasya tu tato nāśnīyāt
9.4.9	yady ajāṃ na vinded brāhmaṇasya dakṣiṇe haste juhuyāt
9.4.10	brāhmaṇaṃ tu vasatyai nāparundhyāt
9.4.11	yadi brāhmaṇaṃ na vinded darbhastambe juhuyāt
9.4.12	darbhāṃs tu nādhyāsīta
9.5.1	yadi darbhān na vinded apsu juhuyāt
9.5.2	āpas tu na paricakṣītemā bhojanīyā imā abhojanīyā ity āśmarathyaḥ / apy abhojanīyasyaitaṃ saṃvatsaraṃ parigṛhṇīyād evāpa ity ālekhanaḥ
9.5.3	adbhis tu na pādau prakṣālayītety ekeṣām
9.5.4	saṃvatsarād agnaye vratapataye puroḍāśam aṣṭākapālaṃ nirvapet
9.5.5	siddham iṣṭiḥ saṃtiṣṭhate
9.5.6	yady āhitāgner agnibhir agnayaḥ saṃsṛjyeran mitho vāgnaye vivicaye puroḍāśam aṣṭakapālaṃ nirvapet
9.5.7	tato vratapataye
9.5.8	siddham iṣṭiḥ saṃtiṣṭhate
9.5.9	yady āhitāgner agnir gṛhān dahed agnaye kṣāmavate puroḍāśam aṣṭakapālaṃ nirvapet
