#Text:Vaikhānasaśrautasūtra
#Edition:Caland
#Data entry:F. Voegeli; sections 8-9, 11ff by O. Hellwig



1.1.1	athāgnyādheyaṃ vyākhyāsyāmaḥ
10.7.1	sruvasvadhitī vedasamavattadhānī dviguṇāṃ dvivyāyāmāṃ triguṇāṃ trivyāyāmāṃ ca raśane dve dviśūlaikaśūlā ca dve kārṣmayamayyau vapāśrapaṇyau kumbhīṃ hṛdayaśūlaṃ plakṣaśākhāṃ svarum audumbaraṃ maitrāvaruṇādaṇḍam āsyāntaṃ cubukantaṃ vā prathamaparāpātitaṃ śakalam araṇī suvarṇaśakalāni yena carthaḥ
10.7.2	pavitre kṛtvā yajamāna vācaṃ yaccheti saṃpreṣya vāgyataḥ pātrāṇi saṃmṛśya prokṣiteṣu vācaṃ visṛjate
10.7.3	parigṛhīta uttarasmin parigrāha ājyena dadhnā codehīti saṃnamya saṃpreṣyati
10.7.4	pātrasaṃmārjanakāle sruvānantaraṃ sruvavat svadhitiṃ saṃmārṣṭi
10.7.5	vaiśvadevavad ājyasādanāntaṃ kṛtvā devasya tvety abhrim ādāyārdham antarvedy ardhaṃ barhirvedi sarvataḥ prādeśasaṃmitaṃ yūpāvaṭaṃ triḥ pradakṣiṇaṃ parilikhitam iti parilikhati
10.7.6	agnīd yūpāvaṭaṃ khanoparasaṃmitaṃ dvyaḥṅgulena tryaṅgulena caturaṅgulena voparam atikhanatād iti saṃpreṣyati
10.7.7	yathoparaṃ nāvirbhavati tathā khanaty āgnīdhraḥ
10.8.1	adhvaryur agreṇāvaṭaṃ yūpaṃ prāgagraṃ sthāpayitvā yat te śikvaḥ parādadhīd iti yūpaṃ prakṣālayati
10.8.2	yavamatīḥ prokṣaṇīr āhṛtya yūpāgre caṣālaṃ saṃdhāya pṛthivyai tveti tribhir mantrair yūpasya mūlam adhyāgrāṇi prokṣati
10.8.3	śundhatāṃ lokaḥ pitṛṣadana iti yūpāvaṭe prokṣaṇīr ninīya yavo 'sīti yavaṃ prahrtya pitṝṇāṃ sadanam asīty avaṭe prāgagraṃ barhir avastṛṇāti
10.8.4	svāveśo 'sīti prathamaparāpātitaṃ śakalam adhastvakkam avadhāya ghṛtena dyāvāpṛthivī āpṛṇethāṃ svāheti hiraṇyaṃ nidhāya sruveṇābhijuhoti
10.8.5	devas tvā savitā madhvānaktv ity agreṇāhavanīyam aniruptenājyena yajamānaḥ prācyāṃ pratyaṅmukhas tiṣṭhan yūpaśakalenānakti
10.8.6	caṣālam unmucya tenaiva mantreṇa yūpāgram anakti
10.8.7	aindram asīti caṣālam ābhyajya supippalābhya iti taṃ pratimucya yūpāyājyam ānāyānubrūhīti saṃpreṣya devas tvā savitā madhvānaktv iti sruveṇāgniṣṭhām aśriṃ saṃtatam abhidhārayati yāvaduparam
10.8.8	noparam anakati
10.8.9	anaktīty eke
10.8.10	raśanādeśe yūpaṃ sarvatas triḥ parimṛśati
10.8.11	añjanaprabhṛti yajamāno yūpaṃ notsṛjati yāvat parivyayati
10.9.1	ud divaṃ stabhāneti yūpam ucchrayan yūpāyocchrīyamāṇāyānubrūhīti saṃpreṣyati
10.9.2	te te dhāmānīti yūpamn avaṭe 'vadadhāti
10.9.3	viṣṇoḥ karmāṇīti dvābhyām agniṣṭhām aśrim āhavanīyāgninā sadiśaṃ kalpayati
10.9.4	brahmavaniṃ tveti pradakṣiṇaṃ purīṣeṇānāvir uparaṃ paryūhya brahma dṛṃheti maitrāvaruṇadaṇḍena parito dṛṃhati
10.9.5	unnambhaya pṛthivīm ity apaḥ pariṣiñcati
10.9.6	devasya tveti triguṇāṃ raśanām ādāyedaṃ viṣṇur vicakrama iti sapāṇyā raśanayā yūpaṃ trir unmārṣṭi
10.9.7	tad viṣṇoḥ paramaṃ padam iti yūpāgraṃ paśyet
10.9.8	raśanām adbhiḥ saṃmṛśya triḥ saṃbhujya madhyamena guṇena madhye nābhidaghne vā yūpaṃ parivyayan yūpāya parivīyamāṇāyānubrūhīti saṃpreṣya parivīr asīti triḥ pradakṣiṇaṃ parivīya sthavimad aṇīyasi pravayati
10.9.9	divaḥ sūnur asīti svaruśakalam ādāyāntarikṣasya tvety uttame guṇe 'gniṣṭhām uttareṇāvagūhati madhyame dvayor vā
10.9.10	kūṭakarṇakāṇakhaṇḍakhañjaghṛṣṭavaṇḍaśloṇasaptaśaphavarjaṃ pannadantaṃ yūthyaṃ mātṛpitṛbhrātṛsakhimantaṃ supalpūlitaṃ paṭṭānītaṃ cātvālotkarāvantareṇa nītvā yūpam agreṇa purastāt pratyaṅmukham avasthāpyeṣe tveti barhiṣī adāyopavīr asīti plakṣaśākhām upo devān iti yajuṣā prajāpater jāyamānā imaṃ paśum ity ṛgbhyāṃ ca tābhyāṃ tayā ca paśum upaspṛśann indrāgnibhyāṃ tvā juṣṭam upākaromīti yathādevam upākaroti
10.10.1	surakṣite barhiṣī nidhāya plakṣaśākhāṃ ca prajānantaḥ pratigṛhṇantīty upākṛtya pañca juhoti
10.10.2	agniṃ manthati
10.10.3	mathitvopākuryād ity eke
10.10.4	agner janitram asīty avaśiṣṭaṃ śakalam ādāyāpareṇāhavanīyaṃ barhiṣi nidhāya tasmin vaiśvadevavad darbau nidadhāti tathāraṇī cādāyājyasthālyā bile 'bhyajya ghṛtenākte ity abhimantryāyur asīti prajanate pramanthaṃ saṃdhāyāgnaye mathyamānāyānubrūhīti saṃpreṣyati
10.10.5	trir anūktāyāṃ vaiśvadevavad agnipraharaṇāntaṃ karoti
10.10.6	yadi mathyamāno na jāyeta tatsthāne hiraṇyaṃ vyāhṛtībhir juhuyāt
10.10.7	agnāv agnir iti prahṛtyābhihutya devasya tveti dviguṇāṃ raśanām ādāya tadagreṇa paśor dakṣiṇaṃ bāhum unmṛjya ṛtasya tvā devahaviḥ pāśenārabha iti dakṣiṇe pūrvapāde 'rdhaśirasi ca pratimucya dharṣā mānuṣān iti purastāt pratyaṅmukham udaṅmukhaṃ vā yūpe paśuṃ niyunakti
10.10.8	adbhis tvauṣadhībhyaḥ prokṣāmīti prokṣati
10.10.9	apāṃ perur asīty apaḥ pāyayitvā svāttaṃ cid ity adhastād upokṣati sarvata evainaṃ medhyaṃ karotīti vijñāyate
10.10.10	vedanidhānādi
10.10.11	srucyam āghāryodaṅṅ atikramya saṃ te prāna iti paśor dakṣiṇe 'rdhaśirasi juhvā samajya saṃ yajatrair aṅgānīti kakudi saṃyajñapatir āśiṣeti bhasadi makhasya śiro 'sīti pratipadya hotāraṃ vṛtvāśrāvya pratyāśrāvite mitrāvaruṇau praśāstārau praśāstrād iti maitrāvaruṇaṃ vṛṇīte
10.11.1	asau mānuṣa ity asya nāma gṛhṇāti
10.11.2	asmai daṇḍaṃ dadyāt
10.11.3	avakro 'vidhuro bhūyāsam iti gṛhṇāti
10.11.4	jīvati paśāv ekādaśa prayājān yajati
10.11.5	āśrāvya pratyāśrāvite 'dhvaryuḥ samidbhyaḥ preṣyeti maitrāvaruṇaṃ prati prathamaṃ prayājaṃ saṃpreṣyati preṣyety uttarān
10.11.6	hotā yakṣad ity asau hotāraṃ codayati
10.11.7	caturthe prayāje prāpte 'rdhaṃ samānīyāṣṭame sarvaṃ samānayate
10.11.8	iṣṭe daśama ekādaśāyājyam avaśinaṣṭi
10.11.9	tān yajamāna ādyair anumantranaiś caturo 'numantrya caruthasyānumanraṇena duraḥ prabhṛtīṃs trīn uttamenetarān
10.11.10	udaṅṅ atikramyādhvaryur ghṛtenānaktāv iti juhvā svarusvadhitī anakti triḥ svaruṃ sakṛt svadhiter ekām aśrim
10.11.11	ghṛtenāktau paśuṃ trāyethām iti svarusvadhitibhyāṃ paśuṃ samanakti
10.12.1	śamitar eṣā te 'śriḥ prajñātāstv ity ādiśya śamitre svadhitiṃ prayacchati
10.12.2	yathāpūrvaṃ svarum avaguhya paryagnaye kriyamāṇāyānubrūhīti saṃpreṣyati
10.12.3	āgnīdhra āhavanīyād ulmukam ādāya parivājapatir iti triḥ pradakṣiṇaṃ ṣaṭ paryeti paśuṃ śāmitradeśaṃ cātvālaṃ yūpam āhavanīyam ājyāni ca
10.12.4	ye badhyamānam anubadhyamānā iti tribhir apāvyaiḥ pratiparyāyaṃ juhoti
10.12.5	apisṛjyāhavanīya ulmukaṃ triḥ punar yathetaṃ pratiparyeti
10.12.6	pramucya paśum āśrāvya pratyāśrāvita upapreṣya hotar havyā devebhya iti saṃpreṣyati
10.12.7	adhriguṃ hotānuvakti
10.12.8	revatīr yajñapatim ity adhvaryuyajamānau vapāśrapaṇībhyāṃ barhirbhyām plakṣaśākhayā ca paśum anvārabhete
10.13.1	nānā prāṇa iti yajamānam abhimantrayate
10.13.2	prāsmā agniṃ bharata ity ucyamāne tad ulmukaṃ punar ādāyāgnīdhraḥ prathamo 'ntareṇa cātvālotkarāv udaṅṅ atikrāmaty uro antarikṣety antareṇa cātvālotkarāv udaṅmukhaṃ paśuṃ nayanti
10.13.3	prājahitād ulmukam ādāyāgnīdhro niṣkrāmatīty eke
10.13.4	uttareṇa cātvālaṃ śāmitrāyatanam
10.13.5	tasminn ulmukam ādhaya śāmitram uttareṇātikrāmati
10.13.6	udīcīnāṃ asya pado nidhattād ity ucyamāne samasya tanuvā bhavety upākaraṇabarhiṣor anyatarad dakṣiṇena śāmitraṃ prāgagram udagagraṃ vā nyasyati
10.13.7	ūvadhyagohaṃ parthivaṃ khanatād ity ucyamāna ūvadhyagohaṃ khanati
10.13.8	tasmin barhiṣi paśuṃ pratyakśirasam udīcīnapādaṃ saṃjñapayanti
10.13.9	amāyuṃ kṛṇvantaṃ saṃjñapayateti saṃpreṣya yathetaṃ parāñca āvartante
10.13.10	iha prajā viśvarūpā ramantām iti pṛṣadājyam avekṣamāṇāḥ parāñca āsate
10.13.11	indrasya bhāgaḥ suvite dadhātanety adhvaryur yadi rauti paśus tam abhimantrayate
10.13.12	svarvid asīti caturo mantrān saṃjñapyamāne yajamāno japati nānā prāṇa ity adhvaryuḥ
10.13.13	yat paśur māyum akṛteti saṃjñapte saṃjñaptahomaṃ juhoti
10.14.1	śamitāra upetaneti paśum abhyupayann aditiḥ paśuṃ pramumoktv iti saṃjñpatāt pāśaṃ pramuñcati
10.14.2	tam ekaśūlayādāyārātīyantam adharaṃ kṛṇomītīmāṃ diśaṃ nirasyati
10.14.3	namas ta ātāneti patny ādityam upatiṣṭhate
10.14.4	anarvā prehīti pratiprasthātā pūrṇapātreṇa saha patnīm udānayati
10.14.5	antareṇa cātvālotkarav udaṅ patnīṃ niṣkrāmayati
10.14.6	āpo devīr iti niṣkrāntām adhvaryur apo 'vamarśayati
10.14.7	vāk ta āpyāyatām ity etair yathāliṅgam anupūrvaṃ patnī paśoḥ prāṇān āpyāyayaty adhvaryur vābhiṣiñcati
10.14.8	yā te prāṇān iti hṛdayam abhimṛśati
10.14.9	tān eva prāṇān punaḥ saṃmṛśatīty eke
10.14.10	nābhis ta āpyāyatām iti nābhiṃ meḍhraṃ ta āpyāyatām iti meḍhraṃ pāyus ta āpyāyatām iti pāyuṃ śuddhāś caritrā iti saṃpragṛhya caturaḥ pādān prakṣālayati
10.14.11	śam abhobhyām ity anupṛṣṭhaṃ śeṣam ninayati dakṣiṇato vā
10.14.12	uttānaṃ paśum āvartya dakṣiṇena nābhiṃ dvyaṅgule tryaṅgule vā vivarte 'vaśiṣtam upākaraṇabarhiṣor anyatarad oṣadhe trāyasvainam iti prāgagraṃ nidadhati
10.14.13	svadhite mainaṃ hiṃsīr iti svadhitinā tiryag ācchinatti
10.14.14	agram ādāya surakṣitaṃ nidadhāti mūlaṃ lohitenāktvā rakṣasām bhāgo 'sītīmāṃ diśaṃ nirasyed idam ahaṃ rakṣo 'dhamaṃ tamo nayāmīti tat savyena padātiṣṭhet
10.15.1	tau pāṇipādau prakṣālyāpaupaspṛśyeṣe tveti vapām utkhidya ghṛtena dyāvāpṛthivī prorṇvāthām iti vapayā dviśūlāṃ vapāśrapaṇīṃ prorṇoti
10.15.2	ūrje tvety ekaśūlayopastṛṇatti vapā yathā vistīrṇā bhavati
10.15.3	devebhyaḥ śundhasveti tāṃ prokṣya devebhyaḥ śunbhasveti svadhitinā vapām unmṛjya devebhyaḥ kalpasvety abhimantryācchinno rāyaḥ suvīra iti tām adhastāduntatkṛti
10.15.4	śamitā vapoddharaṇaṃ muṣṭināpidadhāti yāvadvapāṃ juhoti
10.15.5	vapām adbhir abhyukṣya pratyuṣṭam iti śāmitre pratitapya namaḥ sūryasya saṃdṛśa ity ādityam upasthāya śāmitrād ekolmukam ādāyāgnīdhraḥ pūrvaṃ gacchaty anvag adhvaryur vapāśrapaṇībhyāṃ vapāṃ dhārayann urv antarikṣam iti gacchati
10.15.6	yajamāno vapāśrapaṇī punar anvarabheta
10.15.7	upa tvāgne dive diva iti tisṛbhir āgnīdhro 'dhvaryur yajamānaś cāhavanīyam upayanti
10.15.8	tata ulmukam apisṛjyāhavanīyasyāntame 'ṅgāre vapāṃ nigṛhya vāyo vīhi stokānām iti surakṣitaṃ chinnāgram adhastād vapāyā antame 'ṅgāre prāsyati
10.15.9	antarā yūpam āhavanīyaṃ ca pratiprasthātā vapām āhṛtya dakṣiṇata udaṅmukho vapāṃ śrapayati
10.15.10	tvāmute dadhire havyavāham iti vapāṃ sruveṇābhijuhoti
10.15.11	prādurbhūteṣu stokeṣu stokebhyo 'nubrūhīti saṃpreṣyati
10.15.12	juṣasva saprathastamam iti stokīyā hotā pratipadyate
10.16.1	śyenīṃ suṣṛtāṃ vapāṃ kṛtvā supippalā oṣadhīḥ kṛdhīty uttaravediśroṇyāṃ dakṣiṇasyāṃ barhiṣi plakṣaśākhāyāṃ nidhāya prayuto dveṣāṃsīti vapāśrapaṇyau pravṛhati
10.16.2	ghṛtavatīm adhvaryo srucam ity ucyamāne juhūpabhṛtāv ādāyātyākramyāśrāvya pratyāśrāvite svāhākṛtibhyaḥ preṣyeti saṃpreṣyati
10.16.3	vaṣaṭkṛte hutvā pratyākramya prayājaśeṣeṇa dhruvāṃ pṛṣadājyaṃ ca sakṛt sakṛd abhighārya vapām abhighārayati nopabhṛtam
10.16.4	paśāv ājyabhāgau kṛtvā juhvām upastīrya hiraṇyaśakalaṃ nidhāya kṛtsnāṃ vapām avadyati
10.16.5	upariṣṭāddhiraṇyam avadhāyābhighāryendrāgnibhyāṃ chāgasya vapāyā medaso 'nubrūhīti saṃpreṣyati
10.16.6	āśrāvya pratyāśrāvita indrāgnibhyāṃ chāgasya vapāṃ medaḥ prasthitaṃ preṣyeti saṃpreṣyati
10.16.7	maitrāvaruṇo hotāraṃ codayati
10.16.8	prāg vapāhomāt svāhā devebhya iti pūrvaṃ parivapyaṃ hutvā vaṣaṭkṛte jātavedo vapayā gaccha devān iti vapāṃ hutvā devebhyaḥ svāhety uttaraṃ parivapyaṃ hutvā pratyākramya vapoddharaṇam abhighārayati
10.16.9	svāhordhvanabhasam ity āhavanīye viṣūcyau vapāśrapaṇyau praharati
10.16.10	saṃsrāveṇābhijutvā srucāv anyatra sādayati
10.16.11	atra varaṃ dadāti yajamānas tisro vā dakṣiṇāḥ
10.17.1	āpo hi ṣṭhā mayobhuva iti tisṛbhir idam āpaḥ pravahata nir mā muñcāmīti dvābhyāṃ ca sarve patnī ca cātvāle 'dbhir mārjayante
10.17.2	athādhvaryur agnīt paśupuroḍāśam nirvapa pratiprathātaḥ paśuṃ viśādhīti saṃpreṣyati
10.17.3	samānadevataṃ paśunaikādaśakapālaṃ vrīhimayaṃ puroḍāśam āgnīdhro nirvapati
10.17.4	pratiprasthātā paśuṃ viśāsti
10.17.5	hṛdayajihvāvakṣāṃsi tanima matasnū savyaṃ dor ubhe pārśve dakṣiṇā śroṇir gudatṛtīyam ity ekādaśa daivatāni
10.17.6	dakṣiṇaṃ doḥ savyā śroṇir gudatṛtīyam iti sauviṣṭakṛtāni
10.17.7	klomānaṃ plīhānaṃ purītataṃ vaniṣṭhum adhyuddhiṃ medo jāghanīm ity uddharati
10.17.8	gudaṃ mā nirvleṣīr vaniṣṭhuṃ mā nirvleṣīr iti saṃpreṣyati
10.17.9	yad yac ca medhyaṃ manyate
10.17.10	kumbhyāṃ paśuṃ samavadhāya śāmitre śrapayati
10.17.11	śūle hṛdayam upatṛdya pratapati
10.17.12	ūvadhyagohe śakṛt saṃpravidhyati lohitaṃ ca nirasyati
10.17.13	śṛte paśau puroḍāśena pracaret
10.17.14	juhūpabhṛtor upastīryāvadāyabhighāryendrāgnibhyāṃ puroḍāśasyānubrūhīti saṃpreṣyati
10.17.15	āśrāvya pratyāśrāvita indrāgnibhyāṃ puroḍaśasya preṣyeti saṃpreṣyati
10.17.16	maitrāvaruṇo hotāraṃ preṣyati
10.17.17	aupabhṛtaṃ juhvāṃ nidhāyāgnaye 'nubrūhīti sviṣṭakṛte saṃpreṣyati
10.17.18	āśrāvya pratyāśrāvite 'gnaye preṣyeti saṃpreṣyati
10.17.19	maitrāvaruṇo hotāraṃ presyati
10.18.1	vaṣaṭkṛte hutvā virujya prāśitram avadyatīḍāṃ ca na yajamānabhāgam
10.18.2	iḍāntaḥ paśupuroḍāśaḥ
10.18.3	upahūtām iḍāṃ maitrāvaruṇaṣaṣṭhāḥ prāśnanti
10.18.4	prastare mārjayante
10.18.5	kṛtsnasaṃsthety eke
10.18.6	juhvāṃ pañcagṛhītaṃ gṛhītvā pṛṣadājyaṃ gṛhītvā sruvaṃ prṣadājyaṃ cādāya śṛtaṃ haviḥ śamitar ity abhyāgamyābhyāgamya triḥ pṛcchati
10.18.7	śṛtam iti śamitā triḥ pratyāha
10.18.8	uttarataḥ parikramya śūlādd hṛdayaṃ pravṛhya kumbhyām avadhāya saṃ te manasā mana iti pṛṣadājyena hṛdayam abhighārayati
10.18.9	ūṣmāṇam udgatam svāhoṣmaṇo 'vyathiṣyā ity anumantrya yas ta ātmā paśuṣv ity ājyena paśum abhighārya dṛṃha gā iti kumbhīm udvāsya yūpāhavanīyayor antareṇa dakṣinātihṛtya vapāvat pañcahotrā paśum āsādayati ṣaḍḍhotrā vā
10.18.10	hṛdayaśūlaṃ surakṣitaṃ nidadhāti
10.18.11	juhvām upabhṛti vasāhavanyāṃ samavattadhānyāṃ ca catasṛṣv ājyenopastṛṇāti
10.18.12	juhvāṃ hiraṇyaśakalaṃ nidadhāty upabhṛti ca
10.18.13	plakṣaśākhāyāṃ svadhiter aśryāktayā haviṣo 'vadānāny avadyan manotāyai haviṣo 'vadīyamānasyānubrūhīti saṃpreṣyati
10.18.14	hṛdayasyāgre 'vadyaty atha jihvāyā atha vakṣasaḥ
10.18.15	etad vai paśor yathāpūrvam
10.18.16	yathākāmam uttareṣām avadyati
10.18.17	yathoddhṛtam avadyatīty eke
10.18.18	madhyato gudasyāvadyati
10.18.19	dvirdvir avadāya daivatāni juhvām
10.18.20	sauviṣṭakṛtāni sakṛtsakṛd avadāyopabhṛti nidhāya śeṣāṇi samavattadhānyāṃ nidadhāti
10.18.21	gudaṃ dvidhā vibhajya sthavīya upayaḍbhyo nidadhāti
10.19.1	aṇīyas traidhaṃ vibhajya madhyamaṃ dvidhā kṛtvā juhvaṃ nidhāyāvaśiṣṭayor anyatarat sthavīya upabhṛtītarat samavattadhānyāṃ nidadhāti
10.19.2	traidhaṃ medo vibhajya yūṣṇy avadhāya tṛtīyena juhūṃ prorṇoti tṛtīyenopabhṛtaṃ ca
10.19.3	upastṛtasamavattadhānyāṃ hṛdayajihvāvakṣāṃsi tanima matasnū gudamedasos tṛtīyau bhāgau ṣaḍvaniṣṭhuṃ saptamaṃ kṛtvā nasthibhir iḍāṃ vardhayati
10.19.4	klomānaṃ plīhānaṃ purītatam ityavadhāya yūṣṇopasiñcati
10.19.5	śīrṣāṃsāṇūkāparasakthīny anavadānīyāni śṛtaiḥ saṃnidhāyaindraḥ prāṇa iti saṃmṛśati
10.19.6	apāṃ tvauṣadhīnām iti vasāhavanyām upastīrya vasāṃ gṛhṇāti
10.19.7	śrīr asīti sravantīṃ dhārāṃ svadhitinā sakṛcchinatti dviḥ pañcāvattinaḥ
10.19.8	āpaḥ samariṇann iti pārśvena vasahomam apidadhāti
10.19.9	daivateṣu sauviṣṭakṛteṣv avatteṣu yūṣnopasiktaṃ hiraṇyaśakalam avadhāyābhighāryendrāgnibhyāṃ chāgasya haviṣo 'nubrūhīti saṃpreṣyati
10.19.10	āśrāvya pratyāśrāvita indrāgnibhyāṃ chāgasya haviṣaḥ preṣyeti saṃpreṣyati
10.19.11	maitrāvaruṇo hotāraṃ preṣyati
10.19.12	yājyāyā ardharcānte pratiprasthātottaratas tiṣṭhan ghṛtaṃ ghṛtapāvāna iti vasāhomaṃ juhoti
10.19.13	vasāhomoccheṣeṇa vājinavad diśaḥ prati yajati
10.19.14	atraiva tiṣṭhan juhvām upastīrya pṛṣadājyāt sakṛt sruveṇādāya juhvām avadāya dvir āghārayati
10.19.15	vanaspataye 'nubrūhīti saṃpreṣyati
10.19.16	āśrāvya pratyāśrāvite vanaspataye preṣyeti
10.20.1	maitrāvaruṇo hotāraṃ preṣyati
10.20.2	vaṣaṭkṛta uttarārdhapūrvārdhe 'tihāya pūrvā āhutīr juhoti
10.20.3	aupabhṛtāni juhvāṃ viparyasyāgnaye sviṣṭakṛte 'nubrūhīti saṃpreṣyati
10.20.4	āśrāvya pratyāśrāvite 'gnaye sviṣṭakṛte preṣyeti saṃpreṣyati maitrāvaruṇo hotaram preṣyati
10.20.5	vaṣaṭkṛte vanaspativadd hutvā pratyākramya yathāyatanaṃ srucau sādayati
10.20.6	medasvinīm avāntareḍām avadyati
10.20.7	medasopastīrya hotur haste prakṛtivad iḍām avadāya medasābhighārayati
10.20.8	hotre 'dhyuddhiṃ haraty agnīdhre medasvinaṃ vaniṣṭhuṃ brahmaṇe vakṣaḥ
10.20.9	vayaṃ soma vrate taveti brahmā tat prāśnāti
10.20.10	prāśyācamyāntarvedi mārjayante
10.20.11	agnīd aupayajān aṅgārān āharopayaṣṭar upasīda brahman prasthāsyāmaḥ samidham ādhāyāgnīt paridhīṃś cāgniṃ ca sakṛsakṛt saṃmṛḍḍhīti saṃpreṣyati
10.20.12	śāmitrād āgnīdhrīyād vāgnīdhro 'ṅgārān āhṛtyottarasyam vediśroṇyāṃ hotrīye va barhir vyūhya nyupyopasamādhāya nihitaṃ sthavīyo gudakāṇḍam ekādaśadhā tiryagasaṃchindan pracchidyānūyājānāṃ hutaṃ hutam aparyāvartayan pratiprasthātā samudraṃ gaccha svāhety etaiḥ pratimantraṃ vasāhavanyā hastena vopayajati
10.21.1	yad upabhṛti pṛṣadājyaṃ taj juhvām ānīya tām evopabhṛtya sakṛd dakṣiṇātikrāntaḥ pṛṣadājyenaikādaśānūyājān yajati
10.21.2	āśrāvya pratyāśrāvite devebhyaḥ preṣyeti prathamam anūyājaṃ saṃpreṣyati preṣya preṣyety uttarān
10.21.3	yajamānaś catura ādyān anūyājān prathamenānumantrayate daśamaṃ cānūyājaṃ pañcamaprabhṛtīṃś caturo dvitīyenottamena navamaikādaśau
10.21.4	pañcamaprabhṛtiṣv adhvaryumaitrāvaruṇau yajeti hotāraṃ preṣyato daśamavarjam
10.21.5	upayaṣṭā sarvāṇi hutvādbhyas tvauṣadhībhya ity uttarato lepaṃ nimṛjya mano me hārdi yaccheti hṛdayam abhimṛśati
10.21.6	tanūṃ tvacam iti dhūmaṃ preksate
10.21.7	adhvaryuḥ pratyākramya juhvā triḥ svarum aktvāhavanīyepurastāt pratyaṅmukhas tiṣṭhan dyāṃ te dhūmo gacchatv ity anūyājānte juhvā svaruṃ juhoti
10.21.8	śṛṅgāṇīvecchṛṅgiṇām iti yajamāno hutaṃ svarum upatiṣṭhate
10.21.9	adhvaryuḥ srugvyūhanādi pratipadyāśrāvya pratyāśrāvite sūktā preṣyeti sūktavāke saṃpreṣyati
10.21.10	agnim adyeti sa hotāraṃ preṣyati
10.21.11	juhvā bile juhūpabhṛtām agrāṇya avadhāya saṃsrāvabhāgaḥ stheti tān paridhīn prahṛtān abhiprasrāvayati
10.21.12	pratyañcaḥ paretya patnīḥ saṃyājayanti
10.21.13	dakṣiṇena vihāram jāghanīm āhṛtya tayā patnīr agniṃ gṛhapatiṃ ca yajati
10.21.14	pūrvasyottānāyā jāghanyā avadyaty uttarasya nīcyās tathottānabhāgayor hotra iḍāyām agnīdhre ṣaḍavattaṃ ca krameṇa bhavataḥ
10.21.15	prāśitāyām jāghanyāṃ śeṣam patnyai prayacchati
10.21.16	sādhvaryave
10.21.17	bāhuṃ śamitre yadi brāhmaṇaḥ
10.22.1	dhruvām āpyāyya yajña yajñaṃ gaccheti trīṇi samiṣṭayajūṃṣi juhoti
10.22.2	hṛdayaśūlena carati
10.22.3	asaṃspṛśan hṛdayaśūlam antareṇa cātvālotkarāv udaṅ gatvā śug asi tam abhiśoceti dveṣyaṃ manasā dhyāyan śukrasya cārdrasya ca sandhāv udvāsayati
10.22.4	apa upaspṛśya dhāmno dhāmna ity upasthāya sumitrā na ity adbhir mārjayante
10.22.5	apratīkṣam āgatyaidho 'sy edhiṣīmahīty āhvanīye samidha ādhāyāpo anvācāriṣam ity upatiṣṭhante
10.22.6	tathā gārhapatye patnī ca
10.22.7	sarveṣāṃ paśubandhānam eṣa kalpaḥ
10.22.8	namaḥ sakhibhyaḥ sannān māvagātāśāsānaḥ suvīryam iti yajamānaḥ saṃsthite yūpam upatiṣṭhata upatiṣṭhate
11.1.1	atha sautrāmaṇī
11.1.2	tayā brāhmaṇo rājanyo vaiśyo vā bhūtikāmo yajeta somātipavitaḥ somavāmī rājā cāparuddho 'bhicarann abhicaryamāṇo 'bhiṣekeṣu ca sarvatra
11.1.3	sautrāmaṇyā yakṣyamāṇasya purastāt trirātre sīsena klībācchaṣpāṇi vrīhyādīn krīṇāti
11.1.4	tāni kṣaume nyupyopanahyati
11.1.5	agnyanvādhānādi paristaraṇāntaṃ kṛtvā pāṇiprakṣālanādi pratipadya kapālānāṃ sthāne sthālīṃ prayunakti
11.1.6	aśvibhyāṃ sarasvatyā indrāya sutrāmṇe prabhūtān vrīhīn nirvapati
11.1.7	teṣv ardhān avahatya carukalpena śrapayaty ardhān gārhapatye lājān bharjayati
11.1.8	agreṇa gārhapatyam avaṭaṃ khātvā tasmiṃś caruṃ surāyāḥ kalpena surāṃ saṃdadhāti yathā parisrud bhavati
11.1.9	svādvīṃ tveti parisrutā śaṣpāṇi saṃsṛjati
11.2.1	somo 'sy aśvibhyām iti saṃsṛṣṭān abhimṛśati
11.2.2	tisṛṣu rātriṣu vyuṣṭāsu paśubandhas tāyate sautrāmaṇiḥ
11.2.3	tasyā nirūḍhapaśubandhavat kalpaḥ
11.2.4	saumikaveditṛtīye yajata iti vijñāyate
11.2.5	pūrvedyur ekam eva yūpaṃ chinatti
11.2.6	trīn ity eke
11.2.7	prāktanena vedena kāryaṃ karoti
11.2.8	uttaraveder dakṣiṇato vimitā paristṛtā bhavati yadi dvyahaḥ kālaḥ
11.2.9	yasmin kāle 'dhvaryur uttaravediṃ karoti tadā pratiprasthātā cātvālāt purīṣam āhṛtyottaravediṃ dakṣiṇena kharaṃ caturaśraṃ dvyaṅgulonnataṃ karoty agreṇānvāhāryapacanaṃ dvitīyaṃ kharaṃ ca
11.2.10	yadādhvaryur agniṃ praṇayati tadānvāhāryapacanād aṅgārān āhṛtya pratiprasthātā pūrvasmin khare pratiṣṭhāpayati
11.2.11	atra pāṇī na prakṣālayate
11.2.12	aśvibhyāṃ sarasvatyā indrāya sutrāmṇe trīṇi vaikaṅkatāny ūrdhvapātrāṇy aparasmin khare prayunakti sataṃ śatātṛṇṇāṃ sthālīṃ rukmaṃ vālasrāvaṃ śyenapattraṃ śrayaṇāni
