#Text:Hiraṇyakeśiśrautasūtra
#Data entry:M. Fushimi
#Notes:Up to Praśna 10 (inclusive), the text counts by Praśna/Paṭala/Chapter, without giving a Sūtra counter. Starting with Praśna 11, it uses Praśna/Chapter and a Sūtra counter. We systematized the numbering by ignoring the Paṭala counters in 1-10, and adding Sūtra counters in this range. The following chapters are missing in the edition: 2.[7].18, 5.[3].9. Praśnas 19, 20 are missing in the digital text.



1.1.1	yajñaṃ vyākhyāsyāmaḥ
9.17.3	yat kusīdam apratīttam ity āhavanīyād vedim upoṣati
9.17.4	prāgvaṃśe gārhapatyāt patnī
9.17.5	etaṃ sadhastha pari te dadāmīti tisṛbhir dhūmam udyantam anumantrayate
9.17.6	viśvalopa viśvadāvasya tvāsañ juhomīty añjalinā saktūn pradāvye juhuyād yadi miśram iva caritvā manyate
9.17.7	pṛthagaraṇīṣv agnīn samāropayate prājihitaṃ gārhapatyaṃ dakṣiṇāgniṃ śālāmukhīyaṃ gataśriyas tṛtīyam
9.17.8	prācīnam udīcīnaṃ vodavasāya vihāraṃ sādhayitvodavasānīyām iṣṭiṃ nirvapaty āgneyam aṣṭākapālaṃ pañcakapālaṃ vā
9.17.9	tasyopāṃśu sarvaṃ kriyata ottamād anūyājāt
9.17.10	uru viṣṇo vikramasveti pūrṇāhutim eka udavasanīyāyāḥ sthāne samāmananti
9.17.11	sā yāvadrātrau kiyadrātreṇa vā saṃtiṣṭhate tadaiva sāyamagnihotraṃ juhuyāt kāla eva prātarhomaḥ
9.17.12	saṃtiṣṭhate 'gniṣṭomaḥ
9.18.1	ukthyaḥ ṣoḍaśy atirātro 'ptoryāmaś cāgniṣṭomasya guṇavikārā bhavanti
9.18.2	ukthyena paśukāmo yajeta
9.18.3	tasyāgniṣṭomena kalpo vyākhyātaḥ
9.18.4	pañcadaśachadi sadaḥ
9.18.5	kratukaraṇaṃ hutvaitenaiva mantreṇa madhyame paridhāv abhyantaraṃ lepaṃ nimārṣṭi
9.18.6	aindrāgnam ukthye dvitīyaṃ savanīyam ālabhate
9.18.7	tṛtīyasavane dhārāgrahakāla āgrayaṇaṃ gṛhītvokthyaṃ gṛhṇāti
9.18.8	agniṣṭomacamasān unnayaṃs tribhyaś camasagaṇebhyo rājānam atirecayati
9.18.9	sarvaṃ rājānam unnaya mātirīrico daśābhiḥ kalaśau mṛṣṭvā nyubjeti ca lupyate
9.18.10	etad agniṣṭomacamasānāṃ saṃpraiṣasya yoya uttamaḥ saṃsthānacamasagaṇas tam unnayann etat saṃpreṣyati
9.18.11	agniṣṭomacamasaiḥ pracarya tribhir ukthyavigrahaiḥ pracarato yathā purastāt
9.18.12	indrāvaruṇābhyāṃ tveti prathame grahaṇasādanau saṃnamatīndrābṛhaspatibhyāṃ tveti dvitīya indrāviṣṇubhyāṃ tveti tṛtīye
9.18.13	ṣoḍaśinā vīryakāmaḥ
9.18.14	tasyokthyena kalpo vyākhyātaḥ
9.18.15	tasya śuṇṭhyādhīlodhakarṇayā somaṃ krīṇāti
9.18.16	saptadaśachadi sadaḥ
9.18.17	pātrasaṃsādanakāla uttare 'ṃse khādiraṃ catuḥsrakti ṣoḍaśipātraṃ prayunakti
9.18.18	kratukaraṇaṃ hutvaitenaiva mantreṇa droṇakalaśaṃ rarāṭīṃ vopaspṛśati
9.18.19	aindraṃ vṛṣṇiṃ ṣoḍaśini tṛtīyaṃ savanīyam ālabhate
9.18.20	ātiṣṭha vṛtrahann ity eteṣām ekena ṣoḍaśinaṃ gṛhṇāti
9.18.21	purastād uttamād ukthyaparyāyāt pūrvayoḥ savanayor droṇakalaśād gṛhṇāti sarvair ukthyaparyāyaiḥ pracarita āgrayaṇāt tṛtīyasavane
9.19.1	yasmān na jātaḥ paro anyo asti ya āviveśa bhuvanāni viśvā / prajāpatiḥ prajayā saṃvidānas trīṇi jyotīṃṣi sacate sa ṣoḍaśī / eṣa brahmā ya ṛtviya indro nāma śruto gaṇe pra te mahe vidathe śaṃsiṣaṃ harī / ya ṛtviyaḥ pra te vanve vanuṣo haryataṃ madam / indro nāma ghṛtaṃ na yo haribhiś cāru secate / śruto gaṇe ā tvā viśantu harivarpasaṃ gira iti sarveṣu grahaṇeṣu ṣoḍaśinam abhimantrayate
9.19.2	acchāvākacamasamukhyāṃś camasān unnayann ekasmai camasagaṇāya rājānam atirecayati
9.19.3	taiḥ pracarya ṣoḍaśinā pracarati
9.19.4	samayāviṣite sūrye hiraṇyena barhirbhyāṃ ca ṣoḍaśinaḥ stotram upākaroti
9.19.5	śvetam aśvaṃ purastād dhārayaty aruṇapiśaṅgaṃ kṛṣṇaṃ vā
9.19.6	hiraṇyaṃ sāṃpradāyaṃ stuvate
9.19.7	harivac chastram
9.19.8	upariṣṭāt stotriyānurūpābhyām othā moda iva made madā moda ivom atheti vyatyāsaṃ pratigṛṇāti
9.19.9	anuṣṭupsu siddhaḥ pratigaraḥ
9.19.10	śastraṃ pratigīrya graham ādatte camasāṃś camasādhvaryava ukthaśā yaja somānām iti saṃpreṣyati
9.20.1	indrādhipate 'dhipatis tvaṃ devānām asy adhipatiṃ mām āyuṣmantaṃ varcasvantaṃ manuṣyeṣu kurv iti ṣoḍaśinaṃ juhoti
9.20.2	indraś ca samrāḍ varuṇaś ca rājā tau te bhakṣaṃ cakratur agra etaṃ tayor anu bhakṣaṃ bhakṣayāmi vāg juṣāṇā somasya tṛpyastv iti grahasya bhakṣayati
9.20.3	ādityavadgaṇena camasānām
9.20.4	anuṣṭupcchandasa iti bhakṣamantraṃ saṃnamati
9.20.5	atirātreṇa brahmavarcaskāmaḥ
9.20.6	tasya ṣoḍaśinā kalpo vyākhyātaḥ
9.20.7	ekaviṃśatichadi sadaḥ
9.20.8	na kratukaraṇaṃ juhoti na droṇakalaśaṃ rarāṭīṃ vopaspṛśaty etad eva yajur vadan havirdhāne prapadyata etāvān kratukaraṇaḥ
9.20.9	sārasvatīṃ meṣīm atirātre caturthīṃ savanīyām ālabhate meṣam ity ekeṣām
9.20.10	ṣoḍaśinaś camasān unnayaṃs trayodaśabhyaś camasagaṇebhyo rājānam atirecayati
9.20.11	taiḥ pracarya rātriprayāyaiḥ pracarati
9.20.12	upayāmagṛhīto 'sīndrāya tvāpi śarvarāyeti mukhyaṃmukhyaṃ camasam unnayati
9.20.13	stutaśastre bhavataḥ
9.20.14	hotṛcamasamukhyān prathamān unnayati maitrāvaruṇacamasamukhyān dvitīyān brāhmaṇācchaṃsicamasamukhyāṃs tṛtīyān acchāvākacamasamukhyāṃś caturthān
9.20.15	sa prathamo rātriparyāyaḥ
9.20.16	evam vihito dvitīyas tṛtīyaś ca rātriparyāyaḥ
9.20.17	taiḥ pracaryāśvinasya pātrasaṃsādanaprabhṛtīni karmāṇi pratipadyata āśvinaṃ dvikapālaṃ nirvapati
9.20.18	tam āsādya
9.20.19	hotṛcamasamukhyān saṃdhicamasān unnayati
9.20.20	stutaśastre bhavataḥ
9.21.1	trivṛdrāthantaraṃ saṃdhistotram
9.21.2	āśvinaṃ śastram
9.21.3	udita āditya āśvinaṃ paridhāya hotṛcamasam adhvaryur ādatte puroḍāśaṃ pratiprasthātā ca
9.21.4	ādadate camasāṃś camasādhvaryavaḥ
9.21.5	aśvibhyāṃ tiroahniyānāṃ somānām anubrūhy aśvibhyāṃ tiroahniyān somān prasthitān preṣyeti saṃpreṣyati
9.21.6	saha somaiḥ puroḍāśaṃ pratiprasthātā sarvahutaṃ juhoti
9.21.7	paṅkticchandasa iti bhakṣamantraṃ saṃnamati
9.21.8	aptoryāmeṇa paśukāmaḥ
9.21.9	tasyātirātreṇa kalpo vyākhyātaḥ
9.21.10	saṃdhicamasān unnayaṃś caturbhyaś camasagaṇebhyo rājānam atirecayati
9.21.11	catvāraś camasagaṇāḥ satutaśastravanto hotur maitrāvaruṇasya brāhmaṇācchaṃsino 'cchāvākasya ca
9.21.12	teṣāṃ saṃdhicamasaiḥ pracaraṇakalpo vyākhyātaḥ
9.21.13	aticchandāś chandasa iti bhakṣamantraṃ saṃnamati
9.21.14	agnīd aupayajān aṅgārān āharety etatprabhṛtīni pāśukāni karmāṇi sarvāsu saṃsthāsu samānāni kriyanta ā prātaragnihotrāt
9.22.1	kratupaśava aikādaśināś ca vikalpante
9.22.2	teṣāṃ samavāye vibhavanti tantram aṅgāny avibhavanti pratyakṣārthāni pratisaṃskāram abhyāvartante
9.22.3	yathārtham ūhaḥ
9.22.4	yūpāhutiṃ hutvāgniṣṭhaprathamān ekādaśa yūpān upaśayapātnīvatau ca cchinnatti
9.22.5	ekayūpena vikalpate
9.22.6	daśarathākṣām ekādaśoparāṃ rajjuṃ mītvā tasyāś caturviṃśena bhāgena vediṃ vimimīte prakramasthānīyā bhavati
9.22.7	agniṣṭhaṃ dvābhyāṃ raśanābhyāṃ parivīyaikādaśinīraśanā agniṣṭhe parivīya vāsayati
9.22.8	śvo bhūta āśvinaṃ gṛhītvā yūpān saṃminoti
9.22.9	pūrvedyuḥ saṃmānam eke samāmananti
9.22.10	tantram abhrer ādānaṃ parilekhano 'bhyāvartate
9.22.11	dakṣiṇam agniṣṭhāt parilikhyottaraṃ parilikhaty evaṃ vyatyāsam udagapavargān
9.22.12	rathākṣamātrāṇi yūpāntarālāni bhavanti
9.22.13	vedisaṃmitāṃ vā minoti
9.22.14	samānajātīyenaikaikam anusameti kṛtsnam ekaikam āñjanaprabhṛti dviraśanam apavarjayati
9.22.15	pratiyūpaṃ svaravaḥ
9.22.16	uparasaṃmitāṃ muniyāt pitṛlokakāmasya
9.22.17	raśanasaṃmitāṃ madhye ca saṃmitāṃ manuṣyalokakāmasya
9.22.18	caṣālasaṃmitām indriyakāmasya
9.22.19	sarvān samān pratiṣṭhākāmasya
9.22.20	ye trayo madhyamās tān samān paśukāmasya vyatiṣajed itarān prajayaivainaṃ paśubhir vyatiṣajati
9.22.21	yaṃ kāmayeta pramāyukaḥ syād iti gartamitaṃ tasya minuyād uttarārdhyaṃ varṣiṣṭham athetarān hrasīyasaḥ
9.22.22	dakṣiṇārdhyaṃ varṣiṣṭhaṃ minuyāt svargakāmasyāthetarān hrasīyasohrasīyasaḥ
9.22.23	ārāgrām abhicaratas teṣām agniṣṭhaṃ varṣiṣṭham athetarān hrasīyasohrasīyasaḥ
9.22.24	samavasrāviṇīṃ vṛṣṭikāmasya teṣām agniṣṭhaṃ hrasiṣṭham athetarān varṣīyasovarṣīyasaḥ
9.22.25	vyatyastaṃ bhrātṛvyavato hrasvaṃ dīrghaṃ ca vyatiṣajet
9.22.26	yadi kāmayeta viṭkṣatrād ojīyasī syād iti ye 'gniṣṭhād dakṣiṇe tān varṣīyaso varṣīyaso minuyāt
9.22.27	yadi kāmayeta kṣatraṃ viśa ojīyaḥ syād iti ye 'gniṣṭhād uttare tān varṣīyasovarṣīyaso minuyāt
9.23.1	āyāmata uparāṇi samānāni syus tiryakto madhyāni raśanāś ca prathimnaś caṣālāni
9.23.2	upaśayam aṅktvā dvābhyāṃ raśanābhyāṃ parivīyāgreṇa dakṣiṇārdhyaṃ yūpaṃ nidadhyāt
9.23.3	yady abhicared idam aham amum āmuṣyāyaṇam indrasya vajreṇābhinidadhāmīti prāñcam upaśayaṃ nidadhyāt
9.23.4	paśukāla āgneyam asitaśīrṣam agniṣṭha upākaroti sārasvatīṃ meṣīm uttarataḥ saumyaṃ babhruṃ dakṣiṇata evaṃ vyatyāsaṃ dakṣiṇāpavargān pauṣṇaṃ śyāmaṃ śitipṛṣṭhaṃ bārhaspatyaṃ śilpaṃ vaiśvadevam aindram aruṇaṃ mārutaṃ kalmāṣam aindrāgnaṃ saṃhitam adhorāmaṃ sāvitraṃ vāruṇaṃ petvam uttamam
9.23.5	yadi kāmayeta yo 'vagataḥ so 'parudhyatāṃ yo 'paruddhaḥ so 'vagacchatv ity aindrasya loke vāruṇam ālabheta vāruṇasya loka aindraṃ ya evāvagataḥ so 'parudhyate yo 'paruddhaḥ so 'vagacchati
9.23.6	yadi kāmayeta prajā muhyeyur iti paśūn vyatiṣajed iti prajā eva mohayati
9.23.7	yad abhivāhato 'pāṃ vāruṇam ālabheta prajā varuṇo gṛhṇīyād dakṣiṇata udañcam ālabhate 'pavāhataḥ
9.23.8	āraṇyaṃ paśum ākhuṃ voṣaśaye nirdiśaty asau te paśus iti nirdiśed yaṃ dviṣyād yadi na dviṣyād ākhus te paśur iti brūyāt
9.23.9	sarveṣāṃ pratipaśu barhīṃṣi vapāśrapaṇyaḥ kumbhyo hṛdayaśūlāḥ plakṣaśākhāś ca
9.23.10	tantram agner haraṇam adhrigur uttamaḥ prayājas tathā pūrvaḥ parivapyo 'ntataḥ saṃjñaptahomo raśanānām udasanam uttaraḥ parivapyo vapāśrapaṇīnām anupraharaṇam abhihomo mārjanaṃ varadānaṃ ca
9.24.1	tasyatasyābhyāvartate manotā vā
9.24.2	sarveṣāṃ tryaṅgāṇi samavattaṃ ca
9.24.3	tasyatasyardharce vasāhomaṃ juhoti
9.24.4	sarveṣāṃ gudair upayaja upayajati
9.24.5	jāghanībhiś ca patnīḥ saṃyājayanti
9.24.6	anūbandhyāvapāyāṃ hutāyām agreṇa śālāmukhīyam adhonābhim acaṣālaṃ dviraśanaṃ pātnīvatasya yūpaṃ saṃmāya tasmiṃs tvāṣṭraṃ sāṇḍaṃ lomaśaṃ piṅgalaṃ bahurūpam upākaroti paryagnikṛtam utsṛjyājyena śeṣaṃ saṃsthāpayet
9.24.7	yadi kāpeyī paśvekādaśinī syād abhita āgneyam aindrau paśū bhavataḥ sārasvataḥ saumyaḥ pauṣṇo bārhaspatya ity uttarato vaiśvadevo mārutaḥ sāvitro vāruṇa iti dakṣiṇataḥ
9.24.8	tām etāṃ kāpeyā vidus tām atirātracarama ālabheta
9.24.9	sāhīneṣu liṅgasaṃyogāt
9.24.10	satrīyetarā bhavati
9.24.11	ukṣarṣabho vaśā vehad dhenur vatso 'naḍvān iti gonāmabhir gavyān paśūn pratīyāt
9.24.12	svair itarān
9.24.13	ekadevateṣv ananyadevatavyaveteṣu samānaḥ paśupuroḍāśo bhavati bhavati
10.1.1	agniṣṭomasya yājamānaṃ vyākhyāsyāmaḥ
10.1.2	purastād dīkṣābhyo rājānam āhārya pariveveṣṭi
10.1.3	tad dīkṣāsu nivartate
10.1.4	brāhmaṇān ārṣeyān ṛtvijaḥ ṣoḍaśaikaikaśo vṛṇīte
10.1.5	hotā maitrāvaruṇo 'cchāvāko grāvastuc ca hotāro 'dhvaryuḥ pratiprasthātā neṣṭonnetā cādhvaryavo brahmā brāhmaṇācchaṃsy āgnīdhraḥ potā ca brahmāṇa udgātā prastotā pratihartā subrahmaṇyaś codgātāraḥ
10.1.6	sadasyaḥ saptadaśaḥ
10.1.7	athartvijo vṛṇīte
10.1.8	agnir devo daivyo hotā sa me hotāstv ity upāṃśu daivyaṃ hotāraṃ vṛṇīte asau mānuṣas taṃ hotāraṃ vṛṇa ity uccair mānuṣam
10.1.9	evam itareṣūpāṃśu daivyaṃ vṛṇīta uccair mānuṣam
10.1.10	ādityo devo daviyo 'dhvaryuḥ sa me 'dhvaryur astv asau mānuṣas tam adhvaryuṃ vṛṇa ity adhvaryuṃ candramā devo daivyo brahmā sa me brahmāstv asau mānuṣas taṃ brahmāṇaṃ vṛṇa iti brahmāṇaṃ parjanyo devo daivya udgātā sa ma udgātāstv asau mānuṣas tam udgātāraṃ vṛṇa ity udgātāram ākāśo devo daivyaḥ sadasyaḥ sa me sadasyo 'stv asau mānuṣas taṃ sadasyaṃ vṛṇa iti sadasyam āpo devīr daivyā hotrāśaṃsinyas tā me hotrāśaṃsinyaḥ santv amī mānuṣās tān hotrāśaṃsinīr vṛṇa iti hotrakān raśmayo devā daivyāś camasādhvaryavas te me camasādhvaryavaḥsantv amī mānuṣās tān camasādhvaryūn vṛṇa iti camasādhvaryūn
10.2.1	api vā hotāram adhvaryuṃ brahmāṇam udgātāraṃ caitān eva vṛṇīte
10.2.2	atha kṣatriyaṃ devayajanaṃ yācate
10.2.3	sa ced dadāti devayajanavān bhūyā ity enam āha na ced yad ahaṃ devayajanaṃ veda tasmiṃs tvā vṛścānīty evam āha
10.2.4	athainam abhivyāhārayanti
10.2.5	vācam upāvadhīr vāk tvā hāsyatīti hotā prāṇam upāvadhīḥ prāṇas tvā hāsyatīty adhvaryur mana upāvadhīr manas tva hāsyatīti brahmā cakṣur upāvadhīś cakṣus tvā hāsyatīty udgātā śrotram upāvadhīḥ śrotraṃ tvā hāsyatīti hotrakā ātmānam upāvadhīr ātmā tvā hāsyatīti sadasyo 'ṅgāny upāvadhīr aṅgāni tvā hāsyantīti camasādhvaryavaḥ prajāpatim upāvadhīḥ prajāpatis tvā hāsyatīti yajamāno bhūtāny upāvadhīr bhūtāni tvā hāsyantīti sarve
10.2.6	athartvijo devayajanaṃ yācate
10.2.7	agnir me hotā sa me devayajanaṃ dadātv ity upāṃśu hotar devayajanaṃ me dehīty uccair mānuṣam
10.2.8	evam itareṣūpāṃśu devatānāmadheyam abhivyāharaty uccair mānuṣasya
10.2.9	ādityo me 'dhvaryuḥ sa me devayajanaṃ dadātv adhvaryo devayajanaṃ me dehīty adhvaryuṃ candramā me brahmā sa me devayajanaṃ dadātu brahman devayajanaṃ me dehīti brahmāṇaṃ parjanyo ma udgātā sa me devayajanaṃ dadātūdgātar devayajanaṃ me dehīty udgātāram ākāśo me sadasyaḥ sa me devayajanaṃ dadātu sadasya devayajanaṃ me dehīti sadasyam āpo me hotrāśaṃsinyas tā me devayajanaṃ dadatu hotrāśaṃsinyo me devayajanaṃ me datteti hotrakān raśmayo me camasādhvaryavas te me devayajanaṃ dadatu camasādhvaryavo devayajanaṃ me datteti camasādhvaryūn
10.3.1	yācitvaidam aganma devayajanaṃ pṛthivyā iti devayajanam adhyavasyati
10.3.2	yat samaṃ pratiṣṭhitam oṣadhivad anūṣaram abhaṅguram anupahitam aniriṇam avisragdāri
10.3.3	prācīnapravaṇam udīcīnapravaṇaṃ prāgudakpravaṇaṃ vā
10.3.4	yasmāt sthalāntaram abhito bhavati
10.3.5	na devayajanamātraṃ purastād atiśinaṣṭi
10.3.6	yāvān vā śamyāprāsaḥ
10.3.7	yāvat samaṃ pratiṣṭhitaṃ tad gataśrīr yajeteti nitye kāmye
10.3.8	atipravrakhye 'bhicaran yajeta guhākye 'bhiśasyamānaḥ
10.3.9	purohaviṣi devayajane yājayed iti brāhmaṇavyākhyātāni kāmyāni devayajanāni teṣāṃ yāthākāmī
10.3.10	aparāhṇe dīkṣate
10.3.11	yaḥ kāmayeta tapasvī syām iti sa pūrvāhṇe
10.3.12	yad asya yajñārthaṃ tan nirādiśya śeṣād bhuñjate 'nirādiśya vā tasya na bhuñjate prāg agnīṣomīyāt
10.3.13	svasty uttarāṇy aśīyeti sarvatra keśeṣūpyamāneṣu japati
10.3.14	kṛte nāpitakṛtya audumbareṇa dato dhāvate lohitam anāgamayan
10.3.15	hiraṇyavarṇāḥ śucayaḥ pāvakā ity eṣā hiraṇyavarṇāḥ śucayaḥ pāvakā vṛtraṃ bhitvā pracakramur hitvāvadyam āpaḥ / śataṃ pavitrā vitatā hy āsāṃ tābhir no devaḥ savitā punātu / āpo asmān mātaraḥ śudhantv iti ca śaṅkhini hrade hiraṇyam avadhāya sthāvarāsu snāti
10.3.16	yal lomaśam avakāśaṃ tīrthaṃ tasmin snāti kuṇḍe snātīty ekeṣām
10.3.17	ud ābhyaḥ śucir ā pūta emīti snātvodgāhate
10.3.18	upaspṛśyācamaya
10.4.1	dīkṣāsi tanūr asi tāṃ tvā śivāṃ syonāṃ paridhiṣīyeti kṣaumaṃ vāso 'hataṃ mahat paridhatte somasya tanūr asi tanuvaṃ me pāhīti ca
10.4.2	sūryasya vāso 'si nīvir nāmorjam asmāsu dhehīti tasya nīvim anuparikalpayate
10.4.3	ūrje tvety aśnāty ūrjam asmāsu dhehīti vā yad asya manasaḥ priyaṃ sarpirmiśraṃ dadhi madhu vābhyupasekam
10.4.4	āśito bhavati
10.4.5	kanīyaḥkanīyo 'ta ūrdhvaṃ vratayati
10.4.6	mahīnāṃ payo 'sīti darbhapuñjīlābhyāṃ gavyaṃ navanītaṃ samudyauti varcodhā asi varco mayi dhehīti tenābhyaṅkte mukham agre 'nulomam itarāṇy aṅgāni svabhyakto bhavati
10.4.7	vṛtrasya kanīnikāsīti traikakudenāñjanenāṅkte
10.4.8	tasminn avidyamāne yenaiva kenacit
10.4.9	satūlayā śareṣīkayā darbheṣīkayā vā darbhapuñjīlena vābhyantaram anidhāvayaṃs trir ekaikaṃ dakṣiṇaṃ pūrvam āṅkte
10.4.10	dvir vā savyam
10.4.11	dvir dakṣiṇaṃ sakṛt savyam ity ekeṣām
10.4.12	na punar niṣecayati
10.4.13	tasya te pavitrapate pavitreṇeti pāvyamāno japati citpatir mā punātu vākpatir mā punātu devo mā savitā punātv iti ca pavamānaḥ suvarjana iti caitam anuvākam
10.5.1	ā vo devāsa īmaha iti pūrveṇa dvāreṇa prāgvaṃśaṃ praviśañ japati
10.5.2	vidyud asīty apa upaspṛśyāpareṇāhavanīyaṃ dakṣiṇātikramya dakṣiṇata upaviśati
10.5.3	tasyaiṣa eva saṃcara ā sutyāyāḥ
10.5.4	indrāgnī dyāvāpṛthivī ity āhavanīyam abhimantrayate
10.5.5	antarvedi kṛṣṇājinasyāstīrṇasyarksāmayoḥ śilpe stha iti śuklakṛṣṇe rājī ālabhate
10.5.6	suśarmāsīti dakṣiṇato bhasatta ārohatīmāṃ dhiyaṃ śikṣamāṇasya deveti ca sutrāmāṇaṃ pṛthivīṃ dyām anehasam iti cemāṃ su nāvam āruham iti vā
10.5.7	āhaṃ dīkṣām aruham ṛtasya patnīṃ gāyatreṇa chandasā brahmaṇā cartaṃ satye 'dhāyi satyam ṛte 'dhāyy ṛtaṃ ca me satyaṃ cābhūtāṃ jyotir abhūvaṃ suvar agamaṃ suvargaṃ lokaṃ nākasya pṛṣṭhaṃ bradhnasya viṣṭapam agamam ity āruhya japati
10.5.8	viṣṇoḥ śarmāsīti kṛṣṇājinena dakṣiṇam aṃsaṃ pracchādayati
10.5.9	nakṣatrāṇāṃ mātīkāśāt pāhīti vāsasā śiraḥ praveṣṭayate
10.5.10	prattayā kṛṣṇaviṣāṇayā kṛṣyai tvā susasyāyā iti veder loṣṭam uddhanti
10.5.11	supippalābhyas tvauṣadhībhya iti śirasi kaṇḍūyate
10.5.12	viṣāṇe viṣyaitaṃ granthiṃ yad asya gulphidaṃ hṛdi mano yad asya gulphidam ity avaśiṣṭāny aṅgāni
10.5.13	sūpasthā devo vanaspatir ūrdhvo mā pāhy odṛca iti daṇḍaṃ pratigṛhṇāti
10.6.1	agnir dīkṣitaḥ pṛthivī dīkṣā tayāgnir dīkṣayā dīkṣito yayāgnir dīkṣayā dīkṣitaḥ sā mā dīkṣā dīkṣayatu tayā dīkṣayā dīkṣe
10.6.2	vāyur dīkṣito 'ntarikṣaṃ dīkṣā tayā vāyurdīkṣayā dīkṣito yayā vāyurdīkṣayā dīkṣitaḥ sā mā dīkṣā dīkṣāyatu tayā dīkṣayā dīkṣe
10.6.3	ādityo dīkṣito dyaur dīkṣā tayādityo dīkṣayā dīkṣito yayādityo dīkṣayā dīkṣitaḥ sā mā dīkṣā dīkṣayatu tayā dīkṣayā dīkṣe
10.6.4	candramā dīkṣito nakṣatrāṇi dīkṣā tayā candramā dīkṣayā dīkṣito yayā candramā dīkṣayā dīkṣitaḥ sā mā dīkṣā dīkṣayatu tayā dīkṣayā dīkṣe
10.6.5	varuṇo rājā dīkṣita āpo dīkṣā tayā varuṇo rājā dīkṣayā dīkṣito yayā varuṇo rājā dīkṣayā dīkṣitaḥ sā mā dīkṣā dīkṣayatu tayā dīkṣayā dīkṣe
10.6.6	somo rājā dīkṣita oṣadhayo dīkṣā tayā somo rājā dīkṣayā dīkṣito yayā somo rājā dīkṣayā dīkṣitaḥ sā mā dīkṣā dīkṣayatu tayā dīkṣayā dīkṣe
10.6.7	prāṇo dīkṣito vāg dīkṣā tayā prāṇo dīkṣayā dīkṣito yayā prāṇo dīkṣayā dīkṣitaḥ sā mā dīkṣā dīkṣayatu tayā dīkṣayā dīkṣe
10.6.8	prajāpatir dīkṣito mano dīkṣā tayā prajāpatir dīkṣayā dīkṣito yayā prajāpatir dīkṣayā dīkṣitaḥ sā mā dīkṣā dīkṣayatu tayā dīkṣayā dīkṣe
10.6.9	vācā me vāg dīkṣatām agnaye samaṣṭavā u prāṇena me prāṇo dīkṣatāṃ vāyave samaṣṭavā u cakṣuṣā me cakṣur dīkṣatāṃ sūryāya samaṣṭavā u manasā me mano dīkṣatāṃ prajāpataye samaṣṭavā u dyauś ca pṛthivī cāhaś ca rātriś ca kṛṣiś ca vṛṣṭiś ca tviṣiś cāpacitiś cāpaś cauṣadhayaś cork ca sūnṛtā ca tā mā dīkṣamāṇam anu dīkṣantāṃ bhūr bhuvaḥ suvaḥ satyaṃ ma ātmā śraddhā me kṣitis tapo me pratiṣṭhā śraddhā satyaṃ gṛhapatir iti keśinīṃ dīkṣāṃ japitvā
10.6.10	svāhā yajñaṃ manaseti dve aṅgulī nirbhujati svāhā dyāvāpṛthivībhyām iti dve svāhoror antarikṣād iti dve svāhā yajñaṃ vātād ārabha iti muṣṭī kṛtvaiṣṭrīḥ stheti catasro 'ṅgulīrutsṛjati tābhiryathāsukhaṃ carati vācaṃ ca yacchati
10.6.11	yadi pramatto vyāhared vaiṣṇavīm āgnāvaiṣṇavīṃ sārasvatīṃ bārhaspatyām ity anūcya vyāhṛtīś ca punar vācaṃ yacchati
10.6.12	nānṛtaṃ vadati
10.6.13	na māṃsam aśnāti
10.6.14	na striyam upaiti
10.6.15	nopary āste
10.6.16	na niṣṭhīvate
10.6.17	na dato dhavate
10.6.18	nāviṣkurute
10.6.19	nānatau smayetāpigṛhya smayeta
10.6.20	abaddhaṃ mana ity amedhyaṃ dṛṣṭvā japati
10.6.21	undatīr balaṃ dhattety abhivṛṣyamāṇo japati
10.6.22	dakṣiṇena vihāraṃ dīkṣitāgāre viharati
10.7.1	nānyatra kṛṣṇājinād āste śete vā
10.7.2	nainam anyatra dīkṣitavimitāt sūryo 'bhinimrocen nābhyudiyāt
10.7.3	naktam eva mūtrapurīṣe kuryād divā vā chāyāyām
10.7.4	mūtraṃ cikīrṣann iyaṃ te yajñiyā tanūr iti viṣāṇayā loṣṭaṃ kiṃcid vopahatya tad ādāyāpo muñcāmi na prajām aṃhomucaḥ svāhākṛtāḥ pṛthivīm āviśateti prasrāvayaty apa upaspṛśyācamya pṛthivyāṃ saṃbhaveti tat pratinidadhāti pṛthivyāḥ saṃbhaveti vā
10.7.5	nainaṃ śūdro 'nupraviśati
10.7.6	brāhmaṇena rājanyena vaiśyena vā saṃbhāṣeta
10.7.7	na kaṃcana pratyuttiṣṭhati
10.7.8	nābhivādayate
10.7.9	sarva evainam abhivādayeran sarvān evābhivadet
10.7.10	yady enaṃ śūdreṇa saṃbhāṣopeyād eteṣāṃ varṇānām ekaṃ brūyād imam itthaṃ vicakṣveti
10.7.11	laukikīṃ vācaṃ vadan nāmadheyeṣu vicakṣaṇaṃ canasitaṃ cāntato dadhāti
10.7.12	na pacati na dadāti na kāṃcanāhutiṃ juhoty anyatra kratusaṃyuktābhyaḥ
10.7.13	tad ahar dīkṣito rātriṃ jāgarti
10.7.14	na vrataṃ bhavati
10.7.15	nakṣatraṃ dṛṣṭvā tūṣṇīm eva vācaṃ visṛjate
10.7.16	yatrainaṃ vratapradaḥ saṃpreṣyati tasmin kāle vācaṃ yacchati
