#Text:Mānavaśrautasūtra
#Data entry:M. Fushimi



1.1.1.1	uttarata upacāro vihāraḥ
4.3.34	hutaṃ havir iti prātaragnihotradharmeṇa juhoti
4.3.35	aśyāma te deva gharmeti samupahūya bhakṣayanty ṛtvijo yajamānaś ca / prāṇabhakṣeṇādīkṣitā bhakṣayanti
4.3.36	upayāmam adhinirṇejanīye prakṣālya ninayanaprabhṛti siddham ā bhakṣaṇāt
4.3.37	āyurdā iti rukmavatībhir antarvedi mārjayante
4.3.38	parigrāhābhyāṃ mahāvīram ādāya saṃsādyamānāyānubrūhīty anuvācayati
4.3.39	aparamaparaṃ pūrvaṃpūrvaṃ vottaramuttaraṃ vā tasyāṃ ca parigharmyāṇi // svāhā tvā sūryasya raśmibhya iti darbhaiḥ prachādya kṛṣṇājinena ca dīkṣitasaṃcareṇātihṛtya dakṣiṇata āhavanīyāsyāsandīm upakṛṣya namo vāca ity oṣadhipāṇayo 'dhinirṇejanīye mārjayante
4.3.40	iḍāyās padam asīti prādeśaiḥ pratyaksavyair loṣṭāny upāsyanti
4.3.41	apa upaspṛśya pṛthivī śāntir ity abhyukṣyod vayaṃ tamasas parīty ādityam avekṣate
4.3.42	mitrasyeti prekṣamāṇasamīkṣaṇe
4.3.43	brahmaṇa upastaraṇam asīti mārjanāny avasṛjya vāmadevyaṃ japitvā pañcaindrīṃ japitvā svasti na indro vṛddhaśravā [ japitvā ] āpo hi ṣṭheti śāntikarmaṇa āntād anuvākasya
4.3.44	etena dharmeṇāparāhṇiko vyākhyāto 'nyayoḥ kapālayo rauhiṇayoḥ
4.3.45	rātrir iti rauhiṇastomaḥ
4.3.46	apīparo mā rātryā iti samidham ādadhāti
4.3.47	hutaṃ havir iti sāyamagnihotradharmeṇa juhoti
4.3.48	svāhā tvā nakṣatrebhya iti prachādya śaṃ no vāta ity abhyastamite homaḥ
4.3.49	etena dharmeṇa trirupasatko vyākhyāto 'hanyahany ekaiko mahāvīro bhavati
4.3.50	etena dharmeṇa ṣaḍupasatko vyākhyāto dvyahaṃdvyaham ekaiko mahāvīro bhavati
4.3.51	etena dharmeṇa dvādaśopasatko vyākhyātaś caturahaṃcaturaham ekaiko mahāvīro bhavati mahāvīro bhavati
4.4.1	athāta utsādanam
4.4.2	upayāmaṃ dadhigharmāya nidadhāti
4.4.3	kharāv antarīkṛtya saṃvapaty ayutaṃ bahir adhinirṇejanīyam
4.4.4	saṃpraiṣaḥ sakṛd uttareṇa vedīm āharaty ṛtvijāṃ gatyā
4.4.5	agreṇāhavanīyam āsandīm avasthāpya tasyāṃ mahāvīrān nidadhāty aparamaparaṃ pūrvaṃpūrvaṃ vottaramuttaraṃ vā tasyāṃ ca parigharmyāṇi
4.4.6	paścād āhavanīyasya gāyatrīṃ chanda iti prayadyanta ṛtvijo yajamānaś ca
4.4.7	paśūnāṃ jyotir asīti mahāvīre sarpir ānayaty uttarābhyāṃ madhudadhītarayoḥ
4.4.8	ājyaṃ saṃskṛtya darbhakūrcān ādīpyāsyadaghne dhārayamāṇo gharma yā te divi śug iti juhoty uttarābhyāṃ nābhidaghnajānudaghnayoḥ
4.4.9	anv adya na ity upaviśati
4.4.10	pūṣṇa iti pañcāhutīr juhoty uttarābhyāṃ pratidiśaṃ pratyeti
4.4.11	upotthāyodgātaḥ sāma gāyeti preṣyati prastotar iti vā / tasya sarve nidhanam upayanti
4.4.12	anv adya no anumatir anv id anumata iti sarve japanti
4.4.13	brahmaṇas tvā paraspāyā ity anuniṣkrāmati // prāṇasya tveti samayārdhe dvitīyaṃ // divas tveti prāpya tṛtīyam
4.4.14	apa dveṣa iti cātvāle 'dhinirṇejanīyaṃ pratiṣṭhāpyāpa upaspṛśyottarata uttavedeḥ svayamātṛṇṇāyā vā kharau nyupya puruṣākṛtiṃ vidadhāty ādityākṛtiṃ vā
4.4.15	vyuhyāvokṣyāvakām āstīrya tasyāṃ vyāhṛtibhir hiraṇyaśakaleṣu mahāvīrān sādayaty aparamaparaṃ pūrvaṃpūrvaṃ vottaramuttaraṃ vā tasyāṃ ca parigharmyāṇi
4.4.16	dadhnaḥ pātrāṇi pūrayitvābhito nidadhāti
4.4.17	vedaṃ pramucyābhitaḥ saṃstṛṇāti
4.4.18	darbhaiḥ prachādya kṛṣṇājinena ca catuḥsraktir ity āsandyābhivikramayati
4.4.19	gharmaitat te kṛtam ity upatiṣṭhanta ṛtvijo yajamānaś ca // vy asāv iti ca yaṃ dviṣyāt tasya nāma gṛhṇīyāt tūṣṇīm anabhicaran
4.4.20	valgur iti pariṣecanaṃ samudrasya tvāvakayā himasya tvā jarāyuṇeti ca
4.4.21	punar ūrjā saha rayyā nivartasvety uktvāvartate
4.4.22	etasmin kāle yajamāna uttarata uttaravedeḥ prāṅmukha ūrdhvas tiṣṭhan sumitrā na ity apo 'ñjalinā gṛhītvā durmitrā iti prācīr bahirvedi nirasyati
4.4.23	trir eṣa kalpaḥ pariṣicyamāne
4.4.24	apa upaspṛśya vārṣāharaṃ sāma gāyeti preṣyati
4.4.25	pariṣikta iṣṭāhotrīyam
4.4.26	pariṣikte rantir nāmāsīti gandharvanāmabhiḥ sarvata upatiṣṭhanta ṛtvijo yajamānaś ca
4.4.27	etat tvaṃ deva gharmeti yajamānaḥ [ japati ]
4.4.28	idam aham āvarta ity uktvāvartate
4.4.29	namo devebhya iti namaskaroti
4.4.30	punar ūrjā saha rayyā nivartasveti pratiparyāvartate
4.4.31	ājyasthālīṃ sruvaṃ cādāya śyaitaṃ sāma gāyeti preṣyati
4.4.32	āvrajan gāyate / tasya yajamāno nidhanam upaiti
4.4.33	idaṃ viṣṇur iti padalobhanaḥ
4.4.34	tvam agne gṛhapatir iti dvābhyāṃ gārhapatyam upatiṣṭhate
4.4.35	pra tad viṣṇur iti homa // imam ū ṣu tvam asmākam iti dvitīyo / vyāhṛtibhiś catvāraḥ
4.4.36	vāmadevyaṃ sāma gāyeti preṣyati
4.4.37	ājyasthālīṃ sruvaṃ ca dadhnaḥ pūrayitvāsandīm upakṛṣya namo vāca ity oṣadhipāṇayaś cātvāle mārjayante
4.4.38	yadi mahāvīra upadasyet pra vāṃ daṃsāṃsīty upadasta āpyāyyamānaḥ
4.4.39	yadi mahāvīro bhidyeta mā no gharma hvarita ity etābhyāṃ pratyṛcam āhutīr juhuyād vyāhṛtibhiś ca
4.4.40	vyākhyātaṃ karaṇam
4.4.41	gharmaḥ śira iti yathākālaṃ gharmeṣṭakām upadadhāti
4.4.42	pūṣṇa āghṛṇaye svāheti yathākālaṃ svayam eva pañcāhutīr juhoti
4.4.43	ugraś ca bhīmaś ceti yathākālam araṇye 'nuvākyo gaṇo gaṇaḥ
4.5.1	athāto dadhigharmeṇa caranti
4.5.2	mādhyaṃdine savane grahān saṃmṛśyopayāmaṃ darbhaiḥ prakṣālya paścād āgnīdhrīyasya gāyatrīṃ chanda iti prapadyanta ṛtvijo yajamānaś ca
4.5.3	hotar vadasvety uktvā jyotir asīty upayāme dadhy ānīya śrātaṃ haviḥ śrātaṃ devebhya iti preṣyati
4.5.4	yadi śrāto juhotana yady aśrāto mamattaneti śrutvā sthānaṃ gatvāśrāvayati
4.5.5	pratyāśrute dadhigharmasya yajeti preṣyati
4.5.6	yam indram iti pratinigadya vaṣaṭkṛte na sarvaṃ juhoti // tābhyāṃ svāhā vaṣaḍ ity anuvaṣaṭkṛte
4.5.7	upayāme bhakṣaṃ harati
4.5.8	sado gatvopahūtopahvayasvety uktvopahūtā upahvayadhvam iti vā
4.5.9	bhūr bhuvaḥ svar mayi tyad iti bhakṣayanti
4.5.10	gharmam upayāmaṃ mārjālīye darbhaiḥ prakṣālya dadhnā pūrayitvodasya śuṣmād ity āhavanīya ādadhāti
4.5.11	uttame 'hany ahargaṇāḥ
4.5.12	namo vāca ity oṣadhipāṇayaś cātvālānte mārjayante
4.6.1	athāsurigavyaḥ
4.6.2	vijre vikṣipe vidhama iti tisro vijra ehīty aṣṭau
4.6.3	yaṃ dviṣyāt tasya gavāṃ madhye vijre vikṣipe vidhama ity āhūya prāgudayān niṣkramya dakṣiṇato grāmasya paścād vā śucau deśe svakṛta iriṇe 'gniṃ prajvālya kṛṣṇāyāḥ kṛṣṇānāṃ vrīhīṇāṃ payasi sthālīpākaṃ śrapayitvā / tasminn upasamādhāya parisamuhya paryukṣya śaraiḥ paristīryāsṛṅmukha iti sthālīpākasya hutvā / prāk sviṣṭakṛtaḥ śarabhṛṣṭinā dakṣiṇasyoror deśasya savyam asyāṅge dakṣiṇā niḥkāsya sthalam
4.6.4	vṛkṣam āruhya grāmaṃ nagaraṃ janapadaṃ vā yaṃ dviṣyāt taṃ dhruvor ity avekṣeta sa sadyo vinaśyati
4.6.5	ud vayaṃ tamasas parīty ādityam avekṣate
4.6.6	pratyetya namo vāca ity oṣadhipāṇir mārjayate mārjayate
4.7.1	avāntaradīkṣām upaiṣyann udagayane jyautsne puṇye nakṣatre 'nyatra navamyāḥ prāg astamayān niṣkramyottarato grāmasya purastād vā śucau deśe 'hatena vāsasā pariṇaddhaḥ sarvarātraṃ tiṣṭhet strīśūdram anabhibhāṣamāṇaḥ
4.7.2	śvobhūte 'gniṃ sūryaṃ gāṃ hiraṇyaṃ brāhmaṇam udakāṃsyaṃ ca kanyāṃ patikāmām iti nidarśayet
4.7.3	tatraivāgnim upasamādhāya caityasyāśvatthasyārdrāś catasraḥ samidhaḥ stibhigavatīḥ sahapalāśāḥ prādeśamātrīḥ sarpiṣi paryastāḥ pṛthivī samid iti svāhākārāntābhir ādadhāti
4.7.4	agne vratapata iti vrataṃ pradāyāditaḥ pañcaviṃśatim anuvākān anuvācayet
4.7.5	pariṇahanaṃ gāṃ kāṃsyaṃ ca gurave dadyāt
4.7.6	na naktaṃ bhuñjīta / yadi bhuñjītāpajvalitaṃ bhuñjīta
4.7.7	ahas tiṣṭhed rātrāv āsīnaḥ / parvasu caivaṃ syāt
4.7.8	evaṃyuktaḥ saṃvatsaraṃ caret trīn pañca sapta vā / traividyakaṃ ca caret
4.7.9	samāpte ca tāny utsṛjya namo vāca ity oṣadhipāṇir mārjayate mārjayate
4.8.1	āraṇyaṃ svādhyāyam adhyeṣyamāṇa udagayane jyautsne śukriyaṃ pūrvāhṇe na naktaṃ na bhuktvā na yāme na śoṇitaṃ dṛṣṭvāmaṃ vā māṃsam anyad vāmedhyaṃ parvasu ca partiṣiddham
4.8.2	prāg astamayād dhaviṣyam annam upayuñjānaḥ
4.8.3	prāg udayān niṣkramyottarato grāmasya purastād vā śucau deśe viṣṭarapāṇayo 'bhimukhās tad anucakṣuṣo yathākālaṃ svādhyāyam adhītya namo vāca ity oṣadhipāṇayo mārjayante
4.8.4	sarvatra rahasyamantraprayoge pratipattir mārjanaṃ ca pratipattir mārjanaṃ ca
5.1.1.1	iṣṭibhir yajeta paurṇamāsyām amāvāsyāyāṃ vā pūrvapakṣe vā puṇye nakṣatre 'nyatra navamyāḥ
5.1.1.2	prāyaścitteṣṭir āpatkālā / sadyaḥ kuryāt
5.1.1.3	tūṣṇīm agniṣv anvādhāya vratam upaity anyatra niyatakālābhyaḥ samṛtayajñāc ca
5.1.1.4	āhavanīyotkarāv antarā tīrthaṃ cātvālotkarāv antarā sacātvālāsu
5.1.1.5	saptadaśa sāmidhenyaḥ
5.1.1.6	pṛthupājās taṃ sabādha iti pṛthupājavatyau dhāyye / samidvatyāvantarā dhāyyāsthānam
5.1.1.7	ājyabhāgasviṣṭakṛtāv antarejyānāmāv āpaḥ
5.1.1.8	nigadamāvāhana uttame prayāje sviṣṭakṛti sūktavāke ca
5.1.1.9	avyavahitāḥ samānadevatāḥ sakṛd āvapet pratīcyaṃ vyavahitāḥ
5.1.1.10	vājino nāvāhayati
5.1.1.11	paśupuroḍāśaṃ yāni cānvāyatante trimātrāṇi bhavati // ye3 yajāmaha ādir ehy āvaheti co śrāvayety ādito dve brūhipreṣyaśrauṣaḍvauṣaṭsūpottamaṃ yājyāntaś ca / tasmin saṃdhyakṣarāṇy apragṛhyāṇi vivekena plavante
5.1.1.12	śastrānuvacanayor uttamam akṣaraṃ svarādy okārī bhavati
5.1.1.13	ṛksamavāye triḥ prathamottame
5.1.1.14	praṇavenarcaḥ saṃdadhāti
5.1.1.15	agnyādheyeṣṭiṣv ārambhaṇīyānunirvāpyā
5.1.1.16	anīkavatasāṃtapanakrīḍineṣu pañcadaśa sāmidhenyaḥ
5.1.1.17	rājanyāśrivadhryaśvavasiṣṭhavaiśyaśunakānāṃ kaṇvakaśyapasaṃkṛtīnāṃ narāśaṃso dvitīyaḥ prayājas tanūnapād anyeṣām ubhau yatra samāmnātau
5.1.1.18	yasyai devatāyai vaṣaṭkuryāt tāṃ manasā dhyāyet
5.1.1.19	āgneyenāṣṭākapālena svargakāmo yajeta paurṇamāsatantreṇa
5.1.1.20	agnir vṛtrāṇi jaṅghanat tvaṃ somāsi satpatir iti vārtraghnāv ājyabhāgau
5.1.1.21	agnir mūrdhā bhuvo yajñasyeti haviṣaḥ
5.1.1.22	piprīhi devān agne yad adyeti sviṣṭakṛtaḥ saṃyājye
5.1.1.23	paurṇamāsatantram anādeśe
5.1.1.24	kapāle naṣṭe prayuktānāṃ prāg udvāsanād agnaye vaiśvānarāya dvādaśakapālaṃ nirvapet
5.1.1.25	bhārgavo hotā
5.1.1.26	ekahāyano gaur dakṣiṇā
5.1.1.27	prāyaścittiḥ kalpaḥ
5.1.1.28	agne rakṣā ṇas tvaṃ naḥ someti rakṣitavantāv ājyabhāgau
5.1.1.29	vaiśvānaro na ūtyā pṛṣṭo divīti haviṣaḥ
5.1.1.30	viśvāni no 'gne tvaṃ pārayeti pārayadvatyau saṃyājye
5.1.1.31	sarvāsv ārambhaṇīyāsu paurṇamāsatantram
5.1.1.32	agnyādheye trihavir ārambhaṇīyā caturhavir vā
5.1.1.33	agnāviṣṇū sajoṣaseti ṣaṭtrihaviṣaḥ
5.1.1.34	tvam agne vīravat tvaṃ bhago na ity āgnāvaiṣṇavād anantare caturhaviṣaḥ
5.1.1.35	yadi kāmyo bhagī nānātantraḥ
5.1.1.36	vairājaḥ kalpaḥ
5.1.1.37	agniḥ pratnena manmanā soma gīrbhiṣ ṭvā vayam iti vṛdhanvantāv ājyabhāgau
5.1.1.38	āmnāte haviṣaḥ
5.1.1.39	preddho agna iti virājau saṃyājye
5.1.2.1	agnyādheyeṣṭīnāṃ pavamānasyāgna āyūṃṣi pavasa iti dve haviṣa uttare sviṣṭakṛtaḥ
5.1.2.2	agne pāvaka rociṣety uttarayoś catasra uttare sviṣṭakṛtaḥ
5.1.2.3	caturhaviṣo vairājaḥ kalpaḥ
5.1.2.4	āgnāvaiṣṇavasyāmnāte
5.1.2.5	kim it te viṣṇa iti ṣaḍ uttareṣām
5.1.2.6	punarādheye prayājānuyājānāṃ purastād vopariṣṭād vā vibhaktīḥ kuryād ye3 yajāmahe samidhaḥsamidho 'gnā ājyasya vyantv agnir agnis tanūnapād agnā ājyasya vetv agnimagnim iḍo 'gnā ājyasya vyantv agneragner barhir agnā ājyasya vetv agneragner iti / yathāmnāta uttamaḥ
5.1.2.7	agniṃ stomena bodhayeti ṣaḍ ājyabhāgahaviḥsviṣṭakṛtām
5.1.2.8	āgneyāvājyabhāgav agnir mūrdheti prajākāmasya paśukāmasya vā somasya loke kuryāt
5.1.2.9	devaṃ barhir vasuvane vasudheyasya vetv agneragner devo narāśaṃso vasuvane vasudheyasya vetv agneragner iti / yathāmnāta uttamaḥ
5.1.2.10	agnaye jyotiṣmate 'ṣṭākapālaṃ nirvaped vāruṇaṃ yavamayaṃ carum
5.1.2.11	tvam agne saprathā asi vṛṣā someti vṛṣaṇvantāv ājyabhāgau
5.1.2.12	agnir jāto arocateti haviṣaś catasraḥ
5.1.2.13	agnaye 'gnimate 'ṣṭākapālaṃ nirvapen maitraṃ caruṃ sauryam ekakapālam agnaye vratapataye 'gnaye pathikṛte 'gnaye śucaye 'gnaye kṣāmavate 'gnaye tapasvate janadvate pāvakavate 'gnaye tantumate 'gnaye vivice 'ṣṭākapālān
5.1.2.14	prāyaścittiḥ kalpaḥ
5.1.2.15	agnināgniḥ samidhyata iti ṣoḍaśa haviṣām
5.1.2.16	svayaṃ kṛṇvānas tvaṃ tantur iti tantumatyau
5.1.2.17	vi te viṣvag vātajūtāso agne bhāmāsaḥ śuce śucayaś caranti / tuvimrakṣāso divyā navagvās vanā vananti dhṛṣatā rujantaḥ / tvām agne mānuṣīr īḍate viśo hotrāvidaṃ viviciṃ ratnadhātamam / guhā santaṃ subhaga viśvadarśataṃ tuviṣvaṇasaṃ suyajaṃ ghṛtaśriyam / iti vaivicyau
5.1.3.1	vaiśvadeve 'gnaye mathyamānāyānubrūhīty ukte 'bhi tvā deva savitar iti pratipadyate // dasyuhantamam iti viramati
5.1.3.2	agnaye jātāyānubrūhīty ukte dhanaṃjayaṃ raṇeraṇo3m iti pratipadyate // bibhratīti viramati
5.1.3.3	agnaye prahriyamānāyānubrūhīty ukte viśām agniṃ svadhvaro3m iti pratipadyate
5.1.3.4	yajñena yajñam iti paridadhāti
5.1.3.5	atraiva tiṣṭhan sāmidhenīr anvāha
5.1.3.6	samidho agna iti nava prayājāḥ
5.1.3.7	agne yaṃ tvaṃ naḥ someti viśvatavantāv ājyabhāgau
5.1.3.8	agnir mūrdhā bhuvo yajñasyeti ṣoḍaśa haviṣām
5.1.3.9	sa havyavāḍ agniṃ stomeneti gāyatryau saṃyājye
5.1.3.10	devaṃ barhir iti navānuyājāḥ
5.1.3.11	śaṃ no vājevāja iti vājinasyāvyavānaṃ hotordhvajñur āsīno yajati / vājinasyāgne vīhīty anuvaṣaṭkaroti
5.1.3.12	varuṇapraghāseṣv agnipraṇayanakāle paścād āhavanīyasyopaviśati
5.1.3.13	agnaye praṇīyamānāyānubrūhīty ukte pra devam iti pratipadyate / trir vacanasyārdharcaṃ śiṣṭvā viramati
5.1.3.14	hute havyā no vakṣad ānuṣag ity upottiṣṭhaty amṛtād iva janmana iti viramati
5.1.3.15	tūṣṇīm anvety ādhānavelāyāṃ sahasaś cit sahīyān iti pratipadyate
5.1.3.16	tvaṃ dūta iti paridadhāti
5.1.3.17	agnimanthanaprabhṛti vaiśvadevena vyākhyātam
5.1.3.18	agninā rayim aśnavad gayasphāna iti rayimantāv ājyabhāgau
5.1.3.19	ūrdhvaṃ pañca saṃcarebhyaḥ / caturṇām indrāgnī rocanety aṣṭau
5.1.3.20	piprīhi devān agne yad adyeti sviṣṭakṛtaḥ saṃyājye
5.1.3.21	avabhṛthe 'ṣṭau dhvānena carati
5.1.3.22	prayājaprabhṛti yajati
5.1.3.23	barhiṣmantam udūhati
5.1.3.24	svāhāgnīvaruṇau hotārāv iti sviṣṭakṛtsthāne
5.1.3.25	apsv agne sadhiṣ ṭavāpsu me soma ity apsumantāv ājyabhāgau
5.1.3.26	ud uttamam ava te heḍa iti haviṣaḥ
5.1.3.27	tvaṃ no agna ity anūcya ye3 yajāmahe 'gnīvaruṇau sviṣṭakṛtav ayāṣṭām agnīvaruṇāv agneḥ priyā dhāmāny ayāṣṭāṃ somasya priyā dhāmāny ayāṣṭāṃ varuṇasya priyā dhāmāny ayāṣṭāṃ devānām ājyapānāṃ priyā dhāmāni yakṣato 'gnīvaruṇayor hotroḥ priyā dhāmāni yakṣataḥ svau mahimānav āyajeyātām ejyā iṣaḥ kṛṇutāṃ tāv adhvarā jātavedasau juṣetāṃ haviḥ sa tvaṃ na iti yajati
5.1.4.1	sākamedheṣv agnir vṛtrāṇi jaṅghanad iti ṣaḍ anīkavatasyaiṣa eva mṛte kalpaḥ
5.1.4.2	sāṃtapanasyottare haviṣaḥ
5.1.4.3	agniḥ pratnena manmaneti ṣaḍ gṛhamedhīyasya
5.1.4.4	ājyabhāgaprabhṛti yajati
5.1.4.5	ṛcam anūcyarcā sviṣṭakṛtam
5.1.4.6	iḍāntā saṃtiṣṭhate
5.1.4.7	agnim īḍa iti ṣaṭ krīḍinasya
5.1.4.8	vaiśvakarmaṇāntānāṃ vārtraghnaḥ kalpaḥ
5.1.4.9	agnipraṇayanaprabhṛti siddhaṃ yathā varuṇapraghāseṣu
5.1.4.10	ūrdhvaṃ pañca saṃcarebhya // indrāgnī navatim iti ṣaṭ trayāṇām
5.1.4.11	pitṛyajña uśantas tvā havāmaha ity ekāṃ sāmidhenīṃ trir anvāha
5.1.4.12	agne mahaṃ asi brāhmaṇa bhārata mānuṣeti na pravṛṇīte
5.1.4.13	deveddho manviddha iti yathāmnātam
5.1.4.14	agniṃ kavyavāhanam āvaheti sviṣṭakṛtpravāde kavyavāhanapravādaḥ
5.1.4.15	apabarhiṣaḥ prayājānuyājān yajati
5.1.4.16	ā no agne tvaṃ someti jīvitavantāv ājyabhāgau
5.1.4.17	uttarā dvādaśa haviḥsviṣṭakṛtām
5.1.4.18	idaṃ pitṛbhya udīratām ity udūhyete
5.1.4.19	dvedve puronuvākye
5.1.4.20	tāsām ṛcam adharmarcabhāgaṃ karoti
5.1.4.21	tṛtīyayā yajati
5.1.4.22	ye svadhāmaha ity āgūḥ
5.1.4.23	svadhā nama iti vaṣaṭkaroti
5.1.4.24	ādityasya paurṇamāsatantram
5.1.4.25	sutrāmāṇaṃ mahīm ū ṣv ity upāṃśuhaviṣaḥ
5.1.4.26	śunāsīryaṃ vaiśvadevena vyākhyātam
5.1.4.27	ūrdhvaṃ pañca saṃcarebhyaḥ // pra vāyum iti ṣaṭ trayāṇām
5.1.4.28	upāṃśudevatānām upāṃśudevatām ādiśati yājyānuvākye cājuṣatāvīvṛdhatākṛteti copāṃśuvāyavyāḥ
5.1.5.1	kāmyā upāṃśudevatāḥ / tāsv ekadhanam anādiṣṭadakṣiṇāsu dadyāt
5.1.5.2	sāṃgrāmikīṣu vārtraghnaḥ kalpaḥ
5.1.5.3	abhicaraṇīyāsu ca sa yadādīnāṃ prāyaścittikalpaḥ
5.1.5.4	grāmakāmabhūtikāmapaśukāmānāṃ rayimantāv ājyabhāgau
5.1.5.5	grāmakāmabhūtikāmayoḥ saṃvatyau saṃyājye sahasravatyau paśukāmasya
5.1.5.6	grāmakāmatantreṇaindrāgnena viyātsu viyāteṣu vā sajāteṣu yajeta
5.1.5.7	tasyā indrāgnī rocaneti dve haviṣaḥ
5.1.5.8	vārtraghnakalpena bhrātṛvyavān
5.1.5.9	vārtraghnāv ājyabhāgau
5.1.5.10	indrāgnī navatim iti dve haviṣaḥ
5.1.5.11	juṣṭo damūnā agne śardheti śardhavatyau saṃyājye
5.1.5.12	prajākāmasya vṛṣaṇvantāv ājyabhāgau
5.1.5.13	pra vām arcantīti dve haviṣa / uttare sviṣṭakṛtaḥ
5.1.5.14	saṃgrāmam abhiprayān saṃgrāmasaṃyājye / saṃyatyaitābhyām iṣṭvā vāniṣṭvā vā / jitvottarayā yajeta
5.1.5.15	tasyā indrāgnī rocaneti dve haviṣa / uttare pūrvayoḥ
5.1.5.16	paraṃ janapadam abhiprayān dvihaviṣā yajeta / yadi senayā vārtraghnaḥ kalpa / yadi janena grāmakāmaṃ tantram
5.1.5.17	yā vāṃ santīti dvihaviṣoś catasraḥ
5.1.5.18	kṣetram adhyavasyaṃs trihaviṣā yajeta
5.1.5.19	tasyā grāmakāmaṃ tantram
5.1.5.20	yā vāṃ santīti ṣaḍḍhaviṣām
5.1.5.21	saṃsam it sakhāya iti saṃvatyau saṃyājye
5.1.5.22	agnaye vaiśvānarāya dvādaśakapālaṃ nirvapet kāmāya sarvakāmāya
5.1.5.23	yathākāmaṃ tantram
5.1.5.24	vaiśvānaro na ūtyā pṛṣṭo divīti haviṣo / 'nāmnātayājyānuvākyānām ete vaiśvānarīyāṇām
5.1.5.25	agnir mūrdhā bhuvo yajñasyety āgneyānām
5.1.5.26	agnīṣomā savedasā yuvam etānīty agnīṣomīyāṇām
5.1.5.27	liṅgavatyo 'nyāsām
5.1.5.28	arvāk kālāt saṃdhāv abhidhrokṣyan yajeta
5.1.5.29	prāyaścittiḥ kalpaḥ
5.1.5.30	sanim abhyutthāsyan yajeta
5.1.5.31	rayimantāv ājyabhāgau
5.1.5.32	ṛtāvānam iti dve haviṣaḥ
5.1.5.33	iḍām agne tvaṃ no agna iti sanimatyau saṃyājye
5.1.5.34	sa yadā vanvītāthottarayā yajeta
5.1.5.35	yaṃ dviṣyāt tasmai saniṃ sātāṃ gāṃ kaṇṭhabandham ekahāyanaṃ dadyāt
5.1.5.36	vaiśvānarasyeti dve haviṣaḥ
5.1.5.37	duṣṭam abhojyasya vānnam aśiṣyan yajeta
5.1.5.38	sīsaṃ dakṣiṇā kṛṣṇaṃ vā vāsaḥ
5.1.5.39	rakṣitavantāv ājyabhāgau
5.1.5.40	viśvaṃ vivyāceti dve haviṣa / uttare sviṣṭakṛtaḥ
5.1.5.41	etayeṣṭvā vāniṣṭvā vā jagdhvottarayā yajeta
5.1.5.42	samānīya dakṣiṇā
5.1.5.43	yājyānuvākye ca vyākhyāte
5.1.5.44	tathā sāṃgrāmikyau ya iched ayam eva rājā syād yāvad imān yavān vrīhīn vādadhīyet
5.1.5.45	tasya ced aparo dhāveta vārtraghnaḥ kalpaḥ / yadi mṛtyor jīvitavān
5.1.5.46	dvihavir āmayāvinaḥ
5.1.5.47	jīvitavantāv ājyabhāgau
5.1.5.48	pārayadvatyau saṃyājye
5.1.5.49	jīvitavān kalpaḥ
5.1.5.50	dvihavir bhūtikāmasya
5.1.5.51	iyāṃś caruḥ / prādeśamātram
5.1.5.52	āmnātā haviṣām
5.1.5.53	sarvasvaṃ dattvāgnaye jātavedasa iti trihaviṣā yajeta
5.1.5.54	tasyāḥ paśukāmaṃ tantram
5.1.5.55	ny agniṃ jātavedasam iti dvihaviṣoś catasraḥ
5.1.5.56	āmnāte vaiśvānarīyasya
5.1.5.57	abhiśasyamānasya
5.1.5.58	upavatsv aśanaṃ bhuktvā saṃsrave grāmasya purastād vāgyato vasati
5.1.5.59	śvobhūte 'gniṃ samāropya mathitvā yajñāyudhair anvetyāgnaye surabhimate 'ṣṭākapālaṃ nirvapet
5.1.5.60	rakṣitavantāv ājyabhāgau
5.1.5.61	dve haviṣa / uttare sviṣṭakṛtaḥ
5.1.5.62	agnaye pavamānāyeti trihaviṣā gṛhān etya yajeta
5.1.5.63	prāyaścittiḥ kalpaḥ
5.1.5.64	āmnātā haviṣām
5.1.5.65	āgneyam aṣṭākapālam iti trihaviṣā
5.1.5.66	āmnātaḥ kāmaḥ
5.1.5.67	yaḥ parajanapadāt senayābhinirjitya harati sa nṛjyāyaṃ jitvottarayā yajeta
5.1.5.68	tasyāṃ mahī dyauḥ pṛthivī ca no ghṛtavatī bhuvanānām iti dyāvāpṛthivīyasya
5.1.5.69	agnīṣomīyam ekādaśakapālaṃ nirvaped brāhmaṇaḥ kāmāya sarvakāmāya
5.1.5.70	yathākāmaṃ tantram
5.1.5.71	uttarā bhūtikāmasya
5.1.5.72	agnīṣomīyam ekādaśakapālaṃ nirvapec chyāmākaṃ vasantā brahmavarcasakāmaḥ
5.1.5.73	pṛthupājāstaṃ sabādha iti ṣaḍ dhāyyāḥ / ṣaḍ uttarā ājyabhāgahaviḥsviṣṭakṛtām
5.1.5.74	saumāpauṣṇaṃ caruṃ nirvaped ardhapiṣṭaṃ paśukāmaḥ
5.1.5.75	somāpūṣaṇeti dve haviṣaḥ
5.1.5.76	uta no brahman nū no rāsveti sahasravatyau saṃyājye
5.1.5.77	saumendraṃ caruṃ nirvapet purodhākāmaḥ
5.1.5.78	tasyā grāmakāmaṃ tantram
5.1.5.79	tvā yujā tava tat someti dve haviṣaḥ
5.1.5.80	āgnivāruṇaṃ caruṃ nirvapet samāntam abhidruhyāmayāvī vā
5.1.5.81	yathākāmaṃ tantram
