#Text:Śāṅkhāyanaśrautasūtra
#Edition:Hillebrandt 1885–1899 (Reprint 1981)
#Data entry:M. Tokunaga
#Notes:Text of the edition restored by S. Sellmer; only l has been changed to ḍ where appropriate. Translation (Caland) completely aligned. Footnote positions are corrected, but the footnotes themselves are not. Some chapters in Book 14 are only summarized by Caland and thus not included in the translation.



1.1.1	yajñaṃ vyākhyāsyāmaḥ
12.3.19	yac caturthaṣaṣṭhayos tad uttame
12.3.20	tvaṃ mahāṁ indra tubhyaṃ heti yatra hotānīnasūktaṃ śaṃset
12.3.21	tve ha yat pitaraś cin na indrety ekaviṃśatiś chandomeṣu purastāt paryāsasya
12.3.22	mā cid anyad vi śaṃsata mā bhema mā śramiṣmety asya stotriyānurūpau pragāthau daśame 'hani
12.3.23	ā dhūrṣv asmā iti ca dvipadā
12.4.1	kaṃ navya iti brāhmaṇācchaṃsino 'nurūpād anantaraḥ pragātaḥ kadvān aikāhikasya sthāne
12.4.2	brahmaṇā ta iti cokthamukhīyā
12.4.3	ud u brahmāṇīti sadā paryāsaḥ
12.4.4	vayaṃ gha tvā ka īṃ vedeti stotriyānurūpau tṛtīye 'hani
12.4.5	prathamayoś ca cchandomayoḥ
12.4.6	viparyastau tu madhyame
12.4.7	yad indra prāg apāg udag iti vā stotriyānurūpau pragāthau
12.4.8	adhvaryavo bharatendrāyety ekādaśa tṛtīye
12.4.9	viśvāḥ pṛtanā iti stotriyaḥ / tam indraṃ johavīmi matsy apāyi te maho 'smā asmā ity anurūpaḥ
12.4.10	kadā vaso stotraṃ yo vācā vivāca iti tṛcau
12.4.11	ya eka iddhavya iti caturthe
12.4.12	indro madāya made made hīti stotriyānurūpau
12.4.13	ā yāhi kṛṇavāma yo naindra abhita iti tṛcau
12.4.14	yas tigma śṛṅga iti pañcame
12.4.15	surūpa kṛtnum iti stotriyānurūpau
12.4.16	tvayā vayaṃ maghavann iti tṛcam
12.4.17	asmā id u pra tavasa iti ṣaṣṭhe
12.4.18	tad ahīnasūktam
12.4.19	śrāyanta iva sūryaṃ śagdhy ū ṣu śacīpata iti stotriyānurūpau pragāthā uttame chandome
12.4.20	tvaṃ mahāṁ indra yo hety ahīnasūktasya sthāne
12.4.21	indraṃ staveti cchandomeṣu purastāt paryāsasya
12.4.22	ud u tye madhumattamā ud in nv asya ricyata iti stotriyānurūpau pragāthau daśame 'hani
12.4.23	trikadrukeṣu mahiṣa iti vā stotriyaḥ / uttamā ca tam indraṃ johavīmi viśvāḥ pṛtanā ity anurūpaḥ
12.4.24	rāyaskāma iti ca dvipadā
12.5.1	kad ū nv asyety acchāvākasyānurūpād anantaraḥ pragātaḥ kadvān aikāhikasya sthāne
12.5.2	uruṃ na iti cokthamukhīyā
12.5.3	abhi taṣṭeva iti sadā paryāsaḥ
12.5.4	tvām id ā vayam enam id ā hya iti stotriyānurūpau pragāthau
12.5.5	apūrvyā purutamānīti dvitīye
12.5.6	taraṇir it tarobhir iti stotriyānurūpau pragāthau
12.5.7	ya ojiṣṭha iti tṛtīye
12.5.8	yo rājā nakiṣṭam iti stotriyānurūpau pragāthau
12.5.9	sacāyor indra indra somam imaṃ pibeti tṛcau
12.5.10	saṃ ca tve jagmur iti caturthe
12.5.11	svādor itthetthā hi soma iti stotriyānurūpau
12.5.12	yac ciddhi satyāva yat tvaṃ śatakratav iti tṛcau
12.5.13	kadā bhuvan rathakṣayāṇīti pañcame
12.5.14	ubhe yad indreti stotriyānurūpau
12.5.15	viduṣṭe asya vīryasyeti tisraḥ
12.5.16	śāsad vahnir iti ṣaṣṭhe
12.5.17	tad ahīnasūktam
12.5.18	nakiṣṭaṃ na tvā bṛhanta iti stotriyānurūpau prathame chandome
12.5.19	ubhayaṃ śṛṇavad iti madhyame
12.5.20	yata indra bhayāmaha ity uttame
12.5.21	sarve pragāthāḥ
12.5.22	icchanti tveti cchandomeṣu purastāt paryāsasya
12.5.23	ayā vājam iti ca dvipadā daśame 'hani
12.5.24	aikāhikaṃ ca pūrvam
12.6.1	antareṇa prāyaṇīyodayanīyau kadvantau cokthamukhīyāś cābhitaṣṭīyaṃ ca bṛhatīkāraṃ ca bārhatānām
12.6.2	antareṇokthamukhīyāṃ sūkte cāvāpasthānam
12.6.3	pṛṣṭhyāt sūktāny abhiplave
12.6.4	ahīnasūktānāṃ sthāne dvitīyād ahnaḥ sūktāni
12.6.5	uttaraṃ maitrāvaruṇasya
12.6.6	prathamāt tryahāt svarasāmasu
12.6.7	caturviṃśe 'bhijiti viṣuvati bṛhatpṛṣṭhe viśvajiti mahāvrate ca ṣaṣṭhāt
12.6.8	viśvajiti sarvapṛṣṭhe
12.6.9	mahāṇāmnīnāṃ maitrāvaruṇaḥ stotriyānurūpau sapragāthau
12.6.10	kadvantaṃ pragāthaṃ vairūpasya brāhmaṇācchaṃsī
12.6.11	revatīnām acchāvākaḥ
12.6.12	vālakhilyā avihṛtā maitrāvaruṇaḥ ṣat sūktānīndraṇihavaṃ parihāpyā no viśve sajoṣasa iti ca pragātham
12.6.13	vṛṣākapim ṛte kuntāpam anyūṅkhaṃ brāhmaṇācchaṃsī
12.6.14	dyaur na ya indrety evayāmarutaḥ sthāne viṣṇunyaṅgam acchāvākaḥ
12.6.15	abhūr eka iti sāmasūktaṃ maitrāvaruṇasya
12.6.16	yo jāta iti brāhmaṇācchaṃsinaḥ
12.6.17	pra ghā nv asyety acchāvākasya
12.6.18	sāmasūktāni śastvāhīnasūktāni śastvaikāhikībhiḥ paridadhati
12.6.19	ekāhabhūtasyaikāhikān paryāsān ūrdhvam ahīnasūktebhyaḥ
12.7.1	uktheṣu kriyamāṇeṣu vālakhilyā vṛṣākapiṃ viṣṇunyaṅgam ity uddhṛtya pariśeṣān madhyandineṣu śaṃsanti
12.7.2	ṣaṣṭhād ahna ukthāni
12.7.3	atha yadi ṣaṣṭhāhnikaṃ tṛtīyasavanam asarvapṛṣṭhe 'hani pradiṣṭaṃ syād dvitīyād ahna ukthāni
12.7.4	parokṣapṛṣṭhe pratiśilpāni kriyante
12.7.5	uddhṛtya vālakhilyā maitrāvaruṇaḥ pibā sutasya rasina ity aindrān pragāthāñ chastvā
12.7.6	vṛṣākapim uddhṛtya brāhmaṇācchaṃsīndro madāyeti paṅktīr aindrīḥ śaṃsati
12.7.7	viṣṇunyaṅgam evācchāvākaḥ
12.7.8	iti parokṣapṛṣṭhe
12.8.1	atha viśvajicchilpe
12.8.2	aikāhikān pragāthāñ chastvā vālakhilyā vṛṣākapiṃ viṣṇunyaṅgaṃ nābhānediṣṭhaṃ ca sarvaśas tṛcān vā
12.8.3	caturṛcaṃ vālakhilyānām
12.8.4	sāmasūktānām ahīnasūktānāṃ paryāsānāṃ trīṃs trīṃs tṛcān hotrakāḥ śaṃsanti
12.8.5	iti viśvajicchilpe vikāraḥ
12.8.6	nividdhānīyāṃś ca tṛcān
12.8.7	yuvor yadīti tṛcam
12.8.8	ye yajñeneti ca sūktam
12.8.9	svasti no mimītām iti tṛcaṃ nividdhānīyam
12.8.10	evayāmarutaś ca tṛcam
12.8.11	yathāstomaṃ prātaḥsavanam
12.9.1	trivṛd daśarātrasya tṛcakḷptaṃ śastram
12.9.2	ājyānām ādhyāṃs tṛcān
12.9.3	nividdhānānām uttamān
12.9.4	ekaikām itareṣāṃ sūktānāṃ śilpānāṃ ca
12.9.5	ṣaṣṭhasya tu samānaṃ viśvajicchilpena śilpānām
12.9.6	nābhānediṣṭhasya
12.9.7	evayāmarutaś ca
12.9.8	yadi gavāmayane brāhmaṇācchaṃsine prāg viṣuvata aindreṣu pragātheṣv abhīvartam anvāyātayeyur yasmin stuvate sa stotriyaḥ śvaḥstotriyo 'nurūpaḥ
12.9.9	yadi vā ṣaṭpragāthena
12.9.10	tṛtīye 'hani bṛhatyaḥ
12.9.11	taṃ vo dasmaṃ tat tvā yāmy abhi pra vaḥ pra su śrutam ā tvā sahasram ā mandrair indra yo rājā nakiṣṭaṃ na tvā bṛhantas tvam indra yaśās tvam indra pratūrtiṣu pibā sutasya rasino 'dhvaryo drāvayeti vā
12.9.12	viṣuvaty ādityavratam
12.9.13	citraṃ devānām iti stotriyānurūpau
12.9.14	vikarṇaṃ vā
12.9.15	baṇ mahān ud u tyad darśatam iti stotriyānurūpau pragāthau vikarṇasya
12.9.16	indra kratum iti vā stotriya indra jyeṣṭham ity anurūpaḥ
12.9.17	paurumīḍhaṃ mānavaṃ janitraṃ bhāradvājaṃ śyaitanaudhase etāny abhīvartasthāna indrakratāv evordhvaṃ viṣuvataḥ
12.10.1	uktheṣu vikāraḥ
12.10.2	anurūpād anantarāṇy aindrāṇi jāgatāny anyāni nityāni vānyatra ṣaṣṭhān nityāni
12.10.3	pra vo vājāḥ pra vaḥ sakhāya iti stotriyānurūpau
12.10.4	pra sasrāje bṛhadindrā ko vāṃ varuṇa iti maitrā varuṇasyāhani dvitīye
12.10.5	ā vāṃ rājānāv iti paryāsas tṛtīyapañcamayor madhyame ca chandome
12.10.6	purīṣe vām itītareṣu
12.10.7	pra mamhiṣṭhāya gāyata pra so agna iti stotriyānurūpau pragāthau
12.10.8	dhīrā tv asyendrāvaruṇā yuvam adhvarāyeti tṛtīye
12.10.9	agniṃ vo vṛdhantam agniṃ stomeneti stotriyānurūpau
12.10.10	radat pathaḥ śruṣṭī vāṃ yajña iti caturthe
12.10.11	ā te agna idhīmahi so agnir yo vasur agniṃ taṃ manya iti stotriyaḥ / ā te agna ṛcety anurūpaḥ
12.10.12	pra śundhyuvam indrāvarunā yuvam adhvarāyeti pañcame
12.11.1	dvipadāḥ ṣaṣṭhe sarveṣām
12.11.2	agne tvaṃ na iti stotriyaḥ
12.11.3	caturthīṃ tṛtīyāṃ karoti
12.11.4	agne bhava suṣamiddhety anurūpaḥ
12.11.5	vihṛtāś ca vālakhilyāḥ
12.11.6	pacchaḥ prathame sūkte viharati
12.11.7	ardharcaśo dvitīye
12.11.8	ṛkchas tṛtīye
12.11.9	uttame viparyasyet
12.11.10	othā modaiva made modā modaivo tho3 iti vihṛtāsu pratigṛṇāti
12.11.11	avasāne pūrvaṃ praṇava uttaram
12.11.12	tārkṣyasyottamāṃ pariśiṣyāhūya dūrohaṇaṃ yathā viṣuvati
12.11.13	uttamām upasaṃśasyaikāhikau tṛcau
12.11.14	asmākam atra pitaras ta āsann iti tisraḥ
12.11.15	indrāvaruṇā yuvam adhvarāyeti ṣaṣṭhe
12.11.16	ā te vatso mano yamad āgnir agāmīti stotriyānurūpau prathame chandome
12.11.17	paryāsam antareṇa trīṇi ca pūrvāṇy aikāhikānīmāni vāṃ bhāgadheyānīti pañca yuvāṃ narā paśyamānāsa iti vā
12.11.18	preṣṭaṃ vaḥ priyo no astu viśpatir iti madhyame
12.11.19	bhadro no yadī ghṛtebhir āhuta ity uttame pragāthau
12.11.20	ā ghā ye agnim indhata imā abhi pra ṇonuma iti vā
12.11.21	na hi te kṣatram ity ubhayoḥ sūktaśeṣaḥ
12.11.22	indrā ko vāṃ varuṇeti madhyame
12.11.23	śruṣṭī vāṃ yajña ity uttame
12.11.24	imā u vāṃ bhṛmaya ity ubhayos tisraḥ
12.12.1	evā hy asi vīrayur evā hy asyasūnṛta iti stotriyānurūpau
12.12.2	yas tastambha iti ṣaḍ brāhmaṇācchaṃsino 'hani dvitīye
12.12.3	uttarayoś chandomayor madhye sūktānām
12.12.4	yo 'dribhid iti tṛcaṃ pūrvaṃ sarvatra paryāsāt
12.12.5	asteva su prataram iti paryāsas tṛtīyapañcamayor madhyame ca cchandome
12.12.6	acchā ma indram itītareṣu
12.12.7	taṃ te madaṃ taṃ v abhi pra gāyateti stotriyānurūpau
12.12.8	anarvāṇaṃ vṛṣabham iti tṛtīye
12.12.9	udapruta iti caturthe
12.12.10	prathamottamayoś ca cchandomayoḥ
12.12.11	ṣaṣṭhe cordhvaṃ tṛcebhyaḥ
12.12.12	indrāya sāma gāyata taṃ v abhi pra gāyateti stotriyānurūpau
12.12.13	yajñe diva iti pañcame madhyame ca cchandome
12.12.14	imā nu kam iti stotriyaḥ / uttare cāyā vājam iti tṛtīyānurūpasya
12.13.1	apa prāca iti sukīrtiṃ śastvā paṅktiśaṃsaṃ vṛṣākapiṃ madhyamasya pādasya dvitīyottamayor akṣarayor nyūṅkhayati
12.13.2	vairājaḥ pūrvasmin madavṛṣākapo3 o3 aryaḥ puṣṭeṣu matsakhā ity uttarasmin
12.13.3	uparate pratinyūṅkhayati
12.13.4	vairājanyūṅkham uktvā madetha madaivo3 o3 othā modaiveti pratigṛhṇāti
12.13.5	tad yatropadrutam abhinihitaṃ praśliṣṭaṃ kṣiprasaṃdhir iti nyūṅkhanīyasya pādasyādau syād upātītya tad dvitīye 'kṣare nyūṅkhayec chvānvo3 iti yathā kva syo3 iti ca
12.13.6	atha yatra pañcālapadavṛttiḥ syād vivṛttipratyaye nyūṅkhayen no3 o3 iti
12.13.7	taṃ śastvā kuntāpam
12.14.1	idaṃ janā upa śruta narāśaṃsa staviṣyate / ṣaṣṭhiṃ sahasrā navatiṃ ca kaurama ā ruśameṣu dadmahe
12.14.2	uṣṭrā yasya pravāhiṇo vadhūmanto dvir daśa / varṣmā rathasya ni jihīḍate diva īṣamāṇā upaspṛśaḥ
12.14.3	eṣa iṣāya māmahe śataṃ niṣkān daśa srajaḥ / trīṇi śatāny arvatāṃ sahasrā daśa gonām
12.14.4	pra rebhāso manīṣā vṛthā gāva iverate / amota putrakā eṣām amota gā ivāsate
12.14.5	pra rebha dhiyaṃ bharasva govidaṃ vasuvidam / devatremāṃ vācaṃ śrīṇīhīṣur nāvīras tāram
12.15.1	vacyasva rebha vacyasva vṛkṣe na pakve śakunaḥ / naṣṭe jihvā carcarīti kṣuro na bhurijor iva
12.15.2	indraḥ kārum abūbudhad uttiṣṭha vi carā jaran / mamed ugrasya carkṛdhi sarva it te pṛṇād ariḥ
12.15.3	iha gāvaḥ pra jāyadhvam ihāśvā iha pūruṣāḥ / iho sahasradakṣiṇo 'pi pūṣā ni ṣīdati
12.15.4	memā indra gāvo riṣan mo āsāṃ gopatī riṣat / māsām amitrayur jana indra mā stena īśata
12.15.5	yad indrādo dāśarājñe 'mānuṣaṃ vi gāhathāḥ / virūpaḥ sarvasmā āsīt sa ha yakṣmāya patyate
12.16.1	tvaṃ vṛṣākṣuṃ maghavan namraṃ maryākaror api / tvaṃ rauhiṇaṃ vyāsyo vi vṛtrasyābhinac chiraḥ
12.16.2	praṣṭiṃ dhāvantaṃ haryor auccaihśravasam abruvan / svastyaśva jaitrāyendram ā vaha susrajam
12.16.3	araṅgaro vāvadīti tredhā baddho varatrayā / irām u ha pra śaṃsaty anirām apa sedhati
12.16.4	tvam indra śarma riṇā havyaṃ pārāvatebhyaḥ / viprāya stuvate vasu ni dūraśravase vahaḥ
12.16.5	tvam indra kapotāya chinnapakṣāya vañcate / śyāmākaṃ pakvaṃ pīlu ca vār asmā akṛṇor bahu
12.16.6	catasro 'taḥ pārikṣityas tāsāṃ tṛtīye pāde prathamacaturthayor akṣarayor vaisvaryam
12.17.1	rājño viśvajanīnasya yo devo martyāṁ ati / vaiśvānarasya suṣṭutim ā śṛṇotā parikṣitaḥ
12.17.2	parikṣin naḥ kṣemam akar uttama āsanam ā caran / kulāyaṃ kṛṇvan kauravyaḥ patir vadati jāyayā
12.17.3	katarat ta ā harāṇi dadhi manthāṃ parisrutam / jāyā patiṃ vi pṛcchati rāṣṭre rājñaḥ parikṣitaḥ
12.17.4	abhīva svaḥ pra jihīte yavaḥ pakvaḥ patho bilam / janaḥ sa bhadram edhati rāṣṭre rājñaḥ parikṣitaḥ
12.17.2	othā modaiveti vaisvarye pratigṛṇāti
12.17.3	etaśapralāpo 'to viṃśatipadas tan nivic chaṃsam
12.18.1	etā aśvā ā plavante
12.18.2	pratīpaṃ prātisutvanam
12.18.3	tāsām ekā hariklikā
12.18.4	hariklike kim icchasi
12.18.5	sādhuṃ putraṃ hiraṇyayam
12.18.6	kvāha taṃ parāsyaḥ
12.18.7	yatrāmūs tisraḥ śiṃśapāḥ
12.18.8	pari trayaḥ pṛdākavaḥ
12.18.9	śṛṅgaṃ dhamanta āsate
12.18.10	alābukaṃ nikhātakam
12.18.11	karkariko nikhātakaḥ
12.18.12	kad vāta unmathāyati
12.18.13	kulāyaṃ kṛṇavād iti
12.18.14	ugraṃ vaniṣad ātatam
12.18.15	na vaniṣad anātatam
12.18.16	ka eṣāṃ dundubhiṃ hanat
12.18.17	leliṃ hanat kathaṃ hanat
12.18.18	paryāgāraṃ punaḥ punaḥ
12.18.19	śaphena pīva ohate
12.18.20	āyavanena tedanī
12.19.1	ādityā ha jaritar aṅgirobhyo 'śvaṃ dakṣiṇām anayan / tāṃ ha janitar na pratyāyaṃs tām u ha jaritaḥ pratyāyan / tāṃ ha jaritar na pratyagṛbhṇaṃs tām u ha jaritaḥ pratyagṛbhṇan
12.19.2	ahād eta sann avicetanāni yajñād eta sann apurogavāsaḥ / ādityā rudrā vasavas tv eḍata idaṃ rādhaḥ prati gṛbhṇīhy aṅgiraḥ
12.19.3	idaṃ rādho bṛhat pṛthu devā dadatu yad varam / tad vo astu sajoṣaṇaṃ yuṣme astu divedive / pra tv eva gṛbhāyata
12.19.4	uta śveta āśupatvota padyābhir yaviṣṭhaḥ / uto āśu mānaṃ bibharti
12.19.5	ity ādityā aṅgirasyaḥ
12.19.6	evāha jaritar othā modaiva / tathāha jaritar othā modaivety āsāṃ pratigṛṇāti
12.19.7	avasāne pūrvaṃ praṇava uttaram
12.20.1	pañcāto diśāṃ kḷptayaḥ
12.20.2.1	yaḥ sabheyo vidathyaḥ sutvā yajvātha pūruṣaḥ / sūryaṃ cāmū riśādasas taddevāḥ prāg akalpayan
12.20.2.2	yad bhadrasya puruṣasya putro bhavati dādhṛṣiḥ / tad vipro abravīd u tad gandharvaḥ kāmyaṃ vacaḥ
12.20.2.3	yo jāmyā aprathayat tad yat sakhāyaṃ dudhūṣati / jyeṣṭho yad apracetās tad āhur adharāg iti
12.20.2.4	yaś ca paṇir abhujiṣyo yaś ca revāṁ adāśuriḥ / dhīrāṇāṃ śaśvatām aha tad apāg iti śuśruma
12.20.2.5	ye ca devā ajayantātho ye ca parādaduḥ / sūryo divam iva gatvāya maghavāno vi rapśate
12.21.1	ṣaḍ ato janakalpāḥ
12.21.2.1	yo 'nāktākṣo anabhyakto amaṇivo ahiraṇyavaḥ / abrahmābrahmaṇaḥ putras to tā kalpeṣu saṃmitā
12.21.2.2	ya āktākṣaḥ svabhyaktaḥ sumaṇiḥ suhiraṇyavaḥ / subrahmā brahmaṇaḥ putras to tā kalpeṣu saṃmitā
12.21.2.3	aprapāṇā ca veśantārevāṁ apradadiś ca yaḥ / ayabhyā kanyākalyāṇī to tā kalpeṣu saṃmitā
12.21.2.4	suprapāṇā ca veśantā revān supradadiś ca yaḥ / suyabhyā kanyā kalyāṇī to tā kalpeṣu saṃmitā
12.21.2.5	parivṛktā ca mahiṣy anastyā cāyudhimgamaḥ / anāśur aśvāyāmī to tā kalpeṣu saṃmitā
12.21.2.6	vāvātā ca mahiṣī svastyā ca yudhiṃgamaḥ / svāśur aśvā yāmī to tā kalpeṣu saṃmitā
12.21.3	catasro 'taḥ pravaḍhikās trayaś ca pratīrādhās tan nivic chaṃsam
12.22.1.1	vitatau kiraṇau dvau tāv ā pinaṣṭi pūruṣaḥ / na vai kumāri tat tathā yathā kumāri manyase
12.22.1.2	mātuṣ ṭe kiraṇau dvau nivṛttāḥ puruṣād dṛtiḥ / na vai kumāri tat tathā yathā kumāri manyase
12.22.1.3	nigṛhya karṇakau dvau nirā yacchasi madhyame / na vai kumāri tat tathā yathā kumāri manyase
12.22.1.4	uttānāyai śayānāyai tiṣṭhann evāva gūhase / na vai kumāri tat tathā yathā kumāri manyase
12.22.1.5	ślakṣṇāyāṃ ślakṣṇikāyāṃ ślakṣṇam evāva gūhase / na vai kumāri tat tathā yathā kumāri manyase
12.22.1.6	ava ślakṣṇam iva bhraṃśad antarlomavati hrade / na vai kumāri tat tathā yathā kumāri manyase
12.22.1.7	yan nyūnaṃ yac cādhikaṃ tat sarvam evāva gūhasi / na vai kumāri tat tathā yathā kumāri manyase
12.23.1	ihettha prāgapāgudagadharāg arālāg udabhartsata / ihettha prāgapāgudagadharāg vatsāḥ pruṣanta āsate / ihettha prāgapāgudagadharāk sthālīpāko vi līyate / ihettha prāgapāgudagadharāk chlilīpu chlilīṣate
12.23.2	bhug ity abhigataḥ / śal ity apakrāntaḥ / phal ity abhiṣṭitaḥ
12.23.3	alābūni jaritaḥ / pṛṣatākāni jaritaḥ / pipīlikāvato jaritaḥ / aśvatthapalāśaṃ jaritaḥ / śvā jaritaḥ / parṇasado jaritaḥ / gośapho jaritar ity ekaikam uktvā nityaṃ pratigaram
12.23.4	vīme devā akraṃsatādhvaryo kṣipraṃ pra cara / susatyam id gavām asyasi pra khudasi
12.23.5	patnī yiyapsyamānā jaritar othā modaiva hotā viṣṭvī me jaritar othā modaivety asyāṃ pratigṛṇāti
12.23.6	avasāne pūrvaṃ praṇava uttaram
12.24.1	ata ūrdhvaṃ daśāhanasyāḥ
12.24.2.1	yad devāso lalāmaguṃ pra viṣṭīminam āviṣuḥ / sakthnā dediśyate nārī satyasyākṣi bhuvo yathā
12.24.2.2	yad asyā aṃhubhedyāḥ kṛdhu sthūlam upātasat / muṣkāv id asyā ejato gośaphe śakulāv iva
12.24.2.3	yadā sthūlena pasasāṇau muṣkā upāvadhīt / viṣvañcāv asyā vardhataḥ sikatāv iva gardabhau
12.24.2.4	mahānagnī mahānagnaṃ dhāvantam anu dhāvati / imās tu tasya gā rakṣa yabha mām addhy odanam
12.24.2.5	mahānagnī kṛkavākuṃ śamyayā pari dhāvati / vayaṃ na vidma yo mṛgaḥ śīrṣṇā harati dhāṇikām
12.24.2.6	mahānagny upa brūte svasty āveśitaṃ pasaḥ / itthaṃ phalasya vṛkṣasya śūrpaṃśūrpaṃ bhajemahi
12.24.2.7	mahānagny ulūkhalam atikrāmanty abravīt / yathā tava vanaspate ni ghnanti tathā mama
12.24.2.8	mahān vai bhadro bilvo mahān bhadra udumbaraḥ / mahāṁ abhijñu bādhate mahataḥ sādhu khodanam // kapṛn naro yad dha prācīr iti dve
12.24.3	tāsāṃ tṛtīye pāde nyūṅkho yathā vṛṣākapau
12.24.4	kapṛn nara iti dvitīyadaśamayor akṣarayoḥ
12.24.5	nyūṅkhenetarāsām avasāya saṃtānāyottamaṃ padam
12.24.6	vi i i ī3 kim ayam idam āho3 o3 othā modaiveti pratigṛṇāti
12.25.1	dadhikrāvṇo akāriṣam ity ekā
12.25.2	sutāso madhumattamāḥ pra mamhiṣṭhāya yo adribhid ava drapsa iti tṛcāni ṣaṣṭhe
12.25.3	tvaṃ na indrā bhara tad indrāva ā bhareti stotriyānurūpau
12.25.4	sarvaṃ pramaṃhiṣṭhīyaṃ prathame chandome
12.25.5	yo adribhid iti caikā
12.25.6	endra no gadhyed u madhvo madintaram iti madhyame
12.25.7	eto nv indraṃ stavāma sakhāya ity uttame
12.26.1	indraṃ viśvā indram īśānam ojaseti stotriyānurūpāv anurūpasya ye pūrve te uttare
12.26.2	nū marta ity acchāvākasyaindrād anantaraṃ dvitīyacaturthayoḥ prathamottamayoś ca chandomayoḥ
12.26.3	viṣṇor nu kam itītareṣu
12.26.4	uruṃ yajñāyeti tṛcaṃ pūrvaṃ sarvatra paryāsāt
12.26.5	saṃ vāṃ karmaṇeti sadā paryāsaḥ
12.26.6	śrudhī havaṃ tiraścyā āśrut karṇeti stotriyānurūpau tṛtīye
12.26.7	imam indramsutaṃ piba pibā somaṃ madāya kam iti caturthe
12.26.8	asāvi soma indra ta imam indra sutaṃ pibeti pañcame
12.26.9	pra va indrāya vṛtrahantamāya viśvato dāvann iti ṣaṣṭhe
12.26.10	evayāmarutaṃ śastvā yathā vṛṣākapim
12.26.11	iha mado3 iti vairājanyūṅkham uktvā made mador madasya madirasya madaivo3 o3 othā modaiveti pratigṛṇāti
12.26.12	ṛtur janitrī
12.26.13	tam asya dyāvāpṛthivī
12.26.14	viṣṇor nu kam
12.26.15	pra vaḥ pāntam andhasaḥ
12.26.16	chandomeṣu ca
12.26.17	tisras tu prathame
12.26.18	bhavā mitra iti tṛcāc ca pūrvam uttarayoś chandomayoḥ
12.26.19	nū martaḥ paro mātrayety uttamām uddhṛtya ṣaṣṭhe
12.26.20	yad indra citra yad indra te catasra iti stotriyānurūpau prathame chandome
12.26.21	purāṃ bhindur iti madhyame / pūrvas tṛco 'nurūpas tṛtīyā tu prathamā
12.26.22	gāyanti tvety uttame
12.27.1	caturviṃśe śastraṃ prathamāc chandomāt sarveṣām
12.27.2	yac caturṇāṃ dvitīyaprabhṛtīnāṃ tac caturṇām ābhiplavikānām
12.27.3	tṛtīyaprabhṛtibhyaḥ svarasāmasu
12.27.4	atha yady abhijitaṃ viṣuvantaṃ bṛhat pṛṣṭhaṃ viśvajitaṃ mahāvratīyam ahar ity ukthyāni kuryuś cāturviṃśikāny ukthāni
12.27.5	atha yadi pṛṣṭhyābhiplavayoḥ prathame ahanī daśamam ahar ity ukthyāni kuryur aikāhikāny ukthāni
12.27.6	uttamam ābhiplavikam ukthyaṃ kuryur yad dvitīyasyāhnas tṛtīyasavanaṃ tṛtīyasavanam
13.1.1	pūrvakāriṇaś chandogā adhvaryavaḥ
13.1.2	te ced anupadiṣṭaṃ kuryuḥ
13.1.3	etāvattva iṣṭīnām ānupūrvye haviṣāṃ daivata uccairupāṃśutāyāṃ cādhvaryumanuvidadhīta
13.1.4	stotriye chandogam aharyoge stomavikāre pṛṣṭhe saṃsthāyāṃ ca
13.1.5	te cet pādaṃ vārdharcaṃ vā viparyasyeyur ūnaṃ vātiriktaṃ vā kuryur na tad ādriyeta
13.1.6	ṛcām eva viparyāsam anuvidadhīta
13.1.7	nyūṅkhanīyaś cet pādo vikarṣeṇa pūryeta tasya saṃkhyāya dvitīyaṃ nyūṅkhanīyam
13.1.8	ūrdhvaṃ tu svarāt samānacchandomānāni vyañjanāni lupyeran
13.2.1	ānīte paśau mṛte 'nupākṛte 'nyam ālabhetartvigbhyas taṃ kārayet
13.2.2	upākṛte vepamāne / yasmād bhīṣāvepiṣṭhās tato no 'bhayaṃ kuru / paśūn naḥ sarvān gopāya namo rudrāya mīḍhuṣe // svāheti juhoti
13.2.3	yasmād bhīṣāvāśiṣṭhā iti vāśyamāne
13.2.4	yasmād bhīṣāpalāyiṣṭhā iti palāyamāne
13.2.5	yasmād bhīṣā nyasada ity upaviṣṭe
13.2.6	yasmād bhīṣā saṃjñaptā iti mṛte
13.2.7	naṣṭe mṛte palāyite vānyaṃ tadrūpaṃ taddevatyaṃ paśum ālabheta
13.2.8	mṛtasya vapāṃ puroḍāśam avadānānītītarasya vaṣaṭkāreṣūpajuhuyāt
13.3.1	pravṛtteṣu mṛte prayājeṣu tenaiva saṃsthāpyam
13.3.2	avadāne naṣṭe duṣṭe vimathite vājyaṃ pratinidadhyāt
13.3.3	hṛdayanāśe 'nyam ālabheta
13.3.4	yadi ca kāmayetārtiṃ vimathitāra ṛccheyur iti kuvid aṅga yavamanta ity āgnīdhrīye juhuyāt
13.3.5	aṣṭāpadyāṃ vaśāyām anūbandhyāyāṃ garbhasya tvaco vapārūpaṃ phalīkaraṇānāṃ phālīkaraṇān garbham iti śāmitre śrapayitvetarasya vaṣaṭkāreṣu śāmitra eva juhuyāt
13.4.1	yūpe virūḍhe 'napavṛtte tvāṣṭraṃ bahurūpam ālabheta
13.4.2	piśaṅgarūpaḥ subharo vayodhās tan nas turīpam adha poṣayitnu devas tvaṣṭā savitā viśvarūpa iti puronuvākyāḥ
