#Text:Drāhyāyaṇaśrautasūtra
#Edition:Reuter, Vira
#Data entry:?



1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
17.3.25	śāṇḍilyāyanastu jātisaṃhāram
17.3.26	dvātriṃśe tisro viṣṭutīḥ kuryāditi dhānaṃjayyaḥ
17.3.27	tāsāṃ paryāyakṛtiprayogau catuścatvāriṃśena vyākhyātau
17.3.28	apyaharbhāji prathamayaiveti śāṇḍilyaḥ
17.4.1	catuṣṭomayoścatuṣparyāyāḥ
17.4.2	tatra catuṣke dvau prathamāyāṃ paryāyau syātāṃ yadi brahmāyatanīyāṃ kuryāt
17.4.3	madhyamāyāṃ kṣatrāyatanīyāṃ cet
17.4.4	tathāṣṭini
17.4.5	dvikāstu tasya paryāyāḥ
17.4.6	pūrvayoḥ pūrva uttarayoruttara evaṃ vihitāvaparāviti śāṇḍilyaḥ
17.4.7	pūrvayordvitīyaḥ pṛthakstotrīyā svitara iti dhānaṃjayyaḥ
17.4.8	dvādaśe vyākhyātau prathamottamau
17.4.9	madhyamau dvikau
17.4.10	pūrvayoḥ pūrva uttarayoruttaraḥ
17.4.11	ṣoḍaśe catvāro dvādaśaparyāyāḥ
17.4.12	teṣāṃ madhyamau sadṛśau
17.4.13	caturviṃśe catvāraḥ ṣaṭkāḥ paryāyā dvikā viṣṭāvāḥ
17.4.14	pṛthaktṛceṣu tu catustṛce
17.4.15	dvayordvayorvā dvaidham
17.4.16	yajñāyajñīyasyarkṣu vā prathamaḥ prathamāsu ca
17.4.17	yajñāyajñīyaprathamāyāṃ dvitīyaḥ sākamaśvarkṣu paramadhyamayośca
17.4.18	pūrvamadhyamayostṛtīyo hārivarṇarkṣu tairaścyottamāyāṃ ca
17.4.19	pūrvottamāsu caturthastairaścyarkṣu ca
17.4.20	upottamo vā dvikaviṣṭāvo 'śvamedhe 'ṣṭādaśāditare
17.4.21	pañcadaśasya paryāyau pūrvāvekaviṃśasyottarāviti vottarāv iti
18.1.1	chandodaivatasāmāntayogānnyāyyān buravate yathā ṣoḍaśimato 'tirātrasya jyotiṣṭomasya
18.1.2	ukthottame 'nuṣṭabho nyāyyāḥ
18.1.3	vicchandasastu vacanāt
18.1.4	yaddevatyāsu stuvate sā stotradevatā
18.1.5	anvadhyāyamapavādaniśāmanam
18.1.6	svārāṇi hāikārasvārāṇi padānusvārāṇi ca
18.1.7	tebhyo 'nyānyaiḍavāṅnidhanebhyaśca nidhanavanti
18.1.8	sarveṣāṃ tulyāntasaṃnipāte jāmi
18.1.9	vāco 'nyatra
18.1.10	tanna kuryādanādeśe
18.1.11	daśarātrāt ṣāḍahikānyaṣṭamanavamayoścaitānyahīnatantrāṇi
18.1.12	jyotiṣaśca goścaikāhike tantre
18.1.13	tayoḥ samāsa ubhayaphalakam
18.1.14	kalpasaprāyāṇi ṛksāmāni yatra samavayanti tadāśīstantraṃ yadābhicaraṇīyeṣu
18.1.15	bhūyiṣṭhaṃ tantralakṣaṇam
18.1.16	uttarayoḥ savanamukhīye gāyatrāviti śauci vṛkṣiḥ
18.1.17	madhyaṃdinīyā tvācāryāṇām
18.1.18	dvirātraprabhṛtiṣvahīneṣu prāk ṣaḍahebhyo 'ntyamantyamaikāhikamiti rāṇāyanīputraḥ
18.1.19	sarvāṇyāhīnikānīti vaiyyāghrapadyaḥ
18.1.20	ahīnaikāhasamāsaṃ tu lāmakāyanaḥ
18.2.1	atha sāmnāṃ pañcadhākāraḥ
18.2.2	prastāvodgīthau pratihāropadravau nidhanamantaḥ
18.2.3	tatsarve śrutisāmarthyāt
18.2.4	gāyatre tu vikalpaḥ sarve vodgātā vā
18.2.5	saptadhākāramapyeke vacanāt
18.2.6	hiṃkāraḥ prastāvāt pūrvaḥ
18.2.7	udgīthādoṃkāraḥ
18.2.8	catuṣṭayāni sāmāni viṣamabhaktīni padasastobhastobhavibhāgyāni yathā pravadbhārgavaṃ mahāvaiśvāmitraṃ saumitram
18.2.9	avasānaṃ prastāvāntalakṣaṇamavibhāgyānām
18.2.10	dvyavasānaḥ pūrve vāravantīye
18.2.11	pūrveṇa vā
18.2.12	caturakṣaro vājabhṛtkārṇaśravasājigānām
18.2.13	surūpayośca
18.2.14	padaṃ vājigaprabhṛtīnām
18.2.15	eḍe 'rdhaṃ sākamaśve
18.2.16	śaukte ca
18.2.17	stobhānta ābhīśavayoḥ
18.2.18	abhyastenottarasya
18.2.19	hāukārāntaścyāvane
18.2.20	vāgvāmera
18.2.21	ṣoḍaśākṣaro nānadasya
18.2.22	tathā gośṛṅgasaṃjayayoḥ
18.2.23	yacca rātryāṃ daivodāsam
18.2.24	ṣaṭtriṃśadakṣara ṛṣabhasya raivatasya
18.2.25	sarveṣāmoṅkāreṇodgīthādānam
18.2.26	prathamākṣaralopaṃ tu dhānaṃjayyo 'lopaṃ śāṇḍilyaḥ
18.3.1	prastutaṃ vai sāmāvasīdati tadudgātoṅkāreṇottabhnātīti brāhmaṇam
18.3.2	svarādiṣu vā tameva svaramoṅkārīkuryādāgantumoṅkāraṃ vyañjanādiṣu
18.3.3	pratyavetasvareṣu
18.3.4	pratyakṣaparokṣipraciranyastoḍhāttakṛṣṭākṛṣṭānāṃ yena saṃsvarettatkuryāt
18.3.5	sarvaṃ tu ladgayasā’mātrālopena
18.3.6	padādiḥ pratihārasthānaṃ sarvatra
18.3.7	padānirdeśe cottame pade
18.3.8	saṃkhyāviṣaye cākṣarādhikāraḥ
18.3.9	antaḥpratihāraṃ stobhān pratihartā brūyāt
18.3.10	ūrdhvaṃ cārcikāvyapetān
18.3.11	aṣṭākṣarapadottamānāṃ catvāryanyatra paṅktibhyaḥ
18.3.12	tasminnyāyyasaṃjñā
18.3.13	padāntamaviśeṣe copottamātpadātpratīyāt
18.3.14	eṣa nyāyo 'nādeśe
18.3.15	saumedhasyaurṇāyavayorṛṣabhasya pāvamānasya nidhanasya mārgīyavasyaiteṣāmupariṣṭātpratihārasyodgātā stobhaṃ bhajate
18.3.16	nyāyyapratihārāṇāmiḍānāṃ saṃkṣārāśvasūktaḍasvaravārṣāharasvārakautsānāṃ gorāṅgirasasya sāmno 'bhyāsavataśca krauñcasyāgnimīyāmasyaiteṣāṃ purastāt pratihartā
18.3.17	saṃhitamārṣarbhaṃ śākalaṃ vājadāvaryaḥ svāraṃ saumitraṃ padanidhane kāṇvarohitakatnalīye
18.4.1	yauktāśve sauparṇānāmuttare yaudhājayaṃ naudhasamāṣkāranidhanaṃ kāṇvaṃ yauktasrucaṃ vāmaṃra tīraścīnidhanamāyāsyamindrasyayaśo vaiṣṇavamuttaraṃ saphaṃ pramaṃhiṣṭhīyaṃ dardgaṃ pauṣkalamāndhīgavaṃ bṛhadāgneyaṃ śyāvāśvatraiśoke teṣāṃ dve
18.4.2	purastātstobho yauktāśvayoḥ pūrvasya
18.4.3	śyāvāśvatraiśokayoḥ padāntaḥ
18.4.4	astobhastu śyāvāśvasya
18.4.5	padānto vāmera nyāyyo vā
18.4.6	oṃkārādistṛtīyacaturthābhyāṃ viśoviśīye
18.4.7	hiṃkārādirvā pañcamaṣaṣṭhābhyām
18.4.8	śauktanārmedhe dvipratihāre
18.4.9	prathamanavamābhyāṃ śauktasya
18.4.10	padāntaścaturbhiḥ pūrvo nārmedhasya caturbhireva madhyamairuttaraḥ
18.4.11	ekapratihāraṃ vottareṇa
18.4.12	bhāsavairūpayorgāyatrīsāmnoḥ padāntaḥ
18.4.13	dvābhyāṃ bhāse
18.4.14	caturbhiruttarasya
18.4.15	tṛtīyena padena yajñāyajñīyanidhane sauhaviṣe
18.4.16	śrāyantīyavaruṇasāmadvaigatāñjasā daśa
18.4.17	teṣāṃ pūrvayoḥ sarvaṃ padaṃ dve ca punaruktasya
18.4.18	dvaigate tu padāntaḥ
18.4.19	upottamasya padasya padādirañjasaḥ
18.4.20	viśoviśīyaprabhṛtīnāṃ vā navānāmuttamasya padasyādau dve
18.4.21	hāikārānto viśoviśīye
18.4.22	śrāyantīyavaruṇasāmnorabhyāsādiḥ
18.4.23	catvāri vā prāgghiṃkārāt prāgghiṃkārāt
19.1.1	vāmadevyaṃ svāraṃ sākamaśvaṃ pāṣṭhauhaṃ nidhanakāmaṃ satrāsāhīyaṃ kākṣīvataṃ cyāvanaṃ gāyatrīsāmauśanaṃ nidhanavadaidhmavāham teṣāṃ pañcamaṣaṣṭhe vikalpyete nyāyyena
19.1.2	gūrdaḥ saumedhaṃ mādhucchandasamaudalaṃ sauśravasamuttaraṃ vārtraturamṛṣabho raivataḥ kautsamauṣṇihamātīṣādīyaṃ krośamo konidhanaṃ svāraṃ sāmarājaṃ mārutamauṣṇihamākṣāraṃ sujñānaṃ hārivarṇaṃ sāṃvarttaṃ jāgataṃ varuṇasāma marutāṃdhenu sraugmatam / teṣāṃ catvāri
19.1.3	abhyāso gūrdasya
19.1.4	abhyāsādiruttareṣāṃ trayāṇām
19.1.5	uttamāni sauśravase
19.1.6	aṣṭau vā vārtrature
19.1.7	pūrvayośca nyāyyau
19.1.8	madhyamaṃ vacanamṛṣabhe
19.1.9	madhyamānyuttareṣāṃ pañcānām
19.1.10	prāgvābhyāsāduttamāni kautse
19.1.11	prathamāni vā sāmarājasya purastātstobhaḥ
19.1.12	ṣaḍvā pañcamaprabhṛtīni mārate
19.1.13	āśvarathantarayoḥ pañca
19.1.14	vaidanvate cābhyāsavati
19.1.15	uttame tu padāntastasya
19.1.16	ādau vā dve ubhayataḥstobhe
19.1.17	tṛtīyaṃ vā
19.1.18	ubhau vaikaḥ
19.2.1	ākatnapārakrauñce gāyatrīsāmanī daivātithaṃ gauṣūktaṃ rauravaṃ dvihiṃkāraṃ vāmadevyamekārāntaḥprastāvaṃ vaiyaśvamaraṇyegeyaṃ śākvaravarṇaṃ saubharaṃ bārhadgirarāyovājīye svāramaidhmavāhaṃ gauśṛṅgaṃ hārāyaṇakaulmalabarhiṣe janitramuttaraṃ vaitahavyamihavadvāmadevyaṃ pratīcīneḍaṃ kāśītaṃ vaiṣṇavaṃ pūrvaṃ śyaitaṃ saṃjayam / teṣāṃ ṣaṭ
19.2.2	astobhāvuttamayoḥ
19.2.3	prathamatṛtīyayorubhayataḥstobhau
19.2.4	prāgaukārātprathame
19.2.5	hiṃkārāttṛtīye
19.2.6	apratihāre pūrve stotrīye śākvaravarṇasya
19.2.7	ihakārānta aidhmavāhe stobhaḥ
19.2.8	sarvo vā
19.2.9	prāgovāyāstriṣūttareṣu
19.2.10	pairumadge ca
19.2.11	okārājjanitre
19.2.12	saha vauvayā paurumadge
19.2.13	gauśṛṅgahārāyaṇakaulmalabarhiṣavaitahavyānāṃ vā padāntaḥ
19.2.14	dvābhyāṃ pūrvayoścaturuttarayoḥ
19.2.15	purastātstobhaḥ kaulmalabarhiṣasya
19.3.1	sapta vāravantīye pūrvasmin / teṣāṃ trīṇi padānte
19.3.2	kārṣaśravasaṃ traitaṃ pajaṃra tauraśravasamuttaraṃ śrudhyamudvaṃśaputraḥ śākvaram / teṣāmaṣṭau
19.3.3	pajratau raśravasayorarddhāni padānte
19.3.4	śrudhyasya ca kakupsu
19.3.5	tasya gāyatrīṣu catvāri
19.3.6	ṣoḍaśa bṛhatīṣu
19.3.7	nadaṃ va odatīnāmiti daśa
19.3.8	madhyamasya padasyābhyāsaḥ śākvare
19.3.9	nyāyyo vā
19.3.10	vāyorabhikrandaḥ svāraṃ kāvamaurukṣayamauśanaśyāvāśve traiṣṭubhe śnauṣṭaṃ jāgataṃ somasāma kārtayaśaṃ svāraṃ payonidhanamṛṣabhaḥ śākvaro yaṇvāpatye / teṣāmuttamaṃ padam
19.3.11	purastātstobhā uttamānāṃ trayāṇām
19.3.12	apratihārā prathamā stotrīyā yaṇvāpatyayoḥ
19.3.13	pañcānāṃ vādita uttame pade catvāri
19.3.14	vaikhānasaṃ pauruhanmanamudvaṃśīyamāṣkāraṇidhanaṃ tvāṣṭrīsāma / teṣām uttamaṃ padaṃ prāgabhyāsāt
19.3.15	abhyāse vā catvāryuttarayoḥ
19.4.1	śāktyasāma maidhātithaṃ vāravantīyamuttaramābhīśave simānāṃ niṣedhastriṇidhane tvāṣṭrīsāmāyāsye dārḍhacyutamātharvaṇaṃ revatya aiṭatamagnestriṇidhanamutsedhaniṣedhāvaiḍaṃ sākamaśvaṃ dairghaśravasaṃ dāśaspatyaṃ grāmegeyaśyenaḥ / tāni dvipratihārāṇi
19.4.2	madhyamayoḥ padayoḥ śāktyasāmamaidhātithayoḥ padānto dvābhyām
19.4.3	caturbhirvā
19.4.4	ihāhe vāravantīye
19.4.5	saptabhirvaikapratihāraṃ prāgihāhāyāḥ
19.4.6	ukārādirvaikena padāntaḥ
19.4.7	nyāyyo vā
19.4.8	pūrvayośca
19.4.9	vāravantīyasya dvipadāsu saptānāṃ sthāne catvāri
19.4.10	dve caturṇām
19.4.11	dve ekamityekapadāyām
19.4.12	uttarayoḥ padayoruttareṣām
19.4.13	dve dve tu ṣaṇṇāmābhīśava prabhṛtīnām
19.4.14	catvāri vā simānāṃ niṣedhasya tvāṣṭrīsāmnaśca
19.4.15	purastātstobhā vātharvaṇasya
19.4.16	tatprabhṛtīnāṃ catvāri
19.4.17	aṣṭau vā dāśasyatye
19.4.18	pūrve vottareṇaikapratihāre
19.4.19	tṛtīyapañcamābhyāṃ padābhyāṃ śyene
19.4.20	caturthaṣaṣṭhayorvā padayordve padayor dve
20.1.1	pṛthakstotrīyāsu pratihārāḥ saṃtaninaḥ
20.1.2	trayastraya ūdhaḥsu mahānāmnīnām
20.1.3	tān pratitodā ityācakṣate
20.1.4	tathā svarāśca nityavatsātīṣaṅgayoḥ
20.1.5	dve dve tu sarveṣām
20.1.6	ṣaḍvā saṃtanivarjam
20.1.7	śākvarottameṣu mahānāmnīnām
20.1.8	ṣaṣṭhamadhyāyeṣu
20.1.9	āndhāsvaraṃ madhyamaṃ vacanaṃ stautrikaṃ purīṣeṣu
20.1.10	apratihārāṇyadhyāsapurīṣapadānyācāryāḥ
20.1.11	tāsāṃ prathamadvitīye pade dvipadā
20.1.12	trīṇi śākvarāṇi
20.1.13	dhāturvatsa ūdhaḥ
20.1.14	tacchākvaram
20.1.15	puruṣastrīṇi śākvarāṇyadhyāsyā
20.1.16	iti padāni
20.1.17	uttamā tu dvyadhyāsā
20.1.18	dvipadāsu prastāvaḥ śākvaraprathameṣvadhyāsapurīṣapadeṣu ca
20.1.19	bhāsenoktaḥ padānto yajñāyajñīye devasthāne vairūpeṇa
20.1.20	araṇyegeyaḥ śyenaḥ pārthuraśmācchidrarayiṣṭhe / teṣāmuttareṣu padeṣu
20.1.21	dve dve pūrvayoḥ
20.1.22	catvāri catvāryuttarayoḥ
20.1.23	ubhayataḥ stobhāḥ pārthuraśmasya
20.1.24	devatāpadaṃ devatāpadamiti vairūpe nidhanāni
20.1.25	prākśiśumatyāḥ stobhaiḥ pratihāraḥ
20.1.26	ekādaśamaiḍe daivodāse
20.1.27	saptamāṣṭamābhyāṃ traikakubhasya
20.1.28	navamadaśamābhyāṃ vaiśvamanasasya
20.1.29	tathā vṛṣṇaḥ
20.1.30	triruktābhyāṃ tu tasyābhyāsādyaiḥ
20.1.31	sadṛśagītiṣu sarveṣu pṛthakpṛthakpadāni vibhajeran / pratyantādanādeśe / śeṣamudgātā tāni vibhāgyāni
20.1.32	traiṣṭubhajāgatānyanādiṣṭāni
20.1.33	bahvakṣarastobhādīni ca rahasyeṣu
20.1.34	yathā vasiṣṭhasya vairājaṃ vaṣaṭkāraṇidhanamāṣṭādaṃṣṭera mahāvaiśvamitraṃ saumitraṃ svarṇidhanaṃ daivodāsamaiḍaṃ vaidanvataṃ plavaḥ parītoyonīni krauñcaṃ tvāṣṭrīsāmāni svāraṃvāṅnidhanānyabhyāsavadākatnapāram
20.1.35	ādyantasrubdheṣu padāya padāya stobhet / yo yaḥ padaṃ brūyāttathānupadaṃ stubdheṣu
20.2.1	ūrdhvaṃ tu prathamātpadātsaṃkṛtinaḥ
20.2.2	prākcaturthātpadātstobhaiḥ pratihāraḥ
20.2.3	nidhanāni padānyupāyasadṛśāḥ stobhāntā yeṣāṃ tāni stobha vibhāgyāni
20.2.4	tatra tṛtīyāyaiva padāya pratihartā stobhet
20.2.5	upāyavantaḥ stobhā ekavṛṣasya
20.2.6	devatāsu carṣabhasya śākvarasya
20.2.7	tāsāṃ nānāstobheyuḥ
20.2.8	sadevate pade prastāvapratihārau vibhāgyaścet
20.2.9	gāyatrīsāmasu vibhāgyeṣūttame vyāvargaṃ śiṣṭvā pratiharediti dhānaṃjayyaḥ
20.2.10	sarveṇaiva padeneti śāṇḍilyāyanaḥ
20.2.11	triruktān stobhāñchukriyeṣu caturbūrayuranyatra nidhanebhyaḥ
20.2.12	mahādivākīrtyasya prāstāvike devate vipariharet
20.2.13	evaṃ jyotiṣprāyaṇaṃ jyotirudayanaṃ bhaviṣyatīti
20.2.14	tatrātmā stobhavibhāgyaḥ
20.2.15	prathamāyaivānugānāya prastotā prastuyādātmane ca
20.2.16	itarāṇyanugānānyudgātaiva sarvāṇi brūyāt
20.2.17	teṣāṃ nidhaneṣvenamanūpeyātām
20.2.18	uttamāni vā trīṇyanugānāni pratyāhṛtyetaraiḥ sahātmapadebhyaḥ stobhadharmeṇānusaṃhareyuḥ
20.2.19	yāni prāgātmana ādau tāni sakṛdyānyūrdhvamantatastāni sakṛdātmanaiva stomaṃ pūrayedityaparam
20.2.20	paryāyādyanteṣu
20.2.21	viṣṭāvānāṃ vā
20.2.22	bhāsanidhane daśamasya padasyopāyamudgātaiva brūyāt
20.2.23	sarvāṇi rājane triruktāni pañcakṛtvo brūyuḥ
20.2.24	tasyānupadaṃ stobhāḥ
20.2.25	padena prastāvaḥ
20.2.26	tṛtīyena padena purastātstobhena pratihāraḥ
20.2.27	vibhāgyaṃ vā
20.2.28	tatra devatābhyo yadyanantaraṃ pūrvaṃ padaṃ tena sahaitā brūyuḥ
20.2.29	vyavastobhetpadadaivatamityeke
20.2.30	nidhanāni padāni padastobheṣu tathaiveḍāḥ
20.2.31	tebhyo nānā stobheyuḥ
20.2.32	tribhyaḥ prathamebhyaḥ prastotā tribhya eva saptamaprabhṛtibhyaḥ pratihartā
20.2.33	arddhaṃ padaṃ nidhanamiḍāvyaveteṣu
20.2.34	sarvamavyapeteṣu
20.2.35	caturthasya prathamaḥ pādastryakṣarāṇi catvāri nidhanāni
20.2.36	tathā tṛtīyaḥ
20.2.37	dvitīyottamau vā dvaidhaṃ caturakṣaraśa itarau
20.2.38	avibhāgyāścedaṣṭamena stobhena prathamasya
20.2.39	navamena pareṣām
20.2.40	daśamena vāntyasya
20.2.41	sarveṣāṃ prathamena prastāvaḥ
20.3.1	ilāndasyottame 'nugāne ṣaṭ
20.3.2	vibhāgyānītarāṇi
20.3.3	prathamaṃ vā vibhāgyam
20.3.4	tatrottamasya stobhasya madhyamena vacanena
20.3.5	ekādaśa dairghatamasasya
20.3.6	aṣṭamaiḥ stobhaistriruktarbhadraśreyasoḥ
20.3.7	pañcamaiśca yadi dvipratihāre
20.3.8	pañcākṣaraśaḥ stobhavibhāgye dharmavidharmaṇī
20.3.9	dvipadākāraṃ vā
20.3.10	tayordaśamaiḥ stobhaiḥ pratihāraḥ
20.3.11	ṣaṣṭhaiśca yadi dvipratihāre
20.3.12	padānte trīṇi sauhaviṣe
20.3.13	padādau vā
20.3.14	madhyamaṃ vacanaṃ svarṇidhane sauhaviṣe
20.3.15	vibhāgyaṃ vā
20.3.16	madhyamameva vacanaṃ purastātstobhaṃ vairājasya
20.3.17	tasya padāntāṃścaturvābhyasyeyuḥ
20.3.18	tathā cāturthikasya vātsaprasya
20.3.19	samādhiṃ tu
20.3.20	ṛgādimupariṣṭāllāmakāyanaḥ
20.3.21	stobhaṃ śāṇḍilyaḥ
20.3.22	traikakubhe ca padādiḥ
20.3.23	avibhāgyānāmuttame pade prāgupāyāt ṣaṭsu vyāvargavatsvaṣṭasu vā yathā vāmadevyakrośayoḥ pūrveṇa vyāvargeṇa pratiharediti śāṇḍilya uttareṇeti dhānaṃjayyaḥ
20.3.24	prātihārikameva gītaṃ pratihāro vaicchandaseṣu
20.3.25	apyapadādau
20.3.26	nordhvaṃ pratihārādoṃkāreṇādadīteti gautamaḥ
20.3.27	pratyaveta svarāṇāṃ tu pratyudgṛhṇīyāt / yathā kāleyavātsagurddānām
20.3.28	nakāriṇām / mayo vā / varo vā
20.3.29	oṃkāreṇa pratyavetasvarāṇāmādadīteti dhānaṃjayyaḥ
20.3.30	yathāmnāyaṃ śāṇḍilyaḥ
20.3.31	ihakāra iḍāthakārau gītaṃ ca nidhanasvaraṃ hīṣīsvaraṃ ca dvyakṣaraṃ devatāścāraṇyegeyeṣu tānyantaḥsāmanidhanāni
20.3.32	vāk cet stobhānto 'nantaraḥ purastādvṛddhaḥ kruṣṭo vākāraḥ svaritaṃ vārcikaṃ vā vṛddhaṃ pūrveṣāṃ trayāṇām
20.3.33	yathā devatyastvāṣṭrīsāma yaudhājayaṃ dārḍhacyutamātharvaṇamāndhīgavam
20.3.34	tebhyo yannigadavartyanantaramārcikaṃ tena sahopeyuranādeśaḥ
20.3.35	ihakārādimiḍāṃ sarva upeyuḥ
20.3.36	tāni pratīcīneḍāni
20.3.37	ikāraṃ tvanyāsu gautamaḥ
20.3.38	iḍeti dhānaṃjayyaḥ
20.3.39	ikārāntaṃ caivopāyaṃ saṃpragātheṣu saṃpragāyanti kutsāḥ
20.3.40	evaṃ naḥ kṛtsneḍopetā bhaviṣyatīti
20.3.41	pratyudgītastu khalveṣāṃ tathodgātā bhavati
20.3.42	kṛtsnām eke samayāmnāyābhyām
20.3.43	purīṣapadaśeṣāṇi nidhanānyācāryāḥ svaritāntāni yathādhītaṃ vā
20.4.1	trirātreṣu ca yaudhājayasyaikākṣarāṇi nidhanāni
20.4.2	pragātheṣu bṛhadrathantarayoryajñāyajñīyasya cānādeśe kakubhāvuttare
20.4.3	tayordvyakṣaraḥ prastāvaḥ sarvatra
20.4.4	tṛceṣvakṣarasaṃyogena
20.4.5	prathamāyā uttamamakṣaraṃ madhyamāyāśca prathamam
20.4.6	evamevāparayordvitīyottamayoḥ
20.4.7	prastāvapratihāranidhanānāmakṣaraparimāṇaṃ yathāyoni cikīrṣedvaicchandaseṣvanādeśe
20.4.8	yasyārcikamudāttānudāttaṃ tadṛgūḍhamatha yasya sāmikaṃ tat sāmoḍham
20.4.9	yathā pauṣkalasyottarayoryathā333vide33 / samapsujī’2345 diti dhānaṃjayyastadṛgūḍham / yathāvide '2345 / samapsujī’2345diti śāṇḍilyastatsāmoḍham
20.4.10	ūnākṣareṣu pādeṣvakṣaropadhiṃ śāṇḍilyaḥ
20.4.11	yathāgnistriṇidhanasya ānūpe234go / māngobhirā’31uvā’23 / ā’23kṣāḥ / somo3dū’234gdhā // bhirā’31uvā’23 // ā’234kṣāḥ // tadakṣarasadhātu
20.4.12	anupadhiṃ dhānaṃjayyaḥ / ānūpe '234go / māngobhira’31uvā’23 / ā’234kṣāḥ // somodū’23gdhā // bhirā’31uvā’23 // ā’23kṣāḥ // tatpadasadhātu
20.4.13	pāṅktasyānuṣṭupsu dvitīyaṃ padaṃ dvaidhaṃ vyūheccaturakṣaraśo yatharṣabhasya śākvarasya
20.4.14	tṛtīyaṃ bṛhatīṣvaṣṭākṣaraṃ caturakṣaraṃ ca yathā saṃkṛtinaḥ
20.4.15	simā bṛhatyanuṣṭupsu yathāpadaṃ vyūhet
20.4.16	sa hi ṛgdharmaḥ
20.4.17	saptadhetyācāryāḥ
20.4.18	sapta hi śākvarāṇi
20.4.19	upakṣudrā iti cāha
20.4.20	tāsāṃ dvitīyaṃ padaṃ dve dve kṛtvā catvāryudhaḥ
20.4.21	aṣṭau catvārīti tṛtīyam
20.4.22	catvāryaṣṭāviti vā
20.4.23	samadhānuṣṭupsu
20.4.24	yathāsthānamaśākvarāṇi
20.4.25	yonau yānyabhyāsenānyacchandaḥ saṃpadyante yathā gaurīvitaudalakautsatraikakubhavaikhānasāni tadāpanneṣu teṣu gautamasārdāgavāvanabhyāsam
20.4.26	maśako gārgyo 'bhyāsaṃ maśako gārgyo 'bhyāsam
21.1.1	upāsthāneṣvanyāni nidhanāni
21.1.2	svarānādeśe tathā svarāṇi syuḥ
21.1.3	iḍāścānādeśe
21.1.4	ubityarddheḍā
21.1.5	prakṛtisvarā prathamasvarā vā
21.1.6	adhyarddhā tvadhyarddhopānām
21.1.7	autpattikaḥ svaraḥ svaḥ kāśīte
21.1.8	daivodāsasujñānayośca
21.1.9	svaḥpṛṣṭhe ca pūrvaḥ
21.1.10	uttara iti gautamadhānaṃjayyau
21.1.11	aupagavayorathāmathā vā
21.1.12	kāmaṃ tu nānā
21.1.13	abhicaraṇīyeṣu vā mathāthānyatra
21.1.14	jāgatasya somasāmna indra iva dasyūṃramṛṇāḥ / sūrya iva dasyūṃramṛṇāḥ / vajrin suvajrin
21.1.15	dvirvāvasyet
21.1.16	indra iva dasyūṃramṛṇāḥ / sūrya iva dasyūṃramṛṇāḥ / vajrin suvajrin / indra iva dasyūṃramṛṇāḥ / sūrya iva dasyūṃramṛṇo vajrin suvajrinniti vā
21.1.17	sakṛccāntataḥ indra iva dasyūṃramṛṇaḥ sūrya iva dasyūṃvamṛṇo vajrin suvajrin
21.1.18	yathā vāyobhastrāyāṃ nihanyamānāyāṃ hrādaḥ syāt
21.1.19	yathā vāyasī samṛccheyātām
21.1.20	yathā vā niṣkaḥ kṛntatreṇābhihato dhvanet
21.1.21	yathā vā sanūpurapādasya nighātaḥ syāt
21.1.22	gaṇṇiti vā
21.1.23	yathā vāpsu pippalaṃ nipatet
21.1.24	plugiti vā
21.1.25	plaugiti vā
21.1.26	sahobhīriti vā
21.1.27	kārtayaśe ca trayo vikalpāḥ
21.1.28	dayitnave ham / dayitnave ham / dayitnave ham
21.1.29	evamevottarasminnidhane
21.1.30	gāyatrasya pādena prastāvaḥ sarvatra
21.1.31	aṣṭākṣareṇeti dhānaṃjayyaḥ
21.1.32	tathā purāṇaṃ tāṇḍam
21.1.33	tasya nidarśanārthaṃ gānaṃ gāyatrīṣu
21.1.34	upāsmai gāyatā naromiti dhānaṃjayyaḥ
21.1.35	upāsmai gāyatā naro iti śāṇḍilyaḥ
21.1.36	upāsmai gāyatā narā ityeke
21.1.37	śeṣamudgātā
21.1.38	manasā tu svabhaktimoṃkāraṃ tathā svaraṃ vācā
21.1.39	sarve vā nidhananyāyāt
21.2.1	pavamānāyendāvā ityekāvṛt
21.2.2	abhidevāṃ iyā ityaparā
21.2.3	kṣātā ityaparā
21.2.4	pūrvā vā vargāvavanardyāviti dhānaṃjayyaḥ
21.2.5	madhyamāyāmāvṛti dvau stobhau kuryāttāvavanardyāviti gautamaḥ
21.2.6	abhidevāṃ iyā
21.2.7	sarvatraukārāvityeke stobhadharmatvāt
21.2.8	yamarcamācāryāstathak saliṅgadṛṣṭāntāt
21.2.9	stobhānaikāntyācca
21.2.10	jyāyasi cchandasi prathamāyāmāvṛtyāvapeduttamaṃ pādaṃ śiṣṭvā
21.2.11	aṣṭākṣaramiti dhānaṃjayyaḥ
21.2.12	ūrdhvaṃ retasyāyā dvyakṣaraṃ śiṣṭvā hiṃkāraṃ brūyāt hiṃ ā iti
21.2.13	taṃ retasyāyāṃ pratihartā manasā dhyāyenna parāsviti gautamaḥ
21.2.14	parāsveveti dhānaṃjayyaśāṇḍilyau
21.2.15	rathantaravarṇāyākṣarāṇyabhiṣṭobhet
21.2.16	bhā’3bhā’3 iti śāṇḍilyaḥ
21.2.17	bha bha iti dhānaṃjayyaḥ
21.2.18	tryakṣaraṃ cābhiṣṭobhet
21.2.19	prathamaṃ hyakṣaraṃ luptamiti
