#Text:Kātyāyanaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto 'dhikāraḥ
15.4.15	nāmāsya gṛhṇāti mantre yathāsthānam
15.4.16	mātāpitroś ca
15.4.17	yasyāś ca jāte rājā bhavati deśasyānavasthitatvāt
15.4.18	paśupuroḍāśatantraṃ prādhānyāt
15.4.19	itareṣāṃ vā bhūyastvāt
15.4.20	sviṣṭakṛchruteś ca
15.4.21	iḍānte 'po gṛhṇāti
15.4.22	yūpam uttareṇa naimittikīr asambhavāt
15.4.23	gatvetarāḥ
15.4.24	pṛthak pātreṣv audumbareṣu
15.4.25	sārasvatīḥ
15.4.26	avagāhyāvagāḍhāt paśoḥ puruṣād vā pūrvāparā ūrmī
15.4.27	syandamānāḥ
15.4.28	pratilomāḥ
15.4.29	apayatīḥ
15.4.30	nadīpatim
15.4.31	sūdyāḥ
15.4.32	kāṣṭhaṃ vochritoḍham
15.4.33	niveṣyāḥ
15.4.34	syandamānānāṃ sthāvarāḥ pratyātāpe
15.4.35	antarikṣāt pratigṛhyātaparṣyāḥ
15.4.36	sarasyāḥ
15.4.37	kūpyāḥ
15.4.38	pruṣvāḥ
15.4.39	madhu
15.4.40	gorulbyāḥ
15.4.41	payaḥ
15.4.42	ghṛtam
15.4.43	sārasvatīr gṛhṇāty apo devā iti
15.4.44	juhoty uttarāsu caturgṛhītāni vṛṣṇaūrmyādibhiḥ svāhākārāntaiḥ pūrvaiḥpūrvaiḥ pratimantram uttarairuttarair gṛhṇāti
15.4.45	āpaḥ svarāja iti marīcīr gṛhītvāgṛhītvāñjalinā sarvāsu saṃsṛjati
15.4.46	audumbare pātre samāsiñcaty enā madhumatīr iti
15.4.47	maitrāvaruṇadhiṣṇyasya purastān nidadhāty anādhṛṣṭāḥ sīdateti
15.4.48	pātrāṇi ca tūṣṇīṃ pālāśaudumbaranaiyagrodhapādāśvatthāny abhiṣekāya
15.4.49	ukthyaḥ śvaḥ
15.4.50	payasyā maitrāvaruṇī mādhyandinīyaiḥ saha
15.4.51	śataṃ sahasrāṇi dakṣiṇā
15.5.1	marutvatīyānte pātrāṇi pūrveṇa vyāghracarmāstṛṇāti somasya tviṣir iti
15.5.2	apare 'nte sīsaṃ nidaghāti
15.5.3	pārthānām agnaye svāheti ṣaḍ juhoti pratimantram
15.5.4	pavitre kṛtvā hiraṇyam enayoḥ pravayati
15.5.5	tābhyām utpunāty apaḥ savitur va iti
15.5.6	abhiṣecanīyeṣv enā vyānayati sadhamāda iti
15.5.7	tārpyaṃ paridhāpayati
15.5.8	kṣaumam
15.5.9	tripāṇaṃ vā
15.5.10	ghṛtonnam eke
15.5.11	yajñarūpasyūtam
15.5.12	pāṇḍvaṃ ca nivaste
15.5.13	adhīvāsaṃ pratimucyoṣṇīṣaṃ saṃveṣṭya nivīte
15.5.14	nābhideśe pariharate vā
15.5.15	tārpyaprabhṛtīni kṣatrasyeti pratimantram
15.5.16	dīkṣitavasananivṛttir virodhān māhendrādau vā punaḥparidhānaṃ nidhāyaitāni
15.5.17	indrasya vārtraghnam iti dhanur ātanoti
15.5.18	mitrasya varuṇasyety asya bāhū vimārṣṭi
15.5.19	dhanuḥ prayachati tvayāyam iti
15.5.20	dṛbāsīti pratimantram ādāya tisraḥ iṣūḥ prayachati pātainam iti pratimantram
15.5.21	āvir maryā iti vācayati
15.5.22	aveṣṭā iti lohāyasam āvidhyati keśavāsye sado'nta upaviṣṭāya
15.5.23	sunvantam ākramayan diśaḥ prācīm āroheti vācayati pratidiśaṃ yathāliṅgam
15.5.24	ākramya pādena sīsaṃ nirasyati pratyastam iti
15.5.25	vyāghracarmārohayati somasya tviṣir iti
15.5.26	rukmam adhaḥpadaṃ kurute mṛtyor iti
15.5.27	śirasi ca navatardmaṃ śatatardmaṃ vaujo 'sīti
15.5.28	bāhū udgṛhṇāti hiraṇyarūpā iti
15.5.29	mitro 'si varuṇo 'sīti vā
15.5.30	sthitaṃ prāñcam abhiṣiñcati purohito 'dhvaryur vā purastāt pālāśena prathamam paścād itare dvitīyena svastṛtīyena mitryo rājanyo vaiśyaś caturthena somasya tvā dyumneneti pratimantram
15.5.31	abhiṣiñcāmīti sarvatra sākāṅkṣatvāt
15.5.32	kṣatrāṇāṃ kṣatrapatir edhīti ca
15.5.33	imam amuṣyeti ca prathamo devasūvat
15.5.34	pārthānām indrāya svāheti ṣaḍ juhoti pratimantram
15.6.1	śaunaḥśepaṃ ca preṣyati
15.6.2	dyūtānte vā
15.6.3	o3m ity ṛcāṃ pratigaras tatheti gāthānām
15.6.4	hotādhvaryū hiraṇmayyoḥ kaśipunor upaviṣṭau
15.6.5	śaunaḥśepānte pṛthak śate dadāti
15.6.6	sahasre vā
15.6.7	āsane ca
15.6.8	kaṇḍūyanyābhiṣekeṇa pralimpate pra parvatasyeti
15.6.9	carmaṇi trir vikramayati viṣṇor iti pratimantram
15.6.10	pālāśe śeṣān āsicya putrāya prayachati priyatamāyedaṃ me karmedaṃ vīryaṃ putro 'nusaṃtanotv iti
15.6.11	śālādvārye juhoti putre 'nvārabdhe prajāpata iti putrayajamānayor nāma gṛhṇāti pitṛśabdaṃ putre kṛtvā yathāyathaṃ paścāt
15.6.12	āgnīdhrīye pālāśena śeṣān juhoti rudra yat ta ity uttarārdhe
15.6.13	gavāṃ śatam adhikaṃ vā svasyāhavanīyasyottarata sthāpayati
15.6.14	pūrvāgnivahanaṃ ca sāgni
15.6.15	vājapeyavad ratham avahṛtya dakṣiṇasyāṃ vediśroṇau yunakti pūrvavan mitrāvaruṇayor iti caturbhiḥ
15.6.16	dakṣiṇāpathena yātvāpareṇa cātvālaṃ sthāpayati
15.6.17	avyathāyai tveti sunvann ārohati
15.6.18	marutām iti dakṣiṇadhuryaṃ prājati
15.6.19	gavāṃ madhye sthāpayaty āpāmeti
15.6.20	dhanurārtnyopaspṛśati gāṃ yajamānaḥ sam indriyeṇeti
15.6.21	jinānīmāḥ kurva imā iti cāha
15.6.22	tāvadbhūyo vā gosvāmine datvā pūrveṇa yūpaṃ parītyāntaḥpātyadeśe sthāpayati mā ta iti
15.6.23	agnaye gṛhapataya iti catvāri rathavimocanīyāni juhoti pratimantram
15.6.24	paśūnāṃ raso 'sīti varāhopanahā upamuñcate
15.6.25	bhūmim avekṣate pṛthivi mātar iti
15.6.26	avarohati haṃsaḥ śuciṣad iti
15.6.27	vimucya sayantṛkaṃ rathavāhaṇe karoti
15.6.28	anas tat karma
15.6.29	śālāyā dakṣiṇato 'papravate yantā
15.6.30	rathavāhaṇasya dakṣiṇe 'nte śatamānāv āsajati vṛttau
15.6.31	anuvartmam audumbarīṃ śākhām upagūhati
15.6.32	upaspṛśati śatamānāv iyad asīti
15.6.33	tau brahmaṇe dattvorg asīti śākhām upaspṛśati
15.6.34	indrasya vām ity avaharate bāhū payasyāyāṃ vyāghracarmadeśe sthitāyām
15.6.35	seṣukaṃ dhanuḥ prayachati
15.6.36	uttaravediṃ hṛtvā pasyayā pracarati prāk sviṣṭakṛtaḥ
15.7.1	khādirīm āsandīṃ rajjūtāṃ vyāghracarmadeśe nidadhāti syonāsīti
15.7.2	adhīvāsam asyām āstṛṇāti kṣatrasya yonir iti
15.7.3	sunvantam asyām upaveśayati syonām āsīdeti
15.7.4	niṣasādety uro 'syālabhate
15.7.5	abhibhūr ity asmai pañcākṣān pāṇāv ādhāya paścād enaṃ yajñiyavṛkṣadaṇḍaiḥ śanais tūṣṇīṃ ghnanti
15.7.6	pāpmānaṃ te 'pahanmo 'ti tvā badhaṃ nayāmīti vā
15.7.7	varaṃ vṛtvā brahmann ity āmantrayate pañcakṛtvaḥ
15.7.8	pratyāha vyatyāsaṃ savitā varuṇa indro rudra iti tvaṃ brahmāsītyādibhiḥ
15.7.9	ādinaivāntyam
15.7.10	bahukāreti ca hvayaty evaṃnāmānam
15.7.11	sphyam asmai prayachati purohito 'dhvaryur vendrasya vajra iti
15.7.12	rājā rājabhrātā sūtasthapatyor anyataro grāmaṇīḥ sajātaś caivaṃ pūrvaḥpūrva uttarasmai
15.7.13	prattena sajātaḥ pratiprasthātā ca pūrvāgnisahitāṃ śukrapurorucā dyūtabhūmiṃ kurutaḥ
15.7.14	manthino vimitam
15.7.15	dyūtabhūmau hiraṇyaṃ nidhāyābhijuhoti caturgṛhītenāgniḥ pṛthur iti
15.7.16	akṣān nivapati svāhākṛtā iti
15.7.17	gāṃ dīvyadhvam ity āha
15.7.18	kṛtādi vā nidadhyād rājaprabhṛtibhyaḥ
15.7.19	sajātāya kalim
15.7.20	gām asyānīya ghnanti
15.7.21	pūrvāgnivāho dakṣiṇā
15.7.22	payasyāsviṣṭakṛdiḍaṃ karoti
15.7.23	māhendrādi ca
15.7.24	avaruhya gachati stotrāya prahitaḥ
15.7.25	avabhṛtham ekena tārpyādīni cet udaity ekena
15.7.26	dīkṣitavasanaṃ ca prāsyati
15.7.27	anūbandhyavapāhomānte dadyād enāni
15.7.28	udavasānīyāyāṃ vā
15.7.29	traidhātavy udavasānīyā
15.7.30	aindrāvaiṣṇavo dvādaśakapālo vrīhiyavāṇām
15.7.31	tṛtīyaṃ yavānāṃ madhye
15.7.32	adhiśrayaṇaṃ ca
15.7.33	tisrastisro dakṣiṇā dadāti śatamānāni brahmaṇe dhenūr hotre vāsāṃsy adhvaryave gām agnīdhe
15.7.34	bhaiṣajyābhicārayor apy eṣā
15.8.1	daśottarāṇi saṃsṛpāhavīṃṣi nirvapati
15.8.2	devayajanāntaram ekaikenotsarpati
15.8.3	śālāyāmantyam
15.8.4	sāvitrasārasvatatvāṣṭrapauṣṇaindrabārhaspatyavāruṇāgneyasaumyavaiṣṇavāni yathoktam
15.8.5	pratīṣṭi puṇḍarīkāṇi prayachati
15.8.6	hiraṇmayāni vā
15.8.7	uttamāsu tisṛṣu pañca
15.8.8	teṣāṃ srajaṃ pratimuñcate
15.8.9	taddīkṣo bhavati
15.8.10	ekatantrau krayaikatvāt
15.8.11	nānā vāvabhṛthadīkṣāśrutibhyām
15.8.12	ekaṃ tv ānupūrvyayogāt
15.8.13	avabhṛthadīkṣābhyāso vacanāt
15.8.14	saptamyāṃ brahmāgārāt somam āhṛtyāsandyabhimarśanādi karoti
15.8.15	upasaddevatāhavīṃṣi nirvapaty upasadanta ichan yathoktam
15.8.16	pitāmahadaśagaṇaṃ somapānāṃ saṃkhyāya sarpaṇam
15.8.17	savitreti vānuvākam uktvā
15.8.18	daśadaśaikaikaṃ camasam anu bhakṣayanti
15.8.19	yajamānasya rājanyāḥ
15.8.20	brāhmaṇā vā śruteḥ
15.8.21	tulyāḥ saṃkhyāyogāt
15.8.22	brahmaṇe dadāty aṃśuvad dakṣiṇā
15.8.23	hiraṇmayīṃ srajam udgātre
15.8.24	rukmaṃ hotre
15.8.25	hiraṇmayau prākāśāv adhvaryubhyām
15.8.26	aśvaṃ prastotre vaśāṃ maitrāvaruṇāya
15.8.27	ṛṣabhaṃ brāhmaṇāchaṃsine vāsasī neṣṭāpotṛbhyām anyataratoyuktaṃ yavācitam achāvākāya gom agnīdhe
15.8.28	abhiṣecanīyānte keśavapanārthe nivartanaṃ saṃvatsaram
15.8.29	bhūmyanadhiṣṭhānaṃ ca
15.8.30	anupānatkasya yāvajjīvam
15.9.1	uttare śukle pañcabilaḥ
15.9.2	āgneya aindraḥ saumyo vā vaiśvadevaś caruḥ payasyā maitrāvaruṇī bārhaspatyaś caruḥ
15.9.3	pratidiśam āsādanam āgneyaṃ purastāt pradakṣiṇam itarāṇi madhye 'ntyam
15.9.4	pūrvaiś caritvācaritvā madhyame saṃsravāsecanam
15.9.5	āgneyo hiraṇyadakṣiṇo 'gnīdhe dadāti
15.9.6	aindrasya ṛṣabhaḥ saumyasya babhrur brahmaṇe
15.9.7	vaiśvadevasya pṛṣanhotre
15.9.8	payasyāyā vaśābhāve 'pravītādhvaryubhyām
15.9.9	bārhaspatyasya śitipṛṣṭho brahmaṇe
15.9.10	annādyakāmasyāpy eṣā
15.9.11	dvādaśottarāṇi prayug ghavīṃṣi māsāntarāṇi
15.9.12	āhavanīyād vā purastāchamyāprāseśamyāprāse
15.9.13	āgneyasaumyasāvitrabārhaspatyatvāṣṭravaiśvānarā yathoktam
15.9.14	evam āvṛttasya caravaḥ sārasvatapauṣṇamaitrakṣaitrapatyavāruṇādityāḥ
15.9.15	ṣaṭṣaḍ vaikatantre
15.9.16	pūrvāgnivāhau dvaudvau ṣaṇṇāṃṣaṇṇāṃ dakṣiṇā
15.9.17	aṣṭāpadīvat paśubandhau garbhiṇībhyāṃ svaguṇadakṣiṇau
15.9.18	śyenyādityebhyo 'dityai vā
15.9.19	vaiśvadevī pṛṣatī marutī vā
15.9.20	tadante keśavapanīyo 'tirātraḥ paurṇamāsīsutyaḥ
15.9.21	uttare ca māsāntarāḥ
15.9.22	vyuṣṭidvirātraḥ
15.9.23	agniṣṭomātirātrau
15.9.24	kṣatradhṛtiḥ
15.9.25	tam ubhayata eke triṣṭomajyotiṣṭomau
15.9.26	abhiṣecanīyād vā saṃvatsarāt keśavapanīyo 'tirātraḥ somāpavargaḥ
15.9.27	uttare śukle sautrāmaṇī
15.9.28	vrīhīn virūḍhāvirūḍhān kṣauma upanahya krīṇāti klībāt sīsena
15.9.29	paktvaudanaṃ virūḍhāṃś cūrṇīkṛtyāśvibhyāṃ pacyasveti saṃsṛjati
15.9.30	siṃhavṛkavyāghralomāni cāvapati
15.9.31	paśuṣu vā
15.9.32	puroḍāśadharmā dravyasāmānyāt
15.9.33	yāvaduktaṃ saumikā guṇatvāt
15.10.1	tripaśuḥ paśubandhaḥ śvaḥ
15.10.2	caturthyām
15.10.3	pakvāyāṃ vā
15.10.4	āśvino 'jaḥ śyetaḥ
15.10.5	malhāviḥ sārasvatī
15.10.6	ṛṣabhamindrāya sutrāmṇe
15.10.7	tadguṇābhāve 'jāḥ prathamo lohitaḥ
15.10.8	triyūpo vaikādaśiniliṅgāt
15.10.9	agnī varuṇapraghāsavat
15.10.10	avedirdakṣiṇaḥ
15.10.11	vapāmārjanānte kuśaiḥ parisrutaṃ punāti vāyuḥ pūta iti
15.10.12	kuvalakarkandhubadaracūrṇāni cāvapati
15.10.13	grahaṃ gṛhṇāti kuvid aṅgeti trīn vā pratidevatam etayaiva
15.10.14	samasyānuvācanam
15.10.15	yajeti ca
15.10.16	prathamasyānu homam itarau
15.10.17	parisruddhomo dakṣiṇe 'gnau
15.10.18	bhakṣam āhṛtya parisrucheṣam āsicya rukmavac chidraṃ kumbhaṃ śikye kṛtvopari dakṣiṇasya dhārayant sravantam upatiṣṭhate tricaiḥ somavatāṃ barhiṣadām agniṣvāttānām iti
15.10.19	havīṃṣi nirvapati sāvitravāruṇaindrāṇi yathoktaṃ paśupuroḍāśārthe
15.10.20	napuṃsako dakṣiṇā rathavāhī vā vaḍabā
15.10.21	somātipūtasyāpy eṣā
15.10.22	anuyājānte paśupuroḍāśārthaiś caraty āśvinena prāg avadānebhyaḥ
15.10.23	havirbhir vāśvinābhāvas tu
15.10.24	rājasūyayājinaḥ karmāpavarge vā sautrāmaṇī
15.10.25	traidhātavy ānupūrvyayogāt
16.1.1	agniḥ somāṅgaṃ tadguṇavyatiṣaṅgāt
16.1.2	ichataḥ samahāvrate niyamaḥ
16.1.3	na prathamāhāre
16.1.4	uttaravedyagninidhānāt
16.1.5	cikīṣamāṇa uttarasyāṃ phālgunyāṃ paurṇamāseneṣṭvā pañca paśūn ālabhate 'dakṣiṇān
16.1.6	brahmaṇe vā dadyāt
16.1.7	amāvāsyāyām eke
16.1.8	agnibhyaḥ kāmāya puruṣāśvago'vyajān
16.1.9	varṣiṣṭharaśanaḥ puruṣo 'nupūrvyā itareṣām
16.1.10	sarveṣāṃ vā tulyāḥ
16.1.11	samidhyamānasamiddhavaty antare samās tvāgna iti nava dadhāti
16.1.12	āpriyo dvādaśordhvā asyeti
16.1.13	ekādaśānte śāsapraiṣādi karoti
16.1.14	parivṛte puruṣasaṃjñapanam
16.1.15	ajasya śundhati pracaraṇayogāt
16.1.16	sarveṣāṃ vāviśeṣāt
16.1.17	vaiśyaḥ puruṣo rājanyo vā
16.1.18	kaṇṭheṣu tṛṇam antardhāya śirāṃsy ādatte
16.1.19	caturṇām apsu kāyaprāsanam
16.1.20	tato mṛdiṣṭakārthāpaś ca
16.1.21	ajena carati
16.1.22	saṃsthite tasya śeṣaprāsanam
16.1.23	sarvair eke
16.1.24	ekasyāpi kiṃ tataḥ sambhared iti śruteḥ
16.1.25	vaiśvānaraḥ paśupuroḍāśa upāṃśu
16.1.26	paśudevatā ca
16.1.27	āgneyyo yājyānuvākyāḥ kāmavatyaḥ
16.1.28	maithunaṃ varjayed ā payasyāyāḥ
16.1.29	māṃsoparyāsane cechan
16.1.30	tvaṅmastiṣkoddhṛtāni ghṛtāktāni śirāṃsi nidadhāti
16.1.31	sakalāni vā
16.1.32	anyāni vā hiraṇmayāni vā mṛnmayāni vānālabhyaitān
16.1.33	śyāmatūparo vā prājāpatyaḥ
16.1.34	ṣaḍ dadhyāt
16.1.35	hiraṇyagarbha ity ṛcā sruvāghāraḥ
16.1.36	pūrvo devatāsāmānyāt
16.1.37	uttare tu sāmānyopadeśābhyām
16.1.38	vāyave vā niyutvate śvetalapsudī dve dadhyāt
16.1.39	prājāpatyaḥ paśupuroḍāśo dvādaśakapāla ubhayoḥ
16.1.40	kadvatyo yājyānuvākyāḥ prājāpatyasya
16.1.41	śuklavatyo vāyavyasya
16.1.42	vapāyā vā
16.1.43	tulyam anyat sarveṣu
16.2.1	ukhāsambharaṇam aṣṭamyām
16.2.2	āhavanīyasya purastān matyā caturaśre śvabhre mṛtpiṇḍam avadadhāti bhūmisamam
16.2.3	piṇḍam apareṇa vyadhve valmīkavapāṃ chidrāṃ nidadhāti
16.2.4	āhavanīyaṃ dakṣiṇena trivṛnmuñjapañcāṅgībaddhās tiṣṭhanti prāñco 'śvagardabhājāḥ pūrvāparā rāsabho madhye 'śvapūrvāḥ
16.2.5	uttarata āhavanīyasyāratnimātra ubhayatastīkṣṇā vaiṇavī suṣirābhriḥ kalmāṣyabhāve 'kalmāṣī prādeśamātry aratnimātrī vā
16.2.6	hiraṇmayīm eke
16.2.7	aṣṭagṛhītaṃ juhoti saṃtatam udgṛhṇan yuñjāna iti
16.2.8	devasya tvety abhrim ādāya hasta ādhāyety enām abhimantrayate
16.2.9	aśvaprabhṛtīṃś ca pratyṛcaṃ pratūrtaṃ yuñjāthāṃ yogeyoga iti
16.2.10	anupaspṛśann utkramayaty enān prācaḥ pratimantraṃ pratūrvann urv antarikṣaṃ pṛthivyāḥ sadhasthād iti
16.2.11	agniṣu jvalatsu piṇḍaṃ gachanty agniṃ purīṣyam iti
16.2.12	dakṣiṇataśca paśavo yugapat
16.2.13	anaddhāpuruṣam īkṣate devapitṛmanuṣyān arthakam agniṃ purīṣyam iti
16.2.14	valmīkavapām ādāya chidreṇa piṇḍam īkṣate 'nv agnir iti
16.2.15	dṛṣṭvā nidadhāty enām
16.2.16	āgatyety abhimantrayate 'śvam
16.2.17	ākramyety enena piṇḍam adhiṣṭhāpayati
16.2.18	dyaus ta iti pṛṣṭhasyopari pāṇiṃ dhārayann anupaspṛśann utkrāmety utkramayati
16.2.19	udakramīd ity abhimantrayate
16.2.20	āhavanīyavat sthāpayati piṇḍasya
16.2.21	upaviśya mṛdam abhijuhoty ā tvā jigharmīti vyatiṣaktābhyām ṛgbhyām āhutī sruveṇāśvapade
16.2.22	abhryā piṇḍaṃ triḥ parilikhati pari vājapatir iti bahirbahir uttarayottarayābhryā piṇḍaṃ khanati devasya tveti
16.2.23	kṛṣṇājinam āstīryottaratas tasmin puṣkaraparṇam apāṃ pṛṣṭham iti
16.2.24	vimārṣṭy enad diva iti
16.2.25	ālabhata ubhe śarma ca stha iti
16.2.26	piṇḍaṃ purīṣyo 'sīti
16.2.27	pāṇibhyāṃ parigṛhṇāty enaṃ dakṣiṇottarābhyāṃ dakṣiṇaḥ sābhris tvām agna iti ṣaḍbhiḥ sarvaṃ sakṛd dhṛtvā
16.3.1	puṣkaraparṇe nidadhāti
16.3.2	apaḥ śvabhre 'vanayaty apo devīr iti
16.3.3	saṃ ta iti vā tam apakṣipati
16.3.4	anāmikayā saṃvapati purastāt paścād dakṣiṇata uttarataś ca
16.3.5	āstīrṇayor antān udgṛhṇāti sujāta iti
16.3.6	trivṛtā muñjayoktreṇopanahyati vāso agna iti
16.3.7	uttiṣṭhati piṇḍam ādāyod u tiṣṭheti
16.3.8	ūrdhvabāhuḥ prāñcaṃ pragṛhṇāty ūrdhva ū ṣu ṇa iti
16.3.9	avahṛtyoparinābhi dhārayann aśvaprabhṛtīn abhimantrayate sa jāta sthiro bhava śivo bhaveti
16.3.10	dhārayaty eṣām upari piṇḍama nupaspṛśan praitu vājī vṛṣāgnim ity aśvakharayoḥ
16.3.11	agna āyāhīty āhṛtya kharāc chāgasyartaṃ satyam ity ā nidhānāt
16.3.12	āyanty āvartya paśūn ajaḥ purastād rāsabho madhye
16.3.13	anaddhāpuruṣam īkṣate pūrvavad agniṃ purīṣyam iti
16.3.14	uttarata āhavanīyasyoddhatāvokṣite sikatopakīrṇe parivṛte prāgdvāre piṇḍaṃ nidadhāty oṣadhaya iti
16.3.15	vi pājaseti pramucyainam ajalomāny ādāya prāgudīcaḥ paśūn utsṛjati
16.3.16	āpo hi ṣṭheti parṇakaṣāyapakvam udakam āsiñcati piṇḍe
16.3.17	phenaṃ ca tūṣṇīṃ tataḥ kṛtvā
16.3.18	ajalomabhiḥ saṃsṛjati mitraḥ saṃsṛjyeti
16.3.19	śarkarāyorasāśmacūrṇaiś ca rudrāḥ saṃsṛjyeti
16.3.20	saṃsṛṣṭām iti saṃyauti
16.3.21	aṣāḍhāṃ karoti mahiṣī prathamavittā tadākhyā
16.3.22	yajamānapādamātrīṃ tryālikhitām
16.3.23	yajamāna ukhāṃ karoti mṛdam ādāya makhasya śira iti
16.3.24	prādeśamātrīṃ tiryagūrdhvāṃ ca
16.3.25	pañcaprādeśām iṣumātrīṃ vā tiryakpañcapaśau
16.3.26	vasavas tveti prathayati
16.3.27	antān unnīya sarvataḥ prathamaṃ dhātum ādadhāti rudrās tveti
16.3.28	saṃlipya ślakṣṇāṃ kṛtvottaram ādityās tveti
16.3.29	viśve tveti samīkaroti
16.3.30	vitṛtīya uttare vartiṃ sarvataḥ karoty adityai rāsneti
16.3.31	ūrdhvās tūṣṇīṃ pratidiśaṃ catasro 'parā vartiṃ prāptāḥ
16.4.1	stanān ivāgreṣūnnayati
16.4.2	dvistanām aṣṭastanām eke
16.4.3	bilaṃ gṛhṇāty aditiṣ ṭa iti
16.4.4	kṛtvāyeti nidadhāti
16.4.5	tisra eke
16.4.6	iṣṭakās tu tisro viśvajyotiṣaḥ pṛthaglakṣaṇās tryālikhitāḥ
16.4.7	mṛdam upaśayāṃ nidadhāti
16.4.8	saptabhir aśvaśakṛdbhir ukhāṃ dhūpayati dakṣiṇāgnyādīptair ekaikena vasavas tveti pratimantram
16.4.9	abhryā śvabhraṃ caturaśraṃ khanaty aditiṣ ṭveti
16.4.10	śrapaṇam āstīrya yathākṛtam avadadhāti
16.4.11	devānāṃ tvety ukhāṃ nyubjām
16.4.12	śrapaṇenāvachādya dakṣiṇāgnyagninādīpayati dhiṣaṇas tveti
16.4.13	nirmanthyena vā dhūpanaśrapaṇe
16.4.14	varūtrīṣ ṭvetīkṣamāṇo japati
16.4.15	ācarati mitrasyeti
16.4.16	yāvad dhācaret
16.4.17	divaiva pradahanoddharaṇe
16.4.18	udvapati śrapaṇam
16.4.19	devas tvety ukhām
16.4.20	uttānāṃ karoty avyathamāneti
16.4.21	udyachaty utthāyeti
16.4.22	parigṛhya pātre karoti mitraitāṃ ta iti
16.4.23	ajāpayasāvasiñcati vasavas tveti pratimantram
16.4.24	iṣṭakākriyātas tryālikhitānām
16.4.25	aparimitālikhitā vottarayoḥ
16.4.26	pūrvavad agniḥ pāke
16.4.27	dīkṣāmāvāsyāyām āmāvāsyeneṣṭvā
16.4.28	āgnāvaiṣṇavavaiśvānarau
16.4.29	ghṛte carur ādityebhyaḥ
16.4.30	prākṛtāny audgrabhaṇāni hutvā saptāgnikāny ākūtim iti pratimantram
16.4.31	daṇḍochrayaṇāntaṃ kṛtvādhvaryuyajamānayor anyatara ukhām āhavanīye 'dhiśrayati muñjakulāyāvastīrṇām antare śaṇā mā su bhitthā iti tiṣṭhann udaṅ prāṅ
16.4.32	rukmapratimocanaviṣṇukramavātsapreṣu ca
16.4.33	agnāv ārūḍhe trayodaśāsyāṃ prādeśamātrīḥ samidha ādadhāti
16.4.34	anārohaty aṅgārān opyaike
16.4.35	ghṛtonnāṃ kārmukīṃ drvanna iti
16.4.36	vaikaṅkatīṃ parasyā iti
16.4.37	audumbarīṃ paramasyā iti
16.4.38	aparaśuvṛkṇāṃ yad agna iti
16.4.39	adhaḥśayāṃ yad attīti
16.4.40	pālāśīḥ pratyṛcam aharahar iti
16.4.41	upottamāṃ kṣatriyasyechan
16.4.42	uttamāṃ purohitasya
16.4.43	anyasyobhe
16.4.44	svāhākāraḥ sarvāsūkhāyām
16.4.45	audgrabhaṇādi daṇḍāntam atraike
16.5.1	yajamānaḥ kaṇṭhe rukmaṃ pratimuñcate parimaṇḍalam ekaviṃśatipiṇḍaṃ kṛṣṇājinaniṣyūtaṃ lomasu śuklakṛṣṇeṣu śaṇasūtre trivṛty otam uparinābhi bahiṣpiṇḍaṃ dṛśāno rukma iti
16.5.2	iṇḍvaśikyāsandīṣu muñjarajjavas trivṛto mṛddigdhāḥ
16.5.3	parimaṇḍalābhyām iṇḍvābhyām ukhāṃ parigṛhṇāti naktoṣaseti
16.5.4	harati dyāvākṣāmeti
16.5.5	āhavanīyasya purastād udgātrāsandīvad āsandyāṃ caturaśrāṅgyāṃ śikyavatyāṃ nidadhāti devā agnim iti
16.5.6	śikyapāśaṃ pratimuñcate ṣaḍudyāmaṃ viśvā rūpāṇīti
16.5.7	saśikyaṃm prāñcaṃ pragṛhṇāti suparṇo 'sīti piṇḍavat
16.5.8	dhāraṇaṃ ca
16.5.9	etayā vikṛtyābhimantryaike 'nyacitiṃ cinvanti droṇacidrathacakracitkaṅkacitpraugacidubhayataḥpraugaḥ samuhyapurīṣaḥ
16.5.10	samuhyapurīṣe pratidiśaṃ purīṣāharaṇam
16.5.11	viṣṇukramān kramate viṣṇor iti pratimantram agnyudgrabhaṇaṃ ca tasmiṃstasmin
16.5.12	akramaś caturthe
16.5.13	diśo vīkṣate diśo 'nuvikramasveti
16.5.14	piṇḍavat prāgudañcaṃ pragṛhṇāty akrandad agnir iti
16.5.15	avaharaty agne 'bhyāvartinn iti
16.5.16	uparinābhi dhārayann ā tvāhārṣam ity abhimantrayate
16.5.17	pāśā unmucyod uttamam iti piṇḍavat prāgdakṣiṇā pragṛhṇāty agre brhann iti
16.5.18	avaharati haṃsaḥ śuciṣad iti
16.5.19	āsandyāṃ karoti bṛhad iti
16.5.20	upatiṣṭhate sīda tvam iti
16.5.21	vātsapreṇa ca divas parīty ekādaśabhiḥ
16.5.22	anuvākenaike
16.5.23	atra dīkṣito 'yam iti
16.5.24	āvṛttir ataḥ saṃvatsaram
16.6.1	ukhāyā bhasmodvapanam astamite pātre
16.6.2	vācaṃ visṛjya samidādhānaṃ rātrīṃrātrīm aprayāvam iti
16.6.3	evam udite bhasmodvapanādi
16.6.4	aharahar ity ādhānam
16.6.5	viṣṇukramavātsapre cāharvyatyāsam udite samidham ādhāya
16.6.6	rukmapratimocanādi prāg vātsaprād viṣṇukramāḥ
16.6.7	somāvirodhena vā tatprādhānyāt
16.6.8	nyajya samidhaṃ vrate prattepratte 'nnapata ity ādhānam
