#Text:Āpastambaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto darśapūrṇamāsau vyākhyāsyāmaḥ
13.19.10	āyurdā agne haviṣo juṣāṇa ity avabhṛtham avaiṣyañ juhuyāt / avabhṛtha nicaṅkuṇeti ca
13.20.1	namo rudrāya vāstoṣpataya āyane vidravaṇa udyāne yat parāyaṇa āvartane vivartane yo gopāyati taṃ huva iti ca
13.20.2	uruṃ hi rājā varuṇaś cakāreti vedyā abhiprayānto vadanti / cātvālād vā
13.20.3	prastotaḥ sāma gāyeti
13.20.4	sarve sahapatnīkās triḥ sāmno nidhanam upayanti / ardhādhve dvitīyam / prāpya tṛtīyam
13.20.5	sarvatra saṃpreṣyati
13.20.6	sarvā diśo 'vabhṛthagamanam āmnātam ity etadādy ā caryāyāḥ
13.20.7	niṣkāsavad vāruṇena pracaryāpabarhiṣāv anūyājau yajati / na vā
13.20.8	yat te grāvṇāpyāyasva saṃ ta iti saumībhir drapsavatībhiḥ pañcabhiḥ saptabhis trayodaśabhir vā dadhnaudumbaraśākhayarjīṣaṃ prokṣati
13.20.9	prahṛtya vābhijuhuyāt
13.20.10	ṛjīṣasya srucaṃ pūrayitvāpsūpamārayati samudre te hṛdayam apsv antar iti
13.20.11	tato yo bhindur utsravate tam upaspṛśed bhakṣayed vāpsu dhautasya soma deva ta iti
13.20.12	samudraṃ vaḥ prahiṇomīti sarvāṇi ca somaliptāny avabhṛthe pravidhyati
13.20.13	vicṛtto varuṇasya pāśa iti yajamāno mekhalāṃ vicacṛte / imaṃ viṣyāmīti patnī yoktram
13.20.14	atra yoktramekhale vāsasī jālaṃ kṛṣṇājinaṃ cāvabhṛthe pravidhya
13.21.1	devīr āpa ity avabhṛthaṃ yajamāno 'bhimantrya sumitrā na āpa oṣadhaya ity apaḥ pragāhya saśiraskāv anupamakṣantau snātaḥ patnī yajamānaś ca
13.21.2	anyo'nyasya pṛṣṭhe pradhāvataḥ
13.21.3	yad didīkṣe manasā yac ca vācā yad vā prāṇaiś cakṣuṣā yac ca śrotreṇa / yad retasā mithunenāpy ātmanādbhyo lokā dadhire teja indriyam / śukrā dīkṣāyai tapaso vimocanīr āpo vimoktrīr mayi teja indriyam // yad ṛcā sāmnā yajuṣā paśūnāṃ carman haviṣā didīkṣe / yac chandobhir oṣadhībhir vanaspatāv adbhyo lokā dadhire teja indriyam / śukrā dīkṣāyai tapaso vimocanīr āpo vimoktrīr mayi teja indriyam // yena brahma yena kṣatraṃ yenendrāgnī prajāpatiḥ somo varuṇo yena rājā / viśve devā ṛṣayo yena prāṇā adbhyo lokā dadhire teja indriyam / śukrā dīkṣāyai tapaso vimocanīr āpo vimoktrīr mayi teja indriyam iti trir añjalinā viṣicyonnetar vasīyo na unnayābhi / ud it te vasuvittamā giraḥ stomāsa īrate / satrājito dhanasā akṣitotayo vājayanto rathā iva / kaṇvā iva bhṛgavaḥ sūryā iva viśvam iddhītam ānaśur iti yajamānaḥ saṃpreṣyati
13.22.1	udeta prajām āyur varco dadhānā adha syām asur ubhayor gṛheṣu / gāyatrīṃ chandāṃsy anusaṃrabhantām asmān rāya uta yajñāḥ sacantām / suprītaḥ suvar apa āviveśety unnetonnayati
13.22.2	ahate vasānāv uditaḥ
13.22.3	somoṣṇīṣaṃ yajamānaḥ paridhatte / somopanahanaṃ patnī somapariśrayaṇaṃ vā
13.22.4	te udavasānīyāyām adhvaryave dattaḥ
13.22.5	ud vayaṃ tamasas parīty ādityam upasthāya pratiyuto varuṇasya pāśa ity udakāntaṃ pratyasitvā samitpāṇaya unnetāraṃ puraskṛtyāpratīkṣam āyanty apāma somam iti mahīyāṃ vadanto yāny apāmityāny apratīttāny asmi yamasya balinā carāmi / ihaiva santaḥ prati tad yātayāmo jīvā jīvebhyo niharāma enat // anṛṇā asminn anṛṇāḥ parasmiṃs tṛtīye loke anṛṇāḥ syāma / ye devayānā uta pitṛyāṇāḥ sarvān patho anṛṇā ā kṣīyemeti ca
13.22.6	edho 'sy edhiṣīmahīty āhavanīye samidha ādhāyāpo anvacāriṣam ity upatiṣṭhante
13.23.1	prāyaṇīyāvad udayanīyā
13.23.2	tasyām eva sthālyām aniṣkasitāyāṃ śrapayati / tad barhiḥ / tan mekṣaṇam
13.23.3	śālāmukhīye pracaranti
13.23.4	teṣv eva deśeṣv agnim ājyabhāgānāṃ prathamaṃ yajati / pathyāṃ svastim uttamām
13.23.5	yāḥ prāyaṇīyasya yājyā ity uktam
13.23.6	maitrāvaruṇīṃ gāṃ vaśām anūbandhyām ālabhate
13.23.7	tasyā nirūḍhapaśubandhāvatkalpaḥ
13.23.8	mitrāvaruṇābhyāṃ gor vapāyā medaso 'nubrūhi mitrāvaruṇābhyāṃ gor vapāyā medasaḥ preṣyeti saṃpraiṣau
13.23.9	evam avadāneṣu haviṣa ity antau namati
13.23.10	tisro 'nūbhandhyā eke samāmananti
13.23.11	maitrāvaruṇīṃ vaiśvadevīṃ bārhaspatyām iti
13.23.12	dvirūpā maitrāvaruṇī / bahurūpā vaiśvadevī / rohiṇī bārhaspatyā
13.23.13	upāṃśu vaiśvadevyā madhyataś caranti
13.23.14	tā na sarvatrālabheta vājapeye rājasūye sattre sahasre sarvavedase vā
13.23.15	yaḥ kāmayeta sarvo me yajñaḥ syāt sarasa iti sa etās tirso 'nūbandhyā ālabheta
13.23.16	anūbandhyāvapāyāṃ hutāyāṃ dakṣiṇe vedyante yajamānaḥ keśaśmaśru vāpayate
13.23.17	anūbandhyāyāḥ paśupuroḍāśam
13.24.1	devikāhavīṃṣi nirvapati
13.24.2	dhātre puroḍāśaṃ dvādaśakapālam iti pañca
13.24.3	yāsu sthālīṣu somā bhavanti tāsūttarāṇi catvāri havīṃṣi śrapayati
13.24.4	samānaṃ tu sviṣṭakṛdiḍam
13.24.5	devikā nirvapet prajākāma iti kāmyāḥ
13.24.6	anūbandhyāyāṃ svaruṃ juhoti / hṛdayaśūlam udvāsayati
13.24.7	viṣṇukramān krāmati
13.24.8	rājño rājaṃbhavyasya vānūbandhyāyāḥ paśupuroḍāśam aṣṭau devasuvāṃ havīṃṣy anunirvapaty agnaye gṛhapataya iti
13.24.9	samānaṃ tu sviṣṭakṛdiḍam
13.24.10	maitrāvaruṇīm āmikṣām anūbandhyāyāḥ sthāne bahvṛcāḥ samāmananti / tasyā agreṇa havirdhānam āsīno 'navānaṃ hotā yajati / havirāhutiprabhṛtīḍāntā saṃtiṣṭhate / prayājaprabhṛtyājyabhāgaprabhṛti vā / iḍāntām eke samāmananti
13.24.11	kṛtsnasaṃsthām eke
13.24.12	tām anu devikāhavīṃṣi nirvapati
13.24.13	samānaṃ tu sviṣṭakṛdiḍam
13.24.14	sadaso havirdhānasya havirdhānayor iti prathamagrathitān granthīn visrasyodīcī havirdhāne bahirvedi nirvartayati
13.24.15	āhavanīyād ulmukam ādāya yajamāno vedim upoṣati yat kusīdam apratīttam iti
13.24.16	yadi miśram iva cared añjalinā saktūn pradāvye juhuyād viśvalopa viśvadāvasya tveti
13.24.17	yad ākūtād iti tisṛbhir dhūmam anumantrayate
13.24.18	ahnāṃ vidhānyām ity uktam
13.24.19	ayaṃ no nabhasā pura ity etair yathābrāhmaṇam upasthāya
13.25.1	vedam upastha ādhāyāntarvedy āsīno 'tīmokṣāñ japati
13.25.2	atra viṣṇukramān eke samāmananti
13.25.3	prājahitaṃ samāropya śalāmukhīyaṃ dvitīyaṃ gataśriyaḥ prāṅ udaṅ vodavasāyedam ū nu śreyo 'vasānam āganma śive no dyāvāpṛthivī ubhe ime / gomad dhanavad aśvavad ūrjasvat suvīrā vīrair anusaṃcaremeti devayajanam adhyavasāya nirmanthyodavasānīyāyās tantraṃ prakramayati
13.25.4	agnīn anvādhāya vedaṃ kṛtvāgnīn paristīrya pāṇiprakṣālanādi karma pratipadyate / yathārthaṃ pātrayogaḥ
13.25.5	nirvapaṇakāla āgneyaṃ pañcakapālaṃ nirvapati / aṣṭākapālaṃ vā / yadi pañcakapālo gāyatryau saṃyājye / yady aṣṭākapālaḥ paṅktyau
13.25.6	anaḍvān dakṣiṇā / anaḍudarhaṃ vā hiraṇyam
13.25.7	siddham iṣṭiḥ saṃtiṣṭhate / vaiṣṇavīṃ pūrṇāhutim udavasānīyāyāḥ sthāne vājasneyinaḥ samāmananti
13.25.8	dvādaśagṛhītena srucaṃ pūrayitvedaṃ viṣṇur vicakrama ity antarvedy ūrdhvas tiṣṭhañ juhoti
13.25.9	sā yāvad rātreṣṭiḥ saṃtiṣṭhate 'tha sāyam agnihotraṃ juhoti / kāle prātarhomam
14.1.1	ukthyaḥ ṣoḍaśy atirātro 'ptoryāmaś cāgniṣṭomasya guṇavikārāḥ
14.1.2	ukthyena paśukāmo yajeta / ṣoḍaśinā vīryakāmaḥ / atirātreṇa prajākāmaḥ paśukāmo vā / aptoryāmeṇātirātreṇa sarvān kāmān avāpnoti
14.1.3	teṣām agniṣṭomavatkalpaḥ
14.1.4	uktāś ca vikārāḥ
14.1.5	yathā sadaḥ kratukaraṇaṃ kratupaśavaḥ ṣoḍaśinaḥ somakrayaṇī pātram iti
14.1.6	ukthyaś ced agniṣṭomacamasān unnayaṃs tribhyaś camasagaṇebhyo rājānam atirecayati
14.1.7	agnīn neṣṭur upastham āsīda neṣṭaḥ patnīm udānayonnetar hotuś camasam anūnnaya hotṛcamase dhruvāyāvakāśaṃ kurūdgātrā patnīṃ saṃkhyāpayāpa upapravartayeti saṃpraiṣaḥ
14.1.8	agniṣṭomacamasaiḥ pracarya prātaḥsavanavad ukthyaṃ vigṛhṇāti
14.1.9	etāvan nānā / indrāvaruṇābhyāṃ tveti prathame grahaṇasādanau saṃnamati / indrābṛhaspatibhyāṃ tveti dvitīye / indrāviṣṇubhyāṃ tveti tṛtīye
14.1.10	unnetaḥ sarvaṃ rājānam unnaya mātirīrico daśābhiḥ kalaśau mṛṣṭvā nyubjeti sarvasaṃsthāsūttame gaṇa etat saṃpreṣyati
14.2.1	agnīd aupayajān aṅgārān āharety etadādy āgniṣṭomikaṃ karma sarvasaṃsthāsu samānam
14.2.2	yady u vai ṣoḍaśy ukthyacamasānām uttamaṃ gaṇam unnayann ekasmai camasagaṇāya rājānam atirecayati
14.2.3	ṣoḍaśino grahaṇam
14.2.4	prātaḥsavana uttamo dhārāgrahāṇām
14.2.5	savanesavane vā
14.2.6	athaikeṣām / pūrvayoḥ savanayoḥ purastād uttamād ukthyaparyāyād ukthyād gṛhṇīyāt sarvaiḥ pracarite / tṛtīyasavana āgrayaṇāt
14.2.7	api vā tṛtīyasavana evāgrayaṇāt paśukāmasya
14.2.8	nokthye gṛhṇīyāt / gṛhṇīyād vā
14.2.9	atirātre paśukāmasya / atirātre brahmavarcasakāmasya
14.2.10	apy agniṣṭome rājanyasya gṛhṇīyāt
14.2.11	sastutaśastro bhavati
14.2.12	ātiṣṭha vṛtrahann iti grahaṇasādanau
14.2.13	yasmān na jātaḥ paro anyo asti ya āviveśa bhuvanāni viśvā / prajāpatiḥ prajayā saṃvidānas trīṇi jyotīṃṣi sacate sa ṣoḍaśī // eṣa brahmā ya ṛtviyaḥ / indro nāma śruto gaṇe / pra te mahe vidathe śaṃsiṣaṃ harī // ya ṛtviyaḥ pra te vanve / vanuṣo haryataṃ madam / indro nāma ghṛtaṃ na yaḥ // haribhiś cāru secate / śruto gaṇa ā tvā viśantu / harivarpasaṃ gira ity etābhiś catasṛbhīḥ sannam abhimantrya
14.3.1	samayāviṣite sūrye hiraṇyena ṣoḍaśinaḥ stotram upākaroti
14.3.2	barhiḥsthāne bhavati
14.3.3	śvetam aśvaṃ purastād dhārayanti / aruṇapiśaṅgaṃ vā
14.3.4	othā moda iva made madā moda ivom atheti vyatiṣakta ubhayatomodaḥ pratigara ānuṣṭugbhyaḥ
14.3.5	indrādhipate 'dhipatis tvaṃ devānām asy adhipatiṃ mām āyuṣmantaṃ varcasvantaṃ manuṣyeṣu kurv iti hutvendraś ca samrāḍ varuṇaś ca rājā tau te bhakṣaṃ cakratur agra etam / tayor anu bhakṣaṃ bhakṣayāmi vāg juṣāṇā somasya tṛpyatv iti ṣoḍaśinaṃ bhakṣayati / ādityavad gaṇena camasān
14.3.6	anuṣṭup chandasa iti bhakṣamantraṃ namati
14.3.7	aruṇapiśaṅgo 'śvo dakṣiṇā / aśvatarī vā
14.3.8	atirātraś cet ṣoḍaśicamasān unnayaṃs trayodaśabhyaś camasagaṇebhyo rājānam atirecayati
14.3.9	ṣoḍaśinā pracarya rātriparyāyaiḥ pracarati
14.3.10	hotṛcamasamukhyaḥ prathamo gaṇaḥ / maitrāvaruṇacamasamukhyo dvitīyaḥ / brāhmaṇācchaṃsicamasamukhyas tṛtīyaḥ / acchāvākacamasamukhyaś caturthaḥ
14.3.11	indrāya tvāpiśarvarāyeti mukhyaṃkukhyaṃ camasam anūnnayati
14.3.12	sarvaindrī rātriḥ
14.3.13	anuṣṭup chandasa iti sarvatra bhakṣamantraṃ namati
14.3.14	prathamābhyāṃ gaṇābhyām adhvaryuś carati / uttarābhyāṃ pratiprasthātā
14.3.15	eṣa prathamaḥ paryāyaḥ
14.3.16	evaṃ vihito dvitīyas tṛtīyaś ca
14.4.1	atha pratiprasthātāśvinaṃ dvikapālaṃ nirvapati
14.4.2	hotṛcamasamukhyān saṃdhicamasān unnayati
14.4.3	trivṛdrāthaṃtaraḥ saṃdhiḥ
14.4.4	āśvinaṃ paraḥsahasraṃ śastraṃ bhavati
14.4.5	tad udita āditye paridhīyate
14.4.6	tasmin paridhite hotṛcamasam adhvaryur ādatte / camasāṃś camasādhvaryavaḥ / puroḍāśaṃ pratiprasthātā
14.4.7	aśvibhyāṃ tiroahniyānāṃ somānām anubrūhy aśvibhyāṃ tiroahniyānāṃ somānāṃ preṣyeti saṃpraiṣau
14.4.8	tiroahniyān somān prasthitān preṣyeti vā
14.4.9	na vā prasthāpayet
14.4.10	saha somaiḥ puroḍāśaṃ pratiprasthātā sarvahutaṃ juhoti
14.4.11	paṅktiś chandasa iti bhakṣamantraṃ namati
14.4.12	aptoryāmaś cet saṃdhicamasān unnayaṃś caturbhyaś camasagaṇebhyo rājānam atirecayati
14.4.13	yathā prathame rātriparyāye tathā mukhyā bhavanti
14.4.14	āgneyān prathamān unnayati / aindrān dvitīyān / vaiśvadevāṃs tṛtīyān / vaiṣṇavāṃś caturthān
14.4.15	teṣāṃ saṃdhicamasavat pracaraṇakalpa ity eke
14.4.16	aticchandāś chandasa iti sarvatra bhakṣamantraṃ namati
14.5.1	kratupaśava aikādaśināś ca vikalpante
14.5.2	teṣāṃ samavāye yathācoditaṃ saṃskārāḥ
14.5.3	tantram aṅgāni vibhavanti
14.5.4	pratyakṣārthāni pratisaṃskāram abhyāvartante
14.5.5	yathārtham ūhaḥ
14.5.6	yūpāhutiṃ hutvāgniṣṭhaprathamāṃs trayodaśa yūpān mantreṇa chinatti
14.5.7	sarveṣāṃ śakalāharaṇāvraścanahomāḥ
14.5.8	sarvam upaśayaṃ takṣati
14.5.9	tathā pātnīvataṃ chinatti yathādho nābhisaṃmito bhaviṣyatīti
14.5.10	yat prāg vedisaṃmānāt tat kṛtvā daśarathākṣām ekādaśoparāṃ rajjuṃ mītvā tasyāś caturviṃśena bhāgena vediṃ mimīte
14.5.11	prakramasthānīyā bhavati
14.5.12	agniṣṭhaṃ dvābhyāṃ raśanābhyāṃ parivīyaikādaśinī raśanāḥ parivīyāgniṣṭhe vāsayati
14.5.13	dviraśanā yūpāḥ
14.5.14	śvo bhūta āśvinaṃ gṛhītvā yūpān saṃminoti
14.5.15	saha vāgniṣṭhena
14.5.16	tantram abhrer ādānaṃ parilekhano 'bhyāvartate
14.5.17	rathākṣamātrāṇi yūpāntarālāni
14.5.18	agniṣṭhād dakṣiṇaṃ parilikhyottaram agniṣṭhāt parilikhati
14.5.19	evaṃ vyatyāsam udagapavargān yūpān saṃminoti
14.5.20	pratiyūpaṃ svaravaḥ
14.5.21	dakṣiṇata unnatā bhavati
14.5.22	uttarata unnatāṃ minuyāt pitṛlokakāmasya
14.6.1	sarvān samān pratiṣṭhākāmasya
14.6.2	ye trayo madhyamās tān samān paśukāmasya / vyatiṣajed itarān
14.6.3	ārāgrām abhicarataḥ
14.6.4	madhya unnatā bhavati / anupūrvamantī ninatau
14.6.5	samavasrāviṇīṃ vṛṣṭikāmasya / madhye ninatā bhavati / anupūrvamantāv unnatau
14.6.6	vyatiṣaktāṃ bhrātṛvyavataḥ
14.6.7	gartamitam ity uktam
14.6.8	yadi kāmayeta kṣatraṃ viśa ojīyaḥ syād ity agniṣṭhād dakṣiṇān varṣīyaso minuyāt
14.6.9	viṭ kṣatrād ity etad vā viparītam
14.6.10	uparasaṃmitāṃ minuyāt pitṛlokakāmasya / madhyena saṃmitāṃ raśanasaṃmitāṃ ca manuṣyalokakāmasya / caṣālasaṃmitām indriyakāmasyeti
14.6.11	āyāmata uparāṇi samāni syuḥ / tiryakto madhyāni raśanāś ca / prathimnaś caṣālāni
14.6.12	upaśayaṃ dvābhyāṃ raśanābhyāṃ parivīyāgreṇa dakṣiṇaṃ yūpaṃ prāñcaṃ nidadhāti / dakṣiṇena vā / idam aham amum āmuṣyāyaṇam indrasya vajreṇābhinidadhāmīti dveṣyaṃ manasā dhyāyan
14.6.13	āgneyaṃ kṛṣṇagrīvam agniṣṭha upākaroti / uttare sārasvatīṃ meṣīm / dakṣiṇe saumyaṃ babhrum
14.6.14	evaṃ vyatyāsaṃ dakṣiṇāpavargān paśūn upākaroti
14.6.15	vāruṇam antato dakṣiṇata udañcam
14.6.16	yadi kāmayeta yo 'vagataḥ so 'parudhyatām ity uktam
14.7.1	āraṇyaṃ paśum ākhuṃ vopaśaye nirdiśet
14.7.2	asau te paśur iti vā dveṣyaṃ manasā dhyāyan
14.7.3	yadi na dviṣyād ākhus te paśur iti brūyāt
14.7.4	pratipaśu barhīṃṣi vapāśrapaṇyaḥ kumbhyo hṛdayaśūlāś ca
14.7.5	tantram agner haraṇaṃ tathādhriguḥ saṃjñaptahomo raśanānām udasanaṃ parivapyau vapāśrapaṇīnām anupraharaṇam abhihomo mārjanaṃ ca
14.7.6	abhyāvartate manotā
14.7.7	tantraṃ vā
14.7.8	sarveṣāṃ tryaṅgāni samavattaṃ ca
14.7.9	udrekān samavanīya diśaḥ prati yajati
14.7.10	uttame paśau vanaspatiṃ yajati / sviṣṭakṛtaṃ ca
14.7.11	sarveṣāṃ gudakāṇḍair upayaja upayajati / jāghanībhiś ca patnīḥ saṃyājayanti
14.7.12	anūbandhyāvapāyāṃ hutāyām agreṇa śālāmukhīyaṃ pātnīvataṃ minoty adhonābhim anavastīrṇe 'caṣālam
14.7.13	tasmiṃs tvāṣṭraṃ sāṇḍaṃ lomaśaṃ piṅgalaṃ paśum upākṛtya paryagnikṛtam utsṛjyājyena śeṣaṃ saṃsthāpayet
14.7.14	yāvanti paśor avadānāni syus tāvatkṛtva ājyasyāvadyet
14.7.15	paśudharmājyaṃ bhavati
14.7.16	śālāmukhīye pracarantīti vijñāyate
14.7.17	api vā paryagnikṛtam evotsṛjet / na saṃsthāpayet
14.7.18	paśupuroḍāśādy anūbandhyāyāḥ śeṣaṃ saṃsthāpayet
14.7.19	yadi kāpeyī paśvekādaśinī syād āgneyam abhita aindrau paśū bhavataḥ / uttarataḥ sārasvataṃ saumyaṃ pauṣṇaṃ bārhaspatyam iti / dakṣiṇataḥ sāvitraṃ vaiśvadevaṃ mārutaṃ vāruṇam iti
14.7.20	tām etāṃ kāpeyā viduḥ / tām atirātracarama ālabheta
14.7.21	sāhīneṣu śabdasaṃyogāt
14.7.22	sattrīyetarā bhavati
14.8.1	vāsiṣṭho brahmā jyotiṣṭome
14.8.2	yo vā kaścit stomabhāgān vidyāt
14.8.3	ādhvaryaveṣu karmasu stutaśatrayoś ca vācaṃ yacchati / antardhau ca
14.8.4	yadi pramatto vyāhared vaiṣṇavīm ṛcaṃ vyāhṛtīś ca japitvā vācaṃ yacchet
14.8.5	rājani mīyamāne mahāvedyām uttaravedyāṃ ca kriyamāṇāyām agnau mīyamāne kṛṣyamāṇa opyamāne citeściter upadhīyamānāyāḥ saṃcitakarmasūkhākarmasu ca kriyamāṇeṣu dakṣiṇata āste
14.8.6	rājany ohyamāne 'gnau praṇīyamāna ukhām accha gacchatām ohyamānāyāṃ vasatīvarīḥ savanīyāś cāccha gacchatām āhriyamāṇāsu nairṛtīr upadhāsyatāṃ cityagnīnāṃ ca praṇīyamānānāṃ dakṣiṇata eti
14.8.7	sadohavirdhāneṣu saṃmīyamāneṣv antarā cātvālotkarāv anvavetyāpareṇottaravediṃ dakṣiṇātikramyopaviśati
14.8.8	ā vaisarjanakālād āste
14.8.9	hoṣyamāṇeṣu pratyatikramyottareṇa havirdhānaṃ gatvottareṇāgnīdhrīyaṃ dhiṣṇiyaṃ parītya pūrvayā dvārā prāgvaṃśaṃ praviśyāpareṇa śālāmukhīyaṃ dakṣiṇātikramyopaviśati
14.9.1	evāvandasvety upasthe rājānaṃ kurute
14.9.2	hute pūrvo niṣkramyānvaṅṅ agner eti
14.9.3	āgnīdhrīyaṃ prāpya pratiprasthātre rājānaṃ pradāyottareṇāgnīdhrīyaṃ dakṣiṇātikramyopaviśati / pūrvavad upasthe rājānaṃ kurute / hute pūrvo niṣkramyāparayā dvārā havirdhānaṃ rājānaṃ prapādyādhvaryave pradāyottareṇa havirdhānaṃ gatvāpareṇottaravediṃ dakṣiṇātikramyopaviśati / agnīṣomīyasyā vapāyā homād āste / hutāyāṃ mārjayate / vasatīvarīṣu parihriyamāṇāsu dakṣiṇata āste / mahārātre budhyamāneṣu budhyate / upākṛte prātaranuvāke vācaṃ yacchaty ā paridhānīyāyāḥ / savanīyāsu prapādyamānāsu pūrvayā dvārā havirdhānaṃ praviśyāgreṇa kharaṃ dakṣiṇātikramyopaviśati
14.9.4	rājani mīyamāne 'bhiṣūyamāṇe graheṣu ca gṛhyamāṇeṣu vācaṃ yacchaty āgrayaṇasya grahaṇāt
14.9.5	vaipruṣāñ juhvatsu juhoti
14.9.6	pavamāneṣu samanvārabdhaḥ sarpati
14.9.7	brahman stoṣyāmaḥ praśāstar ity ucyamāne deva savitar etat te prāhety anudrutya
14.10.1	raśmir asi kṣayāya tvā kṣayaṃ jinvoṃ stuteti prasauti
14.10.2	sarvastotrāṇām eṣa kalpaḥ
14.10.3	uttaramuttaraṃ stomabhāgānāṃ dadhāti
14.10.4	dvādaśāgniṣṭome / pañcadaśokthye / ṣoḍaśa ṣoḍaśini / saptadaśa vājapeye / ekānnatriṃśatam atirātre / trayastriṃśatam aptoryāme
14.10.5	stute pavamāne yathetaṃ gatvāpareṇottaravediṃ dakṣiṇātikramyopaviśati / savanīyasyā vapāyā homād āste
14.10.6	hutāyāṃ mārjayitvā prātaḥsavanāya saṃprasarpatsu grahāvakāśaiḥ śṛtaṃ kāraiś copasthāyottareṇa havirdhānaṃ gatvā dakṣiṇena mārjālīyaṃ dhiṣṇiyaṃ parītya pūrvayā dvārā sadaḥ praviśyāgreṇa praśāstur dhiṣṇiyaṃ dakṣiṇātikramyopaviśati
14.10.7	yatrāsmai brahmacamasam āharati taṃ pratigṛhya bhakṣayati yathetare camasān
14.10.8	upākṛte stotre vācaṃ yacchaty ā śastrayājyāyāḥ
14.10.9	saṃsthite savane yathetaṃ pratiniṣkrāmati
14.10.10	evaṃ vihitaṃ uttareyoḥ savanayoḥ saṃcaro brahmatvaṃ ca
14.10.11	ādhvaryava evāto 'nyāni karmāṇi brahmaṇa āmnātāni bhavanti
14.10.12	avabhṛthaṃ gacchatāṃ dakṣiṇato gacchati
14.10.13	evaṃ vihitaṃ sarvasomānāṃ brahmatvam
14.11.1	dakṣiṇāṃ pratigrahīṣyan saptadaśakṛtvo 'pānya vyāvṛtya pratigṛhṇīyāt
14.11.2	devasya tvā savituḥ prasave 'śvinor bāhubhyāṃ pūṣṇo hastābhyāṃ pratigṛhṇāmi / rājā tvā varuṇo nayatu devi dakṣiṇe / agnaye hiraṇyaṃ tenāmṛtatvam aśyām / vayo dātre mayo mahyam astu pratigrahītre / ka idaṃ kasmā adāt / kāmaḥ kāmāya / kāmo dātā kāmaḥ pratigrahītā / kāmaṃ samudram āviśa kāmena tvā pratigṛhṇāmi / kāmaitat te / eṣā te kāma dakṣiṇā uttānas tvāṅgīrasaḥ pratigṛhṇātv iti
14.11.3	somāya vāsaḥ / rudrāya gām / varuṇāyāśvam / prajāpataye puruṣam / manave talpam / tvaṣṭre 'jām / agnaye vā / pūṣṇe 'vim / nirṛtyā aśvataragardabhau himavato hastinam / gandharvāpsarābhyaḥ sragalaṃkaraṇe / viśvebhyo devebhyo dhānyam / vāce 'nnam / ūrje vā / brahmaṇa odanam / samudrāyāpaḥ / uttānāyāṅgīrasāyānaḥ / vaiśvānarāya ratham
14.11.4	vaiśvānaryarcā rathaṃ pratigṛhṇīyād vaiśvānaraḥ pratnathā nākam āruhad divaḥ pṛṣṭhaṃ bhandamānaḥ sumanmabhiḥ
14.12.1	sa pūrvavaj janayaj jantave dhanaṃ samānam ajmā pariyāti jāgṛvir iti
14.12.2	yat kiṃcāprāṇat tat sarvam uttānas tvāṅgīrasaḥ pratigṛhṇātv ity eva pratigṛhṇīyāt / yad vānāmnātamantram
14.12.3	sarvatra purastāt sāvitra upariṣṭād anvādhiḥ
14.12.4	gnās tvākṛntann apasas tvātanvata varūtrayas tvāvayann ity etad vāsasy anuṣajati purastād daivatāt
14.12.5	ta ime tāntrīṇāṃ dakṣiṇānāṃ pratigrahaṇāḥ syuḥ
14.12.6	vijñāyate ca / devā vai varuṇam ayājayan / sa yasyaiyasyai devatāyai dakṣiṇām anayat tām avlīnāt / te 'bruvan vyāvṛtya pratigṛhṇāma tathā no dakṣiṇā na vleṣyatīti / te vyāvṛtya pratyagṛhṇan / tato vai tān dakṣiṇā nāvlīnāt / ya evaṃ vidvān vyāvṛtya dakṣiṇāṃ pratigṛhṇāti nainaṃ dakṣiṇā vlīnātīti // tāntrīr evādhikurute
14.12.7	barhiṣā pratīyād gāṃ vāśvaṃ vā
14.12.8	annena puruṣaṃ hastinaṃ vā
14.12.9	gandhaiḥ priyavadyena ca talpam
14.13.1	saṃvatsaraṃ caturṇām eko nāśnīyāt / tad vratam iti vijñāyate caturhotṝṇām anubruvāṇasya
14.13.2	eṣā vā anāhitāgner iṣṭir yac caturhotāraḥ
14.13.3	yaḥ prajayā paśubhir na prajāyeta sa dvādaśāhāni taptam udakaṃ piban barāsīṃ vasāno 'dhaḥ śayīta
14.13.4	dvādaśyāḥ prātaḥ prāṅ utkramya prāṇyāpānyendraṃ gaccha svāhety apānya daśahotāraṃ vyākhyāya caturhotāraṃ juhuyāc caturgṛhītenājyena
14.13.5	ardhaṃ vā pūrveṇa graheṇa / ardham uttareṇa
14.13.6	yaḥ kāmayeta prajāyeyeti sa dvādaśagṛhītena srucaṃ pūrayitvā daśahotāraṃ manasānudrutya darbhastambe sagrahaṃ juhuyāt / ardhaṃ vā pūrveṇa graheṇārdham uttareṇa
14.13.7	yaṃ brāhmaṇaṃ vidyāṃ vidvāṃsaṃ yaśo narchet so 'raṇyaṃ paretya darbhastambam udgrathya brāhmaṇaṃ dakṣiṇato niṣādya caturhotṝn vyācakṣīta
14.13.8	sarvān sasaṃbhārayajuṣkān ity āśmarathyaḥ / hotṝn ity ālekhanaḥ
14.13.9	yo dakṣiṇata āste tasmai varaṃ dadāti
14.13.10	athaitā devānāṃ patnayaḥ / tābhiḥ prajākāmaṃ paśukāmaṃ vā yājayet
14.13.11	antarā tvaṣṭāraṃ devānāṃ ca patnīś catvāricatvāri padāni pratisaṃkhyāya yajeta
14.13.12	yadi saṃvatsaraṃ na jāyeta tatparo na sūrkṣet
