1.1.1	Prajāpati is the year;
12.2.2	Snatched out of ghee, rich in honey and milk, winning wealth, bearing and supporting, destroying our foes and putting them down, mount upon me for great good fortune.
12.2.3	None other than thou, Prajāpati, doth enciṚcle all these beings. That for which we long in sacrificing to thee, be that ours. May we be lords of riches.
12.2.4	May this ancient (amulet) crush my foes, even as Indra Vṛtra, enduring in the battles. As Agni a forest, spread widely, so in the winds the sharp-toothed one rubs me.
12.2.5	This ancient one who accords with us in sooth, as Indra Vṛtra, has rent the buṛghs asunder. With this, Indra, smiting aside the foes, bring us the wealth of the hostile ones.
12.3.1	Conquer the foes, conquer, hero, the enemy. Slaying Vṛtra, cleave him with thine axe. Like the flood pieces of wood, let him smite away our foes, and lay low our enemies as an axe the woods.
12.3.2	Cleave along from the middle, cleave forward from above, cleave from behind, cleave, O hero; the foes smitten by thee, bountiful one, hero, let the Maruts follow thee as thou destroyest.
12.3.3	Thee swelling with Rudra's darts, deeming thee Indra, let the Maruts gladly choose. Let the vultures and herons seize on them (the foes). May the tusker be joyous in the increase.
12.3.4	bountiful one, may thy blows fall on all sides on the enemy smitten by the spell. May they own no friend, no support. Mutually hindering they go to death.
12.3.5	O glorious Agni, bring us to glory. Bring hither Indra's recompense. May he be the head, the supreme, the splendid, of his kinsmen may he have the highest praise.
12.4.1	With auspicious glances they have sat down. The Ṛṣis who know heaven have come to the consecration. Then were heroism, strength, and might born. May this the gods to him make obedient.
12.4.2	Creator, disposer, highest seer, Prajāpati, the supreme, the splendid. The Stomas, the metres, the Nivids mine they call. To him may they make the kingdom obedient.
12.4.3	Approach hither, pay him honour. Let Agni be our ruler and our king. Be ye in accordance with his will. On him hereafter do ye all depend.
12.4.4	Thou art born, Alarda by name, before the sun, before the dawn. I know thee as destroyer of my enemies, and overthrower of their supports.
12.4.5	He will not be cut off in the midst (of life), he will oveṚcome his foe, he will be skilled in speech, he will be strong against battles, his foe they call likely to perish, who bears a comforting amulet of Bilva.
12.5.1	He eats not accursed food, he commits no sin, the heavenly Varuṇa terrifies him not, nor slays him, wrath oveṚcomes him not in anger, who bears a comforting amulet of Bilva.
12.5.2	Jātavedas injures not his skin. He eats not flesh nor harms these (creatures). After a hundred (years of life), reaching old age, in this world, he departs, who bears a comforting amulet of Bilva.
12.5.3	No offspring of his is harmed in birth, no robber, no evil deed is there, nothing else amiss happens in his families, who bears a comforting amulet of Bilva.
12.5.4	In his house there are no reviling nor scolding women, nor those who quarrel. Misfortune comes not to him, nor does she fix her abode in him, who bears a comforting amulet of Bilva.
12.5.5	Him neither Rakṣas nor Pisaca injures, nor Jambhaka, nor Asura, nor Yaksa. In his house there is no lying-in woman, who bears a comforting amulet of Bilva.
12.6.1	Him neither tiger, nor wolf, nor panther, nor beast of prey whatsoever hurts. No angry elephant meets he to scare him, who bears a comforting amulet of Bilva.
12.6.2	No serpent, nor viper, nor scorpion, nor striped one, nor black one injures him, who bears a comforting amulet of Bilva.
12.6.3	He sins not so that Varuṇa harms him; no crocodile, nor shark, nor porpoise injures him; on all sides it makes peace for him, who bears a comforting amulet of Bilva.
12.6.4	They say his foe is likely to perish, like a flower fallen from its stalk. Like the flood pieces of wood, he shall oveṚcome his foes, who bears a comforting amulet of Bilva.
12.6.5	This amulet, the reverter, of the Jamba, is tied on for the sake of life. By it Indra slew Vṛtra, and by the help of the wise Ṛṣi.
12.7.1	OveṚcome, Indra, our foes, oveṚcome our enemies, oveṚcome the warriors; like an elephant (?) with its fore-feet, outmatch the warriors.
12.7.2	Here has come the amulet of Bilva, the strong subduer of foes. The Ṛṣis, all heroic, behold it that they may oveṚcome their foes in the battle.
12.7.3	Ambrosia is the thread in this amulet. May the Aśvins fasten (the thread). Thou art of the Bilva, of a thousand powers. May I that bear thee never be injured.
12.7.4	Snatched out of ghee, rich in honey and milk, winning wealth, bearing and supporting, destroying our foes and putting them down, mount upon me for great good fortune.
12.7.5	None other than thou (Prajāpati) doth enciṚcle all these beings. That for which we long in sacrificing to thee, be that ours. May we be lords of riches.
12.7.6	Then come five verses, (beginning), 'Thou art the great ruler here.'
12.8.1	Then follows the ritual of the amulet.
12.8.2-3	A man who desires prosperity should fast on flowers for three nights, then taking a piece from a living elephant's tusk, he should pile up the fire, sweep out (the place of sacrifice), scatter grass, sprinkle water around, and bending his right knee, place the amulet in a vessel to the north of the fire, sacrifice, and pour upon the amulet the remnant from the oblation, to the accompaniment of the eight verses (vv. 1-8), beginning 'Splendour of the elephant,' verse by verse. Then for seven nights, or three nights, or one he should leave it to stand in honey and ghee and then put it on, with the verse (v. 7) 'Snatched out of ghee.'
12.8.4	Then next with six (vv. 9-14) he should put on, having left it to stand for three nights or one in (a mess of) meat and boiled rice, an amulet of the point of the heart-spit or the point of the goad or the point of the moṛtar or of the core of the Acacia catechu.
12.8.5	Then next with four verses (vv. 15-18) he should put on an amulet of the point of a bull's horn, having left it to stand for three nights or one in (a mess of) ghee and boiled rice.
12.8.6	Then next with one verse (v. 19) he should put on an amulet of the castor-oil plant, having left it to stand for three nights or one in (a mess of) sesamum and boiled rice.
12.8.7	Then next with sixteen verses (vv. 20-35) he should put on an amulet of Bilva, having left it to stand for seven nights or three or one in honey and ghee, fastening it with the verse (v. 34) 'Snatched out of ghee.'
12.8.8	Then with the next five (vv. 36-40) verses he should bind on a splinter of the Ficus infectoria which he has left to stand for three nights or one in a (mess of) beans and boiled rice. If possible he should first sacrifice in the shadow of an elephant or on a tiger's skin or sitting.
13.1.1	Then when his body has been made prepared for indifference to desire, he should be bent on the Brahman offering.
13.1.2	So he drives repeated death away.
13.1.3	'The self is to be seen, to be heard, to be thought, to be meditated on,'
13.1.4	'Him they seek to know by repeating the Vedas, by studentship, by asceticism, by faith, by sacrifice, by fasting,' says Māṇḍukeya.
13.1.5	'Therefore, he who knows this, calm, restrained, still, enduring, becoming full of faith, should see the self in the self,' says Māṇḍavya.
13.1.6	'"The person among the breath composed of knowledge is incomprehensible, to be diṣṭinguished as 'No, no.' This self is the warrior-class, this the priesthood, this the gods, this the Vedas, this the worlds, this all beings, this is all.'
13.1.7	This is 'That art thou.' The self is to be recognised in 'I am Brahman.'
13.1.8	This Brahman, without predecessor, without superior, without other, immediate, without an exterior, is this self, Brahman (n.), all-experiencing," such is the teaching,' says Yājñavālkya.
13.1.9	'That one should not proclaim to one who is not a son or a pupil.'
13.1.10	'Were a man to offer this earth surrounded by water and filled with wealth, yet is this more than that, more than that,' is the teaching.
13.1.11	This Upanisad he should declare to be the head of the Veda in very truth.
13.1.12	This is declared in a Ṛc:-
14.1.1	'Head of the Ṛc verses, highest member of the Yajus verses, pinnacle of the Sāmans, the supreme tonsure of the Atharvans,
14.1.2	he who studies not the Veda, him they call ignorant. Cleaving his head, he makes himself a corpse.
14.2.1	'He is but a pillar indeed who bears a burden,
14.2.2	who repeats the Veda without knowing the meaning.
14.2.3	Who knows the meaning alone wins prosperity.
14.2.4	He goes to heaven, shaking off sin through knowledge.'
15.1.1	Then follows the line of teachers.
15.1.2	Honour to Brahman, honour to the teachers!
15.1.3	We have learnt it from Gunakhya Sankhayana,
15.1.4	Gunakhya Sankhayana from Kahola Kauṣitaki,
15.1.5	Kahola Kauṣitaki from Uddalaka Āruṇi,
15.1.6	Uddalaka Āruṇi from Priyavrata Saumapi,
15.1.7	Priyavrata Saumapi from Somapa,
15.1.8	Somapa from Soma Prativesya,
15.1.9	Soma Prativesya from Prativesya,
15.1.10	Prativesya from Bṛhaddiva,
15.1.11	Bṛhaddiva from Sumnayu,
15.1.12	Sumnayu from Uddalaka,
15.1.13	Uddalaka from Viśvamanas,
15.1.14	Viśvamanas from Vyasva,
15.1.15	Vyasva from Sakamasva Devarata,
15.1.17	Devarata from Viśvāmitra,
15.1.18	Viśvāmitra from Indra,
15.1.19	Indra from Prajāpati,
15.1.20	Prajāpati from Brahman,
15.1.21	Brahman(n.) is self-existent.
15.1.22	Honour to Brahman, honour to Brahman!
