1.1.1.1	Oṃ.
5.1.2.2	Having circumambulated the fire and standing facing the east in front of the sacrificial post, facing the west, he stands at the head of the fire, saying, "Salutations to you, O Agni, in the Gayatri metre. Your head is..."
5.1.2.3	Having gone back by the same route by which he had gone, facing the south, he should bow to the right wing with the verse, "Salutations to thee, O Rathantara, thy right wing."
5.1.2.4	Having gone beyond the tail of the fire facing the east, he should bow down to the left wing with the verse "Salutations to thy left wing, O Brihat."
5.1.2.5	Facing the east, he bows down to the tail with the verse, “Salutations to thy tail, O Bhadra, thy support.
5.1.2.6	"To the right of the tail, one should bow to oneself, saying, 'Salutations to you, O king of the self, you who are the self.'
5.1.3.1	One should proceed to the assembly hall as it is.
5.1.3.2	In front, a stool should be placed.
5.1.3.3	Having washed the poles and ropes, having sprinkled them with water, having gone around the Agnidhra-shed from the north, having entered through the eastern door, one should place all the sacrificial posts in the north.
5.1.3.4	The wood of the Udumbara tree is used for the pegs, or Palasa wood mixed with it.
5.1.3.5	Three planks are fixed on both sides, or as many needles.
5.1.3.6	The peg is a span long, with its tip facing east, and its top facing north. The needles are fixed at the ends of the peg, with their tips facing east.
5.1.3.7	Having fixed the southern and northern pillars, he places the altar-shed in between, measuring the height of the mouth of the sacrificer.
5.1.3.8	The holes of the Kuṣṭha are made with two ropes. It rises upwards, to the right, to the left, and to the right. The two ropes should be three times the length of the Kuṣtha, and the Vīvaddha should be twice the length of the Vyāyāma. Having turned clockwise three times, he ties the knot upwards, which is called Niṣṭarka.
5.1.3.9	They spread it with branches or with grass, so that it is not shaken.
5.1.3.10	It should be four fingers wide, or as big as a fist.
5.1.3.11	It should point to the south, or be level.
5.1.3.12	The sacrificial post should be a foot high.
5.1.4.1	When the Prastara is fixed, the Hotṛ, having taken up the wooden arrow with a hundred strings, encloses it on both sides and places it towards the north, as one would place a vīṇā.
5.1.4.2	With seven metres, one more than four, he should take up the places above. Or with ten, he should take them up. "With the Gāyatrī metre, I take you up. With the Uṣṇīṣa metre, with the Anushtup metre, with the Bṛhat metre, with the Paṅkti metre, with the Tristubh metre, with the Jagatī metre, with the Vairāja metre, with the Dvipada metre, with the Atichandas metre, I take thee up."
5.1.4.3	Having recited the Chhandas, he moves around the places. With a wet branch of the Udumbara tree, with leaves, he thrice scratches the root with the formula, "For Prāṇa thee, for Apāna thee, for Vyāna thee, I scratch."
5.1.4.4	He should say, "I do not scratch again for other desires."
5.1.4.5	Then he gives it to the Chandogas with the branches.
5.1.4.6	He places the hands on the half-piece of wood with the formula, "For the vital airs follow the Prāṇa." He makes it move towards the east. With the formula, "Follow the Vyāna" he makes it move towards all directions. With the formula "Follow the Apāna" he makes (the boy) move towards himself.
5.1.4.7	He mutters the formula, "Bhūr Bhuvaḥ Svaḥ."
5.1.4.8	"For Prāṇa thee" (he says) while facing east; "For Vyāna thee" (he say) while facing south; "For Apāna thee" ( he says) while facing west.
5.1.4.9	"May the Vasus, having mounted thee with the Gāyatrī metre, mount thee" (he recites) while placing the axle-pin in the rear half of the plank.
5.1.4.10	Then he should grasp the eastern plank with both hands as if he were going to strike a cow.
5.1.4.11	He should touch the middle of the knee with the thumb or the joint of the two.
5.1.4.12	He crosses the right thigh, saying, "May Rudras ascend you with the Tristubh metre. I ascend them."
5.1.4.13	He crosses the left thigh, saying, “May the Adityas ascend you with the Jagatī metre. I ascend
5.1.4.14	The All-gods, having mounted on the metre Anushtubh, may they mount on thee. Thus he mounts on them.
5.1.4.15	He places the right foot of his own altar-site towards the east, then the left one. If one were to be tired, then the other. If the other, then the other again.
5.1.4.16	One should not make both feet too long.
5.1.4.17-18	The Hotrakas ascend the Kurchas, the Brahman the couch of Udumbara wood, and the Udgata
5.1.5.1	The Prastotar recites the first Prahara (verse) of the Pañcavimsa Stoma, in the three and a half, or in the three and half and fifteen verses remaining.
5.1.5.2	Jatukarna says that one should recite in the three and fifteen verses.
5.1.5.3	When it is said, "You are Suparna, the Garutman," then the speech that will be spoken, that will be spoken much, that will be uttered much, that will do much, that will accomplish much, that will go to heaven, that will speak in heaven, that will fall in heaven, that which will do in heaven, that shall accomplish in heaven, that heaven will say this sacrifice, that heaven will speak this sacrificer.
5.1.5.4	The word yajamāna is used for one who has been initiated, not for one who has not been initiated.
5.1.5.5	One should say "This is his heaven" if he is dear to him, but not "She will say this."
5.1.5.6	And the Utkhaviryas.
5.1.5.7	May the breath be united with speech, may I be united with speech. May the eye be united with the mind, may I be joined with the mind. May the ear be united with the self, may I be connected with the self. May the great one be in me, may the radiance be in me, the shining one be in me. May the strength be in me, and the support be in me. The praise be in me, glory be in me, fame be in me, prosperity be in me, renown be in me, enjoyment be in me.
5.1.5.8	He recites the verse, "Having called out, he recites thus."
5.1.5.9	There are three invocations - for the sacrificial implements, for the offering, and for the concluding verse.
5.1.5.10	The Adhvaryus perform the rites with sounds.
5.1.5.11	On this day, one should give abundant food.
5.1.5.12	The prince plays the drum on the ground, the wives play the lute, and the union of the spirits is praised. The praise is sung in many ways for the sake of the sole one. The king responds with the Stotraiya.
5.1.6.1	That is thy highest place among the worlds; thy fame, O Maghavan, is great and mighty. Thou hast increased in strength.
5.1.6.2	Thou art the best of men, O Maghavan; with praises and eulogies. Three.
5.1.6.3	Here some, having taken out these two words of the Self, namely, "Svadu" and "Svadīya", and having placed them in the place of the two words "Svadu and Madhu", namely, "Sṛja" and "Samda", and having placed the words "Madhu" and "Madhu" in the place of "Svadu", thus: "Svadu, Svadīya, Sṛja, Samda, Madhu, Madhu, Sṛja", and having placed "Svadu” and “Madhu” in the place of “Svadu” in the verse, "O Indra, O Maghavan, O Indra, O Vājin, O Indra, give us cattle, horses, chariots", and having placed these two words in the place of these two words, thus: "O Indra, the horse-drawn, O Maghavan", and having placed this verse in the place of this verse, thus: "The horse-drawn, the Maghavan, the Vājin, the cattle, the horses, the chariots", and having thus placed the words in the place where they should be, thus: "Sṛja, Samdā, Madhu, Mādhūni, Sṛja" and having placed the verse in the place where it should be, thus, "O Indra the horse-drawn O Maghavan", thus, having placed the words in their proper places, thus: "the horse
5.1.6.4	He places the prosperity of the cow, horse and himself in the two wings for falling down.
5.1.6.5	He places these (bricks) with the verse, "The river flows down" with the feet on the feet. The northern ones are in the form of Brihatī. In the first (verse) he places the syllables of the Purusha at the feet, one by one, except the third at the end. He indeed moves.
5.1.6.6	We shall cite it as an example.
5.1.6.7	He is the most excellent among all beings, the bull among the cows, from whom the fierce and powerful one was born, the bull among those who are youthful.
5.1.6.8	The newly born one destroys his enemies. He is the lord of the unblemished cows, whom all the goddesses follow. He is the bull among the thirsty cows.
5.1.6.9	Thus one recites this three times.
5.1.6.10	If they are mentioned in other (texts), then one should praise them with the royal praise, as they are mentioned here.
5.1.6.11	If they were not mentioned, then one should recite the mentioned ones, taking them out and reciting them there.
5.1.6.12	If they occur before the Sūdadohas, then they are here.
5.1.6.13	This is the beginning of the hymn.
5.1.6.14	And the opponent does not refute it.
5.1.6.15	And these are the Sūddhodhas.
5.2.1.1	The neck.
5.2.1.2	Whose is this, O Indra, the splendor, the strength, the forest, the power, the great delight of Indra?
5.2.1.3	He did not oppress the oppressor, the oppressor, he who was oppressed, the strength of Indra, before he overcame the distress. The strength of Indra.
5.2.1.4	May he grant us that wealth, the wealth of tawny appearance, Indra, the lord, the most powerful among men.
5.2.1.5	The Suddoha (hymn).
5.2.1.6	The head is the Gāyatrī, Indra is the Gāthā, the great one.
5.2.1.7	If they praise the hymns that are mentioned in other places, there is a reversal of the order of the two. If they praise the hymns not mentioned, then there is a mixture.
5.2.1.8	The best of the Sūkta's are the Sūda-dohas.
5.2.1.9	Vijava.
5.2.1.10	O Soma, come to the sacrifice, drink the Soma, the most generous, the most bountiful, the most powerful, the most youthful, the most excellent, the most manly, the most heroic, the most manly.
5.2.1.11	He who is the conqueror in battles against Vritra, the conqueror in battles, the conqueror in the battle against the enemies, the conqueror in crossing the river, he is the leader, we praise Indra with great power.
5.2.1.12	The Vasus, the born, the mountain-dwellers, Indra, the giver of wealth, with his constant calls, with his ever-present calls.
5.2.1.13	The Sudadohas.
5.2.1.14	This is the three-necked, the head, the swift, the entire half-verse.
5.2.2.1	The Rathantara is the right wing.
5.2.2.2	We invoke thee, O hero, we invoke thee, O thou who hast been drunk before. These are the two Anurūpa verses of the Rathantara Sāman. He makes four Satī verses and six Bṛhatī verses.
5.2.2.3	I shall proclaim the deeds of Indra, when your fathers said to Indra, "You are the one with sharp horns, the fierce, terrible bull, born for valour, self-moving. He has sung the praises of Indra, the great one, the fierce one. Five hymns.
5.2.2.4	"Indra has come from afar, he has come near." This is a collection.
5.2.2.5	Thus is the Soma in the Madhu. This is a line.
5.2.2.6	The Suddohas.
5.2.2.7	The Uttarastoma is in the Barhaspatya metre.
5.2.2.8	You are indeed the one we invoke. You are indeed the one who comes. These are the Anurupas of the Stotras of the Brihatis.
5.2.2.9	He makes four Satis and six Brihatis.
5.2.2.10	Praise him who, with his overpowering strength, is the Soma pressed for you, O Indra, the Soma pressed for Nimiśla. He became three, one, the lord of wealth among the wealth-givers. There are eight verses.
5.2.2.11	"How did the great one grow? Whose was the Hotṛ?" This is a conclusion.
5.2.2.12	"Indra grew for the sake of intoxication." This is a Paṅkti verse.
5.2.2.13	Sūdadohas.
5.2.2.14	The Rathantara is the right wing, the Pañchadasa stoma, the Ekashatam Vasistha Prasaha, the Barhaspatya is the left wing, the Saptadaśa stoma, Dvashatam Bharadvaja Prasaha.
5.2.2.15	The tail is auspicious for bipeds.
5.2.2.16	These nine verses are recited: "Which of these worlds do you support? Come with your power."
5.2.2.17	Now the verses not recited in the original text:
5.2.2.18	Sing forth to Indra, the slayer of Vrtra, the praise which he has approved.
5.2.2.19	The divine singers sing their praise; the young Indra, the heard, is praised.
5.2.2.20	They come near, the givers of honey, seeking, increasing, we desire that wealth, O Indra.
5.2.2.21	From every side, from every side bring us him whom we desire, the most powerful.
5.2.2.22	He is the best of men, the lord of speech, the most excellent for the sacrifice.
5.2.2.23	For thou alone hast ruled from eternity, O Indra, by thy strength.
5.2.2.24	Thou art the supporter of all, knowing, before or after, or now.
5.2.2.25	O Indra, give us food, O Mitra-Varuna, food to eat, food to enjoy.
5.2.2.26	May the auspicious, the prosperous, the wealth-bestowing Soma not injure the one who is not devoted to him, nor does wealth touch him.
5.2.2.27	These are the three verses beginning with "This is Brahman." The fourth verse is "To me."
5.2.2.28	The verses beginning with "Soodadoha"
5.2.2.29	The verses beginning "Yad va va aneti"
5.2.3.1	The verses of the Gayatri metre are eighty-three.
5.2.3.2	The three verses beginning with “The great Indra, who is powerful” are taken out.
5.2.3.3	"Purordāśaṃ no andhasa" (RV 1.114.1) are three verses.
5.2.3.4	"Indra is the drinker of Soma, he alone" (RV 8.95.1) are the three highest verses taken from here.
5.2.3.5	Having recited "O Soma, come!" and then reciting "Do not give to another," one places them back.
5.2.3.6	"Who knows the hundred powers of Indra" (RV 6.47.1) is one verse.
5.2.3.7	Puruhutam, Purushuttam, etc. is the remainder.
5.2.3.8	"Uddhedd abhi shrutamagham" (RV. 10.129.1) is the last verse. It is taken out.
5.2.3.9	"Pra krityani rjiishini" (RV.10.105.1) and "Ya agnim indhat" (RV.8.48.1) are in the Sukta.
5.2.3.10	Sooda-dohas.
5.2.4.1	Barhati, Trita, Ashati, and Ashti are the verses.
5.2.4.2	"Ma chid anyat vi shansate" (RV.9.114.1) is one verse. It is not thirty.
5.2.4.3	He takes out the seventh and eighth of the twenty verses, "Drink the juice of your son."
5.2.4.4	"What Indra is in front, behind, above," fourteen.
5.2.4.5	"We are with you, O drinker of Soma," fifteen.
5.2.4.6	He takes out the two feet of this verse, "We have come to you for protection," and the Rathantara and the Prastara.
5.2.4.7	Then indeed, Naki Sudasa, having recited this hymn "The chariot", added this hymn "You are the man now" to it.
5.2.4.8	"To you, O Suradhasa, we sing" - these are the six hymns of Valakhilyas.
5.2.4.9	"He who is the protector of the covenant, the wielder of great power" - this is the remaining hymn.
5.2.4.10	"This shall be yours, O Hari" - this is in the hymn.
5.2.4.11	He recites the seventh and eighth verses.
5.2.4.12	He recites the last verse, "May we be victorious with your trees, O Indra, the giver of wealth."
5.2.4.13	"He who is the king of the people," eleven verses.
5.2.4.14	"That your shining one, the destroyer of enemies, may he bring us to the world of the living. O Indra, you who are worshipped in all worlds, bring us wealth." Nine verses.
5.2.4.15	The Sūdadohas.
5.2.5.1	The Ausnīhi has eighty verses.
5.2.5.2	He who Indra, the drinker of Soma, is the verse.
5.2.5.3	He sings to him. The last one is taken up.
5.2.5.4	Sing the song to Indra, O friends, we shall obey. Three last ones are taken up.
5.2.5.5	He who knows one, he comes with the mountains, the pressed Soma, whose is that, the Madhu, the nectar. There are three verses in the Gāyatrī metre, and seven in the Usnih metre. There are seven Gāyatrī verses and six Usnih verses.
5.2.5.6	"In the hymn, "O Indra, as you are the king of men," he recites."
5.2.5.7	He recites the last verse of the northern section.
5.2.5.8-14	"To Indra, the slayer of Vrtra, the destroyer of the foe," thus he recites the last verse. "The well-formed, the well-fashioned, the well-ordered," thus three. "O Indra, the giver of wealth," thus in the Sukta. "He who brought from afar," thus three last verses he recites. "May the Revatis be our most excellent," thus three. The Sooda-dohas. Thus these three verses are recited in seventy-two ways, all of them being recited in half-verses.
5.2.5.15	Food is the (goddess) Asīti.
5.2.5.16	The belly is Vasha.
5.2.5.17	"The (goddess) Tava is the Purūvasa, and Vasha is the (goddess called) Tava."
5.2.5.18	"The (god) Sanita is the Susanita, and this is the end."
5.2.5.19	"The two feet are the Dadī and the Reka."
5.2.5.20	"The one foot is the Nūnam and the Athi."
5.2.5.21	"This is the end: 'These are his Sūda and Doha.'
5.2.5.22	The Sūda and the Doha are the Sūda and doha.
5.3.1.1	The thighs are the (goddesses) Sūda and Doha.
5.3.1.2	Indra and Agni, you two, are well-praised. These are the half-verses of this (hymn). The subsequent one is in the Gāyatrī metre. The subsequent one is to be made in the Anushtubh metre. The last one is in the reverse order.
5.3.1.3	"For your great, slow-moving, tawny one," is the Nividdha-verse.
5.3.1.4	He who, in the forest, did not find a place, he who, as soon as born, was the first intelligent one, go thou between them, O thou who art in front, thou who art the best of those who are bound, thou who art shining in the midst of many. This is the invocation.
5.3.1.5	The ten Indra-related verses, the Tristubh and Jagati verses, the Brihatis, as many as they are, one should sow them. One would live for as many years above that. From the year to the tenth year, one would live.
5.3.1.6	The horse-winner, the divine-winner,
5.3.1.7	Indra shines over all, says the one-footed verse.
5.3.1.8	Indra, the All-gods have increased. This is in Anushtubh metre.
5.3.1.9	Having recited the first half of the first verse, he interchanges the second half with the first half of second verse. The feet are interchanged with the feet in the manner of Anushtubh.
5.3.1.10	He interchanges the second halves of the verses beginning with the last verse.
5.3.1.11	The remaining verses are in the original order.
5.3.1.12	Drink Soma, O Indra, may it delight thee. These are six.
5.3.1.13	He has made the womb in Indra's abode. Having recited four of these, he concludes with the last and encloses with the next to the last.
5.3.1.14	Having enclosed, he recites the Upavasatha.
5.3.1.15	The place of the Upavasathaiya Soma is the Upavasadoya.
5.3.2.1	Thou art the head of the worlds, the essence of speech, the abode of light, the dwelling of the mind, the origin of the eye, the foundation of the ear, the heart of all.
5.3.2.2	Indra is the unseen, immortal, heavenly, true, real, conquerable, intelligible, the end of speech, the all-pervading, the supreme, the light, the support, the irrepressible, the first.
5.3.2.3	All that is above and below speech, all that is in the water, the cow drinks, the eye, the ear, the breath, the truth-measured, the speech-abundant, the mind-abundant, heart-powerful, the Brahman-lord.
5.3.2.4	The auspicious food, the purifying of the year, the cow-possessing, the earth-possessing, that which is the best of Varuna and Vayu, the austerities, the best of Indra, the thousand-streamed, the ten-thousand-lettered, the nectar-yielding,
5.3.2.5	These are the praises, these are the manifestations of speech. With them, do thou here milk the great glory of the nectar.
5.3.2.6	Prajapati, the creator, created this essence of the Vedas. By it I have satisfied the entire universe and milked all desires.
5.3.2.7	"You are the three Vedas: Bhu, Bhuva, and Sva."
5.3.2.8	"Please milk my offspring."
5.3.2.9	"Please nourish my life and breath."
5.3.2.10	"Please nurture my cattle and clan."
5.3.2.11	"Please bestow me with glory and fame."
5.3.2.12	May it bestow on me the world of Brahmic splendour, freedom from fear, and the prosperity of sacrifice.
5.3.2.13	If the Adhvaryu is not aware of this, he recites this.
5.3.2.14	"He sends the Ijya with the words "O Uktha Sha, offer to Soma." When she returns, he offers with the words "We offer to the eternal one." The Anuvashtakara responds as if to a different offering.
5.3.2.15	The recitation of the Vashatkara has been explained.
5.3.2.16	The Adhvaryu brings the Ukthya vessel and the cups for the Atigrahya libations.
5.3.2.17	Having refused the portion, the Hotṛ descends from the front of the Preṅkha.
5.3.2.18	Then they bind the Preṅkha facing towards them, saying, "You will not injure the Hotṛ who is going to consume the portion."
5.3.2.19	For the Hotṛ consumes the portion while seated in the place of the Preṅkhas.
5.3.2.20	Then he consumes the Upavasatha vessel with the Hotr's recitation, saying, "May the goddess Speech be satisfied with Soma. May Soma, the king, bestow life and breath on me. May that life of mine yield all life and be great."
5.3.2.21	The third pressing is taken from the highest Abhiplvika. The Vaisvadevas are taken from the Palita Hotr, who is on the left side of the Soma-shed. The Ekacaturvimsa is taken from the Salila, which is the place of the Anobhariya. The Ekacaturavimsa is the first day of the Vaisvadev. The Ekacatuvimsa is the second day of the V aisvadev.
5.3.2.22	If the Yajñāyajñiya is omitted, then the Stotriya and Anurūpa are to be recited as "O Agni, may your fame be ours." If one were to chant the Yidam hymns in the majority of verses, then the Anurūpa would be recited as "Agni, with your own words."
5.3.2.23	The great vow is accomplished. The day of Agniṣṭoma is concluded. At the proper time, they should take the Avabhṛtha bath, and carry the Praṅkūla wood. They should burn the grass-mats.
5.3.3.1	One who is not initiated should not recite the great vow, nor in front of the fire, nor for another person. Some say, "Not after a year." One may recite it for one's father or teacher, but it is better for oneself.
5.3.3.2	"Hotr-sastra-s, O Uktha-s, do you offer Soma!" is one instruction. In the Nārāśaṃsa or Anārāśaṅsa hymns of the Hotr-s.
5.3.3.3	One should not tell this to one who does not live for an infinite time, or to one who does live for a year, or to one does not live for a year; or to one who is not celibate, or to one is celibate, or one who is not practicing celibacy; or to one has not reached this place.
5.3.3.4	One should not tell this again and again, or twice, or even twice.
5.3.3.5	One should tell it to one person only. So said Jātavedas.
5.3.3.6	There is no third one among the calves.
5.3.3.7	One who is standing does not stand for one who is standing, one who is going does not go for one who is going, one who is lying down does not lie down for one who is lying, one who is seated does not sit for one who is seated. One who is seated below does not sit for another who is seated below.
5.3.3.8	He should not study while lying down, or sitting on a bed, or on a couch, or on a seat, or on the ground, or with his knees raised, or leaning against something, or with his feet raised, or with his head covered, or with his body covered, or with a cloth covering his head, or with his face turned away, or with his back turned away, or while eating, or while drinking, or while chewing, or while holding something in his mouth, or while holding a book, or while holding an object, or while holding his hands in a fist, or while holding them in a different position, or while holding the book in his hands, or while holding it in a different position. He should not study when he is angry, or when he is afraid, or when he has eaten meat, or when he sees blood, or when he steps on a dead body, or when he breaks his vow, or when he bathes, or when he anoints himself, or when he makes a massage, or when he gets it done by a barber, or when he studies after bathing, or when he applies a cosmetic, or when he puts on a garland, or when he approaches a woman, or when he writes, or when he erases.
5.3.3.9	Now Jāta-Kānya said, "One should not complete it in one day." Gālava said, "One may complete it." Agniveśyāyana said, "If one completes anything other than the eighty-three verses, one should complete it." "One should pacify it in another place."
5.3.3.10	Where one studies this, one should not study anything else there. But where one studies something else, one may study this here.
5.3.3.11	A person does not become a graduate by not studying this. Even if he studies much else, he does not become a person who has studied this.
5.3.3.12	One should not neglect this, even if one neglects something else. One should not neglect this.
5.3.3.13	If one does not neglect this, one should know that one has done enough for oneself.
5.3.3.14	Let him know the truth.
5.3.3.15	He who knows this should not point out to one who does not know this, nor should he eat with him, nor should he be in the same place as him.
5.3.3.16	Now we shall explain the duties of self-study.
5.3.3.17	In the morning, when the sun has risen, in the evening, when the shadows have not yet disappeared, when the clouds have not yet risen, when it is not raining, for three nights, one should not speak of this story or recite it at night.
5.3.3.18	This is the name of the great being. He who knows this name becomes Brahman, becomes Brahman.
