1.1.1	Prajapati is the year.
7.5.1	Agni is the eastern form, the moon is the northern form, and lightning is the Samhita, says Suryadatta.
7.5.2	Thus is the Adhidevata (supernatural) aspect.
7.5.3	Now the Adhyatma (supernatural) aspects: Speech is the eastern form; mind is the northern form; truth is the Samhita.
7.5.4	He who knows this Samhita thus, is united with progeny, cattle, fame, spiritual splendour, heaven, and the world. He attains the full span of life.
7.6.1	The earth is the former form, the sky is the latter form, and time is the Samhita, says Radheya.
7.6.2	Thus is the Adhidevata.
7.6.3	Now the Adhyatma: Speech is the former form; mind is the latter form; the Self is the Samhita.
7.6.4	He who knows this Saṃhitā thus, is united with progeny, cattle, fame, brahminical splendour, heaven, and world. He attains the entire span of life.
7.7.1	Speech is the former form, mind is the latter form, and knowledge is the Saṃhitā, says Pauṣkarasādi.
7.7.2	He who knows this Samhita is united with offspring, cattle, fame, spiritual splendour, heaven, and the world. He attains the full span of life.
7.8.1	Now, then, the Anuvyahaaras.
7.8.2	One should know that the breath is the family.
7.8.3	If someone were to say that the breath is a family, and if anyone were to think that he could unite the breath with the family,
7.8.4-6	"You are not able to unite the life-breath with the family." He should say, "The life-breath will unite you with the family." If he thinks he is unable, he should say, "You tried to unite the life breath with the family, but you were not able to unite it. The life-breath will indeed unite you with the fami
7.8.7	As one would say, whether one is speaking or not speaking, it would be the same.
7.8.8	But one should not say anything other than what is good. One should say, "May there be prosperity to the Brahmins." This is the view of Mandukkeya, the son of Shuravira.
7.9.1	If he should accuse a person who is speaking of the lineage, saying, "If you think that he is capable, then I say that the lineage is capable of harming the life-force," then he should say, "You are not capable of harming the lineage."
7.9.2	He should say to him, "The lineage will harm your life-force."
7.9.3	If he thinks that the Prāṇa is unable to do so, then he should say, "The Prāṇa will make you a bamboo."
7.9.4	He should say, "Prāṇa will make a bamboo of you."
7.9.5	Just as one would say to someone who is speaking or not speaking, "You will be close to me," so it would be.
7.9.6	But he should not say anything other than what is good. He should say, "May there be salutations to the Brahmins." This is the view of Shuravira Mandukeya.
7.10.1	Now, the teachings of Nirbhuja.
7.10.2	The abode of the earth is the Nirbhuja, the abode of the day is the Pratiṇa, the abode of space is both between them.
7.10.3	He who speaks of the Nirbhuj as the highest,
7.10.4	he should be told: "The deity of the earth is your deity. The earth will protect you as your deity."
7.10.5	If one accuses another of a crime committed, one should say to him, "The god Heaven will punish you."
7.10.6	If one accuses another of crimes committed between the two, one should say, "The god Atmosphere will punish you." The crime committed is the crime of the god Atmosphere.
7.10.7	What one does in the middle is the form of the Nirbhuj.
7.10.8	Now, when he recites the pure syllable, it is at the tip of the grass.
7.10.9	Both are covered in between.
7.10.10	One desiring food should recite the grass, one desiring heaven should recite the tip, one desiring both should recite both in between.
7.10.11	If someone accuses him of being a thief, he should say, "The accused is not guilty of theft, he is not guilty of the two lower offences."
7.10.12	If someone accuses him of having stolen something that has been stolen, he should say "The accused is innocent of the theft, he is innocent of the two higher offences."
7.10.13	He who accuses him of both is not guilty.
7.11.2	The former syllable is the former form, the latter syllable is the latter form.
7.11.3	That is the Samhita with the Y and V in between.
7.11.4	He who knows this Samhita thus, is united with offspring, cattle, fame, radiance, heaven, and world. He attains the full span of life.
7.12.1	And we say, "We are the ones with arms and faces," said Hvastrot Mandukayin.
7.12.2	The former syllable is the former form, the latter syllable is the latter form.
7.12.3	That which is the measure between the former and the latter forms, by which it divides the union, by which it distinguishes the measure from the measure, by which it indicates the tone from the tone, that is called the union.
7.12.4	He who knows this union thus, is united with offspring, cattle, fame, radiance, heaven, and world, and attains the full span of life.
7.13.1	Then his son, the middle one, Prātyodhi, the son of Magadha, said: "The former is the former form, and the latter is the latter form."
7.13.2	That which is the measure that indicates the junction, that is the Sama. It is said: "One who knows the Sama knows the Samhita."
7.13.3	This is stated in a Vedic verse: "May those who harm us not succeed. May the enemies who are devoid of food and are in the wrong place not succeed."
7.13.4	"O Brihaspati, you know the path of the gods. No one else knows the path of the Veda."
7.13.5	Thus it is said.
7.13.6	He who knows this Samhita is united with progeny, cattle, fame, spiritual splendour, heaven and the world. He attains the full span of life.
7.14.1	Vak is united with Pranas, says Kauntaravya.
7.14.2	Pranas are united with Pavamana, Pavamana with all the gods, all the gods with heaven and the world, heaven and the lower world with Brahma. This is the lower and higher Samhita.
7.14.3	He who knows this lower and higher Samhita, he is united with progeny, cattle, fame, radiance, heaven and world, just as this lower and higher samhita.
7.14.4	If he is attacked by the other side or if he speaks for his own cause, he should know that he is speaking. The learned one has come to heaven through the recitation of the Veda for the purpose of speaking to the gods. It will be like this.
7.14.5	By this lower and higher (recitation), it will indeed be so.
7.15.1	Bhārgava says: The mother is the former form, the father is the latter form, and the offspring is the recitation.
7.15.2	This is all said in one form.
7.15.3	Mother and father, and all progeny.
7.15.4	This is the collection of Aditi.
7.15.5	Aditi is indeed all this, whatever is here, whatever is in the world.
7.15.6	This is stated in a verse: Aditi is heaven, Aditi is space, Aditi is the mother, she is the father, she is the son.
7.15.7	The All-gods, Aditi, the five classes of people, Aditi is the birth, Aditi is generation.
7.15.8	He who knows this collection thus, is united with offspring, cattle, fame, and radiance, and attains the heavenly world and all life.
7.16.1	The wife is the former form, the husband is the latter form, the son is the collection, the semen is the union, the procreation is the union, says the elder Shakalya.
7.17.4	He who knows this Samhita is united with progeny, cattle, fame, radiance, heaven, and the world. He attains the full span of life.
7.18.1	"Vācā vācā vācām iti Pañcāla-Candaḥ (says).
7.18.2	"The Vedas are united by speech, the metres by speech, and friends are united by speech.
7.18.3	"When one is reciting or speaking, then the breath becomes speech.
7.18.4	Speech then finds support in the vital breath.
7.18.5	And when he sleeps or is silent, then speech becomes the vital breath. The vital breath then finds support in speech. They find support in each other.
7.18.6	This is stated in a verse: "The single Suparna entered the ocean. He surveys this entire universe."
7.18.7	I saw him in the cooking pot, with his mind, and he found his mother, and she found him.
7.18.8	Thus it is said.
7.18.9	Speech is the mother, and the breath is the calf.
7.18.10	He who knows this collection thus, is united with offspring, cattle, fame, radiance, heaven, and world. He attains the whole of life.
7.19.1	The collection is united in the form of Brihat and Rathantara. Thus says Tarksya.
7.19.2	Speech is the form of Rathantara, and breath is of Brihat.
7.19.3	Indeed, the Samhita is joined by both, by speech and by breath.
7.19.4	In this Upanisad, Tarksya said, "One should protect the cows for a year."
7.19.5	He who knows this Samhita thus, is joined with offspring, cattle, fame, radiance, heaven, and world. He attains the whole of life.
7.20.1	The former form is the motion, the latter form is the cessation, and the combination is the stability, so says Jaratkaravārttabhāga.
7.20.2	In this collection, the moments of destruction, the instants, the hours, the days and nights, the half-months, the months, the seasons, and the years are combined.
7.20.3	This collection combines these times.
7.20.4	Time brings together the states of motion, cessation, and stability.
7.20.5	All this is brought together by motion, cessation, stability.
7.20.6	Thus is the Adhidevata.
7.20.7	Now the Adhyatma. The past form is the past, the future form is the future, and the present form is the present. Thus, time is brought together.
7.20.8	This is stated in the verse: "That great secret name by which the past is known, and by which the future will be known,
7.20.9	The ancient, born, light, which is his beloved, the beloved ones have entered the five.
7.20.10	Thus it is said.
7.20.11	He who knows this Samhita is united with offspring, cattle, fame, brahminical splendor, heaven, and world. He attains the entire span of life.
7.21.1	Now, then, the words of Valishikhayanin.
7.21.2	Valishikhayanin said: "These five are the great elements."
7.21.3	Earth, wind, space, water, light, these are united with each other.
7.21.4	And those other small things that are united with the great elements, this is the union of all things.
7.21.5	He who knows this union, is united with offspring, cattle, fame, radiance, heaven, and world. He attains the whole of life.
7.22.1	All speech is Brahman, thus indeed did Lauhīka say.
7.22.2	Those who know that all words are speech,
7.22.3	The sage said this: "I wander with Rudras and Vasus."
7.22.4	This speech becomes all sounds.
7.22.5	He who knows this Samhita is united with progeny, cattle, fame, spiritual glory, heaven, and world. He attains the full span of life.
7.22.6	Just as this Brahman becomes of the form of desire and of the nature of desire, so also he becomes of the form and nature of desire in all beings.
7.22.7	He who knows this, he who knows this.
8.1.1	The senior Shakalya said, "The breath is the lineage."
8.1.2	Just as all the other bamboos are collected in the bamboo-stalk, so in this Prāṇa all the Ātmans are collected.
8.1.3	This Ātman has Prāṇa as its form of heat, bones as its form of touch, marrow as its form of sound, flesh and blood as its form of colour, and the fourth form is the form of the syllable 'A'.
8.1.4	This is not said to be the three, says Mandukkeya.
8.1.5	Of these three, there are sixty-three joints, and of those there are twenty-seven hundred.
8.1.6	There are twenty-seven hundreds of days and nights in a year.
8.1.7	One attains the days and nights of a year.
8.1.8	This year-long honour is made of sight, hearing, metre, mind and speech. It is the Self.
8.1.9	He who knows this year-long honour made of sight, made of hearing, made of metre, made of mind, made of speech, and made of the Self, attains union with the year, attains the same world, the same form, the same share.
8.1.10	The son of Pūtrī, Pāśuman, has attained the full span of life. The divine Yauvanāśva made it.
8.2.1	Now the Kauṣṭharavyas.
8.2.2	There are three hundred and sixty thousand letters.
8.2.3	There are also three hundred and sixty thousands of Uṣṇas.
8.2.4	There is also three hundred and sixteen thousand of Sandhis.
8.2.5	The letters that we have mentioned are the days.
8.2.6	The Uṣṇas are the nights.
8.2.7	The junctions of the day and night that we have mentioned are the junctions.
8.2.8	Thus is the Adhi-Deva.
8.2.9	Now the Adhyatma. The bones that we have mentioned in the Adhi-deva are the bones in the Adhyat-ma.
8.2.10	The marrow that we have mentioned as the heat in the Adhi Deva is the marrow in the Adhyātma.
8.2.11	This indeed is the present Prāṇa, namely, marrow. This is the semen. There is no success of semen without Prāṇa.
8.2.12	If semen were to be emitted without Prāṇa, it would be destroyed and would not be successful.
8.2.13	The joints which we have described in relation to the gods, they are the joints in the body.
8.2.14	The bones of this body, including the marrow, are forty-five hundred.
8.2.15	The joints are fifty-eight thousand.
8.2.16	The Bṛhatī verses of the Ārkaliṇī are composed in eighty thousand verses.
8.2.17	This is the honour of the day, consisting of the eye, ear, metre, mind and speech.
8.2.18	He who knows this honour of the day consisting of the eye ear, metre, the mind and speech, attains union with the day, the world, the form and the share.
8.2.19	The son of a man who has cattle becomes one who has cattle, and lives the whole of his life.
8.3.1	There are four kinds of men, says Vatsa: the physical man, the man of the Vedas, the man of Vedic lore, and the Great Man.
8.3.2	The physical man is the one whom I have mentioned, and he is the divine Self. The one who is the bodyless, the Self of knowledge, is the essence of that.
8.3.3	The man of the Vedas is the one whom we have mentioned, and it is the recitation of the syllables.
8.3.4	This is the form of that. This is the taste of that.
8.3.5	The person of the Vedas, whom we have mentioned, by whom the gods, the Rg Veda, the Yajur Veda, and the Sama Veda are known, this is the Brahman, the taste of that is Brahman.
8.3.6	Therefore one should appoint as the officiating priest the most learned in Brahman, who knows the essence of the sacrifice.
8.3.7	The great man, as we have called him, is the sun, and the year is his essence.
8.3.8	He who is the bodyless Self and he who is the sun, know that they are one.
8.3.9	This is stated in a verse:
8.4.1	The wonderful array of the gods has risen, the eye of Mitra, Varuna and Agni.
8.4.2	The sky, the earth, the atmosphere, the sun, the soul of the world, and the standing world.
8.4.3	Thus it is said.
8.4.4	Now Vatsa said, "This very knowledge, this very collection of verses, is being composed." Now the Bahvrcas (many-versed) recite this in the Mahāuktha (great praise), the Adhvaryus in Agni, the Chandogas in the Mahāvrata (great vow), this in the earth, this in the sky, this in heaven, this in Agni, this in Vayu, this in the moon, this in the stars, this in the waters, this in the plants, this in all beings, this in the imperishable, this is Brahman."
8.4.5	This is stated in a Vedic verse:
8.5.1	We have risen above the darkness, seeing the light,
8.5.2	The supreme light, the divine Sun, we have reached, the supreme light.
8.5.3	Thus it is said.
8.5.4	This Self is the embodiment of the imperishable, the embodiment of the eye, the embodiment of hearing, the embodiment of Chanda, the embodiment of mind, the embodiment of speech.
8.5.5	He who thus praises the Self, which is made of the eye, ear, mind, and speech, to another, his Vedas become like milk-yielding cows.
8.5.6	He becomes a part of speech and a part of what is not spoken.
8.5.7	This is stated in the following verse:
8.6.1	He who abandons his friend, the knower of truth, does not even have a share in his speech.
8.6.2	He who hears him, hears the truth, does not know the path of good deeds.
8.6.3	Thus it is said.
8.6.4	There is no share in his speech for one who does not speak. Therefore, one should not recite this on another day.
8.6.5	He should not offer fire, nor praise with the Mahāvrata hymn, lest he should injure himself.
8.6.6	He who is the bodyless one, the one who knows, and he who is the sun, we have said that they are one. When they are seen separately,
8.7.1	the sun is seen like the moon, but the rays do not appear.
8.7.2	The sky becomes reddish like madder.
8.7.3-7	The anus is separated. One should know that the soul of one who has had sexual intercourse will live for a short time. One should do whatever one thinks should be done. Or if one sees oneself in a mirror or in water, with a crooked head or without a head, one should know that it is the same.
8.7.8	If there is a shadow with a hole, or not, one should know it is the same.
8.7.9	If the sun appears like a hole, or like a chariot hub, one should know that is the same. 
8.7.10	If fire appears like a blue (light), or one sees a peacock's neck in a great cloud, or lightning flashes,
8.7.11	or lightning in the sky without clouds.
8.7.12	If he sees her through a cloud, he should know it in the same way.
8.7.13	If he sees her by closing his eyes and looking at her, he should know that it is like seeing a mirage.
8.7.14	If he hears her by closing his ears and listening to her,
8.7.15	When one hears the sound of the fire burning like the sound of a chariot, then one should know that it is like this.
8.7.16	Even if the girl is seen to be confused, or if the two shadows are seen or not seen, one should know that this is also like this.
8.7.17	He who is not heard, not thought of, not known, not seen, not spoken, not proclaimed, who hears, thinks, knows, sees, speaks, proclaims, and who is the inner person of all beings, that is my Self.
8.7.18	He, while departing, attains this bodyless Self, which is the knower, and abandons the other, the material one.
8.7.15	When one hears the sound of the fire burning like the sound of a chariot, then one should know that it is like this.
8.7.16	Even if the girl is seen to be confused, or if the two shadows are seen or not seen, one should know that this is also like this.
8.7.17	He who is not heard, not thought of, not known, not seen, not spoken, not proclaimed, who hears, thinks, knows, sees, speaks, proclaims, and who is the inner person of all beings, that is my Self.
8.7.18	He, while departing, attains this bodyless Self, which is the knower, and abandons the other, the material one.
8.8.4	The form of Rathantara is touch, the Uṣṇīṣa of Vāmadevya is sound, and the Svaras are of Bṛhat.
8.8.5	The form of Prāṇa is touch, the Usnīṣa of Apāna is sound, and Svaras are of Manas.
8.8.6	The form is of Prāṇa, the Uṣnīṣa is of Apāna, and the Svarās are of Udāna. Svaras again is given.
8.8.7	He who knows this indeed knows all speech.
8.9.1	Then this divine lute becomes the human one, which is its imitation.
8.9.2	Just as this one has strings and a drum, so does that one have strings and a drum.
8.9.3	Just as the head of this one, so is the head of that one.
8.9.4	Just as its bamboo, so is the staff of that one.
8.9.5	Just as this one has a belly, so does that one have a belly.
8.9.6	Just as this one has eyes and a nose, so does that other one have eyes and a nose.
8.9.7	Just as the fingers of this one are restrained and covered, so are the joints of that one.
8.9.8	Just as these fingers are of this one, so are the strings of that one.
8.9.1	Then this divine lute becomes the human one, which is its imitation.
8.9.2	Just as this one has strings and a drum, so does that one have strings and a drum.
8.9.3	Just as the head of this one, so is the head of that one.
8.9.4	Just as its bamboo, so is the staff of that one.
8.9.14	He who knows this divine lute, becomes the most learned and most famous. His words are listened to by the assembly. "What he desires, that he gets. Where the noble speech speaks, there he is known."
8.10.1	Now, the words of Tándavínda.
8.9.5	Just as this one has a belly, so does that one have a belly.
8.9.6	Just as this one has eyes and a nose, so does that other one have eyes and a nose.
8.9.7	Just as the fingers of this one are restrained and covered, so are the joints of that one.
8.9.8	Just as these fingers are of this one, so are the strings of that one.
8.10.2	Just as a poorly played lute does not produce the full sound of the lute, so too, a poorly spoken speech does not produce the complete meaning of the speech.
8.9.9	Just as this one has a mouth, so does that one.
8.9.10	Just as this one has notes, so does that.
8.9.11	Just as she is covered with a skin with hair, so is that one.
8.9.12	In ancient times they used to cover the lute with a skin with hairs.
8.9.13	This is the divine lute.
8.10.3	Just as this lute, when played by a skillful player, accomplishes the entire purpose of the lute, in the same way, when speech is initiated by a skillful speaker, it accomplishes the entire meaning of speech.
8.10.4	The son of Kātyāyanīputra, Jātaukarṇya, said: "The brilliance of this lute is the collection of verses."
8.9.14	He who knows this divine lute, becomes the most learned and most famous. His words are listened to by the assembly. "What he desires, that he gets. Where the noble speech speaks, there he is known."
8.10.1	Now, the words of Tándavínda.
8.10.2	Just as a poorly played lute does not produce the full sound of the lute, so too, a poorly spoken speech does not produce the complete meaning of the speech.
8.10.5	Then indeed he recites the entire Brahmana.
8.11.1	Prajapati, having created beings, became exhausted. He composed himself with the metres.
8.11.2	Because he composed himself with the Metres, therefore it is called Samhita.
8.11.3	Of that Samhita, the letter Na is strength, the letter Sa is the vital breath, the Self is the Samhita.
8.10.3	Just as this lute, when played by a skillful player, accomplishes the entire purpose of the lute, in the same way, when speech is initiated by a skillful speaker, it accomplishes the entire meaning of speech.
8.10.4	The son of Kātyāyanīputra, Jātaukarṇya, said: "The brilliance of this lute is the collection of verses."
8.11.4	Now this is the minor variant: the nails, the hair, and the signs.
8.11.5	He who doubts here should say only the letter Sa, excluding the letter Na. He should say only the Sa letter.
8.11.6	Similarly, he who doubts here should only say the letter Sha, excluding the Sha letter. He should say the Sha letter.
8.10.5	Then indeed he recites the entire Brahmana.
8.11.1	Prajapati, having created beings, became exhausted. He composed himself with the metres.
8.11.2	Because he composed himself with the Metres, therefore it is called Samhita.
8.11.3	Of that Samhita, the letter Na is strength, the letter Sa is the vital breath, the Self is the Samhita.
8.11.7	The two letters Na and Sa, indeed, are the two Vedas. One who knows this should study the verses in a connected manner. One should know that it is for longevity. One should know it in this way only.
8.11.8	And the history and the Puranas are the speech. Whatever else one may study after making it Brahmanic, one should know that also in this way only.
8.11.9	Now, when we study the verses in connection with the text and also expound the Mandukayiya chapter, then we have attained the N and S sounds. Thus said the short Mandukayiya.
8.11.10	Now, as to why we study the verses in a connected form and also study them by heart, the elder Śākalya has said that the letters Na and Ṣa have come to us.
8.11.7	The two letters Na and Sa, indeed, are the two Vedas. One who knows this should study the verses in a connected manner. One should know that it is for longevity. One should know it in this way only.
8.11.8	And the history and the Puranas are the speech. Whatever else one may study after making it Brahmanic, one should know that also in this way only.
8.11.11	Now, those who knew this, the Kâvâsyas, said: "For what purpose shall we sacrifice? For what purpose shall we pray? For we offer the breath in speech, and speech in breath, for he who is the source of all is also the sink of all."
8.11.9	Now, when we study the verses in connection with the text and also expound the Mandukayiya chapter, then we have attained the N and S sounds. Thus said the short Mandukayiya.
8.11.10	Now, as to why we study the verses in a connected form and also study them by heart, the elder Śākalya has said that the letters Na and Ṣa have come to us.
8.11.11	Now, those who knew this, the Kâvâsyas, said: "For what purpose shall we sacrifice? For what purpose shall we pray? For we offer the breath in speech, and speech in breath, for he who is the source of all is also the sink of all."
9.1.7	We meditate on the divine Bhṛgu.
9.1.8	May he inspire our minds.
9.1.9	The unassailable mind and the clear eye,
9.1.10	The sun is the best of lights, may you not harm me in the consecration.
9.2.1	He who knows the eldest and the best, becomes the eldest and the most esteemed among his own people.
9.2.2	The breath is the eldest and the supreme.
8.11.12	These are the Samhitās. One should not tell them to one who does not live with the teacher, or to one who does live with the teacher but does not live for a year, or to one not celibate, or to one ignorant of the Veda, or to one with an open mouth. The teachers say this. The teachers say so.
9.1.1	Om.
9.1.2	We choose the boon of Savitar.
9.1.3	We are the food of the god.
9.1.4	The best, the most brilliant of all.
9.1.5	We have the wisdom of Bhaga.
9.1.6	The most excellent boon of Savitar.
9.2.3	He who knows Vasishtha, becomes the most prosperous among his own people. Vasishtha is speech.
9.2.4	He who knows Prathishtha, stands firm in this world and the other world. Prathishtha is the eye.
9.2.5	He who know Sampat, all his desires are fulfilled. Sampat is the ear.
9.2.6	He who understands Ayatana, becomes the most secure among his own people; Ayatana is the mind.
9.1.7	We meditate on the divine Bhṛgu.
9.1.8	May he inspire our minds.
9.1.9	The unassailable mind and the clear eye,
9.1.10	The sun is the best of lights, may you not harm me in the consecration.
9.2.1	He who knows the eldest and the best, becomes the eldest and the most esteemed among his own people.
9.2.2	The breath is the eldest and the supreme.
9.2.7	Then the gods, having approached Prajapati, their father, said: "Who is the best among us?"
9.2.8	He said: "Prajapati, he in whom, when departed, the body is considered the worst, he is the best."
9.3.1	Then speech departed.
9.2.3	He who knows Vasishtha, becomes the most prosperous among his own people. Vasishtha is speech.
9.2.4	He who knows Prathishtha, stands firm in this world and the other world. Prathishtha is the eye.
9.2.5	He who know Sampat, all his desires are fulfilled. Sampat is the ear.
9.2.6	He who understands Ayatana, becomes the most secure among his own people; Ayatana is the mind.
9.3.2	Just as the dumb speak, the living breathe, the seeing see, the hearing hear, the meditating meditate, so also the mind.
9.4.1	The eye departed.
9.4.2	Just as the blind see, the living breathe; the speaking speak, the hearing hear; the meditating meditate, just so the mind.
9.5.1	Hearing departed.
9.2.7	Then the gods, having approached Prajapati, their father, said: "Who is the best among us?"
9.2.8	He said: "Prajapati, he in whom, when departed, the body is considered the worst, he is the best."
9.3.1	Then speech departed.
9.5.2	Just as the deaf, though breathing, though speaking, though seeing, though meditating, are not conscious of it.
9.6.1	The mind went out.
9.6.2	Just as the child, though breathing, speaking, seeing, hearing, is not conscious of it,
9.7.1	The breath went out.
9.3.2	Just as the dumb speak, the living breathe, the seeing see, the hearing hear, the meditating meditate, so also the mind.
9.4.1	The eye departed.
9.4.2	Just as the blind see, the living breathe; the speaking speak, the hearing hear; the meditating meditate, just so the mind.
9.5.1	Hearing departed.
9.7.2	Then he, like a good horse in a salt-mine, would have given up his life.
9.7.3	They came together and said, "O Lord, do not go."
9.7.4	He said, "What will be my food?"
9.7.5	"Whatever is eaten by horses and crows."
9.5.2	Just as the deaf, though breathing, though speaking, though seeing, though meditating, are not conscious of it.
9.6.1	The mind went out.
9.6.2	Just as the child, though breathing, speaking, seeing, hearing, is not conscious of it,
9.7.1	The breath went out.
9.7.6-9	What will be my garment? They said, "Water." Therefore, he puts water around him before and above. His garment becomes a loincloth, for he is without fire. Indeed, Satyakāma Jābāla, having been instructed by Gośruta Vyāghrapadya, said:
9.7.2	Then he, like a good horse in a salt-mine, would have given up his life.
9.7.3	They came together and said, "O Lord, do not go."
9.7.4	He said, "What will be my food?"
9.7.5	"Whatever is eaten by horses and crows."
9.7.10	Thus, one may say of a dry tree, 'May its branches grow, may its leaves sprout.'
9.7.11	O Vanaspati, grow with a hundred shoots. Do not injure the sky, do not harm me.' Thus, Yajnavalkya said.
9.7.6-9	What will be my garment? They said, "Water." Therefore, he puts water around him before and above. His garment becomes a loincloth, for he is without fire. Indeed, Satyakāma Jābāla, having been instructed by Gośruta Vyāghrapadya, said:
9.7.10	Thus, one may say of a dry tree, 'May its branches grow, may its leaves sprout.'
9.7.11	O Vanaspati, grow with a hundred shoots. Do not injure the sky, do not harm me.' Thus, Yajnavalkya said.
9.8.1	Now if he wishes to go to the great world, having initiated for three nights, having kindled the fire with the churning of all herbs mixed with curds and honey on the new-moon day, having surrounded and spread it, having sprinkled it, having placed the churning in a pan to the south of the fire, having offered the oblations, he should bring the oblations to the churning.
9.8.1	Now if he wishes to go to the great world, having initiated for three nights, having kindled the fire with the churning of all herbs mixed with curds and honey on the new-moon day, having surrounded and spread it, having sprinkled it, having placed the churning in a pan to the south of the fire, having offered the oblations, he should bring the oblations to the churning.
9.8.2	Having offered into the fire with "To Jyestha, the best, svāhā," one should bring the dripping down into the churn.
9.8.3	Having offered into the fire, with "To Pratiṣṭhā, svāhā" one should bring the drippings down into the churn."
9.8.4	Having offered into fire with "To Sampat, svāhā", one should bring the drips down into the churn.
9.8.2	Having offered into the fire with "To Jyestha, the best, svāhā," one should bring the dripping down into the churn.
9.8.3	Having offered into the fire, with "To Pratiṣṭhā, svāhā" one should bring the drippings down into the churn."
9.8.4	Having offered into fire with "To Sampat, svāhā", one should bring the drips down into the churn.
9.8.5	Having sipped water with the verse, "That which is the most excellent of Savitr's rays," he sips water again with the verse, “I choose that which is the most desirable of Savitr' s." Having sipped water, he cleans the fourth time with the great formulas and places the bronze vessel on the skin or on the ground.
9.8.6	If he sees a woman, he should know that the rite has been accomplished.
10.1.1	Now, about the internal.
9.8.5	Having sipped water with the verse, "That which is the most excellent of Savitr's rays," he sips water again with the verse, “I choose that which is the most desirable of Savitr' s." Having sipped water, he cleans the fourth time with the great formulas and places the bronze vessel on the skin or on the ground.
9.8.6	If he sees a woman, he should know that the rite has been accomplished.
10.1.1	Now, about the internal.
10.1.2	They call the Agnihotra performed within the house.
10.1.3	These indeed are the deities established in man: Agni in speech, Vayu in breath, Aditya in the eye, the moon in the mind, the directions in the ear, water in semen.
10.1.4	He who knows this, when he eats, drinks, stores, and makes others drink, it is as if offered to all of them.
10.1.2	They call the Agnihotra performed within the house.
10.1.3	These indeed are the deities established in man: Agni in speech, Vayu in breath, Aditya in the eye, the moon in the mind, the directions in the ear, water in semen.
10.1.4	He who knows this, when he eats, drinks, stores, and makes others drink, it is as if offered to all of them.
10.1.5	He eats, he drinks, he is satisfied, he satisfies.
10.2.1	The satisfied one satisfies speech.
10.2.2	Speech, being satisfied, satisfies fire.
10.2.3	Fire, being satisfied, makes the earth satisfied.
10.2.4	The earth, being satisfied, causes all that is covered by the earth, past, present, and future, to be satisfied.
10.1.5	He eats, he drinks, he is satisfied, he satisfies.
10.2.1	The satisfied one satisfies speech.
10.2.2	Speech, being satisfied, satisfies fire.
10.2.3	Fire, being satisfied, makes the earth satisfied.
10.2.4	The earth, being satisfied, causes all that is covered by the earth, past, present, and future, to be satisfied.
10.2.5	He who knows this eats, drinks, stores, and gives to drink. He eats, he drinks, he is satisfied, he satisfies.
10.3.1	He, being satisfied, satisfies the Prāṇa.
10.3.2	Prāṇa, being satisfied, nourishes the Vāyu.
10.3.3	Vāyu, being satisfied, nurtures Ākāśa.
10.2.5	He who knows this eats, drinks, stores, and gives to drink. He eats, he drinks, he is satisfied, he satisfies.
10.3.1	He, being satisfied, satisfies the Prāṇa.
10.3.2	Prāṇa, being satisfied, nourishes the Vāyu.
10.3.3	Vāyu, being satisfied, nurtures Ākāśa.
10.3.4	The sky is satisfied. Whatever is covered by the sky, whether past, present, or future, all that is satisfied.
10.3.5	He who knows this and eats, drinks, stores, and gives to drink, he eats, he drinks, he is satisfied, he satisfies.
10.4.1	He who is satisfied satisfies the eye.
10.4.2	The eye, being satisfied, satisfies the sun.
10.3.4	The sky is satisfied. Whatever is covered by the sky, whether past, present, or future, all that is satisfied.
10.3.5	He who knows this and eats, drinks, stores, and gives to drink, he eats, he drinks, he is satisfied, he satisfies.
10.4.1	He who is satisfied satisfies the eye.
10.4.2	The eye, being satisfied, satisfies the sun.
10.4.3	The sun, being satisfied, satisfies heaven. Heaven, being satisfied, whatever is hidden, will be, or has been, on earth, all that it satisfies.
10.4.4	He who, knowing this, eats, drinks, stores, and causes to drink, he eats, he drinks, he is satisfied, he satisfies.
10.5.1	He, being satisfied, makes the mind satisfied.
10.4.3	The sun, being satisfied, satisfies heaven. Heaven, being satisfied, whatever is hidden, will be, or has been, on earth, all that it satisfies.
10.4.4	He who, knowing this, eats, drinks, stores, and causes to drink, he eats, he drinks, he is satisfied, he satisfies.
10.5.1	He, being satisfied, makes the mind satisfied.
10.5.2	The mind, being satisfied, satisfies the moon.
10.5.3	The moon, being satisfied, nourishes the stars.
10.5.4	The stars, being satisfied, nourish the months.
10.5.5	The months, being satisfied, satisfy the half-months.
10.5.6	The half-months, being satisfied, gratify the day and night.
10.5.7	The day and night, being satisfied, please the seasons.
10.5.2	The mind, being satisfied, satisfies the moon.
10.5.3	The moon, being satisfied, nourishes the stars.
10.5.4	The stars, being satisfied, nourish the months.
10.5.5	The months, being satisfied, satisfy the half-months.
10.5.6	The half-months, being satisfied, gratify the day and night.
10.5.7	The day and night, being satisfied, please the seasons.
10.6.1	He, being satisfied, satisfies the ear.
10.6.2	The ear, being satisfied, makes the directions satisfied.
10.6.3	The directions, being satisfied, make the intermediate directions satisfied.
10.6.4	Intermediate directions, being satisfied make all that is covered by the intermediate directions, whatever is past, future or present, satisfied.
10.6.5	He who knows this eats, drinks, stores, and causes to drink. He eats, he drinks, he is satisfied, he satisfies.
10.7.1	He who is satisfied satisfies the semen.
