1.1.1	The Dharma has been taught in the Vedas.
2.11.25	Performing the water ritual with water that has been drawn and purified.
2.11.26	Rejecting Vedic rituals, they say, "Let us unite the middle stage, which is enclosed on both sides."
2.11.27	The teachers say that the one-stage (life) is the only one, because the others are not generative.
2.10.3	He sprinkles water around the Tīrtha.
2.10.4	"The waters flowing with nourishment, nectar, ghee, milk, and juice, may it be Svāhā. Satisfy my ancestors. May they be satisfied, may they be satisfied, they are satisfied."
2.10.5	One should not perform the rites of the gods wearing only one garment or wet garments.
2.10.6	Some say that these rites are connected with the ancestors.
2.11.28	There they quote: Prahlada, the demon named Kapila, having become jealous of the gods, created these distinctions. The wise man should not pay attention to them.
2.11.29	Because they are unseen, the four are mentioned in the Veda, namely, the Iṣṭika, Pāśuka, Saumika, and Dārvīhoma.
2.11.30	This is what is said: This is the eternal glory of the Brahman, it does not increase by action, nor does it diminish. He who knows that Self, knowing him, one is not stained by sinful action.
2.11.1	Now these five great sacrifices, they are the same as the great rites, namely, the sacrifice to the gods, the sacrifice to ancestors, the sacrifice to spirits, the sacrifice to men, and the sacrifice to Brahman.
2.11.2	One should offer oblations every day until the wood is exhausted. Thus one completes this sacrifice to the gods.
2.11.3	One should make offerings of water every day until the water vessel is empty. Thus one completes the sacrifice to the ancestors.
2.11.4	He should offer salutations every day until the flowers are exhausted. Thus he accomplishes this sacrifice to the elements.
2.11.5	He should give food every day to Brahmins until he has roots, fruits, and vegetables. Thus he accompishes this human sacrifice.
2.11.6	He should study every day until the Pranava (Om). Thus he accomplishes the sacrifice to Brahma.
2.11.33	May I attain immortality with the progeny, O Agni. The Brāhmaṇa, when born, is indebted to three: to the sages by the study of the Vedas, to the gods by sacrifice, and to the ancestors by progeny. Thus those who speak of the union of debt have innumerable statements.
2.11.7	The study of the Veda is the Brahman-sacrifice. The Brahman-sacrifice has the tongue as the ladle, the mind as the Upabṛt, the eye as the Dhruva, the intellect as the Sruva, truth as the Avabhrtha, heaven as the rising. He who gives as much wealth as this world, conquers heaven. He who knows this and studies the Veda conquers a world as much as this, and an imperishable world, and conquers death again. Therefore, one should study the Veda. Thus it is said in the Brahmana.
2.11.34	The three Vedas, celibacy, progeny, faith, penance, sacrifice, and giving, those who perform these, with them I am one.
2.12.1	Now we shall explain the Pranahuti of the Self-sacrificers, the Shalina and Yayavara.
2.12.2	When all the necessary things are at hand, one should sit facing east in a place that is well-swept and smeared with cow-dung, and recite the mantra "Bhūr Bhuvah Suvar Om" while standing up. Then one should restrain speech.
2.11.8	Now they also quote: "He who is anointed, well-fed, lying on a comfortable bed, studies whatever rite, by that he is gratified."
2.11.9	Now they say that this Dharma has four kinds of division, because of the unseen. What are the four? This is a statement about action.
2.11.10	Aistika, Paashuka, Saumika, Darvihoma
2.11.11	This is what she says: "Those who are the four paths of the gods, extending between heaven and earth, to them who have brought the most excellent life, may the gods grant us all here."
2.11.12	Brahmachari, householder, forest-dweller, and wandering ascetic.
2.11.13	The Brahmachari, by serving his teacher until death.
2.11.14	The Vanaprastha stage is the observance of the rules of the Vaikhānasas.
2.12.3	Having placed the food, he sprinkles water clockwise, while releasing it with his left hand, saying, "You are the covering of nectar." Having drunk water in front, he offers five oblations to the life-force with the five kinds of food: "I offer the nectar that is established in the life-force, may it enter me for protection. To the life-force Svāhā." "I offer the nectars that are established in the out-breath, may they enter me for protection." To the out-breath Svāhā. "I offer the necctars that are estabished in the cross-breath, may it enter ne for protection." To cross-breath Svāha. "I offer nectars that is established in upward-breath, mayit enter me for protection" To upward-breath Svāhà. "I offer nectar that is established the equalizing breath, may it enter for protection." To equalizing breath Svāhā.
2.11.15	The Vaikhānasas, living in the forest, subsisting on roots and fruits, devoted to austerities, touching water in the sacrificial fires, worshipping gods, ancestors, spirits, men, and sages, being a guest to all, eating alms, avoiding what is forbidden, should not dwell in a village ploughed with a plough, nor enter a village. Having matted hair, wearing bark and antelope skin, he should not eat more than a year.
2.12.4	Having offered the five oblations to the life-force, one should remain silent and again take the vow, meditating on Prajapati in the mind, and not utter any words in between.
2.12.5	If one utters any words in between, one should recite "Bhūr Bhuvah Suvar Om" and then eat again.
2.12.6	Seeing the skin, hair, nails, insects, and excrement in that place, one should take the alms, sprinkle it with water, scatter ashes, sprinkle it again with water, and use it after praising it with words.
2.11.16	The wandering ascetic, having renounced his relatives and possessions, should go forth in accordance with the prescribed manner.
2.11.17	Having gone to the forest,
2.11.18	he should shave his head and beard.
2.11.19	He should wear a single cloth covering.
2.11.20	He should stay in one place during the rainy season.
2.11.21	He should be dressed in saffron robes.
2.11.22	He should beg for alms when the pestle is put down, the fire is extinguished, and the pot has been returned.
2.11.23	He should not harm beings with his speech, mind, or actions.
2.12.7	But they also quote: "One should eat while seated, facing east, with restraint of speech, without disparaging the food, without making a sound, with mind on it, and after eating, one should touch fire."
2.12.8	One should not chew all kinds of food, cakes, roots, fruits, and meat with teeth.
2.12.9	One should not eat too much.
2.11.24	Holding the sacred thread for the purpose of purity.
2.11.25	Performing the water ritual with water that has been drawn and purified.
2.11.26	Rejecting Vedic rituals, they say, "Let us unite the middle stage, which is enclosed on both sides."
2.11.27	The teachers say that the one-stage (life) is the only one, because the others are not generative.
2.12.10	"Thou art the covering of immortality." Having drunk water and sipped it, he touches the region of the heart, saying, "Thou art the knot of the vital airs, Rudra, the destroyer, may not enter thee. May I be nourished with that food."
2.11.28	There they quote: Prahlada, the demon named Kapila, having become jealous of the gods, created these distinctions. The wise man should not pay attention to them.
2.11.29	Because they are unseen, the four are mentioned in the Veda, namely, the Iṣṭika, Pāśuka, Saumika, and Dārvīhoma.
2.12.11	Again performing the Ācamana, he places his hands on the big toe of the right foot. The person is the size of a thumb and is based on the thumb. The Lord of the entire universe, the Supreme Lord, pleases the one who enjoys the universe.
2.11.30	This is what is said: This is the eternal glory of the Brahman, it does not increase by action, nor does it diminish. He who knows that Self, knowing him, one is not stained by sinful action.
2.11.31	He should say, "He who shines with the sun, the father with the son, the father-like, in the womb, the one who knows not the Veda, the great one, the all-pervading Self, the supreme."
2.11.32	"Those who do not move beyond or within, who are not Brahmins, who do not beget sons, they, having resorted to evil speech, create a system of deceit, without knowing."
2.11.33	May I attain immortality with the progeny, O Agni. The Brāhmaṇa, when born, is indebted to three: to the sages by the study of the Vedas, to the gods by sacrifice, and to the ancestors by progeny. Thus those who speak of the union of debt have innumerable statements.
2.12.13	"The Self is Brahman, for immortality."
2.12.14	One should unite the Self with the Imperishable.
2.12.15	Among those who sacrifice in all sacrifices, the Self-sacrificer is superior.
2.12.16	And they also say:
2.13.1	Just as cotton wool burns when thrown into fire, so do all sins burn for the Self-sacrificing one.
2.11.34	The three Vedas, celibacy, progeny, faith, penance, sacrifice, and giving, those who perform these, with them I am one.
2.12.1	Now we shall explain the Pranahuti of the Self-sacrificers, the Shalina and Yayavara.
2.13.2	He becomes a mere skeleton, and his food is in vain, for he is not wise.
2.13.3	He should offer oblations like this every day, in the evening and morning.
2.13.4	Or with water in the evening.
2.13.5	They also say: One should first feed guests, then pregnant women, then children, the elderly, the poor, and the sick, especially.
2.12.2	When all the necessary things are at hand, one should sit facing east in a place that is well-swept and smeared with cow-dung, and recite the mantra "Bhūr Bhuvah Suvar Om" while standing up. Then one should restrain speech.
2.13.6	But he who eats before giving to these, as prescribed, does not know what is being eaten, and he is not eaten; he is eaten.
2.13.7	One should eat the food with restraint, after giving to one's father, one's mother, one's preceptor, one's paternal uncle, one's maternal uncle, one' s wife, one's son, one's servant, one's guest, one's deity, and one's ancestors. Thus is Dharma prescribed.
2.13.8	But they also quote: The sage eats eight morsels, the forest-dweller sixteen, the householder thirty-two, the celibate unlimited.
2.13.9	The three, the householder, the celibate, and the one who has established the sacred fire, succeed by eating, not by not eating.
2.12.3	Having placed the food, he sprinkles water clockwise, while releasing it with his left hand, saying, "You are the covering of nectar." Having drunk water in front, he offers five oblations to the life-force with the five kinds of food: "I offer the nectar that is established in the life-force, may it enter me for protection. To the life-force Svāhā." "I offer the nectars that are established in the out-breath, may they enter me for protection." To the out-breath Svāhā. "I offer the necctars that are estabished in the cross-breath, may it enter ne for protection." To cross-breath Svāha. "I offer nectars that is established in upward-breath, mayit enter me for protection" To upward-breath Svāhà. "I offer nectar that is established the equalizing breath, may it enter for protection." To equalizing breath Svāhā.
2.13.10	One who is a householder or a celibate, who performs austerities without eating, commits the sin of omitting the Agnihotra of the breath. He becomes an outcast.
2.13.11	Except for expiation, the same procedure applies to expiation.
2.13.12	And they also say: One who fasts between breakfast and dinner, and who never eats, is always fasting.
2.12.4	Having offered the five oblations to the life-force, one should remain silent and again take the vow, meditating on Prajapati in the mind, and not utter any words in between.
2.12.5	If one utters any words in between, one should recite "Bhūr Bhuvah Suvar Om" and then eat again.
2.12.6	Seeing the skin, hair, nails, insects, and excrement in that place, one should take the alms, sprinkle it with water, scatter ashes, sprinkle it again with water, and use it after praising it with words.
2.14.2	Trimadhu, Trinaciketasa, Trisuparna, Pancagni, Sadanga, Visheshaka, Jyesthasamaka, Snataka - these are the purifiers of the row.
2.14.3	In their absence, one who knows the secrets.
2.14.4	The greatness of the Sraddha is that it consists of the Ricas, Yajusas and Samanas. Therefore, one should offer the food to one who knows this, even if he is a Sapiṇḍa.
2.12.7	But they also quote: "One should eat while seated, facing east, with restraint of speech, without disparaging the food, without making a sound, with mind on it, and after eating, one should touch fire."
2.12.8	One should not chew all kinds of food, cakes, roots, fruits, and meat with teeth.
2.12.9	One should not eat too much.
2.14.5	The mantras that are destructive of demons, the mantras that are self-sufficient, the mantras of the Atharva Veda, the honey verses, and the purifying mantras should be recited slowly and with concentration.
2.12.10	"Thou art the covering of immortality." Having drunk water and sipped it, he touches the region of the heart, saying, "Thou art the knot of the vital airs, Rudra, the destroyer, may not enter thee. May I be nourished with that food."
2.14.6	The Brahmins who are invited should be those who are well-versed in the Vedas, have good conduct, are born in good families, are well-versed, pure, and have good mantras. They should be invited on the previous day or in the morning. They should be seated facing east or north on seats covered with Darbha grass.
2.12.11	Again performing the Ācamana, he places his hands on the big toe of the right foot. The person is the size of a thumb and is based on the thumb. The Lord of the entire universe, the Supreme Lord, pleases the one who enjoys the universe.
2.14.7	Then having received the water mixed with sesamum, and having adorned them with perfumes and garlands, and having been permitted to say "I shall perform the rite in the fire", having kindled the fire, having strewn it around, having made the offerings of food at the mouth of the fire, he offers three oblations to Soma, the drinker of the dead, Svāhā, to Yama, the son of Angiras, the father of the dead, svāhā, to Agni, the carrier of oblations, the performer of the well-offered, svāhā.
2.12.12	The offering of oblations should be done with the right hand raised, with the mind fixed in faith. The oblation is offered in the life-force, the life-force is nourished by food. The oblation should be offered in the out-breath, the life-breath is nourished by food, the oblation should be made in the up-breath, the out-breath is nourished with food, the obolation should be made in all-pervading breath, the up-breath is nourished in food, the obilation should be made in equalizing breath, the all-pervding breath is nourished in food. Thus with five verses.
2.14.8	With the remaining portion of the oblation, he should pour over the food and offer these three oblations.
2.14.9	He should give a ball of food to the departed ancestors.
2.14.10	It is known that the departed ancestors move in the form of their children.
2.14.11	Then he touches it with the thumb of his hand.
2.12.13	"The Self is Brahman, for immortality."
2.12.14	One should unite the Self with the Imperishable.
2.12.15	Among those who sacrifice in all sacrifices, the Self-sacrificer is superior.
2.12.16	And they also say:
2.13.1	Just as cotton wool burns when thrown into fire, so do all sins burn for the Self-sacrificing one.
2.13.2	He becomes a mere skeleton, and his food is in vain, for he is not wise.
2.13.3	He should offer oblations like this every day, in the evening and morning.
2.13.4	Or with water in the evening.
2.13.5	They also say: One should first feed guests, then pregnant women, then children, the elderly, the poor, and the sick, especially.
2.14.12	Your Agni is the guardian of the earth. Your glory is the gift. For the sake of non-negligence, the earth is your vessel, the sky is your cover. I offer you into the mouth of Brahman. I offer you to the learned Brahmanas. I offer you in the inhalations and exhalations. You are the imperishable. You are the best of the ancestors. Here and in the other world. Your Vayu is the listener of the sky. Your glory is Yajus. For the sake... Your Adityas are the proclaimers of the sky. You are the glory of the Sama. For the sake ... The earth is your vessel. The sky is your cover.
2.15.1	Now, indeed, it is said:
2.15.2	If the fire is left over after the performance, one should pour that food over it. But if it is given without the thumb, it does not please the ancestors.
2.15.3	The food offered to the ancestors is released from both branches. The Asuras with evil intentions approach that.
2.13.6	But he who eats before giving to these, as prescribed, does not know what is being eaten, and he is not eaten; he is eaten.
2.13.7	One should eat the food with restraint, after giving to one's father, one's mother, one's preceptor, one's paternal uncle, one's maternal uncle, one' s wife, one's son, one's servant, one's guest, one's deity, and one's ancestors. Thus is Dharma prescribed.
2.15.4	The demons and pisācas steal that oblation. For those who give sesame, the Asuras are under the control of anger.
2.15.5	He who performs muttering, sacrifice, and acceptance of gifts while wearing a saffron robe, that oblation does not reach the gods in the offerings.
2.13.8	But they also quote: The sage eats eight morsels, the forest-dweller sixteen, the householder thirty-two, the celibate unlimited.
2.13.9	The three, the householder, the celibate, and the one who has established the sacred fire, succeed by eating, not by not eating.
2.15.6	And what is given without the thumb, and what is received, and what is eaten while standing, that does not prosper.
2.15.7	The offering of water at the beginning and end is everywhere.
2.15.8	Victory and others as per prescribed rules.
2.15.9	The rest is mentioned in the Ashtakahoma.
2.15.10	One should feed two in the case of divine rites, three in the case of ancestral rites, or one in both, even if very prosperous, one should not indulge in elaboration.
2.13.10	One who is a householder or a celibate, who performs austerities without eating, commits the sin of omitting the Agnihotra of the breath. He becomes an outcast.
2.13.11	Except for expiation, the same procedure applies to expiation.
2.13.12	And they also say: One who fasts between breakfast and dinner, and who never eats, is always fasting.
2.15.11	Respect, place, time, purity, and the prosperity of the Brahmins - these five are destroyed by details. Therefore, one should avoid them.
2.15.12	His father is on his chest, grandfather on his left, great-grandfather on his right, and the ancestors who offer balls of rice are behind.
2.16.1	Instruction for those desiring offspring.
2.16.2	The Ashvins said: The name is given for the purpose of procreation.
2.16.3	One who is endowed with life, austerities, and study, and is devoted to sacrifice, should beget offspring in accordance with his own caste, having conquered his senses.
2.16.4	The union of a Brahmin with a woman of another caste occurs in three ways: by birth, by the woman's own choice, or by the woman' s own choice. One who is self-controlled becomes free from these, and is liberated from doubts about Dharma.
2.14.2	Trimadhu, Trinaciketasa, Trisuparna, Pancagni, Sadanga, Visheshaka, Jyesthasamaka, Snataka - these are the purifiers of the row.
2.14.3	In their absence, one who knows the secrets.
2.14.4	The greatness of the Sraddha is that it consists of the Ricas, Yajusas and Samanas. Therefore, one should offer the food to one who knows this, even if he is a Sapiṇḍa.
2.14.5	The mantras that are destructive of demons, the mantras that are self-sufficient, the mantras of the Atharva Veda, the honey verses, and the purifying mantras should be recited slowly and with concentration.
2.14.6	The Brahmins who are invited should be those who are well-versed in the Vedas, have good conduct, are born in good families, are well-versed, pure, and have good mantras. They should be invited on the previous day or in the morning. They should be seated facing east or north on seats covered with Darbha grass.
2.16.9	He obtains a good son, who saves him from the seven ancestors, the seven descendants, and the six others, including himself.
2.16.10	Therefore, having produced the continuity of offspring, one attains the fruit.
2.16.11	Therefore, one should exert oneself in producing offspring.
2.16.12	By the combination of herbs and mantras.
2.16.13	Its instruction is taught by the commonality of hearing.
2.14.7	Then having received the water mixed with sesamum, and having adorned them with perfumes and garlands, and having been permitted to say "I shall perform the rite in the fire", having kindled the fire, having strewn it around, having made the offerings of food at the mouth of the fire, he offers three oblations to Soma, the drinker of the dead, Svāhā, to Yama, the son of Angiras, the father of the dead, svāhā, to Agni, the carrier of oblations, the performer of the well-offered, svāhā.
2.16.14	Because of the fruitfulness of all castes. Because of fruitfulness.
2.17.1	Now, we shall explain the method of renunciation.
2.17.2	Some say that one who is already a student renounces.
2.17.3	Then, those who are virtuous, unmarried, and childless.
2.17.4	Or one who is widowed, or one who has established his offspring in their own duty.
2.17.5	They teach renunciation after seventy years.
2.14.8	With the remaining portion of the oblation, he should pour over the food and offer these three oblations.
2.14.9	He should give a ball of food to the departed ancestors.
2.14.10	It is known that the departed ancestors move in the form of their children.
2.14.11	Then he touches it with the thumb of his hand.
2.17.6	Or, of the forest-dweller, at the cessation of his duties.
2.17.7	This is the eternal glory of the Brahman, he does not increase by action, nor does he diminish. He who knows that Self, the knower of the path, is not stained by sinful action.
2.17.8	It leads to non-rebirth, hence it is eternal.
2.17.9	It leads him to the great, hence it is glory.
2.17.10	Having shaved the head, beard, hair, and nails, one should prepare oneself.
2.17.11	The staff, the sling, the water-purifier, the water-pot, and the vessel.
2.17.12	Taking these, he should fast at the end of the village, at the boundary of the village, in the fire-house, having eaten the three-fold oblation of ghee, milk, and curd.
2.17.13	Or water.
2.14.12	Your Agni is the guardian of the earth. Your glory is the gift. For the sake of non-negligence, the earth is your vessel, the sky is your cover. I offer you into the mouth of Brahman. I offer you to the learned Brahmanas. I offer you in the inhalations and exhalations. You are the imperishable. You are the best of the ancestors. Here and in the other world. Your Vayu is the listener of the sky. Your glory is Yajus. For the sake... Your Adityas are the proclaimers of the sky. You are the glory of the Sama. For the sake ... The earth is your vessel. The sky is your cover.
2.15.1	Now, indeed, it is said:
2.15.2	If the fire is left over after the performance, one should pour that food over it. But if it is given without the thumb, it does not please the ancestors.
2.15.3	The food offered to the ancestors is released from both branches. The Asuras with evil intentions approach that.
2.15.4	The demons and pisācas steal that oblation. For those who give sesame, the Asuras are under the control of anger.
2.15.5	He who performs muttering, sacrifice, and acceptance of gifts while wearing a saffron robe, that oblation does not reach the gods in the offerings.
2.15.6	And what is given without the thumb, and what is received, and what is eaten while standing, that does not prosper.
2.15.7	The offering of water at the beginning and end is everywhere.
2.15.8	Victory and others as per prescribed rules.
2.15.9	The rest is mentioned in the Ashtakahoma.
2.15.10	One should feed two in the case of divine rites, three in the case of ancestral rites, or one in both, even if very prosperous, one should not indulge in elaboration.
2.17.14	Oṃ bhūḥ, I enter Savitri. Oṃ bhūh, I enter Savitari. Oṃ bhuvah, I enter Savitry. Oṃ bhuh, I enter Savitrī. Oṃ suvah, I enter the Savitri. Omeditate on the radiance of the divine. Oṃ suvaḥ, I enter the savitri. Oṃ suvar, I enter the savior. Oṃ surah, I enter the Savior. Oṃ suras, I enter the Saviour. Oṃ surad, I enter the Saver. Oṃ suram, I enter the saver. Oṃ sura, I enter the savor. Oṃ suri, I enter the savory. Oṃ sur, I enter the sur. Oṃ su, I enter the su. Oṃ sukh, I enter the sukha. Oṃ sukha, I enter the Sukha. Oṃ sukha, I enter the Suka. Oṃ sukhi, I enter the Suki. Oṃ suk, I enter the suku. Oṃ sukk, I enter the sikk. Oṃ sikk, I enter the Sikka. Oṃ sika, I enter the Siksa. Oṃ siks, I enter the siks. Oṃ si, I enter the sa. Oṃ sa, I enter the Sa. Oṃ saṃ, I enter the Sam. Oṃ saṅga, I enter the Sangha.
2.15.11	Respect, place, time, purity, and the prosperity of the Brahmins - these five are destroyed by details. Therefore, one should avoid them.
2.15.12	His father is on his chest, grandfather on his left, great-grandfather on his right, and the ancestors who offer balls of rice are behind.
2.16.1	Instruction for those desiring offspring.
2.16.2	The Ashvins said: The name is given for the purpose of procreation.
2.17.15	It is understood that one becomes pure by means of the Veda, having transferred oneself from one stage of life to another.
2.17.16	But they also say: "Having gone from one stage of lif to another, offering oblations, controlling the senses, exhausted by alms and offerings, one becomes a mendicant later."
2.17.17	This mendicant is for the sake of immortality.
2.16.3	One who is endowed with life, austerities, and study, and is devoted to sacrifice, should beget offspring in accordance with his own caste, having conquered his senses.
2.16.4	The union of a Brahmin with a woman of another caste occurs in three ways: by birth, by the woman's own choice, or by the woman' s own choice. One who is self-controlled becomes free from these, and is liberated from doubts about Dharma.
2.17.18	Having placed the Garhapatya fire before the setting of the sun, having brought the Anvähäryapacani fire, having taken up the blazing Ahavaniya fire, having melted the clarified butter over the Garhapaty, having taken four spoonfuls in the ladle, he offers a full oblation on the Ahavaniya fire with the Samidhs, with "Om svähä".
2.17.19	This is known as the Brahmana-Anvadhana.
2.16.5	By studying the Vedas, by worshipping the sages, by offering Soma to Indra, and by begetting offspring, one becomes free from debt and rejoices in heaven.
2.16.6	By a son one conquers the worlds, by a grandson one attains immortality, and then by the son of a grandson one ascends to heaven.
2.17.20	Then, having offered the Agnihotra in the evening, having spread grass to the north of the Garhapatya, having placed the pairs of vessels on them, having spread darbha grass in the Brahma-place to the right of the Ahavaniya, having covered the black antelope skin on them, he keeps awake during this night.
2.16.7	And the Veda shows that the relation of debt is such, when it says, “The Brāhmaṇa, when born, is born with three debts: to the Rṣis by Vedic study, to the gods by sacrifices, to the Pitṛs by begetting offspring.”
2.16.8	Having produced a good son, one saves oneself.
2.17.21	One who knows this, having fasted during the night of Brahma, having consigned the fires, and having died, crosses over all sin, crosses over the sin of Brahmahatya.
2.17.22	Then, having risen at the Brahma Muhurta, he offers the Agnihotra at the proper time in the morning.
2.17.23	Then, after spreading the sacrificial grass and offering water, he offers the Vaishvanara oblation in twelve potsherds. That well-known Iști comes to an end.
2.16.9	He obtains a good son, who saves him from the seven ancestors, the seven descendants, and the six others, including himself.
2.16.10	Therefore, having produced the continuity of offspring, one attains the fruit.
2.16.11	Therefore, one should exert oneself in producing offspring.
2.16.12	By the combination of herbs and mantras.
2.16.13	Its instruction is taught by the commonality of hearing.
2.17.24	He throws the Agnihotra vessels into the Ahavaniya fire, made of clay, not of stone.
2.17.25	The kindling woods are in the Garhapatya fire, "May they be of one mind."
2.17.26	He places the fires on himself, "That form of thine, O Agni, which is fit for sacrifice," he thrice thrice inhales each one.
2.16.14	Because of the fruitfulness of all castes. Because of fruitfulness.
2.17.1	Now, we shall explain the method of renunciation.
2.17.2	Some say that one who is already a student renounces.
2.17.3	Then, those who are virtuous, unmarried, and childless.
2.17.4	Or one who is widowed, or one who has established his offspring in their own duty.
2.17.5	They teach renunciation after seventy years.
2.17.27	Then standing within the altar, he says three times in a low voice, "I have given up, I have given up, have given up," and then three times aloud.
2.17.28	For it is known that the gods are three times as many.
2.17.29	He offers a full handful of water, saying, "May all beings be free from fear because of me."
2.17.6	Or, of the forest-dweller, at the cessation of his duties.
2.17.7	This is the eternal glory of the Brahman, he does not increase by action, nor does he diminish. He who knows that Self, the knower of the path, is not stained by sinful action.
2.17.8	It leads to non-rebirth, hence it is eternal.
2.17.9	It leads him to the great, hence it is glory.
2.17.10	Having shaved the head, beard, hair, and nails, one should prepare oneself.
2.17.30	But they also say: "Having given fearlessness to all beings, the sage who wanders, for him no fear from all beings arises here."
2.17.31	He becomes silent.
2.17.32	He takes the staff, saying, "Protect me, O friend."
2.17.33	He takes the sling, saying, "What is beyond the dust."
2.17.34	He takes water for purification, saying, "By which the gods are purified."
2.17.35	With the verse, "By whom the gods went upwards to the light," he takes up the water-pot.
2.17.36	He takes up the vessel with the seven Vyāhṛtis.
2.17.11	The staff, the sling, the water-purifier, the water-pot, and the vessel.
2.17.12	Taking these, he should fast at the end of the village, at the boundary of the village, in the fire-house, having eaten the three-fold oblation of ghee, milk, and curd.
2.17.13	Or water.
2.17.37	Taking the staff, the water-purifier, the water-pot, and the vessel, he goes to the place where there is water, bathes, sips water, and purifies himself with the verses "Surbhimatī," "Ablinga," "Varuṇī," "Hiranyavarṇā," and "Pāvamānī." Having purified himself, he enters the water and performs the sixteen Prāṇāyāmas while reciting the "Aghmarṣaṇa" mantra. Emerging, he presses his garment, puts on another clean garment, sips water again, and takes the water-purified with "Om Bhūr Bhuvah Suvar." He offers libations with "Om Bhūḥ, I offer libations. Om Bhuvah, I offer libatious. Om Suvar, I offer libation. Om Mah, I offer libatiou. Om Jan, I offer libatian. Om Tap, I offer libatien. Om Satya, I offer libatians."
2.17.38	Having offered libations to the gods and ancestors, he offers libations to the sun with the verses, "Om, Bhu, Svāhā. Om, Bhuva, Svāhā." "Om, Suva, Svāha. Om, Bhu, Bhuva, Suva, Mah, Namah."
2.17.39	Then he worships the sun with the two verses, "Ud utyaṃ citraṃ" and "Ud utyaḥ."
2.17.15	It is understood that one becomes pure by means of the Veda, having transferred oneself from one stage of life to another.
2.17.16	But they also say: "Having gone from one stage of lif to another, offering oblations, controlling the senses, exhausted by alms and offerings, one becomes a mendicant later."
2.17.17	This mendicant is for the sake of immortality.
2.17.40	"Om, this is Brahman. This is the light, this is the Veda, this is the one who shines. This is the Veda, the one who shines is the Veda. Thus he satisfies himself and pays homage to himself. The Self is Brahman, the Self is the light."
2.17.41	One should recite the Savitri verse a thousand times, or a hundred times, or an unlimited number of times.
2.17.42	"Oṃ bhūr bhuvaḥ suvaḥ." Taking the water sanctifier, one takes water.
2.17.43	One should not take water that is not lifted up, not flowing, or not purified.
2.17.44	One should also not wear white clothes above this.
2.18.1	One should have either one staff or three staffs.
2.17.18	Having placed the Garhapatya fire before the setting of the sun, having brought the Anvähäryapacani fire, having taken up the blazing Ahavaniya fire, having melted the clarified butter over the Garhapaty, having taken four spoonfuls in the ladle, he offers a full oblation on the Ahavaniya fire with the Samidhs, with "Om svähä".
2.17.19	This is known as the Brahmana-Anvadhana.
2.18.2	Now these are the vows: Non-violence, truthfulness, non-stealing, and abstention from sexual intercourse, and renunciation.
2.18.3	There are five subsidiary vows: Non-anger, service to the elders, diligence, cleanliness, and purity of diet.
2.18.4	Then, after the Vaishvadeva offering, the wandering mendicant Brahmins should seek alms with humility.
2.17.20	Then, having offered the Agnihotra in the evening, having spread grass to the north of the Garhapatya, having placed the pairs of vessels on them, having spread darbha grass in the Brahma-place to the right of the Ahavaniya, having covered the black antelope skin on them, he keeps awake during this night.
2.18.5	He should recite the verse beginning with "Obeisance to the Supreme Being" and ending with "May you be pleased with me."
2.18.6	He should desire to beg for alms for the duration of a cow's milking.
2.18.7	Then, having returned from begging alms, placing his hands and feet in a clean place, washing them, he should offer salutations in front of the sun, reciting the verse "Obeisance, Obeisance to the Sun, the Supreme Being" (Udu tyam citram) and "Obeisance is offered to the Supreme Being, the Creator" (Brahma jjananam).
2.17.21	One who knows this, having fasted during the night of Brahma, having consigned the fires, and having died, crosses over all sin, crosses over the sin of Brahmahatya.
2.17.22	Then, having risen at the Brahma Muhurta, he offers the Agnihotra at the proper time in the morning.
2.17.23	Then, after spreading the sacrificial grass and offering water, he offers the Vaishvanara oblation in twelve potsherds. That well-known Iști comes to an end.
2.17.24	He throws the Agnihotra vessels into the Ahavaniya fire, made of clay, not of stone.
2.17.25	The kindling woods are in the Garhapatya fire, "May they be of one mind."
2.17.26	He places the fires on himself, "That form of thine, O Agni, which is fit for sacrifice," he thrice thrice inhales each one.
2.18.8	It is known that the sacrificer himself becomes the fires beginning with the Ādhāna. His Prāṇa is the Garhapatya, Apāna the Anvāhāryapacaniya, Vyāna the Āhavanīya, Udāna and Samāna the Sabhya and Avāsathya. These five fires are in the Self. He offers in the Self.
2.18.9	It is known that this is the Self-sacrifice, the Self-fulfillment, the Self-establishment, which leads the Self to safety.
2.17.27	Then standing within the altar, he says three times in a low voice, "I have given up, I have given up, have given up," and then three times aloud.
2.17.28	For it is known that the gods are three times as many.
2.17.29	He offers a full handful of water, saying, "May all beings be free from fear because of me."
2.18.10	Having distributed the remainder to the spirits with compassion, he should eat it, touching it with water like medicine.
2.18.11	Having eaten and sipped water, he stands facing the sun with the Jyotishmatī mantra, reciting "We rise from the darkness" and "Speech is my nose, breath is my mouth".
2.17.30	But they also say: "Having given fearlessness to all beings, the sage who wanders, for him no fear from all beings arises here."
2.17.31	He becomes silent.
2.17.32	He takes the staff, saying, "Protect me, O friend."
2.17.33	He takes the sling, saying, "What is beyond the dust."
2.17.34	He takes water for purification, saying, "By which the gods are purified."
2.17.35	With the verse, "By whom the gods went upwards to the light," he takes up the water-pot.
2.17.36	He takes up the vessel with the seven Vyāhṛtis.
