1.1.1	Now the duties of the castes and stages of life.
3.2.13	One does not travel alone.
3.2.14	One should allow a cow to graze in another person's field and should not stop a calf from suckling.
3.4.1	The garments made of leather, the vegetables, roots and fruits should be sprinkled and shaken a little.
3.4.2	The substances like ghee should be shown with a ladle after boiling.
3.4.3	The house should be cleaned with cowdung, cow-urine, cow-dung, cow-dung and cow-dung. The ground should be cleaned by digging and filling with other earth, and by cleaning and other means.
3.2.15	He should not wear clothes that are worn out or dirty.
3.3.1	He should avoid playing with dice, smoking the funeral pyre, and tormenting children.
3.3.2	He should not stand on hair, beard, cotton, charcoal, bones, feces, urine, pus, blood, semen, phlegm, or leftovers.
3.3.3	If his body is smeared with filth, he should wash it with clay and water until he is no longer worried about the smell of the filth.
3.4.4	The water that is obtained from the earth, which is capable of quenching thirst, is free from impurities and well purified.
3.4.5	It is pure if it is obtained from a well, a spring, or a river, and is free from impurities.
3.4.6	The mouth of a woman, the hand of a sculptor, and the goods displayed for sale are always pure.
3.4.7	The fruit that is eaten by birds is pure.
3.4.8	The excreta of flies and mosquitoes, and their secretions, are not impure.
3.3.4	One should not live with the enemies of the fallen, the ignorant, the unrighteous.
3.3.5	One should not touch the remnants, the impure, the gods, the cows, the Brahmins, or the fires.
3.3.6	One should neither despise nor criticize the gods, the Vedas, the royal preceptors, the mothers, the fathers, and the learned Brahmins.
3.3.7	The despiser and the critic perish.
3.4.9	And that which is touched by the rays of wind, fire and sun is pure.
3.4.10	In the case of a sick person, a child, or in a cooking place, cleanliness should not be considered, but should be done to the best of one's ability.
3.4.11	Much water is not to be polluted by urine and feces.
3.4.12	One who sips water and touches the ground with the drops falling from the mouth of another person, and then touches his feet, does not become impure.
3.3.11	The vessels made of gems, gold, silver are purified by water or by touching fire.
3.3.12	The vessels made of copper, bell metal, iron etc. are purified by means of acid water. The vessels made of wood and ivory are purified by means the rubbing with the right hand or by washing.
3.5.1	The Vanaprastha should always study the Vedas. He should collect the sacrificial twigs, etc., for the fire and the vegetables, roots and fruits for food from a clean place.
3.5.2	He should avoid milk that belongs to someone else, that is given by someone else, that has come from an unclean place, and that belongs to a cow.
3.5.3	He should not accumulate grains and wealth.
3.5.4	He should cover himself with a cloth.
3.4.1	The garments made of leather, the vegetables, roots and fruits should be sprinkled and shaken a little.
3.4.2	The substances like ghee should be shown with a ladle after boiling.
3.5.5	If honey is mentioned, then water is to be taken; if meat is mentioned, then sugar is to be taken.
3.4.3	The house should be cleaned with cowdung, cow-urine, cow-dung, cow-dung and cow-dung. The ground should be cleaned by digging and filling with other earth, and by cleaning and other means.
3.5.6	He should be compassionate towards all beings, equal, patient, pure, free from envy, not attached to happiness, with auspicious speech, free from jealousy and avarice, and should avoid fish and other biting insects, as well as plants grown by ploughing, tubers, roots, fruits, vegetables, etc. He should wear matted hair, beard, body hair, and nails, bathe three times a day, have a diet of wild grains, and offer cooked oblations of wild grains.
3.4.4	The water that is obtained from the earth, which is capable of quenching thirst, is free from impurities and well purified.
3.4.5	It is pure if it is obtained from a well, a spring, or a river, and is free from impurities.
3.4.6	The mouth of a woman, the hand of a sculptor, and the goods displayed for sale are always pure.
3.4.7	The fruit that is eaten by birds is pure.
3.4.8	The excreta of flies and mosquitoes, and their secretions, are not impure.
3.5.7	He avoids the following: Palandhu, Shvetavrintaka, Sunishannaka, Shle-shmataka, Vrajakali, Citraka, Shigru, Bhu-shtrana, Kovidara, and Moolaka.
3.5.8	The sage considers all meat to be equal to cow meat, and fermented grain to be equal to wine.
3.5.9	In the month of Ashvayuja, he abandons the food and clothes accumulated earlier.
3.4.9	And that which is touched by the rays of wind, fire and sun is pure.
3.4.10	In the case of a sick person, a child, or in a cooking place, cleanliness should not be considered, but should be done to the best of one's ability.
3.4.11	Much water is not to be polluted by urine and feces.
3.4.12	One who sips water and touches the ground with the drops falling from the mouth of another person, and then touches his feet, does not become impure.
3.5.10	The ascetic who meditates by means of the Vedas and Vedanta practices austerities.
3.5.11	He lives without a wife, without fire, without a house, without a dwelling, at the foot of a tree, in the hermitages of the forest, or in the houses of householders, having begged for alms. He eats food sufficient for his life, like a monk, on a pure leaf near water.
3.5.1	The Vanaprastha should always study the Vedas. He should collect the sacrificial twigs, etc., for the fire and the vegetables, roots and fruits for food from a clean place.
3.5.2	He should avoid milk that belongs to someone else, that is given by someone else, that has come from an unclean place, and that belongs to a cow.
3.5.3	He should not accumulate grains and wealth.
3.5.4	He should cover himself with a cloth.
3.5.5	If honey is mentioned, then water is to be taken; if meat is mentioned, then sugar is to be taken.
3.5.12	He should dry up his body and perform increasingly intense austerities.
3.6.1	A monk, having bathed, should offer himself to the Pranava.
3.6.2	He should pay homage with the same Pranava.
3.6.3	Having performed the six-fold Pranayama and having recited the Savitri mantra one hundred times, he should perform the Sandhya prayer.
3.6.4	He should sip water with the Apvitra, which is purified water.
3.5.6	He should be compassionate towards all beings, equal, patient, pure, free from envy, not attached to happiness, with auspicious speech, free from jealousy and avarice, and should avoid fish and other biting insects, as well as plants grown by ploughing, tubers, roots, fruits, vegetables, etc. He should wear matted hair, beard, body hair, and nails, bathe three times a day, have a diet of wild grains, and offer cooked oblations of wild grains.
3.6.5	He should wear the saffron robe, renounce everything, and abstain from sexual intercourse. He should also avoid stealing and other vices.
3.6.6	He should be without a companion, without fire, without a fixed abode, without doubt, equal in honor and dishonor, free from disputes, anger, greed, delusion, and falsehood. He should live outside the village, in a secluded place, in a monastery, temple, or at the foot of a tree.
3.6.7	He should not stay in one place for more than one day, except during the four months.
3.5.7	He avoids the following: Palandhu, Shvetavrintaka, Sunishannaka, Shle-shmataka, Vrajakali, Citraka, Shigru, Bhu-shtrana, Kovidara, and Moolaka.
3.5.8	The sage considers all meat to be equal to cow meat, and fermented grain to be equal to wine.
3.5.9	In the month of Ashvayuja, he abandons the food and clothes accumulated earlier.
3.6.8	One should live in one place during the rainy season and the four months of autumn.
3.6.9	Having tied the three staffs, the saffron-colored sacrificial thread, and so on, to the neck with the left hand, and holding the alms bowl with the right hand, one should beg for alms at one time in the houses of pure Brahmins, after the Vaishvadev offerings.
3.6.10	Looking at the ground and avoiding insects, one should place the foot.
3.5.10	The ascetic who meditates by means of the Vedas and Vedanta practices austerities.
3.5.11	He lives without a wife, without fire, without a house, without a dwelling, at the foot of a tree, in the hermitages of the forest, or in the houses of householders, having begged for alms. He eats food sufficient for his life, like a monk, on a pure leaf near water.
3.6.11	Standing with face down, he should beg for alms.
3.7.1	He should go after standing for the time of milking cows or half of that.
3.7.2	Even in the absence of alms, he should not be dejected; even in the presence of honour, he should not feel satisfied.
3.7.3	He should not go too fast or too slow.
3.7.4	One should not go to another's house except at the time of begging for alms.
3.7.5	He should not go beyond a mile to beg.
3.7.6	Having begged, he should wash his feet and hands near water, perform Ācamana, and offer the first alms to the sun with the words "Ud Utyam," to Vishnu with "The gods," to Brahma with "Brahma was born," and then throw the oblation to all beings with "To all beings."
3.7.7	Having performed the Agnihotra ritual with his hand, he should eat only eight mouthfuls, sufficient for his sustenance.
3.7.8	He may not eat at all.
3.7.9	Having drunk water purified by a cloth, he should rinse his mouth.
3.7.10	He should not utter censure or abuse.
3.7.11	He should abandon relatives and kinsmen.
3.7.12	He should never speak of the family, conduct, austerities, or learning.
3.6.5	He should wear the saffron robe, renounce everything, and abstain from sexual intercourse. He should also avoid stealing and other vices.
3.6.6	He should be without a companion, without fire, without a fixed abode, without doubt, equal in honor and dishonor, free from disputes, anger, greed, delusion, and falsehood. He should live outside the village, in a secluded place, in a monastery, temple, or at the foot of a tree.
3.6.7	He should not stay in one place for more than one day, except during the four months.
3.7.13	Having abandoned attachment, speaking the truth, not opposing any being, always equal, devoted to self-realization, the yogi of meditation, seeing Narayana, the supreme Brahman, should maintain the Dharana.
3.7.14	One attains the imperishable Brahman.
3.7.15	The Veda says, "Narayana is the supreme Brahman."
3.6.8	One should live in one place during the rainy season and the four months of autumn.
3.6.9	Having tied the three staffs, the saffron-colored sacrificial thread, and so on, to the neck with the left hand, and holding the alms bowl with the right hand, one should beg for alms at one time in the houses of pure Brahmins, after the Vaishvadev offerings.
3.6.10	Looking at the ground and avoiding insects, one should place the foot.
3.8.1	The son or another person of a Sannyasin who has not installed the sacred fire should bury the dead body in a pit dug in a place near the bank of a river flowing into the sea, or in a sandy place, with clean Brahmins, covering it with grass, so that it is not touched by jackals and other unclean animals.
3.6.11	Standing with face down, he should beg for alms.
3.7.1	He should go after standing for the time of milking cows or half of that.
3.7.2	Even in the absence of alms, he should not be dejected; even in the presence of honour, he should not feel satisfied.
3.7.3	He should not go too fast or too slow.
3.7.4	One should not go to another's house except at the time of begging for alms.
3.8.2	Having bathed him with the Gayatri, and having laid him down or made him lie down, he should deposit the three staffs in his right hand with the Vaishnava mantras, and the loin-cloth in his left hand with the verse "What is beyond this world", the begging bowl with the Savitri mantra in the secret region, and the earth with the verse "The earth is the earth" in the region of the earth, and should cover the earth, the pot for holding clay, and the water pot.
3.8.3	If it is touched by a jackal or other animals, the person who has caused it to be made becomes a sinner.
3.7.5	He should not go beyond a mile to beg.
3.7.6	Having begged, he should wash his feet and hands near water, perform Ācamana, and offer the first alms to the sun with the words "Ud Utyam," to Vishnu with "The gods," to Brahma with "Brahma was born," and then throw the oblation to all beings with "To all beings."
3.7.7	Having performed the Agnihotra ritual with his hand, he should eat only eight mouthfuls, sufficient for his sustenance.
3.7.8	He may not eat at all.
3.7.9	Having drunk water purified by a cloth, he should rinse his mouth.
3.7.10	He should not utter censure or abuse.
3.7.11	He should abandon relatives and kinsmen.
3.7.12	He should never speak of the family, conduct, austerities, or learning.
3.8.4	Having deposited the fires of one who has performed the Agnihotra in himself, having bathed the dead body of a Sannyāsin with the Gayatri mantra, having carried it as before, having deposited it in a pure place, having descended the fire into the worldly fire, having deposited the sacred fire, having placed ghee and milk in the mouth with the words "This is your sacred fire", having placed the three staffs and others as before, he performs the cremation with the Brahmeḍha, Pitṛmeḍha, and Vahitāgni mantras and those fires.
3.7.13	Having abandoned attachment, speaking the truth, not opposing any being, always equal, devoted to self-realization, the yogi of meditation, seeing Narayana, the supreme Brahman, should maintain the Dharana.
3.7.14	One attains the imperishable Brahman.
3.7.15	The Veda says, "Narayana is the supreme Brahman."
3.8.1	The son or another person of a Sannyasin who has not installed the sacred fire should bury the dead body in a pit dug in a place near the bank of a river flowing into the sea, or in a sandy place, with clean Brahmins, covering it with grass, so that it is not touched by jackals and other unclean animals.
3.9.1	The Brahmanas and others, who have been killed by Narayana, the destroyer of Narayana, and who have committed suicide, are freed from all sins by being burnt in a rope, a weapon, water, lightning, or by the fangs of an animal or a serpent. The Bhikshu, who has been killed by others, is freed from all sins after eleven days. The five Mahapatakas are freed from all their sins after twelve years. He performs the rites for the dead in the place of Pindakaranastha on the twelfth day of the dark fortnight, or on the day of hearing.
3.9.2	On the previous day, he should invite twelve Brahmins.
3.9.3	On the next day, having made a fire altar near the temple of Vishnu, on the bank of a river, or in his own house, he should offer oblations.
3.8.2	Having bathed him with the Gayatri, and having laid him down or made him lie down, he should deposit the three staffs in his right hand with the Vaishnava mantras, and the loin-cloth in his left hand with the verse "What is beyond this world", the begging bowl with the Savitri mantra in the secret region, and the earth with the verse "The earth is the earth" in the region of the earth, and should cover the earth, the pot for holding clay, and the water pot.
3.8.3	If it is touched by a jackal or other animals, the person who has caused it to be made becomes a sinner.
3.9.4	Having spread out the fire, having placed the golden image of the form of the Lord on the darbha grass spread out in the direction of Agni and Vayu, meditating on the Purusha, having invoked the Lord Narayana facing east with the mantras beginning with "Om Bhuh Purusha", he should offer him a seat, water for washing the feet and water for sipping.
3.9.5	Having bathed with the Purusha Sūkta, or with the eight-syllabled mantra "We know Narayana", he worships with garments, upper garments, ornaments, water for washing the feet, water for rinsing the mouth, flowers, incense, unguents, lamps, Aksata grains and water for rinsing the month.
3.10.1	He should offer libations with the twelve names beginning with Keshava.
3.8.5	He should not perform the rites of impurity, water, oblation, and ball-offering, or the rites for the departed, etc.
3.8.6	He performs the oblation to Narayana.
3.8.7	One who digs the pit, covers it, burns it, or performs the oblation of Narayana, attains the fruit of the horse sacrifice.
3.10.2	Having sprinkled fire, one should offer clarified butter and cooked rice with the verses beginning with "Agni is the thousand-headed..." and the twelve names of Vishnu.
3.10.3	Having offered rice pudding mixed with jaggery, clarified butter, and fruits as an oblation to the Lord of Devas with the Vishnu Gayatri, one should offer water for washing the feet, mouthwash, and face.
3.10.4	Having worshipped Narayana, the thousand-headed, thousand-eyed, thousand-footed, supreme person, the supreme Self, the supreme light, the supreme Brahman, the unmanifest, the cause of all, the lord of sacrifice, the essence of sacrifice, to all the gods, to all the deities, to the Sadhyas, with these salutations ending with "to them salutations", having offered the oblation of cooked rice, he offers clarified butter with these (mantras).
3.9.1	The Brahmanas and others, who have been killed by Narayana, the destroyer of Narayana, and who have committed suicide, are freed from all sins by being burnt in a rope, a weapon, water, lightning, or by the fangs of an animal or a serpent. The Bhikshu, who has been killed by others, is freed from all sins after eleven days. The five Mahapatakas are freed from all their sins after twelve years. He performs the rites for the dead in the place of Pindakaranastha on the twelfth day of the dark fortnight, or on the day of hearing.
3.9.2	On the previous day, he should invite twelve Brahmins.
3.9.3	On the next day, having made a fire altar near the temple of Vishnu, on the bank of a river, or in his own house, he should offer oblations.
3.10.5	Having washed the feet of the Brahmins, having given them new garments, upper garments, and ornaments, having worshipped them with flowers etc., having meditated on the twelve forms, having fed them with white food mixed with vegetables, ghee, jaggery, curd, and fruits, and having given them gold as dakshina according to one's ability,
3.10.6	Having praised with the verses beginning with "Having a thousand heads..." and having bowed down with the twelve names.
3.9.4	Having spread out the fire, having placed the golden image of the form of the Lord on the darbha grass spread out in the direction of Agni and Vayu, meditating on the Purusha, having invoked the Lord Narayana facing east with the mantras beginning with "Om Bhuh Purusha", he should offer him a seat, water for washing the feet and water for sipping.
3.10.7	He offers the Antahom.
3.10.8	Having gone to the desired supreme goal, he is honoured in Vishnu's world.
3.11.1	The origin, names and occupations of the Anuloma, Pratiloma and Antaralavratyas who are born due to the mixture of the four castes.
3.11.2	One born from a superior male to an inferior female is Anuloma.
3.11.3	One born to a superior female from an inferior male is Pratiloma.
3.9.5	Having bathed with the Purusha Sūkta, or with the eight-syllabled mantra "We know Narayana", he worships with garments, upper garments, ornaments, water for washing the feet, water for rinsing the mouth, flowers, incense, unguents, lamps, Aksata grains and water for rinsing the month.
3.10.1	He should offer libations with the twelve names beginning with Keshava.
3.11.4	Then from the Anuloma, one born in the Anuloma is Antarāla.
3.11.5	From the Pratiloma, one born to the Pratiloma becomes Vrātya.
3.11.6	Brahmins, Brahmins, and Brahmarṣis were born from the mouth of Brahma, and they became his wives.
3.10.2	Having sprinkled fire, one should offer clarified butter and cooked rice with the verses beginning with "Agni is the thousand-headed..." and the twelve names of Vishnu.
3.10.3	Having offered rice pudding mixed with jaggery, clarified butter, and fruits as an oblation to the Lord of Devas with the Vishnu Gayatri, one should offer water for washing the feet, mouthwash, and face.
3.10.4	Having worshipped Narayana, the thousand-headed, thousand-eyed, thousand-footed, supreme person, the supreme Self, the supreme light, the supreme Brahman, the unmanifest, the cause of all, the lord of sacrifice, the essence of sacrifice, to all the gods, to all the deities, to the Sadhyas, with these salutations ending with "to them salutations", having offered the oblation of cooked rice, he offers clarified butter with these (mantras).
3.11.7-8	A Brāhmaṇa born of a Brāhmaṇa father and a non-Brāhmaṇa mother, through the prescribed rites, is pure. A Brāhmaṇa who is born of a Brāhmana father and a non Brāhmaṇa mother through the prescribed rites is pure. The son born of a Brähmaṇa father and a Śūdra mother through the prescribed rite is pure. If a son is born of a father who has died or is absent, through the prescribed rite, he is pure. When a son is born to a Brāhmaṇī through the prescribed rite from a man who is not her husband, he is pure.
3.10.5	Having washed the feet of the Brahmins, having given them new garments, upper garments, and ornaments, having worshipped them with flowers etc., having meditated on the twelve forms, having fed them with white food mixed with vegetables, ghee, jaggery, curd, and fruits, and having given them gold as dakshina according to one's ability,
3.10.6	Having praised with the verses beginning with "Having a thousand heads..." and having bowed down with the twelve names.
3.11.9	Therefore, a Kshatriya born from the lower arms of a Kshatriya father and a Kshatriya mother, born according to the prescribed rites, is pure.
3.11.10	If they are born secretly without the prescribed rites, they are impure and known as Bhojas. They are not fit for consecration. The Pattabandhas serve as generals of the king.
3.11.11	If there is no purity, the Pattabandhas protect the people.
3.11.12	His status would be like that of a king.
3.11.13	A Vaishya born from the thighs of a Vaishya woman would be pure.
3.11.14	A jeweller who does not follow the rules, a pearl-stringer, a conch-shell worker, and a bracelet-maker would be impure.
3.12.1	A Shudra born from the feet of a Shudra woman would be pure.
3.11.4	Then from the Anuloma, one born in the Anuloma is Antarāla.
3.11.5	From the Pratiloma, one born to the Pratiloma becomes Vrātya.
3.11.6	Brahmins, Brahmins, and Brahmarṣis were born from the mouth of Brahma, and they became his wives.
3.12.2	The Śūdra who is a horse-keeper, and the one who collects grass for horses, are censured.
3.12.3	These are the four castes.
3.12.4	All those born of their rites are Anuloma and others.
3.12.5	The one born of a Brāhmaṇa father and a Kṣatriya mother is the principal one among the Anuloma castes.
3.12.6	His duties are the performance of the Atharva Veda, driving of horses, elephants and chariots, mounting on them, being the commander-in-chief of the army, and the duties of the science of life.
3.12.7	One who is born secretly and is anointed is called Abhiṣikta.
3.12.8	If a king is anointed, he should recite the eight-limbed science of life or the science of the elements.
3.12.9	He should be endowed with the conduct mentioned above, compassionate, truthful, and should do what is beneficial to all beings according to that procedure.
3.12.10	Or one who has a livelihood higher than astrology, calculation, etc.
3.12.11	A barber from a Brāhmaṇa and a Vaishya, a barber who lives by a profession, a dancer of Agni, a herald of flags, a surgeon.
3.12.12	A potter from a Jara, a potter by profession, a barber, one who sews above the navel.
3.11.9	Therefore, a Kshatriya born from the lower arms of a Kshatriya father and a Kshatriya mother, born according to the prescribed rites, is pure.
3.11.10	If they are born secretly without the prescribed rites, they are impure and known as Bhojas. They are not fit for consecration. The Pattabandhas serve as generals of the king.
3.11.11	If there is no purity, the Pattabandhas protect the people.
3.12.13	From a Kṣatriya on a Vaiśya woman is born the Madgu, who becomes a great merchant, and the Mahānarman, who follows the profession of a Vaiśya and does not perform Kṣatriya duties.
3.12.14	From a Guḍha on a Śūdra woman is born the Aśvika, who deals in buying and selling horses.
3.13.1	From a Brāhmaṇa on a Śūḍra woman is born the Pārasava, who follows the professions of worshipping Bhadrakālī, painting, knowing the arts, playing musical instruments, and beating drums.
3.11.12	His status would be like that of a king.
3.11.13	A Vaishya born from the thighs of a Vaishya woman would be pure.
3.11.14	A jeweller who does not follow the rules, a pearl-stringer, a conch-shell worker, and a bracelet-maker would be impure.
3.12.1	A Shudra born from the feet of a Shudra woman would be pure.
3.13.2-6	The son of a Śūdra woman by a Kṣatriya is called Ugra, and is employed in inflicting severe punishments. The son of a Śudra woman by a Vaiśya is called Cūcuka, and is employed as a dealer in betel-nuts, sugar, and other articles. The son born of a Śūḍra woman by a man of the same caste is called Kaṭa, and the daughter is called Kaṭāri.
3.13.7	Then, one born in the reverse order from the reverse order has the right to inherit the livelihood of his father or mother.
3.13.8	A sūta born from a kṣatriya and a brahmin woman, like a mantra, is the chief in the reverse orders, but he is deprived of the rites and the dharma of a brahmin.
3.13.9	His livelihood is to instruct the king in dharma and to prepare food.
3.13.10	A charioteer born of a prostitute is a sūdra, devoid of the duties of a brahmin, and makes his living by tending and training horses.
3.13.11	A māgadha born of a vaiśya woman is not to be eaten even by śūdras, and is not an outcaste. He makes his living by praising, singing, and sending.
3.13.12	A sūdra born of a prostitute makes his living by selling salt and oil.
3.12.9	He should be endowed with the conduct mentioned above, compassionate, truthful, and should do what is beneficial to all beings according to that procedure.
3.12.10	Or one who has a livelihood higher than astrology, calculation, etc.
3.12.11	A barber from a Brāhmaṇa and a Vaishya, a barber who lives by a profession, a dancer of Agni, a herald of flags, a surgeon.
3.12.12	A potter from a Jara, a potter by profession, a barber, one who sews above the navel.
3.14.1	From a vaiśya, a king, a yogin, a weaver, a cloth-maker, a person who lives on copper utensils.
3.14.2	From a śūdra, a hunter, a forest-dweller, a killer of wild animals.
3.14.3	From a kṣatriya, a pulkasa, a person who steals and cooks or sells wine.
3.12.13	From a Kṣatriya on a Vaiśya woman is born the Madgu, who becomes a great merchant, and the Mahānarman, who follows the profession of a Vaiśya and does not perform Kṣatriya duties.
3.12.14	From a Guḍha on a Śūdra woman is born the Aśvika, who deals in buying and selling horses.
3.13.1	From a Brāhmaṇa on a Śūḍra woman is born the Pārasava, who follows the professions of worshipping Bhadrakālī, painting, knowing the arts, playing musical instruments, and beating drums.
3.14.4	From the Caura comes the Vēlavo, who is engaged in dancing and singing for the sake of food.
3.14.5	From the Śūdra comes the Vaidehaka, who is untouchable to Śūdras and whose food is not to be eaten by them. He subsists on forest produce and tends buffaloes and cows, and sells their products.
3.14.6	From the Caura comes a Cārika, who subsists on salt, oil, and sesamum.
3.14.7	A Candala is born of a Śūdra father and a Brāhmaṇa mother. He wears lead, iron and copper ornaments, has a rope round his neck, carries a bell in his hand, and moves about here and there, excluded from all rites. In the morning, he throws out excreta outside the village, on the road or elsewhere.
3.14.8	He should live outside the village, in the company of his own kind.
3.14.9	After midday, he should not enter a village.
3.14.10	If he does enter, he should be killed by the king.
3.14.11	Otherwise, he would incur the sin of killing an embryo.
3.14.12	And also those who are outcastes in between.
3.14.13	A carpenter, a goldsmith, an ironsmith, a bell-metal worker, or a wood-worker, from a Cūcuka woman, is untouchable.
3.13.10	A charioteer born of a prostitute is a sūdra, devoid of the duties of a brahmin, and makes his living by tending and training horses.
3.13.11	A māgadha born of a vaiśya woman is not to be eaten even by śūdras, and is not an outcaste. He makes his living by praising, singing, and sending.
3.13.12	A sūdra born of a prostitute makes his living by selling salt and oil.
3.14.14	The son of a Kṣatriya woman by a Vaiśya man is called Matsya-bandhi.
3.14.15	The son of a Vaiśya woman by a Kṣatriyan man is called Samudra, who lives by sea-trade and by killing fishes.
3.15.1	The son born of an Ambaṣṭha woman by a Brāhmaṇa man is called Nāvika, who lives by the sea-trade and fishing, and who sails in a boat that crosses the sea.
3.15.2	The son bom of a Kṣatra woman by a Vaiṣya man is called Adho-napita, who shaves below the navel and grows hair above it.
3.14.1	From a vaiśya, a king, a yogin, a weaver, a cloth-maker, a person who lives on copper utensils.
3.14.2	From a śūdra, a hunter, a forest-dweller, a killer of wild animals.
3.14.3	From a kṣatriya, a pulkasa, a person who steals and cooks or sells wine.
3.15.3	From a Brāhmaṇa woman, Venuka, the player on the flute and the Venu-lute.
3.15.4	From a Kṣatriya woman, Karmakara, the worker.
3.15.5	From a Brāhmaṇī woman of Videha, Carmakaras, the leather-worker.
3.15.6	From a king, Sūcikā, the needle-worker.
3.15.7	 From a Brāhman woman of Ayogava, Tāmaka, the copper-worker.
3.15.8	from a king, Khana, the digger.
3.14.4	From the Caura comes the Vēlavo, who is engaged in dancing and singing for the sake of food.
3.14.5	From the Śūdra comes the Vaidehaka, who is untouchable to Śūdras and whose food is not to be eaten by them. He subsists on forest produce and tends buffaloes and cows, and sells their products.
3.14.6	From the Caura comes a Cārika, who subsists on salt, oil, and sesamum.
3.15.9	The son of a Kṣatriya woman by a digger is an Udbandhaka. The son of a Śūdra woman by a touch-prohibited person is a cloth-duster.
3.15.10	The son of a Brāhmaṇa woman by a Pulkasa is a cloth-washer.
3.14.7	A Candala is born of a Śūdra father and a Brāhmaṇa mother. He wears lead, iron and copper ornaments, has a rope round his neck, carries a bell in his hand, and moves about here and there, excluded from all rites. In the morning, he throws out excreta outside the village, on the road or elsewhere.
3.14.8	He should live outside the village, in the company of his own kind.
3.15.11	The son of a Cāṇḍāla woman by a Brāhmaṇa father is called Śvapāka. He is always censurable, having the marks of a Cāndāla, and excluded from all rites. He is the remover of filth in cities and other places, and lives in a cremation ground. He takes food from the vessels of those who are to be abandoned, and should dispose of the dead body of a relationless person.
3.14.9	After midday, he should not enter a village.
3.14.10	If he does enter, he should be killed by the king.
3.14.11	Otherwise, he would incur the sin of killing an embryo.
3.14.12	And also those who are outcastes in between.
3.14.13	A carpenter, a goldsmith, an ironsmith, a bell-metal worker, or a wood-worker, from a Cūcuka woman, is untouchable.
3.15.12	Having killed those who are to be killed, he takes their clothes and other things, eats food dependent on others, eats from a broken vessel, eats dog meat, and trades in leather and hides.
3.15.13	Therefore, when a low-caste son is born, the father goes to terrible hells.
3.15.14	A good son saves from hell, purifies the ancestors, and leads them to auspicious worlds.
3.15.15	Therefore, Brahmins and others should beget a son on a woman of their own caste, according to the prescribed rites.
3.14.14	The son of a Kṣatriya woman by a Vaiśya man is called Matsya-bandhi.
3.14.15	The son of a Vaiśya woman by a Kṣatriyan man is called Samudra, who lives by sea-trade and by killing fishes.
3.15.1	The son born of an Ambaṣṭha woman by a Brāhmaṇa man is called Nāvika, who lives by the sea-trade and fishing, and who sails in a boat that crosses the sea.
3.15.2	The son bom of a Kṣatra woman by a Vaiṣya man is called Adho-napita, who shaves below the navel and grows hair above it.
3.15.3	From a Brāhmaṇa woman, Venuka, the player on the flute and the Venu-lute.
3.15.4	From a Kṣatriya woman, Karmakara, the worker.
3.15.5	From a Brāhmaṇī woman of Videha, Carmakaras, the leather-worker.
3.15.6	From a king, Sūcikā, the needle-worker.
3.15.7	 From a Brāhman woman of Ayogava, Tāmaka, the copper-worker.
3.15.8	from a king, Khana, the digger.
3.15.9	The son of a Kṣatriya woman by a digger is an Udbandhaka. The son of a Śūdra woman by a touch-prohibited person is a cloth-duster.
3.15.10	The son of a Brāhmaṇa woman by a Pulkasa is a cloth-washer.
3.15.11	The son of a Cāṇḍāla woman by a Brāhmaṇa father is called Śvapāka. He is always censurable, having the marks of a Cāndāla, and excluded from all rites. He is the remover of filth in cities and other places, and lives in a cremation ground. He takes food from the vessels of those who are to be abandoned, and should dispose of the dead body of a relationless person.
3.15.12	Having killed those who are to be killed, he takes their clothes and other things, eats food dependent on others, eats from a broken vessel, eats dog meat, and trades in leather and hides.
3.15.13	Therefore, when a low-caste son is born, the father goes to terrible hells.
3.15.14	A good son saves from hell, purifies the ancestors, and leads them to auspicious worlds.
3.15.15	Therefore, Brahmins and others should beget a son on a woman of their own caste, according to the prescribed rites.
